Running Forward KL,Reward Loss,Running Env Steps,Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Update Time
157.6356,-953.018798828125,190000,1675.21,16.6543,2025.71,38,38
157.4943,-997.0137329101562,195000,1641.77,16.2512,1939.36,39,39
157.3755,-1014.9978637695312,200000,1716.3,16.6627,2080.9,40,40
157.2796,-1047.7412109375,205000,1659.37,16.1374,1968.42,41,41
157.2573,-1070.683837890625,210000,1679.46,16.2132,2010.25,42,42
157.4183,-1114.1815185546875,215000,1675.44,16.3313,2003.7,43,43
157.4661,-1144.7667236328125,220000,1737.33,16.6983,2049.36,44,44
157.3572,-1172.706787109375,225000,1710.2,16.4942,2079.76,45,45
157.1928,-1194.590087890625,230000,1710.3,16.2543,2086.84,46,46
157.0532,-1236.671630859375,235000,1681.93,15.7069,2028.26,47,47
157.0954,-1256.215087890625,240000,1707.93,15.8134,2068.87,48,48
157.2653,-1305.2601318359375,245000,1720.74,16.1574,2005.48,49,49
157.3491,-1336.939453125,250000,1698.35,15.9087,1997.68,50,50
157.3252,-1367.09619140625,255000,1734.28,16.499,2060.46,51,51
157.2013,-1386.7392578125,260000,1771.61,16.6297,2104.51,52,52
157.2914,-1429.3826904296875,265000,1713.62,15.9841,2031.14,53,53
157.1874,-1466.51708984375,270000,1727.78,16.056,2035.91,54,54
157.2402,-1492.384033203125,275000,1736.94,16.2575,2085.31,55,55
157.2375,-1528.1448974609375,280000,1742.9,16.1995,2073.1,56,56
157.1244,-1548.957763671875,285000,1720.56,16.1701,2088.49,57,57
157.2611,-1588.82421875,290000,1735.76,15.8825,2046.81,58,58
157.0843,-1620.2950439453125,295000,1724.43,15.7433,2016.8,59,59
157.3414,-1655.228271484375,300000,1747.58,16.5631,2112.94,60,60
157.2415,-1685.0589599609375,305000,1772.22,16.2715,2086.64,61,61
157.0709,-1712.2225341796875,310000,1761.56,15.8228,2145.97,62,62
156.9547,-1738.53076171875,315000,1778.91,15.8132,2158.91,63,63
156.9748,-1771.83544921875,320000,1751.57,15.7878,2099.58,64,64
156.8909,-1809.0279541015625,325000,1759.12,15.9374,2106.11,65,65
156.9297,-1833.7239990234375,330000,1749.82,15.9225,2154.51,66,66
157.0561,-1877.6614990234375,335000,1740.77,15.7298,2102.44,67,67
157.0929,-1905.2159423828125,340000,1748.64,15.6825,2052.21,68,68
156.9951,-1943.2156982421875,345000,1778.38,15.6325,2151.07,69,69
156.8986,-1946.2701416015625,350000,1785.47,15.69,2137.16,70,70
157.0439,-1999.11474609375,355000,1765.83,15.5115,2106.42,71,71
157.0179,-2047.3702392578125,360000,1795.84,15.8346,2124.78,72,72
156.9023,-2065.83447265625,365000,1771.67,15.6422,2111.89,73,73
157.2479,-2097.81201171875,370000,1758.38,15.9954,2127.29,74,74
156.9305,-2132.646240234375,375000,1821.03,16.2382,2197.57,75,75
157.0806,-2183.447021484375,380000,1784.01,15.6293,2135.52,76,76
156.9827,-2206.646728515625,385000,1799.0,15.6785,2157.37,77,77
157.1789,-2248.08447265625,390000,1779.64,15.9251,2125.97,78,78
156.9745,-2264.818603515625,395000,1819.4,15.8632,2177.23,79,79
157.0001,-2298.316650390625,400000,1776.44,15.8511,2114.71,80,80
157.0029,-2325.736328125,405000,1801.78,16.0064,2153.88,81,81
157.0361,-2360.990966796875,410000,1790.21,15.6256,2149.78,82,82
156.8196,-2397.366455078125,415000,1816.73,15.8465,2204.88,83,83
156.9168,-2428.95703125,420000,1822.84,15.9622,2177.38,84,84
157.0296,-2460.265380859375,425000,1779.85,15.5557,2113.87,85,85
157.0985,-2515.089599609375,430000,1799.91,15.9099,2178.59,86,86
156.9205,-2532.125,435000,1768.32,15.7883,2095.27,87,87
156.9284,-2552.8212890625,440000,1812.21,15.6095,2182.25,88,88
156.8447,-2595.898681640625,445000,1756.63,15.2061,2053.37,89,89
156.9325,-2640.60986328125,450000,1760.08,15.5062,2130.78,90,90
157.1097,-2675.057373046875,455000,1813.59,16.0909,2168.98,91,91
156.8542,-2714.101318359375,460000,1823.24,16.2599,2124.32,92,92
156.8552,-2738.37744140625,465000,1761.21,15.2942,2086.62,93,93
157.0838,-2794.40234375,470000,1843.34,15.9286,2197.82,94,94
157.1692,-2841.595703125,475000,1829.83,16.2265,2200.23,95,95
157.1523,-2867.297607421875,480000,1839.52,16.0392,2207.33,96,96
156.9531,-2902.108154296875,485000,1850.61,16.1016,2225.96,97,97
156.8115,-2914.73193359375,490000,1800.44,15.4746,2145.4,98,98
157.0653,-2960.8564453125,495000,1814.72,15.8711,2216.67,99,99
156.9193,-3012.096923828125,500000,1816.27,15.6284,2201.11,100,100
156.9875,-3046.88037109375,505000,1851.22,15.7678,2170.29,101,101
156.8595,-3062.08984375,510000,1825.3,15.7818,2178.64,102,102
156.9007,-3121.637451171875,515000,1845.8,16.079,2207.7,103,103
156.9898,-3138.882080078125,520000,1822.22,15.8845,2205.64,104,104
156.8983,-3195.188232421875,525000,1839.55,16.0012,2217.4,105,105
156.9297,-3203.001220703125,530000,1807.34,15.7799,2156.68,106,106
156.7784,-3247.2568359375,535000,1808.02,15.4743,2109.8,107,107
156.8555,-3290.42822265625,540000,1817.9,15.4931,2167.34,108,108
157.1086,-3341.9921875,545000,1843.59,15.7776,2181.32,109,109
156.8963,-3367.10107421875,550000,1818.42,16.0035,2151.73,110,110
156.9056,-3403.294677734375,555000,1809.74,15.6319,2124.01,111,111
156.9954,-3455.7763671875,560000,1859.01,15.8569,2197.44,112,112
156.7702,-3477.49560546875,565000,1876.0,15.6025,2246.13,113,113
156.8381,-3510.055908203125,570000,1829.91,15.7209,2198.61,114,114
157.1174,-3572.573974609375,575000,1839.02,16.0545,2155.66,115,115
156.8306,-3586.79541015625,580000,1879.56,16.1027,2225.34,116,116
156.8233,-3627.992431640625,585000,1842.49,15.7593,2229.65,117,117
156.7957,-3658.880615234375,590000,1852.94,15.8615,2177.11,118,118
156.8485,-3690.405029296875,595000,1851.03,15.564,2192.22,119,119
156.7115,-3732.56787109375,600000,1843.49,15.4699,2218.23,120,120
156.73,-3809.511474609375,605000,1860.05,16.0768,2218.71,121,121
156.8718,-3840.508056640625,610000,1852.48,15.7146,2200.28,122,122
156.8278,-3875.8388671875,615000,1833.25,15.4262,2199.41,123,123
156.7501,-3917.2490234375,620000,1797.83,15.523,2155.33,124,124
156.7506,-3941.73876953125,625000,1856.47,15.8396,2236.14,125,125
156.7723,-4004.88671875,630000,1873.59,15.8404,2248.49,126,126
156.8186,-4032.30908203125,635000,1813.79,15.4181,2136.48,127,127
156.7684,-4090.083984375,640000,1856.87,15.8099,2243.01,128,128
156.8022,-4131.70263671875,645000,1889.21,15.911,2220.89,129,129
156.8542,-4172.2392578125,650000,1818.48,15.6513,2152.19,130,130
156.6428,-4195.5927734375,655000,1874.37,15.6177,2201.4,131,131
156.6975,-4259.30908203125,660000,1851.77,15.8974,2199.61,132,132
156.8583,-4310.8212890625,665000,1861.32,15.6996,2208.45,133,133
156.7791,-4352.22216796875,670000,1830.49,15.5827,2169.23,134,134
156.8289,-4394.08056640625,675000,1848.06,15.6067,2191.14,135,135
156.5867,-4400.79248046875,680000,1872.66,15.6547,2218.78,136,136
156.9562,-4477.3076171875,685000,1835.56,15.6889,2178.16,137,137
156.8363,-4526.87841796875,690000,1844.42,15.6802,2190.63,138,138
156.9083,-4556.39208984375,695000,1867.71,15.6858,2230.44,139,139
156.7307,-4591.40380859375,700000,1865.42,15.529,2197.51,140,140
156.9117,-4641.86572265625,705000,1825.36,15.1871,2158.11,141,141
156.9076,-4693.03515625,710000,1863.62,15.5492,2227.85,142,142
156.8884,-4786.515625,715000,1852.08,15.8318,2183.97,143,143
156.8637,-4802.09521484375,720000,1858.49,15.6738,2198.74,144,144
156.8882,-4841.26123046875,725000,1884.75,15.7439,2228.56,145,145
156.8671,-4891.92822265625,730000,1880.27,15.9477,2247.15,146,146
156.8172,-4888.6484375,735000,1864.59,15.2494,2177.65,147,147
156.7392,-4984.0732421875,740000,1884.01,15.7164,2237.95,148,148
156.7297,-5029.755859375,745000,1867.39,15.3571,2222.49,149,149
156.6216,-5062.51708984375,750000,1864.92,15.4817,2207.61,150,150
156.7671,-5121.06103515625,755000,1882.92,15.5715,2252.82,151,151
156.7202,-5167.13427734375,760000,1861.49,15.4445,2205.45,152,152
156.8715,-5222.09521484375,765000,1833.35,15.3971,2172.77,153,153
156.6347,-5263.40185546875,770000,1843.43,15.3498,2141.49,154,154
156.702,-5323.697265625,775000,1875.03,15.4672,2190.35,155,155
156.8926,-5362.033203125,780000,1840.02,15.2242,2140.87,156,156
156.7062,-5412.09375,785000,1902.24,15.7808,2224.27,157,157
156.8269,-5461.28271484375,790000,1881.15,15.5701,2202.82,158,158
156.667,-5504.099609375,795000,1863.38,15.248,2205.57,159,159
156.7577,-5566.412109375,800000,1855.49,15.3848,2199.09,160,160
156.6952,-5626.36083984375,805000,1842.73,15.1021,2136.47,161,161
156.6832,-5664.9736328125,810000,1865.89,15.5351,2208.45,162,162
156.6744,-5719.5615234375,815000,1902.28,15.5507,2233.44,163,163
156.6816,-5782.376953125,820000,1887.06,15.8316,2252.64,164,164
156.8188,-5826.021484375,825000,1877.98,15.6571,2248.91,165,165
156.7077,-5866.94775390625,830000,1909.94,15.66,2222.67,166,166
156.8297,-5923.59765625,835000,1885.09,15.77,2232.74,167,167
156.6843,-5943.65478515625,840000,1897.39,15.4979,2233.72,168,168
156.8772,-6024.62841796875,845000,1902.98,15.5687,2245.97,169,169
156.7696,-6068.580078125,850000,1821.1,15.1677,2162.04,170,170
156.8556,-6134.15625,855000,1898.27,15.507,2226.63,171,171
156.7083,-6176.271484375,860000,1902.68,15.7481,2238.35,172,172
156.7172,-6249.82666015625,865000,1895.26,15.4901,2233.07,173,173
156.8139,-6298.07958984375,870000,1906.77,15.6331,2264.47,174,174
156.5619,-6335.13427734375,875000,1888.73,15.449,2217.1,175,175
156.761,-6371.31982421875,880000,1866.29,15.3587,2231.13,176,176
156.7013,-6443.33935546875,885000,1917.13,15.7222,2265.63,177,177
156.6333,-6508.94140625,890000,1918.9,15.8009,2241.16,178,178
156.6389,-6514.83056640625,895000,1926.58,15.5696,2269.68,179,179
156.6342,-6554.626953125,900000,1924.17,15.5806,2264.83,180,180
156.8448,-6570.7919921875,905000,1900.5,15.3091,2210.11,181,181
156.7959,-6670.4560546875,910000,1912.72,15.3355,2222.13,182,182
156.7825,-6718.43701171875,915000,1918.36,15.5247,2259.09,183,183
156.6346,-6749.92138671875,920000,1874.1,15.2456,2225.22,184,184
156.527,-6826.486328125,925000,1913.6,15.4852,2287.02,185,185
156.6507,-6829.34130859375,930000,1875.52,15.0701,2233.86,186,186
156.7725,-6920.17041015625,935000,1876.09,15.4621,2239.06,187,187
156.6185,-6952.2880859375,940000,1883.55,15.2357,2230.1,188,188
156.7188,-7015.5673828125,945000,1893.17,15.4903,2251.84,189,189
156.6882,-7011.89013671875,950000,1929.63,15.5628,2269.67,190,190
156.5251,-7085.541015625,955000,1884.46,15.2136,2272.78,191,191
156.8003,-7143.9287109375,960000,1910.42,15.8636,2265.8,192,192
156.4979,-7226.43798828125,965000,1895.87,15.335,2240.92,193,193
156.6907,-7273.90673828125,970000,1905.87,15.3954,2269.88,194,194
156.81,-7325.7392578125,975000,1893.17,15.3974,2189.72,195,195
156.7463,-7372.1318359375,980000,1899.35,15.5555,2224.32,196,196
156.6017,-7402.49462890625,985000,1904.33,15.3762,2249.86,197,197
156.5864,-7441.4697265625,990000,1940.28,15.5988,2271.91,198,198
156.7286,-7504.75,995000,1912.47,15.3524,2254.98,199,199
156.5313,-7504.98974609375,1000000,1904.54,15.2917,2228.91,200,200
156.4506,-7556.546875,1005000,1891.26,15.0425,2207.65,201,201
156.6216,-7625.18994140625,1010000,1898.65,15.1499,2211.96,202,202
156.6833,-7663.57861328125,1015000,1898.19,15.0417,2234.38,203,203
156.5404,-7716.68505859375,1020000,1903.26,15.1638,2247.14,204,204
156.6227,-7761.0654296875,1025000,1898.94,15.0829,2229.25,205,205
156.368,-7819.22412109375,1030000,1884.97,15.0128,2224.34,206,206
156.7211,-7882.0224609375,1035000,1898.89,15.0655,2239.76,207,207
156.7317,-7915.529296875,1040000,1889.91,14.8651,2195.79,208,208
156.7796,-7995.74658203125,1045000,1867.48,15.309,2205.72,209,209
156.6318,-8046.0673828125,1050000,1889.02,15.0137,2206.83,210,210
156.5575,-8094.17431640625,1055000,1914.09,15.1202,2234.66,211,211
156.7597,-8157.919921875,1060000,1887.37,15.2383,2201.37,212,212
156.5691,-8197.599609375,1065000,1893.66,15.0937,2220.43,213,213
156.5945,-8254.0419921875,1070000,1885.11,15.0631,2223.85,214,214
156.6126,-8286.7587890625,1075000,1898.41,15.1191,2240.25,215,215
156.5216,-8317.9072265625,1080000,1906.01,15.1201,2229.3,216,216
156.6225,-8341.7421875,1085000,1892.82,15.0935,2226.88,217,217
156.6243,-8361.8193359375,1090000,1890.12,15.0657,2201.3,218,218
156.5209,-8411.990234375,1095000,1908.58,15.0108,2209.54,219,219
156.7153,-8454.7314453125,1100000,1866.06,15.0838,2190.52,220,220
156.621,-8472.044921875,1105000,1895.28,15.189,2224.82,221,221
156.7612,-8513.70703125,1110000,1911.66,15.2885,2216.8,222,222
156.5849,-8531.767578125,1115000,1877.62,15.1412,2223.26,223,223
156.5868,-8564.7001953125,1120000,1891.72,15.1395,2218.48,224,224
156.6437,-8588.5859375,1125000,1892.3,15.2421,2228.36,225,225
156.6406,-8618.0,1130000,1881.92,15.2157,2232.76,226,226
156.6004,-8645.84765625,1135000,1881.99,15.0431,2225.85,227,227
156.6673,-8685.248046875,1140000,1886.15,15.2327,2235.32,228,228
156.6031,-8683.119140625,1145000,1893.79,15.0876,2223.13,229,229
156.7564,-8734.9453125,1150000,1888.34,15.347,2216.67,230,230
156.689,-8756.8125,1155000,1880.81,14.9816,2216.76,231,231
156.5752,-8783.849609375,1160000,1887.49,15.0823,2238.27,232,232
156.6504,-8809.6826171875,1165000,1884.76,14.9352,2245.07,233,233
156.4818,-8858.1845703125,1170000,1895.89,15.1445,2241.66,234,234
156.6197,-8902.3759765625,1175000,1914.52,15.1375,2247.46,235,235
156.6517,-8908.03515625,1180000,1879.89,14.9956,2238.37,236,236
156.6309,-8955.416015625,1185000,1858.1,14.8875,2221.99,237,237
156.4395,-8966.2578125,1190000,1896.99,15.0728,2262.59,238,238
156.803,-9029.0126953125,1195000,1854.58,15.0779,2247.3,239,239
156.5629,-9049.0478515625,1200000,1873.06,15.0894,2237.6,240,240
156.617,-9077.751953125,1205000,1864.11,14.9783,2211.0,241,241
156.8048,-9126.1376953125,1210000,1878.3,15.0377,2228.68,242,242
156.5408,-9144.2470703125,1215000,1882.01,15.1065,2231.83,243,243
156.4692,-9155.2705078125,1220000,1877.12,15.0654,2238.8,244,244
156.729,-9205.7666015625,1225000,1870.49,15.1179,2224.95,245,245
156.6221,-9271.3056640625,1230000,1877.4,15.0374,2261.86,246,246
156.5773,-9297.3544921875,1235000,1897.83,15.045,2232.3,247,247
156.5539,-9307.4755859375,1240000,1879.17,15.0722,2226.27,248,248
156.5892,-9349.607421875,1245000,1896.34,15.074,2250.34,249,249
156.7083,-9372.8681640625,1250000,1814.77,15.1255,2197.57,250,250
156.6803,-9357.3984375,1255000,1752.82,14.5606,1963.54,251,251
156.5791,-9450.3173828125,1260000,1889.11,15.0657,2236.63,252,252
156.6058,-9486.810546875,1265000,1851.56,15.0555,2251.29,253,253
156.6211,-9473.525390625,1270000,1899.17,15.1128,2216.27,254,254
156.6174,-9490.7265625,1275000,1895.51,14.9653,2240.77,255,255
156.5202,-9529.3173828125,1280000,1874.68,14.851,2206.52,256,256
156.5876,-9558.3154296875,1285000,1879.84,14.8383,2234.4,257,257
156.6315,-9619.7265625,1290000,1870.85,14.8317,2224.21,258,258
156.4961,-9606.76171875,1295000,1853.1,14.8274,2215.3,259,259
156.5404,-9641.6884765625,1300000,1841.75,14.7796,2198.9,260,260
156.629,-9711.1767578125,1305000,1846.73,14.9419,2203.91,261,261
156.5705,-9687.2509765625,1310000,1816.08,14.7954,2186.84,262,262
156.6021,-9756.01171875,1315000,1850.46,14.8528,2206.38,263,263
156.5451,-9775.091796875,1320000,1855.39,14.6927,2209.66,264,264
156.794,-9818.220703125,1325000,1880.3,15.0315,2228.85,265,265
156.6898,-9846.12890625,1330000,1879.15,14.8065,2225.45,266,266
156.6199,-9818.8828125,1335000,1836.21,14.815,2189.29,267,267
156.4502,-9882.9970703125,1340000,1876.5,15.0162,2214.89,268,268
156.6046,-9921.6689453125,1345000,1871.08,14.7893,2213.03,269,269
156.5793,-9960.4599609375,1350000,1879.21,15.0496,2202.94,270,270
156.5574,-9994.0322265625,1355000,1881.45,14.8507,2214.97,271,271
156.5287,-9991.7041015625,1360000,1868.46,14.8938,2198.37,272,272
156.7349,-10024.9482421875,1365000,1889.21,14.8138,2193.62,273,273
156.7267,-10074.9033203125,1370000,1873.55,14.9319,2209.23,274,274
156.8345,-10118.791015625,1375000,1870.01,14.9207,2206.01,275,275
156.4935,-10159.404296875,1380000,1848.56,14.8927,2184.22,276,276
156.6693,-10140.427734375,1385000,1879.6,14.8226,2200.04,277,277
156.5088,-10159.556640625,1390000,1864.08,15.0015,2208.9,278,278
156.4543,-10201.8466796875,1395000,1872.73,14.9177,2205.61,279,279
156.5994,-10228.287109375,1400000,1867.55,14.7947,2213.03,280,280
156.6027,-10262.4970703125,1405000,1879.69,14.9042,2216.55,281,281
156.6027,-10283.205078125,1410000,1900.65,14.907,2229.41,282,282
156.6144,-10315.599609375,1415000,1866.51,14.8514,2195.6,283,283
156.4606,-10337.0791015625,1420000,1875.87,14.881,2204.97,284,284
156.7173,-10386.0068359375,1425000,1871.05,14.8842,2192.63,285,285
156.5839,-10364.099609375,1430000,1869.03,14.8017,2214.99,286,286
156.6492,-10435.1181640625,1435000,1891.85,14.9335,2216.74,287,287
156.648,-10469.31640625,1440000,1863.87,14.8677,2205.99,288,288
156.5875,-10491.4111328125,1445000,1896.74,14.9524,2228.35,289,289
156.488,-10512.8046875,1450000,1917.27,14.8381,2245.51,290,290
156.5276,-10547.2294921875,1455000,1889.02,14.8742,2206.15,291,291
156.3667,-10565.16796875,1460000,1897.78,14.9104,2228.44,292,292
156.7115,-10638.38671875,1465000,1885.63,15.0576,2201.44,293,293
156.5995,-10633.4052734375,1470000,1882.86,15.0141,2239.55,294,294
156.526,-10675.9853515625,1475000,1904.62,14.9513,2251.7,295,295
156.6706,-10719.599609375,1480000,1897.61,15.132,2258.56,296,296
156.5908,-10725.0078125,1485000,1890.86,15.0123,2239.19,297,297
156.6156,-10787.1953125,1490000,1904.26,15.0669,2256.56,298,298
156.618,-10777.4990234375,1495000,1904.78,15.0289,2232.62,299,299
156.5457,-10828.6337890625,1500000,1902.95,14.9508,2247.88,300,300
156.5901,-10862.8291015625,1505000,1884.27,14.8421,2245.32,301,301
156.5471,-10884.671875,1510000,1922.84,14.8863,2261.66,302,302
156.5834,-10913.5966796875,1515000,1879.81,14.9034,2234.02,303,303
156.6942,-10967.8193359375,1520000,1879.62,14.9527,2231.87,304,304
156.5808,-11006.2265625,1525000,1896.98,14.9458,2237.91,305,305
156.5763,-11016.4453125,1530000,1876.0,14.8069,2237.81,306,306
156.5063,-11044.2666015625,1535000,1888.98,15.0077,2245.39,307,307
156.7481,-11070.3046875,1540000,1910.21,14.9361,2244.45,308,308
156.7118,-11103.1025390625,1545000,1903.84,15.0994,2245.06,309,309
156.5876,-11131.0380859375,1550000,1916.34,14.8196,2239.47,310,310
156.4964,-11130.3330078125,1555000,1875.99,14.8499,2223.15,311,311
156.6368,-11163.2744140625,1560000,1900.53,14.9258,2243.1,312,312
156.6999,-11192.1875,1565000,1879.92,15.0411,2219.7,313,313
156.6311,-11267.9384765625,1570000,1890.43,15.0719,2244.49,314,314
156.6828,-11253.9453125,1575000,1890.28,15.0249,2251.45,315,315
156.5208,-11295.5458984375,1580000,1888.59,15.0148,2245.02,316,316
156.6865,-11318.55078125,1585000,1878.21,14.8814,2236.51,317,317
156.5045,-11341.8447265625,1590000,1922.97,15.0378,2259.88,318,318
156.5742,-11347.7724609375,1595000,1922.04,14.8841,2269.0,319,319
156.6777,-11396.45703125,1600000,1911.89,15.0849,2242.16,320,320
156.5097,-11437.5595703125,1605000,1911.92,15.0224,2272.49,321,321
156.5698,-11422.775390625,1610000,1922.23,15.0702,2275.26,322,322
156.5323,-11504.8447265625,1615000,1936.12,15.1513,2272.55,323,323
156.4757,-11507.552734375,1620000,1898.98,15.1698,2247.29,324,324
156.6079,-11514.1142578125,1625000,1899.82,15.0345,2251.1,325,325
156.6117,-11557.921875,1630000,1922.81,15.1073,2275.46,326,326
156.5338,-11553.3642578125,1635000,1917.1,15.0927,2245.18,327,327
156.702,-11592.6884765625,1640000,1933.92,15.2272,2261.35,328,328
156.6068,-11624.3408203125,1645000,1924.94,15.219,2272.38,329,329
156.7706,-11615.751953125,1650000,1848.79,15.0527,-150.83,330,330
156.6938,-11638.560546875,1655000,1902.85,15.1738,2264.61,331,331
156.7737,-11690.689453125,1660000,1939.95,15.1983,2293.23,332,332
156.7443,-11712.08203125,1665000,1916.16,15.0624,2256.17,333,333
156.5881,-11732.482421875,1670000,1933.06,15.167,2272.39,334,334
156.69,-11729.5380859375,1675000,1908.24,15.1078,2257.04,335,335
156.7571,-11736.9697265625,1680000,1896.28,15.0516,2222.7,336,336
156.5179,-11772.5654296875,1685000,1903.35,15.0267,2257.04,337,337
156.7841,-11817.8740234375,1690000,1943.6,15.3949,2258.56,338,338
156.6855,-11814.6318359375,1695000,1956.62,15.2726,2250.76,339,339
156.5076,-11846.634765625,1700000,1917.17,15.138,2259.62,340,340
156.8566,-11877.0615234375,1705000,1908.26,14.9888,2092.75,341,341
156.7911,-11888.0537109375,1710000,1948.46,15.2699,2280.35,342,342
156.765,-11916.7783203125,1715000,1953.8,15.2825,2272.65,343,343
156.6238,-11912.4130859375,1720000,1932.37,14.9733,2265.6,344,344
156.5564,-11941.6025390625,1725000,1933.95,15.22,2242.81,345,345
156.586,-11989.4912109375,1730000,1962.63,15.2141,2268.93,346,346
156.9205,-12038.6181640625,1735000,1955.79,15.1627,2271.01,347,347
156.5027,-12056.546875,1740000,1932.64,15.13,2240.35,348,348
156.6193,-12037.994140625,1745000,1944.32,15.0417,2260.19,349,349
156.6718,-12090.2578125,1750000,1959.89,15.229,2289.43,350,350
156.6448,-12075.98828125,1755000,1890.66,14.9016,2185.81,351,351
156.6383,-12154.5849609375,1760000,1942.19,15.2674,2271.07,352,352
156.6853,-12166.8466796875,1765000,1938.06,15.2005,2272.24,353,353
156.6685,-12196.1318359375,1770000,1947.97,15.2452,2278.91,354,354
156.6876,-12217.3603515625,1775000,1949.99,15.1007,2283.25,355,355
156.5661,-12228.8134765625,1780000,1932.56,15.1223,2283.11,356,356
156.6592,-12230.9228515625,1785000,1946.46,15.1324,2259.29,357,357
156.682,-12305.9169921875,1790000,1929.08,15.2449,2249.95,358,358
156.7562,-12315.8759765625,1795000,1945.98,15.1389,2269.84,359,359
156.5337,-12363.3076171875,1800000,1938.15,15.177,2253.6,360,360
156.4686,-12362.212890625,1805000,1921.31,15.1175,2250.1,361,361
156.5286,-12398.5380859375,1810000,1933.67,14.9016,2267.59,362,362
156.5175,-12429.525390625,1815000,1954.63,14.9514,2301.16,363,363
156.7094,-12467.0927734375,1820000,1961.34,15.142,2294.12,364,364
156.4514,-12473.3408203125,1825000,1947.52,15.1248,2289.31,365,365
156.653,-12484.00390625,1830000,1937.56,15.1632,2289.24,366,366
156.6357,-12523.3935546875,1835000,1943.28,15.2517,2281.15,367,367
156.6409,-12526.458984375,1840000,1937.78,15.2054,2280.78,368,368
156.5219,-12565.8154296875,1845000,1943.64,14.9952,2275.73,369,369
156.659,-12613.19921875,1850000,1956.91,15.2548,2279.29,370,370
156.5367,-12574.6435546875,1855000,1947.01,15.115,2294.63,371,371
156.6185,-12653.716796875,1860000,1917.07,15.0614,2250.54,372,372
156.5836,-12631.712890625,1865000,1924.48,14.9629,2272.23,373,373
156.5726,-12637.8994140625,1870000,1949.46,14.9956,2267.32,374,374
156.6139,-12653.2900390625,1875000,1949.47,15.1882,2266.73,375,375
156.6588,-12671.0654296875,1880000,1958.09,15.2017,2298.59,376,376
156.5854,-12698.06640625,1885000,1950.66,15.0954,2275.14,377,377
156.6623,-12705.3525390625,1890000,1966.05,15.0707,2275.22,378,378
156.6261,-12763.4580078125,1895000,1933.14,15.1084,2282.64,379,379
156.5309,-12749.91796875,1900000,1930.22,15.1012,2236.7,380,380
156.586,-12797.771484375,1905000,1947.95,15.2623,2285.43,381,381
156.7473,-12862.5849609375,1910000,1959.17,15.2679,2305.71,382,382
156.5104,-12869.6728515625,1915000,1960.48,15.0017,2296.09,383,383
156.5608,-12898.609375,1920000,1959.79,15.1295,2298.09,384,384
156.7272,-12885.2353515625,1925000,1962.63,15.184,2297.66,385,385
