Reward Loss,Running Forward KL,Real Sto Return,Running Env Steps,Itration,Running Reverse KL,Real Det Return,Running Update Time
-2663.27294921875,74.1831,5151.7,785000,157,66.3887,5229.32,157
-2720.9462890625,79.126,5210.54,790000,158,72.342,5243.53,158
-2730.793212890625,75.6807,4677.57,795000,159,71.594,4751.89,159
-2759.8798828125,75.7834,4902.99,800000,160,68.2606,4976.25,160
-2879.43359375,83.7186,5194.78,805000,161,78.0652,5379.15,161
-2882.192138671875,80.6663,5107.06,810000,162,75.2854,5520.62,162
-2968.331298828125,82.667,4772.56,815000,163,79.0935,5235.12,163
-2929.12255859375,74.0587,4690.24,820000,164,68.1383,5511.18,164
-3001.085693359375,81.0387,5171.24,825000,165,76.6268,5668.09,165
-3058.711669921875,78.169,4817.93,830000,166,71.928,5005.19,166
-3045.683349609375,84.2032,4701.78,835000,167,81.9621,5399.26,167
-3179.375244140625,81.8806,5304.22,840000,168,76.2209,5640.87,168
-3146.470703125,75.2934,4586.83,845000,169,70.0547,4951.12,169
-3183.749267578125,80.6733,5159.02,850000,170,74.2041,5603.78,170
-3232.4033203125,82.0476,5081.98,855000,171,76.7747,5237.08,171
-3372.609619140625,81.3089,4686.05,860000,172,78.5503,5522.03,172
-3227.0146484375,72.13,5067.07,865000,173,61.2023,5018.69,173
-3402.63427734375,79.29,5186.1,870000,174,75.2619,5760.19,174
-3405.763916015625,76.0569,5377.81,875000,175,70.3674,5651.2,175
-3534.0751953125,82.7453,5065.44,880000,176,78.6361,5640.91,176
-3532.7451171875,77.6618,4914.29,885000,177,74.6382,5310.12,177
-3579.625,75.9578,4987.1,890000,178,72.1857,5313.19,178
-3538.667236328125,74.6,4986.86,895000,179,68.4317,5484.1,179
-3687.942626953125,77.6033,5189.32,900000,180,71.2948,5335.65,180
-3773.742431640625,80.4073,4998.34,905000,181,75.6069,5805.47,181
-3785.489501953125,77.2702,4930.56,910000,182,72.391,5000.06,182
-3854.478759765625,81.8805,5208.52,915000,183,78.0385,5747.77,183
-3798.185302734375,77.6799,4875.36,920000,184,71.9039,5725.69,184
