Running Update Time,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return,Running Env Steps,Real Det Return,Itration
50,45.4774,-346.22991943359375,24.6191,4242.83,250000,4287.66,50
51,45.1166,-373.9818115234375,23.3981,4194.69,255000,4253.56,51
52,45.8244,-369.06396484375,25.2635,4240.03,260000,4192.11,52
53,43.2856,-365.3563232421875,20.0629,3820.31,265000,4349.3,53
54,45.2117,-384.07440185546875,23.5723,4200.94,270000,4285.89,54
55,44.5799,-394.99346923828125,24.1472,4180.82,275000,4195.91,55
56,43.9926,-372.6550598144531,21.3285,4284.15,280000,4347.74,56
57,43.6093,-376.13287353515625,20.917,4231.67,285000,4362.12,57
58,45.4772,-367.1763610839844,24.3266,4224.62,290000,4436.34,58
59,44.2897,-406.8104553222656,23.2781,4257.24,295000,4271.83,59
60,44.8269,-388.1085510253906,21.7031,4019.66,300000,4433.83,60
61,44.9148,-414.0628356933594,23.5664,4280.05,305000,4308.94,61
62,44.4406,-415.0289001464844,22.8351,4272.66,310000,4383.46,62
63,46.036,-450.4189758300781,24.5219,4135.14,315000,4144.85,63
64,44.4426,-449.74285888671875,22.3753,4314.55,320000,4375.43,64
65,44.3206,-448.17608642578125,21.8674,4342.98,325000,4431.91,65
66,43.9037,-377.1046447753906,21.3743,3752.19,330000,3658.09,66
67,44.8012,-425.73358154296875,22.1853,4420.62,335000,4417.41,67
68,44.7646,-425.6241760253906,23.1779,4406.66,340000,4506.58,68
69,42.9369,-359.92938232421875,18.2855,3541.59,345000,4509.8,69
70,44.7561,-487.9404296875,23.0591,4220.68,350000,4332.97,70
71,44.6731,-370.8410339355469,17.4618,3973.75,355000,4404.56,71
72,45.1796,-433.88671875,21.962,4203.83,360000,4490.57,72
73,43.655,-485.1330871582031,20.9372,4142.3,365000,4443.77,73
74,43.8989,-473.7893981933594,18.9865,4292.25,370000,4394.38,74
75,45.2246,-507.0534973144531,22.8075,4298.41,375000,4336.47,75
76,44.2886,-530.871826171875,20.1276,4263.81,380000,4375.97,76
77,42.8506,-450.8866882324219,19.1645,3722.76,385000,3967.05,77
78,43.6321,-541.0322875976562,19.5281,4244.84,390000,4353.49,78
79,42.8806,-484.76324462890625,19.5159,4056.85,395000,4444.1,79
80,42.7667,-459.37872314453125,19.1905,3548.0,400000,4462.64,80
81,43.5956,-529.4430541992188,19.3147,4079.46,405000,4341.19,81
82,43.9456,-529.6963500976562,20.2424,4356.01,410000,4432.84,82
83,43.7253,-546.3688354492188,18.8251,3943.05,415000,4385.63,83
84,43.9232,-562.463623046875,20.5676,4301.21,420000,4299.79,84
85,43.47,-563.0946044921875,21.3194,4387.0,425000,4400.81,85
86,42.9749,-545.159912109375,25.7225,3553.09,430000,3568.08,86
87,43.158,-550.8045043945312,20.1401,4217.9,435000,4386.08,87
88,43.6374,-555.48681640625,20.0384,4282.14,440000,4371.71,88
89,43.6907,-586.7678833007812,21.7047,4184.13,445000,4453.62,89
90,44.0478,-587.2314453125,21.3252,4358.8,450000,4415.47,90
91,44.7452,-594.3217163085938,26.5734,3285.49,455000,4353.17,91
92,43.6572,-614.0479736328125,20.7153,4251.94,460000,4322.9,92
93,44.2121,-601.3816528320312,23.22,3929.3,465000,3039.56,93
94,44.0354,-618.07275390625,21.1902,4192.07,470000,4478.07,94
95,43.581,-605.766357421875,20.6017,4387.53,475000,4476.72,95
96,43.2993,-615.1596069335938,19.2584,4356.28,480000,4413.54,96
97,43.949,-645.1171875,18.6658,4256.8,485000,4311.09,97
98,42.7689,-632.1315307617188,18.3104,4166.15,490000,4448.38,98
99,43.7716,-636.185302734375,19.9521,4388.07,495000,4474.93,99
100,44.2659,-646.8385009765625,21.4109,4386.37,500000,4439.17,100
101,43.9492,-658.2863159179688,20.6398,4400.89,505000,4474.65,101
102,43.9641,-600.0302124023438,23.9997,2095.84,510000,905.51,102
103,43.4853,-656.5921630859375,19.4908,4028.43,515000,4415.56,103
104,43.5932,-700.8596801757812,20.754,4124.56,520000,4344.11,104
105,43.6491,-656.9601440429688,20.577,3834.54,525000,4509.91,105
106,44.0374,-716.9732055664062,20.6028,4330.64,530000,4423.8,106
107,43.1263,-707.1864624023438,18.3842,4096.07,535000,4339.26,107
108,43.0766,-682.326416015625,18.8583,3825.2,540000,4394.39,108
109,43.0045,-695.525634765625,18.9225,4179.41,545000,4401.72,109
110,42.9819,-709.0140380859375,18.4913,3057.72,550000,4450.66,110
111,42.0277,-603.5348510742188,16.2093,4403.58,555000,4548.58,111
112,42.481,-614.2703857421875,17.5934,3084.4,560000,4362.1,112
113,43.1364,-668.937744140625,25.7643,3276.22,565000,4190.05,113
114,42.7878,-741.9318237304688,19.3715,4356.04,570000,4451.24,114
115,43.0994,-735.2971801757812,19.5795,4344.13,575000,4404.47,115
116,42.1123,-744.17041015625,19.2384,4041.9,580000,4536.4,116
117,42.6925,-770.6278686523438,19.5005,4362.94,585000,4459.45,117
118,42.4183,-711.1064453125,16.4479,3955.28,590000,4344.98,118
119,43.4898,-774.3856811523438,20.2781,4127.62,595000,4309.64,119
120,42.0809,-685.6016845703125,19.2116,4185.06,600000,4407.98,120
121,42.7851,-797.64208984375,19.1814,4357.5,605000,4384.74,121
122,42.9403,-803.5670776367188,17.9177,3636.63,610000,4256.69,122
123,41.5856,-753.2345581054688,17.652,4424.51,615000,4328.71,123
124,41.7545,-731.0520629882812,16.8618,3457.76,620000,4371.28,124
125,42.1424,-781.0223999023438,16.9767,4165.03,625000,4374.05,125
126,42.9866,-856.7128295898438,18.4396,3965.2,630000,4288.94,126
127,43.036,-825.3075561523438,20.906,4402.18,635000,4429.17,127
128,42.281,-852.0330200195312,19.2698,3979.02,640000,4330.74,128
129,42.2479,-821.7225341796875,17.4303,4378.65,645000,4447.32,129
130,42.0297,-768.8814697265625,17.6108,4360.02,650000,4436.76,130
