Real Sto Return,Running Update Time,Itration,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return
1213.19,49,49,245000,-1225.9822998046875,25.1598,19.6109,1540.86
1043.24,50,50,250000,-1359.7054443359375,26.1107,18.1441,1123.05
1135.7,51,51,255000,-1224.60302734375,25.5098,16.5462,1222.93
1204.79,52,52,260000,-1174.58056640625,24.8769,19.6051,1343.24
1189.57,53,53,265000,-1297.449462890625,25.3747,18.2935,2999.55
1035.42,54,54,270000,-1336.350341796875,25.1372,14.8553,1212.32
2109.99,55,55,275000,-739.3201293945312,25.0885,16.7148,3196.05
1450.63,56,56,280000,-1123.308837890625,24.7993,20.9587,3237.39
1129.17,57,57,285000,-1073.9110107421875,25.0441,15.0039,1617.54
1132.74,58,58,290000,-1161.796630859375,24.4384,14.1788,1312.87
1147.29,59,59,295000,-983.75830078125,25.2718,13.7848,1333.57
1560.9,60,60,300000,-806.4413452148438,24.9518,14.874,3263.19
893.33,61,61,305000,-1091.7108154296875,25.5771,12.6637,958.09
941.76,62,62,310000,-1353.256103515625,24.9566,13.3765,1131.11
1351.26,63,63,315000,-708.1990966796875,24.2332,12.7349,3224.57
1388.96,64,64,320000,-1198.54443359375,24.8685,18.1733,2278.04
1288.06,65,65,325000,-1224.364501953125,25.2111,14.0814,1751.86
1442.1,66,66,330000,-914.552490234375,24.8382,18.9707,2369.39
1224.44,67,67,335000,-1015.6753540039062,25.3952,13.3689,1171.99
1873.97,68,68,340000,-925.0039672851562,24.2892,14.5832,2750.05
1171.93,69,69,345000,-1379.0084228515625,25.4507,19.394,1626.8
1116.37,70,70,350000,-1011.5499267578125,24.6497,12.8543,1104.13
1386.07,71,71,355000,-1249.06103515625,24.0551,12.8585,1688.55
1021.97,72,72,360000,-1524.825439453125,25.0713,34.0562,1203.5
1374.16,73,73,365000,-1264.876953125,23.986,13.9255,3250.13
1440.79,74,74,370000,-1161.8218994140625,24.0365,12.0787,2465.18
1601.5,75,75,375000,-1412.8486328125,24.1423,23.7583,3257.24
1124.69,76,76,380000,-1482.5096435546875,24.8959,27.5789,1185.75
1119.42,77,77,385000,-1370.9151611328125,24.5112,25.9555,1204.72
1231.93,78,78,390000,-1302.1170654296875,23.8714,12.6829,2926.29
1044.45,79,79,395000,-1508.7220458984375,24.6928,12.5373,1190.22
1234.92,80,80,400000,-1632.4931640625,23.8694,34.0649,1211.18
1134.65,81,81,405000,-1462.11376953125,24.1987,12.3102,1238.38
1020.77,82,82,410000,-2161.686279296875,25.354,14.1813,1005.54
1344.93,83,83,415000,-1646.5357666015625,23.8531,13.597,2874.77
1831.44,84,84,420000,-1885.2008056640625,23.8871,16.3003,2328.88
1321.41,85,85,425000,-2154.0,23.7337,19.4753,1381.55
1231.15,86,86,430000,-1838.6619873046875,23.3808,13.8608,3051.73
1272.98,87,87,435000,-2164.645263671875,23.8346,23.749,1551.02
1442.37,88,88,440000,-1826.498046875,23.6187,17.6918,3269.44
1330.4,89,89,445000,-1542.500732421875,23.1944,12.2265,1301.85
1420.34,90,90,450000,-2404.663818359375,23.9273,23.3328,2154.8
1331.98,91,91,455000,-2596.67041015625,23.4775,23.5138,1574.01
1240.87,92,92,460000,-2287.400634765625,23.6806,16.2324,1843.81
1163.23,93,93,465000,-2065.365234375,23.977,12.7761,1217.1
1171.6,94,94,470000,-2675.044189453125,23.9363,33.2692,1110.13
1064.51,95,95,475000,-3382.55224609375,24.8549,68.4886,1258.04
1150.68,96,96,480000,-2824.7353515625,24.6549,24.2256,1303.63
2581.55,97,97,485000,-1241.5826416015625,22.7945,19.7727,3246.98
1355.92,98,98,490000,-2579.08935546875,23.7948,23.0441,1378.62
893.93,99,99,495000,-3783.281982421875,24.7784,87.5063,954.95
1177.11,100,100,500000,-2607.947265625,23.7386,15.7911,1184.7
1181.25,101,101,505000,-3279.676025390625,24.8346,39.6043,1125.32
1313.38,102,102,510000,-3341.24658203125,24.7219,34.1722,1521.36
1514.07,103,103,515000,-3267.9609375,23.8781,44.8993,1785.48
1128.09,104,104,520000,-3242.312744140625,24.4733,21.1865,1068.83
1112.53,105,105,525000,-3817.654541015625,24.5488,95.0289,1451.55
1118.25,106,106,530000,-3670.31005859375,24.8104,34.8322,1209.63
1597.96,107,107,535000,-2862.168212890625,22.9473,34.6672,2581.09
1329.06,108,108,540000,-4107.6279296875,24.2713,71.5027,1488.83
1332.79,109,109,545000,-3508.52197265625,23.5216,33.0774,1772.82
1650.2,110,110,550000,-3787.2060546875,23.4182,41.3371,3201.36
1573.14,111,111,555000,-3051.0810546875,22.9596,26.1433,2255.28
1936.34,112,112,560000,-3075.551025390625,22.7897,46.9018,2798.86
1428.4,113,113,565000,-3743.228515625,23.3049,61.6166,1948.92
1275.34,114,114,570000,-3767.531494140625,23.8313,38.0392,1554.54
1681.14,115,115,575000,-3474.9111328125,22.7236,54.962,3174.86
1147.51,116,116,580000,-4484.666015625,23.7603,84.4477,2297.53
1482.28,117,117,585000,-4187.19677734375,23.4424,44.1524,1819.58
1878.29,118,118,590000,-3125.41357421875,22.597,42.912,2490.73
2000.6,119,119,595000,-2943.091796875,23.0566,45.634,3293.09
1394.76,120,120,600000,-4400.47216796875,23.9584,33.0708,1457.0
1482.81,121,121,605000,-5418.794921875,24.2988,79.5934,1298.55
1091.87,122,122,610000,-4536.13623046875,24.9117,22.2474,1175.3
1682.72,123,123,615000,-4429.15673828125,23.1107,79.2146,2830.62
981.06,124,124,620000,-5514.14794921875,24.5341,34.4411,1030.57
1708.55,125,125,625000,-3011.9736328125,21.9192,33.3817,3208.73
1373.25,126,126,630000,-5427.32666015625,23.6467,50.1524,1728.25
1647.23,127,127,635000,-4700.3115234375,23.5451,45.6746,3264.96
2150.82,128,128,640000,-1737.103515625,21.8772,19.7299,2216.94
1326.33,129,129,645000,-5584.6826171875,24.3395,77.006,1673.71
2629.82,130,130,650000,-1605.23486328125,21.7384,23.1077,3169.22
1360.57,131,131,655000,-5763.53466796875,24.2849,72.113,1487.14
1429.03,132,132,660000,-4838.25244140625,23.7515,45.2614,1426.72
1392.38,133,133,665000,-4192.8662109375,22.901,29.7615,1405.52
1231.14,134,134,670000,-5382.259765625,23.376,44.7842,1350.1
1448.51,135,135,675000,-5073.66943359375,22.8094,39.3876,1542.43
1185.55,136,136,680000,-5552.7119140625,22.7115,80.0677,1382.29
1363.51,137,137,685000,-5822.5478515625,23.6185,49.4151,1512.53
1335.85,138,138,690000,-5689.3349609375,23.5604,56.6754,1496.62
1382.74,139,139,695000,-5597.63916015625,23.2613,41.1604,1251.95
1856.02,140,140,700000,-3243.741455078125,21.4226,28.1009,3167.13
1217.68,141,141,705000,-6027.43994140625,23.4375,60.6592,1278.23
1553.39,142,142,710000,-5150.93798828125,23.4842,46.8095,1949.1
1495.19,143,143,715000,-5159.5927734375,22.5441,40.5293,1477.36
1436.31,144,144,720000,-4618.14404296875,22.5895,46.1751,2874.77
1415.06,145,145,725000,-6683.4736328125,23.8103,81.0687,1533.44
1456.16,146,146,730000,-6530.38818359375,23.9662,96.2369,1754.68
2085.41,147,147,735000,-4695.275390625,22.2082,51.388,2857.63
1317.14,148,148,740000,-6639.04345703125,23.8976,91.0996,1523.79
1292.49,149,149,745000,-7681.85791015625,24.1798,61.785,1373.34
1258.35,150,150,750000,-6256.255859375,24.4521,32.9764,1553.5
1766.06,151,151,755000,-5086.76708984375,23.1491,49.832,3374.57
1528.43,152,152,760000,-3861.478515625,22.4105,19.2038,2972.89
1114.87,153,153,765000,-8370.53125,24.7465,62.2381,1394.16
1385.8,154,154,770000,-7724.828125,24.2023,80.0381,1444.81
2539.37,155,155,775000,-2714.40087890625,22.0233,23.2382,2201.21
2135.59,156,156,780000,-3245.17626953125,21.6201,28.6515,3351.51
1201.99,157,157,785000,-7972.37109375,24.2225,111.2535,1709.16
1321.06,158,158,790000,-7604.453125,24.4066,81.0626,1531.04
2149.57,159,159,795000,-3633.05224609375,22.2889,29.8259,3373.19
1335.76,160,160,800000,-6442.052734375,23.2863,66.4353,1622.05
1250.98,161,161,805000,-8045.2939453125,23.253,103.3944,1333.5
1762.21,162,162,810000,-6674.14453125,23.083,70.3931,1336.7
1506.56,163,163,815000,-6944.62060546875,23.4505,80.3521,2985.63
1231.07,164,164,820000,-8158.93359375,23.8499,97.1503,1259.08
1727.31,165,165,825000,-6048.3408203125,22.8651,41.8172,3391.07
1281.11,166,166,830000,-6884.84130859375,23.9745,47.5137,1439.65
2352.78,167,167,835000,-5595.90087890625,22.8334,37.5606,3410.03
1482.16,168,168,840000,-7532.36279296875,23.7051,35.9026,1743.22
2117.53,169,169,845000,-4398.2744140625,22.147,22.293,3348.65
1859.37,170,170,850000,-5868.35595703125,23.2498,27.5281,3318.6
1477.19,171,171,855000,-7087.6494140625,23.2169,59.7314,1558.19
1620.43,172,172,860000,-7324.04296875,24.1244,55.2641,3380.22
2170.24,173,173,865000,-4094.881103515625,22.6224,23.3631,3400.6
1306.72,174,174,870000,-8165.36572265625,23.8623,34.8109,1297.37
2607.04,175,175,875000,-1490.77880859375,22.0292,15.3946,3402.39
1593.36,176,176,880000,-7879.82666015625,23.5471,27.2851,3454.28
1791.23,177,177,885000,-5997.7294921875,22.7329,28.3063,3374.32
1991.82,178,178,890000,-4784.14697265625,22.5586,21.5048,3338.97
1725.1,179,179,895000,-6509.091796875,22.8265,24.5664,3376.67
1781.8,180,180,900000,-5094.34765625,22.2691,36.5997,1663.74
1768.5,181,181,905000,-7344.00439453125,23.1647,44.1803,3228.46
2485.47,182,182,910000,-3880.66357421875,21.7282,15.4903,3358.81
2533.72,183,183,915000,-3016.0830078125,21.6118,16.7409,3313.64
2934.58,184,184,920000,-1397.776123046875,21.4182,16.1894,3350.31
1737.97,185,185,925000,-6180.6044921875,22.84,26.8146,3291.6
2592.65,186,186,930000,-3763.13037109375,21.4696,17.6358,3349.27
2387.72,187,187,935000,-3128.371826171875,22.3349,14.6971,3337.02
2125.16,188,188,940000,-4786.96826171875,22.0063,24.3977,3293.49
1906.59,189,189,945000,-7758.49658203125,23.4983,32.5406,1622.25
1396.23,190,190,950000,-6698.998046875,23.1312,23.3323,2289.07
1320.87,191,191,955000,-7838.10009765625,24.1476,31.9212,2016.16
2403.72,192,192,960000,-2185.1875,21.3701,17.547,3020.62
2213.29,193,193,965000,-7093.56787109375,23.0634,20.9975,3378.12
2365.6,194,194,970000,-2785.3671875,21.4121,18.7061,2457.62
2597.18,195,195,975000,-1975.9820556640625,21.3962,15.4797,3381.71
2606.28,196,196,980000,-3256.897705078125,22.1387,16.6414,3385.05
1573.83,197,197,985000,-6567.189453125,22.3393,19.8972,2948.74
1881.72,198,198,990000,-6270.693359375,22.0524,36.5044,3388.17
3172.16,199,199,995000,-906.6885986328125,21.078,15.7825,3338.38
