Real Det Return,Running Update Time,Reward Loss,Running Forward KL,Running Reverse KL,Real Sto Return,Itration,Running Env Steps
1021.95,189,-10668.533203125,36.2208,26.4636,1022.94,189,945000
1032.87,190,-10391.1015625,37.2604,25.347,1031.83,190,950000
1014.05,191,-11279.4169921875,35.9855,35.3546,1012.69,191,955000
1024.0,192,-11187.29296875,34.8622,26.0844,1024.83,192,960000
1024.56,193,-11012.4453125,35.2364,34.0389,1024.04,193,965000
1031.16,194,-11337.791015625,35.3783,28.4455,1030.74,194,970000
377.25,195,-8870.900390625,30.8735,31.4212,380.41,195,975000
358.78,196,-7749.919921875,32.2175,23.0287,355.31,196,980000
590.56,197,-8642.6123046875,31.391,27.3217,378.83,197,985000
555.86,198,-9489.47265625,33.4594,20.9765,467.47,198,990000
891.87,199,-10664.9580078125,33.2942,25.8462,685.88,199,995000
