Itration,Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL,Real Det Return
80,-14043.5517578125,15.3511,400000,80,1751.87,156.7467,2087.0
81,-14360.125,15.3943,405000,81,1767.22,156.8071,2118.83
82,-14517.15625,15.8743,410000,82,1808.25,156.966,2174.35
83,-14786.580078125,15.4014,415000,83,1751.99,156.8791,2128.03
84,-14955.24609375,15.5227,420000,84,1809.45,156.9089,2147.74
85,-15202.6240234375,15.7312,425000,85,1799.53,157.0047,2163.21
86,-15562.9755859375,15.9127,430000,86,1840.59,156.8229,2216.11
87,-15728.7265625,15.5761,435000,87,1842.75,156.7295,2204.71
88,-16008.4453125,15.6634,440000,88,1802.73,156.9401,2131.73
89,-16172.3876953125,15.1385,445000,89,1782.57,156.8569,2162.27
90,-16505.357421875,15.8676,450000,90,1819.14,156.8792,2144.41
91,-16607.693359375,15.5633,455000,91,1823.79,156.7872,2191.95
92,-16880.630859375,15.6133,460000,92,1817.93,156.8135,2212.81
93,-17073.099609375,15.4122,465000,93,1809.4,156.8878,2151.27
94,-17226.28515625,15.6892,470000,94,1820.77,156.9318,2197.01
95,-17519.61328125,15.51,475000,95,1836.98,157.0501,2200.96
96,-17864.5546875,15.5692,480000,96,1830.67,157.0027,2176.85
97,-17956.298828125,15.4072,485000,97,1816.77,156.7728,2155.64
98,-18186.4453125,15.4003,490000,98,1831.85,156.7842,2158.88
99,-18413.87890625,15.5482,495000,99,1816.91,156.7219,2167.28
100,-18690.931640625,15.5836,500000,100,1856.24,156.8315,2237.34
101,-18943.501953125,15.4867,505000,101,1831.54,156.7725,2156.2
102,-19097.611328125,15.6041,510000,102,1842.81,156.8304,2206.32
103,-19336.27734375,15.4111,515000,103,1853.26,156.6044,2187.84
104,-19549.978515625,15.5196,520000,104,1892.95,156.7517,2255.23
105,-19794.044921875,15.1967,525000,105,1816.22,156.6324,2182.06
106,-20105.88671875,15.3808,530000,106,1855.27,156.7758,2206.07
107,-20418.59375,15.4916,535000,107,1828.03,156.7904,2199.33
108,-20583.150390625,15.2364,540000,108,1844.81,156.6982,2164.4
109,-20743.640625,15.3587,545000,109,1841.69,156.5533,2210.23
110,-21024.30078125,15.4248,550000,110,1829.38,156.8711,2169.8
111,-21290.59375,15.5942,555000,111,1867.86,156.7778,2235.47
112,-21597.283203125,15.1371,560000,112,1807.77,156.7178,2098.96
113,-21759.734375,15.4661,565000,113,1875.87,156.643,2210.35
114,-21950.69140625,15.3985,570000,114,1858.66,156.8097,2222.26
115,-22310.818359375,15.0121,575000,115,1819.2,156.7508,2163.66
116,-22442.138671875,15.4711,580000,116,1849.02,156.8661,2185.13
117,-22639.31640625,15.3786,585000,117,1841.57,156.7668,2187.04
118,-23013.67578125,15.5116,590000,118,1863.81,156.7192,2199.16
119,-23054.87109375,15.2979,595000,119,1864.83,156.5238,2206.46
120,-23252.236328125,15.3493,600000,120,1861.1,156.7232,2193.38
121,-23392.876953125,15.1147,605000,121,1844.1,156.6821,2192.97
122,-23514.326171875,15.3359,610000,122,1868.88,156.7855,2204.48
123,-23989.50390625,15.4487,615000,123,1863.49,156.7507,2208.33
124,-24239.447265625,15.3967,620000,124,1859.74,156.655,2212.46
125,-24403.93359375,15.7047,625000,125,1857.89,156.8581,2217.5
126,-24460.076171875,15.4708,630000,126,1878.77,156.782,2238.65
127,-24753.8515625,15.422,635000,127,1873.67,156.5898,2272.83
128,-24944.927734375,15.1314,640000,128,1886.33,156.4535,2241.6
129,-24992.51953125,15.3224,645000,129,1811.74,156.595,2177.48
130,-25237.283203125,15.3902,650000,130,1889.56,156.7741,2239.03
131,-25457.19921875,15.2863,655000,131,1854.53,156.7591,2190.61
132,-25732.26171875,15.3828,660000,132,1853.66,156.7012,2168.71
133,-25915.0859375,15.3232,665000,133,1854.04,156.7682,2190.46
134,-26130.34765625,15.1727,670000,134,1864.88,156.5743,2211.44
135,-26415.8203125,15.5964,675000,135,1845.56,156.8821,2219.16
136,-26493.591796875,15.1708,680000,136,1852.95,156.7381,2222.54
137,-26733.337890625,15.2506,685000,137,1878.6,156.725,2250.1
138,-26893.587890625,15.4317,690000,138,1901.18,156.635,2246.35
139,-27048.556640625,15.1195,695000,139,1872.91,156.6972,2190.78
140,-27352.466796875,15.3659,700000,140,1866.32,156.7611,2237.07
141,-27625.06640625,15.4043,705000,141,1868.19,156.7512,2209.2
142,-27659.201171875,15.2449,710000,142,1896.83,156.7161,2226.99
143,-27970.99609375,15.1635,715000,143,1900.65,156.7668,2261.97
144,-28134.841796875,15.0611,720000,144,1824.25,156.5825,2223.48
145,-28339.892578125,14.9795,725000,145,1845.16,156.6133,2159.11
146,-28495.802734375,15.022,730000,146,1856.83,156.5726,2205.43
147,-28798.099609375,15.4081,735000,147,1871.58,156.733,2190.12
148,-28936.263671875,15.2427,740000,148,1875.14,156.5714,2214.12
149,-29313.470703125,15.7566,745000,149,1908.89,156.6605,2312.64
150,-29274.244140625,15.0726,750000,150,1908.62,156.4939,2253.48
151,-29725.630859375,15.2063,755000,151,1886.45,156.7331,2219.41
152,-30014.04296875,15.3055,760000,152,1887.42,156.7599,2258.61
153,-30099.90625,15.1779,765000,153,1919.6,156.5653,2276.13
154,-30237.64453125,15.1324,770000,154,1883.06,156.5565,2247.31
155,-30601.248046875,15.2802,775000,155,1907.87,156.5834,2242.82
156,-30886.583984375,15.3292,780000,156,1852.36,156.8344,2232.38
157,-30932.484375,15.0721,785000,157,1850.06,156.8192,2203.27
158,-31344.6640625,15.2454,790000,158,1885.85,156.7118,2264.76
159,-31548.162109375,15.3658,795000,159,1921.96,156.6649,2268.94
160,-31820.2578125,15.3032,800000,160,1848.82,156.8071,2256.21
161,-31854.421875,15.3181,805000,161,1918.95,156.7817,2262.51
162,-32319.091796875,15.2889,810000,162,1912.75,156.7991,2280.42
163,-32361.2421875,15.2488,815000,163,1893.75,156.6692,2283.37
164,-32695.564453125,15.1927,820000,164,1938.5,156.4645,2250.7
165,-32877.21875,15.1431,825000,165,1904.98,156.5193,2266.26
166,-33232.88671875,14.8845,830000,166,1862.19,156.5192,2247.48
167,-33323.1875,14.8834,835000,167,1863.05,156.713,2235.26
168,-33732.3671875,15.05,840000,168,1864.99,156.6398,2249.44
169,-33645.1796875,14.9225,845000,169,1917.96,156.5505,2263.4
170,-33862.5,14.9123,850000,170,1880.01,156.6026,2235.22
171,-34278.40234375,15.3049,855000,171,1906.2,156.5985,2289.82
172,-34726.65234375,15.3186,860000,172,1889.17,156.7448,2259.28
173,-34701.44921875,14.9494,865000,173,1854.18,156.5749,2233.37
174,-34909.30859375,15.0295,870000,174,1904.59,156.6786,2267.9
175,-35357.953125,15.2804,875000,175,1891.68,156.6614,2243.03
176,-35493.9296875,15.3474,880000,176,1925.2,156.6231,2246.43
177,-35791.88671875,15.3528,885000,177,1896.96,156.5813,2265.02
178,-35908.53125,14.9908,890000,178,1899.18,156.616,2289.32
179,-36196.59765625,15.1288,895000,179,1908.24,156.6658,2298.15
180,-36545.31640625,15.2164,900000,180,1902.52,156.6901,2227.79
181,-36614.640625,15.1989,905000,181,1890.56,156.582,2269.08
182,-36970.0546875,14.8934,910000,182,1908.36,156.6419,2265.59
183,-37449.68359375,15.189,915000,183,1922.91,156.6281,2286.35
184,-37369.80078125,15.0939,920000,184,1900.86,156.3655,2265.92
185,-37629.8359375,15.151,925000,185,1913.0,156.5251,2292.7
186,-38031.5703125,15.1892,930000,186,1945.35,156.561,2301.29
187,-38313.828125,14.9865,935000,187,1878.63,156.5984,2247.04
188,-38450.203125,15.2165,940000,188,1897.47,156.6378,2295.32
189,-38633.01171875,15.1136,945000,189,1896.71,156.6213,2262.17
190,-39023.94140625,15.149,950000,190,1905.84,156.5569,2278.77
191,-39292.13671875,15.1069,955000,191,1910.35,156.5665,2304.54
192,-39540.12890625,15.0983,960000,192,1906.76,156.6333,2300.22
193,-39557.296875,14.8691,965000,193,1868.66,156.6519,2216.84
194,-39774.5546875,15.0279,970000,194,1904.47,156.5074,2277.6
195,-39913.78125,15.1145,975000,195,1914.78,156.5107,2284.25
196,-40281.8046875,15.0889,980000,196,1909.03,156.5953,2264.85
197,-40404.59375,15.1735,985000,197,1908.78,156.5252,2271.18
198,-40617.84765625,15.1845,990000,198,1925.49,156.5972,2277.62
199,-40766.14453125,15.142,995000,199,1901.33,156.6297,2274.11
200,-41087.6953125,15.3346,1000000,200,1942.62,156.6379,2299.25
201,-41118.08984375,15.3457,1005000,201,1933.82,156.603,2320.58
202,-41346.65625,15.2611,1010000,202,1917.73,156.7402,2290.64
203,-41684.5390625,15.3878,1015000,203,1928.19,156.6541,2316.73
204,-41997.0390625,15.3424,1020000,204,1951.94,156.7087,2313.44
205,-41818.140625,15.2435,1025000,205,1924.26,156.702,2296.02
206,-42149.0703125,15.3864,1030000,206,1947.97,156.535,2312.86
207,-42364.48828125,15.1991,1035000,207,1945.77,156.7482,2324.14
208,-42283.08984375,15.1047,1040000,208,1933.13,156.4591,2300.11
209,-42532.42578125,15.1628,1045000,209,1941.95,156.5798,2308.59
210,-42791.6953125,15.2507,1050000,210,1930.56,156.606,2307.54
211,-42940.40625,15.1644,1055000,211,1939.81,156.5436,2303.27
212,-43205.765625,15.0488,1060000,212,1899.14,156.5456,2294.68
213,-43253.73828125,15.1874,1065000,213,1925.31,156.5697,2287.64
214,-43401.62890625,15.2164,1070000,214,1921.0,156.6869,2307.26
215,-43657.34765625,15.1079,1075000,215,1912.18,156.5949,2283.63
216,-43755.859375,15.1735,1080000,216,1913.76,156.5858,2308.2
217,-43881.25390625,15.091,1085000,217,1920.75,156.5107,2306.6
218,-44096.83203125,15.3377,1090000,218,1919.82,156.7988,2295.87
219,-44151.37890625,15.2895,1095000,219,1910.24,156.6782,2278.32
220,-44245.3359375,15.1707,1100000,220,1919.24,156.6146,2284.7
221,-44495.765625,15.4572,1105000,221,1932.93,156.6039,2280.32
222,-44442.73046875,15.2286,1110000,222,1941.74,156.6569,2308.65
223,-44803.94140625,15.0539,1115000,223,1910.93,156.6803,2288.56
224,-44869.8046875,15.2323,1120000,224,1916.21,156.7132,2307.27
225,-45114.72265625,15.2356,1125000,225,1914.65,156.6905,2317.35
226,-45321.7578125,15.3768,1130000,226,1936.57,156.5479,2322.7
227,-45329.44140625,15.4009,1135000,227,1959.41,156.5781,2316.47
228,-45724.1640625,15.2161,1140000,228,1930.19,156.7031,2309.73
229,-45579.59765625,15.0914,1145000,229,1907.67,156.6197,2303.41
230,-45813.0546875,15.1856,1150000,230,1926.99,156.6594,2293.97
231,-45953.9765625,15.1651,1155000,231,1903.86,156.5994,2298.22
232,-45888.44921875,15.1885,1160000,232,1912.82,156.5534,2296.69
233,-46290.91015625,15.3848,1165000,233,1941.43,156.6216,2329.55
234,-46270.828125,15.3629,1170000,234,1939.95,156.5943,2309.66
235,-46445.0625,15.2868,1175000,235,1923.85,156.7514,2315.33
236,-46682.578125,15.1635,1180000,236,1930.51,156.6362,2308.34
237,-46680.00390625,15.4631,1185000,237,1954.01,156.5906,2311.55
238,-46705.8671875,15.0835,1190000,238,1921.59,156.7281,2287.36
239,-46948.37890625,15.2103,1195000,239,1911.34,156.5554,2302.17
240,-46822.4140625,15.1955,1200000,240,1916.33,156.6254,2286.8
241,-47131.6328125,15.0706,1205000,241,1898.83,156.567,2286.84
242,-47186.40234375,15.001,1210000,242,1902.51,156.6613,2269.64
243,-47460.6015625,15.1776,1215000,243,1918.78,156.6465,2321.5
244,-47398.2109375,15.0582,1220000,244,1906.6,156.6283,2304.44
245,-47670.5625,15.0841,1225000,245,1884.65,156.6063,2288.69
246,-47885.4296875,15.166,1230000,246,1919.24,156.6045,2294.23
247,-47980.8046875,15.2544,1235000,247,1918.69,156.6141,2323.87
248,-48088.51953125,15.0742,1240000,248,1921.41,156.7355,2290.87
249,-48142.97265625,15.1147,1245000,249,1902.21,156.5558,2290.95
250,-48487.57421875,15.1161,1250000,250,1927.64,156.7014,2318.89
251,-48578.71484375,15.1969,1255000,251,1930.4,156.5919,2303.47
252,-48746.00390625,14.99,1260000,252,1924.49,156.5622,2301.68
253,-48826.81640625,15.1911,1265000,253,1944.55,156.6006,2308.15
254,-49007.14453125,15.2515,1270000,254,1946.91,156.7006,2306.66
255,-49079.484375,15.1278,1275000,255,1928.88,156.5389,2312.86
256,-49035.38671875,14.9956,1280000,256,1945.27,156.6772,2308.79
257,-49234.1484375,15.0219,1285000,257,1922.17,156.6275,2306.43
258,-49455.296875,15.259,1290000,258,1917.12,156.658,2287.82
259,-49506.90625,15.0954,1295000,259,1920.63,156.7277,2312.04
260,-49561.03515625,15.258,1300000,260,1963.29,156.6275,2315.95
261,-49605.1171875,15.1155,1305000,261,1950.58,156.5843,2304.09
262,-49911.421875,15.1618,1310000,262,1916.48,156.4514,2319.94
263,-50108.84765625,15.3911,1315000,263,1924.07,156.6858,2316.73
264,-50005.6640625,15.1455,1320000,264,1920.22,156.5994,2304.52
265,-50171.5703125,15.1088,1325000,265,1923.57,156.4279,2280.67
266,-50384.45703125,15.1697,1330000,266,1948.7,156.6859,2297.28
267,-50510.640625,15.1719,1335000,267,1934.33,156.5993,2282.15
268,-50583.76171875,15.0095,1340000,268,1913.28,156.6561,2273.14
269,-50681.93359375,15.4159,1345000,269,1919.11,156.5898,2286.2
270,-50699.46484375,15.1731,1350000,270,1917.4,156.547,2277.77
271,-50887.81640625,15.2795,1355000,271,1933.97,156.6569,2311.29
272,-50963.03125,15.3736,1360000,272,1943.83,156.7907,2296.4
273,-51117.67578125,15.1185,1365000,273,1940.58,156.7239,2303.49
274,-51144.75390625,15.2273,1370000,274,1931.09,156.6067,2304.14
275,-51463.79296875,15.3127,1375000,275,1937.69,156.7307,2317.62
276,-51137.359375,15.1225,1380000,276,1942.68,156.5822,2298.02
277,-51570.59375,15.2645,1385000,277,1930.48,156.3865,2303.23
278,-51717.30078125,15.222,1390000,278,1943.39,156.7494,2299.14
279,-51830.84765625,15.2886,1395000,279,1937.8,156.6585,2286.6
280,-52225.4765625,15.4612,1400000,280,1943.11,156.7464,2321.81
281,-51991.84765625,15.3445,1405000,281,1933.23,156.8687,2301.72
282,-52318.2890625,15.6513,1410000,282,1953.88,156.7276,2321.74
283,-52209.765625,15.4693,1415000,283,1924.32,156.813,2296.95
284,-52401.18359375,15.3844,1420000,284,1906.59,156.8485,2303.52
285,-52645.171875,15.3497,1425000,285,1915.73,156.6325,2289.39
286,-52602.51953125,15.6179,1430000,286,1944.12,156.8537,2310.92
287,-52698.109375,15.3546,1435000,287,1919.21,156.8457,2288.26
288,-52918.4609375,15.3373,1440000,288,1928.75,156.7546,2309.85
289,-52829.51171875,15.514,1445000,289,1893.61,156.7909,2302.91
290,-53119.91015625,15.5205,1450000,290,1949.25,156.7045,2303.02
291,-52991.76171875,15.226,1455000,291,1945.63,156.7174,2304.71
292,-53164.21484375,15.2831,1460000,292,1938.32,156.6468,2322.3
293,-53462.73046875,15.3406,1465000,293,1974.33,156.8925,2329.06
294,-53616.05859375,15.5777,1470000,294,1923.87,156.6368,2306.59
295,-53441.16796875,15.2323,1475000,295,1943.21,156.6143,2320.7
296,-53725.046875,15.3568,1480000,296,1955.27,156.7105,2334.56
297,-53642.78125,15.3329,1485000,297,1949.28,156.7213,2311.05
298,-53924.7421875,15.2646,1490000,298,1947.42,156.8092,2316.87
299,-54056.765625,15.3791,1495000,299,1971.38,156.7441,2342.74
300,-54099.46484375,15.2786,1500000,300,1965.85,156.7378,2327.96
301,-54159.1171875,15.3256,1505000,301,1922.92,156.9254,2313.0
302,-54256.375,15.1506,1510000,302,1941.22,156.6814,2312.02
303,-54280.03125,15.1478,1515000,303,1950.17,156.7008,2321.87
304,-54441.53515625,15.1334,1520000,304,1943.89,156.7293,2297.78
305,-54465.59765625,15.2096,1525000,305,1972.51,156.6093,2328.23
306,-54652.77734375,15.3307,1530000,306,1950.33,156.6,2318.52
307,-54805.46875,15.1838,1535000,307,1953.91,156.6982,2331.39
308,-54721.69921875,15.1629,1540000,308,1946.64,156.7422,2329.03
309,-54911.171875,15.0267,1545000,309,1919.36,156.7366,2340.55
310,-55184.21484375,14.9644,1550000,310,1907.94,156.5769,2313.85
311,-55124.53125,15.215,1555000,311,1953.87,156.7355,2319.35
312,-55362.80078125,15.1746,1560000,312,1950.43,156.6566,2333.62
313,-55403.49609375,15.2728,1565000,313,1951.21,156.7788,2308.37
314,-55536.58984375,15.4007,1570000,314,1947.38,156.6158,2328.5
315,-55574.77734375,15.257,1575000,315,1956.06,156.5672,2320.5
316,-55400.84375,15.1657,1580000,316,1960.53,156.6147,2347.65
317,-55593.53515625,15.2094,1585000,317,1957.83,156.7638,2323.25
318,-55651.49609375,15.1963,1590000,318,1974.51,156.6311,2327.3
319,-56015.0703125,15.2737,1595000,319,1962.69,156.7198,2323.9
320,-55874.609375,15.2481,1600000,320,1957.41,156.6315,2322.0
321,-55879.75390625,15.2401,1605000,321,1940.07,156.6238,2301.98
322,-55982.47265625,15.2554,1610000,322,1941.36,156.6362,2302.71
323,-56378.57421875,15.2236,1615000,323,1947.98,156.6057,2309.16
324,-56359.50390625,15.2331,1620000,324,1952.83,156.6487,2310.96
325,-56451.109375,15.2758,1625000,325,1945.59,156.801,2317.45
326,-56526.17578125,15.507,1630000,326,1958.09,156.6176,2332.34
327,-56513.546875,15.1181,1635000,327,1966.74,156.6335,2325.24
328,-56698.94921875,15.2894,1640000,328,1964.15,156.7206,2313.57
329,-57009.8359375,15.3791,1645000,329,1963.18,156.6771,2346.76
330,-56705.765625,15.1071,1650000,330,1948.63,156.7381,2319.75
331,-56900.29296875,15.2903,1655000,331,1961.26,156.6044,2315.57
332,-57228.84765625,15.3882,1660000,332,1987.48,156.6016,2342.16
333,-57322.09375,15.3789,1665000,333,1966.39,156.6352,2334.54
334,-57198.98046875,15.2365,1670000,334,1952.75,156.7005,2310.68
335,-57290.81640625,15.2523,1675000,335,1942.88,156.5929,2320.55
336,-57603.81640625,15.3578,1680000,336,1981.9,156.7312,2333.91
337,-57693.9609375,15.3762,1685000,337,1974.21,156.6228,2335.05
338,-57850.58984375,15.2977,1690000,338,1943.48,156.5783,2330.46
339,-58011.1953125,15.4688,1695000,339,1957.74,156.7359,2329.92
340,-57809.58984375,15.2516,1700000,340,1994.0,156.4155,2332.76
341,-58146.63671875,15.3276,1705000,341,1954.45,156.4928,2345.78
342,-58255.296875,15.3365,1710000,342,1976.51,156.7368,2372.79
343,-57849.04296875,15.098,1715000,343,1974.54,156.7099,2334.16
344,-58427.67578125,15.519,1720000,344,1959.84,156.7565,2356.57
345,-58496.2734375,15.3218,1725000,345,1960.51,156.7268,2348.75
346,-58487.04296875,15.3505,1730000,346,1966.6,156.4796,2338.93
347,-58687.9609375,15.3034,1735000,347,1968.56,156.5849,2354.09
348,-58717.13671875,15.1721,1740000,348,1937.61,156.4999,2317.87
349,-58995.85546875,15.5412,1745000,349,1937.12,156.6788,2347.83
350,-58975.99609375,15.4601,1750000,350,1958.65,156.6909,2357.44
351,-58950.875,15.401,1755000,351,1978.28,156.6746,2348.19
352,-59362.27734375,15.4049,1760000,352,1968.84,156.6647,2352.58
353,-59345.93359375,15.5083,1765000,353,1994.03,156.6779,2373.05
354,-59419.921875,15.4618,1770000,354,1962.65,156.5848,2349.22
355,-59750.3203125,15.6769,1775000,355,1978.5,156.6414,2371.96
356,-59437.49609375,15.2539,1780000,356,1967.72,156.7072,2338.19
357,-59789.15625,15.4253,1785000,357,1941.94,156.697,2346.83
358,-60061.90234375,15.5596,1790000,358,1993.75,156.5905,2386.58
359,-59909.39453125,15.4917,1795000,359,1990.06,156.6065,2370.0
360,-60122.76953125,15.464,1800000,360,1973.12,156.6926,2362.53
361,-60364.484375,15.5189,1805000,361,1996.63,156.6421,2356.79
362,-60572.64453125,15.5782,1810000,362,1959.33,156.542,2341.9
363,-60395.375,15.3156,1815000,363,1981.64,156.6402,2360.49
364,-60506.68359375,15.4215,1820000,364,1953.17,156.6465,2336.24
365,-60659.45703125,15.5171,1825000,365,1985.4,156.6297,2367.6
366,-60939.16015625,15.6017,1830000,366,1975.08,156.5816,2369.85
367,-60645.32421875,15.4312,1835000,367,1952.08,156.6336,2324.39
368,-60806.8046875,15.3334,1840000,368,1977.99,156.6358,2339.67
369,-61105.52734375,15.3821,1845000,369,1956.18,156.6826,2346.46
370,-61039.78515625,15.2393,1850000,370,1977.04,156.5056,2346.58
371,-60857.78125,15.2463,1855000,371,1958.63,156.5618,2352.05
372,-61374.8046875,15.4963,1860000,372,1981.01,156.5583,2376.16
373,-61218.9375,15.2441,1865000,373,1967.31,156.6849,2340.42
374,-61558.34765625,15.3302,1870000,374,1954.39,156.5008,2339.1
375,-61755.27734375,15.423,1875000,375,1978.98,156.6577,2370.13
376,-61698.51953125,15.4037,1880000,376,1960.59,156.7228,2352.75
377,-61704.578125,15.4839,1885000,377,1983.62,156.6628,2364.32
378,-61929.26953125,15.4319,1890000,378,1971.28,156.5702,2343.13
379,-62030.94140625,15.2644,1895000,379,1955.65,156.6336,2334.03
380,-62230.59765625,15.4915,1900000,380,1959.01,156.559,2357.19
381,-62436.50390625,15.4727,1905000,381,1980.99,156.4288,2356.72
382,-62468.859375,15.6624,1910000,382,1982.95,156.631,2368.76
383,-62491.375,15.5397,1915000,383,1939.57,156.532,2345.0
384,-62496.4453125,15.2452,1920000,384,1937.18,156.5891,2322.99
385,-62751.62109375,15.3434,1925000,385,1959.38,156.5189,2354.69
386,-62711.1796875,15.3345,1930000,386,1953.05,156.5905,2341.79
387,-62899.2734375,15.2488,1935000,387,1977.75,156.5055,2346.56
388,-63118.890625,15.3182,1940000,388,1953.32,156.5609,2337.08
389,-63156.66796875,15.3021,1945000,389,1950.08,156.5757,2338.39
390,-63285.78515625,15.5445,1950000,390,1969.77,156.6195,2348.64
391,-63575.64453125,15.4234,1955000,391,1919.7,156.6319,2321.71
392,-63536.3515625,15.3701,1960000,392,1957.69,156.4673,2278.99
393,-63505.38671875,15.391,1965000,393,1953.85,156.6732,2328.65
