Itration,Running Reverse KL,Running Env Steps,Running Update Time,Real Sto Return,Reward Loss,Running Forward KL,Real Det Return
35,235.6872,175000,35,1026.33,-7113.10791015625,379.6672,645.55
36,211.7419,180000,36,1045.03,-6360.33837890625,372.7389,518.71
37,189.9116,185000,37,1339.0,-5936.51220703125,360.8646,816.36
38,179.8262,190000,38,1294.44,-5677.1708984375,354.4339,927.92
39,201.1654,195000,39,1562.9,-6411.91650390625,364.1754,910.83
40,185.9007,200000,40,1828.08,-6445.0693359375,356.9667,1053.34
41,159.5513,205000,41,2298.3,-5096.73876953125,350.397,1054.22
42,154.3627,210000,42,3367.91,-4510.67529296875,352.2436,1417.25
43,171.549,215000,43,2370.36,-5331.69482421875,345.8867,1313.47
44,181.3154,220000,44,2802.91,-6549.8232421875,355.5357,3575.07
45,179.7117,225000,45,3047.44,-6518.47412109375,351.3554,2680.13
46,217.4273,230000,46,1894.79,-8374.5419921875,372.017,979.05
47,161.0374,235000,47,2171.63,-6191.99560546875,337.3907,867.19
48,216.2827,240000,48,1451.93,-8477.4560546875,369.0218,795.49
49,190.8816,245000,49,1643.06,-7712.392578125,359.0333,712.55
50,131.9905,250000,50,2952.71,-4310.84375,334.3227,929.06
51,177.8976,255000,51,2447.44,-7132.9140625,354.2819,981.06
52,158.417,260000,52,2557.61,-5379.669921875,349.3663,1096.8
53,140.9757,265000,53,3586.0,-5223.876953125,335.8,1141.25
54,200.2151,270000,54,2035.68,-7347.34814453125,356.1941,751.08
55,228.9001,275000,55,1748.49,-8567.8427734375,371.6377,847.39
56,231.2412,280000,56,2181.82,-8210.2177734375,356.847,766.25
57,211.0327,285000,57,2839.03,-7304.25439453125,358.6159,1135.26
58,191.7276,290000,58,3324.46,-7128.40380859375,346.0782,832.33
59,168.2956,295000,59,3630.82,-6097.94384765625,359.5826,1120.23
60,157.3114,300000,60,3196.2,-5654.802734375,347.4915,1299.02
61,184.0249,305000,61,3555.63,-6554.056640625,351.6041,853.74
62,150.1171,310000,62,2791.1,-5493.76416015625,348.0339,921.11
63,232.3425,315000,63,2504.31,-8155.58984375,356.2766,1039.15
64,154.8015,320000,64,3533.23,-5858.31884765625,341.1959,1052.31
65,171.968,325000,65,2505.28,-7313.3369140625,346.2553,1266.28
66,166.9361,330000,66,4616.97,-7153.5595703125,339.4962,1256.09
67,145.6347,335000,67,3793.26,-6374.45751953125,340.5433,1265.55
68,147.822,340000,68,3512.09,-7165.93359375,337.2313,985.75
69,142.9511,345000,69,4650.91,-5661.1416015625,345.4004,1262.52
70,122.7209,350000,70,4371.87,-5165.31591796875,332.0343,1657.48
71,159.2496,355000,71,3705.12,-7301.38671875,343.3127,1508.17
72,129.4223,360000,72,4560.46,-5910.771484375,326.5076,1475.83
73,128.9635,365000,73,3824.25,-5519.98583984375,335.9103,675.18
74,128.1376,370000,74,3411.09,-6082.91064453125,332.6254,1672.46
75,129.3692,375000,75,4440.39,-6176.8369140625,334.3056,963.62
76,122.842,380000,76,4649.74,-5979.65087890625,323.4372,1920.93
77,137.8807,385000,77,4476.79,-6675.58837890625,336.9288,2246.47
78,131.4334,390000,78,4540.89,-5970.2646484375,330.5562,3813.14
79,132.8672,395000,79,4561.59,-5973.9521484375,329.5293,2820.97
80,155.6741,400000,80,3398.87,-8148.54052734375,337.8236,1138.98
81,132.1707,405000,81,4560.2,-6388.62158203125,329.6944,3958.98
82,150.9921,410000,82,4542.78,-7393.35107421875,338.188,3392.62
83,149.381,415000,83,4855.78,-7315.0673828125,335.5319,3452.3
84,144.9838,420000,84,5049.61,-6531.29833984375,345.0486,2919.34
85,138.3574,425000,85,4601.7,-7144.93994140625,336.1815,3118.92
86,141.9365,430000,86,4581.56,-7408.0185546875,333.1395,3982.94
87,140.3584,435000,87,4866.02,-7372.89453125,341.233,4940.96
88,137.3691,440000,88,4912.65,-7414.34765625,333.3988,4486.7
89,140.4842,445000,89,4712.5,-8297.5185546875,330.4413,1607.31
90,130.826,450000,90,4938.36,-8196.859375,334.3391,4015.51
91,135.4868,455000,91,4758.32,-8402.3125,329.0945,4241.86
92,145.2435,460000,92,4882.26,-8562.685546875,334.5497,4530.93
93,129.3615,465000,93,4164.07,-8837.646484375,325.4478,4034.98
94,131.9621,470000,94,4743.95,-8692.912109375,330.5417,3210.73
95,144.8121,475000,95,4942.95,-9341.8857421875,331.6558,4934.87
96,158.2869,480000,96,4536.58,-9531.8701171875,338.1489,4245.71
97,134.4677,485000,97,4900.13,-9225.5830078125,325.9017,4686.33
98,128.8897,490000,98,4945.4,-9522.2138671875,325.2238,4894.08
99,126.677,495000,99,4803.96,-9122.556640625,323.6092,3476.73
100,126.1873,500000,100,5137.86,-9382.609375,327.4143,4417.58
101,148.1728,505000,101,4700.74,-9952.4501953125,342.4546,5132.39
102,148.2071,510000,102,5069.15,-9882.365234375,333.3552,2512.68
103,136.4567,515000,103,4349.31,-9857.6982421875,330.7804,4328.79
104,137.5334,520000,104,4925.74,-10085.853515625,331.2947,5258.91
105,156.7814,525000,105,4276.53,-10884.8896484375,337.8733,3345.09
106,201.9079,530000,106,2526.95,-11676.57421875,353.4761,1423.88
107,154.2993,535000,107,3160.05,-11175.33984375,332.5132,1824.86
108,149.8522,540000,108,4492.26,-10545.55859375,336.2431,4389.98
109,130.8095,545000,109,4782.91,-10869.5263671875,321.5693,4348.87
110,148.8512,550000,110,3849.08,-11190.6142578125,334.9739,3921.09
111,142.4438,555000,111,4951.13,-10834.4453125,326.2707,4985.73
112,180.2499,560000,112,3525.58,-12177.5458984375,345.0642,3213.01
113,144.5656,565000,113,4398.02,-11396.984375,336.4695,4744.01
114,116.5517,570000,114,4821.46,-11076.73046875,319.132,2514.38
115,177.3776,575000,115,3228.89,-12405.2724609375,338.0549,1457.28
116,142.6982,580000,116,4396.41,-11982.908203125,332.4824,3859.99
117,123.2605,585000,117,4171.83,-11578.1513671875,324.4599,4373.7
118,130.6784,590000,118,5117.99,-11637.21875,321.4536,4771.64
119,126.2252,595000,119,5196.42,-11885.486328125,327.8258,4816.69
120,141.3122,600000,120,4479.35,-12160.083984375,333.0366,5279.36
121,125.4027,605000,121,5143.36,-11971.5859375,323.6901,5238.41
122,122.65,610000,122,5216.43,-12216.8818359375,323.5802,5079.64
123,128.8585,615000,123,4454.99,-12366.5185546875,324.7349,2806.99
124,122.621,620000,124,5183.58,-12319.8642578125,321.8853,5051.51
125,152.8242,625000,125,4626.11,-12870.4091796875,333.0526,4644.53
126,124.4716,630000,126,4735.8,-12430.076171875,322.8064,5325.78
127,117.7279,635000,127,4801.81,-12648.421875,318.4161,4973.51
128,126.0437,640000,128,5242.49,-12714.77734375,318.2481,5152.18
129,142.7957,645000,129,4440.93,-13315.5126953125,340.8597,2290.21
130,130.6523,650000,130,5181.2,-13324.68359375,330.5141,5110.78
131,141.7447,655000,131,4049.88,-13592.4130859375,332.1449,4402.08
132,129.913,660000,132,4506.7,-13391.2275390625,323.9365,4691.77
133,131.4433,665000,133,5052.29,-13551.6396484375,328.7334,4425.03
134,134.8592,670000,134,5016.18,-13843.7998046875,328.2097,4739.14
135,125.6692,675000,135,4928.45,-13809.3017578125,323.9345,3291.22
136,180.5025,680000,136,3704.52,-14272.2607421875,338.3434,5261.97
137,133.1181,685000,137,4854.3,-13918.75,323.8059,4403.55
138,124.7836,690000,138,5214.3,-13902.2900390625,322.0736,5281.76
139,122.4765,695000,139,5086.92,-13922.7197265625,320.8035,4903.54
140,139.543,700000,140,3771.66,-14232.58203125,325.0133,5346.2
141,125.7318,705000,141,4571.64,-14112.4765625,322.7574,4501.68
142,153.6393,710000,142,5139.04,-14644.201171875,333.7905,4893.03
143,133.6307,715000,143,4908.53,-14587.5224609375,325.2058,5325.2
144,127.4839,720000,144,5096.06,-14588.5693359375,328.014,5303.72
145,160.2878,725000,145,4458.67,-14768.0703125,329.351,4854.95
146,129.2175,730000,146,5092.81,-14696.125,328.004,5340.44
147,121.9794,735000,147,4885.66,-14704.28125,322.3458,4758.96
148,129.3288,740000,148,5119.28,-14899.2275390625,321.3667,5274.41
149,132.2688,745000,149,4991.68,-14938.7333984375,329.0273,5336.57
150,145.9385,750000,150,4734.01,-15145.2431640625,329.7869,4915.01
151,131.4652,755000,151,5144.34,-15143.724609375,326.3659,5065.84
152,130.229,760000,152,4488.49,-15126.736328125,326.7894,5114.59
153,132.6061,765000,153,5126.6,-15174.50390625,326.7073,5386.93
154,133.858,770000,154,4922.38,-15513.994140625,332.247,5009.38
155,126.529,775000,155,5255.53,-15516.2685546875,321.572,5097.76
156,132.6116,780000,156,4996.07,-15655.9775390625,330.862,4728.26
157,134.321,785000,157,4977.45,-15899.9375,327.7554,4641.73
158,131.0372,790000,158,4999.43,-15635.8681640625,326.2484,5378.63
159,129.3522,795000,159,5206.74,-15712.9169921875,323.7883,5448.67
160,134.6951,800000,160,5071.03,-15994.6767578125,328.9812,5172.62
161,135.3145,805000,161,5254.56,-15923.7001953125,325.9324,5414.6
162,140.7362,810000,162,3793.24,-16033.037109375,327.3531,4406.49
163,127.189,815000,163,4985.36,-16019.6171875,322.2354,5353.61
164,142.0262,820000,164,4072.72,-16056.3984375,326.6684,5391.06
165,130.2692,825000,165,4548.56,-16259.9580078125,322.635,5417.34
166,134.3218,830000,166,5195.44,-16407.107421875,324.1679,5386.15
167,132.2746,835000,167,5222.49,-16583.771484375,325.3546,5230.35
168,133.4562,840000,168,4914.63,-16591.384765625,324.292,5447.72
169,136.8121,845000,169,5146.68,-16475.994140625,326.9832,5380.23
170,135.7001,850000,170,4674.98,-16677.203125,325.6499,5460.92
171,131.8118,855000,171,5029.14,-16722.671875,329.0363,5412.24
172,134.4248,860000,172,5327.41,-16603.84375,326.5663,5448.68
173,140.1647,865000,173,5237.64,-16971.8671875,337.0226,5239.74
174,133.1698,870000,174,5226.58,-16938.533203125,323.4354,5391.89
175,141.3213,875000,175,5344.9,-17015.509765625,334.4647,5448.51
176,137.7281,880000,176,5061.41,-16965.03125,329.2243,5367.21
177,139.14,885000,177,5204.26,-17053.6328125,325.7303,5294.06
178,138.7551,890000,178,5278.79,-17140.8828125,332.3461,5462.43
179,144.7193,895000,179,5309.76,-17214.837890625,331.3884,5467.27
180,140.5335,900000,180,5170.53,-17098.0,329.3926,5491.93
181,147.1487,905000,181,5269.43,-17306.4453125,333.4507,5426.35
182,145.9491,910000,182,5336.8,-17325.474609375,330.893,5502.07
183,133.6645,915000,183,5330.16,-17318.732421875,327.0122,5449.54
184,137.7774,920000,184,5297.27,-17309.72265625,326.1494,5423.42
185,134.694,925000,185,5247.46,-17472.548828125,327.9479,5354.79
186,136.1748,930000,186,5285.38,-17531.15234375,325.0114,5381.72
187,143.5413,935000,187,5277.65,-17670.40234375,327.7649,5371.01
188,135.2671,940000,188,5230.44,-17552.189453125,326.6163,5264.8
189,136.8235,945000,189,4867.63,-17639.16015625,325.604,5407.13
190,138.5256,950000,190,5253.4,-17693.041015625,323.614,5393.43
191,140.4481,955000,191,5301.37,-17729.1328125,331.126,5429.88
192,134.2773,960000,192,5269.21,-17790.16796875,324.5576,5348.22
193,133.7354,965000,193,5268.64,-17821.2109375,327.218,5298.89
194,134.0534,970000,194,4584.54,-17774.669921875,327.3538,5450.98
195,135.255,975000,195,5257.05,-17859.517578125,323.9632,5424.82
196,134.2998,980000,196,5061.29,-17850.275390625,324.2542,5485.16
197,135.6331,985000,197,5198.37,-17906.9140625,324.0043,5437.85
198,135.4328,990000,198,4670.31,-17919.158203125,325.3131,5439.16
199,134.1459,995000,199,5155.93,-18015.533203125,327.6717,5394.09
200,129.3909,1000000,200,5276.6,-17918.46875,324.467,5477.78
201,128.72,1005000,201,4975.85,-17972.736328125,327.01,5426.76
202,126.9784,1010000,202,5063.83,-17930.498046875,326.04,5491.4
203,135.5606,1015000,203,4783.39,-17996.66796875,328.7884,5468.91
204,138.7658,1020000,204,5107.65,-18085.37109375,334.6119,5485.3
205,127.4773,1025000,205,4634.95,-17950.619140625,325.0122,5505.76
206,142.4326,1030000,206,5192.99,-17945.703125,331.8702,5494.77
207,134.0935,1035000,207,4727.27,-18253.5859375,333.6356,5424.31
208,134.2066,1040000,208,5302.27,-18185.966796875,328.5322,5394.56
209,132.5341,1045000,209,5058.89,-18254.4140625,331.525,5367.42
210,131.5092,1050000,210,5172.52,-18347.275390625,332.2559,5427.54
211,132.3244,1055000,211,5297.66,-18335.46875,329.9092,5347.16
212,136.269,1060000,212,5271.34,-18446.63671875,330.7685,5208.97
213,139.4781,1065000,213,4913.23,-18216.1484375,334.9319,5257.25
214,150.0876,1070000,214,5203.76,-18446.216796875,339.9126,5324.57
215,178.6596,1075000,215,4292.21,-18255.55859375,352.9661,5321.91
216,166.1547,1080000,216,5166.57,-18605.111328125,347.1153,5302.75
217,153.8016,1085000,217,4950.44,-18629.37109375,343.7251,5210.91
218,146.6449,1090000,218,5286.86,-18503.177734375,329.6335,5329.78
219,140.183,1095000,219,5338.75,-18503.2734375,328.31,5362.34
220,140.3894,1100000,220,4671.24,-18248.712890625,331.7416,5303.52
221,131.7445,1105000,221,4752.14,-18121.87890625,327.6998,4615.18
222,159.4705,1110000,222,2627.73,-17930.568359375,344.301,1689.72
223,138.682,1115000,223,5274.67,-18418.701171875,327.0048,5280.0
224,188.0677,1120000,224,4026.44,-17006.56640625,357.5496,4723.04
225,147.3341,1125000,225,4696.34,-18227.1015625,332.7847,4876.73
