Real Sto Return,Itration,Real Det Return,Running Reverse KL,Running Forward KL
3710.51,109,2624.58,135.1172,326.8014
4196.36,110,1298.24,148.9816,311.728
4438.31,111,3237.89,112.3213,305.8023
3789.75,112,2366.46,140.1284,325.1851
4088.48,113,3244.68,133.7925,313.5608
3970.64,114,2102.68,179.9189,305.6224
4625.79,115,4715.68,126.7623,307.845
3604.56,116,3077.74,169.1797,320.521
3189.02,117,1157.1,129.3712,308.9846
3684.03,118,2530.63,128.8046,321.7836
4105.53,119,2957.33,141.6224,326.4746
3492.75,120,1660.69,118.1451,308.657
4042.42,121,2554.75,133.1498,318.5767
3819.31,122,2990.13,142.4628,318.2785
3709.71,123,3075.53,164.7568,319.8498
4391.11,124,3993.79,117.3576,320.7576
4172.52,125,2471.74,99.4189,298.5872
4775.35,126,1281.29,92.4622,293.8769
4423.62,127,3127.2,134.9307,305.2551
3959.88,128,2434.79,137.5946,300.4483
4670.24,129,1881.01,113.8446,306.1814
5096.02,130,2346.07,105.6823,292.2911
4437.86,131,2901.0,118.7295,304.3958
4644.77,132,2660.76,108.2075,303.9188
4852.06,133,1401.19,105.6689,293.8769
4224.13,134,932.86,117.8996,310.0884
4399.29,135,819.45,120.4096,296.0322
4555.99,136,1407.99,116.3778,309.9298
4487.38,137,3381.2,105.7919,308.4674
4376.4,138,2215.0,117.7817,303.5444
3703.35,139,1702.23,158.6741,303.0567
4705.43,140,3559.43,104.9195,305.6897
2691.28,141,2611.0,162.657,310.2681
4138.73,142,2617.49,142.5405,311.8481
3665.74,143,1522.43,132.3543,306.1067
3907.62,144,2893.41,108.3783,312.9122
4213.92,145,1931.8,140.7626,312.1783
4192.37,146,904.78,154.7853,307.0665
3999.86,147,936.71,123.9336,300.2809
4434.17,148,1620.14,143.6645,296.5869
4163.5,149,1335.47,162.0353,309.9584
4620.47,150,1569.23,100.7239,297.5349
4376.77,151,1315.19,104.2022,299.3455
3548.03,152,931.05,188.9451,316.5175
3823.22,153,1791.14,139.2113,306.5421
3984.3,154,1925.27,139.612,305.2918
2434.32,155,706.03,232.3919,330.6902
4705.93,156,1323.78,121.7837,307.296
4334.99,157,1269.07,129.1661,301.4351
4595.71,158,1035.06,108.8821,301.305
2371.66,159,984.06,252.6977,338.1589
4754.82,160,1823.79,116.4007,308.12
4782.74,161,1400.56,128.5743,300.4895
4576.75,162,4669.92,114.1437,306.0882
5028.08,163,4305.58,102.9038,301.1055
4772.72,164,1441.47,152.8757,300.6821
4850.28,165,5046.62,113.9885,308.0206
5012.08,166,4060.63,154.0939,310.5227
5031.64,167,4259.19,118.4879,309.4716
5089.85,168,3035.06,111.6561,301.4756
4028.83,169,2792.77,117.137,311.9221
4594.09,170,5126.74,153.7552,313.1002
5068.21,171,3254.12,104.1603,298.3898
5061.88,172,4263.9,120.5337,312.9367
4687.4,173,4182.08,122.4042,311.8446
5063.42,174,3417.7,94.7386,304.4805
4632.37,175,5087.07,117.1719,312.0349
4763.56,176,4467.21,123.7959,315.4959
4995.34,177,3527.84,113.3277,306.3066
4878.65,178,4688.91,150.1164,324.0903
5001.47,179,3996.55,118.5859,308.5559
4616.96,180,4992.43,105.4853,307.8433
4284.15,181,3692.52,111.5943,308.0717
754.84,182,713.73,239.5534,389.1374
3711.1,183,3288.09,159.9425,316.5786
4576.98,184,2792.6,110.9699,310.6462
4795.98,185,3035.38,130.5697,315.195
4369.44,186,1325.24,103.2443,307.2335
4763.98,187,2661.19,108.78,310.1472
4655.45,188,2287.35,124.0403,312.4743
4578.56,189,5120.57,108.5841,306.3869
4914.92,190,4690.55,109.1353,306.5751
4004.48,191,4244.67,143.0326,324.7088
4156.23,192,3850.92,124.9044,299.7749
4937.52,193,4208.89,109.4908,300.4438
4286.99,194,2622.86,122.583,312.0709
4254.82,195,4056.7,162.4557,311.9568
4775.43,196,4014.34,114.6619,307.3314
4053.94,197,4723.3,136.0008,307.7513
4292.63,198,4773.77,146.9659,320.827
3900.59,199,1878.79,144.5212,316.0403
3619.98,200,4561.72,127.997,316.9179
4134.45,201,2078.57,147.8105,309.7609
2221.68,202,1195.4,166.3523,315.924
4423.98,203,3098.14,134.1625,311.1714
4079.7,204,4607.92,111.7797,306.5489
