Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Running Update Time
3488.05,187,12.7094,2791.99,935000,19.1827,-1755.859130859375,187
3500.65,188,11.7368,3354.06,940000,18.5704,-980.6807250976562,188
3459.1,189,10.8427,3110.35,945000,17.2485,-833.4917602539062,189
3477.41,190,11.2596,3183.2,950000,17.682,-1179.86474609375,190
3454.02,191,11.7456,3245.99,955000,18.1937,-919.488525390625,191
3483.4,192,11.8901,3254.5,960000,18.1861,-884.5528564453125,192
3477.12,193,11.9133,3094.32,965000,18.3944,-952.9197998046875,193
3479.52,194,11.7236,2811.85,970000,18.1391,-1003.1498413085938,194
3477.5,195,12.8634,3380.02,975000,18.1896,-1028.9661865234375,195
3460.31,196,10.3121,3167.57,980000,17.7869,-954.4188842773438,196
3407.31,197,14.5829,3226.78,985000,18.1733,-1179.367431640625,197
3472.21,198,15.9929,3330.11,990000,18.3935,-1171.6407470703125,198
3460.67,199,11.9794,2616.28,995000,18.2945,-1079.899658203125,199
