Running Env Steps,Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Reward Loss,Running Update Time,Real Det Return
775000,155,4650.69,340.1563,150.1493,-16980.919921875,155,1434.87
780000,156,4189.6,345.5384,155.6299,-16376.533203125,156,1921.23
785000,157,4586.87,340.024,144.2247,-16852.982421875,157,1098.08
790000,158,4790.01,340.8216,147.4331,-16806.501953125,158,1730.1
795000,159,4789.4,339.3175,141.2977,-16811.283203125,159,1661.91
800000,160,5109.35,341.8401,158.0356,-17305.671875,160,1225.41
805000,161,4711.25,338.4663,145.8781,-16964.701171875,161,1107.32
810000,162,4575.77,340.4065,142.6333,-17278.16015625,162,4632.87
815000,163,4901.86,344.5928,147.6885,-17089.904296875,163,824.41
820000,164,4837.83,334.6176,156.591,-17239.46484375,164,1194.53
825000,165,5018.89,343.5307,154.3255,-17514.02734375,165,3896.8
830000,166,4033.83,361.6494,181.8773,-16179.830078125,166,3674.27
835000,167,4468.03,342.7257,151.3564,-17675.501953125,167,1914.98
840000,168,4996.18,338.3355,156.0642,-16776.630859375,168,2869.38
845000,169,5043.17,337.6501,144.3491,-17263.669921875,169,3684.58
850000,170,4915.5,344.4164,148.6194,-17471.681640625,170,2881.86
855000,171,4505.86,340.8085,146.5074,-17300.25390625,171,2433.15
860000,172,4864.3,340.6257,149.7578,-17617.66796875,172,2894.81
865000,173,4486.83,340.0357,150.7701,-17862.9296875,173,1924.18
870000,174,4330.55,343.0728,158.8547,-16854.1953125,174,2850.26
875000,175,4366.36,344.3867,148.3157,-17629.171875,175,1045.15
880000,176,4712.02,344.7678,146.4512,-17928.20703125,176,2173.93
885000,177,5038.59,344.1751,157.3967,-18031.521484375,177,2831.83
890000,178,4577.9,338.2228,130.5169,-17663.994140625,178,4236.21
895000,179,4211.25,343.4448,155.5817,-17762.87109375,179,1179.19
900000,180,4625.35,346.2831,144.8891,-17958.603515625,180,1705.56
905000,181,4206.24,339.058,142.7238,-17974.90234375,181,1350.43
910000,182,4744.41,348.4539,150.9904,-18135.025390625,182,3315.49
915000,183,4348.38,347.5854,153.5788,-17564.025390625,183,1852.11
920000,184,4743.88,341.8232,147.3346,-17752.921875,184,891.36
925000,185,5060.06,351.7907,158.3705,-18110.111328125,185,4505.83
930000,186,4992.75,346.3653,154.1559,-18030.15234375,186,1368.73
935000,187,3863.53,345.5432,158.015,-17368.3515625,187,2058.04
940000,188,3813.47,330.4389,162.6988,-17994.94921875,188,627.14
945000,189,4754.58,345.6847,146.3269,-17899.466796875,189,770.46
950000,190,4500.29,345.7988,147.3581,-18304.919921875,190,1545.91
955000,191,4307.87,348.0109,150.4503,-18223.41015625,191,2507.56
960000,192,4780.24,349.5904,149.4934,-18430.71875,192,1292.01
965000,193,4788.68,346.8673,152.0859,-18480.33984375,193,1148.81
970000,194,4810.13,346.1076,147.3905,-18428.013671875,194,3186.02
975000,195,4868.09,345.9118,155.0065,-18595.259765625,195,3240.66
980000,196,5014.47,345.3788,150.1245,-18183.365234375,196,1462.51
985000,197,5006.48,342.5797,149.7684,-18000.64453125,197,4131.88
990000,198,4744.04,347.6836,147.9975,-18354.283203125,198,4502.1
