Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return
240,15.2211,156.5022,1899.66,2247.96
241,15.344,156.7995,1917.56,2275.85
242,15.4781,156.799,1926.87,2267.63
243,15.4354,156.5641,1925.07,2254.81
244,15.4218,156.7617,1924.09,2271.52
245,15.1705,156.7203,1912.74,2271.68
246,15.2432,156.4993,1901.54,2263.34
247,15.386,156.6756,1906.54,2258.56
248,15.3834,156.7607,1903.14,2267.45
249,15.1557,156.7054,1903.2,2256.12
250,15.2491,156.8026,1884.26,2222.38
251,15.1769,156.8823,1914.41,2268.62
252,15.3638,156.6859,1900.37,2249.84
253,15.1604,156.7178,1920.04,2260.61
254,15.3054,156.6911,1912.45,2256.87
255,15.2753,156.5497,1892.94,2233.15
256,15.2493,156.813,1895.71,2251.95
257,15.1991,156.6473,1901.23,2295.98
258,15.285,156.5505,1902.51,2264.02
259,15.1921,156.5596,1924.32,2256.38
260,14.9813,156.577,1886.8,2245.83
261,15.2269,156.7919,1890.28,2281.45
262,15.1302,156.5612,1893.19,2261.41
263,15.1087,156.7617,1878.95,2256.54
264,15.0627,156.6615,1905.93,2268.23
265,15.0361,156.7244,1893.95,2251.59
266,15.1905,156.6827,1934.13,2290.12
267,15.2272,156.6603,1929.36,2269.35
268,15.188,156.6398,1916.96,2270.34
269,15.1365,156.5993,1914.24,2284.65
270,15.1186,156.4564,1919.59,2257.54
271,15.1395,156.665,1935.79,2286.89
272,15.1136,156.7891,1904.62,2282.29
273,15.1323,156.6824,1924.53,2282.2
274,15.1545,156.6276,1923.11,2284.94
275,15.1457,156.5452,1925.69,2275.23
276,14.9549,156.7078,1908.99,2268.09
277,15.022,156.6496,1930.4,2280.97
278,15.063,156.5666,1890.06,2251.54
279,15.0833,156.6464,1917.5,2268.88
280,15.1232,156.5411,1926.73,2277.7
281,15.2025,156.6756,1929.86,2253.17
282,15.0654,156.6316,1916.4,2260.92
283,15.1042,156.618,1913.18,2255.63
284,14.8108,156.7007,1917.06,2268.68
285,15.0976,156.4497,1939.88,2289.77
286,15.1762,156.7249,1925.6,2268.99
