Running Update Time,Reward Loss,Real Sto Return,Itration,Running Env Steps,Real Det Return,Running Forward KL,Running Reverse KL
35,-171.42918395996094,3467.77,35,175000,3626.21,43.4824,16.2761
36,-148.98651123046875,3480.35,36,180000,3655.45,43.3491,17.2179
37,-123.82939147949219,3535.12,37,185000,3399.3,43.7339,16.845
38,-195.2879638671875,3073.48,38,190000,3712.45,42.4168,15.4659
39,-214.8806610107422,3236.04,39,195000,3374.91,42.6831,15.835
40,-302.2591552734375,2468.03,40,200000,3737.43,43.6378,15.0834
41,-216.1207733154297,3341.1,41,205000,3912.22,42.6895,14.9201
42,-231.18716430664062,3200.18,42,210000,2329.12,42.6629,14.7702
43,-349.2690124511719,2022.71,43,215000,3991.89,42.6213,14.8389
44,-274.025390625,3269.53,44,220000,4154.36,41.9053,15.0548
45,-166.02439880371094,3578.58,45,225000,3947.21,40.6706,14.4764
46,-218.99293518066406,3823.53,46,230000,3969.04,42.6048,14.988
47,-200.7882537841797,3789.95,47,235000,3431.52,41.9796,13.8421
48,-250.38015747070312,3945.24,48,240000,4052.05,41.9173,16.1784
49,-247.72499084472656,3816.7,49,245000,3913.93,43.1543,17.172
50,-303.7924499511719,3355.85,50,250000,3940.45,42.0071,13.5004
51,-206.24732971191406,3868.58,51,255000,3753.31,42.2424,16.2364
52,-252.55584716796875,3702.27,52,260000,3936.89,42.6884,15.594
53,-242.7729034423828,3976.95,53,265000,4064.04,41.958,15.1769
54,-229.95973205566406,3860.34,54,270000,3891.38,42.9896,17.0715
55,-259.63787841796875,3833.29,55,275000,3988.76,41.8757,18.2304
56,-248.00405883789062,3965.81,56,280000,3999.44,43.1416,19.6668
57,-291.07171630859375,3702.06,57,285000,3440.26,42.4638,15.4107
58,-228.68496704101562,3884.15,58,290000,3872.86,41.3643,17.5012
59,-299.26910400390625,3186.32,59,295000,3879.77,42.4856,15.5211
60,-288.3162841796875,3552.52,60,300000,2260.6,42.699,17.2953
61,-247.32017517089844,3989.32,61,305000,3931.43,40.8875,17.0716
62,-258.5252990722656,3905.69,62,310000,3950.46,43.017,17.9314
63,-254.310302734375,3772.95,63,315000,4009.73,40.3381,14.2891
64,-278.8703918457031,3875.23,64,320000,3851.79,41.8605,15.4715
65,-266.2008361816406,3714.52,65,325000,4073.16,43.1994,17.442
66,-266.9902038574219,3895.27,66,330000,4059.1,42.1897,15.6043
67,-286.5289001464844,3958.64,67,335000,3889.67,42.5327,17.6074
68,-242.76254272460938,4030.38,68,340000,4070.45,40.2956,14.9399
69,-367.9830627441406,3418.17,69,345000,3807.0,42.4135,15.6226
70,-363.6965637207031,3441.52,70,350000,3937.95,41.891,15.225
71,-352.48516845703125,3780.99,71,355000,3978.59,42.3651,14.5297
72,-277.88458251953125,4146.51,72,360000,4084.32,42.9034,17.6981
73,-347.91900634765625,3709.96,73,365000,3860.96,42.0518,15.452
74,-296.6083984375,3863.4,74,370000,4105.25,40.0865,15.6457
75,-321.1432189941406,3920.08,75,375000,4157.47,42.0707,16.056
76,-304.2430419921875,4204.04,76,380000,4130.42,41.7151,17.5489
77,-319.33978271484375,4182.55,77,385000,4138.38,42.147,16.028
78,-321.66510009765625,4138.22,78,390000,4035.84,40.6882,16.1811
79,-288.5413513183594,4338.04,79,395000,4122.37,39.0114,14.8262
80,-287.4997253417969,3623.62,80,400000,2642.53,40.6034,15.7574
81,-437.8851623535156,3081.36,81,405000,1781.69,39.903,14.2746
82,-306.8677978515625,4274.24,82,410000,4451.01,38.6502,14.6843
83,-371.8133850097656,3667.51,83,415000,4181.63,40.218,15.0076
84,-333.71832275390625,3918.62,84,420000,4293.77,39.1554,15.8997
85,-365.42291259765625,4060.01,85,425000,4172.24,39.8079,13.7622
86,-278.46844482421875,4340.53,86,430000,4513.19,39.1916,15.4489
87,-316.98358154296875,4170.0,87,435000,4312.92,39.9819,15.9178
88,-326.8896484375,3392.32,88,440000,3578.91,40.4532,17.5746
89,-342.7799377441406,4519.99,89,445000,4502.02,40.6208,16.5217
90,-312.5810546875,4684.31,90,450000,4652.71,38.598,17.4962
91,-292.3844299316406,4641.82,91,455000,5056.48,39.1159,19.6688
92,-307.5130920410156,4292.15,92,460000,4489.62,39.3279,16.0374
93,-310.112060546875,4348.33,93,465000,4717.1,38.6613,19.1142
94,-348.2948303222656,3554.73,94,470000,3292.76,38.243,15.8305
95,-241.23793029785156,4317.19,95,475000,4705.94,37.3985,15.2295
96,-390.52001953125,4132.9,96,480000,4624.57,36.8799,15.3407
97,-452.0625,2690.14,97,485000,4304.92,38.1563,15.5873
98,-302.640380859375,4682.35,98,490000,4686.17,38.1331,17.3365
99,-334.2952880859375,4500.9,99,495000,4608.56,38.0524,16.7183
100,-406.76605224609375,3938.66,100,500000,4103.3,39.4681,16.5178
101,-387.2539367675781,4235.94,101,505000,4570.44,40.2379,19.4402
102,-344.6203918457031,4567.27,102,510000,4581.55,39.2883,16.5331
103,-421.4776306152344,4541.73,103,515000,4822.55,38.6523,15.7922
104,-375.44378662109375,4417.26,104,520000,4801.83,39.2353,16.7814
105,-435.9649353027344,3407.53,105,525000,3800.75,41.9265,16.8766
106,-380.6499938964844,4774.24,106,530000,4818.22,40.2599,16.4634
107,-335.4544677734375,4633.98,107,535000,4129.57,38.269,17.0052
108,-380.844970703125,4572.01,108,540000,4964.88,40.2903,20.4922
109,-339.9342041015625,4734.33,109,545000,4794.87,38.6429,17.9019
110,-389.6314697265625,4448.14,110,550000,4413.78,39.5092,15.47
111,-300.6684265136719,4592.8,111,555000,5114.82,39.098,18.3083
112,-304.33331298828125,4784.56,112,560000,4992.31,40.1926,17.1289
113,-303.14654541015625,4770.71,113,565000,4899.82,38.2308,17.6397
114,-351.73211669921875,4588.72,114,570000,4951.21,39.9942,18.0294
115,-470.61749267578125,3823.04,115,575000,4748.15,42.1143,17.6167
116,-441.1075134277344,3552.48,116,580000,4335.7,39.2457,16.188
117,-350.3955993652344,4829.02,117,585000,4892.4,38.8633,14.8828
118,-347.9501037597656,4667.04,118,590000,4794.06,38.6496,16.5119
119,-498.3586120605469,4358.6,119,595000,4944.93,40.1054,16.812
120,-568.1719970703125,3346.14,120,600000,4513.31,41.1812,16.3416
121,-342.58856201171875,4833.8,121,605000,5053.04,39.4552,18.1819
122,-509.20416259765625,3135.6,122,610000,3701.58,39.3391,14.4202
123,-457.5909423828125,4537.83,123,615000,4970.16,39.2326,15.3845
124,-426.3883056640625,4257.65,124,620000,4809.3,38.6895,16.4357
125,-371.64996337890625,3932.36,125,625000,3159.36,38.1419,15.4976
126,-353.1068420410156,4773.58,126,630000,4897.88,38.5775,16.2756
127,-388.34698486328125,4223.37,127,635000,4779.06,38.919,14.8224
128,-359.8878173828125,4533.55,128,640000,4923.58,39.0148,17.5535
129,-437.2873229980469,4560.14,129,645000,4415.09,40.3864,18.6326
130,-401.2753601074219,4697.56,130,650000,5124.61,38.3737,17.1104
131,-331.8861389160156,4876.85,131,655000,4857.12,38.0629,16.5201
132,-368.3840637207031,4327.41,132,660000,4922.55,38.3418,15.1292
133,-318.1736145019531,4096.29,133,665000,4916.93,38.1272,16.5309
134,-313.6524353027344,4929.25,134,670000,5066.64,37.4284,16.1379
135,-347.7002868652344,4807.87,135,675000,4986.33,37.9833,16.571
136,-314.84368896484375,4558.8,136,680000,4972.95,37.0656,17.6936
137,-367.5528564453125,4855.38,137,685000,4983.11,38.4039,16.5897
138,-362.16815185546875,4813.87,138,690000,4946.46,36.8584,14.3192
139,-342.8512268066406,4801.66,139,695000,5119.91,37.2704,16.2786
140,-340.2904357910156,4943.22,140,700000,5031.99,37.2457,16.5441
141,-420.93463134765625,4665.01,141,705000,4973.41,39.4298,17.8362
142,-430.0373229980469,4461.37,142,710000,5223.36,38.2365,15.9993
143,-378.6627502441406,4908.63,143,715000,5159.79,38.0848,17.5767
144,-394.9286193847656,4574.66,144,720000,2623.56,37.0361,14.4487
145,-372.9700927734375,4927.6,145,725000,5117.53,36.8837,16.8324
146,-518.3262329101562,3495.41,146,730000,5098.94,38.7039,15.0102
147,-392.15106201171875,4900.86,147,735000,4960.09,38.0742,17.7566
148,-394.1040344238281,4995.85,148,740000,5239.77,38.2547,18.9343
149,-391.70849609375,5011.99,149,745000,5147.51,36.5031,17.2205
150,-388.1866760253906,4424.26,150,750000,2672.93,37.9508,18.1771
151,-475.54876708984375,4754.5,151,755000,5130.09,39.8983,17.6034
152,-376.01702880859375,5106.45,152,760000,5238.35,37.3178,19.3815
153,-380.0752258300781,5065.71,153,765000,5163.66,37.4135,17.6605
154,-375.0907897949219,4968.4,154,770000,5146.21,37.4166,18.0543
155,-401.06256103515625,4940.3,155,775000,5035.0,37.5388,17.3225
156,-392.0498352050781,4732.5,156,780000,5140.9,36.4213,16.1545
157,-442.1737976074219,4836.43,157,785000,5129.44,38.0971,16.2006
158,-388.96136474609375,4840.37,158,790000,4988.55,37.176,16.2719
159,-390.6024169921875,4990.87,159,795000,5107.41,38.5357,17.667
160,-478.8764343261719,4417.83,160,800000,4769.49,38.2839,17.1765
161,-396.3227233886719,5075.5,161,805000,4907.48,37.503,18.222
162,-393.8440856933594,4840.13,162,810000,5203.16,36.2644,16.6052
163,-402.1909484863281,4749.33,163,815000,5074.19,37.1401,16.0404
164,-446.1534118652344,4780.91,164,820000,5156.94,38.0004,19.2029
165,-433.6891174316406,4731.6,165,825000,5044.94,37.7329,16.9854
166,-426.3144836425781,4796.04,166,830000,5052.72,37.3037,15.8619
167,-451.9703674316406,4721.56,167,835000,5189.85,38.717,16.7726
168,-412.5175476074219,4672.98,168,840000,5215.26,36.6293,15.646
169,-433.81390380859375,5006.98,169,845000,5061.35,38.131,18.4763
170,-448.6142883300781,4922.95,170,850000,5197.08,38.1782,15.9819
171,-456.1319274902344,4932.86,171,855000,5089.62,37.8995,17.4445
172,-484.6690673828125,4513.34,172,860000,5154.9,38.4,15.7806
173,-484.1954650878906,4713.66,173,865000,4569.68,37.9527,16.6555
174,-582.1363525390625,3837.5,174,870000,5002.23,39.9728,19.6543
175,-483.1256103515625,4888.77,175,875000,5042.76,38.2243,16.9356
176,-440.7847595214844,5063.38,176,880000,5201.81,37.2046,17.5848
177,-427.156982421875,4938.1,177,885000,5086.53,37.5144,15.8126
178,-367.9364013671875,4865.58,178,890000,5093.32,36.1417,16.036
179,-361.891845703125,5043.36,179,895000,4870.23,35.038,14.6143
180,-407.7339782714844,4383.75,180,900000,5248.75,36.6459,16.8679
181,-387.61669921875,5080.78,181,905000,5278.61,35.7056,16.6287
182,-536.231689453125,4111.88,182,910000,4416.8,37.6079,27.1304
183,-406.8946228027344,4828.0,183,915000,5325.88,36.0471,15.2334
184,-388.6049499511719,4975.46,184,920000,5007.24,34.667,15.1441
185,-452.8447570800781,4811.4,185,925000,5221.81,36.3783,17.1676
186,-391.2537841796875,4856.72,186,930000,5203.93,35.2728,15.9688
187,-402.5229797363281,5053.43,187,935000,5284.16,36.1911,15.9981
188,-467.2928466796875,4845.99,188,940000,5243.6,37.1192,16.7375
189,-417.9115295410156,5031.22,189,945000,5191.77,36.2418,15.875
190,-456.5692443847656,5125.19,190,950000,5305.05,36.7271,16.8364
191,-515.3746948242188,4809.38,191,955000,5112.88,38.7243,18.3876
192,-637.594482421875,3855.14,192,960000,5059.1,38.6233,18.7537
193,-530.5095825195312,5011.81,193,965000,5213.24,37.3481,16.3793
194,-402.1704406738281,4878.07,194,970000,5110.27,36.7271,17.842
195,-418.12603759765625,5163.05,195,975000,5190.69,35.987,15.9285
196,-569.3121337890625,4512.11,196,980000,4840.65,38.738,17.2729
197,-517.6029052734375,4992.87,197,985000,5215.22,36.2561,15.005
198,-631.1273803710938,4626.08,198,990000,5269.33,37.5755,18.9182
199,-410.978271484375,4849.97,199,995000,5198.06,35.8431,16.2625
200,-470.3478088378906,5069.17,200,1000000,5147.99,37.6559,17.6436
201,-466.8095703125,5073.7,201,1005000,5224.34,36.9431,16.705
202,-461.9375,5046.83,202,1010000,5108.05,37.6632,18.0177
203,-510.3971862792969,5002.34,203,1015000,5096.04,37.5173,17.9455
204,-479.4125061035156,5071.84,204,1020000,5198.5,37.3141,17.798
205,-476.66119384765625,5107.65,205,1025000,5215.11,37.1692,18.1048
206,-499.40399169921875,5143.86,206,1030000,5348.35,37.4793,18.0121
207,-537.9693603515625,5087.59,207,1035000,5314.97,37.33,18.324
208,-535.1721801757812,5122.09,208,1040000,5326.13,37.5329,18.9347
209,-517.082275390625,4920.7,209,1045000,5352.1,37.5056,18.328
210,-568.1769409179688,5042.98,210,1050000,5270.25,38.078,18.7991
211,-553.39208984375,5122.57,211,1055000,5282.54,37.753,18.3104
212,-523.688232421875,5142.04,212,1060000,5334.77,37.0923,18.1594
213,-542.3370361328125,5105.06,213,1065000,5260.89,37.4147,17.8907
214,-535.5062255859375,4907.15,214,1070000,5219.29,37.6554,18.9299
215,-535.6154174804688,5115.31,215,1075000,5304.45,37.1309,17.5418
216,-551.1220703125,5089.07,216,1080000,5184.84,38.0066,18.0532
217,-597.353271484375,4534.07,217,1085000,5110.5,38.17,18.2258
218,-549.333740234375,5035.97,218,1090000,5173.03,37.9065,16.8795
219,-558.1281127929688,4988.28,219,1095000,5137.68,37.6128,16.9436
220,-589.457763671875,4995.89,220,1100000,5148.32,38.5073,18.5453
221,-659.8020629882812,4586.41,221,1105000,5126.82,37.8993,16.8454
222,-581.3731079101562,5065.3,222,1110000,5202.2,37.8564,17.0783
223,-575.6653442382812,5121.81,223,1115000,5104.0,36.5838,15.6338
224,-1204.505859375,2029.04,224,1120000,1871.36,41.728,16.4252
225,-1138.4151611328125,402.11,225,1125000,327.25,49.3164,26.5407
226,-995.3549194335938,1674.31,226,1130000,1654.2,41.957,20.5789
227,-781.5287475585938,3365.74,227,1135000,3463.92,43.2044,18.2167
228,-977.4705810546875,3902.04,228,1140000,4295.83,39.5501,17.1991
229,-1053.86181640625,1884.69,229,1145000,5127.0,40.204,20.528
230,-1243.4332275390625,1582.38,230,1150000,1375.67,42.1341,15.7685
231,-656.3395385742188,2338.94,231,1155000,570.96,40.344,31.2899
232,-892.7464599609375,3302.33,232,1160000,634.51,38.5516,20.3403
233,-630.0985107421875,4883.22,233,1165000,5027.24,37.4224,18.1669
234,-608.2013549804688,4860.87,234,1170000,4922.7,36.887,18.871
235,-660.095458984375,4797.09,235,1175000,5092.35,37.0859,18.7085
236,-804.2957153320312,4381.99,236,1180000,4428.41,37.2396,15.1742
237,-620.3775024414062,3778.96,237,1185000,5086.11,37.107,15.3114
238,-734.3300170898438,4565.57,238,1190000,4956.46,37.0247,16.7864
239,-631.6570434570312,4389.75,239,1195000,2595.56,35.9424,14.5318
240,-670.0496826171875,4162.14,240,1200000,5081.99,36.604,15.531
241,-618.2620239257812,4776.63,241,1205000,5148.62,35.9161,15.135
242,-632.4791870117188,4735.63,242,1210000,5123.5,36.2495,14.1695
243,-697.8455200195312,4945.42,243,1215000,4996.05,36.7948,14.6206
244,-696.0198364257812,4645.94,244,1220000,4934.4,36.6136,14.6052
245,-866.10400390625,4402.27,245,1225000,5091.55,36.5853,13.6858
246,-637.09033203125,4090.34,246,1230000,5216.81,36.4215,14.7358
247,-633.462890625,4542.92,247,1235000,5180.41,36.6148,15.0182
248,-810.5247192382812,3744.81,248,1240000,4876.88,36.6009,14.5151
249,-776.08349609375,3964.55,249,1245000,5036.56,35.9773,13.7756
250,-754.5339965820312,4624.42,250,1250000,4802.66,36.7358,16.3239
251,-1135.714599609375,2763.82,251,1255000,2330.37,38.0902,15.8629
252,-587.8026733398438,4839.08,252,1260000,5122.51,35.3106,14.8367
253,-730.1304931640625,3591.76,253,1265000,4583.04,35.495,14.9516
254,-909.5619506835938,4083.06,254,1270000,4419.55,37.0022,16.0167
255,-632.294189453125,5096.04,255,1275000,5194.81,36.4557,15.7956
256,-611.857177734375,5108.94,256,1280000,5214.7,36.441,17.2973
257,-738.1874389648438,4592.49,257,1285000,5108.18,36.863,16.1904
258,-901.5513305664062,4344.22,258,1290000,5170.7,36.0064,15.54
259,-645.0525512695312,5110.67,259,1295000,5209.04,35.7214,16.2462
260,-714.966796875,4947.2,260,1300000,5258.55,34.8758,15.249
261,-618.5283203125,4252.35,261,1305000,5250.46,35.8787,15.3739
262,-610.3091430664062,5079.56,262,1310000,5261.24,35.7827,15.447
263,-690.0263061523438,4492.42,263,1315000,5088.57,36.3698,15.8223
264,-613.05517578125,4781.08,264,1320000,5385.84,34.7258,15.095
265,-887.2021484375,4255.25,265,1325000,4356.52,36.7992,15.6136
266,-1094.35888671875,3283.57,266,1330000,2019.86,36.8035,17.2324
267,-995.8546752929688,4018.7,267,1335000,4344.02,36.6981,19.5381
268,-1222.9739990234375,3887.05,268,1340000,2303.3,36.6479,17.5843
269,-950.6577758789062,2721.73,269,1345000,11.46,36.5607,13.9228
270,-1462.328857421875,786.84,270,1350000,714.51,38.6145,25.1685
271,-779.73779296875,5125.91,271,1355000,5274.17,35.465,15.933
272,-963.606689453125,4923.21,272,1360000,5120.87,36.4908,18.176
273,-1062.614501953125,3256.78,273,1365000,1911.18,36.4007,14.1821
274,-900.030029296875,4471.19,274,1370000,2565.62,35.6473,17.6792
275,-753.777099609375,4933.4,275,1375000,4366.72,35.2637,14.5261
276,-1121.942626953125,3616.01,276,1380000,2786.82,36.9768,16.8495
277,-698.4444580078125,5160.51,277,1385000,5389.89,35.329,14.2464
278,-1198.2548828125,4715.78,278,1390000,4236.85,36.4071,22.06
279,-927.1807250976562,4228.71,279,1395000,4630.8,36.005,17.4936
280,-1012.716796875,4835.22,280,1400000,4727.88,36.4044,19.2249
281,-1107.4801025390625,4695.95,281,1405000,3371.84,36.5253,18.9013
282,-1006.1978149414062,4626.23,282,1410000,4810.39,35.5163,13.8976
283,-1069.935791015625,3778.4,283,1415000,4474.16,35.8756,13.4668
284,-891.7987670898438,4989.09,284,1420000,5281.83,35.5675,14.5936
285,-783.3690185546875,5077.88,285,1425000,5299.63,35.4988,14.8947
286,-758.478759765625,4460.37,286,1430000,5364.96,35.5186,15.4457
287,-891.8760375976562,5219.17,287,1435000,5413.79,36.2834,14.4988
288,-782.1428833007812,5208.62,288,1440000,5297.07,35.5523,14.5579
289,-765.9053344726562,5164.0,289,1445000,5296.7,35.1267,14.8218
290,-785.8587646484375,5197.29,290,1450000,5293.21,35.7263,14.9149
291,-701.1676025390625,5232.59,291,1455000,5380.9,34.5145,14.3531
292,-770.6234741210938,5215.33,292,1460000,5299.24,35.3298,14.3177
293,-749.2794189453125,5267.83,293,1465000,5437.13,34.6688,14.8188
294,-770.1077270507812,5243.68,294,1470000,5361.51,34.4511,14.6453
295,-780.9710083007812,5191.58,295,1475000,5323.98,34.942,14.6039
296,-773.605712890625,5176.85,296,1480000,5275.18,35.1811,14.6085
297,-758.4605712890625,5235.05,297,1485000,5262.34,34.5532,15.0106
298,-751.3920288085938,5219.58,298,1490000,5347.49,35.1283,14.8888
299,-796.6276245117188,5185.58,299,1495000,5216.05,35.0119,14.1121
300,-803.441650390625,5178.91,300,1500000,5274.21,35.1294,14.4842
301,-1462.0677490234375,453.88,301,1505000,453.03,50.6627,110.1772
302,-1657.213623046875,423.06,302,1510000,432.41,50.8584,52.5333
303,-1275.8321533203125,3769.52,303,1515000,4710.24,35.7936,13.1289
304,-1205.4522705078125,3927.03,304,1520000,4621.01,36.1682,13.9547
305,-1818.8154296875,-4.51,305,1525000,-10.05,54.095,28.2246
306,-2012.4716796875,691.53,306,1530000,742.43,44.1101,21.9071
307,-1822.4381103515625,1979.5,307,1535000,2201.81,41.1576,20.9788
308,-1238.3426513671875,3433.79,308,1540000,2489.78,35.3249,15.6266
309,-1691.0445556640625,3075.43,309,1545000,1870.01,39.2987,24.3158
310,-1249.2174072265625,4444.13,310,1550000,4724.69,37.1186,17.2101
311,-901.5443725585938,4806.72,311,1555000,4651.09,36.4698,16.5323
312,-914.1546020507812,4784.1,312,1560000,4700.46,36.9978,14.7534
313,-922.7119140625,4838.93,313,1565000,4638.53,36.4985,14.1177
314,-946.5713500976562,4974.82,314,1570000,5085.25,36.1852,13.8512
315,-1010.4224853515625,4880.61,315,1575000,5219.73,37.4409,15.1298
316,-974.2395629882812,4871.7,316,1580000,5056.72,36.911,14.7836
317,-1029.0594482421875,5057.55,317,1585000,5251.48,37.2127,16.1752
318,-1086.406494140625,5031.1,318,1590000,5309.62,37.4454,15.9008
319,-1444.5595703125,4202.25,319,1595000,4118.21,38.0049,15.4244
320,-959.0538940429688,5159.58,320,1600000,5365.89,36.3245,15.5128
321,-1043.0538330078125,5094.34,321,1605000,5291.77,37.3493,16.2709
322,-1007.9026489257812,5163.41,322,1610000,5320.9,36.3634,16.7553
323,-1058.6705322265625,3677.59,323,1615000,5320.34,37.3043,17.2864
324,-988.7465209960938,4876.45,324,1620000,5360.37,36.9678,17.556
325,-1007.5535888671875,5135.81,325,1625000,5370.41,36.5584,17.2743
326,-929.2687377929688,5016.23,326,1630000,5447.37,35.3828,15.7009
327,-935.6538696289062,5222.08,327,1635000,5392.28,35.6725,15.6179
328,-971.1552124023438,4763.39,328,1640000,5344.5,35.2587,14.8148
329,-1035.632080078125,5171.31,329,1645000,5319.01,34.6497,15.0643
330,-868.1964111328125,5249.02,330,1650000,5414.68,34.1524,15.5274
331,-1027.5206298828125,5164.78,331,1655000,5193.96,34.4524,15.4213
332,-953.7803344726562,5244.54,332,1660000,5414.46,35.6522,15.5638
333,-963.6908569335938,5261.34,333,1665000,5407.95,35.7382,15.2878
334,-968.8333740234375,5136.23,334,1670000,3738.14,35.0072,15.0725
335,-1060.8555908203125,5216.64,335,1675000,5165.38,35.5873,14.3635
336,-1037.86376953125,5218.33,336,1680000,5425.78,36.276,15.4921
337,-960.7401123046875,5263.61,337,1685000,5377.06,34.9284,14.9533
338,-1253.59130859375,4791.91,338,1690000,5441.27,35.0295,17.1893
339,-996.8153686523438,5263.09,339,1695000,5457.23,35.9588,15.8102
340,-1061.110107421875,5240.04,340,1700000,5408.77,35.5815,15.2845
341,-979.0541381835938,5298.44,341,1705000,5369.34,34.885,15.9849
342,-1058.3551025390625,4530.69,342,1710000,5251.37,35.8056,16.7114
343,-1069.630126953125,5231.32,343,1715000,5251.3,36.3114,16.586
344,-1033.0850830078125,5212.05,344,1720000,5363.37,35.6556,16.0796
345,-984.9444580078125,5272.6,345,1725000,5444.15,35.251,16.2205
346,-1003.3890991210938,5294.13,346,1730000,5417.41,35.397,15.6964
347,-958.457275390625,5277.63,347,1735000,5410.02,34.837,15.3011
348,-1025.1881103515625,5319.09,348,1740000,5421.99,34.6459,15.5868
349,-1109.9822998046875,5295.96,349,1745000,5447.94,36.1694,16.3825
350,-1104.98193359375,5279.03,350,1750000,5325.95,35.8393,15.962
351,-1034.52294921875,4909.16,351,1755000,5449.86,35.5445,15.84
352,-1063.03759765625,5271.37,352,1760000,5374.56,35.3334,14.8276
353,-1037.3944091796875,5316.28,353,1765000,5415.69,34.5471,15.4631
354,-1056.5689697265625,5272.41,354,1770000,5302.72,34.5258,15.1125
355,-1048.0501708984375,4846.57,355,1775000,5467.46,34.4347,14.3729
356,-1152.7442626953125,5306.36,356,1780000,5369.74,34.4926,13.9379
357,-1199.4263916015625,5253.97,357,1785000,5410.7,35.7072,19.7601
358,-1071.1300048828125,4789.25,358,1790000,5363.58,34.435,15.1657
359,-1073.6558837890625,3504.89,359,1795000,5367.6,34.5114,14.488
360,-1081.4659423828125,4911.79,360,1800000,5217.76,34.438,15.8533
361,-1098.3758544921875,5190.82,361,1805000,5300.47,35.5607,15.5762
362,-1105.5255126953125,5214.65,362,1810000,5354.27,35.1831,14.7235
363,-1087.2783203125,5210.53,363,1815000,5307.66,34.5031,14.9667
364,-1095.7677001953125,5251.08,364,1820000,4664.95,34.1841,14.606
365,-1064.8216552734375,5269.82,365,1825000,5331.03,33.7025,15.0689
366,-1196.34033203125,5214.45,366,1830000,5340.87,35.895,15.1332
367,-1241.984130859375,5102.09,367,1835000,5246.71,35.5043,15.1329
368,-1463.96630859375,357.87,368,1840000,366.58,39.5779,90.468
369,-2007.73046875,1238.16,369,1845000,2507.74,38.5602,45.5781
370,-1382.8907470703125,4543.38,370,1850000,4703.03,35.3965,14.9178
371,-1286.7147216796875,4713.86,371,1855000,3948.06,35.4759,18.4907
372,-1124.741943359375,5167.16,372,1860000,5467.92,34.7522,14.4464
373,-1249.1175537109375,5173.14,373,1865000,5284.83,35.74,15.4141
374,-1180.4661865234375,5157.09,374,1870000,5256.47,35.8745,15.392
375,-1220.4154052734375,5174.51,375,1875000,5306.19,35.6965,15.5633
376,-1171.33544921875,5205.11,376,1880000,5399.55,35.6937,15.4817
377,-1212.31884765625,5263.99,377,1885000,5431.5,36.1351,16.0308
378,-1185.1878662109375,4766.8,378,1890000,5403.23,36.0561,15.4406
379,-1192.9293212890625,5286.59,379,1895000,5422.76,35.6444,16.4619
380,-1202.4942626953125,5272.84,380,1900000,5441.69,35.6854,16.276
381,-1232.8714599609375,5255.69,381,1905000,5400.09,34.5378,15.5617
382,-1245.1051025390625,5228.03,382,1910000,5411.76,35.7553,15.8529
383,-1269.8843994140625,5251.1,383,1915000,5408.85,36.0917,16.5558
384,-1279.5374755859375,5279.64,384,1920000,5452.82,35.9283,15.6314
