Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Real Det Return,Reward Loss
545000,109,29.8477,403.8,109,69.4239,808.26,-1790.8809814453125
550000,110,27.1008,442.17,110,62.9447,1126.75,-1685.8228759765625
555000,111,28.1373,648.87,111,62.0359,1410.65,-1630.7984619140625
560000,112,27.8674,222.16,112,66.382,545.44,-1805.093994140625
565000,113,29.309,312.83,113,69.7382,635.55,-1910.235107421875
570000,114,29.4927,255.97,114,68.1394,507.37,-1923.1124267578125
575000,115,28.6574,363.8,115,64.9887,799.29,-1860.705810546875
580000,116,27.5113,398.12,116,65.3297,985.78,-1894.8670654296875
585000,117,28.2223,404.6,117,65.6308,922.4,-1914.6295166015625
590000,118,28.4533,355.44,118,66.8419,1032.59,-1997.67138671875
595000,119,28.976,440.26,119,67.2587,900.4,-2062.12548828125
600000,120,28.9829,812.45,120,60.285,1504.03,-1663.807373046875
605000,121,27.6256,790.68,121,63.5771,1392.49,-1885.475830078125
610000,122,27.5973,882.13,122,61.5642,1801.17,-1873.4576416015625
615000,123,28.261,581.75,123,65.7488,843.27,-2145.259521484375
620000,124,27.6602,521.87,124,64.185,710.81,-2063.642333984375
625000,125,27.548,612.51,125,63.2068,1158.13,-2030.3740234375
630000,126,26.8605,580.71,126,60.255,1097.77,-1909.37060546875
635000,127,28.5869,468.18,127,66.2733,828.7,-2246.044921875
640000,128,26.5169,641.9,128,62.4665,1136.52,-2119.195556640625
645000,129,27.1574,465.33,129,63.058,1152.31,-2089.77099609375
650000,130,27.8355,1096.16,130,62.8195,1356.46,-2181.581298828125
655000,131,28.7545,511.08,131,66.7793,1040.16,-2432.004150390625
660000,132,25.7929,485.07,132,62.4078,652.03,-2200.599365234375
665000,133,26.9041,643.38,133,64.2506,680.33,-2339.434814453125
670000,134,28.1742,630.3,134,66.3807,1019.19,-2478.778564453125
675000,135,27.8923,595.7,135,66.2826,1146.04,-2488.466796875
680000,136,28.0295,489.4,136,65.789,930.58,-2521.81494140625
685000,137,28.4805,577.07,137,66.4956,1127.4,-2570.214599609375
690000,138,28.5524,391.94,138,67.3581,1232.09,-2651.307861328125
695000,139,25.887,811.45,139,60.9181,1395.97,-2341.033447265625
700000,140,26.4581,768.54,140,62.3106,1411.26,-2424.399658203125
705000,141,28.0273,433.66,141,66.3655,958.73,-2689.8359375
710000,142,26.3298,569.12,142,62.3656,1119.28,-2605.8603515625
715000,143,26.6204,492.85,143,62.3697,1468.73,-2437.85693359375
720000,144,27.9619,491.97,144,66.088,1108.12,-2709.08837890625
725000,145,26.5725,995.18,145,61.1212,1579.37,-2552.0673828125
730000,146,24.6534,629.56,146,59.0708,1377.67,-2411.629638671875
735000,147,25.9982,517.82,147,63.0733,1296.22,-2742.1513671875
740000,148,26.4536,662.66,148,63.4086,1468.75,-2860.533447265625
745000,149,28.7386,378.2,149,68.2262,916.26,-3106.376220703125
750000,150,27.2669,662.47,150,61.7591,1643.41,-2579.702392578125
755000,151,26.1422,519.56,151,63.4824,1311.15,-2894.256103515625
760000,152,26.4906,676.89,152,62.3251,1111.37,-2746.179931640625
765000,153,28.0707,427.76,153,66.1689,1941.49,-3224.968017578125
770000,154,25.8163,747.59,154,62.4061,1177.76,-2923.6240234375
775000,155,26.9946,711.26,155,63.8264,1626.8,-2943.856689453125
780000,156,27.0721,510.24,156,65.125,1057.95,-3206.266357421875
785000,157,33.7952,868.21,157,64.5833,1191.04,-2711.415283203125
790000,158,27.1173,583.69,158,66.0496,1103.17,-3273.677734375
795000,159,27.9483,725.52,159,66.19,1122.69,-3444.40869140625
800000,160,25.6091,905.63,160,60.8024,1744.21,-3003.57177734375
805000,161,28.2164,534.64,161,67.0179,973.34,-3529.235595703125
810000,162,25.8762,618.29,162,61.7686,1777.15,-3041.079833984375
815000,163,26.9412,875.36,163,61.6711,1149.02,-3024.923095703125
820000,164,28.4193,809.55,164,65.4574,1271.81,-3155.77734375
825000,165,27.5011,912.83,165,61.0405,1511.75,-2820.687744140625
830000,166,26.2625,782.01,166,61.7643,1794.42,-3194.140380859375
835000,167,25.9088,779.04,167,63.2086,1558.55,-3355.380859375
840000,168,27.2662,1194.08,168,62.7091,1999.45,-3283.57080078125
845000,169,27.925,549.6,169,66.6948,945.49,-3752.213134765625
850000,170,29.4403,1094.92,170,62.3519,2088.06,-2845.925537109375
855000,171,29.3361,810.83,171,64.7487,1968.3,-3162.935791015625
860000,172,27.0899,952.64,172,65.1293,1576.54,-3699.70263671875
865000,173,28.0067,766.7,173,64.8237,1622.4,-3424.929931640625
870000,174,28.4783,822.89,174,65.669,905.64,-3553.53857421875
875000,175,27.3189,1038.01,175,64.1594,1661.63,-3469.2900390625
880000,176,26.0785,1173.73,176,61.7624,1951.08,-3615.5849609375
885000,177,25.4087,964.77,177,60.6265,1363.95,-3616.534423828125
890000,178,29.8098,1216.36,178,64.4646,1907.33,-3664.66259765625
895000,179,26.2338,623.16,179,65.6175,1404.9,-4090.930419921875
900000,180,33.4341,1564.58,180,63.3613,-33.02,-3316.628662109375
905000,181,26.5739,1174.06,181,62.6514,2154.12,-3740.948486328125
910000,182,29.0018,1078.56,182,64.4464,2075.13,-3704.435791015625
915000,183,24.6572,888.47,183,61.5501,1545.87,-3964.63037109375
920000,184,24.9374,1174.14,184,61.6843,1320.76,-4058.705810546875
925000,185,28.6261,1352.9,185,60.3764,2402.77,-3337.18017578125
930000,186,30.2765,1303.27,186,61.5935,2037.17,-3162.125244140625
935000,187,25.8687,889.88,187,61.7526,1495.59,-3728.3896484375
940000,188,28.0914,1613.81,188,57.8361,2416.23,-3356.109375
945000,189,35.2088,1702.56,189,62.0253,2078.14,-3060.8974609375
950000,190,26.4205,1139.01,190,63.0175,2190.67,-4316.5478515625
955000,191,27.0528,1799.87,191,61.2212,2640.22,-3694.1416015625
960000,192,25.8141,1114.47,192,61.5574,2272.19,-4189.953125
965000,193,27.5524,1134.41,193,63.2519,2173.82,-4342.98046875
970000,194,29.1368,1572.86,194,59.1915,2167.55,-3516.204833984375
975000,195,26.1601,891.11,195,63.5892,2012.26,-4884.876953125
980000,196,24.3348,901.44,196,60.8656,1918.44,-4476.29443359375
985000,197,29.9215,1850.58,197,61.6158,2698.53,-3676.751220703125
990000,198,38.2189,2066.11,198,63.5055,2760.31,-3283.628662109375
995000,199,31.4307,1571.74,199,63.8776,2157.19,-4058.340087890625
1000000,200,42.5326,2088.67,200,64.9289,2445.05,-3413.06298828125
1005000,201,32.6404,2157.09,201,60.0107,2781.06,-3626.48779296875
1010000,202,41.9245,2110.56,202,62.0179,2747.21,-3130.952392578125
1015000,203,35.1589,2206.84,203,59.6855,2892.18,-3355.0009765625
1020000,204,36.9344,1995.74,204,62.7854,3093.08,-3282.0
1025000,205,35.3381,2301.57,205,62.3514,2936.57,-3885.670654296875
1030000,206,31.4451,2063.99,206,60.6979,3056.44,-3773.717529296875
1035000,207,35.5003,1380.71,207,64.0215,2734.79,-3706.144775390625
1040000,208,33.6872,1924.02,208,60.8141,2562.67,-3637.8828125
1045000,209,32.0079,1878.97,209,62.2519,2833.62,-3852.980712890625
1050000,210,33.4157,1955.78,210,64.1526,2460.75,-4393.572265625
1055000,211,29.5829,1029.88,211,61.6204,1642.27,-4198.85595703125
1060000,212,36.8447,2309.64,212,65.0036,2720.85,-3637.829833984375
1065000,213,30.395,2152.36,213,62.645,2665.64,-4288.376953125
1070000,214,33.0999,2319.51,214,63.2312,3097.93,-4284.505859375
1075000,215,32.0803,1905.83,215,63.544,2573.62,-4251.865234375
1080000,216,28.382,2263.73,216,63.0221,2690.41,-4538.60205078125
1085000,217,39.2999,2369.84,217,66.0126,3305.59,-4022.753173828125
1090000,218,47.2114,2512.44,218,68.3855,3282.16,-3600.535888671875
1095000,219,38.4455,2342.19,219,66.0265,3012.27,-3817.782958984375
1100000,220,28.0449,1121.31,220,64.9425,1360.48,-5402.57373046875
1105000,221,42.0377,2385.33,221,66.6351,3249.37,-4031.260986328125
1110000,222,42.7124,2596.81,222,66.8107,3220.1,-3941.373046875
1115000,223,45.419,2715.82,223,69.1982,3217.2,-3572.417724609375
1120000,224,32.887,1801.14,224,64.4479,1922.74,-4723.65283203125
1125000,225,46.8125,2373.65,225,68.1101,3631.52,-3598.0439453125
1130000,226,51.7227,2657.79,226,70.4839,3236.85,-3676.206787109375
1135000,227,54.106,2428.38,227,70.6395,3470.46,-3549.427978515625
1140000,228,54.7677,2548.86,228,72.1854,3344.36,-3824.923583984375
1145000,229,49.028,2518.83,229,69.361,2959.46,-4236.6494140625
1150000,230,46.2732,2449.66,230,68.68,3353.97,-3852.3681640625
1155000,231,38.2638,1512.21,231,66.9369,1403.72,-4545.7001953125
1160000,232,34.0557,1576.55,232,64.9738,3030.52,-4720.3974609375
1165000,233,29.3491,974.02,233,65.6413,740.74,-5908.93212890625
1170000,234,32.24,2331.93,234,65.5033,2152.65,-5270.6611328125
1175000,235,39.5206,1549.18,235,67.2321,2326.05,-4235.48193359375
1180000,236,38.7408,1719.79,236,66.644,2502.34,-4723.048828125
1185000,237,29.952,1438.18,237,66.3582,2613.14,-6067.06591796875
1190000,238,41.5295,1992.3,238,66.9283,2639.5,-4425.13037109375
1195000,239,44.6518,2019.04,239,68.4347,1934.52,-4607.03564453125
1200000,240,45.9169,2084.86,240,68.8915,1904.48,-4036.203857421875
1205000,241,46.6579,1947.18,241,68.7511,2922.39,-4216.15625
1210000,242,37.1327,2370.98,242,66.1542,2549.8,-4959.28271484375
1215000,243,42.3761,2344.05,243,67.7522,3583.67,-5167.06982421875
1220000,244,39.8543,1504.91,244,67.6492,2228.56,-4697.3134765625
1225000,245,45.5054,2528.44,245,69.6493,3053.66,-4709.4619140625
1230000,246,43.646,1901.54,246,67.3099,2357.88,-4868.54833984375
1235000,247,34.7539,1351.3,247,65.6134,1998.84,-5310.06640625
1240000,248,45.9745,2361.76,248,69.067,2909.34,-4545.87890625
1245000,249,35.0582,2235.08,249,67.5426,2480.88,-5982.02099609375
1250000,250,39.8121,1933.19,250,67.214,2347.05,-5393.6259765625
1255000,251,39.2511,2609.76,251,68.1673,3541.6,-5585.71630859375
1260000,252,53.5082,2204.09,252,69.9833,3550.04,-4250.912109375
1265000,253,59.3978,2044.53,253,76.5017,2994.91,-3656.538818359375
1270000,254,35.6036,1722.47,254,67.8705,2080.69,-6326.38720703125
1275000,255,48.3582,2241.76,255,69.3941,2938.47,-4612.580078125
1280000,256,41.2507,1568.18,256,68.2095,1799.24,-5076.96337890625
1285000,257,58.8723,3069.54,257,74.2956,3805.79,-3887.0625
1290000,258,43.181,2250.76,258,69.2132,1962.94,-5405.56298828125
1295000,259,35.7841,1092.1,259,67.6653,1883.64,-6337.880859375
1300000,260,47.627,2805.32,260,69.9359,4052.97,-4811.30419921875
1305000,261,44.3511,870.53,261,69.2001,1134.1,-5344.23486328125
1310000,262,46.6154,2248.72,262,69.4743,1925.97,-4904.4658203125
1315000,263,39.0494,1564.75,263,68.2542,1707.48,-5927.44384765625
1320000,264,39.3586,1417.39,264,68.9231,1976.82,-6133.1181640625
1325000,265,60.1325,2654.52,265,73.3287,3247.61,-4428.89404296875
1330000,266,43.1807,2067.85,266,69.8101,1933.67,-5916.8056640625
1335000,267,65.8919,3815.55,267,75.1123,4367.12,-4412.60888671875
1340000,268,49.5226,2822.99,268,70.7288,3079.37,-5708.94775390625
1345000,269,65.8014,3308.52,269,76.2059,3503.18,-4190.404296875
1350000,270,59.3362,3043.72,270,71.5227,3923.02,-4735.78466796875
1355000,271,53.1007,3254.23,271,72.1358,4024.01,-4869.7802734375
1360000,272,62.1521,3285.39,272,73.6061,3939.91,-4545.1689453125
1365000,273,65.4116,3903.32,273,81.1077,4122.74,-4405.26123046875
1370000,274,48.4074,3586.99,274,69.7178,4385.93,-5311.25634765625
1375000,275,64.4223,3665.14,275,79.2889,4274.94,-4365.3525390625
1380000,276,55.6917,3419.73,276,71.6363,4418.06,-5059.49755859375
1385000,277,70.8751,4040.27,277,83.5813,4319.88,-4430.8232421875
1390000,278,72.2685,4247.23,278,84.5894,4612.9,-4531.35595703125
1395000,279,63.1148,4026.33,279,76.4678,4381.01,-4629.728515625
1400000,280,69.4034,2928.6,280,83.7457,3773.7,-4227.7119140625
1405000,281,58.3998,3943.95,281,72.3998,4151.78,-5152.4296875
1410000,282,67.3665,4025.48,282,80.9602,4307.45,-4465.68798828125
1415000,283,71.4394,3853.37,283,82.2238,4408.63,-4749.06591796875
1420000,284,70.9912,3960.3,284,82.4961,4178.78,-4337.63818359375
1425000,285,68.794,3727.06,285,80.6804,4683.3,-4617.21875
1430000,286,66.2584,3696.26,286,83.8104,4358.28,-4506.44287109375
1435000,287,70.4756,4257.98,287,83.5318,4631.79,-4439.75732421875
1440000,288,63.2627,4234.82,288,74.5561,4692.5,-5183.54736328125
1445000,289,65.3048,4204.39,289,76.4917,4565.17,-5110.18115234375
1450000,290,75.731,4129.9,290,82.3265,4587.23,-4761.13623046875
1455000,291,73.4989,4093.44,291,85.9833,4820.21,-4977.03759765625
1460000,292,75.5259,4217.66,292,84.7397,4548.46,-4951.578125
1465000,293,75.4754,4142.06,293,85.4561,4725.04,-5022.79736328125
1470000,294,78.1689,4204.56,294,87.124,4552.94,-5377.30224609375
1475000,295,82.777,4122.96,295,88.838,4585.5,-5223.345703125
1480000,296,75.592,4433.04,296,82.5936,4736.56,-5302.76025390625
1485000,297,78.1931,4463.26,297,87.2891,4624.52,-5108.6083984375
1490000,298,69.7514,3717.82,298,80.3025,4267.34,-5241.63037109375
1495000,299,74.489,3853.1,299,85.5892,4805.99,-5255.18310546875
1500000,300,81.432,4075.29,300,87.1635,4420.63,-5445.046875
1505000,301,77.3993,4396.75,301,87.0282,4786.03,-5629.87060546875
1510000,302,69.0625,4358.2,302,76.2105,4751.8,-6086.24853515625
1515000,303,70.789,4598.44,303,76.7539,4883.36,-5599.1923828125
1520000,304,79.5614,4451.68,304,86.9094,4734.36,-5576.869140625
1525000,305,74.7898,4669.95,305,75.554,4670.34,-5666.80224609375
1530000,306,72.0254,3746.89,306,83.0534,5013.18,-5476.57080078125
1535000,307,68.8318,4457.59,307,74.856,4754.39,-5706.74609375
1540000,308,82.9343,4185.74,308,88.3225,4903.39,-5626.6376953125
1545000,309,70.6072,4636.62,309,78.3897,4207.96,-5871.45751953125
1550000,310,82.3402,4593.24,310,89.7808,4905.23,-5899.1181640625
1555000,311,90.3436,4567.96,311,92.7933,4849.01,-5709.1083984375
1560000,312,89.4145,4304.45,312,86.3822,4607.5,-5770.38330078125
1565000,313,79.0765,4446.21,313,81.3062,4544.66,-5956.6875
1570000,314,79.727,4609.02,314,86.1381,4972.71,-5744.5732421875
1575000,315,85.5776,4416.68,315,87.4814,4562.14,-6120.1806640625
1580000,316,81.1839,3861.04,316,89.1866,4679.95,-5688.2734375
1585000,317,83.6778,4714.52,317,89.7378,4955.75,-6073.85107421875
1590000,318,83.3693,4391.32,318,86.1321,4784.26,-5971.32275390625
1595000,319,83.6739,4386.16,319,90.4863,4607.21,-6154.51171875
1600000,320,79.9241,4513.04,320,80.4487,4810.87,-6689.20068359375
1605000,321,81.2295,3900.77,321,89.2458,4915.32,-6121.2607421875
1610000,322,85.5558,4664.12,322,90.1664,4958.42,-6203.935546875
1615000,323,79.4528,4616.68,323,87.6072,4833.3,-6697.47705078125
1620000,324,76.176,4711.28,324,77.3092,4961.31,-7103.34130859375
1625000,325,81.3357,4403.72,325,88.5937,4970.16,-6747.9287109375
1630000,326,77.3023,4345.48,326,76.7805,4919.08,-7099.11669921875
1635000,327,81.2404,4357.71,327,87.8169,4983.2,-6833.341796875
1640000,328,80.3143,4517.89,328,80.1383,4866.85,-6878.59375
1645000,329,83.4711,4668.49,329,88.6141,4965.63,-7134.43115234375
1650000,330,75.6927,4188.02,330,78.6267,4707.73,-7182.55859375
1655000,331,75.2499,4675.93,331,79.5487,4978.32,-7368.07177734375
1660000,332,82.4788,4488.83,332,89.4141,4715.32,-7033.509765625
1665000,333,80.9646,4742.79,333,87.6408,4981.03,-7221.986328125
1670000,334,83.7158,4677.84,334,89.8854,4796.39,-7233.40283203125
1675000,335,82.4414,4552.07,335,86.7568,5023.47,-7330.08837890625
1680000,336,84.1843,4661.62,336,91.2708,4777.03,-7573.3017578125
1685000,337,82.4882,3823.74,337,86.6676,5002.56,-7661.68359375
1690000,338,81.4437,4662.89,338,88.7393,5092.67,-7644.01611328125
1695000,339,69.2027,4759.31,339,74.6752,5110.83,-7998.24951171875
1700000,340,84.5622,4605.22,340,90.6614,5008.03,-7686.43701171875
1705000,341,89.0798,4749.74,341,93.4782,4992.3,-7893.70556640625
1710000,342,84.2162,4858.75,342,85.6991,5193.12,-7724.01123046875
1715000,343,80.9192,4830.72,343,90.2425,5120.06,-7612.2109375
1720000,344,71.8584,4661.79,344,78.2932,4921.49,-7898.921875
1725000,345,84.9545,4674.41,345,89.6881,5183.62,-7442.31201171875
1730000,346,74.519,4424.25,346,80.3536,5270.99,-7742.50048828125
1735000,347,65.6827,4788.03,347,73.8073,4957.07,-7964.95166015625
1740000,348,83.4759,4516.2,348,90.622,4793.87,-7779.56201171875
1745000,349,76.8745,4336.56,349,79.6748,4697.66,-7753.95751953125
1750000,350,71.2562,4469.12,350,77.2183,4711.76,-7880.77392578125
1755000,351,73.8477,4853.16,351,78.5486,5268.32,-7783.15673828125
1760000,352,81.2807,4305.12,352,90.9915,4251.24,-8040.3271484375
1765000,353,67.073,4200.07,353,76.967,4900.01,-7909.27294921875
1770000,354,83.5705,4817.28,354,89.1708,4339.91,-7613.0859375
1775000,355,68.0912,4613.25,355,75.7614,5021.89,-8062.140625
1780000,356,77.7069,4429.71,356,89.8617,5098.4,-8181.193359375
1785000,357,77.254,4323.06,357,87.7077,4697.17,-8075.21728515625
1790000,358,77.4724,4566.17,358,90.6215,5066.71,-8157.48974609375
1795000,359,78.0169,3501.68,359,88.317,5340.34,-8263.2080078125
1800000,360,71.7092,4024.77,360,77.2204,5215.23,-8290.1123046875
1805000,361,79.7129,4457.53,361,86.946,5002.16,-8178.03857421875
1810000,362,82.4593,4536.33,362,88.7421,4595.68,-8015.20263671875
1815000,363,84.4123,4569.58,363,89.2631,5074.29,-8110.17236328125
1820000,364,80.1611,3898.36,364,85.4168,5081.08,-8249.8720703125
1825000,365,73.2843,4774.48,365,78.4787,5036.0,-8536.75
1830000,366,75.3587,4707.88,366,76.5597,4442.3,-8602.2490234375
1835000,367,84.5666,4529.98,367,91.9833,4786.41,-8490.509765625
1840000,368,79.2184,4690.25,368,92.9572,4835.66,-8504.71875
1845000,369,84.3202,4602.8,369,91.9413,4376.51,-8529.4833984375
1850000,370,75.7134,4184.72,370,78.9065,5022.3,-8849.12109375
1855000,371,86.7469,4687.43,371,93.0576,4734.67,-8645.625
1860000,372,84.981,4468.75,372,89.1609,4387.95,-8733.5498046875
1865000,373,86.7383,4386.99,373,91.6696,4643.24,-9067.1767578125
1870000,374,82.7073,4210.28,374,91.4729,4583.45,-8746.2177734375
1875000,375,87.0901,4207.82,375,92.4255,5247.68,-8975.1455078125
1880000,376,87.9697,4639.54,376,95.1401,5327.14,-9017.83984375
1885000,377,76.7023,4471.37,377,76.8026,4750.42,-8948.0390625
1890000,378,78.4357,4573.38,378,77.6107,4857.69,-9068.880859375
1895000,379,88.4042,4918.81,379,91.4082,4229.61,-8930.271484375
1900000,380,84.8296,4148.88,380,89.6847,4354.88,-9130.9619140625
1905000,381,80.5851,4085.69,381,88.1779,5015.03,-9068.6259765625
1910000,382,85.5747,4074.29,382,87.7175,4370.25,-8969.107421875
1915000,383,70.6592,4070.42,383,76.2399,4938.92,-9103.9912109375
1920000,384,86.8102,4298.81,384,93.4941,4785.66,-8940.2138671875
1925000,385,77.9449,4426.68,385,77.5026,4059.31,-9234.095703125
1930000,386,60.661,3847.86,386,72.0422,3953.37,-9096.9482421875
1935000,387,92.4158,3456.05,387,93.6843,4461.57,-9002.7822265625
1940000,388,77.4188,3460.36,388,77.7059,4453.97,-9257.2265625
1945000,389,87.8985,4294.02,389,91.4927,4967.28,-9190.8115234375
1950000,390,84.4242,4100.84,390,90.9397,4445.08,-9071.6669921875
1955000,391,72.0499,4595.2,391,76.2808,5057.17,-9427.494140625
