Running Update Time,Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Real Det Return,Running Env Steps
36,-62.7246208190918,2903.69,36,20.9543,23.8109,3219.5,180000
37,-48.97513961791992,3192.82,37,20.2244,12.401,3223.81,185000
38,-89.93196105957031,2685.67,38,21.4599,32.5859,3254.06,190000
39,-55.237918853759766,3268.76,39,18.7242,11.3133,3292.26,195000
40,-44.71430206298828,3133.05,40,20.021,12.0369,3225.26,200000
41,-76.61983489990234,3055.61,41,20.366,29.1418,3240.54,205000
42,-58.69209671020508,3247.0,42,19.7131,12.5011,3270.62,210000
43,-36.34840393066406,3223.29,43,19.9454,12.5552,3324.42,215000
44,-231.0428009033203,50.73,44,39.1279,50.4008,50.93,220000
45,-244.43280029296875,1007.35,45,39.0004,41.0503,1005.5,225000
46,-47.153236389160156,3166.99,46,19.9671,12.5556,3272.83,230000
47,-51.79154968261719,3275.99,47,19.8529,12.53,3304.06,235000
48,-55.87220001220703,3197.18,48,20.0183,12.1614,3215.05,240000
49,-49.91471862792969,3303.31,49,18.8504,11.6296,3327.18,245000
50,-57.51836395263672,3324.74,50,19.3575,12.6081,3338.6,250000
51,-48.151405334472656,3311.02,51,19.2514,12.1734,3335.48,255000
52,-64.37071990966797,3191.04,52,19.275,12.1142,3322.83,260000
53,-48.45142364501953,3240.41,53,18.6459,11.2697,3367.8,265000
54,-43.26802444458008,3351.66,54,19.0626,11.8159,3367.42,270000
55,-85.4415283203125,3296.67,55,18.0731,11.9485,3314.39,275000
56,-64.24993133544922,3323.12,56,18.165,11.6192,3353.84,280000
57,-54.87224578857422,3382.44,57,16.9681,11.2841,3401.08,285000
58,-160.9383544921875,3183.09,58,19.72,41.0003,3380.03,290000
59,-63.158599853515625,3337.86,59,18.0797,11.0846,3349.12,295000
60,-63.09524154663086,3330.26,60,18.1968,11.0027,3354.15,300000
61,-65.03096008300781,3385.0,61,17.6304,11.5603,3413.59,305000
62,-55.731414794921875,3267.59,62,18.326,11.8205,3419.9,310000
63,-122.03046417236328,2619.91,63,18.5156,14.2883,3395.7,315000
64,-50.865055084228516,3396.99,64,18.1864,11.7161,3433.46,320000
65,-62.20158767700195,3407.41,65,19.3381,13.1556,3434.67,325000
66,-64.09951782226562,3282.48,66,17.4072,11.2853,3439.94,330000
67,-70.87510681152344,3356.2,67,15.9359,9.4532,3380.06,335000
68,-87.57511138916016,3243.72,68,17.5437,13.2464,3340.77,340000
69,-91.07294464111328,3295.43,69,17.7725,12.3974,3411.04,345000
70,-102.73271942138672,3333.84,70,19.082,12.9025,3425.38,350000
71,-80.23020935058594,3273.65,71,18.7537,12.0943,3417.8,355000
72,-58.68387222290039,3426.81,72,17.8419,11.9701,3450.5,360000
73,-85.44683837890625,3272.39,73,18.2457,12.48,3394.45,365000
74,-55.175811767578125,3312.88,74,17.2231,11.2692,3428.78,370000
75,-88.40668487548828,3302.39,75,18.2265,12.1169,3405.48,375000
76,-70.65591430664062,3316.68,76,17.9468,11.5383,3420.46,380000
77,-72.94937896728516,3197.95,77,18.004,11.1638,3391.88,385000
78,-78.53844451904297,3347.54,78,17.6478,11.5919,3364.53,390000
79,-149.60250854492188,2892.03,79,19.9267,12.9578,3416.8,395000
80,-73.80110168457031,3402.55,80,18.1331,12.4283,3417.99,400000
81,-63.579620361328125,3327.38,81,17.5714,11.4314,3414.83,405000
82,-81.71713256835938,3384.47,82,17.4189,10.9603,3399.62,410000
83,-74.41386413574219,3377.13,83,16.887,10.95,3380.46,415000
84,-58.98481750488281,3431.54,84,17.416,11.3794,3439.98,420000
85,-64.32878875732422,3184.15,85,19.5841,12.7348,3473.88,425000
86,-73.33538055419922,3297.17,86,17.5997,10.9928,3469.51,430000
87,-82.35565185546875,3391.61,87,17.3545,11.5039,3401.89,435000
88,-68.48802947998047,3445.91,88,17.3048,11.1157,3459.11,440000
89,-71.79313659667969,3321.08,89,16.9286,10.9164,3445.43,445000
90,-74.16099548339844,3414.71,90,16.4323,10.5991,3414.09,450000
91,-72.22530364990234,3413.35,91,16.4889,10.8766,3427.42,455000
92,-76.24957275390625,3333.13,92,17.2837,11.0656,3426.72,460000
93,-76.57638549804688,3402.92,93,15.9989,10.3099,3404.02,465000
94,-78.47076416015625,3434.51,94,17.0349,11.2896,3452.77,470000
95,-80.16007995605469,3445.06,95,17.8408,11.8808,3436.59,475000
96,-72.05584716796875,3309.47,96,16.9717,11.3319,3436.3,480000
97,-75.00851440429688,3355.74,97,17.2728,11.2328,3434.51,485000
98,-72.98991394042969,3336.48,98,16.5301,10.6784,3438.74,490000
99,-80.91482543945312,3328.75,99,16.9277,11.0469,3458.05,495000
100,-87.76092529296875,3329.26,100,17.3311,11.2532,3471.12,500000
101,-81.69713592529297,3435.38,101,17.5059,11.1192,3494.75,505000
102,-86.03471374511719,3422.81,102,17.4405,11.5024,3482.97,510000
103,-113.15158081054688,2142.15,103,18.8744,10.9898,3479.42,515000
104,-117.99696350097656,3355.9,104,18.1844,12.5503,3465.22,520000
105,-138.9180450439453,2739.58,105,18.3755,16.3076,3469.14,525000
106,-113.14385986328125,3235.35,106,18.2091,13.6313,3464.86,530000
107,-222.7841796875,2426.71,107,19.9176,31.9079,3510.4,535000
108,-73.90150451660156,3377.6,108,16.3965,10.3085,3474.54,540000
109,-122.51874542236328,3221.18,109,17.8712,19.1946,3464.51,545000
110,-93.27552032470703,3464.91,110,17.5937,11.3345,3486.11,550000
111,-97.52923583984375,3309.45,111,16.6615,10.8733,3445.45,555000
112,-120.18305206298828,3354.21,112,18.0251,11.8598,3492.68,560000
113,-77.4933090209961,3337.57,113,17.0168,10.5119,3466.13,565000
114,-91.63108825683594,3351.55,114,16.7032,10.644,3467.46,570000
115,-261.0988464355469,2653.3,115,19.3327,42.2342,3472.75,575000
116,-117.28343200683594,3306.52,116,17.8583,11.6426,3419.42,580000
117,-105.10301208496094,3347.51,117,17.1019,11.2248,3483.58,585000
118,-193.3253936767578,3221.45,118,19.2246,13.8295,3406.14,590000
119,-97.76285552978516,3376.07,119,16.6862,10.3654,3471.2,595000
120,-94.70513153076172,3343.69,120,16.246,10.2224,3477.95,600000
121,-109.8261489868164,3396.9,121,17.2794,11.7673,3411.25,605000
122,-132.3856658935547,3204.64,122,17.835,11.4982,3424.47,610000
123,-176.68577575683594,3257.61,123,18.8235,10.3609,3455.26,615000
124,-95.29450225830078,3242.43,124,17.6546,11.638,3493.05,620000
125,-191.58053588867188,2835.34,125,18.3418,9.8568,3486.82,625000
126,-96.7116928100586,3283.87,126,17.6056,11.3623,3476.94,630000
127,-157.35841369628906,3191.24,127,17.0039,9.9783,3387.35,635000
128,-117.18997192382812,3488.64,128,17.7312,11.8157,3496.47,640000
129,-315.1970520019531,2502.43,129,19.6316,44.1224,3482.81,645000
130,-155.67794799804688,3410.73,130,17.8958,11.6235,3475.05,650000
131,-190.76947021484375,2879.58,131,16.8175,16.1909,3439.04,655000
132,-115.6581039428711,3299.57,132,16.3038,10.4771,3488.35,660000
133,-172.59576416015625,3003.86,133,17.4525,20.7697,3451.71,665000
134,-169.3211212158203,3263.06,134,17.5422,12.0812,3410.59,670000
135,-157.0294189453125,3190.86,135,16.4469,9.5687,3428.26,675000
136,-125.46983337402344,3353.29,136,16.4986,10.5692,3458.59,680000
137,-131.2054443359375,3425.87,137,16.8596,11.0984,3460.29,685000
138,-125.19851684570312,3456.23,138,16.2806,10.5238,3445.0,690000
139,-130.63552856445312,3316.3,139,16.399,10.5302,3427.88,695000
140,-130.55148315429688,3371.13,140,17.5539,11.1418,3440.22,700000
141,-127.41777038574219,3045.3,141,17.9296,11.9464,3486.62,705000
142,-141.0106658935547,3379.7,142,17.0329,10.5147,3385.75,710000
143,-136.6527099609375,3174.35,143,16.5322,11.319,3452.37,715000
144,-140.86526489257812,3415.99,144,16.7165,11.2524,3398.01,720000
145,-126.76435852050781,3473.31,145,17.7243,11.2358,3442.38,725000
146,-127.74705505371094,3410.48,146,15.8081,9.8328,3414.67,730000
147,-122.84591674804688,3427.2,147,16.9427,10.6031,3401.85,735000
148,-105.16950225830078,3469.46,148,16.6131,10.5396,3467.77,740000
149,-130.20480346679688,3461.74,149,16.096,10.241,3462.5,745000
150,-112.62315368652344,3349.24,150,16.0089,10.6737,3437.34,750000
151,-98.12730407714844,3418.3,151,15.6612,9.7595,3402.14,755000
152,-139.07676696777344,3435.22,152,16.4601,10.6421,3432.71,760000
153,-200.3969268798828,3287.13,153,17.9358,19.3157,3505.16,765000
154,-113.15461730957031,2408.43,154,17.5475,11.1805,3495.04,770000
155,-291.1129150390625,2260.73,155,20.8214,68.0366,1760.61,775000
156,-166.6852264404297,3221.26,156,18.2268,11.4853,3406.91,780000
157,-138.6806640625,3394.67,157,15.947,10.2721,3403.84,785000
158,-118.66325378417969,3164.65,158,16.6977,10.7164,3462.11,790000
159,-187.5062255859375,3174.18,159,17.5323,20.5116,3452.45,795000
160,-135.56161499023438,3335.84,160,17.3496,11.144,3467.9,800000
161,-347.3568420410156,1724.37,161,20.6018,19.6692,3535.91,805000
162,-165.1617889404297,3391.09,162,17.2836,10.624,3438.25,810000
163,-146.8858184814453,3262.43,163,16.7114,10.4423,3442.56,815000
164,-133.7578582763672,3472.54,164,16.6363,9.9746,3474.49,820000
165,-142.4008026123047,3447.49,165,16.4782,10.637,3445.37,825000
166,-150.75511169433594,3295.04,166,16.4433,10.6106,3425.39,830000
167,-160.92916870117188,3404.83,167,17.1442,11.2409,3453.87,835000
168,-150.54246520996094,3256.71,168,16.7442,10.5713,3441.85,840000
169,-156.33380126953125,3303.35,169,17.0666,10.7217,3468.82,845000
170,-170.08587646484375,3329.51,170,17.1191,11.8743,3418.87,850000
171,-126.95464324951172,3218.39,171,16.4679,10.2968,3421.6,855000
172,-151.659423828125,3351.69,172,17.1687,11.0498,3471.82,860000
173,-398.05047607421875,2599.83,173,18.9053,26.9121,3447.63,865000
174,-210.64474487304688,3140.84,174,18.2709,13.307,3471.04,870000
175,-183.67198181152344,3384.67,175,17.447,11.1196,3382.1,875000
176,-210.4843292236328,2954.09,176,17.1539,11.8071,3480.31,880000
177,-174.17311096191406,3301.21,177,17.1279,14.071,3428.64,885000
178,-168.72564697265625,3065.13,178,16.6972,10.1971,3464.9,890000
179,-380.3750915527344,2020.21,179,19.2757,14.9666,3436.02,895000
180,-182.1641082763672,3343.89,180,16.3768,14.0059,3446.82,900000
181,-165.72674560546875,3299.94,181,17.5109,10.7971,3392.5,905000
182,-186.10879516601562,3247.66,182,16.6368,10.2286,3422.89,910000
183,-209.32891845703125,3144.95,183,17.5806,10.7319,3455.94,915000
184,-224.8860626220703,3210.2,184,18.4652,16.0135,3356.06,920000
185,-164.1883544921875,3396.71,185,16.6814,10.827,3420.06,925000
186,-147.79690551757812,3376.2,186,16.7173,10.5709,3399.42,930000
187,-227.81765747070312,3359.51,187,19.8621,12.7238,3380.23,935000
188,-205.64413452148438,3259.65,188,17.4134,11.0941,3461.15,940000
189,-200.51812744140625,3344.91,189,16.3256,9.9761,3472.35,945000
190,-275.58551025390625,3427.53,190,19.5374,13.2244,3445.1,950000
191,-188.520751953125,3174.79,191,17.0443,10.2798,3476.08,955000
192,-197.01885986328125,3073.68,192,16.919,9.5822,3424.97,960000
193,-178.4054412841797,3352.24,193,17.2335,10.5531,3455.71,965000
194,-195.79478454589844,3312.17,194,17.328,10.2736,3448.09,970000
195,-183.3640594482422,3264.62,195,17.1931,10.7376,3499.65,975000
196,-207.25350952148438,3296.31,196,17.9811,11.6117,3462.22,980000
197,-221.99208068847656,3092.75,197,18.1874,11.2435,3423.97,985000
198,-206.11849975585938,3290.95,198,17.2678,10.3901,3464.31,990000
199,-287.9513244628906,2764.68,199,18.9724,11.0679,3505.12,995000
