Itration,Reward Loss,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL,Running Update Time,Running Env Steps
41,-2057.3330078125,1711.79,157.3964,2042.17,16.932,41,205000
42,-2093.9521484375,1663.41,157.3306,1998.84,16.441,42,210000
43,-2117.363037109375,1663.58,157.4064,2006.84,16.4283,43,215000
44,-2163.665771484375,1670.49,157.4,2008.25,16.5758,44,220000
45,-2195.570068359375,1687.3,157.3687,1988.87,16.5137,45,225000
46,-2245.95556640625,1695.36,157.2782,2071.09,16.4963,46,230000
47,-2299.6728515625,1691.3,157.0143,2067.62,16.2803,47,235000
48,-2331.7646484375,1697.89,157.318,1997.51,16.5561,48,240000
49,-2389.39501953125,1696.93,157.1928,2075.48,16.1979,49,245000
50,-2421.98193359375,1721.96,157.3699,2056.95,16.6234,50,250000
51,-2454.68408203125,1692.91,157.2355,2035.63,16.1059,51,255000
52,-2490.836181640625,1733.58,157.0318,2071.79,16.3751,52,260000
53,-2515.28466796875,1719.33,157.2514,2098.94,16.3118,53,265000
54,-2568.52197265625,1706.34,157.1179,2059.53,16.054,54,270000
55,-2620.962158203125,1677.72,157.2732,2079.29,16.5074,55,275000
56,-2638.666259765625,1722.66,157.188,2064.63,16.2306,56,280000
57,-2685.746337890625,1688.49,157.0458,2050.86,16.0772,57,285000
58,-2756.62646484375,1755.77,156.9233,2099.61,16.4972,58,290000
59,-2756.548828125,1721.44,157.0351,2079.47,16.0349,59,295000
60,-2828.24609375,1694.67,157.1993,2067.9,16.0966,60,300000
61,-2856.81787109375,1700.66,157.0027,2061.54,16.0,61,305000
62,-2889.59423828125,1746.09,156.9993,2078.1,16.2703,62,310000
63,-2943.276611328125,1745.08,157.1229,2087.32,16.1914,63,315000
64,-2991.582275390625,1754.21,157.0418,2181.63,16.472,64,320000
65,-3037.58154296875,1738.55,157.1599,2139.57,16.1775,65,325000
66,-3046.462158203125,1750.94,156.9017,2108.99,16.0147,66,330000
67,-3114.120361328125,1731.76,157.0491,2093.11,15.9532,67,335000
68,-3152.449462890625,1736.41,156.8674,2119.19,15.8241,68,340000
69,-3206.592041015625,1775.07,156.8886,2152.37,16.1502,69,345000
70,-3232.9482421875,1770.58,157.013,2113.12,16.0163,70,350000
71,-3268.682861328125,1758.94,156.8916,2091.09,15.7911,71,355000
72,-3326.3916015625,1775.29,156.9271,2124.64,16.0986,72,360000
73,-3361.876708984375,1790.83,156.6924,2128.37,16.2453,73,365000
74,-3424.625,1784.89,156.9704,2112.67,15.9885,74,370000
75,-3484.30908203125,1785.15,157.0212,2137.57,16.3191,75,375000
76,-3509.285888671875,1804.74,156.8421,2184.67,16.1744,76,380000
77,-3517.619384765625,1752.87,156.8204,2111.31,15.7563,77,385000
78,-3588.869140625,1752.89,156.9877,2088.05,15.7907,78,390000
79,-3640.265380859375,1747.33,157.0108,2095.2,15.4779,79,395000
80,-3683.86083984375,1788.65,156.9561,2127.88,15.9042,80,400000
81,-3744.08251953125,1771.24,156.885,2093.39,15.9474,81,405000
82,-3768.956298828125,1770.28,156.8135,2099.18,15.917,82,410000
83,-3835.50830078125,1786.98,157.1195,2206.31,15.9999,83,415000
84,-3856.1943359375,1787.79,156.8305,2114.83,15.774,84,420000
85,-3915.01953125,1832.88,156.7981,2206.38,16.271,85,425000
86,-3958.328369140625,1782.39,156.7646,2127.76,15.7954,86,430000
87,-3990.647705078125,1775.21,156.7933,2120.56,15.5356,87,435000
88,-4038.67333984375,1780.98,156.9716,2163.25,15.8473,88,440000
89,-4105.62255859375,1806.69,156.7893,2155.1,15.7561,89,445000
90,-4128.7919921875,1820.03,156.7478,2152.01,15.7733,90,450000
91,-4193.572265625,1791.36,156.8149,2140.07,15.8712,91,455000
92,-4224.07421875,1824.39,156.8799,2165.71,16.004,92,460000
93,-4265.71826171875,1821.16,156.8394,2162.09,15.8594,93,465000
94,-4326.55224609375,1812.18,156.762,2156.43,15.9234,94,470000
95,-4367.099609375,1825.59,156.7891,2183.9,15.8295,95,475000
96,-4428.357421875,1824.28,157.018,2172.11,15.9362,96,480000
97,-4472.94189453125,1794.44,156.8164,2175.46,15.6816,97,485000
98,-4523.423828125,1817.76,156.8317,2184.88,16.0901,98,490000
99,-4575.35791015625,1769.26,156.8625,2138.94,15.839,99,495000
100,-4625.962890625,1845.68,156.8858,2196.51,16.0446,100,500000
101,-4672.12109375,1840.5,156.7665,2154.64,15.8897,101,505000
102,-4688.72607421875,1847.35,156.6837,2153.14,15.8939,102,510000
103,-4763.26318359375,1807.21,156.9778,2159.25,15.7859,103,515000
104,-4814.83740234375,1821.03,156.8642,2177.56,15.8809,104,520000
105,-4874.88232421875,1823.75,156.8401,2175.41,15.7604,105,525000
106,-4922.95361328125,1854.21,156.7743,2191.69,15.8745,106,530000
107,-4982.5361328125,1803.38,156.7927,2161.71,15.573,107,535000
108,-5027.11572265625,1848.31,156.7125,2186.42,15.5732,108,540000
109,-5072.46337890625,1832.83,156.7642,2194.58,15.804,109,545000
110,-5118.15283203125,1831.62,156.5886,2209.78,15.9242,110,550000
111,-5151.16455078125,1806.72,156.868,2137.13,15.6654,111,555000
112,-5238.57080078125,1814.73,156.6935,2178.1,15.7085,112,560000
113,-5224.24072265625,1823.73,157.0495,2169.1,15.7385,113,565000
114,-5336.1259765625,1857.65,156.7292,2222.14,15.8313,114,570000
115,-5368.2802734375,1811.49,156.7738,2142.88,15.7903,115,575000
116,-5389.1416015625,1774.29,156.8857,2071.18,15.5956,116,580000
117,-5480.6240234375,1841.41,156.9207,2188.92,15.7983,117,585000
118,-5540.91845703125,1880.47,156.7501,2200.86,15.8511,118,590000
119,-5626.07666015625,1861.62,156.7146,2238.92,15.6564,119,595000
120,-5636.33837890625,1858.38,156.6808,2214.84,15.8209,120,600000
121,-5692.6767578125,1827.07,156.8187,2176.75,15.7888,121,605000
122,-5742.19873046875,1879.73,156.7708,2242.76,15.8762,122,610000
123,-5799.07958984375,1844.15,156.6928,2213.98,15.6805,123,615000
124,-5872.15283203125,1855.21,156.875,2204.92,15.8868,124,620000
125,-5895.228515625,1853.09,156.828,2165.5,15.5327,125,625000
126,-5958.60498046875,1816.2,156.8221,2199.81,15.5383,126,630000
127,-6047.7265625,1874.04,156.9386,2189.94,15.6935,127,635000
128,-6084.865234375,1854.52,156.7852,2207.9,15.8565,128,640000
129,-6164.939453125,1844.68,156.8121,2226.14,15.8321,129,645000
130,-6172.3681640625,1848.45,156.7734,2154.92,15.4016,130,650000
131,-6275.06982421875,1837.04,156.8318,2186.01,15.1923,131,655000
132,-6314.2080078125,1853.58,156.571,2202.69,15.5466,132,660000
133,-6345.0703125,1870.97,156.7258,2182.31,15.4174,133,665000
134,-6411.328125,1857.99,156.6189,2200.19,15.486,134,670000
135,-6472.46240234375,1863.04,156.7541,2210.5,15.4753,135,675000
136,-6572.2470703125,1865.81,156.7993,2234.21,15.7887,136,680000
137,-6643.6279296875,1896.15,156.7003,2263.39,15.8288,137,685000
138,-6677.30419921875,1847.61,156.7042,2230.44,15.5099,138,690000
139,-6743.365234375,1869.63,156.7093,2240.82,15.6077,139,695000
140,-6787.12646484375,1865.46,156.7968,2195.85,15.8653,140,700000
141,-6810.0927734375,1847.34,156.7997,2189.47,15.4515,141,705000
142,-6885.0166015625,1856.2,156.7843,2213.72,15.6519,142,710000
143,-6953.98681640625,1822.81,156.9497,2191.75,15.8864,143,715000
144,-6971.73681640625,1862.12,156.7987,2233.51,15.4589,144,720000
145,-7080.51806640625,1847.35,156.7113,2161.52,15.6845,145,725000
146,-7119.6201171875,1848.05,156.9036,2213.35,15.603,146,730000
147,-7155.3330078125,1865.11,156.6648,2223.32,15.3634,147,735000
148,-7230.59765625,1868.29,156.7024,2179.46,15.587,148,740000
149,-7309.46044921875,1871.41,156.6566,2220.35,15.8672,149,745000
150,-7312.23291015625,1868.31,156.7482,2207.87,15.6767,150,750000
151,-7421.1728515625,1902.94,156.6751,2253.11,15.904,151,755000
152,-7417.11962890625,1842.99,156.7655,2202.5,15.4427,152,760000
153,-7447.51904296875,1894.02,156.7315,2223.51,15.8073,153,765000
154,-7506.296875,1850.43,156.852,2171.43,15.3762,154,770000
155,-7636.328125,1922.2,156.8892,2254.55,16.0006,155,775000
156,-7628.703125,1883.75,156.791,2225.36,15.7739,156,780000
157,-7677.16455078125,1874.15,156.6339,2197.65,15.5536,157,785000
158,-7805.39501953125,1911.57,156.7521,2266.54,15.9581,158,790000
159,-7818.3212890625,1881.31,156.7762,2224.35,15.7307,159,795000
160,-7849.6943359375,1894.54,156.6242,2255.09,15.7535,160,800000
161,-7915.630859375,1891.54,156.6861,2210.46,15.4508,161,805000
162,-7988.56640625,1889.15,156.843,2256.95,15.6018,162,810000
163,-8008.5078125,1873.16,156.8374,2218.04,15.4806,163,815000
164,-8049.34619140625,1862.02,156.7768,2185.75,15.4387,164,820000
165,-8166.67919921875,1910.38,156.7691,2244.08,15.4639,165,825000
166,-8218.9375,1892.1,156.6733,2213.53,15.6748,166,830000
167,-8225.5576171875,1874.36,156.768,2206.79,15.4928,167,835000
168,-8288.76171875,1893.67,156.7269,2192.7,15.3709,168,840000
169,-8347.599609375,1910.99,156.8243,2247.1,15.6275,169,845000
170,-8425.78125,1872.42,156.8115,2209.46,15.5682,170,850000
171,-8470.44140625,1877.09,156.7338,2253.26,15.2791,171,855000
172,-8493.2587890625,1904.49,156.6709,2240.01,15.615,172,860000
173,-8593.26171875,1873.39,156.9923,2218.45,15.4148,173,865000
174,-8610.822265625,1883.65,156.6091,2186.59,15.2408,174,870000
175,-8698.140625,1908.93,156.6354,2269.36,15.4618,175,875000
176,-8724.9794921875,1901.51,156.6998,2218.65,15.4591,176,880000
177,-8803.0400390625,1883.71,156.7559,2210.49,15.3122,177,885000
178,-8805.9443359375,1900.15,156.7734,2229.53,15.3796,178,890000
179,-8882.3076171875,1907.73,156.6522,2231.05,15.4324,179,895000
180,-8929.8271484375,1906.2,156.6879,2252.89,15.5446,180,900000
181,-9055.5888671875,1935.62,156.7811,2279.67,15.9385,181,905000
182,-9055.2412109375,1920.79,156.6645,2263.65,15.2542,182,910000
183,-9069.4150390625,1911.14,156.6139,2209.1,15.4569,183,915000
184,-9115.5849609375,1906.49,156.3661,2223.95,15.2501,184,920000
185,-9171.1083984375,1908.79,156.7552,2235.26,15.5433,185,925000
186,-9209.154296875,1914.81,156.7515,2228.45,15.6087,186,930000
187,-9272.658203125,1912.89,156.5361,2195.05,15.5677,187,935000
188,-9283.005859375,1911.81,156.7845,2258.21,15.7373,188,940000
189,-9267.576171875,1916.47,156.683,2242.8,15.4309,189,945000
190,-9313.263671875,1922.88,156.6235,2261.64,15.4684,190,950000
191,-9366.064453125,1929.94,156.8074,2258.74,15.6709,191,955000
192,-9410.685546875,1927.07,156.6981,2268.32,15.5688,192,960000
193,-9441.9453125,1929.18,156.7194,2284.68,15.6706,193,965000
194,-9460.724609375,1925.2,156.6679,2227.46,15.6239,194,970000
195,-9528.982421875,1911.43,156.6855,2265.89,15.5383,195,975000
196,-9506.6298828125,1934.32,156.5869,2274.64,15.5142,196,980000
197,-9577.5283203125,1931.56,156.6594,2286.55,15.3304,197,985000
198,-9583.2109375,1922.27,156.6461,2242.85,15.449,198,990000
199,-9672.4130859375,1892.54,156.6989,2253.59,15.5467,199,995000
200,-9621.16796875,1923.72,156.7558,2238.04,15.3645,200,1000000
201,-9658.5615234375,1914.46,156.7825,2207.3,15.306,201,1005000
202,-9714.48828125,1946.32,156.8158,2262.27,15.3761,202,1010000
203,-9720.1787109375,1926.11,156.8166,2232.81,15.3904,203,1015000
204,-9756.474609375,1948.33,156.6504,2232.07,15.3434,204,1020000
205,-9811.3818359375,1946.93,156.6628,2268.39,15.5324,205,1025000
206,-9865.9375,1944.01,156.7264,2269.7,15.3351,206,1030000
207,-9866.81640625,1938.43,156.6392,2230.78,15.4323,207,1035000
208,-9928.486328125,1939.89,156.7897,2235.58,15.4698,208,1040000
209,-9958.330078125,1968.56,156.7,2279.32,15.5078,209,1045000
210,-10011.0791015625,1957.75,156.8462,2273.98,15.4646,210,1050000
211,-9998.416015625,1957.75,156.7252,2254.82,15.4266,211,1055000
212,-10081.291015625,1973.01,156.6847,2290.32,15.4277,212,1060000
213,-10097.07421875,1965.37,156.8358,2267.04,15.481,213,1065000
214,-10133.1826171875,1952.36,156.8129,2265.93,15.6261,214,1070000
215,-10158.89453125,1946.23,156.7054,2292.82,15.5941,215,1075000
216,-10173.38671875,1968.2,156.8263,2294.92,15.3786,216,1080000
217,-10177.5615234375,1947.01,156.7984,2235.35,15.3703,217,1085000
218,-10258.4638671875,1960.83,156.7644,2292.73,15.7181,218,1090000
219,-10285.625,1960.57,156.6162,2263.55,15.4162,219,1095000
220,-10316.5634765625,1936.71,156.6097,2277.35,15.3657,220,1100000
221,-10294.2578125,1956.39,156.7268,2277.24,15.4265,221,1105000
222,-10364.6708984375,1967.68,156.7277,2311.63,15.5067,222,1110000
223,-10390.3623046875,1954.05,156.846,2268.72,15.5256,223,1115000
224,-10388.9931640625,1957.93,156.6325,2302.96,15.4632,224,1120000
225,-10459.6201171875,1954.44,156.7331,2290.04,15.5431,225,1125000
226,-10485.033203125,1937.05,156.6049,2276.56,15.2766,226,1130000
227,-10499.61328125,1978.2,156.7489,2291.89,15.6947,227,1135000
228,-10522.5546875,1970.77,156.6186,2298.02,15.5536,228,1140000
229,-10516.470703125,1950.71,156.7047,2267.42,15.4579,229,1145000
230,-10573.1533203125,1956.94,156.5778,2307.47,15.5044,230,1150000
231,-10554.630859375,1961.4,156.6212,2284.12,15.297,231,1155000
232,-10586.3056640625,1977.0,156.482,2285.71,15.3613,232,1160000
233,-10647.75,1956.89,156.7497,2285.51,15.527,233,1165000
234,-10652.873046875,1962.55,156.7513,2298.03,15.556,234,1170000
235,-10657.416015625,1931.73,156.6441,2261.31,15.1274,235,1175000
236,-10714.8837890625,1973.33,156.6294,2288.19,15.3995,236,1180000
237,-10715.0615234375,1969.64,156.5969,2287.46,15.4739,237,1185000
238,-10748.7607421875,1967.24,156.7704,2294.16,15.5711,238,1190000
239,-10798.76171875,1969.3,156.6035,2300.9,15.3417,239,1195000
240,-10761.458984375,1968.53,156.7307,2277.9,15.3632,240,1200000
241,-10854.33984375,1978.23,156.5348,2308.66,15.5546,241,1205000
242,-10865.5439453125,1974.95,156.6115,2295.55,15.63,242,1210000
243,-10895.27734375,1980.38,156.4783,2331.67,15.3634,243,1215000
244,-10909.580078125,1978.71,156.5075,2322.09,15.3617,244,1220000
245,-10949.1005859375,1958.35,156.6215,2277.48,15.5789,245,1225000
246,-10956.07421875,1960.29,156.5733,2261.1,15.4836,246,1230000
247,-10938.716796875,1932.68,156.7095,2228.1,15.3088,247,1235000
248,-10997.33203125,1947.15,156.5906,2293.27,15.3975,248,1240000
249,-10999.0029296875,1950.82,156.6685,2247.34,15.3474,249,1245000
250,-11067.4990234375,1972.31,156.6739,2283.68,15.4376,250,1250000
251,-11029.1650390625,1946.76,156.657,2251.31,15.3545,251,1255000
252,-11054.8720703125,1942.38,156.624,2273.65,15.3723,252,1260000
253,-11139.240234375,1974.75,156.6132,2322.19,15.4679,253,1265000
254,-11144.2373046875,1946.18,156.6988,2297.36,15.4924,254,1270000
255,-11174.224609375,1980.99,156.7446,2310.01,15.4685,255,1275000
256,-11182.82421875,1944.3,156.5897,2284.44,15.701,256,1280000
257,-11207.0556640625,1962.03,156.5338,2321.24,15.3599,257,1285000
258,-11195.9404296875,1955.33,156.6403,2269.71,15.3348,258,1290000
259,-11255.626953125,1961.18,156.6701,2282.32,15.3885,259,1295000
260,-11291.9560546875,1947.72,156.7183,2299.96,15.2184,260,1300000
261,-11287.4560546875,1955.86,156.78,2277.91,15.4981,261,1305000
262,-11320.3779296875,1954.96,156.5488,2271.02,15.2941,262,1310000
263,-11312.765625,1939.46,156.6514,2289.36,15.5427,263,1315000
264,-11360.8076171875,1955.71,156.562,2296.58,15.3825,264,1320000
265,-11342.091796875,1962.94,156.6378,2286.77,15.604,265,1325000
266,-11414.6708984375,1958.69,156.669,2300.63,15.4297,266,1330000
267,-11396.1708984375,1938.92,156.7447,2271.12,15.4152,267,1335000
268,-11465.923828125,1948.25,156.7626,2300.63,15.3721,268,1340000
269,-11495.345703125,1954.74,156.7205,2287.22,15.3931,269,1345000
270,-11491.97265625,1944.25,156.6851,2250.87,15.3645,270,1350000
271,-11561.6826171875,1958.4,156.747,2283.81,15.4101,271,1355000
272,-11555.8505859375,1958.13,156.4018,2309.78,15.2555,272,1360000
273,-11543.8349609375,1962.98,156.7965,2292.93,15.2924,273,1365000
274,-11632.1044921875,1964.86,156.7345,2298.94,15.464,274,1370000
275,-11617.1748046875,1969.4,156.6803,2299.67,15.5257,275,1375000
276,-11624.9150390625,1965.54,156.6974,2311.2,15.3878,276,1380000
277,-11681.658203125,1973.21,156.6072,2299.42,15.5777,277,1385000
278,-11700.9267578125,1975.69,156.588,2318.24,15.4758,278,1390000
279,-11712.6123046875,1967.88,156.7085,2268.02,15.4658,279,1395000
280,-11772.0107421875,1976.46,156.586,2306.88,15.2919,280,1400000
281,-11803.9375,1981.51,156.5287,2314.72,15.4612,281,1405000
282,-11803.3359375,1971.34,156.6501,2291.64,15.5869,282,1410000
283,-11818.7138671875,1961.01,156.5839,2278.11,15.5191,283,1415000
284,-11822.0654296875,1955.86,156.6796,2248.76,15.3422,284,1420000
285,-11828.0791015625,1960.08,156.5921,2271.75,15.4405,285,1425000
286,-11907.6904296875,1980.73,156.7439,2285.3,15.4612,286,1430000
287,-11921.6298828125,1960.45,156.5294,2298.06,15.3415,287,1435000
288,-11952.6748046875,1976.04,156.8235,2293.8,15.5727,288,1440000
289,-12005.1796875,1948.44,156.6848,2310.48,15.4856,289,1445000
290,-11999.5234375,1941.84,156.7273,2268.94,15.4084,290,1450000
291,-12025.4140625,1951.84,156.7961,2273.83,15.3868,291,1455000
292,-12046.224609375,1970.85,156.8579,2289.76,15.5996,292,1460000
293,-12064.869140625,1976.76,156.4024,2339.81,15.4949,293,1465000
294,-12066.1142578125,1980.92,156.5503,2321.1,15.3671,294,1470000
295,-12055.8994140625,1966.64,156.5395,2283.05,15.3889,295,1475000
296,-12095.9169921875,1957.48,156.6174,2288.78,15.331,296,1480000
297,-12081.6513671875,1972.21,156.6596,2304.96,15.4099,297,1485000
298,-12162.25,1973.7,156.6467,2329.15,15.5392,298,1490000
299,-12201.07421875,1971.61,156.7376,2314.37,15.6093,299,1495000
300,-12196.9755859375,1978.34,156.6062,2320.26,15.7228,300,1500000
301,-12199.59375,1969.1,156.634,2309.71,15.3644,301,1505000
302,-12201.8984375,1948.25,156.7328,2305.91,15.5707,302,1510000
303,-12245.701171875,1983.52,156.5733,2281.93,15.4352,303,1515000
304,-12229.302734375,1942.56,156.5352,2295.7,15.4368,304,1520000
305,-12266.2880859375,1952.53,156.757,2283.99,15.4448,305,1525000
306,-12285.578125,1962.11,156.6677,2271.88,15.4535,306,1530000
307,-12305.0439453125,1952.92,156.6538,2278.15,15.3975,307,1535000
308,-12339.69140625,1971.48,156.5323,2315.41,15.5987,308,1540000
309,-12356.04296875,1945.7,156.5855,2280.63,15.5172,309,1545000
310,-12362.6474609375,1964.65,156.6079,2311.08,15.5748,310,1550000
311,-12384.8681640625,1956.38,156.7818,2305.05,15.6076,311,1555000
312,-12395.8701171875,1957.11,156.8915,2294.5,15.5947,312,1560000
313,-12417.8828125,1964.24,156.68,2299.15,15.3825,313,1565000
314,-12412.037109375,1934.91,156.4691,2272.55,15.2196,314,1570000
315,-12502.0625,1935.75,156.6062,2320.0,15.3371,315,1575000
316,-12469.0908203125,1942.65,156.6599,2303.62,15.486,316,1580000
317,-12529.962890625,1964.01,156.5905,2323.28,15.4071,317,1585000
318,-12510.7138671875,1951.08,156.542,2318.01,15.3272,318,1590000
319,-12521.0185546875,1987.84,156.4767,2299.45,15.4232,319,1595000
320,-12540.2626953125,1945.98,156.6843,2287.91,15.3358,320,1600000
321,-12576.5458984375,1961.47,156.5374,2297.35,15.4548,321,1605000
322,-12639.5380859375,1958.46,156.7685,2322.71,15.4751,322,1610000
323,-12208.814453125,1478.3,156.7445,2129.97,13.9537,323,1615000
324,-12662.0986328125,1960.34,156.5912,2299.26,15.5611,324,1620000
325,-12686.822265625,1977.44,156.7696,2327.26,15.5923,325,1625000
326,-12711.486328125,1951.04,156.647,2316.97,15.3783,326,1630000
327,-12760.1416015625,1946.34,156.6641,2315.64,15.5367,327,1635000
328,-12699.0537109375,1959.81,156.6317,2314.66,15.4872,328,1640000
329,-12721.6982421875,1952.94,156.4835,2303.91,15.5321,329,1645000
330,-12802.1708984375,1939.86,156.7058,2331.93,15.3858,330,1650000
331,-12758.353515625,1939.95,156.733,2274.36,15.2865,331,1655000
332,-12806.869140625,1927.32,156.7867,2303.7,15.5238,332,1660000
333,-12803.87890625,1949.99,156.4529,2314.29,15.2427,333,1665000
334,-12795.9521484375,1955.8,156.5109,2294.67,15.4654,334,1670000
335,-12846.294921875,1953.46,156.572,2308.97,15.503,335,1675000
336,-12915.87890625,1954.49,156.5386,2311.98,15.5255,336,1680000
337,-12911.7578125,1961.0,156.6604,2297.68,15.5684,337,1685000
338,-12883.6806640625,1975.48,156.56,2305.05,15.4895,338,1690000
339,-12989.79296875,1967.31,156.6265,2203.29,15.5393,339,1695000
340,-12986.4326171875,1967.86,156.6183,2319.94,15.489,340,1700000
341,-12967.4560546875,1948.09,156.6525,2288.35,15.4799,341,1705000
342,-13023.806640625,1955.98,156.6721,2325.5,15.5889,342,1710000
343,-13044.6162109375,1971.31,156.6451,2321.04,15.5446,343,1715000
344,-13062.18359375,1930.51,156.723,2317.47,15.3286,344,1720000
345,-13088.359375,1932.98,156.6203,2309.46,15.5201,345,1725000
346,-13021.0166015625,1952.96,156.5855,2315.71,15.3272,346,1730000
347,-13097.802734375,1942.06,156.559,2312.76,15.5064,347,1735000
348,-13084.330078125,1966.38,156.6295,2312.4,15.2026,348,1740000
349,-13197.923828125,1955.01,156.6358,2289.94,15.4359,349,1745000
350,-13192.3935546875,1959.38,156.8142,2319.56,15.6926,350,1750000
351,-13164.6708984375,1946.29,156.6976,2320.33,15.3964,351,1755000
352,-13245.0908203125,1989.98,156.7409,2349.62,15.5424,352,1760000
353,-13240.68359375,1980.56,156.5882,2331.86,15.3856,353,1765000
354,-13209.0185546875,1969.99,156.7248,2300.44,15.3884,354,1770000
355,-13294.3154296875,1977.65,156.786,2323.6,15.6664,355,1775000
356,-13281.3896484375,1976.0,156.5701,2302.73,15.6118,356,1780000
357,-13329.3037109375,1972.33,156.6294,2334.08,15.3977,357,1785000
358,-13310.1083984375,1951.22,156.7123,2312.2,15.5943,358,1790000
359,-13327.0546875,1957.85,156.6618,2329.11,15.4813,359,1795000
360,-13377.1279296875,1984.97,156.7125,2318.95,15.4935,360,1800000
361,-13363.501953125,1959.5,156.6654,2290.46,15.4549,361,1805000
362,-13362.404296875,1953.32,156.7627,2334.47,15.16,362,1810000
363,-13452.9892578125,1953.66,156.5499,2316.59,15.3613,363,1815000
364,-13471.34375,1963.36,156.6802,2327.66,15.3605,364,1820000
365,-13424.796875,1957.94,156.7541,2307.3,15.3624,365,1825000
366,-13519.34765625,1957.98,156.591,2328.43,15.4863,366,1830000
367,-13468.9697265625,1939.42,156.6662,2316.56,15.226,367,1835000
368,-13515.630859375,1953.11,156.6333,2284.28,15.3562,368,1840000
369,-13527.17578125,1944.0,156.6341,2278.7,15.2669,369,1845000
370,-13511.4638671875,1953.21,156.7628,2284.75,15.2476,370,1850000
371,-13602.603515625,1956.04,156.6075,2313.75,15.2913,371,1855000
372,-13611.318359375,1940.46,156.6967,2307.65,15.3623,372,1860000
373,-13631.912109375,1945.15,156.8072,2296.33,15.5255,373,1865000
374,-13619.0888671875,1927.04,156.8758,2263.32,15.3715,374,1870000
375,-13605.30859375,1929.37,156.5524,2295.43,15.2608,375,1875000
376,-13653.5634765625,1924.61,156.6554,2270.55,15.1163,376,1880000
377,-13714.490234375,1950.16,156.7379,2313.82,15.3489,377,1885000
378,-13929.2216796875,1455.22,156.6793,1837.55,14.3653,378,1890000
379,-13700.9560546875,1947.0,156.6309,2275.58,15.0349,379,1895000
380,-13738.626953125,1970.08,156.4879,2307.96,15.2481,380,1900000
381,-13776.7646484375,1979.6,156.6529,2327.56,15.5868,381,1905000
382,-13837.794921875,1981.22,156.8198,2299.06,15.5323,382,1910000
383,-13801.369140625,1980.71,156.6844,2301.76,15.3368,383,1915000
384,-13920.59375,2005.44,156.5061,2340.44,15.5942,384,1920000
385,-13880.9169921875,1989.47,156.707,2337.96,15.5161,385,1925000
386,-13876.7705078125,1998.34,156.7319,2331.23,15.5937,386,1930000
