Running Update Time,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL,Itration,Real Det Return,Real Sto Return
61,305000,-1871.7010498046875,26.3539,36.4651,61,1534.89,1321.95
62,310000,-2224.995849609375,26.6761,45.0645,62,1331.48,1137.34
63,315000,-1672.73974609375,24.9996,31.0437,63,3110.95,2030.89
64,320000,-2153.158447265625,25.7309,39.784,64,1571.76,1457.1
65,325000,-2183.504150390625,26.1792,33.202,65,2461.45,1447.3
66,330000,-2175.970947265625,25.9182,39.6362,66,1507.64,1412.43
67,335000,-1968.722900390625,26.2835,22.4181,67,1578.98,1196.51
68,340000,-1722.71044921875,26.1991,34.4976,68,2792.44,1597.64
69,345000,-2017.6888427734375,26.2725,24.7718,69,1386.84,1252.42
70,350000,-2145.512939453125,26.0266,38.446,70,2104.95,1474.48
71,355000,-2301.966064453125,25.8423,42.9932,71,1487.28,1476.65
72,360000,-2364.78564453125,26.871,46.4914,72,1723.6,1610.96
73,365000,-2285.753662109375,25.7781,35.8826,73,1258.81,1228.24
74,370000,-2338.944580078125,25.9775,34.424,74,1515.7,1463.2
75,375000,-2323.745361328125,25.7258,29.0922,75,1527.73,1357.95
76,380000,-2053.580810546875,25.3931,21.6154,76,2087.15,1666.61
77,385000,-1882.5870361328125,25.5703,19.9298,77,3182.65,1803.4
78,390000,-2175.127197265625,25.5161,28.7597,78,1966.22,1443.81
79,395000,-2098.776611328125,25.5169,16.644,79,1701.78,1643.65
80,400000,-2581.702392578125,25.8887,21.0317,80,1541.34,1449.55
81,405000,-2481.389404296875,25.5117,31.4767,81,2911.56,1642.46
82,410000,-1667.9569091796875,25.1803,16.5874,82,3175.12,1720.25
83,415000,-1720.0595703125,25.1089,18.4076,83,3166.12,2053.28
84,420000,-1511.1756591796875,24.9753,15.4095,84,3164.88,2721.82
85,425000,-2453.3232421875,25.0445,17.878,85,3159.12,2276.16
86,430000,-2122.17529296875,25.4877,16.1347,86,3176.04,2106.46
87,435000,-2480.024658203125,25.3046,17.4654,87,2582.25,1571.71
88,440000,-1001.4699096679688,24.1971,15.1108,88,3162.99,2684.72
89,445000,-2519.306884765625,25.1143,15.764,89,3180.37,1805.55
90,450000,-1979.0679931640625,24.5332,15.1854,90,3182.67,2157.87
91,455000,-685.947998046875,23.9749,15.6795,91,3143.0,2959.22
92,460000,-2264.386962890625,25.4609,12.2268,92,3182.68,1643.71
93,465000,-2212.86083984375,24.8575,14.1719,93,3194.18,2122.93
94,470000,-1655.04443359375,23.617,13.868,94,3191.98,2433.1
95,475000,-1470.5584716796875,24.2613,13.934,95,3172.45,2673.9
96,480000,-2478.9755859375,24.9097,14.8627,96,3114.48,1686.26
97,485000,-1042.5958251953125,24.0386,14.9236,97,3171.45,2502.7
98,490000,-2973.24365234375,25.6215,20.3478,98,3191.53,1800.93
99,495000,-611.3163452148438,23.9776,15.4055,99,3161.95,3161.62
100,500000,-801.9031372070312,24.317,16.2415,100,3172.61,2876.91
101,505000,-1741.31298828125,23.6684,15.6476,101,3174.97,2266.52
102,510000,-1321.3997802734375,24.4257,15.8755,102,3178.87,2876.52
103,515000,-1339.867919921875,24.12,14.2852,103,3188.59,2499.07
104,520000,-1637.4219970703125,23.5326,14.8186,104,3173.44,2659.29
105,525000,-1797.468505859375,23.7931,15.1174,105,3175.87,2505.02
106,530000,-1032.89208984375,23.8702,15.4635,106,3200.59,2795.77
107,535000,-2413.018310546875,24.4224,16.1085,107,3211.09,2183.06
108,540000,-909.1507568359375,24.2664,15.4206,108,3181.82,2665.62
109,545000,-3122.589111328125,24.7003,19.3898,109,2713.67,1660.67
110,550000,-923.8047485351562,23.7704,15.3907,110,3166.73,2913.01
111,555000,-2106.798583984375,24.0415,18.9304,111,3220.2,2258.03
112,560000,-1448.53173828125,23.9102,15.3748,112,3204.33,2669.97
113,565000,-2370.81005859375,23.5769,15.6778,113,3209.47,2649.51
114,570000,-1677.7435302734375,23.6836,14.1995,114,3183.72,2338.24
115,575000,-1426.1324462890625,23.3243,15.2686,115,3191.47,2685.26
116,580000,-580.3314208984375,23.4803,15.876,116,3176.69,2944.78
117,585000,-1597.5245361328125,23.4965,14.875,117,3180.9,2778.67
118,590000,-1834.4571533203125,23.0844,14.458,118,3201.55,2791.35
119,595000,-1404.8590087890625,22.974,14.9729,119,3190.31,2991.4
120,600000,-1972.614013671875,23.195,14.2269,120,3185.73,2784.81
121,605000,-1395.8232421875,23.5717,14.6441,121,3173.05,2913.58
122,610000,-1512.652099609375,23.0715,14.4876,122,3201.75,2927.62
123,615000,-2111.826904296875,24.2259,15.2827,123,3206.57,2511.63
124,620000,-572.7199096679688,23.0866,14.9224,124,3174.64,3177.92
125,625000,-1422.0712890625,23.9429,14.4194,125,3178.89,2630.69
126,630000,-1548.88916015625,23.1632,14.565,126,3198.39,2777.94
127,635000,-1046.1878662109375,23.2377,14.4757,127,3207.96,3105.87
128,640000,-2017.499267578125,23.5185,14.5348,128,3222.14,2419.36
129,645000,-2990.76953125,23.6571,18.9075,129,3197.27,2257.31
130,650000,-1457.9281005859375,23.1233,13.2489,130,3197.38,2798.09
131,655000,-1227.793212890625,23.4069,15.2857,131,3199.91,3098.55
132,660000,-773.6802368164062,23.0625,15.0068,132,3198.03,3017.04
133,665000,-1054.3297119140625,23.2342,15.3046,133,3207.98,2951.76
134,670000,-1492.607421875,23.9778,13.9895,134,3189.54,2651.38
135,675000,-1566.5430908203125,23.1908,15.8999,135,3196.52,2476.45
136,680000,-1831.5277099609375,23.1581,14.2448,136,3207.82,2209.33
137,685000,-774.7604370117188,23.2219,15.5076,137,3211.58,3108.65
138,690000,-2056.938232421875,23.6444,13.6985,138,3200.87,2458.39
139,695000,-1224.0394287109375,23.2939,14.0927,139,3203.49,2937.05
140,700000,-2364.33251953125,23.7518,14.8729,140,3208.97,1778.08
141,705000,-1620.326171875,23.1015,13.3577,141,3193.84,2190.6
142,710000,-1857.244384765625,23.4405,14.1604,142,3178.83,2348.63
143,715000,-1387.8914794921875,22.8598,13.8306,143,3180.27,2833.61
144,720000,-1620.9215087890625,23.7538,14.1877,144,3201.53,2809.91
145,725000,-2189.640380859375,22.9965,13.3877,145,3197.97,2361.64
146,730000,-2477.529296875,23.5102,13.6758,146,3218.25,2088.36
147,735000,-1490.29150390625,22.9367,13.5483,147,3204.56,2680.63
148,740000,-1494.90625,22.9726,13.8581,148,3196.75,2942.93
149,745000,-2080.9013671875,23.1202,14.5916,149,3217.55,2451.16
150,750000,-2023.8817138671875,23.7306,14.5379,150,3201.03,2973.21
151,755000,-1359.4688720703125,22.5049,14.0742,151,3194.48,3021.57
152,760000,-1507.905517578125,22.907,13.1649,152,3227.86,2807.2
153,765000,-1776.585693359375,23.0512,13.1445,153,3199.06,2787.02
154,770000,-1664.26171875,23.094,13.3083,154,3194.86,2956.23
155,775000,-2319.654296875,23.0462,12.2406,155,3222.33,2383.33
156,780000,-1416.7982177734375,23.1585,14.0795,156,3221.55,3070.35
157,785000,-1762.959228515625,23.087,13.8121,157,3206.65,2683.1
158,790000,-1111.167236328125,23.1326,14.4821,158,3215.06,2801.99
159,795000,-1894.5634765625,23.5741,13.0677,159,3209.05,2202.88
160,800000,-1900.4425048828125,22.9646,13.5032,160,3179.1,2957.52
161,805000,-1177.010009765625,22.7564,13.7821,161,3217.07,2803.93
162,810000,-2677.871337890625,23.9099,16.8586,162,3220.58,2105.07
163,815000,-2821.203369140625,23.0297,13.6435,163,3210.77,2405.77
164,820000,-2458.867919921875,23.6353,12.7092,164,3222.37,2023.89
165,825000,-1416.4886474609375,22.8446,13.9912,165,3198.3,2901.35
166,830000,-1811.2388916015625,22.8716,13.0865,166,3208.55,2780.07
167,835000,-2022.43212890625,23.1572,13.3505,167,3230.37,2452.92
168,840000,-2158.393798828125,23.0562,12.9768,168,3210.02,2208.36
169,845000,-1949.1102294921875,22.8956,14.4521,169,3203.87,2222.82
170,850000,-963.9041137695312,21.457,13.9525,170,3200.17,3060.31
171,855000,-1545.0411376953125,22.7488,14.4737,171,3207.54,2620.86
172,860000,-2092.2529296875,23.39,12.958,172,3221.47,2214.29
173,865000,-1846.60205078125,22.9445,13.1642,173,3216.83,2884.91
174,870000,-2211.183349609375,22.6136,13.3126,174,3219.45,2744.04
175,875000,-1674.4295654296875,22.4875,13.3413,175,3220.2,2810.96
176,880000,-2116.2548828125,22.3814,14.482,176,3221.23,2689.57
177,885000,-2006.5728759765625,22.5424,14.9665,177,3218.31,2636.3
178,890000,-2177.404296875,22.8654,12.6457,178,3234.68,2383.76
179,895000,-2056.38330078125,22.4655,13.1533,179,3216.13,2521.58
180,900000,-1917.4302978515625,22.7234,13.0286,180,3230.41,2776.94
181,905000,-2427.676513671875,22.5753,12.8489,181,3230.19,2834.86
182,910000,-2593.886474609375,23.209,12.9767,182,3214.5,2490.66
183,915000,-2269.774169921875,22.7012,14.5138,183,3227.9,2829.37
184,920000,-2852.809814453125,23.3094,16.7597,184,3244.33,2414.14
185,925000,-2732.73046875,23.1659,13.6284,185,3245.12,1867.96
186,930000,-2765.063232421875,23.2415,14.4481,186,3220.71,2568.41
187,935000,-1916.7032470703125,22.3728,12.8876,187,3215.63,2702.88
188,940000,-1643.998291015625,22.2532,13.2741,188,3206.76,2534.37
189,945000,-2858.3125,22.4444,16.0238,189,3240.86,1872.83
190,950000,-1602.2694091796875,22.8531,14.3392,190,3207.49,2787.65
191,955000,-1749.1448974609375,22.3695,16.3891,191,3204.65,2934.74
192,960000,-2696.138916015625,23.1433,15.5885,192,3241.93,2576.38
193,965000,-2826.19482421875,23.2378,14.3356,193,3227.23,2147.6
194,970000,-1993.50146484375,22.6298,13.7509,194,3253.87,2664.68
195,975000,-3146.36279296875,23.1105,16.0772,195,3246.07,2211.96
196,980000,-2315.8994140625,22.2404,14.5071,196,3221.11,2605.69
197,985000,-2973.992431640625,22.5788,15.7356,197,3272.58,2181.73
198,990000,-2435.995361328125,22.6082,14.3377,198,3229.33,2796.83
199,995000,-2467.6513671875,22.4133,13.8881,199,3259.04,2367.07
