Running Reverse KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL
12.8681,155,-224.30279541015625,775000,3508.41,155,3390.83,20.0825
12.9875,156,-232.28761291503906,780000,3510.82,156,3492.13,19.8061
13.4095,157,-252.01303100585938,785000,3497.33,157,3468.68,20.4282
13.5117,158,-244.6947479248047,790000,3519.58,158,3468.83,20.4701
12.427,159,-239.41946411132812,795000,3497.91,159,3320.04,19.8944
12.899,160,-243.9266815185547,800000,3492.44,160,3330.81,19.7095
12.5926,161,-242.07960510253906,805000,3515.01,161,3504.59,19.3581
12.5797,162,-247.298095703125,810000,3485.21,162,3313.07,19.7304
13.2458,163,-265.2399597167969,815000,3497.69,163,3471.93,20.1544
12.4879,164,-247.2731475830078,820000,3498.63,164,3485.51,19.5158
13.4035,165,-259.6877746582031,825000,3468.55,165,3440.27,19.9372
12.6652,166,-239.12289428710938,830000,3494.41,166,3346.35,19.4026
12.6581,167,-253.57273864746094,835000,3482.07,167,3394.84,19.3416
12.2534,168,-257.2129211425781,840000,3528.14,168,3507.83,19.392
12.4767,169,-257.99169921875,845000,3510.61,169,3465.02,19.5864
12.823,170,-268.6852111816406,850000,3513.46,170,3351.0,19.8466
12.8545,171,-278.6236267089844,855000,3507.29,171,3488.72,20.4287
13.5056,172,-282.88983154296875,860000,3500.45,172,3484.17,20.6022
13.7284,173,-286.0182189941406,865000,3485.53,173,3473.58,20.5048
12.8835,174,-273.3050842285156,870000,3516.13,174,3438.26,19.9242
12.5377,175,-270.7668762207031,875000,3479.99,175,3384.49,19.3198
11.7032,176,-286.2287292480469,880000,3506.92,176,3340.55,19.5923
12.5281,177,-290.0567932128906,885000,3496.55,177,3470.41,19.7903
12.7016,178,-280.3180236816406,890000,3500.11,178,3479.38,19.3393
12.8423,179,-285.0375671386719,895000,3510.57,179,3316.94,19.732
12.1719,180,-304.1707458496094,900000,3517.35,180,3236.7,19.8469
12.7066,181,-301.2972106933594,905000,3489.28,181,3449.65,19.6277
12.2801,182,-277.23468017578125,910000,3498.28,182,3479.3,19.1476
12.4203,183,-293.7732849121094,915000,3503.32,183,3489.32,19.5229
12.0088,184,-274.1587219238281,920000,3487.85,184,3387.43,18.4707
12.6621,185,-297.3121337890625,925000,3497.33,185,3435.14,19.4662
12.4931,186,-283.05242919921875,930000,3482.94,186,3420.86,19.2966
11.9769,187,-266.8419494628906,935000,3480.63,187,3395.37,18.8105
13.2976,188,-323.3761901855469,940000,3497.44,188,3471.28,20.074
12.6783,189,-305.0410461425781,945000,3499.83,189,3385.16,19.4346
12.0761,190,-287.095458984375,950000,3509.39,190,3437.86,18.8587
12.5557,191,-290.7362060546875,955000,3510.86,191,3495.46,19.0573
13.0995,192,-316.1436767578125,960000,3531.29,192,3339.64,19.6821
12.6495,193,-308.86224365234375,965000,3520.2,193,3414.04,19.6592
12.921,194,-311.8868408203125,970000,3507.2,194,3492.18,19.7072
12.5054,195,-307.5733642578125,975000,3524.18,195,3428.41,19.4209
12.4176,196,-304.3027648925781,980000,3485.03,196,3469.04,18.767
12.6844,197,-325.849853515625,985000,3488.46,197,3461.15,19.1986
12.9539,198,-318.37353515625,990000,3500.22,198,3321.29,19.6245
12.5958,199,-321.3504638671875,995000,3497.31,199,3321.76,19.5213
