Real Sto Return,Real Det Return,Running Reverse KL,Running Forward KL,Itration
4468.28,2900.3,127.074,322.0653,70
4596.86,1926.18,118.1684,312.8939,71
3929.65,1637.43,130.1263,318.4156,72
4520.99,1226.41,146.9881,320.4769,73
4568.09,3587.48,128.6689,320.9335,74
4628.38,1655.93,133.9065,320.4371,75
4673.94,1849.92,134.5181,319.9127,76
4790.0,1899.62,122.9381,321.7674,77
4029.96,2752.51,128.9553,318.8981,78
4677.61,3009.08,112.2221,308.8521,79
4129.82,2947.91,199.305,328.9649,80
4996.25,2102.1,147.1012,316.5376,81
4821.04,3241.86,126.2652,316.11,82
5036.93,3367.01,183.4454,324.2889,83
4943.61,4901.33,146.5609,322.1053,84
5107.74,3988.89,206.4488,326.4033,85
5091.06,4457.99,140.4567,320.3758,86
5063.46,4930.52,149.7912,319.3947,87
5019.97,5154.18,138.0262,322.5068,88
4622.2,4748.72,114.6776,311.1143,89
5062.94,3319.84,155.3357,317.9501,90
5161.99,4372.78,143.3724,315.4911,91
4805.24,3899.62,125.5441,314.3731,92
4873.25,5092.39,131.1141,314.2006,93
5044.71,3997.92,126.9125,316.0157,94
4464.86,3371.53,160.2932,319.8012,95
4612.64,3192.23,132.3289,316.2145,96
4981.24,5017.91,156.1585,318.6475,97
4749.07,4513.0,127.4033,310.1845,98
5052.57,3859.83,117.1702,309.6594,99
5052.09,5134.06,120.5183,309.4074,100
5031.69,5212.49,119.7198,308.2291,101
4835.6,3274.46,117.3827,314.0171,102
5115.59,5046.35,113.39,309.9615,103
4837.98,2117.76,119.7435,312.1695,104
4882.7,4830.44,106.1498,302.4945,105
4672.21,4707.31,105.2255,311.0131,106
4757.08,3896.66,125.0381,319.037,107
4665.17,4410.33,120.7719,315.623,108
4875.98,2844.95,109.8304,313.7239,109
5107.41,4441.54,109.4619,315.7261,110
5046.32,3984.57,106.6773,308.0795,111
5055.22,4761.1,108.8164,308.8067,112
4588.67,5141.26,116.2744,309.5351,113
5055.2,4957.96,99.6665,307.1814,114
4919.4,4584.43,107.316,310.7727,115
5122.19,4839.02,108.361,307.9019,116
4879.13,4997.36,126.4306,311.7425,117
5125.35,4323.16,109.4258,309.8838,118
4944.22,5144.09,103.6657,305.9708,119
5144.86,5061.38,108.5214,308.4055,120
5007.08,5197.19,105.2514,312.195,121
5079.13,4941.56,103.0935,306.2651,122
4870.21,4644.78,107.8668,310.873,123
4795.77,5064.11,100.2912,307.5181,124
5137.2,5015.7,130.2959,312.4176,125
4827.21,3392.13,108.3732,309.4917,126
5070.75,5024.01,107.2985,308.6885,127
4956.97,5108.79,113.6838,307.1594,128
4913.49,5262.81,113.9111,307.7018,129
5146.47,5280.85,121.0396,309.8319,130
5144.01,5199.28,110.803,309.1896,131
5094.62,4822.11,116.8684,310.8449,132
5130.21,5190.66,106.0969,311.1395,133
5173.33,5300.98,111.8046,309.6082,134
5143.64,5255.02,113.1147,304.0978,135
5048.54,5248.91,111.1443,307.9549,136
5101.1,4590.92,116.1397,306.3947,137
4824.64,5217.66,102.7561,303.8726,138
5088.84,4026.84,108.2945,307.5505,139
5100.46,3318.32,101.8962,305.9719,140
5100.94,5201.18,104.0801,306.2698,141
5100.82,5224.88,102.2026,303.6041,142
5121.09,4032.96,107.0371,304.0352,143
5180.44,5113.12,106.9663,307.3275,144
5081.97,4416.9,98.9031,304.1647,145
5073.43,3641.55,100.7649,304.2695,146
5186.03,5288.99,112.3362,313.1444,147
5003.14,5256.82,105.9467,304.7048,148
5216.76,5327.7,121.2129,316.0015,149
5121.91,4775.74,110.9331,308.8899,150
5161.51,4490.52,116.4067,315.0448,151
5204.64,5181.99,143.0177,316.6191,152
4928.86,3577.64,113.5558,310.9379,153
4512.53,3273.78,110.521,307.1878,154
5177.03,5294.01,109.5325,306.4743,155
5165.63,5253.04,108.4575,306.1812,156
5144.92,5123.7,99.1902,302.4601,157
5167.13,5015.34,108.6152,307.5453,158
5026.68,5048.05,111.3921,310.8023,159
5195.23,4652.22,112.9669,308.4454,160
5225.33,5326.77,107.6185,303.3684,161
5201.89,5287.76,127.9214,309.1999,162
5195.07,4924.41,123.1051,317.7821,163
5145.82,5267.85,112.4009,309.2682,164
5149.54,3880.81,109.4221,313.0575,165
5224.75,4093.28,116.4258,310.9415,166
5180.06,4406.84,113.8909,308.4853,167
5188.32,4582.9,106.064,305.0572,168
5175.32,5318.38,108.3324,305.9064,169
5145.79,4243.9,112.8416,307.387,170
5117.36,5347.42,109.9491,307.8958,171
5217.37,3254.85,108.7858,309.0655,172
5269.55,5098.41,120.9333,308.2346,173
5210.01,4163.42,137.2422,312.7313,174
5018.83,5155.98,128.4883,310.9216,175
5206.16,5328.51,103.5452,307.1187,176
4954.46,4020.13,117.549,300.3657,177
5015.1,5156.16,114.2976,310.3521,178
5193.39,5288.84,104.3754,304.2624,179
5237.04,5347.39,107.6356,304.3508,180
5139.99,3795.46,100.7898,301.865,181
5204.68,5123.67,98.2478,302.3771,182
5206.33,5147.12,106.1581,309.6137,183
5114.41,5336.39,102.9083,304.853,184
5169.1,5316.71,105.1893,309.3763,185
4917.65,4571.12,130.6456,314.3376,186
5104.72,5366.85,108.2654,308.2274,187
5269.79,5335.44,106.7831,312.6565,188
5127.55,5346.71,101.127,303.644,189
5177.33,5294.79,101.0671,306.0716,190
5128.38,5387.34,108.7953,312.6948,191
5154.02,4765.08,105.8295,308.4247,192
5231.4,5339.1,109.7851,308.5791,193
5288.81,5306.56,119.2635,317.6006,194
5133.95,5016.6,97.9257,305.9418,195
4977.45,5339.02,116.6961,309.4759,196
5225.36,5355.67,105.5848,306.7049,197
5195.03,4902.2,92.479,302.5247,198
4953.43,4854.98,91.7967,301.8884,199
5150.78,5106.03,102.8956,309.0243,200
