Itration,Real Det Return,Real Sto Return,Reward Loss,Running Update Time,Running Reverse KL,Running Env Steps,Running Forward KL
84,1582.61,4525.5,-7709.5478515625,84,119.1302,420000,294.397
85,2597.0,3764.55,-5716.94873046875,85,96.2728,425000,265.8296
86,1164.62,3118.77,-9564.8271484375,86,155.0336,430000,304.8551
87,1016.4,3308.06,-7471.01025390625,87,120.4132,435000,292.5126
88,952.55,3739.97,-9376.361328125,88,153.7536,440000,305.1041
89,1987.37,4575.08,-8819.544921875,89,142.0004,445000,282.8354
90,2894.46,3320.88,-9954.3310546875,90,167.5911,450000,284.42
91,2019.31,3361.12,-7432.63671875,91,106.0758,455000,276.3277
92,783.33,4339.05,-7540.30224609375,92,104.1048,460000,285.6336
93,1640.53,3084.35,-9023.5419921875,93,135.096,465000,300.374
94,611.28,4405.6,-8541.3330078125,94,126.587,470000,288.3789
95,2775.59,4125.07,-9182.18359375,95,136.5356,475000,284.8773
96,1144.22,2961.63,-9873.3271484375,96,148.3085,480000,284.2539
97,1174.03,3122.46,-11637.955078125,97,202.8296,485000,318.0363
98,1448.16,4580.21,-8981.4267578125,98,134.1627,490000,286.6472
99,4844.95,4340.33,-5809.8798828125,99,73.4082,495000,275.1034
100,3481.94,4639.66,-6646.45166015625,100,80.8577,500000,277.687
101,2707.03,4400.25,-8105.77783203125,101,112.5223,505000,286.3553
102,4188.21,3592.33,-7825.2353515625,102,105.9824,510000,275.3436
103,4235.78,4461.19,-6806.40576171875,103,76.3256,515000,280.7519
104,4208.63,4454.2,-9086.5341796875,104,123.937,520000,278.3212
105,4632.37,4594.4,-7678.015625,105,94.2382,525000,281.5514
106,1877.28,4870.08,-7847.22216796875,106,90.072,530000,274.1344
107,3149.94,4658.31,-7065.7021484375,107,74.1094,535000,270.657
108,2554.07,4324.06,-8180.89306640625,108,96.7664,540000,276.6327
109,1921.69,3935.6,-8539.5546875,109,116.5438,545000,268.4444
110,2692.38,4797.82,-8140.625,110,77.3957,550000,274.9694
111,3600.66,4863.72,-7923.84130859375,111,70.4199,555000,277.5738
112,2170.27,4781.37,-9772.2548828125,112,102.1112,560000,292.588
113,2509.06,4902.69,-8065.98095703125,113,67.3936,565000,277.5957
114,4823.59,4057.73,-9811.0966796875,114,104.5569,570000,287.6845
115,4181.28,4171.34,-8393.7939453125,115,67.3229,575000,275.1059
116,5014.31,4864.04,-9456.173828125,116,77.2423,580000,285.7582
117,2834.7,4404.28,-9996.216796875,117,91.9745,585000,282.8441
118,2261.93,4331.32,-9624.767578125,118,75.8799,590000,282.1191
119,2338.61,4651.32,-9927.34765625,119,94.2304,595000,278.247
120,2859.7,4901.49,-8949.15625,120,63.1361,600000,267.0121
121,5021.58,4654.26,-9662.828125,121,71.75,605000,277.0534
122,2662.16,4801.9,-9237.98828125,122,68.1057,610000,262.7039
123,4774.62,3881.01,-10763.802734375,123,100.5743,615000,278.3273
124,3843.93,4902.73,-10068.49609375,124,68.1632,620000,273.6991
125,1750.99,4846.61,-9714.5693359375,125,76.0551,625000,262.113
126,4984.35,4215.61,-11421.8212890625,126,120.0947,630000,289.1154
127,4915.96,4089.87,-11108.796875,127,103.604,635000,282.0255
128,4572.34,3232.54,-11401.8662109375,128,122.8835,640000,284.8754
129,5063.16,4149.0,-11103.369140625,129,82.835,645000,276.6181
130,1858.43,3774.8,-11183.58984375,130,84.8249,650000,281.1946
131,4586.23,4279.95,-11229.3203125,131,70.235,655000,282.3032
132,2166.62,4792.02,-11279.767578125,132,84.6653,660000,275.826
133,3334.71,4178.2,-11693.859375,133,86.991,665000,283.2749
134,4047.16,3888.44,-10826.6005859375,134,85.784,670000,261.2482
135,3649.49,4792.91,-10816.6484375,135,66.6253,675000,266.912
136,2389.27,4587.37,-12013.1357421875,136,85.9008,680000,284.7855
137,4805.13,2543.76,-12582.99609375,137,135.4917,685000,289.6512
138,1560.9,4924.13,-11421.501953125,138,72.5469,690000,264.7275
139,3827.0,4588.74,-12244.8408203125,139,70.2152,695000,278.5269
140,2580.01,4439.86,-11671.4150390625,140,70.5529,700000,266.8851
141,2188.18,4986.42,-11617.94140625,141,91.8593,705000,267.1071
142,3092.84,4408.44,-11439.7255859375,142,64.7099,710000,264.6109
143,4248.4,4794.35,-12375.32421875,143,90.6166,715000,273.8557
144,4368.2,4887.86,-12914.3564453125,144,80.4097,720000,288.2421
145,3164.15,4873.5,-11926.6630859375,145,61.6649,725000,264.6004
146,4577.35,3725.75,-12961.8505859375,146,91.0483,730000,277.6261
147,5095.96,4816.67,-12494.267578125,147,68.0695,735000,279.7226
148,3377.81,3303.51,-13990.7041015625,148,137.5603,740000,308.7043
149,5033.32,4877.79,-13150.0947265625,149,79.8009,745000,287.4307
150,4304.32,4921.74,-12509.4755859375,150,66.9884,750000,268.6555
151,4142.04,4266.46,-12277.08203125,151,66.9488,755000,267.4673
152,2399.71,4979.7,-11104.3369140625,152,54.9125,760000,256.2367
153,3490.14,4803.88,-11470.1455078125,153,77.5763,765000,246.3868
154,2378.49,4961.2,-11197.2236328125,154,71.0784,770000,251.2969
155,4667.47,5003.84,-12127.7431640625,155,54.7188,775000,258.6727
156,5019.13,4727.48,-12621.828125,156,57.9962,780000,264.7417
157,4316.15,4644.06,-12071.28515625,157,83.9055,785000,252.5475
158,2313.58,4822.5,-12331.86328125,158,56.9329,790000,255.1621
159,5185.9,4867.94,-12950.6845703125,159,93.1233,795000,264.833
160,2947.06,4315.65,-10962.931640625,160,49.3534,800000,242.9274
161,2295.01,4812.0,-12159.69140625,161,94.519,805000,256.0191
162,3862.0,4103.73,-10771.396484375,162,43.2263,810000,239.3197
163,2284.11,4130.01,-12023.2255859375,163,149.5848,815000,259.3227
164,4434.84,4392.4,-12371.8837890625,164,80.4234,820000,255.8814
165,3411.14,4455.67,-12182.8857421875,165,68.4344,825000,250.4054
166,2912.55,4688.3,-12046.6044921875,166,54.5049,830000,243.976
167,5066.88,4528.33,-12517.1357421875,167,66.0866,835000,248.3621
168,3362.42,4176.49,-11661.291015625,168,105.7908,840000,251.4281
169,1764.76,2887.62,-12740.8876953125,169,153.6629,845000,267.4762
170,4163.64,4866.81,-12136.4287109375,170,53.0689,850000,242.3573
171,4909.4,4974.39,-12891.111328125,171,76.6137,855000,249.5197
172,5140.02,5024.7,-14201.677734375,172,90.8144,860000,265.3237
173,3614.86,4787.08,-12806.798828125,173,48.2193,865000,245.6045
174,1902.74,4776.0,-13474.46484375,174,146.565,870000,255.788
175,5088.59,4517.27,-15311.5712890625,175,109.1745,875000,298.8892
176,4949.52,3675.43,-13892.099609375,176,66.9818,880000,261.4735
177,3360.19,4661.95,-14203.61328125,177,89.1814,885000,264.6028
178,3115.64,4840.17,-13806.322265625,178,56.8016,890000,251.7544
179,4314.87,5030.41,-14712.650390625,179,87.8811,895000,275.1837
180,5126.58,5027.23,-14715.25390625,180,65.1012,900000,270.3714
181,4982.29,4480.09,-14993.69921875,181,70.8693,905000,277.4782
182,5160.72,5038.32,-15159.6083984375,182,85.1826,910000,278.8647
183,4722.79,4175.71,-15059.427734375,183,136.9053,915000,271.885
184,4852.19,5028.61,-14757.6123046875,184,59.1398,920000,260.3635
185,4820.0,4832.93,-14889.162109375,185,65.4734,925000,270.8137
186,4234.44,5042.49,-14023.9609375,186,70.8492,930000,254.9168
187,3211.63,5089.3,-14527.73828125,187,59.8419,935000,258.195
188,5202.28,5072.08,-14774.818359375,188,63.7669,940000,267.6889
189,5114.45,4076.98,-14669.6923828125,189,70.2551,945000,261.0437
190,3613.51,4702.78,-14228.1435546875,190,76.2927,950000,253.6527
191,1708.04,4575.72,-14712.6669921875,191,89.2049,955000,259.1708
192,5238.27,5043.52,-14927.603515625,192,59.7757,960000,255.3972
193,4900.66,4595.26,-15122.0458984375,193,58.708,965000,264.3978
194,4250.36,3180.61,-16044.4619140625,194,124.0493,970000,288.4239
195,4853.05,4651.45,-15833.6845703125,195,100.1821,975000,275.1147
196,2402.3,5046.46,-15107.6103515625,196,76.526,980000,257.8405
197,4127.06,4854.62,-14724.791015625,197,54.2568,985000,249.3814
198,4769.9,5069.16,-15000.9296875,198,63.6341,990000,255.8889
199,4307.9,5050.16,-15159.412109375,199,53.2728,995000,257.2662
200,2495.44,5044.89,-15194.267578125,200,74.8376,1000000,255.4465
201,2510.16,4754.06,-14637.1171875,201,48.112,1005000,248.185
202,3195.52,5021.89,-15779.41015625,202,78.6599,1010000,261.4086
203,3984.53,5029.24,-16036.2705078125,203,61.7059,1015000,263.5424
204,2607.38,5016.42,-15783.8076171875,204,76.3832,1020000,262.5265
205,3453.85,5021.99,-16202.22265625,205,81.1583,1025000,265.9178
206,2272.84,5019.63,-15768.021484375,206,57.6655,1030000,257.4708
