Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL,Itration,Real Sto Return,Reward Loss,Running Update Time
3428.31,14.4338,865000,25.2109,173,2518.09,-472.11187744140625,173
3459.36,15.6472,870000,24.5754,174,3421.4,-405.7232666015625,174
3340.68,28.4635,875000,27.6179,175,1881.3,-698.287109375,175
3421.11,12.1613,880000,23.5584,176,3209.78,-274.0542297363281,176
2843.25,17.2935,885000,26.0359,177,2277.6,-616.3555297851562,177
3420.87,12.7058,890000,24.403,178,3259.24,-334.4111328125,178
3406.5,13.3546,895000,24.7537,179,3340.22,-387.6068115234375,179
2558.7,18.6011,900000,28.3896,180,1365.04,-875.1787719726562,180
3425.51,12.5665,905000,24.8275,181,2728.89,-495.67919921875,181
3431.47,18.2161,910000,25.2615,182,2120.4,-597.3368530273438,182
1817.11,24.1537,915000,27.8063,183,1518.15,-750.3966064453125,183
3429.03,14.4453,920000,25.0417,184,2835.51,-438.3786926269531,184
3428.1,13.3674,925000,23.8908,185,2921.1,-385.6260681152344,185
3402.22,17.7805,930000,24.7912,186,3098.6,-530.3357543945312,186
3363.58,10.8852,935000,22.8878,187,3232.04,-278.4803466796875,187
3433.88,12.9721,940000,24.5208,188,3236.17,-397.42742919921875,188
3412.35,13.9221,945000,24.2712,189,3139.93,-420.99273681640625,189
3450.02,12.7574,950000,24.4762,190,2778.62,-429.6673583984375,190
3431.85,12.955,955000,23.9889,191,3131.43,-447.0759582519531,191
3456.26,13.6692,960000,23.958,192,3311.01,-398.59503173828125,192
3422.79,13.3062,965000,24.5325,193,3366.81,-344.07305908203125,193
3449.85,13.1242,970000,23.1025,194,2841.24,-314.20611572265625,194
3422.45,12.9787,975000,23.8868,195,3369.29,-385.8559265136719,195
3469.61,13.159,980000,24.5104,196,3306.37,-383.447998046875,196
3403.87,12.0227,985000,23.6405,197,3262.8,-494.5314636230469,197
3367.81,12.768,990000,24.0642,198,3362.28,-286.8955078125,198
3437.5,16.0112,995000,23.9516,199,2646.06,-495.0919189453125,199
