Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return,Itration
2178.62,163.2722,352.6517,2357.2,66
1348.16,149.4972,344.2415,3397.65,67
1984.72,160.0479,352.9353,2115.44,68
3804.71,139.8061,346.1783,3335.82,69
1615.54,178.6316,350.4266,3513.95,70
2926.03,145.0228,338.8354,2725.11,71
1893.42,171.7151,354.0357,2424.08,72
1450.35,173.0279,356.386,2421.23,73
1372.52,202.1496,359.4738,1828.62,74
978.85,192.1518,354.6233,2101.29,75
1067.58,195.5653,359.2676,2497.42,76
1297.55,164.3308,349.8286,2734.06,77
1015.15,193.7773,353.0555,2160.53,78
1693.7,157.4915,338.6761,2911.96,79
1860.51,192.018,356.5572,2477.2,80
1226.32,191.9638,346.6268,2035.23,81
709.61,239.3221,370.6095,1381.33,82
1871.92,153.5057,339.4214,2733.14,83
739.47,203.9384,348.1339,1976.7,84
755.31,189.5669,352.6158,1906.43,85
889.26,178.0558,354.922,1905.69,86
4261.42,132.9818,329.8387,3357.52,87
1386.31,177.5927,340.7658,2975.19,88
917.97,187.7279,347.2644,1887.36,89
1183.41,246.9383,359.9122,1702.79,90
1237.6,160.6088,337.0299,2817.33,91
2368.56,179.9905,341.9865,2549.38,92
3191.78,181.6038,348.4521,2460.82,93
2947.95,155.1811,336.8407,2889.18,94
2792.7,183.3365,344.1327,3337.49,95
1726.55,195.9912,347.9176,2089.37,96
1248.25,152.3891,335.7223,3386.55,97
1684.92,185.2107,347.3126,3113.41,98
1413.01,202.2282,343.7333,2561.32,99
1264.14,160.457,342.0897,4170.13,100
1222.26,209.4533,349.5564,3128.29,101
1341.64,196.4952,353.2956,2397.05,102
1432.69,196.6256,346.5907,3257.76,103
1973.26,136.3654,332.4845,4035.96,104
1222.47,137.6288,330.0155,3292.24,105
4576.98,141.8636,338.213,3612.28,106
1916.07,149.3297,335.1328,3476.96,107
1600.61,144.8809,336.4192,3808.72,108
2730.33,139.545,334.4172,4380.67,109
1233.68,176.9985,340.6692,2575.03,110
1885.55,141.9372,338.1027,4614.01,111
1538.24,153.4095,331.1273,4375.74,112
1861.64,163.853,337.9678,3313.81,113
3664.35,130.0485,333.0019,4562.24,114
3426.78,139.2233,329.103,3850.39,115
1707.92,151.048,340.1882,3856.18,116
4081.2,118.193,321.1908,4284.85,117
2774.07,135.7988,335.9653,4113.52,118
1192.93,175.3033,344.5246,1916.63,119
2598.24,145.7998,336.6481,3689.42,120
2990.23,122.2142,322.1271,4285.96,121
3853.61,142.8197,339.1682,4385.34,122
3259.55,123.1227,329.0229,4666.96,123
3035.88,120.1568,323.3104,4333.34,124
2889.77,126.5834,320.6481,4306.65,125
3032.39,129.5199,328.2785,4199.4,126
2688.2,127.5423,325.6081,4678.88,127
2887.71,122.4473,320.4546,4395.38,128
2918.41,136.286,326.9214,4309.29,129
1220.77,122.9422,316.9816,3590.31,130
2246.56,143.4037,338.4123,4312.69,131
3523.6,140.0027,325.69,4269.83,132
1862.39,131.5139,329.9109,4575.95,133
3716.23,139.9098,335.1246,4512.67,134
2060.28,128.5366,321.0786,4048.92,135
4459.19,123.9789,320.9697,4178.83,136
2596.82,128.9799,326.8404,4433.36,137
4439.36,135.2227,329.3864,4664.42,138
3796.14,126.6193,321.1053,4381.27,139
3747.83,139.2896,333.012,4204.42,140
3494.75,131.0079,331.6397,4586.29,141
2739.29,126.5568,325.795,4762.06,142
3730.53,138.5382,331.8618,4340.96,143
4273.93,131.8271,322.6151,4306.1,144
4516.52,119.2606,322.8908,4670.76,145
3944.41,116.7033,318.4305,4516.02,146
3470.39,125.3499,324.264,4618.96,147
3595.48,133.5134,323.6827,4307.33,148
2940.78,126.4782,321.7981,4103.48,149
1626.98,141.7963,321.3669,3901.77,150
3314.89,126.8057,319.4756,3879.82,151
1764.23,128.5094,318.6174,4127.65,152
1352.86,122.239,316.4954,4536.29,153
4191.43,121.7671,320.0449,4707.59,154
4260.62,118.4323,311.032,4645.5,155
3053.3,152.2789,320.8644,4245.31,156
4190.54,123.8616,316.8014,4392.74,157
3743.71,118.2787,311.6513,4182.15,158
3326.7,132.8496,315.6835,3913.83,159
4472.98,109.237,310.2579,4609.51,160
3075.26,123.5005,315.034,4626.56,161
4759.6,114.3333,311.4678,4544.07,162
4674.25,107.5524,309.8408,4442.12,163
3341.62,110.9834,311.8388,4383.9,164
4460.23,110.0527,312.9689,4625.09,165
4682.36,113.4184,307.1848,4426.92,166
4533.55,109.4074,303.6989,4465.9,167
4354.2,123.4194,308.4418,4262.12,168
785.93,174.023,325.4208,1269.08,169
995.31,211.3131,338.9508,1565.68,170
3140.09,166.7358,334.1913,2604.14,171
3138.74,179.8642,322.024,2485.78,172
3876.51,144.8526,325.5705,4481.58,173
995.62,324.4702,399.3918,582.29,174
3128.77,106.2922,312.4219,4581.51,175
4155.47,123.0813,315.0122,4661.3,176
4763.12,110.7076,309.712,4729.31,177
4592.52,143.9001,315.1047,3426.6,178
4592.84,104.9439,312.1269,4731.14,179
4540.31,108.4971,313.1114,4761.77,180
3857.28,119.2265,316.0299,4253.1,181
4441.88,108.5051,304.8856,4125.3,182
3965.22,101.2724,307.6694,4642.63,183
4615.97,128.8973,314.7486,4693.1,184
3684.69,126.034,314.4044,4582.23,185
4272.45,123.6862,316.4402,4730.23,186
2855.33,127.5437,315.9104,4438.47,187
4465.9,101.761,305.0232,4857.67,188
3936.04,103.3331,308.3158,4687.28,189
4158.75,104.1849,304.0953,4568.71,190
3938.19,113.9051,307.5228,4462.2,191
4296.42,110.3131,305.0404,4821.32,192
