Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL,Running Env Steps,Real Sto Return,Reward Loss,Itration
150,18.1335,3467.27,11.493,750000,3445.21,-708.3986206054688,150
151,19.6914,3487.74,13.5229,755000,2428.64,-1102.7215576171875,151
152,18.6053,3415.09,10.556,760000,3072.06,-959.58837890625,152
153,17.707,3461.06,10.5912,765000,3310.38,-610.4558715820312,153
154,17.5036,3483.79,10.7047,770000,3453.37,-635.611083984375,154
155,17.7404,3484.57,13.1746,775000,3373.1,-869.9190063476562,155
156,19.3427,3490.46,12.0666,780000,3361.87,-816.5548706054688,156
157,17.6998,3495.55,11.0127,785000,3330.59,-743.2158813476562,157
158,17.9644,3483.09,11.5218,790000,3442.11,-718.7095336914062,158
159,18.3036,3459.18,11.5019,795000,3362.93,-815.0482788085938,159
160,19.3139,3460.29,16.937,800000,2743.26,-1239.92529296875,160
161,17.8496,3504.93,11.9753,805000,3473.26,-750.842529296875,161
162,17.4709,3447.67,11.3265,810000,3295.91,-827.5394897460938,162
163,18.7186,3480.32,12.2049,815000,3447.0,-785.1917114257812,163
164,18.7969,3455.12,11.817,820000,3211.83,-1022.6710815429688,164
165,17.6221,3503.08,10.9272,825000,3365.15,-809.3004150390625,165
166,17.7385,3481.1,11.4696,830000,3301.91,-752.7144165039062,166
167,18.0612,3479.31,10.9574,835000,3423.88,-886.345947265625,167
168,18.1416,3479.6,11.3653,840000,2809.78,-1168.8399658203125,168
169,17.578,3449.03,11.2751,845000,3435.01,-843.6860961914062,169
170,18.9482,3500.06,11.5917,850000,3266.34,-1312.2628173828125,170
171,17.9878,3481.08,11.9805,855000,3399.74,-836.4453125,171
172,18.1559,3434.36,11.7373,860000,3405.41,-889.0651245117188,172
173,17.8586,3479.09,11.7688,865000,3290.82,-853.187744140625,173
174,17.1471,3454.05,11.2796,870000,3452.58,-764.4346313476562,174
175,18.3815,3461.32,12.4416,875000,3358.89,-869.4718627929688,175
176,17.7218,3461.18,10.8787,880000,3445.75,-845.4192504882812,176
177,19.8174,3337.19,11.7753,885000,2677.87,-1670.5811767578125,177
178,17.6281,3406.11,10.4313,890000,2703.87,-1142.9197998046875,178
179,17.3215,3453.15,11.4444,895000,3436.89,-903.8174438476562,179
180,38.0144,5.22,207.6331,900000,5.36,-2385.87109375,180
181,18.1183,3468.08,13.7669,905000,3392.96,-1087.5670166015625,181
182,18.5581,3463.13,11.7673,910000,3308.07,-992.6944580078125,182
183,17.9747,3447.47,19.8228,915000,3358.8,-1045.102783203125,183
184,18.1681,3489.5,11.9228,920000,2991.86,-884.6342163085938,184
185,17.7147,3491.35,11.3516,925000,3441.23,-1056.562255859375,185
186,18.6636,3419.3,11.3335,930000,3404.13,-1030.669677734375,186
187,17.3112,3438.91,11.305,935000,3323.81,-1024.025634765625,187
188,16.6262,3487.67,10.09,940000,3370.42,-894.8030395507812,188
189,17.3618,3476.17,10.7824,945000,3460.35,-982.0120239257812,189
190,18.4772,3457.89,11.1152,950000,3262.32,-1109.8756103515625,190
191,18.3922,3477.33,11.9552,955000,3205.29,-1101.2650146484375,191
192,17.2567,3462.6,10.7728,960000,3451.15,-915.5703735351562,192
193,16.513,3492.15,10.3672,965000,3161.87,-877.8662109375,193
194,17.3098,3468.71,11.2947,970000,3440.9,-956.6116333007812,194
195,16.8511,3481.26,10.8338,975000,3453.33,-953.5888671875,195
196,17.7071,3449.87,11.7908,980000,3414.12,-1117.8924560546875,196
197,16.8713,3474.68,10.8899,985000,3428.84,-1009.009033203125,197
198,17.9324,3444.71,11.5104,990000,3315.86,-996.0409545898438,198
199,17.6494,3440.55,11.9589,995000,3420.72,-1094.7911376953125,199
