Real Sto Return,Itration,Reward Loss,Running Env Steps,Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL
1562.09,61,-2969.471923828125,305000,2580.58,61,21.3567,31.946
2377.95,62,-1596.47265625,310000,3265.88,62,19.3361,19.5326
1403.3,63,-2417.949951171875,315000,2306.38,63,20.2496,27.1215
1722.79,64,-1840.096435546875,320000,1448.89,64,18.9978,21.9255
2948.94,65,-1070.9842529296875,325000,3245.63,65,19.3304,14.5489
1848.97,66,-2913.702880859375,330000,2685.08,66,20.5101,31.4584
1855.1,67,-2556.300537109375,335000,1883.12,67,19.8063,21.9721
3163.8,68,-837.7093505859375,340000,3168.84,68,19.3838,11.2691
2158.68,69,-1917.1339111328125,345000,3227.13,69,18.6315,20.9584
1688.45,70,-3018.960693359375,350000,3286.1,70,20.495,27.9835
2301.9,71,-715.53125,355000,3366.81,71,17.6704,12.3986
2853.75,72,-573.66455078125,360000,3370.66,72,17.4145,11.4525
1795.24,73,-2272.255859375,365000,1564.73,73,19.1847,16.31
1285.45,74,-3166.69775390625,370000,1114.8,74,20.4021,32.2133
1636.18,75,-2866.029541015625,375000,1404.23,75,20.127,21.8143
2916.9,76,-1368.124267578125,380000,3404.71,76,18.3236,13.0867
2363.94,77,-945.0875244140625,385000,3358.49,77,18.2702,13.0023
2740.54,78,-1125.6683349609375,390000,3405.59,78,17.278,16.4336
1041.32,79,-2931.61669921875,395000,2301.47,79,19.316,33.8079
1965.81,80,-2441.1318359375,400000,1261.08,80,18.0467,27.3965
1318.63,81,-3848.864990234375,405000,3237.61,81,22.0615,30.5443
3410.44,82,-286.6790771484375,410000,3443.34,82,17.3908,10.545
1722.12,83,-2455.044677734375,415000,2630.96,83,20.2018,25.5226
2387.88,84,-708.2417602539062,420000,3463.62,84,16.2154,12.9192
2728.12,85,-1347.3330078125,425000,3421.8,85,17.6889,16.0705
1957.12,86,-2095.21630859375,430000,3456.96,86,17.9352,21.3847
2985.49,87,-1481.05078125,435000,3416.63,87,18.8097,13.3994
1468.86,88,-1826.402587890625,440000,3239.5,88,17.6549,18.2559
2942.39,89,-682.5647583007812,445000,3439.87,89,16.7043,12.1571
2124.62,90,-2542.95361328125,450000,3461.87,90,18.7534,22.5784
2468.01,91,-2307.11279296875,455000,3189.48,91,18.0662,17.4268
2700.42,92,-1088.6162109375,460000,3459.65,92,17.7134,14.1998
3434.86,93,-202.3875274658203,465000,3469.61,93,17.2415,11.5299
3318.01,94,-1681.6500244140625,470000,3482.73,94,18.3127,19.1241
2645.82,95,-1378.998291015625,475000,3474.36,95,16.7388,16.1523
3453.36,96,-234.89846801757812,480000,3490.5,96,16.0742,10.1866
3239.2,97,-1013.1110229492188,485000,3486.02,97,17.8753,14.9424
2493.5,98,-3134.81494140625,490000,3486.33,98,19.0538,25.9383
3201.75,99,-930.5208740234375,495000,3478.15,99,17.1756,13.8481
2565.77,100,-2604.72412109375,500000,3408.6,100,18.5095,19.5265
3150.96,101,-977.2047729492188,505000,3479.81,101,16.7008,14.4414
2678.44,102,-1294.09375,510000,3479.55,102,17.3457,16.7846
2541.66,103,-1982.60302734375,515000,3458.87,103,17.6706,18.9157
3330.21,104,-834.2095947265625,520000,3447.62,104,17.8413,12.6463
2555.48,105,-1247.952392578125,525000,3409.37,105,17.0847,15.1681
3214.27,106,-343.6928405761719,530000,3454.58,106,16.8206,11.0695
2945.02,107,-875.7262573242188,535000,3495.75,107,16.9583,13.7818
3216.99,108,-800.5333862304688,540000,3472.17,108,16.2538,11.0355
2919.28,109,-979.4869995117188,545000,3487.28,109,17.1262,13.3632
3325.61,110,-1095.8172607421875,550000,3488.55,110,16.7181,13.8881
2921.56,111,-1798.769775390625,555000,3457.46,111,16.4081,16.4374
3336.43,112,-248.68862915039062,560000,3472.59,112,16.4843,10.3791
3156.69,113,-1193.7637939453125,565000,3489.58,113,17.4784,14.8382
2919.98,114,-727.6791381835938,570000,3483.53,114,16.7059,12.1819
3367.49,115,-418.46392822265625,575000,3471.79,115,17.2688,11.7283
3413.65,116,-455.94439697265625,580000,3440.38,116,17.5016,10.4969
3234.04,117,-472.1690979003906,585000,3443.27,117,16.6973,10.2993
2908.0,118,-1071.0863037109375,590000,3494.08,118,17.2819,13.6239
2909.15,119,-941.2537231445312,595000,3467.7,119,17.6128,14.0694
2968.37,120,-1341.09716796875,600000,3458.8,120,16.47,13.602
3160.1,121,-755.061767578125,605000,3479.5,121,17.6326,11.5567
3433.97,122,-444.48992919921875,610000,3458.16,122,16.4776,9.8296
3318.38,123,-221.7453155517578,615000,3471.44,123,15.9577,9.7483
2573.33,124,-1593.5472412109375,620000,3475.79,124,17.2347,14.9204
3351.01,125,-592.9360961914062,625000,3448.03,125,17.594,10.4287
2883.08,126,-1188.0010986328125,630000,3388.74,126,17.3316,13.4522
3409.28,127,-558.45361328125,635000,3444.95,127,17.0287,10.932
3280.29,128,-282.5342712402344,640000,3421.73,128,16.4891,10.2928
2233.19,129,-3066.783447265625,645000,3070.5,129,18.4615,19.059
3394.37,130,-668.1101684570312,650000,3489.64,130,16.6487,11.8138
3446.36,131,-389.6231689453125,655000,3438.35,131,16.3441,10.3191
2927.46,132,-954.9215087890625,660000,3480.58,132,17.6893,12.7531
2774.14,133,-1519.2236328125,665000,3449.43,133,17.379,13.9387
3378.41,134,-357.9390869140625,670000,3460.13,134,16.3543,9.8855
3322.89,135,-669.2894897460938,675000,3476.61,135,16.1697,10.3113
3398.39,136,-313.7256774902344,680000,3460.55,136,16.1205,9.9533
3347.08,137,-1424.331298828125,685000,3463.37,137,18.1577,14.0411
2961.0,138,-956.0086669921875,690000,3455.69,138,16.919,12.2468
3249.95,139,-1116.273681640625,695000,3444.81,139,17.8392,12.7649
3420.02,140,-1067.5137939453125,700000,3479.14,140,17.5126,12.6051
2530.81,141,-2063.084228515625,705000,3280.77,141,19.0633,16.1947
3418.78,142,-654.9215087890625,710000,3431.39,142,16.2081,10.0932
3448.49,143,-343.830810546875,715000,3449.22,143,16.7534,10.962
2905.51,144,-1575.3997802734375,720000,3479.54,144,17.8845,12.9314
3161.45,145,-1275.1417236328125,725000,3455.54,145,17.5765,12.1399
2656.55,146,-2448.863037109375,730000,3523.83,146,19.7805,14.6443
3169.67,147,-1074.1142578125,735000,3463.71,147,16.9585,11.8224
2648.85,148,-711.9405517578125,740000,3541.43,148,17.1491,12.0301
3009.75,149,-957.562744140625,745000,3460.88,149,17.8562,12.1877
3084.74,150,-1166.4598388671875,750000,3485.4,150,18.0127,12.16
3295.19,151,-829.5728759765625,755000,3461.05,151,17.6998,12.1789
3009.56,152,-1837.281005859375,760000,3519.02,152,17.7412,15.1879
3341.04,153,-289.7254943847656,765000,3505.87,153,16.6661,11.45
3289.35,154,-1247.946533203125,770000,3472.05,154,17.2681,12.3278
2953.14,155,-1233.8262939453125,775000,3466.44,155,17.7708,12.2765
2947.6,156,-1113.741455078125,780000,3454.84,156,17.137,11.4284
2138.29,157,-2653.93896484375,785000,3349.29,157,19.1225,15.7895
3374.33,158,-484.01519775390625,790000,3455.87,158,17.1311,11.2374
2827.86,159,-2029.5455322265625,795000,3465.91,159,18.5342,14.188
2493.19,160,-2321.92138671875,800000,3387.36,160,18.0533,13.8587
3147.91,161,-1257.321533203125,805000,3538.04,161,18.1285,12.6918
2827.8,162,-1386.97998046875,810000,3435.14,162,19.4307,13.4353
3365.48,163,-802.07177734375,815000,3475.49,163,17.3792,12.1131
3136.92,164,-543.7620849609375,820000,3417.59,164,16.9712,10.2663
2630.09,165,-2642.97802734375,825000,3298.22,165,18.8148,17.5914
2442.75,166,-1626.3433837890625,830000,3452.16,166,18.9691,15.1196
3108.54,167,-1854.7900390625,835000,3453.58,167,18.5302,13.3519
2259.15,168,-1645.3743896484375,840000,3414.86,168,18.5691,12.5891
2537.4,169,-2881.537353515625,845000,3433.96,169,20.4725,17.5247
2212.76,170,-2740.444091796875,850000,3303.44,170,19.4913,16.8283
2117.33,171,-3560.93603515625,855000,2738.49,171,19.9135,17.4611
2832.48,172,-1763.2352294921875,860000,3562.27,172,18.9305,13.5419
2741.8,173,-1999.3135986328125,865000,3494.09,173,18.5513,13.0739
2643.84,174,-1994.6322021484375,870000,3185.96,174,18.8157,13.8696
3020.51,175,-1318.137451171875,875000,3477.18,175,17.386,11.8447
2210.83,176,-3497.491943359375,880000,2738.57,176,19.1299,16.5482
2500.26,177,-2959.205322265625,885000,3494.64,177,19.1736,15.624
2789.09,178,-1507.666748046875,890000,3466.58,178,18.4529,12.418
2615.18,179,-2623.316650390625,895000,3247.18,179,19.5236,14.9828
2734.73,180,-3381.049072265625,900000,3547.85,180,19.2134,17.1417
2820.08,181,-1842.490234375,905000,3556.43,181,17.9921,13.0007
2251.07,182,-3470.635498046875,910000,3118.96,182,19.4704,17.0178
2682.77,183,-2392.1904296875,915000,3570.79,183,18.7242,14.2271
3265.36,184,-2891.024169921875,920000,3476.92,184,18.9671,13.3206
2579.92,185,-1586.647705078125,925000,3537.85,185,18.4822,12.7834
2639.0,186,-2082.433349609375,930000,3576.45,186,19.0826,14.2312
2046.75,187,-2751.7392578125,935000,3150.2,187,18.6186,14.4405
2664.05,188,-1890.025634765625,940000,3427.95,188,18.4952,13.8611
2185.72,189,-3316.318115234375,945000,2770.3,189,19.317,18.9383
3396.08,190,-1242.9656982421875,950000,3451.61,190,17.7568,11.1238
2883.17,191,-2506.649658203125,955000,3465.26,191,18.476,13.2378
2099.28,192,-4318.48876953125,960000,2524.15,192,20.2897,17.7492
2544.77,193,-2674.22265625,965000,3542.64,193,19.0367,14.3449
2352.28,194,-1661.9632568359375,970000,2913.29,194,19.4007,12.3959
3095.42,195,-2168.57080078125,975000,3466.88,195,19.3324,13.531
2711.14,196,-2362.227294921875,980000,3551.91,196,18.7381,15.5426
3148.41,197,-1543.325439453125,985000,3505.71,197,17.9252,13.1442
3322.44,198,-735.2056884765625,990000,3449.93,198,17.7318,10.4972
2396.53,199,-2410.654541015625,995000,3551.09,199,19.1209,15.0761
