Running Update Time,Running Forward KL,Running Reverse KL,Real Det Return,Reward Loss,Running Env Steps,Itration,Real Sto Return
39,392.8827,287.0759,712.85,-9852.0205078125,195000,39,836.29
40,384.8123,261.5453,834.05,-9884.86328125,200000,40,875.25
41,397.3972,253.3735,435.53,-9659.2763671875,205000,41,764.43
42,384.2688,258.7068,675.21,-10188.5166015625,210000,42,1015.67
43,388.6057,287.8983,901.02,-11270.431640625,215000,43,913.34
44,393.2242,302.7545,781.5,-11408.18359375,220000,44,718.17
45,383.3794,259.9985,666.84,-10315.1962890625,225000,45,1100.81
46,387.6316,273.8707,617.92,-10540.123046875,230000,46,920.02
47,390.8219,270.5899,895.77,-10748.4169921875,235000,47,815.78
48,395.4031,280.5377,455.24,-11142.361328125,240000,48,882.88
49,382.0606,252.4408,569.56,-10494.935546875,245000,49,944.82
50,393.6183,287.4698,397.51,-11095.9453125,250000,50,758.15
51,394.5144,262.6278,470.56,-11172.884765625,255000,51,860.47
52,390.2987,258.5219,427.44,-10985.4853515625,260000,52,808.23
53,394.3841,282.96,690.48,-11987.4365234375,265000,53,933.49
54,386.3853,267.1718,609.52,-11739.193359375,270000,54,1045.89
55,387.8303,264.8107,652.63,-11803.8486328125,275000,55,804.95
56,397.048,273.4393,1013.34,-12087.142578125,280000,56,886.64
57,392.1006,279.6542,870.06,-12026.71484375,285000,57,846.36
58,395.5634,272.2071,881.51,-11836.837890625,290000,58,957.99
59,386.077,264.6533,1021.45,-12047.69140625,295000,59,967.72
60,359.2728,204.1094,1115.14,-10040.8017578125,300000,60,1473.12
61,363.9456,248.4888,1039.04,-11833.6103515625,305000,61,1456.44
62,383.2766,254.1098,1234.49,-11903.1044921875,310000,62,1118.6
63,391.0478,298.1859,771.55,-13153.9365234375,315000,63,929.6
64,370.9635,234.2322,1134.5,-11759.99609375,320000,64,1477.8
65,353.7557,194.9703,1015.84,-10881.74609375,325000,65,1812.83
66,378.5336,238.9627,942.54,-11917.5576171875,330000,66,1562.01
67,381.7529,284.1697,1029.77,-12943.447265625,335000,67,948.32
68,368.6086,245.9539,1524.69,-11898.09765625,340000,68,1507.1
69,357.9808,219.4883,1039.94,-12078.53125,345000,69,1791.48
70,340.0143,199.7486,2541.9,-10369.6533203125,350000,70,1461.07
71,374.8724,261.3304,882.34,-13444.072265625,355000,71,1902.07
72,348.4457,192.4224,1122.68,-10586.119140625,360000,72,2911.45
73,352.4811,206.0023,1050.94,-11263.763671875,365000,73,2145.71
74,350.1497,200.7592,1095.75,-11246.7626953125,370000,74,1683.49
75,360.287,233.4683,757.73,-12456.28125,375000,75,1827.43
76,357.8377,176.5244,1489.47,-10155.9873046875,380000,76,3193.55
77,346.297,183.3298,1299.47,-10528.451171875,385000,77,3047.8
78,355.0213,231.5756,957.68,-12760.9755859375,390000,78,2191.91
79,358.1119,271.7191,1281.18,-13329.849609375,395000,79,3037.26
80,344.8755,173.9183,1418.06,-10579.0322265625,400000,80,2833.57
81,350.6368,234.3195,807.73,-12850.0302734375,405000,81,2262.3
82,345.4688,193.3986,1329.32,-11741.2578125,410000,82,2930.16
83,340.169,189.609,801.96,-11561.4794921875,415000,83,1922.94
84,332.6702,164.7107,1059.81,-10814.3486328125,420000,84,2476.54
85,345.3016,214.9009,1585.75,-11958.09375,425000,85,1742.64
86,360.6707,230.3954,1446.16,-13166.10546875,430000,86,2589.63
87,345.9552,180.1628,1401.07,-11630.146484375,435000,87,2196.55
88,350.4383,179.2736,1357.38,-11770.8837890625,440000,88,2399.03
89,355.9977,183.7134,1660.13,-12501.7392578125,445000,89,3370.9
90,344.9431,172.8337,890.34,-11677.1435546875,450000,90,2486.73
91,349.1393,192.8642,1869.42,-12151.7978515625,455000,91,2898.1
92,342.092,161.0394,1332.9,-11208.0634765625,460000,92,3993.25
93,367.6936,238.5809,2193.44,-13647.9697265625,465000,93,2497.21
94,348.159,169.66,1002.5,-12173.4580078125,470000,94,3107.61
95,346.7771,156.6954,1475.54,-12098.279296875,475000,95,3285.89
96,348.0074,167.1246,879.02,-12282.4931640625,480000,96,3371.93
97,345.1469,173.3475,1353.56,-12613.6103515625,485000,97,3038.64
98,340.2213,149.7499,940.57,-12361.1064453125,490000,98,3656.43
99,367.6388,216.5137,1580.88,-14104.3173828125,495000,99,2138.29
100,343.9358,165.3299,1644.87,-12359.8779296875,500000,100,2753.69
101,340.265,143.5846,1634.82,-12603.939453125,505000,101,3497.39
102,344.0507,174.1789,1717.95,-12766.712890625,510000,102,3563.86
103,380.8146,224.4812,641.37,-14415.3193359375,515000,103,2300.46
104,347.8191,205.9778,931.62,-13133.0283203125,520000,104,3237.27
105,351.6103,181.3038,1381.74,-13276.8935546875,525000,105,3036.37
106,337.4487,134.8786,1930.34,-12574.328125,530000,106,3213.24
107,352.9536,172.4926,2144.97,-13493.4140625,535000,107,3375.61
108,324.4532,139.6598,1616.83,-12655.8427734375,540000,108,2954.03
109,341.8007,175.3286,1921.66,-13246.3818359375,545000,109,3098.87
110,331.644,186.92,3336.1,-12945.28515625,550000,110,3101.39
111,321.386,125.9637,2699.17,-12506.9443359375,555000,111,3584.71
112,337.9174,191.3097,2357.9,-13946.1728515625,560000,112,2258.36
113,333.4914,147.4296,2048.91,-13584.3564453125,565000,113,3580.76
114,353.8041,156.8346,1407.11,-14503.4296875,570000,114,2310.29
115,340.6588,135.3268,3172.58,-13599.5751953125,575000,115,3627.25
116,333.8409,166.8327,2465.66,-14022.689453125,580000,116,2982.3
117,335.7844,156.31,2929.0,-13762.3515625,585000,117,3718.07
118,345.5522,199.4384,1704.39,-14167.318359375,590000,118,2325.15
119,353.854,235.2094,1118.61,-15305.7177734375,595000,119,1793.73
120,332.1902,129.4144,3143.65,-14131.6923828125,600000,120,4061.57
121,336.6985,147.186,2333.65,-14333.6015625,605000,121,3504.87
122,332.7859,115.6997,4107.62,-13977.3037109375,610000,122,4739.17
123,336.5861,140.4158,2357.61,-14284.990234375,615000,123,4104.4
124,344.1627,169.8815,1964.05,-14900.0947265625,620000,124,3567.77
125,333.0499,138.2731,3506.59,-14616.455078125,625000,125,3932.61
126,344.065,173.8205,3247.6,-15198.00390625,630000,126,3832.05
127,329.1627,114.8166,4263.59,-14760.7138671875,635000,127,4058.05
128,342.7711,170.4063,3211.85,-15307.837890625,640000,128,3744.4
129,334.1658,126.0377,1240.4,-14925.7255859375,645000,129,3675.8
130,346.9448,187.4359,1689.54,-15001.9833984375,650000,130,1912.43
131,334.5352,133.3267,3054.77,-14928.2548828125,655000,131,3615.26
132,349.046,130.5119,2088.91,-15393.6767578125,660000,132,3702.42
133,325.7657,119.2851,3243.61,-15289.7646484375,665000,133,4753.71
134,340.2244,151.1978,3800.77,-15551.095703125,670000,134,4211.79
135,332.8017,139.7571,3976.7,-15495.1845703125,675000,135,3824.36
136,342.4148,180.6058,1449.81,-15592.10546875,680000,136,2227.13
137,330.5924,123.1915,4116.06,-15860.7236328125,685000,137,4265.66
138,327.0,194.6874,2214.02,-15352.8349609375,690000,138,2928.99
139,329.2958,118.2139,3672.58,-15388.0615234375,695000,139,4202.55
140,329.0328,128.9083,2133.58,-15786.1064453125,700000,140,4721.98
141,336.2912,152.4919,1623.29,-15860.443359375,705000,141,2965.75
142,338.3621,139.5714,3611.19,-16143.71875,710000,142,4598.91
143,336.2292,131.805,1651.38,-16079.447265625,715000,143,3604.45
144,329.2673,129.6101,4484.45,-16300.7470703125,720000,144,5011.52
145,326.0363,132.6961,3639.2,-16320.404296875,725000,145,4646.02
146,327.8065,152.0649,1520.55,-16149.7041015625,730000,146,3760.67
147,321.0466,120.3081,3293.42,-16047.4697265625,735000,147,4363.47
148,325.0352,120.5178,4864.55,-16127.8037109375,740000,148,5038.6
149,326.4903,121.0647,4469.41,-16385.955078125,745000,149,4835.36
150,327.9297,124.4206,3259.76,-16422.2109375,750000,150,4784.73
151,328.6276,124.8048,4259.86,-16436.490234375,755000,151,4850.43
152,325.8254,124.2229,4579.74,-16545.39453125,760000,152,4707.35
153,326.5563,138.8921,4859.05,-16778.44921875,765000,153,5016.48
154,317.5561,109.8759,2133.32,-16357.41796875,770000,154,4416.57
155,347.2946,195.7529,2296.17,-16701.865234375,775000,155,4374.24
156,327.5478,122.2223,3215.73,-16855.505859375,780000,156,4248.01
157,322.1789,128.8669,3280.03,-16577.8046875,785000,157,4884.59
158,326.6497,125.6401,4110.69,-16309.908203125,790000,158,3893.85
159,323.237,110.7262,4752.88,-16752.09765625,795000,159,5040.42
160,316.1329,115.5703,4642.92,-16275.2109375,800000,160,4908.03
161,320.3338,122.6303,4078.67,-16872.2265625,805000,161,4442.78
162,318.0037,117.1583,3529.0,-16899.068359375,810000,162,5056.05
163,317.2743,113.5918,3402.87,-16627.224609375,815000,163,3832.56
164,320.671,112.8052,4371.95,-17173.576171875,820000,164,4364.57
165,316.0616,114.8041,2967.09,-16916.1484375,825000,165,4622.4
166,320.1566,131.4974,4199.18,-16658.009765625,830000,166,3968.39
167,320.8721,108.5036,3593.87,-16988.7734375,835000,167,4943.08
168,322.665,130.7035,4619.33,-16983.650390625,840000,168,4559.24
169,331.9705,141.2856,3951.67,-17224.994140625,845000,169,4662.0
170,321.0169,104.3189,4042.05,-17090.830078125,850000,170,3984.76
171,327.1201,117.5887,4589.55,-17159.03515625,855000,171,4612.61
172,316.9452,121.154,4255.1,-17139.32421875,860000,172,4665.96
173,328.0332,126.1534,2080.74,-17216.3828125,865000,173,2965.81
174,335.7665,122.3782,3272.8,-17736.49609375,870000,174,4443.8
175,317.6002,132.6169,2228.14,-17128.1328125,875000,175,4210.23
176,323.531,132.5491,3096.91,-17323.919921875,880000,176,4679.47
177,328.5459,120.058,3952.24,-17264.4453125,885000,177,3784.22
178,323.9602,112.4313,3724.6,-17335.822265625,890000,178,4217.37
179,315.4555,105.3122,5046.93,-17132.796875,895000,179,5099.67
180,327.7193,122.4282,3942.88,-17781.291015625,900000,180,5071.4
181,320.8367,126.8644,4362.15,-17588.611328125,905000,181,4774.41
182,325.1764,136.916,4672.77,-17528.740234375,910000,182,4875.47
183,324.8195,119.2729,1645.24,-17392.837890625,915000,183,4922.86
184,321.1229,143.6958,4354.9,-17264.41015625,920000,184,3967.2
185,318.27,118.7286,4900.34,-17546.923828125,925000,185,4801.58
186,309.5762,106.6893,4558.26,-17342.10546875,930000,186,4884.09
187,322.7912,147.6568,3257.51,-17415.2265625,935000,187,4368.29
188,317.1803,109.2055,4358.28,-17534.962890625,940000,188,3376.2
189,318.803,142.9095,3781.34,-17673.615234375,945000,189,4433.05
190,313.4399,122.9009,4060.96,-17219.931640625,950000,190,4625.05
191,315.6816,118.7349,4965.79,-17598.490234375,955000,191,4684.19
192,334.7738,130.8338,3670.78,-17823.666015625,960000,192,4100.91
193,329.6128,134.0561,2357.43,-18059.3984375,965000,193,4118.1
194,325.821,196.9869,4419.49,-17747.58203125,970000,194,4130.83
195,334.3499,180.7569,2294.78,-18145.58984375,975000,195,3737.42
196,321.9574,111.5612,4733.48,-17720.658203125,980000,196,5091.65
197,317.3428,128.6459,4790.62,-17936.1640625,985000,197,4848.07
198,315.6109,110.3828,3603.95,-17879.6953125,990000,198,4503.44
199,316.9338,112.4494,5119.37,-17806.33203125,995000,199,4894.11
200,327.1515,157.9731,4899.41,-18037.6015625,1000000,200,3859.89
201,330.7037,171.1987,4716.44,-18096.6484375,1005000,201,3848.1
202,340.8509,185.6688,4378.5,-18197.46875,1010000,202,3950.71
203,331.4007,184.2011,4659.44,-18125.625,1015000,203,3873.16
204,325.6763,157.9531,4932.53,-18140.681640625,1020000,204,4760.0
205,323.5466,137.3237,4629.99,-17980.955078125,1025000,205,4243.4
206,327.7919,147.9185,4920.59,-18105.541015625,1030000,206,3432.17
207,325.2959,157.7526,3730.17,-18039.08984375,1035000,207,3397.77
208,323.3695,167.8669,3200.2,-17925.673828125,1040000,208,3554.66
209,313.4168,170.1878,2566.78,-17807.029296875,1045000,209,3563.74
210,317.5914,153.1582,1440.41,-18037.958984375,1050000,210,3416.32
211,314.8948,137.0546,3798.81,-17895.3515625,1055000,211,3467.69
212,326.7635,154.5345,4209.31,-18194.560546875,1060000,212,4507.25
213,322.1612,128.3119,4432.14,-18099.57421875,1065000,213,4330.15
214,325.9395,158.4081,4077.08,-18263.140625,1070000,214,3977.15
215,323.2478,139.5833,3856.56,-18360.82421875,1075000,215,3933.97
216,325.3847,180.7945,3135.7,-18169.94921875,1080000,216,3431.38
217,325.6918,147.761,3521.22,-18424.48828125,1085000,217,4552.67
218,317.9399,131.6757,3215.93,-18106.107421875,1090000,218,4212.5
219,318.5598,152.6561,4095.82,-18078.1640625,1095000,219,3707.3
220,317.9129,144.4097,2202.4,-18106.884765625,1100000,220,3831.99
221,316.5227,135.1883,2572.64,-18054.890625,1105000,221,4482.01
222,316.3597,120.1584,4031.85,-18266.59375,1110000,222,4463.9
223,319.4083,111.6009,4943.61,-18494.099609375,1115000,223,4631.87
224,314.4756,118.7704,4242.91,-18413.494140625,1120000,224,4738.66
225,312.7737,125.2218,4754.49,-18068.34765625,1125000,225,4643.16
226,315.7245,110.0953,4764.12,-18263.017578125,1130000,226,4968.64
227,313.7516,123.679,4248.78,-18320.744140625,1135000,227,4942.31
228,314.3728,115.9846,5127.59,-18280.525390625,1140000,228,5165.33
229,310.8609,120.5392,5142.89,-18314.564453125,1145000,229,5145.94
230,308.5397,110.571,5141.48,-18333.345703125,1150000,230,4582.24
231,316.7108,114.5336,5136.73,-18499.55859375,1155000,231,4718.99
232,312.4051,111.0931,5044.39,-18445.244140625,1160000,232,5147.24
233,310.9248,111.9687,4686.71,-18480.08984375,1165000,233,4988.68
234,314.1909,112.5352,4801.46,-18306.505859375,1170000,234,4717.01
235,317.3489,124.4518,3882.56,-18349.025390625,1175000,235,4705.9
236,318.999,130.7405,2845.98,-18626.224609375,1180000,236,4620.55
237,325.3882,164.1506,3478.1,-17918.361328125,1185000,237,3206.03
238,323.1137,134.6625,4157.91,-18595.330078125,1190000,238,3912.0
239,315.2212,129.5772,2846.3,-18341.103515625,1195000,239,4364.48
240,312.4039,125.3088,3549.79,-17932.083984375,1200000,240,3605.76
241,345.3968,223.3995,2181.42,-18135.849609375,1205000,241,2101.23
242,315.0764,121.5582,3494.63,-17652.80078125,1210000,242,3654.92
243,325.525,141.1865,2464.2,-18403.724609375,1215000,243,2826.23
244,322.6832,161.8898,3381.64,-17384.349609375,1220000,244,2807.7
245,312.1123,112.9013,4564.74,-18284.8828125,1225000,245,4122.18
246,331.2997,164.3682,4809.34,-17858.5625,1230000,246,3723.64
247,314.6044,126.9058,4228.27,-18262.53125,1235000,247,4404.46
248,310.526,134.0284,3744.78,-17593.318359375,1240000,248,4080.95
249,314.8085,133.2898,4655.55,-18054.390625,1245000,249,4593.0
250,314.3342,120.8186,4880.87,-18553.517578125,1250000,250,4850.04
251,313.8684,136.1491,3918.71,-18241.771484375,1255000,251,4565.94
252,309.0949,111.196,4703.78,-18160.375,1260000,252,4586.11
253,308.2672,125.8699,4843.36,-18118.72265625,1265000,253,4483.23
254,309.0522,105.8021,5132.06,-18251.744140625,1270000,254,4667.78
255,311.8679,108.3649,4275.08,-18584.876953125,1275000,255,4551.48
256,314.9036,146.5498,3812.06,-18341.31640625,1280000,256,4527.75
257,311.7305,116.919,5015.29,-18343.330078125,1285000,257,4608.86
258,311.7975,116.7244,3729.68,-18588.9921875,1290000,258,4460.81
259,314.7948,113.2955,4100.63,-18652.935546875,1295000,259,4750.18
260,316.4146,114.3645,5073.79,-18624.39453125,1300000,260,5072.51
261,317.7159,110.2917,4780.21,-18714.796875,1305000,261,4621.78
262,310.7987,110.3533,3865.38,-18575.5625,1310000,262,4727.91
263,317.3127,124.3171,5146.97,-18668.353515625,1315000,263,5116.02
264,320.5957,139.8875,4252.66,-18505.8984375,1320000,264,3764.83
265,316.2114,110.9185,3915.48,-18890.583984375,1325000,265,4751.03
266,323.8373,133.2184,4471.49,-18572.126953125,1330000,266,4163.05
267,309.3652,104.6454,4313.26,-18722.91015625,1335000,267,4928.16
268,314.7022,116.065,4136.75,-18632.22265625,1340000,268,4781.47
269,315.8263,126.7425,4056.18,-18872.5546875,1345000,269,5019.43
270,337.7762,201.9091,1957.5,-18394.22265625,1350000,270,2891.48
271,329.6494,166.057,2495.21,-18223.267578125,1355000,271,3993.54
272,317.742,130.7749,4059.66,-18786.30078125,1360000,272,4387.95
273,337.0009,175.573,1576.76,-18414.78515625,1365000,273,2583.5
274,316.705,132.5075,2498.06,-18555.70703125,1370000,274,3736.32
275,327.0134,160.4736,1455.54,-18238.697265625,1375000,275,1513.24
276,320.9606,131.6975,5130.24,-18653.96484375,1380000,276,3799.34
277,330.4835,168.0817,3805.16,-18057.521484375,1385000,277,3872.87
278,319.8819,128.2279,3289.99,-18501.673828125,1390000,278,4546.6
279,310.0972,105.1668,4444.69,-18800.34765625,1395000,279,4622.79
280,317.1843,116.1595,4528.68,-18777.427734375,1400000,280,4723.01
281,316.9126,117.3866,4597.54,-18510.138671875,1405000,281,4380.65
282,312.2381,111.4508,3185.41,-18755.955078125,1410000,282,4508.06
283,319.351,112.2216,5071.61,-18883.568359375,1415000,283,4848.59
284,321.0627,122.8835,4928.0,-19010.107421875,1420000,284,5151.57
285,316.8879,118.2686,4056.15,-18574.1796875,1425000,285,4408.9
286,319.7347,113.5812,4865.48,-18819.158203125,1430000,286,4449.98
287,321.344,133.8029,5121.16,-18617.634765625,1435000,287,4747.13
288,313.5672,120.1607,4911.76,-18624.65234375,1440000,288,5074.82
289,310.3687,114.1584,4605.25,-18762.080078125,1445000,289,4183.01
290,315.2926,116.2856,5072.65,-18539.646484375,1450000,290,4494.69
291,307.0038,108.9664,5091.6,-18634.48828125,1455000,291,4950.87
292,317.8178,161.8426,5097.23,-18608.27734375,1460000,292,3956.35
293,312.2985,115.1695,5016.37,-18579.525390625,1465000,293,4481.64
294,319.1903,110.6677,5204.62,-18938.890625,1470000,294,4830.41
295,306.7342,98.763,4656.38,-18794.96484375,1475000,295,4926.91
296,314.6122,104.4418,5150.49,-18987.90625,1480000,296,4697.34
297,316.9342,103.5717,4941.21,-19041.5234375,1485000,297,4848.24
298,310.0839,102.4808,5236.7,-19051.884765625,1490000,298,4941.5
299,318.517,121.2694,4791.78,-18795.90625,1495000,299,4297.18
300,315.9062,104.773,5168.42,-18995.640625,1500000,300,4679.16
301,313.7912,101.4162,5274.0,-18950.90625,1505000,301,4464.15
302,314.5971,118.7147,5034.79,-18839.294921875,1510000,302,4930.83
303,314.3998,105.5516,5186.0,-19076.79296875,1515000,303,4939.08
304,330.7478,146.3024,4354.11,-18892.611328125,1520000,304,4196.13
305,318.913,110.0807,4626.14,-19016.458984375,1525000,305,3881.81
306,330.3619,161.2533,5252.14,-19095.50390625,1530000,306,4622.03
307,318.535,123.8116,4446.56,-19065.7734375,1535000,307,5173.54
308,324.1702,134.6454,4915.22,-19110.255859375,1540000,308,4661.22
309,325.9673,126.1413,5097.67,-19127.810546875,1545000,309,4662.07
310,323.0695,125.3031,4233.84,-19246.23828125,1550000,310,4567.4
311,334.9092,168.4873,4495.68,-19087.2421875,1555000,311,3115.06
312,326.3972,138.6895,4691.21,-18995.64453125,1560000,312,5083.73
313,328.0541,140.8783,3754.49,-19197.830078125,1565000,313,4229.32
314,321.291,139.5024,4678.97,-19168.396484375,1570000,314,3977.46
315,331.014,149.5366,4204.17,-19060.71875,1575000,315,3616.85
316,321.5658,142.4557,4864.45,-19178.138671875,1580000,316,4654.27
317,315.1017,127.3035,5205.85,-19160.7734375,1585000,317,4955.98
318,319.9138,135.7244,5338.46,-19223.400390625,1590000,318,4417.06
319,328.1285,199.5414,4325.93,-19231.62890625,1595000,319,3493.37
320,314.1731,132.4859,4898.56,-19165.728515625,1600000,320,4176.19
321,320.2944,184.9879,5033.73,-19342.28125,1605000,321,5097.93
322,318.8156,151.7037,4521.71,-19249.00390625,1610000,322,3651.23
323,312.8261,130.6585,5312.72,-19171.775390625,1615000,323,4342.37
324,324.0645,201.2481,3265.59,-19048.7109375,1620000,324,2902.07
325,308.4885,131.3936,4609.21,-19246.240234375,1625000,325,4376.77
326,342.4976,205.8206,1510.97,-18461.6953125,1630000,326,1523.61
327,346.4758,260.4021,1627.24,-18661.556640625,1635000,327,1547.26
328,313.5686,149.1594,5133.13,-19069.4921875,1640000,328,4148.4
329,325.258,187.4201,2540.2,-18855.625,1645000,329,3614.06
330,330.3012,209.4728,4729.0,-18508.609375,1650000,330,3080.65
331,347.4344,238.7095,2200.3,-18935.38671875,1655000,331,2824.07
332,316.6681,145.2089,3226.93,-18534.09765625,1660000,332,2707.52
333,325.0932,141.6949,2801.41,-18792.224609375,1665000,333,2784.89
334,328.5478,157.4159,1983.03,-18449.763671875,1670000,334,2556.58
335,349.8119,240.8171,1724.57,-18294.6484375,1675000,335,2489.21
336,358.8432,217.532,1601.51,-18094.134765625,1680000,336,1782.22
337,348.9043,217.8107,2225.32,-17973.548828125,1685000,337,1785.3
338,377.493,241.2883,970.65,-17766.72265625,1690000,338,1186.66
339,364.2253,226.412,1166.59,-17904.45703125,1695000,339,1371.77
340,350.6283,218.6184,1094.21,-18262.33984375,1700000,340,1527.48
341,337.9038,195.5705,1214.36,-17630.361328125,1705000,341,1741.1
342,344.4483,211.1698,1071.69,-17861.8515625,1710000,342,1154.21
343,325.54,192.3996,1296.81,-18185.763671875,1715000,343,2217.64
344,312.6581,130.6629,3423.26,-18615.265625,1720000,344,3916.76
345,320.6979,159.131,4629.25,-18007.861328125,1725000,345,3679.44
346,320.1274,171.516,4365.66,-18071.525390625,1730000,346,3212.88
347,345.6716,200.1428,2471.85,-17359.755859375,1735000,347,2598.95
348,347.4745,207.5893,912.89,-18265.439453125,1740000,348,1022.63
349,327.0978,144.0476,3079.85,-18455.08203125,1745000,349,3966.2
350,328.2788,145.2312,3922.7,-19186.3671875,1750000,350,3918.43
351,337.9481,207.8937,3247.97,-18935.634765625,1755000,351,3649.66
352,334.7531,151.1065,4398.71,-19208.6953125,1760000,352,3799.86
353,344.0137,174.5394,3528.57,-19192.0,1765000,353,3530.83
354,382.7494,291.6042,822.81,-18529.484375,1770000,354,1006.81
355,358.4271,240.6501,1804.88,-18444.025390625,1775000,355,2453.65
356,336.1781,172.412,2001.85,-19393.533203125,1780000,356,2977.32
357,338.7668,172.0146,2290.61,-19160.015625,1785000,357,3592.34
358,361.9677,266.0439,1391.5,-18748.009765625,1790000,358,1332.19
359,353.024,232.0026,606.83,-18968.501953125,1795000,359,1862.04
360,353.8463,238.1768,2884.92,-18735.1953125,1800000,360,2635.21
361,372.354,253.7581,651.52,-18255.265625,1805000,361,920.99
362,383.7062,280.51,1068.07,-18717.1875,1810000,362,1017.36
363,367.2861,231.7882,1174.82,-17573.705078125,1815000,363,1083.68
364,379.5874,234.134,704.29,-17718.62890625,1820000,364,1199.38
365,424.3354,275.9663,518.08,-17923.0078125,1825000,365,532.07
366,343.5409,167.23,1325.01,-19166.37890625,1830000,366,2118.84
367,339.9151,171.2305,2328.46,-18857.568359375,1835000,367,2995.69
368,325.9453,150.7669,4834.56,-19296.337890625,1840000,368,4725.22
369,345.3234,183.1455,4772.07,-19017.890625,1845000,369,4131.17
370,357.8851,207.2119,3027.72,-18709.20703125,1850000,370,2376.82
371,340.7073,170.6837,3135.21,-18904.013671875,1855000,371,3414.07
372,355.0415,214.8043,2788.2,-18802.078125,1860000,372,2530.18
373,379.2645,244.2894,2151.82,-18916.140625,1865000,373,2556.17
374,342.9258,209.452,3293.54,-18217.978515625,1870000,374,2584.82
375,347.3174,216.1806,1366.6,-19062.943359375,1875000,375,2048.96
376,345.4909,205.4615,2969.69,-18717.404296875,1880000,376,2787.62
377,329.4754,159.4591,5145.3,-18961.927734375,1885000,377,4248.41
378,331.1905,161.8211,5017.2,-18788.978515625,1890000,378,4327.4
379,347.5591,177.7525,4617.35,-19026.796875,1895000,379,4988.86
380,327.4864,162.1945,4777.25,-18985.787109375,1900000,380,4600.97
381,344.4623,164.0354,4482.07,-18789.173828125,1905000,381,4747.27
382,335.1571,178.5897,5133.92,-18917.908203125,1910000,382,5163.66
383,337.9514,148.072,5136.92,-19232.453125,1915000,383,4854.46
384,327.1462,156.6209,4915.61,-19273.498046875,1920000,384,4910.93
385,341.5936,171.1365,5075.34,-19349.263671875,1925000,385,5070.21
386,334.3736,174.0709,5150.58,-19248.78515625,1930000,386,4285.9
387,329.3367,169.2358,4615.27,-19081.703125,1935000,387,5153.72
388,349.7532,225.37,3841.96,-19245.701171875,1940000,388,4342.0
389,356.9666,301.7998,3526.58,-19242.095703125,1945000,389,3002.5
390,369.099,322.4274,3848.02,-19264.69921875,1950000,390,4202.18
391,352.7628,281.0707,4595.76,-19204.599609375,1955000,391,5094.31
392,371.69,446.8684,2034.53,-19202.201171875,1960000,392,3184.83
393,372.3334,580.3976,2882.63,-19292.98046875,1965000,393,2615.75
394,383.691,650.0015,869.22,-19535.17578125,1970000,394,1284.59
