Running Forward KL,Running Env Steps,Itration,Running Update Time,Real Sto Return,Running Reverse KL,Reward Loss,Real Det Return
36.4521,725000,145,145,115.4,29.1218,-6476.40283203125,135.51
31.8366,730000,146,146,219.4,39.4015,-5648.06982421875,232.62
38.5499,735000,147,147,970.66,55.7087,-7426.0595703125,970.55
37.8034,740000,148,148,980.08,50.4008,-7404.7021484375,980.45
38.2461,745000,149,149,990.3,37.625,-7480.70166015625,990.34
39.5841,750000,150,150,1000.31,43.6277,-7593.71826171875,1000.98
32.4822,755000,151,151,241.29,53.7901,-6892.83154296875,315.64
39.5165,760000,152,152,984.1,62.638,-7662.142578125,984.88
33.9915,765000,153,153,246.87,22.8949,-6843.22021484375,247.63
34.7641,770000,154,154,212.24,54.2014,-6522.142578125,212.58
36.8144,775000,155,155,1018.41,29.2737,-7725.671875,1017.81
35.6343,780000,156,156,1037.59,38.9166,-7620.607421875,1037.98
35.2832,785000,157,157,1033.36,41.9026,-7800.45166015625,1033.93
34.5624,790000,158,158,1028.17,26.1688,-7570.14990234375,1018.97
39.5712,795000,159,159,1001.3,44.0674,-8067.81591796875,1000.53
40.3152,800000,160,160,995.43,43.9508,-8174.04443359375,996.12
40.6064,805000,161,161,993.88,47.9536,-8252.265625,993.97
40.5428,810000,162,162,995.49,35.518,-8303.6142578125,994.11
38.0971,815000,163,163,1012.15,41.0142,-8263.982421875,1012.82
37.2167,820000,164,164,1029.27,37.4449,-8291.298828125,1029.21
36.6325,825000,165,165,996.24,29.8626,-8251.1923828125,1044.82
36.4456,830000,166,166,1025.36,26.4972,-8197.4912109375,1027.5
35.7185,835000,167,167,344.76,46.1165,-8746.4599609375,361.59
36.7947,840000,168,168,1020.16,28.9414,-8475.5771484375,1019.36
35.8779,845000,169,169,654.65,29.2508,-8863.767578125,1027.08
35.4616,850000,170,170,1015.69,38.7495,-8511.0498046875,1015.12
31.7491,855000,171,171,225.17,46.7962,-7433.36328125,219.63
31.5067,860000,172,172,218.38,57.0916,-7448.62548828125,211.09
35.9017,865000,173,173,1009.68,35.7201,-8968.533203125,1008.35
40.1797,870000,174,174,997.97,32.0823,-9192.0615234375,998.33
34.1869,875000,175,175,601.25,27.3495,-7151.716796875,646.05
35.2921,880000,176,176,153.0,37.2749,-8912.4130859375,154.63
37.343,885000,177,177,1024.33,36.0877,-9192.44140625,1024.02
36.4907,890000,178,178,1038.32,34.5312,-9133.1279296875,1038.23
34.5077,895000,179,179,1040.62,27.2892,-8989.1708984375,1038.65
35.3938,900000,180,180,1021.93,24.0054,-8903.0966796875,1027.73
36.9056,905000,181,181,1003.62,39.7478,-9490.1787109375,1005.47
36.9421,910000,182,182,1004.6,43.112,-9567.90234375,1002.86
36.1629,915000,183,183,1017.59,21.3883,-9247.0595703125,1014.01
32.1742,920000,184,184,232.54,36.7721,-7950.1865234375,194.62
34.6963,925000,185,185,1039.25,22.2672,-8597.78125,1025.84
38.2137,930000,186,186,996.09,26.2968,-9622.341796875,998.15
35.9043,935000,187,187,992.93,26.8598,-9862.69140625,995.78
31.6923,940000,188,188,763.34,22.3524,-7696.9169921875,811.45
35.7478,945000,189,189,233.71,24.5158,-9539.59765625,962.61
36.0907,950000,190,190,981.83,34.2477,-9884.546875,956.53
35.809,955000,191,191,1031.16,21.8508,-9462.76171875,1028.85
35.4329,960000,192,192,1013.06,18.7913,-9092.150390625,1007.52
35.6192,965000,193,193,997.92,18.3562,-9070.51953125,981.16
33.934,970000,194,194,1011.7,19.218,-9411.6123046875,1054.02
34.6286,975000,195,195,568.56,19.8141,-10002.0849609375,1035.34
31.3562,980000,196,196,332.61,32.2869,-9805.5791015625,333.32
33.2889,985000,197,197,444.4,64.2219,-9936.943359375,523.93
35.4573,990000,198,198,694.91,18.7338,-9878.7978515625,1001.02
35.583,995000,199,199,1035.08,18.382,-10265.5771484375,1027.01
