Running Env Steps,Reward Loss,Real Sto Return,Itration,Running Reverse KL,Running Forward KL,Running Update Time,Real Det Return
255000,-1317.1834716796875,931.95,51,21.9976,25.628,51,926.62
260000,-1124.840087890625,897.93,52,15.5718,25.9059,52,910.9
265000,-1365.841796875,961.42,53,16.4262,25.3615,53,945.3
270000,-1356.5775146484375,923.72,54,21.4816,25.502,54,942.64
275000,-1535.303955078125,926.98,55,32.7755,26.0831,55,944.87
280000,-1397.4808349609375,944.04,56,17.6197,26.2135,56,951.22
285000,-1591.0211181640625,925.13,57,27.5135,25.6763,57,965.14
290000,-1430.4730224609375,962.36,58,15.2165,25.0846,58,991.97
295000,-1504.09228515625,950.64,59,16.6743,25.7327,59,997.28
300000,-1462.816162109375,962.27,60,14.0567,26.1702,60,979.52
305000,-1830.90625,1001.08,61,33.9551,26.043,61,1005.75
310000,-1701.1766357421875,928.33,62,21.0193,25.587,62,979.63
315000,-1892.5718994140625,1027.03,63,37.4038,25.9348,63,1033.66
320000,-1957.87255859375,1021.17,64,27.5723,25.3848,64,1078.84
325000,-1937.5177001953125,1044.51,65,20.4614,25.3761,65,1073.27
330000,-1905.9791259765625,1036.18,66,21.8654,25.2211,66,1115.01
335000,-2213.63134765625,989.18,67,53.6737,25.5187,67,1057.25
340000,-1842.0634765625,1141.99,68,15.9658,25.0071,68,1185.36
345000,-2120.80517578125,1115.69,69,36.9281,25.2645,69,1116.25
350000,-2549.129638671875,1075.22,70,31.3014,26.2128,70,1106.73
355000,-2389.9384765625,1088.52,71,29.83,25.2026,71,1200.34
360000,-2629.34912109375,1050.24,72,48.6825,24.9604,72,1138.17
365000,-2653.08349609375,1137.5,73,54.5432,25.4137,73,1191.45
370000,-2273.619384765625,1124.57,74,24.5985,24.3436,74,1165.67
375000,-2658.424072265625,1192.69,75,31.1073,25.0104,75,1209.11
380000,-2652.8076171875,1204.85,76,27.9625,25.2721,76,1201.14
385000,-2233.927490234375,1262.74,77,21.0366,24.2686,77,1520.48
390000,-2220.423828125,1197.94,78,22.1588,25.323,78,1174.93
395000,-2150.27099609375,1172.84,79,17.0719,24.3239,79,1200.79
400000,-2809.797119140625,1239.51,80,48.8538,24.8973,80,1192.18
405000,-2739.823974609375,1103.51,81,29.8334,24.0653,81,1247.57
410000,-2366.4482421875,1513.9,82,13.6306,24.5302,82,3069.24
415000,-2452.8720703125,1158.3,83,13.9996,24.8317,83,1401.18
420000,-2788.100830078125,1134.59,84,15.7206,24.7497,84,1209.63
425000,-1492.9644775390625,1692.2,85,12.3542,23.1589,85,3073.59
430000,-2596.517578125,1203.14,86,15.4522,24.3502,86,1275.76
435000,-2424.3134765625,1560.24,87,22.1259,23.8125,87,3092.03
440000,-2971.804443359375,1108.92,88,41.5227,24.6317,88,1242.82
445000,-947.1484985351562,2546.13,89,13.164,23.1874,89,3089.88
450000,-2332.216796875,1481.22,90,14.5124,24.162,90,3142.57
455000,-1998.1829833984375,1716.92,91,12.1541,23.2739,91,2914.41
460000,-1679.4354248046875,1647.34,92,11.9341,23.2868,92,3186.0
465000,-1045.1060791015625,2111.79,93,13.4059,23.5466,93,3104.62
470000,-2234.802978515625,1901.57,94,13.5197,23.4762,94,3226.07
475000,-2149.7041015625,1673.4,95,12.6474,23.2081,95,3265.91
480000,-1433.7509765625,2295.19,96,11.9943,22.5302,96,3295.96
485000,-1875.11572265625,1978.69,97,15.5985,22.9649,97,3272.43
490000,-641.0015258789062,2789.96,98,14.7055,22.6836,98,3286.97
495000,-1284.253173828125,3140.67,99,12.0854,22.1181,99,3334.89
500000,-2702.229736328125,1945.08,100,16.0422,23.5589,100,3311.9
505000,-1768.446044921875,3008.52,101,12.9673,22.6972,101,3295.41
510000,-1974.711669921875,2395.59,102,27.9728,22.404,102,3322.08
515000,-2173.609130859375,1832.95,103,13.68,22.565,103,3379.41
520000,-678.9569702148438,2809.17,104,13.8771,21.6289,104,3327.24
525000,-2302.984130859375,2089.37,105,13.4397,23.5526,105,3326.92
530000,-2106.7861328125,1920.63,106,14.125,22.8638,106,3350.68
535000,-385.6142578125,3344.61,107,14.689,21.6234,107,3378.12
540000,-765.3436279296875,3139.04,108,15.1823,21.4718,108,3356.46
545000,-510.2514953613281,3260.77,109,14.5336,21.7315,109,3354.77
550000,-1142.0799560546875,3242.15,110,15.6294,21.8443,110,3365.84
555000,-672.4977416992188,3178.1,111,14.1835,21.7577,111,3391.9
560000,-3741.68115234375,1994.37,112,18.4234,23.3333,112,3377.98
565000,-688.6907348632812,3358.03,113,14.748,20.9902,113,3377.3
570000,-1074.650634765625,2996.52,114,15.0062,20.9425,114,3380.81
575000,-362.64947509765625,3351.6,115,13.9334,20.5394,115,3362.09
580000,-1107.3580322265625,3169.41,116,16.0999,20.6855,116,3415.42
585000,-375.9190979003906,3398.48,117,14.3678,20.302,117,3416.39
590000,-381.8660583496094,3289.92,118,14.2235,20.954,118,3418.81
595000,-351.56488037109375,3253.33,119,13.6747,19.7064,119,3367.04
600000,-368.4821472167969,3058.86,120,14.2235,20.3533,120,3396.35
605000,-343.106201171875,3379.79,121,13.4858,19.6331,121,3384.71
610000,-408.5254211425781,3185.55,122,13.6524,20.3825,122,3380.17
615000,-460.701416015625,3298.47,123,13.7202,19.8145,123,3389.01
620000,-367.8943786621094,3369.9,124,13.4158,19.4438,124,3383.3
625000,-405.3888854980469,3384.19,125,13.7834,19.9737,125,3403.95
630000,-367.0481262207031,3385.54,126,14.0453,20.2632,126,3410.57
635000,-378.8526916503906,3236.21,127,14.2749,20.4361,127,3409.22
640000,-359.7541198730469,3390.41,128,13.4587,19.1796,128,3405.44
645000,-400.14056396484375,3374.67,129,13.5735,19.3161,129,3402.75
650000,-422.2912292480469,3390.01,130,14.1354,20.1538,130,3404.53
655000,-396.6142578125,3389.53,131,13.527,19.147,131,3406.24
660000,-393.7236022949219,3334.14,132,13.2979,19.0953,132,3385.37
665000,-457.758544921875,3226.35,133,13.457,20.0851,133,3413.26
670000,-966.7063598632812,3210.85,134,13.6801,19.5677,134,3423.11
675000,-448.60699462890625,3239.1,135,12.9555,19.0926,135,3413.64
680000,-466.0111999511719,3086.41,136,13.2673,19.7591,136,3418.29
685000,-427.2567138671875,3379.95,137,13.1906,19.3044,137,3410.85
690000,-420.32000732421875,3421.67,138,13.6463,19.6328,138,3433.38
695000,-451.0564880371094,3408.83,139,13.5918,19.5811,139,3417.33
700000,-666.1802368164062,3200.66,140,13.3202,19.8204,140,3430.86
