Real Det Return,Itration,Real Sto Return,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss,Running Forward KL
3305.09,43,3279.59,43,215000,12.5766,-72.3086929321289,25.4361
3315.15,44,2719.39,44,220000,14.57,-107.87062072753906,26.4354
3287.0,45,3305.26,45,225000,14.3027,-71.62165832519531,26.2583
3384.55,46,3220.86,46,230000,12.2933,-75.12602233886719,25.2903
3417.23,47,2941.99,47,235000,13.3762,-93.51888275146484,26.3084
3377.21,48,2256.9,48,240000,14.227,-142.56243896484375,26.8339
3312.7,49,3300.44,49,245000,13.4809,-88.40987396240234,25.3685
3317.03,50,2856.43,50,250000,12.8959,-84.18250274658203,25.2354
3399.48,51,2888.94,51,255000,12.7816,-77.37484741210938,25.0356
3336.07,52,3256.88,52,260000,13.5649,-86.61457824707031,25.8303
3419.44,53,2382.32,53,265000,17.0572,-194.61708068847656,25.7144
3369.35,54,3378.97,54,270000,13.1939,-80.79534912109375,24.7299
3343.98,55,3363.54,55,275000,12.939,-86.55509185791016,24.6991
3424.44,56,3215.41,56,280000,12.5831,-95.2323989868164,24.2548
3426.07,57,3323.9,57,285000,12.5713,-81.87159729003906,24.9025
3399.55,58,2886.96,58,290000,14.0479,-146.61717224121094,25.7396
3192.54,59,1911.56,59,295000,22.8052,-239.99940490722656,26.0371
3386.68,60,3250.48,60,300000,12.186,-99.31126403808594,25.1594
3388.09,61,3377.32,61,305000,12.6768,-88.01358795166016,24.9097
3345.2,62,3349.79,62,310000,13.5909,-98.81707763671875,25.9853
3448.34,63,3296.78,63,315000,11.8011,-84.01966094970703,23.8879
3412.73,64,3319.14,64,320000,12.9606,-122.94927215576172,25.8407
3376.48,65,3341.6,65,325000,11.223,-91.2128677368164,23.9916
3432.73,66,2826.66,66,330000,19.96,-175.94549560546875,26.2085
3439.39,67,2755.74,67,335000,12.2974,-114.36035919189453,25.3504
3399.7,68,3019.57,68,340000,17.1697,-155.2417755126953,25.6399
3358.67,69,2090.08,69,345000,17.1396,-214.7594757080078,26.8477
3465.28,70,2096.65,70,350000,18.1418,-214.1411590576172,27.3183
3426.35,71,3122.6,71,355000,13.0246,-127.90292358398438,25.4063
3387.07,72,3367.76,72,360000,12.5689,-101.82610321044922,24.8999
3384.85,73,3184.23,73,365000,13.4018,-115.73419189453125,24.9557
3373.37,74,3171.82,74,370000,11.6579,-97.60037231445312,24.3813
3442.31,75,3022.8,75,375000,11.2853,-92.06807708740234,24.3569
3361.74,76,3158.04,76,380000,16.5137,-133.06057739257812,24.8051
3418.21,77,3300.66,77,385000,12.1161,-105.1538314819336,24.2876
3431.99,78,3078.69,78,390000,16.6783,-132.0894012451172,24.8583
3416.46,79,3406.65,79,395000,13.3154,-135.8864288330078,24.8251
3425.03,80,2359.76,80,400000,13.696,-190.97964477539062,25.7861
3439.99,81,2332.19,81,405000,14.4771,-244.0196533203125,25.7898
61.03,82,800.99,82,410000,14.851,-261.6918029785156,25.7833
3477.08,83,3350.45,83,415000,10.1429,-80.1489028930664,23.1953
3379.9,84,3143.87,84,420000,19.4488,-172.899658203125,23.5321
3430.41,85,2933.5,85,425000,15.0272,-172.4299774169922,24.6595
3439.07,86,2242.86,86,430000,26.4759,-229.19654846191406,25.9011
3474.7,87,2763.35,87,435000,15.9891,-157.72113037109375,25.0711
2930.41,88,2071.08,88,440000,17.9418,-297.5989685058594,26.501
3368.14,89,2635.26,89,445000,22.1557,-251.16551208496094,25.8135
3389.53,90,3012.11,90,450000,15.073,-163.53025817871094,24.0845
3398.35,91,2991.1,91,455000,11.8268,-166.15382385253906,24.1846
3440.64,92,2899.37,92,460000,25.2658,-237.35179138183594,25.655
3406.72,93,2807.17,93,465000,31.4245,-313.701171875,24.6053
3246.17,94,1804.02,94,470000,38.9046,-423.7482604980469,27.3155
3418.5,95,3065.0,95,475000,22.7251,-234.94607543945312,25.1721
2809.96,96,1540.37,96,480000,59.1696,-487.7357177734375,29.4992
2654.77,97,2316.98,97,485000,29.6342,-402.78240966796875,25.8206
3442.97,98,3412.25,98,490000,10.7498,-144.63597106933594,23.2169
3437.24,99,3176.5,99,495000,22.9154,-222.48333740234375,24.1905
3449.05,100,3099.12,100,500000,12.5586,-134.3359375,24.0908
3401.12,101,2996.33,101,505000,30.8706,-311.2515869140625,24.7479
3457.42,102,2743.15,102,510000,36.034,-379.7913818359375,26.2391
3423.53,103,2502.36,103,515000,20.4341,-245.60427856445312,25.6876
3351.81,104,3164.38,104,520000,17.1864,-177.01849365234375,24.4429
3427.52,105,3215.75,105,525000,14.4189,-162.81005859375,24.0052
3459.98,106,2046.32,106,530000,43.3049,-348.5239562988281,26.0601
3406.51,107,3346.22,107,535000,14.5142,-178.1764678955078,23.6003
3411.61,108,3346.51,108,540000,11.1967,-129.47586059570312,23.4191
3359.02,109,3124.96,109,545000,11.7367,-150.90023803710938,23.9178
3390.74,110,3108.1,110,550000,23.8359,-263.1325988769531,24.6273
3403.42,111,3360.36,111,555000,10.5162,-133.3202667236328,23.0637
3400.09,112,3276.83,112,560000,12.7548,-172.81031799316406,23.4375
3382.62,113,3266.82,113,565000,13.3693,-141.78395080566406,25.406
3431.25,114,2993.11,114,570000,21.7386,-216.3900146484375,23.9137
3141.26,115,3110.76,115,575000,11.2345,-177.59666442871094,25.0724
42.58,116,36.21,116,580000,14.9755,-275.1715393066406,27.3269
3334.02,117,2668.96,117,585000,23.6396,-353.9058532714844,26.3281
3400.03,118,2689.21,118,590000,21.8237,-247.5696258544922,24.7718
3207.17,119,2294.73,119,595000,32.8356,-448.55206298828125,26.1604
54.18,120,56.94,120,600000,18.6139,-306.5896911621094,24.891
3381.06,121,2657.26,121,605000,21.2271,-270.10418701171875,25.4102
3356.21,122,2932.78,122,610000,18.1131,-245.47198486328125,23.9394
3440.44,123,2757.61,123,615000,28.3968,-322.11444091796875,24.2016
3499.07,124,1939.23,124,620000,48.0197,-500.6728820800781,26.6323
3343.04,125,2387.28,125,625000,56.9287,-514.2145385742188,26.4172
119.16,126,1595.12,126,630000,44.9101,-512.5184326171875,24.9826
3500.25,127,3080.94,127,635000,17.3534,-195.07435607910156,24.3618
3434.45,128,2009.85,128,640000,51.529,-560.0174560546875,26.2032
3437.06,129,2226.88,129,645000,25.9606,-494.8211669921875,26.2513
3407.31,130,3230.37,130,650000,10.8836,-165.75669860839844,22.6842
3468.87,131,3255.31,131,655000,21.6577,-281.00836181640625,24.3279
3383.45,132,3101.14,132,660000,28.676,-375.45465087890625,26.0481
3442.04,133,3121.91,133,665000,12.672,-160.83055114746094,23.585
3414.3,134,3148.9,134,670000,18.7792,-310.5917663574219,25.3602
3428.03,135,2488.05,135,675000,21.9618,-383.2681579589844,25.6514
3445.0,136,3332.39,136,680000,15.6493,-187.65289306640625,22.9264
3443.38,137,3230.89,137,685000,20.2845,-282.03912353515625,23.653
3448.56,138,3089.53,138,690000,18.8399,-267.663330078125,24.1854
3462.68,139,2811.95,139,695000,21.3421,-320.68255615234375,23.8527
3402.33,140,3311.12,140,700000,12.4424,-203.84938049316406,23.5889
3445.25,141,3276.99,141,705000,17.2754,-230.50474548339844,24.8181
3432.57,142,3271.15,142,710000,26.4278,-383.2259826660156,24.6192
3463.64,143,2429.39,143,715000,37.5741,-455.5090026855469,26.1283
3420.71,144,3432.76,144,720000,13.1434,-186.95396423339844,23.0332
3449.11,145,2704.83,145,725000,20.9101,-297.8887939453125,26.2853
3420.55,146,3341.38,146,730000,11.8683,-161.38363647460938,23.6869
3460.73,147,3168.54,147,735000,22.0908,-348.4689636230469,23.457
3413.87,148,3309.58,148,740000,10.9539,-160.61692810058594,22.5172
3383.86,149,3365.89,149,745000,10.4431,-158.4903564453125,23.006
3401.1,150,3020.42,150,750000,19.7284,-296.2528076171875,24.2573
2686.44,151,2331.53,151,755000,23.2869,-369.28045654296875,25.6001
3459.74,152,2318.41,152,760000,19.8824,-346.82562255859375,25.5875
3451.16,153,2878.81,153,765000,19.9383,-320.35107421875,23.9508
3455.15,154,3358.65,154,770000,21.8982,-392.60638427734375,23.9278
3478.3,155,3089.32,155,775000,23.3714,-508.3675537109375,26.1973
3441.17,156,3241.97,156,780000,20.468,-387.8182373046875,24.3862
3413.9,157,2828.55,157,785000,21.3516,-368.3664855957031,24.2728
3428.91,158,3221.47,158,790000,13.0478,-230.6858367919922,24.4809
3426.8,159,2724.31,159,795000,30.9462,-426.9250183105469,25.2235
3433.76,160,2726.51,160,800000,27.6079,-456.0401611328125,25.4794
3442.16,161,2461.2,161,805000,28.4563,-456.3001403808594,25.0328
3189.0,162,2595.84,162,810000,19.4438,-431.2118225097656,24.931
2821.91,163,2152.44,163,815000,35.3603,-738.9169311523438,26.0611
3490.55,164,3140.29,164,820000,23.5436,-460.32586669921875,24.5233
3499.95,165,3025.56,165,825000,18.7908,-384.3172302246094,25.5053
3535.34,166,2680.96,166,830000,17.0002,-398.3262023925781,26.4973
3456.28,167,3386.31,167,835000,11.0812,-195.02127075195312,23.8042
3493.84,168,2666.77,168,840000,23.9375,-479.0442199707031,25.7249
3482.98,169,2757.83,169,845000,29.849,-612.6995239257812,25.4588
3441.3,170,2142.47,170,850000,29.363,-676.355712890625,25.853
3507.18,171,2083.9,171,855000,33.4128,-827.9866943359375,26.1215
3454.79,172,2553.07,172,860000,32.4206,-686.8699951171875,25.0818
3465.95,173,2982.24,173,865000,15.71,-398.7629699707031,24.7711
3467.02,174,3123.76,174,870000,16.518,-316.5439453125,24.2094
3469.58,175,3152.86,175,875000,18.4094,-351.833984375,23.9469
3431.7,176,3368.93,176,880000,15.9663,-285.8104248046875,23.7823
3450.97,177,2371.36,177,885000,31.3006,-637.5889282226562,24.7067
3456.88,178,3363.23,178,890000,12.4485,-180.52923583984375,24.0839
3419.3,179,2279.21,179,895000,27.1415,-637.0723266601562,25.7552
3434.45,180,3413.11,180,900000,11.5222,-193.2875518798828,22.5219
3434.9,181,3376.64,181,905000,12.8134,-253.0996856689453,24.8544
3451.13,182,2941.3,182,910000,16.0929,-439.52825927734375,25.78
3392.23,183,3241.08,183,915000,11.7279,-267.0050964355469,23.4105
3411.04,184,3004.76,184,920000,18.3578,-453.5269775390625,23.9382
3476.52,185,3129.31,185,925000,15.4783,-304.4373474121094,23.3954
3464.47,186,3213.59,186,930000,18.1462,-450.8878173828125,24.9376
3413.5,187,3055.98,187,935000,23.4505,-451.51715087890625,24.7455
3486.98,188,3227.6,188,940000,18.9453,-415.677490234375,24.4353
3442.97,189,3080.38,189,945000,13.5542,-271.8771667480469,24.3265
3477.55,190,2542.33,190,950000,19.1691,-533.9564208984375,24.4093
3441.67,191,3194.36,191,955000,13.3237,-298.00177001953125,23.6524
3487.29,192,2405.02,192,960000,28.3555,-619.9429931640625,25.8448
3421.12,193,2861.35,193,965000,16.4532,-468.1919250488281,24.502
2563.7,194,2509.8,194,970000,41.7178,-775.2086181640625,25.2997
3469.01,195,2847.77,195,975000,15.8969,-441.9647521972656,22.5104
3489.2,196,3334.27,196,980000,11.4877,-219.63113403320312,23.1019
3431.23,197,2536.67,197,985000,20.6982,-476.1300048828125,23.9487
3445.52,198,3247.42,198,990000,15.8107,-335.88604736328125,23.7435
3484.57,199,3100.29,199,995000,12.4875,-274.8785095214844,23.7173
