Running Forward KL,Real Det Return,Reward Loss,Running Reverse KL,Running Update Time,Itration,Running Env Steps,Real Sto Return
327.0039,1161.45,-5959.01123046875,270.0248,30,30,150000,1003.61
351.017,902.32,-7799.267578125,326.457,31,31,155000,854.93
343.2897,930.22,-6459.15478515625,277.3385,32,32,160000,1131.13
338.6098,813.94,-5622.45654296875,245.3972,33,33,165000,938.15
344.9306,1103.37,-6367.80615234375,246.2256,34,34,170000,964.0
323.5034,1087.83,-5642.986328125,218.3488,35,35,175000,1309.41
319.0025,1259.85,-6326.701171875,240.5653,36,36,180000,1107.59
326.8331,1475.67,-6563.7607421875,251.012,37,37,185000,1825.35
325.5566,976.03,-5944.21875,259.7725,38,38,190000,1125.57
306.1931,1020.64,-6707.837890625,246.7399,39,39,195000,1463.91
324.9174,1002.16,-6896.51220703125,247.3796,40,40,200000,1361.34
309.0787,1603.5,-5678.07763671875,179.6765,41,41,205000,1924.53
308.8002,939.05,-6334.6630859375,208.2669,42,42,210000,1423.38
315.7583,645.3,-7646.9384765625,269.9696,43,43,215000,1390.91
332.5621,917.35,-8152.2529296875,284.6872,44,44,220000,2070.13
317.1353,1162.68,-6584.69189453125,239.7034,45,45,225000,1320.27
297.7299,1177.77,-4564.06396484375,152.6865,46,46,230000,2586.5
316.3843,2622.78,-6400.30029296875,197.7242,47,47,235000,1927.95
302.3152,2564.67,-4218.982421875,147.1911,48,48,240000,3212.78
330.2387,1854.53,-6680.705078125,206.3551,49,49,245000,2796.45
306.4773,1835.32,-8192.640625,228.7952,50,50,250000,1659.01
302.0885,2987.13,-5465.83251953125,163.9134,51,51,255000,3585.46
310.7784,1515.35,-6844.33056640625,196.7645,52,52,260000,3236.15
308.4974,2389.16,-5330.63427734375,168.2743,53,53,265000,4084.54
296.3129,1307.53,-2420.88037109375,105.7149,54,54,270000,3681.13
292.3696,910.7,-5319.6484375,167.0823,55,55,275000,2648.04
308.7612,2048.84,-5281.80126953125,158.3429,56,56,280000,3733.92
302.338,1131.8,-7544.43408203125,211.6751,57,57,285000,3125.34
301.3662,643.25,-4195.990234375,126.6519,58,58,290000,3199.44
289.0036,1109.71,-4882.84228515625,141.1237,59,59,295000,3168.9
298.9071,610.44,-4684.5830078125,133.7143,60,60,300000,3188.93
302.5504,2084.47,-3962.1015625,129.8691,61,61,305000,3944.87
290.2121,652.66,-6791.16064453125,201.5458,62,62,310000,3532.55
302.8212,810.77,-7473.79931640625,202.8602,63,63,315000,2127.5
303.6802,3198.5,-4795.20947265625,131.5604,64,64,320000,3635.08
317.3605,1540.49,-6056.25537109375,163.3231,65,65,325000,3811.62
278.1969,698.09,-5360.48486328125,143.8101,66,66,330000,3803.63
298.1302,4583.41,-4772.76123046875,130.8476,67,67,335000,4620.54
293.1562,763.44,-4758.42529296875,140.1539,68,68,340000,4161.79
301.4543,1465.58,-6802.03173828125,186.8979,69,69,345000,3219.28
284.6704,621.13,-6282.57470703125,191.8674,70,70,350000,2115.5
302.736,688.78,-10613.4775390625,343.7456,71,71,355000,1829.71
310.4722,1341.42,-7290.8076171875,188.7756,72,72,360000,3565.67
283.445,881.66,-5456.015625,135.0925,73,73,365000,2912.35
296.4939,880.26,-4704.65087890625,108.4695,74,74,370000,3614.28
289.6869,784.11,-6302.68359375,167.0647,75,75,375000,4040.08
282.6021,705.77,-5562.693359375,134.4518,76,76,380000,3144.83
305.1753,1989.5,-6935.59814453125,161.4362,77,77,385000,3664.42
289.9413,573.5,-9434.638671875,244.3056,78,78,390000,3260.9
292.736,1686.39,-8670.9169921875,218.3524,79,79,395000,3743.25
308.5492,2314.93,-10029.685546875,247.7605,80,80,400000,3661.14
294.4044,2359.87,-7232.99951171875,141.4581,81,81,405000,3290.16
309.5208,3412.78,-9155.912109375,203.2466,82,82,410000,2946.15
293.6096,2725.45,-8595.4228515625,191.9723,83,83,415000,3875.93
287.9139,685.04,-7241.82666015625,144.4367,84,84,420000,3647.5
326.265,692.08,-12401.3388671875,321.6885,85,85,425000,1221.85
289.4996,898.87,-7046.01708984375,147.4354,86,86,430000,2925.2
285.5219,1234.44,-6258.99609375,122.44,87,87,435000,3650.87
303.2925,1327.5,-7507.5263671875,148.4355,88,88,440000,3102.92
279.6778,1142.48,-5780.17578125,116.2538,89,89,445000,4190.94
307.4801,789.27,-7416.63037109375,148.3317,90,90,450000,4230.94
300.3715,618.5,-9403.162109375,204.7796,91,91,455000,3466.31
289.7659,2476.07,-6528.25048828125,119.9076,92,92,460000,4534.68
293.5025,2888.04,-6725.60302734375,128.6756,93,93,465000,4880.91
281.7383,1777.69,-5884.82568359375,95.4828,94,94,470000,4196.91
283.2587,2669.48,-7313.12646484375,134.467,95,95,475000,4181.14
302.6132,4920.81,-7964.37353515625,142.5436,96,96,480000,4490.45
287.0119,4461.87,-6245.41650390625,98.2684,97,97,485000,4993.12
291.9053,1502.34,-7224.900390625,113.9461,98,98,490000,4328.34
296.4109,2577.73,-8126.333984375,145.733,99,99,495000,4242.97
303.9723,3505.12,-8277.4404296875,123.0918,100,100,500000,3919.24
291.7215,3960.07,-7500.62548828125,111.4444,101,101,505000,4289.6
290.9703,5089.47,-7300.8212890625,98.0981,102,102,510000,5005.82
294.9816,2029.79,-7497.79345703125,105.7481,103,103,515000,4680.36
294.7382,4736.89,-7770.9111328125,106.9447,104,104,520000,4800.86
295.0086,4296.45,-8579.7158203125,124.9178,105,105,525000,4784.87
294.6172,852.7,-9048.5869140625,128.4876,106,106,530000,4527.32
294.7908,3341.19,-8633.4375,117.7548,107,107,535000,4583.55
297.0799,4648.28,-8812.41015625,110.6216,108,108,540000,4541.16
303.5728,4944.59,-9695.8095703125,140.3595,109,109,545000,4685.8
293.3085,5053.17,-8925.4267578125,98.5392,110,110,550000,4553.31
294.5134,5118.05,-9111.029296875,98.681,111,111,555000,4958.1
301.9454,3531.11,-9384.1357421875,105.9799,112,112,560000,4377.37
290.9405,1706.98,-9233.1640625,112.9217,113,113,565000,4999.02
275.9181,5095.78,-9176.1708984375,82.4313,114,114,570000,4723.14
290.1329,4943.45,-9516.681640625,106.6922,115,115,575000,4660.92
285.6874,4923.45,-9568.2822265625,110.8675,116,116,580000,4399.64
278.0386,4796.7,-9917.951171875,102.9393,117,117,585000,4971.28
285.0377,1977.85,-9955.072265625,94.1603,118,118,590000,4386.38
292.7004,3625.22,-10633.5185546875,133.5359,119,119,595000,4339.93
279.4034,5196.74,-10477.2548828125,82.8012,120,120,600000,4509.93
287.5886,5070.28,-10695.310546875,88.755,121,121,605000,4714.06
285.5987,5118.78,-10477.546875,97.8638,122,122,610000,4893.76
291.7798,3943.53,-12069.24609375,148.9002,123,123,615000,3759.31
284.664,5045.31,-10571.228515625,89.943,124,124,620000,4623.2
307.3011,2503.78,-12621.9638671875,217.4674,125,125,625000,4312.99
288.5455,5029.64,-11873.70703125,91.5453,126,126,630000,4657.02
280.7802,4127.48,-11083.408203125,91.3677,127,127,635000,3927.72
282.3993,5064.9,-10877.857421875,87.6155,128,128,640000,5023.9
290.3267,4217.36,-11724.931640625,94.0187,129,129,645000,4699.6
289.2073,4878.99,-11643.056640625,91.652,130,130,650000,4698.37
282.1575,5108.34,-12298.9697265625,82.4562,131,131,655000,4224.43
286.6367,4690.33,-12250.140625,110.4506,132,132,660000,4904.93
274.5364,4678.05,-12041.0927734375,79.6345,133,133,665000,4561.5
284.1441,4463.54,-12688.158203125,102.8121,134,134,670000,4495.57
280.8527,5103.69,-12245.3896484375,80.2445,135,135,675000,4871.44
292.043,5050.97,-12959.185546875,94.1542,136,136,680000,4796.95
286.6998,5011.0,-12641.697265625,91.8508,137,137,685000,4779.96
283.5007,5133.39,-13024.306640625,82.9421,138,138,690000,4874.32
287.3108,4829.59,-12568.9453125,92.806,139,139,695000,4690.62
291.7442,3990.49,-13302.40234375,100.2049,140,140,700000,3932.32
287.6129,3424.84,-13816.4150390625,95.1116,141,141,705000,4840.85
293.8834,4403.47,-13864.6201171875,111.19,142,142,710000,4608.29
289.1192,1422.76,-13667.068359375,116.0179,143,143,715000,3119.41
288.5832,3551.52,-13957.814453125,96.27,144,144,720000,4607.01
291.9941,3591.34,-14512.82421875,96.1218,145,145,725000,4613.2
290.8653,2383.69,-14196.572265625,108.7461,146,146,730000,4623.63
296.9342,2565.83,-14470.0498046875,115.614,147,147,735000,3552.27
298.4272,3808.55,-14932.9912109375,104.1082,148,148,740000,4652.63
301.6905,3273.77,-15182.2607421875,125.0655,149,149,745000,3513.73
297.7157,4453.34,-14544.9111328125,107.4294,150,150,750000,4995.28
296.3034,4614.71,-14748.541015625,101.4751,151,151,755000,4142.5
294.4597,4652.66,-14916.38671875,107.4641,152,152,760000,4123.93
290.8988,4454.54,-14762.18359375,104.3212,153,153,765000,4665.66
289.3184,4924.17,-14916.51953125,97.152,154,154,770000,4754.92
295.9646,3172.85,-15277.0478515625,96.51,155,155,775000,3496.62
294.3301,3932.7,-15072.42578125,97.7646,156,156,780000,4877.39
309.0711,3002.11,-15619.833984375,205.1448,157,157,785000,3559.6
294.4276,4029.0,-14927.822265625,124.4089,158,158,790000,4186.8
296.842,4242.57,-15259.9716796875,100.7972,159,159,795000,4311.31
294.2278,4808.35,-15443.8359375,122.2929,160,160,800000,4849.08
292.1443,4994.8,-15016.6572265625,90.1082,161,161,805000,4606.04
293.5348,3461.07,-15394.525390625,121.2878,162,162,810000,4079.55
292.4184,4987.65,-15489.71875,98.2741,163,163,815000,4536.48
295.6659,4891.4,-15685.1240234375,109.6326,164,164,820000,4785.1
289.544,5089.62,-15555.0,97.2582,165,165,825000,5015.15
294.3165,3179.84,-16014.716796875,146.7469,166,166,830000,4279.06
301.0289,2928.6,-16145.2119140625,133.9684,167,167,835000,4089.24
293.1341,5086.72,-15750.7900390625,91.9219,168,168,840000,4793.85
291.9608,4358.88,-15573.140625,105.7068,169,169,845000,4491.13
285.1461,4892.67,-15563.0078125,83.1036,170,170,850000,4244.23
297.9658,4490.57,-16020.650390625,115.648,171,171,855000,4816.86
289.3326,5144.97,-15799.1083984375,91.1951,172,172,860000,5037.04
287.587,4381.43,-15814.0048828125,101.4835,173,173,865000,4941.53
289.0342,4823.97,-15888.765625,90.3727,174,174,870000,4780.03
288.4526,4198.48,-16077.80078125,87.1177,175,175,875000,4772.85
288.5039,4916.89,-15701.423828125,92.5334,176,176,880000,4957.89
284.7159,3560.62,-15772.9169921875,92.8355,177,177,885000,5043.72
283.1456,4936.84,-15599.0703125,83.4803,178,178,890000,4401.84
293.8731,4828.25,-16035.146484375,94.1714,179,179,895000,4734.07
294.1936,2908.23,-16303.123046875,158.2791,180,180,900000,4177.77
284.3557,4946.63,-16265.9150390625,85.702,181,181,905000,4794.84
289.8754,4459.86,-16154.3369140625,91.5312,182,182,910000,4416.38
285.2809,4830.53,-16038.9267578125,101.4657,183,183,915000,5065.04
389.3907,550.9,-16444.755859375,291.2163,184,184,920000,460.33
336.1229,987.61,-16596.84375,204.0018,185,185,925000,2411.92
307.813,2324.67,-15123.953125,157.645,186,186,930000,3641.35
310.7611,5110.45,-15883.220703125,109.7852,187,187,935000,4968.66
303.864,3247.58,-16031.748046875,120.6389,188,188,940000,4882.45
300.1432,1553.53,-15927.865234375,109.7133,189,189,945000,3514.32
299.8635,5085.27,-16714.396484375,129.6535,190,190,950000,5004.94
295.6032,4445.57,-16533.0234375,103.0739,191,191,955000,4773.39
289.3125,5088.47,-16581.458984375,96.7866,192,192,960000,5047.19
295.5759,5133.71,-17031.41796875,122.0863,193,193,965000,4708.68
285.9431,5043.63,-16324.0107421875,84.835,194,194,970000,4927.28
293.5148,5085.98,-16748.779296875,95.533,195,195,975000,4919.63
292.1347,5060.22,-16637.150390625,92.3298,196,196,980000,4702.25
287.9823,5146.94,-16765.4921875,92.6151,197,197,985000,5061.85
293.3524,4981.97,-16880.798828125,99.4716,198,198,990000,5038.87
