Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Real Det Return
35.9784,266,57.1558,4185.48,5215.22
34.095,267,56.724,3593.38,4366.55
33.3872,268,57.0606,3820.66,4906.76
41.5497,269,58.0252,4201.16,4862.91
35.3334,270,56.8793,3819.95,5436.89
38.1238,271,57.619,4380.36,4590.32
36.2759,272,57.0163,4101.78,4731.06
35.387,273,57.1511,2561.47,4531.8
32.7619,274,56.0539,4250.58,4683.02
36.0582,275,56.7798,4454.98,5112.93
39.1567,276,57.0635,4231.33,4979.76
34.9591,277,55.9737,4715.32,4996.23
39.518,278,58.766,4456.09,5142.85
38.092,279,57.649,4312.65,5144.25
39.7502,280,58.1538,4518.89,5064.91
37.5679,281,57.6038,4058.06,4527.37
39.8679,282,58.6691,3930.41,4456.99
38.7639,283,57.591,4499.45,5121.2
35.0902,284,56.9982,3748.6,4387.7
37.5439,285,57.0885,3426.27,4681.82
36.9659,286,57.074,4821.07,5258.39
35.1299,287,56.3363,4782.96,5248.96
39.6734,288,57.4433,4702.83,5216.54
30.2194,289,55.3623,5010.57,5514.45
34.2042,290,57.1333,4472.5,5035.07
36.3197,291,57.245,4631.34,5254.67
34.5885,292,56.0941,4342.12,5099.12
37.6484,293,57.6406,4558.67,5557.4
39.9589,294,59.3774,4167.83,5165.06
42.3437,295,59.2426,4464.14,5527.09
39.4383,296,59.5768,4495.45,4893.83
42.6095,297,59.2492,3504.54,4339.45
39.0951,298,58.4551,4579.92,4995.23
37.498,299,59.1141,4593.83,5511.34
42.7965,300,60.7119,4658.81,5110.88
42.6798,301,60.4911,4471.44,5530.76
36.1713,302,58.8195,4820.49,5541.92
32.6154,303,57.0074,4272.99,5250.24
35.1316,304,58.557,4729.5,5595.97
39.2101,305,60.1716,4430.22,4667.41
38.613,306,59.1623,4859.45,4398.66
32.9827,307,57.1165,4552.65,4813.25
35.7568,308,57.837,4376.09,5168.53
42.0419,309,60.681,4669.72,5470.43
33.1515,310,58.512,4926.28,5673.93
40.7756,311,60.2945,4282.36,4696.98
39.0298,312,58.7695,4803.74,4909.23
