Real Det Return,Itration,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Running Reverse KL,Running Env Steps
3120.87,89,89,2305.7,25.2893,-1204.4365234375,15.4719,445000
3107.73,90,90,3038.63,24.5555,-1012.2288818359375,14.9919,450000
3098.14,91,91,3026.25,25.0236,-931.7998657226562,16.9661,455000
3121.83,92,92,2609.02,24.9811,-1054.9464111328125,14.8538,460000
3114.48,93,93,2993.83,24.7783,-944.1388549804688,16.0581,465000
3111.06,94,94,3089.97,24.888,-906.200439453125,16.6246,470000
3130.7,95,95,2695.25,25.1953,-987.1026000976562,16.9516,475000
3140.64,96,96,2164.62,25.2764,-1317.0169677734375,14.9219,480000
3138.05,97,97,2918.0,25.2735,-1014.2603759765625,16.6151,485000
3085.28,98,98,3039.57,24.6293,-1026.0882568359375,15.3226,490000
3151.53,99,99,2705.08,24.4948,-1055.7371826171875,15.3725,495000
3147.11,100,100,2822.31,24.5935,-1027.5733642578125,15.7477,500000
3108.58,101,101,3093.0,25.3636,-1018.30615234375,17.1172,505000
3123.06,102,102,3096.44,24.8444,-1003.2352294921875,16.9341,510000
3116.54,103,103,3096.29,24.9637,-1062.3646240234375,17.1562,515000
3137.22,104,104,3128.03,24.4892,-1003.1783447265625,16.7078,520000
3135.83,105,105,3121.09,24.1277,-1023.8070068359375,15.985,525000
3122.77,106,106,2961.3,24.5323,-1136.0206298828125,15.9404,530000
3090.11,107,107,2865.29,24.8965,-1092.35498046875,16.7293,535000
3145.27,108,108,3125.08,24.5566,-1074.0404052734375,15.6013,540000
3126.44,109,109,3031.63,24.5517,-1054.5863037109375,16.3873,545000
3140.75,110,110,3045.66,23.9595,-1058.3131103515625,16.0983,550000
3142.65,111,111,3121.62,24.2741,-1082.672119140625,16.4847,555000
3136.58,112,112,3107.37,24.1954,-1122.224609375,16.0034,560000
3137.6,113,113,3121.4,24.6873,-1119.8564453125,16.52,565000
3141.33,114,114,3123.12,24.921,-1139.833740234375,16.6986,570000
3128.98,115,115,3100.61,24.7454,-1214.587158203125,16.6254,575000
3091.38,116,116,3075.02,24.7933,-1130.8896484375,15.8493,580000
3136.33,117,117,2964.8,24.3824,-1202.27783203125,15.6368,585000
3154.66,118,118,3135.46,23.913,-1171.189208984375,15.209,590000
3123.94,119,119,3112.14,24.0217,-1158.0489501953125,15.4929,595000
3131.98,120,120,3118.57,23.5713,-1127.0439453125,15.005,600000
3134.98,121,121,3116.85,24.1541,-1157.912109375,16.0333,605000
3136.44,122,122,3114.63,24.0302,-1141.3492431640625,15.7111,610000
3149.14,123,123,3125.12,23.608,-1206.9510498046875,15.7087,615000
3141.08,124,124,3061.89,23.6806,-1185.7259521484375,15.2487,620000
3167.19,125,125,3157.26,23.4003,-1144.4078369140625,15.5505,625000
3148.36,126,126,3126.34,23.7417,-1190.126953125,15.6378,630000
3142.28,127,127,2571.27,23.3013,-1292.34814453125,14.1992,635000
3129.69,128,128,3116.1,23.8912,-1267.1280517578125,15.4564,640000
3156.13,129,129,3043.87,23.6998,-1210.4581298828125,15.4634,645000
3150.2,130,130,3122.05,23.7973,-1257.0185546875,15.0062,650000
3169.19,131,131,3083.01,23.4984,-1194.56201171875,15.3297,655000
3156.6,132,132,3134.49,23.3626,-1233.8486328125,14.979,660000
3140.24,133,133,2977.94,24.1496,-1352.0303955078125,15.6986,665000
3168.17,134,134,3153.14,23.832,-1320.204833984375,16.0678,670000
3166.22,135,135,3144.43,24.1024,-1305.4410400390625,15.9816,675000
3175.76,136,136,3061.34,23.4648,-1301.769775390625,15.2765,680000
3153.98,137,137,3031.33,23.834,-1345.905029296875,15.7728,685000
3170.35,138,138,3144.8,23.2833,-1299.0745849609375,14.7836,690000
3181.91,139,139,3157.83,23.6466,-1343.0498046875,15.4511,695000
3168.14,140,140,3151.31,23.8055,-1329.52001953125,15.3879,700000
3173.41,141,141,3153.59,23.3871,-1331.031494140625,14.9493,705000
3158.35,142,142,3138.76,23.4,-1313.947509765625,14.9173,710000
3162.15,143,143,3150.62,23.1851,-1323.2354736328125,14.8687,715000
3137.47,144,144,3036.18,24.0153,-1420.777587890625,15.0386,720000
3163.86,145,145,3153.64,23.5089,-1393.0899658203125,15.3563,725000
3155.52,146,146,3141.96,23.8511,-1419.9173583984375,15.2636,730000
3146.91,147,147,3130.68,23.8124,-1422.9290771484375,15.301,735000
3153.35,148,148,3137.45,23.8778,-1435.2041015625,15.2407,740000
3156.5,149,149,3040.86,23.6817,-1467.349853515625,14.9927,745000
3170.28,150,150,3148.84,23.4724,-1415.9989013671875,15.2566,750000
3158.11,151,151,3073.41,23.815,-1449.959716796875,15.4344,755000
3140.52,152,152,3055.37,23.3656,-1482.4617919921875,14.7762,760000
3168.32,153,153,3131.64,23.6816,-1412.677978515625,15.2131,765000
3158.7,154,154,3148.5,23.5288,-1491.810302734375,14.7206,770000
3136.99,155,155,3128.32,23.5501,-1538.1903076171875,14.9515,775000
3178.39,156,156,3161.68,23.2291,-1507.1552734375,14.9579,780000
3157.37,157,157,3117.79,23.4663,-1456.94140625,14.995,785000
3169.35,158,158,3146.56,22.8866,-1424.70703125,14.5954,790000
3183.67,159,159,3067.75,23.3261,-1576.077880859375,15.2785,795000
3186.52,160,160,3177.59,23.2623,-1529.465087890625,15.0423,800000
3195.59,161,161,3175.57,23.068,-1498.4830322265625,14.7923,805000
3163.35,162,162,3145.79,23.4366,-1581.2218017578125,15.1975,810000
3156.12,163,163,3135.36,23.985,-1641.8524169921875,15.6567,815000
3157.13,164,164,3133.81,22.7997,-1504.964599609375,14.1376,820000
3208.01,165,165,3190.86,23.0643,-1514.3419189453125,15.1664,825000
3173.08,166,166,3119.8,23.1646,-1596.0885009765625,14.978,830000
3175.65,167,167,3131.03,23.1309,-1620.968017578125,14.6743,835000
3163.25,168,168,3061.59,22.9579,-1573.34228515625,14.4617,840000
3155.45,169,169,2941.13,23.0876,-1629.127197265625,14.5225,845000
3178.05,170,170,3151.6,23.2243,-1658.3629150390625,14.4539,850000
3166.24,171,171,3158.71,23.2318,-1668.5653076171875,14.3741,855000
3144.5,172,172,3056.13,23.1531,-1706.4945068359375,14.4154,860000
3192.04,173,173,3168.59,22.8463,-1609.607666015625,14.4296,865000
3151.99,174,174,3130.25,23.0907,-1714.341064453125,14.4007,870000
3203.96,175,175,3183.65,22.5718,-1552.4996337890625,14.8512,875000
3179.46,176,176,3169.57,22.7818,-1576.86376953125,14.912,880000
3157.33,177,177,3140.45,23.3627,-1698.02587890625,14.9907,885000
3176.32,178,178,3166.39,22.6546,-1648.6419677734375,14.9561,890000
3157.31,179,179,3152.48,22.9145,-1687.960205078125,14.5646,895000
3180.87,180,180,3057.12,22.4351,-1660.55810546875,14.092,900000
3171.42,181,181,3164.95,22.1236,-1705.3580322265625,14.1501,905000
3172.53,182,182,3165.23,23.6167,-1807.05859375,15.7607,910000
3188.19,183,183,3185.44,22.2355,-1644.5714111328125,14.2149,915000
3181.32,184,184,3171.16,22.7812,-1739.642333984375,14.5902,920000
3193.84,185,185,3188.37,22.8382,-1674.162841796875,14.7929,925000
3166.85,186,186,3153.98,22.4144,-1809.7874755859375,14.1456,930000
3189.09,187,187,3180.23,22.6329,-1742.1932373046875,14.6493,935000
3184.84,188,188,3095.21,22.1552,-1713.7344970703125,14.3245,940000
3172.21,189,189,3155.49,22.3629,-1767.0882568359375,14.1105,945000
3215.29,190,190,3188.82,22.8683,-1827.6092529296875,15.3249,950000
3189.63,191,191,3184.49,22.4404,-1829.43505859375,14.487,955000
3185.96,192,192,3174.88,22.3185,-1787.72900390625,14.1584,960000
3204.08,193,193,3096.81,22.0311,-1784.9027099609375,14.0539,965000
3186.22,194,194,3031.57,22.5491,-1883.0552978515625,13.7452,970000
3173.98,195,195,3167.8,22.1595,-1879.575927734375,14.1012,975000
3195.88,196,196,3180.15,22.3525,-1839.7144775390625,14.3653,980000
3189.26,197,197,3166.76,22.1901,-1842.0048828125,14.0178,985000
3175.67,198,198,3154.35,21.5974,-1961.357666015625,13.5613,990000
3203.16,199,199,3196.05,21.7041,-1862.582275390625,14.1862,995000
