Running Reverse KL,Itration,Running Env Steps,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Real Det Return
16.7642,70,350000,70,3837.58,42.3765,-291.009521484375,3857.28
16.6223,71,355000,71,3932.73,42.242,-297.956298828125,3883.17
15.5896,72,360000,72,3938.32,41.846,-275.6404724121094,3960.72
16.1112,73,365000,73,3914.05,41.8566,-287.69451904296875,3973.34
15.658,74,370000,74,3929.9,41.7255,-288.02996826171875,3945.77
16.4407,75,375000,75,3822.74,41.5738,-302.4148254394531,3999.85
15.0849,76,380000,76,3977.52,41.5899,-283.1791687011719,3985.31
16.3359,77,385000,77,3908.09,41.8438,-295.6536560058594,3962.1
14.8788,78,390000,78,3888.0,41.6987,-311.1356201171875,3961.55
16.3036,79,395000,79,3955.49,41.9804,-320.7344055175781,3986.01
15.948,80,400000,80,3970.87,41.546,-305.7361145019531,4022.07
15.5785,81,405000,81,3951.13,41.4455,-305.60418701171875,4005.1
15.2118,82,410000,82,3946.82,41.7861,-338.612548828125,3983.83
17.2096,83,415000,83,3958.18,41.8515,-339.92938232421875,4005.62
15.1572,84,420000,84,4023.95,41.5751,-321.7972106933594,4052.71
15.3916,85,425000,85,3983.85,42.1497,-370.0553894042969,4033.41
16.6333,86,430000,86,3956.66,42.1432,-341.4299011230469,4007.12
18.1916,87,435000,87,3921.74,42.3729,-366.2176513671875,3973.4
17.0586,88,440000,88,3974.41,42.0005,-365.9967346191406,4010.99
16.6007,89,445000,89,3998.85,41.6694,-356.345947265625,4019.58
15.7914,90,450000,90,4018.09,41.319,-347.19122314453125,4109.33
16.1824,91,455000,91,3978.23,41.7343,-373.79193115234375,4013.11
17.355,92,460000,92,3955.39,42.7322,-346.8692321777344,3989.17
15.8034,93,465000,93,3978.66,41.9616,-366.5495300292969,3990.06
16.1968,94,470000,94,4039.39,41.5138,-366.4601135253906,4059.51
15.3039,95,475000,95,4074.25,41.1032,-379.5009460449219,4109.57
16.1275,96,480000,96,3988.33,41.6731,-381.86767578125,3990.54
15.9438,97,485000,97,4012.01,41.506,-388.2957458496094,4043.88
17.0576,98,490000,98,4025.48,41.4135,-374.0868835449219,4077.62
15.6834,99,495000,99,3974.75,42.0094,-397.25396728515625,4002.22
15.221,100,500000,100,4014.61,41.5259,-393.5137023925781,4031.19
16.2513,101,505000,101,4030.34,41.3446,-409.33062744140625,4067.68
14.5136,102,510000,102,3959.31,41.3196,-419.02838134765625,4017.55
16.3718,103,515000,103,4013.88,41.6735,-408.5504150390625,4040.08
15.599,104,520000,104,3986.6,41.5923,-402.41412353515625,4047.73
14.4479,105,525000,105,4021.35,40.9621,-421.0436706542969,4078.47
15.6088,106,530000,106,4017.64,41.3237,-428.20068359375,4075.27
15.5683,107,535000,107,3859.84,41.6541,-430.56964111328125,4030.23
16.3367,108,540000,108,3727.65,41.7197,-434.81378173828125,2690.94
15.9974,109,545000,109,4037.78,41.0592,-412.0856018066406,4057.45
16.2488,110,550000,110,3987.84,41.6746,-430.3896484375,3894.75
15.4097,111,555000,111,3974.56,41.4529,-457.5638427734375,4013.0
16.3289,112,560000,112,3993.16,41.4844,-435.87322998046875,4043.32
15.409,113,565000,113,4034.51,41.2219,-444.791259765625,4103.27
15.7854,114,570000,114,3962.55,41.9876,-461.0038757324219,3970.39
15.4428,115,575000,115,4044.29,40.883,-443.4660339355469,4098.62
16.309,116,580000,116,4009.85,41.7125,-448.3293762207031,4059.45
15.6167,117,585000,117,3896.16,41.648,-472.03076171875,3448.93
16.0954,118,590000,118,4032.38,41.4898,-495.8304138183594,3994.43
15.7695,119,595000,119,3814.16,41.8381,-478.05377197265625,3508.99
14.3916,120,600000,120,3957.35,41.0377,-523.6458740234375,3466.9
15.6937,121,605000,121,3987.74,41.2806,-458.8208312988281,4035.94
15.3123,122,610000,122,4004.23,40.7962,-460.34393310546875,4035.9
15.386,123,615000,123,4094.63,40.653,-464.90826416015625,4099.11
15.0904,124,620000,124,3785.28,41.4763,-509.59716796875,4049.13
14.8115,125,625000,125,4025.58,40.9735,-472.6498718261719,4135.9
14.6961,126,630000,126,4026.97,40.8049,-513.3997192382812,4099.92
14.5101,127,635000,127,4014.96,40.9639,-512.5670166015625,4042.36
15.5969,128,640000,128,4052.04,41.1625,-492.9284973144531,4013.04
14.4935,129,645000,129,4035.33,41.0499,-510.380615234375,3943.14
14.7321,130,650000,130,3907.69,41.4752,-509.27471923828125,4073.79
14.7269,131,655000,131,4054.59,40.6013,-517.5363159179688,4084.75
14.679,132,660000,132,4057.24,40.8926,-522.9736938476562,4109.61
14.91,133,665000,133,4004.01,41.0919,-528.2092895507812,4101.37
15.0759,134,670000,134,3902.37,40.9107,-487.3776550292969,2731.88
15.4384,135,675000,135,4044.59,40.9257,-537.0160522460938,4102.86
15.8564,136,680000,136,4023.27,40.97,-520.7938232421875,4103.67
15.2395,137,685000,137,4071.71,40.6895,-525.678466796875,4186.05
15.5409,138,690000,138,3927.62,41.797,-538.203369140625,3793.91
14.9335,139,695000,139,4008.09,41.2935,-552.4131469726562,4083.92
15.3678,140,700000,140,3904.04,41.1913,-528.7920532226562,3704.69
14.3476,141,705000,141,3973.75,41.0075,-539.9223022460938,4046.22
16.1773,142,710000,142,4074.29,41.2582,-536.3801879882812,3982.47
14.9443,143,715000,143,4026.13,40.793,-516.8649291992188,4055.8
15.0786,144,720000,144,4085.11,40.5418,-548.0125732421875,4041.73
15.2182,145,725000,145,3993.37,41.1969,-582.6864624023438,4106.06
14.5224,146,730000,146,4049.25,40.8301,-550.4620971679688,4114.23
14.6901,147,735000,147,4033.01,40.6141,-560.3492431640625,3949.59
14.0826,148,740000,148,4045.77,40.3959,-522.3421630859375,4152.24
14.7199,149,745000,149,4012.32,40.7345,-570.123046875,4049.9
14.0244,150,750000,150,4028.47,40.4959,-559.5067138671875,4120.62
14.7329,151,755000,151,4007.01,40.857,-588.0399780273438,4029.72
13.4369,152,760000,152,3924.83,40.7187,-566.6785278320312,4055.26
14.251,153,765000,153,3879.61,40.8751,-599.5051879882812,4066.48
15.669,154,770000,154,4058.63,41.2098,-592.1820678710938,3910.34
14.4528,155,775000,155,4076.11,40.4784,-609.353515625,4091.87
14.9458,156,780000,156,4033.44,41.0782,-612.5237426757812,4089.75
14.6334,157,785000,157,3992.56,40.6715,-614.42578125,4103.65
14.2236,158,790000,158,4079.1,40.6817,-600.264892578125,4141.72
14.8497,159,795000,159,4055.59,40.8727,-626.4701538085938,4104.77
14.7592,160,800000,160,3820.26,40.7857,-620.4063110351562,4097.72
14.6431,161,805000,161,4061.03,40.0737,-584.5018920898438,3992.64
13.6747,162,810000,162,4034.77,40.785,-629.4464111328125,4118.98
13.1263,163,815000,163,4100.71,40.1649,-698.8846435546875,3735.76
15.0258,164,820000,164,3979.19,41.2173,-645.9332885742188,4056.03
14.7313,165,825000,165,4083.24,40.294,-619.9497680664062,4100.74
14.7718,166,830000,166,4111.18,40.275,-615.7452392578125,4159.1
16.4412,167,835000,167,4051.48,41.5262,-676.7448120117188,4080.83
14.9281,168,840000,168,4024.56,41.0107,-640.2599487304688,4075.21
13.2972,169,845000,169,4070.0,40.2196,-585.736572265625,4183.24
13.9102,170,850000,170,4017.4,40.692,-671.46337890625,4048.8
14.8735,171,855000,171,4090.12,40.8637,-638.4762573242188,4159.81
16.1819,172,860000,172,4069.21,40.5693,-693.9786376953125,4130.21
15.1619,173,865000,173,4063.24,40.5906,-655.7916870117188,4122.17
16.1877,174,870000,174,4091.84,40.8567,-650.6082763671875,4164.34
14.8821,175,875000,175,4060.95,40.1137,-677.2697143554688,4092.93
14.5751,176,880000,176,4034.79,40.4615,-664.038330078125,4112.04
14.4985,177,885000,177,3801.52,40.9143,-660.8219604492188,4033.42
15.5881,178,890000,178,4040.97,40.9487,-671.0972900390625,4068.66
14.2154,179,895000,179,4043.14,40.7648,-693.119140625,4085.92
14.0726,180,900000,180,4060.1,40.4401,-659.0746459960938,4110.38
14.854,181,905000,181,4001.21,41.1546,-708.4426879882812,4125.75
15.3671,182,910000,182,4062.12,40.7605,-719.6083984375,4164.35
14.1716,183,915000,183,4019.81,40.6424,-686.0315551757812,4058.72
14.4906,184,920000,184,4049.21,40.4679,-719.313232421875,4092.77
13.7635,185,925000,185,4085.99,40.5748,-706.3592529296875,4124.89
14.9256,186,930000,186,4042.93,40.8712,-712.8861694335938,4100.54
14.0475,187,935000,187,4078.91,40.9778,-750.0343017578125,4144.29
14.1384,188,940000,188,4006.29,41.283,-761.888916015625,4105.73
13.8807,189,945000,189,4056.96,40.3418,-715.2984008789062,4121.69
14.0402,190,950000,190,3859.77,40.3598,-709.36962890625,4187.62
13.6506,191,955000,191,4033.27,40.2965,-719.2677612304688,4122.05
14.6028,192,960000,192,4035.39,41.1697,-768.22998046875,4059.52
14.1352,193,965000,193,4070.67,40.7638,-787.0120849609375,4116.33
14.0734,194,970000,194,4045.14,40.6806,-761.6929931640625,4079.66
13.5166,195,975000,195,4044.95,39.9854,-764.6791381835938,4165.56
13.9935,196,980000,196,4042.26,40.731,-784.6293334960938,4123.43
14.4881,197,985000,197,4052.94,40.5497,-748.8797607421875,4148.32
13.6437,198,990000,198,3998.17,40.404,-754.3721313476562,4096.56
14.1894,199,995000,199,4031.2,40.7706,-771.8655395507812,4131.1
13.6993,200,1000000,200,4062.02,40.1727,-739.0101928710938,4158.86
14.007,201,1005000,201,4035.18,40.7706,-781.1622314453125,4163.1
14.0033,202,1010000,202,3916.57,40.5674,-775.0101318359375,4162.0
13.673,203,1015000,203,3675.43,40.3221,-778.0914306640625,4012.71
14.2072,204,1020000,204,4017.31,40.0514,-781.036376953125,4123.24
13.8799,205,1025000,205,4057.13,40.2534,-770.2643432617188,4198.67
14.0867,206,1030000,206,4012.63,40.6043,-810.209228515625,4172.23
12.9069,207,1035000,207,4091.5,39.3439,-764.8804321289062,4145.21
13.8013,208,1040000,208,4033.14,40.3679,-794.3734130859375,4125.32
13.5967,209,1045000,209,3930.66,40.3837,-816.6769409179688,4126.32
13.9016,210,1050000,210,4045.11,40.4812,-836.45654296875,4111.72
13.5803,211,1055000,211,4057.02,40.2232,-850.4423217773438,4056.04
13.7968,212,1060000,212,4086.84,39.8059,-832.0458374023438,4084.27
13.299,213,1065000,213,4040.77,40.4998,-849.901611328125,4096.12
13.6125,214,1070000,214,3916.87,40.2208,-851.4788208007812,4103.81
13.9491,215,1075000,215,3895.95,40.3657,-883.3572998046875,4068.77
14.1647,216,1080000,216,3983.37,40.5197,-873.3871459960938,4091.1
13.5413,217,1085000,217,4064.1,40.2682,-852.9208984375,4114.0
12.9934,218,1090000,218,4055.09,39.7934,-847.865234375,4079.92
13.112,219,1095000,219,4060.96,40.1472,-878.6203002929688,4100.48
13.6477,220,1100000,220,4045.93,40.4019,-894.4885864257812,4113.56
13.0168,221,1105000,221,4021.34,40.4091,-933.1092529296875,4062.74
14.3544,222,1110000,222,4048.88,40.4141,-891.6099853515625,4134.01
13.7346,223,1115000,223,4040.86,40.3289,-911.764404296875,4127.71
13.5898,224,1120000,224,3748.69,40.1015,-911.0234985351562,4105.7
14.3217,225,1125000,225,4025.29,40.7792,-933.2666625976562,4106.63
13.5233,226,1130000,226,3927.73,40.4056,-930.6774291992188,4104.72
13.6695,227,1135000,227,3756.33,40.3944,-929.0919189453125,4016.1
13.8301,228,1140000,228,4016.68,40.115,-929.6962280273438,4117.59
14.2649,229,1145000,229,3959.39,40.6117,-960.05322265625,3994.05
13.592,230,1150000,230,4049.79,40.1498,-965.5274047851562,4011.24
13.6347,231,1155000,231,4032.4,40.3645,-962.0308227539062,4096.53
13.69,232,1160000,232,4001.17,40.4067,-952.0868530273438,4095.93
13.6621,233,1165000,233,4058.31,40.3981,-960.5309448242188,4089.08
13.3989,234,1170000,234,4045.21,40.0808,-959.4617919921875,4055.24
13.2525,235,1175000,235,4021.43,39.9252,-963.6738891601562,4013.81
13.7076,236,1180000,236,4005.95,40.0874,-984.4841918945312,4052.61
13.6498,237,1185000,237,4033.34,40.0242,-976.4437866210938,4049.69
13.6277,238,1190000,238,4056.16,40.0055,-972.7590942382812,4133.55
13.4284,239,1195000,239,3945.2,39.9957,-949.5380859375,4100.95
13.2523,240,1200000,240,4026.51,39.741,-960.9881591796875,4080.62
13.6114,241,1205000,241,3940.91,40.116,-1007.0275268554688,4135.75
12.8947,242,1210000,242,4067.96,39.2406,-942.7100219726562,4183.24
12.9191,243,1215000,243,3980.3,40.1444,-1001.6571044921875,4137.49
18.9509,244,1220000,244,2746.85,39.7409,-1200.5819091796875,3918.94
14.62,245,1225000,245,2612.82,39.9291,-1388.7867431640625,2884.63
15.5885,246,1230000,246,3780.6,39.8781,-1058.320068359375,4177.38
14.7881,247,1235000,247,4053.37,40.6725,-1120.9443359375,4088.79
13.5542,248,1240000,248,4027.94,40.296,-1061.8045654296875,4122.63
13.3122,249,1245000,249,4055.17,40.064,-1056.388427734375,4110.2
13.6876,250,1250000,250,4044.35,40.4376,-1060.962646484375,4151.82
14.2767,251,1255000,251,4029.35,40.5173,-1094.7159423828125,4133.11
14.012,252,1260000,252,3842.36,40.5632,-1108.287353515625,4182.57
13.4764,253,1265000,253,4074.75,40.5338,-1128.0078125,4183.36
14.0738,254,1270000,254,3641.59,40.6984,-1130.2978515625,4133.87
13.4325,255,1275000,255,4032.89,40.2642,-1137.4345703125,4177.07
13.3851,256,1280000,256,4082.88,40.3966,-1136.05615234375,4187.9
13.7411,257,1285000,257,4046.82,40.579,-1145.5570068359375,4135.19
13.1853,258,1290000,258,3636.68,40.3109,-1114.7081298828125,4206.79
13.3497,259,1295000,259,4089.5,40.3392,-1111.6654052734375,4192.82
14.1788,260,1300000,260,2835.5,39.986,-1246.1370849609375,1763.85
13.3712,261,1305000,261,3675.62,39.7906,-1099.63916015625,4207.44
12.8479,262,1310000,262,4004.02,39.5422,-1034.0341796875,4090.27
12.8177,263,1315000,263,3504.61,39.5638,-1095.2110595703125,4093.22
13.1382,264,1320000,264,3962.75,40.2086,-1136.1947021484375,4194.88
15.1743,265,1325000,265,3952.07,40.1893,-1167.0411376953125,4135.37
12.6466,266,1330000,266,4109.47,39.5104,-1095.36962890625,4161.2
13.3618,267,1335000,267,4084.66,40.1036,-1135.845947265625,4210.39
12.6389,268,1340000,268,4040.93,39.8412,-1172.17431640625,4151.99
13.4546,269,1345000,269,3630.42,40.2804,-1171.75390625,3713.73
13.1498,270,1350000,270,4116.34,39.6012,-1110.00732421875,4188.71
12.8032,271,1355000,271,4126.74,39.7643,-1062.35791015625,4123.22
12.7549,272,1360000,272,3822.1,40.3204,-1225.3453369140625,4097.39
12.8782,273,1365000,273,4027.65,40.233,-1220.4869384765625,4132.48
12.3631,274,1370000,274,3414.67,40.2837,-1361.1307373046875,4141.93
12.8875,275,1375000,275,4107.41,39.8383,-1192.5633544921875,4167.89
12.3428,276,1380000,276,4097.99,39.3662,-1172.0875244140625,4204.27
12.7169,277,1385000,277,4049.46,40.1438,-1281.316162109375,4156.55
12.9585,278,1390000,278,3718.35,39.9192,-1219.3868408203125,4143.06
12.6911,279,1395000,279,3887.41,39.4417,-1214.708984375,4165.69
12.9508,280,1400000,280,4040.8,39.7905,-1220.102294921875,4138.26
12.7794,281,1405000,281,4063.56,39.8871,-1275.1241455078125,4162.3
12.8201,282,1410000,282,4106.44,39.7175,-1221.3896484375,4186.9
13.8653,283,1415000,283,3961.15,40.1621,-1291.28564453125,4179.95
12.3689,284,1420000,284,4142.83,39.508,-1164.1927490234375,4196.12
12.7739,285,1425000,285,3975.64,39.6936,-1277.06201171875,4183.12
12.4715,286,1430000,286,3906.09,39.4092,-1156.385986328125,4176.73
12.7381,287,1435000,287,3175.01,40.3229,-1355.4710693359375,2412.57
12.7036,288,1440000,288,3993.92,39.9396,-1317.3421630859375,4033.93
13.718,289,1445000,289,3948.15,39.4996,-1339.7392578125,4110.15
13.8506,290,1450000,290,4111.93,39.1222,-1209.9141845703125,4179.48
12.9101,291,1455000,291,3992.24,40.3176,-1422.3643798828125,4076.84
13.0257,292,1460000,292,4069.32,40.2728,-1441.867919921875,4182.85
12.9958,293,1465000,293,4049.34,40.1779,-1437.0447998046875,4121.61
12.3992,294,1470000,294,4093.95,39.4476,-1309.229736328125,4138.53
12.3506,295,1475000,295,4122.44,39.5379,-1350.7037353515625,4133.98
12.5042,296,1480000,296,4054.75,39.775,-1392.467529296875,4124.56
12.8972,297,1485000,297,4017.72,40.3855,-1503.14453125,4083.34
12.187,298,1490000,298,4091.79,39.1234,-1316.4525146484375,4122.99
12.2212,299,1495000,299,4037.36,39.9991,-1437.88720703125,4063.12
12.5831,300,1500000,300,4049.66,39.8563,-1444.8720703125,4118.92
12.5245,301,1505000,301,4048.67,40.2357,-1474.4365234375,4138.08
12.4104,302,1510000,302,4071.93,39.7498,-1388.9210205078125,4086.29
12.2705,303,1515000,303,4032.94,40.0333,-1505.533203125,4053.16
12.3742,304,1520000,304,4069.43,39.8247,-1398.403076171875,4068.5
12.7034,305,1525000,305,4062.18,39.9851,-1506.186279296875,4100.28
12.3664,306,1530000,306,3998.32,39.8316,-1445.9598388671875,4080.31
12.734,307,1535000,307,4050.02,40.0374,-1569.2601318359375,4097.13
12.7762,308,1540000,308,3903.3,39.8738,-1538.6424560546875,4116.42
12.4158,309,1545000,309,3621.75,39.71,-1461.3924560546875,4073.14
12.4691,310,1550000,310,4057.44,39.6685,-1481.9669189453125,4098.32
12.6099,311,1555000,311,4046.12,39.9155,-1582.18310546875,4068.54
13.0787,312,1560000,312,4077.78,39.637,-1402.6513671875,4130.99
13.0045,313,1565000,313,4053.98,39.7197,-1537.425537109375,4099.35
13.025,314,1570000,314,4054.06,40.2478,-1628.5107421875,4097.25
12.7268,315,1575000,315,4094.28,39.9161,-1517.7628173828125,4105.74
12.4153,316,1580000,316,4064.46,39.7874,-1529.8658447265625,4100.39
12.5686,317,1585000,317,3877.22,39.4299,-1586.8243408203125,4074.53
12.8698,318,1590000,318,3934.46,39.4842,-1506.1275634765625,4081.99
17.3179,319,1595000,319,3975.13,39.7357,-1647.665771484375,4105.72
13.0518,320,1600000,320,3987.59,40.1173,-1624.266845703125,4052.1
14.6632,321,1605000,321,4013.0,40.1615,-1726.4827880859375,4022.8
12.7038,322,1610000,322,3736.43,39.4845,-1549.5850830078125,4043.57
12.7016,323,1615000,323,3492.28,40.2406,-1731.559814453125,3888.33
12.6228,324,1620000,324,3931.43,39.3293,-1667.6695556640625,4026.4
12.4745,325,1625000,325,4022.37,40.1262,-1710.430419921875,4055.4
12.9638,326,1630000,326,4070.96,39.7532,-1591.458984375,4143.83
12.6552,327,1635000,327,3987.92,39.7127,-1719.7357177734375,4050.25
12.3199,328,1640000,328,3204.46,40.2526,-1964.0302734375,4045.4
12.4702,329,1645000,329,4064.86,39.606,-1688.4327392578125,4089.18
12.9319,330,1650000,330,4006.51,39.6662,-1728.786865234375,4126.4
11.7732,331,1655000,331,4078.44,39.6077,-1825.2884521484375,4121.38
12.9847,332,1660000,332,848.0,40.4084,-2162.766357421875,269.38
13.9339,333,1665000,333,4029.28,39.9642,-1817.7410888671875,3886.83
13.1305,334,1670000,334,4060.27,39.4191,-1713.5047607421875,4184.29
13.0301,335,1675000,335,2378.63,40.0373,-1957.6754150390625,745.1
12.3771,336,1680000,336,4023.53,39.8123,-1677.4720458984375,4088.57
12.7564,337,1685000,337,3989.07,39.6568,-1759.0303955078125,4039.52
12.4675,338,1690000,338,3983.8,39.7069,-1728.6190185546875,4046.38
12.5079,339,1695000,339,3939.79,39.4628,-1748.0494384765625,3999.74
12.6765,340,1700000,340,3969.37,39.8859,-1619.2113037109375,4055.39
12.1304,341,1705000,341,3326.29,39.3244,-1762.3348388671875,3900.28
11.8562,342,1710000,342,1230.1,40.2311,-2352.3369140625,2984.42
12.6402,343,1715000,343,2981.66,39.4738,-1671.8807373046875,4010.44
14.3458,344,1720000,344,3745.46,40.232,-1834.006103515625,3744.42
12.2888,345,1725000,345,4113.17,38.9875,-1709.41064453125,4132.6
12.3982,346,1730000,346,2223.64,39.2733,-1736.4761962890625,4092.62
11.6051,347,1735000,347,2411.98,40.0459,-2403.01806640625,3614.04
12.4435,348,1740000,348,2592.62,40.0087,-2398.685791015625,4012.06
11.8943,349,1745000,349,2673.01,38.996,-2280.298828125,3059.32
12.3003,350,1750000,350,3640.55,39.9145,-2277.56884765625,4131.33
16.8084,351,1755000,351,398.79,48.5336,-4258.8544921875,483.82
71.9375,352,1760000,352,110.78,48.8206,-3336.91357421875,-2.39
32.7628,353,1765000,353,34.72,48.5469,-3981.255126953125,50.34
93.7274,354,1770000,354,905.49,46.9287,-3514.0986328125,1114.62
72.6784,355,1775000,355,351.95,51.3334,-3045.25,347.35
34.8746,356,1780000,356,845.32,45.4476,-3710.89794921875,1139.22
15.8859,357,1785000,357,1470.15,43.8475,-3572.498046875,2182.78
33.9259,358,1790000,358,1014.3,46.3665,-3533.630126953125,913.93
25.155,359,1795000,359,1676.8,42.744,-3018.00732421875,916.6
45.3626,360,1800000,360,1997.32,42.2136,-2915.1513671875,2098.02
19.7763,361,1805000,361,3643.1,43.2287,-2066.3544921875,3717.62
14.1708,362,1810000,362,3752.43,41.4233,-2068.94873046875,3809.71
20.7114,363,1815000,363,2833.54,41.3064,-2895.740234375,2013.11
15.8098,364,1820000,364,2958.98,41.3009,-2701.158447265625,1637.29
14.4604,365,1825000,365,3886.09,40.6074,-2258.118408203125,3929.87
14.6867,366,1830000,366,3964.17,40.4396,-2152.04931640625,3975.64
14.4813,367,1835000,367,4016.15,39.9632,-2110.138427734375,3941.33
14.1718,368,1840000,368,4013.81,39.7881,-2033.180908203125,3980.11
13.7158,369,1845000,369,4005.39,39.4119,-2095.27685546875,4043.6
