Itration,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return
58,3290.28,12.7447,26.5275,2953.23
59,3311.73,12.4444,25.2323,3151.88
60,3353.98,11.9387,24.3173,3347.06
61,3364.38,11.8726,25.3,3090.23
62,3379.04,11.5482,24.6907,3374.58
63,3351.69,12.1643,25.9861,3029.1
64,3328.16,11.7268,25.1164,3280.99
65,3347.88,12.9999,25.6218,3309.15
66,3306.53,11.5417,23.8013,3305.65
67,3329.12,12.7107,24.2062,3329.67
68,3333.88,11.2267,23.5436,3324.74
69,3368.95,12.8021,25.7254,3325.73
70,3337.4,11.8809,25.8742,2859.56
71,3401.09,11.9438,26.2373,2631.7
72,3318.33,11.9695,25.3099,3193.32
73,3321.71,11.0546,25.3805,2985.33
74,3315.71,12.3105,25.1425,3073.67
75,3442.91,12.12,27.2202,2748.1
76,3320.11,11.7986,24.3849,3313.95
77,3309.99,11.9718,23.8681,3325.59
78,3390.14,12.0748,24.7708,3290.32
79,3393.48,11.6221,23.3815,3395.71
80,3351.08,12.1835,26.0584,3113.45
81,3400.75,12.0272,24.936,3115.68
82,3338.95,10.8709,24.052,3348.37
83,3344.77,11.9467,24.058,3348.64
84,3400.09,12.4633,24.1191,3386.82
85,3394.28,12.9731,24.6148,3205.29
86,3381.83,11.6205,23.5839,3369.93
87,3359.37,12.3062,24.5559,3358.46
88,3338.7,13.0327,25.5496,3358.42
89,3360.73,13.3167,26.2052,3352.44
90,3368.64,11.972,24.4133,3267.69
91,3364.13,11.0757,22.6704,3360.9
92,3382.17,11.5267,23.1708,3369.24
93,3364.98,11.4046,23.9228,3247.78
94,3374.68,11.8212,24.1442,3280.18
95,3369.55,12.4606,25.1652,3155.33
96,3398.18,12.3806,24.8912,3261.93
97,3378.1,12.3643,24.8302,3358.32
98,3353.47,12.3392,24.6511,3345.48
99,3432.72,12.8986,25.3383,3097.01
100,3392.5,13.0038,25.2436,3381.15
101,3408.11,12.1465,24.2926,3385.38
102,3434.27,11.7146,26.0809,2148.39
103,3419.66,11.647,23.7119,3393.85
104,3401.39,11.8869,24.7053,2985.59
105,3402.38,11.7844,25.1776,3360.27
106,3431.69,12.2022,24.2615,3412.36
107,3403.5,11.3518,24.3306,3208.21
108,3381.6,12.1593,24.2582,3372.79
109,3374.02,11.5648,24.0621,3355.72
110,3404.54,11.7992,24.4318,3281.6
111,3444.2,11.2587,25.6279,2876.42
112,3414.63,11.5218,23.7836,3300.95
113,3398.29,11.6675,24.4937,3371.44
114,3427.23,28.6248,25.6624,1922.46
115,3407.55,11.5005,24.3419,3174.38
116,3396.41,12.1158,24.2363,3374.4
117,3420.96,12.2552,23.8168,3406.82
118,3423.82,11.8034,24.3082,3400.59
119,3407.67,11.8418,25.2475,3058.04
120,3440.12,11.7437,24.2217,3070.45
121,3419.94,11.6387,23.3168,3426.41
122,3420.01,11.366,23.5599,3392.35
123,3381.77,12.0768,24.1584,3273.65
124,3438.22,11.326,24.1019,3177.24
125,3417.37,11.9767,24.4851,3391.52
126,3434.77,11.3166,23.9082,3233.06
127,3440.18,10.6186,23.4793,3402.99
128,3430.42,11.2839,24.606,3161.22
129,3398.92,12.5971,25.6485,3355.85
130,3382.24,10.718,22.8797,3363.62
131,3446.46,12.1369,24.4267,3422.91
132,3395.11,10.6643,23.1411,3381.67
133,3416.11,11.0294,23.7673,3382.11
134,3396.76,10.7411,24.3373,3387.17
135,3442.89,11.3469,24.6977,3239.67
136,3300.62,10.5665,23.4915,3300.83
137,3419.78,12.7433,25.2837,3167.69
138,3394.66,12.1767,25.1364,3343.53
139,3405.67,11.2942,23.8032,3385.9
140,3423.13,10.7949,23.7538,2824.06
141,3427.64,10.9077,24.1387,3164.59
142,3422.6,11.3283,24.1657,2965.87
143,3406.62,11.3422,24.2674,3369.49
144,3449.87,11.1541,23.7218,3265.04
145,3427.33,10.9642,25.5077,2644.43
146,3452.35,11.8353,24.0257,3158.1
147,3453.63,11.6685,23.8697,3221.54
148,3414.02,10.8992,23.2466,3392.72
149,3439.41,10.0548,23.9813,2817.39
150,3421.01,10.7303,23.7797,3273.72
151,3410.34,10.9154,23.5055,3391.92
152,3450.55,10.8839,25.5596,2307.95
153,3425.8,11.3606,24.4799,2525.79
154,3462.78,11.1584,24.238,3283.66
155,3430.68,11.5744,24.2213,3304.15
156,3470.47,10.8971,23.381,3260.37
157,3435.36,11.5576,24.206,3401.66
158,3432.69,10.5153,23.3738,3263.11
159,3449.11,10.8546,23.3838,3215.16
160,3425.84,10.1834,23.4125,3395.34
161,3430.02,11.8871,24.4762,2990.77
162,3443.24,11.1294,23.9988,3255.77
163,3472.52,10.6276,22.8112,3366.88
164,3434.31,9.988,22.6596,3397.4
165,3443.35,11.0958,24.272,3047.42
166,3444.29,11.0997,23.3448,3417.26
167,3419.37,11.2525,23.2311,3345.23
168,3455.31,11.359,23.6452,3259.1
169,3439.24,10.8425,24.8842,2807.63
170,3403.05,11.2145,23.3777,3372.97
171,3410.03,10.1085,22.9471,3371.37
172,3447.18,12.9446,23.6141,3295.12
173,3442.04,10.9439,23.404,3181.62
174,3429.73,10.9804,24.2875,2809.05
175,3429.07,11.1001,23.3581,3403.98
176,3434.46,11.3704,23.7127,3411.16
177,3399.8,11.5825,23.6785,3284.93
178,3442.69,10.817,22.9652,3325.39
179,3452.6,10.6199,22.8545,3341.29
180,3427.99,10.7152,23.7278,2891.83
181,3410.76,11.2229,24.218,3326.13
182,3467.74,10.8853,23.9943,3365.29
183,3424.56,11.5265,24.9334,2934.33
184,3432.55,11.8874,24.0158,3324.39
185,3486.98,11.2696,23.4741,3447.77
186,3461.75,18.0906,23.6323,3281.31
187,3450.12,10.583,24.2903,2696.59
188,3474.08,10.5798,22.7635,3448.45
189,3452.87,10.4977,24.3845,2918.01
190,3436.98,10.1112,24.4235,2643.65
191,3442.38,10.9114,24.4166,3178.25
192,3444.89,10.9693,23.9136,3251.54
193,3425.47,11.0573,23.4492,3403.34
194,3477.08,10.9034,24.1959,2958.58
195,3453.94,10.9228,24.0929,3253.28
196,3478.2,10.2468,23.8661,2773.81
197,3458.87,10.871,23.819,2949.98
198,3439.17,10.3297,23.2764,3212.88
199,3444.48,10.8076,25.148,2812.21
