Running Env Steps,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss,Running Update Time,Running Reverse KL
430000,2649.1,4583.97,86,307.9982,-7451.23095703125,86,147.3911
435000,1802.89,4823.02,87,296.739,-6112.16796875,87,107.6576
440000,2815.55,4968.71,88,300.1254,-5846.810546875,88,98.0193
445000,1191.42,4547.88,89,310.1727,-8531.1484375,89,172.8339
450000,1637.77,4841.12,90,303.6333,-6825.51611328125,90,120.0636
455000,2487.81,4653.52,91,310.9484,-8605.1591796875,91,157.8648
460000,1126.88,4700.35,92,303.4088,-7684.30322265625,92,133.2332
465000,2277.65,4820.12,93,300.5174,-6605.44921875,93,103.2373
470000,4030.77,4788.45,94,303.0721,-6868.98974609375,94,102.7618
475000,3490.95,5162.72,95,300.6351,-7292.666015625,95,103.4147
480000,1798.29,5039.84,96,302.4373,-7087.43115234375,96,100.3986
485000,2755.3,4495.04,97,304.0884,-8011.1005859375,97,125.0752
490000,1052.48,4023.87,98,302.5165,-7867.49755859375,98,114.4471
495000,2342.26,4593.25,99,304.6814,-7975.96240234375,99,114.5136
500000,1162.05,4922.85,100,305.493,-7640.3271484375,100,102.1894
505000,2672.47,4725.22,101,302.8988,-8130.2548828125,101,120.7711
510000,3700.96,5083.46,102,302.5465,-7929.38232421875,102,103.8304
515000,2639.81,4803.5,103,300.372,-8305.62890625,103,97.3764
520000,2567.1,3539.82,104,310.2589,-8956.462890625,104,121.4534
525000,3600.21,5088.46,105,304.9097,-8968.40625,105,115.1054
530000,5016.92,3948.58,106,305.4114,-9111.8251953125,106,133.3728
535000,1465.37,5003.99,107,303.9322,-8461.490234375,107,103.5211
540000,4299.54,5005.38,108,308.7439,-8921.951171875,108,117.6645
545000,4086.08,4402.81,109,306.9636,-8935.3447265625,109,104.4554
550000,3630.09,4891.9,110,307.8126,-9665.5068359375,110,125.4829
555000,2774.2,4484.93,111,305.8471,-8951.23046875,111,111.9585
560000,5322.42,4950.6,112,306.5819,-8942.302734375,112,106.5868
565000,5058.43,4116.83,113,304.468,-9487.3974609375,113,101.5245
570000,3862.81,5123.66,114,307.6429,-9591.0849609375,114,100.8451
575000,4340.43,4757.91,115,305.3102,-9999.6083984375,115,110.8247
580000,5065.51,4810.15,116,306.0427,-10064.6455078125,116,108.9563
585000,3860.91,4636.14,117,309.0458,-10193.619140625,117,112.5932
590000,4083.45,5235.41,118,316.0557,-10539.5986328125,118,118.9725
595000,3056.07,4944.46,119,312.8834,-10488.107421875,119,120.4547
600000,3454.54,5016.95,120,304.2936,-10439.763671875,120,111.6385
605000,4378.12,4742.17,121,309.849,-10617.7421875,121,112.7669
610000,4551.32,4816.06,122,312.5809,-10895.7587890625,122,116.9236
615000,3956.55,5064.12,123,309.8325,-11023.1357421875,123,117.6064
620000,3236.11,4632.25,124,308.6228,-11181.55078125,124,119.0839
625000,4145.36,4935.83,125,304.5108,-11464.3291015625,125,110.3091
630000,5073.25,4786.6,126,305.7005,-11214.5009765625,126,99.784
635000,4602.04,4960.99,127,311.9342,-11784.751953125,127,115.3692
640000,4179.65,5058.85,128,310.3473,-11826.892578125,128,133.1927
645000,5268.12,4703.71,129,310.6965,-11956.2236328125,129,120.9536
650000,5310.61,5193.37,130,306.0761,-11529.615234375,130,105.6272
655000,4412.2,4945.23,131,314.2147,-12181.87109375,131,113.8328
660000,5149.77,4883.32,132,312.7808,-12367.181640625,132,112.8219
665000,4356.2,5204.63,133,309.0236,-12321.5009765625,133,106.4797
670000,3643.29,4489.16,134,305.2889,-12437.673828125,134,122.7811
675000,3036.44,4820.86,135,314.477,-12483.541015625,135,114.9552
680000,5346.8,4697.49,136,314.098,-12740.1005859375,136,134.8326
685000,1467.51,4976.66,137,308.9784,-12463.140625,137,105.3643
690000,5255.66,4861.45,138,302.2129,-12519.513671875,138,102.7135
695000,4823.47,5144.82,139,314.4561,-13081.3291015625,139,125.2838
700000,3920.17,4889.92,140,310.681,-13102.72265625,140,108.8096
705000,5092.88,4499.05,141,314.2298,-13211.5400390625,141,126.869
710000,5304.09,4755.13,142,305.5441,-13002.7978515625,142,97.6545
715000,4797.17,5005.86,143,305.3881,-13071.8212890625,143,102.8769
720000,4918.36,4805.58,144,298.3933,-12963.720703125,144,89.2033
725000,5252.71,4905.12,145,318.4865,-13932.0986328125,145,148.6616
730000,2412.17,5069.41,146,308.1947,-13403.197265625,146,107.0799
735000,4083.84,4048.2,147,309.1625,-13832.1044921875,147,119.0694
740000,4539.16,5179.99,148,307.1689,-13695.5888671875,148,113.4201
745000,4140.92,5151.39,149,307.1112,-13863.8388671875,149,113.7531
750000,5303.55,4981.05,150,305.0362,-14055.6376953125,150,102.5007
755000,5038.11,5048.01,151,313.617,-14147.880859375,151,109.2775
760000,5034.88,5044.57,152,309.6547,-14266.876953125,152,129.7621
765000,5298.22,5185.19,153,302.1066,-14113.7138671875,153,113.2864
770000,5278.75,4866.68,154,302.8471,-14016.7275390625,154,98.0199
775000,5136.33,4760.81,155,303.3804,-13946.4482421875,155,99.178
780000,4005.95,4832.58,156,304.9341,-14347.90625,156,104.7387
785000,2765.31,5135.72,157,309.2896,-14350.70703125,157,116.7024
790000,4525.13,4792.96,158,308.2441,-14783.4677734375,158,105.0924
795000,1825.86,4730.27,159,311.574,-14841.6005859375,159,123.37
800000,5359.21,4674.5,160,315.4413,-15012.5966796875,160,119.8855
805000,4535.65,4966.42,161,303.8927,-14817.6953125,161,99.6287
810000,5264.94,5163.7,162,302.4444,-14500.1416015625,162,95.3698
815000,5115.51,4867.64,163,308.5561,-14888.9677734375,163,105.6431
820000,4529.23,5005.72,164,310.6436,-15162.26953125,164,117.3981
825000,4279.38,4969.5,165,307.3516,-15180.130859375,165,121.8829
830000,2956.26,5138.2,166,313.9038,-15212.314453125,166,120.1627
835000,4487.55,4930.59,167,306.2797,-15261.6728515625,167,102.7723
840000,5275.2,4806.06,168,303.9637,-14836.52734375,168,104.0658
845000,5056.35,4662.07,169,307.1898,-14910.58984375,169,111.9861
850000,5082.63,5154.15,170,311.6174,-15407.150390625,170,108.5147
855000,4829.07,4943.79,171,306.2782,-15447.6044921875,171,100.1425
860000,4092.03,4942.92,172,311.5175,-15422.734375,172,106.8453
865000,3239.32,4602.07,173,308.9565,-15612.5390625,173,113.534
870000,3910.56,5098.42,174,308.5965,-15823.65625,174,110.6904
875000,5086.23,4924.9,175,304.0317,-15700.5361328125,175,97.8646
880000,4584.18,4931.71,176,305.3636,-15565.3759765625,176,102.4438
885000,5068.57,4309.76,177,309.6538,-15949.642578125,177,111.5963
890000,5288.41,4713.23,178,305.9021,-15436.2822265625,178,106.2843
895000,4414.93,4224.99,179,304.337,-15927.9228515625,179,99.3002
900000,4383.44,4503.43,180,308.105,-15990.1171875,180,126.7867
905000,5071.47,4877.48,181,301.5708,-15795.259765625,181,94.3512
910000,5315.25,4420.03,182,301.3091,-16013.580078125,182,97.3009
915000,1389.53,5116.78,183,307.7064,-15957.759765625,183,106.925
920000,4948.44,4908.81,184,313.4648,-15833.5361328125,184,116.8909
925000,3675.51,4872.67,185,307.2745,-16347.72265625,185,103.7598
930000,4548.28,5106.45,186,308.8923,-15992.8515625,186,112.6912
935000,4567.86,4943.91,187,311.3589,-16372.734375,187,100.9416
940000,4849.08,4946.79,188,308.776,-16255.84375,188,108.4836
945000,3745.98,5094.86,189,307.1662,-16507.90234375,189,103.1409
950000,4835.2,5076.16,190,302.9133,-16253.5478515625,190,109.2315
955000,4049.78,4870.64,191,306.2365,-16277.4013671875,191,107.6193
960000,5240.18,5086.65,192,308.1998,-16296.5107421875,192,108.6162
965000,4466.53,5129.78,193,304.8037,-16446.841796875,193,98.3178
970000,4866.97,4882.2,194,303.2532,-16503.60546875,194,96.3217
975000,4976.56,5091.87,195,301.8837,-16448.7109375,195,97.3132
980000,5032.56,5049.2,196,304.6785,-16605.13671875,196,98.5925
985000,5265.48,4932.55,197,303.2867,-16567.29296875,197,96.2147
990000,4870.4,5160.86,198,305.631,-16638.3203125,198,103.9231
995000,4817.8,5134.03,199,300.8972,-16554.3359375,199,95.4997
1000000,4465.5,5137.85,200,309.2088,-16859.880859375,200,104.7071
1005000,4779.01,4986.53,201,304.6133,-16821.61328125,201,101.7134
1010000,5041.01,5135.37,202,307.8323,-16859.640625,202,113.7966
1015000,5274.79,4886.61,203,303.1508,-16799.376953125,203,98.2965
1020000,4343.77,5106.55,204,302.0659,-16863.8125,204,102.701
1025000,4843.2,5121.14,205,302.6198,-16913.34765625,205,100.0991
1030000,5027.37,4757.16,206,305.8044,-17024.974609375,206,103.3143
1035000,4342.45,5127.45,207,303.6999,-17099.2421875,207,98.9532
1040000,5311.48,5168.41,208,303.0457,-17040.53125,208,103.5731
1045000,5078.44,5007.23,209,304.4305,-17085.400390625,209,101.4298
1050000,5125.14,5013.37,210,304.9983,-17220.85546875,210,106.118
1055000,5363.3,5032.01,211,303.5003,-17267.33203125,211,104.187
1060000,5154.49,5103.12,212,306.6491,-17168.25390625,212,128.3381
1065000,5109.28,5203.37,213,310.9346,-17339.53515625,213,144.847
1070000,5353.55,5204.8,214,309.5112,-17391.158203125,214,122.5092
