Running Forward KL,Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL,Itration
17.4719,-1209.741455078125,154,3531.07,770000,3490.81,12.1431,154
17.4986,-1261.4072265625,155,3513.36,775000,3380.54,11.7968,155
18.5418,-1170.458984375,156,3576.34,780000,3483.35,12.594,156
17.3908,-1191.532470703125,157,3517.41,785000,3469.68,12.0935,157
17.9612,-1538.75634765625,158,3477.25,790000,3383.64,11.9713,158
17.9721,-1348.818359375,159,3555.71,795000,3523.44,12.4852,159
18.2229,-1238.604736328125,160,3563.33,800000,3359.79,12.1877,160
17.5784,-1370.40283203125,161,3518.07,805000,3461.33,12.3906,161
18.107,-1551.5684814453125,162,3453.52,810000,3343.44,13.1185,162
17.0039,-1367.004150390625,163,3501.28,815000,3461.43,12.377,163
17.5931,-1412.80078125,164,3528.2,820000,3493.52,12.5449,164
17.4566,-1412.8521728515625,165,3538.55,825000,3522.14,12.3642,165
