Real Det Return,Reward Loss,Itration,Running Env Steps,Running Update Time,Real Sto Return,Running Reverse KL,Running Forward KL
2754.05,-963.2970581054688,103,515000,103,2738.11,14.4548,25.3267
2886.82,-973.5486450195312,104,520000,104,2804.04,13.3405,23.944
1770.5,-2267.552734375,105,525000,105,1478.13,24.9046,24.0375
2804.1,-1036.6826171875,106,530000,106,2722.35,14.0152,24.92
2235.1,-1117.7886962890625,107,535000,107,2289.54,12.3463,25.5511
2484.61,-1162.2989501953125,108,540000,108,2169.82,13.9671,25.6955
2784.77,-1125.31005859375,109,545000,109,2806.1,13.5056,24.4261
2628.58,-1145.0076904296875,110,550000,110,2589.15,12.8442,24.1107
2991.85,-1221.92919921875,111,555000,111,2847.8,13.4954,23.9996
2821.54,-1142.9603271484375,112,560000,112,2688.54,13.16,24.0957
2765.52,-1226.6094970703125,113,565000,113,2794.27,13.9426,24.3888
2738.75,-1172.0587158203125,114,570000,114,2696.86,12.4238,23.5675
2772.49,-1501.6148681640625,115,575000,115,2717.5,13.9373,23.6084
2779.16,-1136.142578125,116,580000,116,2266.11,15.282,24.947
2508.78,-1494.20166015625,117,585000,117,2571.64,13.0731,25.6081
2757.91,-1369.610595703125,118,590000,118,2766.35,14.1414,24.7081
2640.01,-1390.41845703125,119,595000,119,2613.61,13.6982,24.6217
2552.23,-1226.791259765625,120,600000,120,2580.17,13.6854,26.276
2603.62,-1189.5888671875,121,605000,121,2674.16,14.2702,25.0656
2888.74,-1067.2493896484375,122,610000,122,2864.24,15.0337,24.4947
2794.68,-1507.5985107421875,123,615000,123,1263.63,15.2559,25.1855
2869.21,-1219.46142578125,124,620000,124,2908.52,14.4956,24.02
2784.68,-1355.20849609375,125,625000,125,2783.32,14.5865,25.0137
2914.03,-1181.2249755859375,126,630000,126,2928.4,14.8654,24.0733
2792.83,-1461.2303466796875,127,635000,127,2793.43,13.7489,24.1152
2738.02,-1227.639892578125,128,640000,128,2766.66,15.0425,24.5282
2711.24,-1565.240478515625,129,645000,129,2762.58,15.7961,25.3691
2691.53,-1308.2821044921875,130,650000,130,2652.05,13.6942,24.8511
2757.12,-1497.040771484375,131,655000,131,2770.81,15.1457,25.115
2696.03,-1483.6912841796875,132,660000,132,2899.52,13.3539,23.2502
2901.15,-915.1480102539062,133,665000,133,2826.35,12.6881,22.6293
3067.07,-1234.41259765625,134,670000,134,2995.34,14.1416,22.5582
2786.07,-2019.949951171875,135,675000,135,2184.45,23.1705,23.568
3052.06,-577.4823608398438,136,680000,136,3070.83,14.0537,22.0744
3026.5,-1313.4215087890625,137,685000,137,2989.39,13.9944,22.8904
3028.29,-440.41748046875,138,690000,138,3033.21,14.887,21.7855
3046.56,-1240.7310791015625,139,695000,139,2978.41,13.7659,23.4363
3075.67,-1068.873046875,140,700000,140,1637.52,13.6842,21.7378
3101.65,-612.8768920898438,141,705000,141,3021.32,12.8856,21.6598
3084.39,-1144.667724609375,142,710000,142,2999.4,13.6671,22.1578
2908.44,-1346.8160400390625,143,715000,143,2956.6,14.2747,23.607
3016.8,-1770.6820068359375,144,720000,144,2613.31,19.978,22.5492
3118.95,-1491.4627685546875,145,725000,145,3077.95,14.1464,22.2358
3120.42,-1002.4169921875,146,730000,146,2120.76,15.6978,23.7406
3174.73,-649.1884155273438,147,735000,147,3170.91,15.2594,21.6017
1464.25,-1096.6256103515625,148,740000,148,2833.47,13.4724,21.9032
3011.2,-1015.5790405273438,149,745000,149,2973.22,14.5676,22.1929
3001.99,-1435.608642578125,150,750000,150,1464.48,12.7994,22.1216
2213.81,-2007.674072265625,151,755000,151,2105.44,11.8185,25.3674
2909.74,-1657.146240234375,152,760000,152,2960.36,12.3034,22.4306
2983.2,-1639.0697021484375,153,765000,153,2836.57,14.2536,23.291
3084.87,-1798.5833740234375,154,770000,154,2437.7,13.3533,22.5046
3135.51,-1803.2503662109375,155,775000,155,2587.68,18.2849,22.6967
2988.37,-1789.0662841796875,156,780000,156,2844.88,15.3548,23.417
3005.98,-1562.774658203125,157,785000,157,2653.79,12.2088,21.8688
3108.33,-1648.7607421875,158,790000,158,2477.85,15.6889,22.2785
3173.56,-964.8576049804688,159,795000,159,3108.15,10.8019,20.0413
3167.19,-1244.1597900390625,160,800000,160,3062.04,13.8767,22.5061
2866.88,-1551.61865234375,161,805000,161,3128.54,14.5096,22.4212
3241.02,-1664.4886474609375,162,810000,162,3154.05,14.9809,23.3243
3272.48,-1157.459716796875,163,815000,163,3205.7,14.0426,22.142
3064.54,-1697.3575439453125,164,820000,164,3015.82,12.3782,22.4613
3273.7,-963.84326171875,165,825000,165,3244.0,14.7269,21.6967
3157.37,-1065.299560546875,166,830000,166,3127.08,13.4613,21.386
3164.29,-1628.9981689453125,167,835000,167,3098.67,13.5852,21.8933
3118.96,-1640.334228515625,168,840000,168,2845.2,13.3037,21.5886
3208.5,-1048.6383056640625,169,845000,169,2389.2,13.9556,21.3477
3083.63,-1657.0089111328125,170,850000,170,2931.85,16.0538,24.0679
3224.31,-1326.8690185546875,171,855000,171,3188.73,14.8512,21.8546
3155.16,-1627.024658203125,172,860000,172,3150.09,15.814,22.9876
3236.14,-2113.5107421875,173,865000,173,3037.2,14.7888,23.4732
3256.88,-1357.2738037109375,174,870000,174,3027.91,20.962,21.673
3036.28,-1569.280517578125,175,875000,175,3156.36,14.5639,22.8959
3009.58,-1738.5894775390625,176,880000,176,3155.71,14.6608,22.5834
3045.24,-1629.844482421875,177,885000,177,2284.94,14.5195,22.6718
3033.38,-1767.0155029296875,178,890000,178,3115.61,14.9003,23.4989
3067.86,-1877.5867919921875,179,895000,179,2819.47,16.1579,23.5544
2732.82,-2260.446533203125,180,900000,180,2761.63,16.5997,25.4193
3223.84,-1443.3292236328125,181,905000,181,3192.53,15.1509,23.6726
3312.32,-1600.8367919921875,182,910000,182,3131.41,14.2824,21.7294
3125.74,-1625.3890380859375,183,915000,183,3160.1,14.4676,21.8479
3196.99,-2108.14453125,184,920000,184,3022.39,15.0678,21.6165
3270.49,-1530.35107421875,185,925000,185,3004.5,13.4204,21.1902
3180.36,-1638.7353515625,186,930000,186,2384.84,14.5521,21.1411
3237.94,-1867.9444580078125,187,935000,187,2485.66,14.8087,22.5518
3105.02,-1888.1749267578125,188,940000,188,2670.29,13.6002,21.8817
3140.99,-1741.8094482421875,189,945000,189,2327.69,17.1382,23.2671
3289.79,-1264.9202880859375,190,950000,190,2166.13,11.711,19.3642
3254.85,-1565.698974609375,191,955000,191,2845.29,15.4219,21.5951
3164.42,-1848.17236328125,192,960000,192,2440.52,14.0708,21.9409
3281.28,-695.2544555664062,193,965000,193,2953.41,14.7629,21.0923
2966.29,-2035.100830078125,194,970000,194,2972.19,14.4215,22.3719
3146.67,-1863.92724609375,195,975000,195,3213.69,15.3492,21.408
3113.22,-1620.3045654296875,196,980000,196,3005.56,14.8903,20.384
3261.57,-1580.7642822265625,197,985000,197,3005.4,13.2026,21.1501
3174.72,-2078.677734375,198,990000,198,2919.45,14.9751,21.7361
3208.84,-2486.195556640625,199,995000,199,2458.59,16.9433,23.5288
