Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Reward Loss,Real Det Return
111,555000,15.4318,4600.84,111,38.5304,-3211.77880859375,4724.81
112,560000,17.9258,4602.32,112,41.0661,-3283.44921875,4791.19
113,565000,17.755,4542.45,113,39.8899,-3340.266357421875,4601.59
114,570000,15.7993,4610.5,114,39.7456,-3194.849853515625,4809.57
115,575000,16.052,4620.12,115,38.9028,-3182.220458984375,4815.51
116,580000,16.3058,4661.39,116,39.6825,-3110.888916015625,4817.53
117,585000,15.1855,4673.85,117,37.737,-3051.796630859375,4717.24
118,590000,17.0468,4667.9,118,39.8589,-3622.626220703125,4805.86
119,595000,17.0648,4647.84,119,39.9178,-3378.70263671875,4812.77
120,600000,15.9854,4551.45,120,39.7339,-3652.1064453125,4769.46
121,605000,16.1524,4614.06,121,39.9967,-3444.057861328125,4757.37
122,610000,15.8904,4677.39,122,38.2601,-3301.316162109375,4769.39
123,615000,14.8679,4635.68,123,38.5397,-3288.376953125,4847.26
124,620000,16.6715,4521.39,124,40.0406,-3492.625244140625,4671.05
125,625000,15.6608,4507.01,125,39.5319,-3256.517333984375,4707.09
126,630000,15.0,4692.04,126,37.2916,-3414.890869140625,4803.75
127,635000,15.9567,4687.02,127,40.0455,-3724.023193359375,4773.83
128,640000,15.1475,4661.47,128,38.5519,-3723.76806640625,4709.64
129,645000,15.3385,4488.58,129,38.7793,-3521.09228515625,4671.92
130,650000,16.4919,4696.51,130,40.0763,-3871.445556640625,4727.55
131,655000,15.2126,4615.64,131,37.8595,-3316.624267578125,4714.06
132,660000,15.9346,4690.53,132,38.7909,-3710.237548828125,4709.59
133,665000,15.9715,4615.92,133,38.885,-3614.24951171875,4727.47
134,670000,18.0258,4777.01,134,40.3911,-3869.340087890625,4774.92
135,675000,15.5879,4509.68,135,38.5923,-3448.25439453125,4691.34
136,680000,15.4559,4718.82,136,38.3758,-3649.431884765625,4793.9
137,685000,16.7166,4719.45,137,38.8009,-3552.79638671875,4731.23
138,690000,17.8069,4773.54,138,38.7142,-4046.27783203125,4797.62
139,695000,16.4123,4746.46,139,38.8185,-3856.80712890625,4778.89
140,700000,16.7923,4745.97,140,40.4386,-4128.43359375,4774.9
141,705000,16.0952,4759.63,141,37.81,-3802.962646484375,4817.56
142,710000,19.1159,4800.0,142,40.5667,-4208.19580078125,4931.57
143,715000,16.9436,4813.42,143,38.1336,-3871.49560546875,4880.12
144,720000,17.1735,4770.31,144,39.8942,-4133.189453125,4701.19
145,725000,17.4198,4748.77,145,39.865,-4109.599609375,4795.36
146,730000,15.9074,4761.01,146,39.1291,-4076.676513671875,4867.19
147,735000,16.2637,4767.65,147,37.9233,-3983.975341796875,4883.93
148,740000,17.6813,4786.15,148,38.4663,-4166.23193359375,4882.71
149,745000,17.18,4779.65,149,38.9414,-4258.67431640625,4906.58
150,750000,15.0591,4673.76,150,37.8413,-3887.906494140625,4699.15
151,755000,16.6898,4732.27,151,38.8193,-4305.50048828125,4748.02
152,760000,17.7967,4767.25,152,40.7293,-4535.88037109375,4905.79
153,765000,15.0464,4734.98,153,37.1481,-4025.569091796875,4773.31
154,770000,14.8788,4742.41,154,36.9225,-3846.418701171875,4736.34
155,775000,16.0987,4838.27,155,36.3224,-3834.9150390625,4842.0
156,780000,14.2335,4748.34,156,36.9152,-3778.63427734375,4748.96
157,785000,15.3052,4772.05,157,37.8435,-4191.1123046875,4848.31
158,790000,17.8538,4812.58,158,39.2849,-4526.75146484375,4885.22
159,795000,14.9205,4786.61,159,37.5615,-4130.833984375,4857.64
160,800000,17.1264,4834.4,160,38.41,-4459.23779296875,4976.49
161,805000,15.2224,4785.97,161,37.8509,-4268.51220703125,4786.28
162,810000,16.8789,4761.51,162,39.5595,-4889.119140625,4874.5
163,815000,15.3654,4763.49,163,37.7568,-4451.32568359375,4855.87
164,820000,17.5701,4787.1,164,40.1268,-4831.18701171875,4926.62
165,825000,16.1675,4849.82,165,38.5872,-4566.15380859375,4947.41
166,830000,16.7729,4814.41,166,38.4601,-4525.18896484375,4956.35
167,835000,17.4605,4822.72,167,38.6142,-4761.47119140625,4925.45
168,840000,17.921,4782.05,168,39.7452,-4928.21044921875,4951.0
169,845000,18.2738,4764.51,169,40.7154,-5166.88671875,4951.25
170,850000,15.7079,4816.65,170,37.6225,-4526.27783203125,4798.35
171,855000,17.5489,4789.47,171,40.0584,-5261.3037109375,4905.67
172,860000,16.0179,4745.01,172,38.6866,-4849.5419921875,4881.6
173,865000,16.7476,4836.98,173,38.4142,-5074.556640625,4867.98
174,870000,17.689,4698.33,174,40.5399,-5518.50341796875,4824.19
175,875000,17.7261,4782.22,175,40.3039,-5325.40185546875,4873.33
176,880000,15.4103,4806.27,176,37.0947,-4853.48291015625,4802.79
177,885000,16.848,4790.29,177,39.1635,-5353.193359375,4932.33
178,890000,17.5805,4801.11,178,38.9568,-5067.390625,4759.1
179,895000,18.481,4812.27,179,39.6897,-5309.591796875,4955.06
180,900000,15.692,4729.55,180,38.6756,-5011.373046875,4658.17
181,905000,16.3647,4794.03,181,38.7961,-5121.44921875,4903.62
182,910000,17.2798,4849.69,182,39.5983,-5283.3984375,5030.05
183,915000,16.541,4787.46,183,38.9528,-5182.80517578125,4745.54
184,920000,18.103,4757.99,184,40.5142,-5506.919921875,4988.8
185,925000,16.5956,4844.49,185,38.1655,-5424.39892578125,4826.59
186,930000,16.5836,4876.43,186,38.4479,-5403.39990234375,5076.76
187,935000,15.621,4882.51,187,37.8177,-5279.03857421875,4889.78
188,940000,18.3767,4856.73,188,40.4301,-5789.7548828125,4994.99
189,945000,17.5559,4907.44,189,38.7424,-5571.431640625,5109.24
190,950000,16.578,4736.96,190,40.1316,-5839.32177734375,4906.09
191,955000,17.8195,4849.87,191,39.4774,-5640.35302734375,4979.24
192,960000,18.3277,4784.16,192,40.6379,-5908.861328125,4991.78
193,965000,16.2387,4826.42,193,39.2313,-5982.50927734375,5012.81
194,970000,17.9991,4769.46,194,40.1975,-5983.99853515625,4925.05
195,975000,17.0992,4832.56,195,38.2138,-5682.84765625,4927.56
196,980000,17.7242,4809.49,196,40.2317,-6111.6181640625,4989.04
197,985000,17.0957,4804.09,197,39.3867,-5900.509765625,4979.01
198,990000,15.2144,4834.25,198,37.9128,-5671.1181640625,4830.97
199,995000,17.3195,4856.68,199,39.6492,-5923.1845703125,5028.6
200,1000000,17.2626,4761.59,200,39.8821,-6185.19921875,4963.11
201,1005000,18.1526,4753.17,201,40.0266,-6090.1552734375,4985.82
202,1010000,18.2043,4779.26,202,40.1146,-6118.7138671875,4967.06
203,1015000,18.6428,4725.36,203,41.0135,-6104.130859375,4962.25
204,1020000,18.5682,4730.59,204,41.0593,-6194.31787109375,4995.94
205,1025000,18.1605,4728.39,205,40.1405,-6259.97119140625,4988.21
206,1030000,18.0284,4681.34,206,40.8877,-6344.11962890625,4964.37
207,1035000,18.8541,4674.54,207,41.0412,-6477.3857421875,4957.0
208,1040000,17.8868,4708.45,208,40.7876,-6454.35595703125,5007.73
209,1045000,18.394,4736.75,209,40.7615,-6480.82080078125,4976.88
210,1050000,18.363,4700.26,210,40.1154,-6435.10009765625,4960.58
211,1055000,18.2639,4765.81,211,40.5334,-6357.61328125,5065.86
212,1060000,17.6954,4771.36,212,39.5077,-6466.2216796875,4994.13
213,1065000,17.7226,4801.93,213,39.2674,-6516.72412109375,5028.54
214,1070000,17.5614,4812.88,214,39.3435,-6454.8955078125,5072.53
215,1075000,17.0031,4811.02,215,39.7615,-6732.35595703125,4935.32
216,1080000,17.5241,4793.08,216,40.3526,-6933.8623046875,5051.53
217,1085000,17.9726,4770.6,217,40.1928,-7089.630859375,5037.52
218,1090000,16.8442,4821.19,218,39.6497,-6806.2744140625,5071.88
219,1095000,17.0038,4760.18,219,39.7582,-6896.4521484375,4963.57
220,1100000,17.066,4807.5,220,39.1154,-6887.8896484375,5037.03
221,1105000,17.2032,4832.73,221,39.6479,-6953.6787109375,5106.54
222,1110000,16.664,4816.34,222,39.1372,-6778.29150390625,5102.01
223,1115000,17.1783,4759.76,223,40.5786,-6987.47119140625,5029.21
224,1120000,16.8922,4762.37,224,40.0099,-6979.56640625,5020.73
225,1125000,16.7624,4812.55,225,39.5399,-7029.2880859375,5057.52
226,1130000,16.1457,4814.2,226,39.1351,-7020.90771484375,5029.03
227,1135000,15.9177,4771.15,227,39.4048,-7039.30029296875,5060.87
228,1140000,16.1965,4582.8,228,38.9262,-7160.3115234375,5036.3
229,1145000,15.287,4811.44,229,38.6527,-6849.94873046875,4999.74
230,1150000,16.2107,4812.86,230,38.7893,-6949.91650390625,5021.78
231,1155000,16.898,4800.15,231,39.62,-7161.2705078125,5039.75
232,1160000,16.7565,4781.29,232,39.5815,-7245.9716796875,5071.19
233,1165000,15.7493,4768.29,233,38.2146,-6976.8251953125,4896.99
234,1170000,14.909,4861.67,234,37.4249,-6590.28857421875,4867.5
235,1175000,15.52,4840.23,235,38.6196,-7088.19873046875,4962.57
236,1180000,16.1847,4681.81,236,39.0881,-7061.59130859375,5104.97
237,1185000,16.153,4812.67,237,38.5083,-7164.81689453125,5093.34
238,1190000,15.6688,4595.86,238,38.6457,-7156.7060546875,5024.83
239,1195000,21.0421,4295.91,239,37.4976,-7051.2822265625,4673.83
240,1200000,15.6019,4806.85,240,38.184,-7263.30078125,4806.59
241,1205000,15.6059,4832.57,241,38.6417,-7296.03466796875,4991.08
242,1210000,15.2927,4612.63,242,38.0296,-7215.19580078125,4902.33
243,1215000,15.1215,4644.98,243,38.0099,-7241.638671875,4857.31
244,1220000,14.7701,4609.87,244,37.8604,-7270.68701171875,5014.25
245,1225000,14.6618,4604.06,245,37.5758,-7190.76513671875,4902.25
246,1230000,14.3263,4844.42,246,37.2112,-7113.7705078125,4889.76
247,1235000,15.0432,4707.53,247,37.5233,-7276.19287109375,4872.38
248,1240000,15.1236,4438.09,248,37.6882,-7424.4658203125,4988.55
249,1245000,16.2857,4847.06,249,38.0643,-7746.0625,4914.12
250,1250000,14.5931,4858.71,250,37.3343,-7363.2353515625,4843.31
251,1255000,15.5721,4119.28,251,38.0107,-7438.962890625,4982.37
252,1260000,14.7561,4887.82,252,37.7704,-7549.61376953125,4910.05
253,1265000,17.3696,4807.07,253,38.3835,-7889.74462890625,4715.28
254,1270000,14.0449,4716.35,254,37.1476,-7696.5380859375,4807.48
255,1275000,14.4425,4579.36,255,37.3932,-7376.0966796875,3834.02
256,1280000,13.8822,4726.65,256,37.0056,-6990.18212890625,4768.22
257,1285000,25.5014,3655.72,257,40.7986,-9426.390625,4714.37
258,1290000,15.589,4166.27,258,40.7145,-7818.14599609375,3830.94
259,1295000,17.7409,4629.1,259,40.8188,-8773.6318359375,4682.97
260,1300000,15.0884,4540.6,260,37.9396,-7694.46923828125,4284.6
261,1305000,16.6697,4575.08,261,39.4792,-8459.6572265625,5011.36
262,1310000,15.6834,4775.72,262,39.0159,-8286.7978515625,4899.12
263,1315000,16.7167,4841.34,263,38.8276,-8619.498046875,5111.78
264,1320000,17.7945,4791.52,264,40.035,-8534.48046875,4938.07
265,1325000,16.4706,4775.6,265,39.4282,-8562.849609375,4073.2
266,1330000,16.2518,4668.82,266,38.7734,-8499.3671875,5046.73
267,1335000,16.8482,4382.07,267,39.9369,-9792.8798828125,3934.83
268,1340000,17.9978,4593.04,268,40.5963,-8854.0341796875,5026.22
269,1345000,17.2194,4151.26,269,40.1973,-8834.8203125,4990.9
270,1350000,17.5832,4617.88,270,40.1948,-8648.46484375,4959.43
271,1355000,17.6665,4797.06,271,40.0145,-8853.1181640625,4179.77
272,1360000,16.5322,4605.33,272,39.072,-9208.2236328125,2996.96
273,1365000,14.9731,4283.08,273,38.0835,-8230.537109375,4898.2
274,1370000,18.2109,4815.91,274,40.6926,-9822.8291015625,4846.18
275,1375000,18.8456,4788.77,275,39.1263,-9475.67578125,4881.31
276,1380000,19.7729,4878.2,276,38.7626,-9555.1923828125,5080.95
277,1385000,28.0896,4009.5,277,40.0868,-9357.96875,4855.99
278,1390000,18.1402,4248.89,278,39.23,-9694.0830078125,4424.72
279,1395000,26.3766,4595.62,279,40.5975,-10175.33984375,4954.76
280,1400000,16.2738,4827.67,280,39.0327,-9159.00390625,5099.29
281,1405000,20.446,4786.23,281,40.2073,-10354.265625,4996.77
282,1410000,17.6647,4810.03,282,39.6827,-10121.3134765625,5028.48
283,1415000,17.0235,4429.88,283,39.2517,-9480.521484375,5142.28
284,1420000,26.4455,4641.95,284,39.4877,-10094.9853515625,5023.93
285,1425000,16.1666,4881.85,285,38.6969,-9570.3974609375,5049.59
286,1430000,16.2918,4859.42,286,38.8949,-9949.7470703125,5129.76
287,1435000,15.4632,4830.29,287,39.0783,-10066.55859375,5086.67
288,1440000,15.8663,4838.53,288,38.8048,-10009.5185546875,5041.98
289,1445000,15.6056,4850.35,289,38.2552,-9931.306640625,5010.78
290,1450000,16.0062,4842.08,290,39.3085,-10286.6982421875,5070.46
291,1455000,16.2446,4614.58,291,39.2186,-10053.2333984375,5068.5
292,1460000,15.5953,4882.1,292,38.8915,-10074.43359375,5075.34
293,1465000,15.7336,4873.87,293,38.6784,-9988.3779296875,5111.95
294,1470000,15.1705,4846.74,294,39.0742,-9992.08984375,4996.04
295,1475000,14.7882,4861.0,295,38.0168,-9840.9404296875,5147.6
296,1480000,15.8838,4855.35,296,38.4673,-10308.294921875,4976.29
297,1485000,15.8572,4909.48,297,38.3618,-10084.033203125,5143.0
298,1490000,15.2537,4883.74,298,38.3524,-10187.4453125,5120.48
299,1495000,15.6153,4630.96,299,38.3496,-10301.3369140625,5036.64
300,1500000,15.2939,4871.9,300,38.4358,-10198.50390625,5082.14
301,1505000,15.0663,4833.25,301,38.0075,-10328.232421875,5112.45
302,1510000,16.5639,4908.57,302,38.9132,-10822.8583984375,5197.76
303,1515000,15.6554,4840.4,303,38.7108,-10505.921875,5054.77
304,1520000,16.1504,4916.14,304,38.6238,-10551.7470703125,5120.12
305,1525000,15.7838,4886.6,305,38.4264,-10609.8291015625,5125.08
306,1530000,15.6314,4892.42,306,38.3432,-10688.888671875,5058.13
307,1535000,15.3458,4900.49,307,37.887,-10516.9638671875,5105.18
308,1540000,15.9579,4846.4,308,38.0978,-10810.9765625,5124.8
309,1545000,16.8151,4912.81,309,38.8032,-10893.0087890625,5131.44
310,1550000,15.8439,4927.94,310,38.6502,-11254.3857421875,5163.53
311,1555000,16.5222,4772.08,311,38.9213,-11159.591796875,5068.7
312,1560000,16.6147,4925.24,312,38.3442,-11394.796875,5131.56
313,1565000,16.9594,4930.55,313,39.2362,-11326.5126953125,5143.25
314,1570000,16.2082,4852.84,314,38.4679,-11617.9228515625,5042.53
315,1575000,16.8674,4907.81,315,38.7829,-11386.9140625,5059.66
316,1580000,16.1766,4927.68,316,38.7137,-11709.5068359375,5116.3
317,1585000,15.9227,4956.49,317,38.3772,-11499.2685546875,5165.98
318,1590000,16.9203,4958.9,318,38.4871,-11271.8896484375,5146.16
319,1595000,16.6156,4968.05,319,38.9186,-11251.900390625,5216.51
320,1600000,16.4907,4981.88,320,38.4251,-11482.427734375,5197.83
321,1605000,16.9541,4973.87,321,38.8559,-11767.908203125,5206.13
322,1610000,16.6239,4952.67,322,38.5557,-11441.900390625,5209.74
323,1615000,16.7267,4930.1,323,39.0696,-11990.40625,5143.7
324,1620000,16.0356,4981.37,324,38.5094,-11715.318359375,5184.22
325,1625000,17.7633,4955.48,325,38.9855,-12395.5693359375,5163.23
326,1630000,16.5178,5000.99,326,38.4808,-11726.34765625,5209.24
327,1635000,15.7343,5048.78,327,38.2606,-11627.365234375,5293.97
328,1640000,15.9915,5009.14,328,38.1511,-11795.419921875,5209.76
329,1645000,15.9726,4995.16,329,38.0475,-11880.28125,5203.86
330,1650000,15.5323,5022.01,330,37.2691,-12059.5234375,5258.38
331,1655000,16.415,5005.49,331,38.299,-11887.34765625,5226.74
332,1660000,16.1535,4986.73,332,38.1759,-11925.7783203125,5174.3
333,1665000,16.2872,5013.9,333,37.8387,-11821.9013671875,5214.9
334,1670000,16.2149,5003.56,334,38.1273,-11875.482421875,5241.22
335,1675000,16.426,4997.22,335,38.3138,-12222.814453125,5234.12
336,1680000,16.1877,5027.35,336,37.7189,-11819.7919921875,5205.25
337,1685000,16.0105,4960.46,337,37.606,-11808.912109375,5119.68
338,1690000,16.6461,4985.05,338,38.3354,-12539.892578125,5205.13
339,1695000,15.8541,4998.61,339,37.8149,-12245.7783203125,5240.68
340,1700000,16.34,5027.25,340,37.814,-12246.169921875,5171.31
341,1705000,16.526,5062.57,341,37.6754,-12267.576171875,5227.01
342,1710000,15.6126,5032.06,342,37.3523,-12068.9384765625,5187.71
343,1715000,16.8533,4818.29,343,37.7662,-12320.94140625,5259.07
344,1720000,15.8644,5026.43,344,38.0006,-12678.158203125,5238.27
345,1725000,16.2721,5048.14,345,37.9787,-12600.3642578125,5244.86
346,1730000,15.5956,4996.09,346,37.3407,-12678.611328125,5269.05
347,1735000,15.9195,5076.96,347,38.1995,-12610.986328125,5281.85
348,1740000,16.2434,5045.86,348,37.42,-12903.9990234375,5219.06
349,1745000,15.5204,5040.45,349,37.4868,-12645.9140625,5330.61
350,1750000,15.7873,4941.43,350,37.2538,-12328.7041015625,5323.54
351,1755000,15.5856,5048.41,351,37.5651,-12958.2509765625,5229.99
352,1760000,16.1572,5082.92,352,37.663,-12694.2138671875,5332.42
353,1765000,15.9082,5044.21,353,37.5346,-12928.75390625,5272.1
354,1770000,16.0777,5045.57,354,38.2136,-13323.9677734375,5269.72
355,1775000,15.6263,4785.31,355,37.8792,-13236.4423828125,5215.01
356,1780000,16.3674,5078.43,356,37.8986,-12578.64453125,5255.99
357,1785000,15.6451,5076.13,357,36.6517,-12610.0517578125,5220.98
358,1790000,15.925,5060.41,358,37.0917,-13187.568359375,5241.96
359,1795000,15.2996,5035.02,359,37.0819,-13419.1240234375,5251.85
360,1800000,15.741,5055.12,360,37.1886,-12453.0927734375,5247.74
361,1805000,15.8565,5055.56,361,36.9532,-13441.6220703125,5220.35
362,1810000,16.2652,5072.9,362,37.4035,-13020.0771484375,5256.45
363,1815000,16.4822,5055.22,363,37.5071,-13116.75,5281.99
364,1820000,25.6329,-3.29,364,52.1121,-21576.712890625,-3.93
365,1825000,72.4362,458.71,365,51.4092,-18866.083984375,533.48
366,1830000,112.3261,373.97,366,47.1176,-20132.73828125,368.07
367,1835000,26.1616,1253.11,367,43.4288,-20541.419921875,1359.74
368,1840000,26.0362,3197.47,368,44.0351,-14762.759765625,3111.45
369,1845000,39.4627,1337.26,369,43.3057,-19076.095703125,1608.67
370,1850000,58.6509,586.09,370,44.8198,-18522.755859375,435.18
371,1855000,22.1762,3278.34,371,40.5596,-15175.20703125,4501.78
372,1860000,20.2752,4345.62,372,39.5769,-15119.20703125,3949.6
373,1865000,17.5425,4711.56,373,39.6763,-15871.4970703125,4617.1
374,1870000,17.5266,4575.24,374,38.7547,-14798.7138671875,4833.61
375,1875000,17.174,4823.53,375,39.2952,-15795.001953125,4931.07
376,1880000,17.3215,4852.41,376,39.0933,-16002.3916015625,5022.23
377,1885000,17.418,4770.23,377,38.2822,-16325.8251953125,4982.62
378,1890000,17.4242,4870.11,378,39.1158,-16533.90625,5011.15
379,1895000,17.869,4843.92,379,39.4617,-16764.49609375,5021.97
380,1900000,18.6975,4862.04,380,39.9305,-17026.54296875,5060.3
381,1905000,18.4729,4450.52,381,39.0279,-16470.2265625,5121.13
382,1910000,18.1966,4437.71,382,39.2689,-16741.693359375,5067.26
383,1915000,18.5487,4882.76,383,39.2963,-16372.162109375,5066.28
384,1920000,17.7803,4901.45,384,38.6861,-16296.4130859375,5071.11
385,1925000,17.9935,4933.01,385,38.3998,-15975.103515625,5142.53
