Itration,Real Det Return,Running Forward KL,Reward Loss,Running Update Time,Running Reverse KL,Real Sto Return,Running Env Steps
118,5054.48,245.0672,-22049.48828125,118,70.2017,5067.02,590000
119,5096.46,247.7847,-19436.04296875,119,71.4056,5076.81,595000
120,5034.52,250.2394,-20649.166015625,120,69.7312,4927.96,600000
121,5123.75,240.8237,-18642.435546875,121,65.3046,4823.64,605000
122,5167.89,241.2351,-20115.849609375,122,60.2715,4981.56,610000
123,2890.57,250.4271,-22064.6484375,123,80.1131,3459.34,615000
124,5167.2,247.9596,-24660.8125,124,75.1789,4479.21,620000
125,5194.22,234.1228,-20735.58984375,125,55.05,5133.89,625000
126,5181.46,244.4068,-21982.470703125,126,66.2086,4900.65,630000
127,5227.44,240.6812,-21792.30859375,127,58.9596,5095.0,635000
128,5150.96,245.6512,-24831.662109375,128,68.8047,5059.1,640000
129,5233.38,246.9554,-28193.634765625,129,83.8649,4940.22,645000
130,5187.65,240.0053,-23629.8203125,130,65.2339,4958.29,650000
131,5184.17,233.2441,-22960.548828125,131,53.3631,5110.4,655000
132,5223.91,243.1181,-26929.849609375,132,76.012,5150.73,660000
133,5289.52,225.4548,-22095.349609375,133,47.8315,5156.47,665000
134,4594.33,229.3713,-24119.330078125,134,50.765,4956.98,670000
135,5246.81,232.6019,-24357.330078125,135,57.6685,4926.19,675000
136,5188.75,226.6516,-24478.9609375,136,47.4705,4910.47,680000
137,5296.11,228.1712,-26034.861328125,137,52.0881,4975.25,685000
138,3448.45,224.3914,-25792.78515625,138,53.9194,5117.34,690000
139,5209.89,231.9474,-29161.142578125,139,63.0015,4943.52,695000
140,5160.6,232.2324,-27437.654296875,140,53.254,4980.21,700000
141,4955.0,234.8609,-28654.998046875,141,58.1159,4403.98,705000
142,5190.57,223.8718,-25085.33984375,142,42.3242,4753.83,710000
143,5184.66,231.9336,-29631.1328125,143,63.1233,4887.32,715000
144,5084.44,242.6858,-33741.59375,144,85.3472,4634.86,720000
145,1408.84,270.2113,-44756.890625,145,145.3807,3414.85,725000
146,3292.92,240.2674,-34989.42578125,146,88.99,4803.37,730000
147,4050.19,269.8249,-46092.703125,147,128.6794,3998.42,735000
148,2643.4,245.7336,-41056.765625,148,119.4042,3788.89,740000
149,5224.34,230.0767,-29791.802734375,149,51.4239,4678.4,745000
150,5172.22,231.3533,-32065.146484375,150,50.8305,4976.61,750000
151,5071.02,235.0773,-31305.869140625,151,49.6644,5086.24,755000
152,5060.51,242.41,-36166.69921875,152,61.7601,5032.72,760000
153,5122.69,233.9006,-33148.09375,153,55.5354,5117.75,765000
154,5273.66,229.5797,-30372.40234375,154,45.0395,5147.14,770000
155,5216.22,251.0928,-41877.71484375,155,87.1648,3775.62,775000
156,5132.48,231.0007,-34623.09765625,156,49.4797,5106.55,780000
157,5243.78,234.0072,-37453.1953125,157,61.5118,4953.31,785000
158,2646.7,249.1565,-40006.58984375,158,80.0023,4150.82,790000
159,4842.16,234.5929,-36336.78125,159,57.2977,4715.77,795000
160,4999.55,230.2784,-33308.52734375,160,49.5289,4611.87,800000
161,5135.01,230.1352,-34826.5078125,161,48.0208,5093.19,805000
162,5106.2,237.7198,-37886.04296875,162,47.4721,4985.31,810000
163,5097.0,242.703,-39280.83984375,163,60.9206,4870.69,815000
164,5324.49,229.0085,-34743.5546875,164,51.5809,5093.39,820000
165,5210.67,242.1211,-40414.14453125,165,64.2069,5100.39,825000
166,4677.58,236.4781,-39476.96875,166,54.7908,5019.93,830000
167,5040.23,238.9227,-39665.01171875,167,51.2984,5003.25,835000
168,5100.57,236.2129,-40379.5234375,168,50.1459,4789.91,840000
169,4998.73,242.4209,-41936.83203125,169,57.3284,5072.86,845000
170,5221.33,226.3217,-37136.7265625,170,40.7662,5119.29,850000
171,4989.97,240.8638,-40052.1875,171,53.8566,5012.33,855000
172,5138.18,232.6212,-40907.62890625,172,49.3042,4963.67,860000
173,5225.79,226.6001,-39687.9609375,173,42.1738,5123.81,865000
174,5137.59,227.5952,-40049.0,174,45.4696,5097.26,870000
175,4903.9,239.2135,-45836.3515625,175,79.5716,4437.56,875000
176,4953.22,228.8812,-41160.64453125,176,39.0237,5050.2,880000
177,5057.89,243.3976,-46709.56640625,177,56.6265,4846.99,885000
178,5230.56,229.9241,-43122.8125,178,49.5752,5108.31,890000
179,5215.14,222.9016,-40793.05859375,179,39.0958,4943.1,895000
180,5106.47,233.9691,-47609.16796875,180,68.5028,4724.82,900000
181,5175.59,225.7994,-42573.44140625,181,41.2845,5113.52,905000
182,5115.47,232.2484,-45077.984375,182,50.8762,5089.22,910000
183,5092.24,240.3418,-48936.734375,183,59.1702,5074.13,915000
184,5116.64,245.1891,-51341.9140625,184,61.7184,4657.32,920000
185,5056.49,238.6259,-49336.7890625,185,49.034,4851.13,925000
186,5187.59,223.9099,-44037.84375,186,33.149,5072.66,930000
187,4752.89,255.1923,-55482.484375,187,93.2956,4208.88,935000
188,5043.01,227.7126,-46495.96875,188,39.6075,4759.77,940000
189,5166.49,239.9248,-50122.93359375,189,55.6648,5038.24,945000
190,5145.6,238.8454,-51437.1328125,190,47.6878,4775.84,950000
191,5172.43,243.7801,-51553.66015625,191,74.9651,4363.35,955000
192,5017.71,227.9286,-45356.8515625,192,36.3653,4459.2,960000
193,5087.62,232.291,-49588.2578125,193,38.5413,4482.89,965000
194,4654.81,229.98,-51328.83203125,194,45.4941,4599.29,970000
195,5226.5,229.0272,-49595.625,195,46.7389,5005.75,975000
196,5074.16,219.5129,-44964.078125,196,24.7555,5013.94,980000
197,5150.82,233.0296,-51634.19921875,197,74.1285,4430.86,985000
198,5161.11,235.1423,-54670.20703125,198,60.5195,4381.95,990000
199,5077.51,228.8896,-49657.8671875,199,37.6228,5030.1,995000
200,5027.9,225.6251,-50245.515625,200,40.0918,5043.21,1000000
201,5150.19,227.7472,-50810.04296875,201,42.3909,5087.93,1005000
202,5299.55,230.3993,-53010.3984375,202,44.969,5025.68,1010000
203,4598.02,229.6307,-54495.9609375,203,46.5878,5064.47,1015000
204,4360.32,249.4634,-59929.27734375,204,76.9567,4421.77,1020000
205,3056.83,244.3509,-59308.390625,205,69.363,4228.9,1025000
206,3700.27,235.9995,-58096.5234375,206,57.0791,5016.7,1030000
207,5036.91,237.5622,-60291.20703125,207,67.8733,4711.2,1035000
208,4996.54,232.2036,-55681.83203125,208,35.5821,4403.7,1040000
209,4240.96,238.0498,-59617.6640625,209,61.8873,5040.93,1045000
210,5304.17,232.9044,-57393.5390625,210,59.9693,4715.48,1050000
211,2749.66,267.8022,-65593.65625,211,168.9907,2625.36,1055000
212,4903.16,235.1981,-60432.76171875,212,93.969,4906.74,1060000
213,5124.48,220.1433,-57655.66796875,213,36.1743,4606.69,1065000
214,4992.66,234.9959,-61875.328125,214,52.5513,4992.49,1070000
215,5377.71,237.0682,-61639.3359375,215,61.6253,5145.68,1075000
216,4931.8,254.4482,-66502.5625,216,90.3026,5149.72,1080000
217,5205.85,231.1954,-63184.1328125,217,50.9163,4510.63,1085000
218,273.23,373.7883,-76147.984375,218,248.1897,487.98,1090000
219,684.16,364.8632,-77816.4140625,219,247.2179,672.67,1095000
220,836.86,311.1984,-74029.296875,220,229.2554,953.25,1100000
221,5246.33,221.3737,-56625.6640625,221,44.6154,4626.72,1105000
222,5247.63,222.8049,-56478.0234375,222,36.7376,5134.48,1110000
223,5209.45,226.205,-56376.34375,223,41.1198,4804.26,1115000
224,5210.25,234.7734,-63547.6484375,224,45.4399,5067.48,1120000
225,5183.92,243.068,-68003.5546875,225,70.6288,5053.09,1125000
226,5140.04,251.2524,-69979.9765625,226,89.9106,4777.15,1130000
227,1658.69,292.1224,-73871.3203125,227,205.2016,2256.46,1135000
228,3880.61,237.4984,-65652.21875,228,65.5794,4653.66,1140000
229,4058.84,236.7512,-63336.5390625,229,61.4516,4630.56,1145000
230,5302.38,236.4799,-63697.20703125,230,69.4984,4545.8,1150000
231,5276.35,234.7321,-62642.94921875,231,62.0208,5002.95,1155000
232,5358.59,237.2661,-64671.140625,232,76.3964,4096.36,1160000
233,5193.08,233.2611,-65328.96875,233,64.3813,4827.95,1165000
234,5277.49,234.8927,-64593.3359375,234,58.7652,4133.79,1170000
235,5236.92,239.2203,-66888.1328125,235,60.7974,5165.74,1175000
236,5223.1,238.8847,-65542.890625,236,62.8312,5202.82,1180000
237,5302.79,232.8469,-65912.3984375,237,63.076,5124.04,1185000
238,5099.35,243.8715,-67999.5390625,238,75.8177,5006.33,1190000
239,5273.1,242.4831,-68568.9453125,239,74.1574,4752.45,1195000
240,5287.37,246.8194,-69002.140625,240,72.9346,4783.76,1200000
241,5334.02,240.042,-67198.4375,241,71.0677,4334.77,1205000
242,233.12,437.9352,-67546.6484375,242,284.1456,296.0,1210000
243,361.48,424.196,-74134.4296875,243,291.8816,328.2,1215000
244,3709.72,271.5917,-74168.875,244,158.015,2220.21,1220000
245,2694.3,243.3247,-64713.7734375,245,98.4187,3541.36,1225000
246,796.42,307.5689,-74478.453125,246,211.2555,1024.49,1230000
247,1438.29,322.7081,-74790.9140625,247,224.9018,2376.22,1235000
248,5173.44,222.5022,-61459.375,248,54.8423,4676.47,1240000
249,5223.21,235.406,-63422.80859375,249,80.4342,5019.27,1245000
250,5219.03,233.7682,-65503.390625,250,72.7215,4636.98,1250000
251,4768.95,307.4986,-64200.28125,251,226.8598,1161.85,1255000
252,1289.71,373.5011,-71996.25,252,247.7585,735.88,1260000
253,349.35,418.5524,-68127.9296875,253,281.5341,346.44,1265000
254,390.35,402.9224,-79664.28125,254,421.208,370.3,1270000
255,872.16,363.2587,-77895.8984375,255,307.8475,601.89,1275000
256,741.05,375.1905,-76017.6796875,256,249.6068,751.13,1280000
257,1910.93,294.2448,-80628.28125,257,188.391,1360.08,1285000
258,972.85,322.725,-86451.3515625,258,325.8072,1324.03,1290000
259,721.54,304.4264,-86131.359375,259,343.0649,1026.22,1295000
260,881.95,310.0184,-84421.0859375,260,437.896,1339.42,1300000
261,942.21,301.4047,-83712.453125,261,408.9095,975.61,1305000
262,405.76,383.7665,-91305.7421875,262,423.5825,400.2,1310000
263,514.34,409.1001,-85754.9765625,263,410.2644,370.16,1315000
264,142.57,498.4712,-85659.7109375,264,309.4441,138.28,1320000
265,272.02,412.2886,-86939.453125,265,372.837,245.5,1325000
266,407.2,429.9829,-89963.1796875,266,445.9404,373.44,1330000
267,268.26,505.2341,-79551.9375,267,298.6237,239.25,1335000
268,182.74,501.8077,-85260.1875,268,379.0053,158.6,1340000
269,405.52,397.9754,-83726.0234375,269,368.7801,549.18,1345000
270,224.17,440.9135,-83768.984375,270,339.3688,228.03,1350000
271,266.53,377.5265,-80823.71875,271,294.7295,476.22,1355000
272,99.41,450.473,-84911.0390625,272,352.8093,90.25,1360000
273,78.6,570.0579,-87485.8828125,273,426.551,74.69,1365000
274,78.9,560.726,-85508.9140625,274,430.622,77.77,1370000
275,95.54,570.6509,-86882.75,275,475.9928,85.96,1375000
276,74.0,569.0341,-80251.7578125,276,417.6254,79.43,1380000
277,83.17,573.5347,-83916.2421875,277,327.2388,76.66,1385000
278,75.13,513.1232,-74523.09375,278,290.2685,78.45,1390000
279,321.44,396.2655,-77022.6640625,279,277.7208,345.66,1395000
280,780.36,349.4176,-81192.6171875,280,252.339,522.93,1400000
281,376.07,372.3065,-85414.5625,281,300.5701,699.25,1405000
282,97.84,493.4156,-87588.1796875,282,304.3102,108.15,1410000
283,202.1,481.713,-89629.0546875,283,350.6843,168.97,1415000
284,1089.34,318.169,-85755.109375,284,286.4931,1101.54,1420000
285,69.86,522.6679,-88877.875,285,339.2576,68.41,1425000
286,67.36,515.6686,-89652.625,286,347.5943,66.73,1430000
287,69.75,584.8709,-90968.046875,287,348.2446,68.88,1435000
288,69.27,618.5159,-89134.5546875,288,366.9395,68.18,1440000
289,65.61,563.418,-92692.6484375,289,581.7701,66.58,1445000
290,70.26,563.1772,-91452.3359375,290,311.3781,68.46,1450000
291,67.03,574.8456,-90846.21875,291,320.0686,67.06,1455000
292,64.69,596.8862,-89454.21875,292,349.6568,65.76,1460000
293,65.62,587.6195,-91123.703125,293,346.806,66.21,1465000
294,65.66,619.4192,-89344.34375,294,372.9656,65.12,1470000
295,63.72,524.7607,-89395.40625,295,315.4952,63.49,1475000
296,65.05,508.4778,-86766.4140625,296,312.9408,65.31,1480000
297,65.62,516.0543,-86474.2890625,297,301.4245,65.05,1485000
298,69.05,525.5107,-84837.6484375,298,321.6464,66.19,1490000
299,67.0,560.8093,-87553.0078125,299,407.0578,65.15,1495000
300,64.5,509.161,-82273.1875,300,280.5314,64.06,1500000
301,63.89,489.589,-84971.9453125,301,288.4812,63.19,1505000
302,62.2,523.0496,-79942.859375,302,383.7187,61.97,1510000
303,64.87,534.522,-75289.96875,303,330.0686,63.21,1515000
304,64.27,515.518,-80230.5625,304,277.1361,65.27,1520000
305,67.45,523.0364,-81428.53125,305,286.9405,65.21,1525000
306,63.73,539.7222,-74819.84375,306,283.7627,62.29,1530000
307,63.46,519.8777,-77204.0078125,307,303.7687,63.03,1535000
308,65.27,553.9901,-72200.734375,308,320.1363,64.87,1540000
309,60.8,569.682,-78440.9765625,309,366.7203,62.57,1545000
310,62.01,544.6362,-83790.1484375,310,339.3784,61.2,1550000
311,61.16,603.2889,-77194.390625,311,349.3734,61.92,1555000
312,65.28,575.2034,-75494.28125,312,324.3098,64.09,1560000
313,61.85,613.4189,-76170.96875,313,373.435,62.52,1565000
314,64.58,619.1261,-79435.5078125,314,721.874,64.81,1570000
315,464.21,491.9014,-66109.7734375,315,318.7048,475.63,1575000
316,387.56,483.7616,-63469.51953125,316,319.486,393.54,1580000
317,251.04,504.7896,-70249.1484375,317,255.407,253.5,1585000
318,271.14,506.8014,-77216.109375,318,377.6507,271.69,1590000
319,386.37,479.5831,-75845.953125,319,333.0556,411.45,1595000
320,438.03,479.8968,-78437.0078125,320,320.2871,400.99,1600000
321,500.84,450.4116,-80166.109375,321,292.553,494.15,1605000
322,374.1,446.9164,-82759.8515625,322,285.2887,383.32,1610000
323,234.99,500.7963,-84251.71875,323,302.6666,221.14,1615000
324,204.31,514.6466,-79261.96875,324,297.8637,189.77,1620000
325,182.74,539.6906,-78834.0,325,303.613,174.92,1625000
326,216.46,507.6793,-80998.6171875,326,312.0702,209.5,1630000
327,202.9,519.7018,-78289.6953125,327,265.996,200.46,1635000
328,71.5,555.1094,-78095.3046875,328,262.1422,70.04,1640000
329,64.33,552.0818,-80694.515625,329,274.4262,65.42,1645000
330,64.47,577.6389,-81845.015625,330,266.0803,64.64,1650000
331,68.92,606.2049,-82436.4296875,331,288.4534,68.28,1655000
332,68.27,625.0335,-80370.0859375,332,313.8915,69.21,1660000
333,69.23,612.297,-81858.0625,333,307.3703,65.63,1665000
334,68.0,647.6092,-80253.859375,334,354.6701,65.99,1670000
335,71.7,615.7166,-81133.09375,335,331.9742,69.86,1675000
336,66.2,598.281,-79613.6171875,336,301.5789,67.09,1680000
337,63.57,558.8825,-82976.0234375,337,308.3418,63.17,1685000
338,64.04,576.3173,-84127.625,338,309.6122,62.81,1690000
339,63.91,569.6623,-83253.9375,339,306.6262,65.18,1695000
340,65.39,581.1208,-82151.890625,340,307.0636,64.9,1700000
341,66.05,550.3986,-85144.84375,341,277.89,65.06,1705000
342,66.02,581.7482,-83972.0078125,342,296.0129,66.01,1710000
343,65.33,552.7259,-84121.5390625,343,285.74,64.77,1715000
344,63.59,565.8445,-85115.3046875,344,286.0639,63.5,1720000
345,64.19,552.779,-88222.234375,345,317.6611,63.57,1725000
346,64.92,575.355,-85860.7890625,346,318.1758,64.8,1730000
347,66.27,552.564,-88734.546875,347,337.4746,66.44,1735000
348,64.7,548.4547,-88752.2265625,348,293.23,64.46,1740000
349,65.79,555.7373,-88642.8125,349,324.1454,65.94,1745000
350,67.08,583.1515,-90310.390625,350,300.5126,66.08,1750000
351,67.16,585.1393,-88753.109375,351,312.0351,67.57,1755000
352,66.75,558.0655,-88337.9375,352,326.9178,66.66,1760000
353,65.07,570.3115,-89801.234375,353,345.5694,65.19,1765000
354,66.32,658.8714,-84160.3984375,354,317.8781,64.7,1770000
355,65.21,557.5364,-86279.4375,355,289.832,65.99,1775000
356,66.23,618.0084,-91692.171875,356,331.9248,66.63,1780000
357,66.79,601.2104,-83626.9140625,357,379.8457,66.9,1785000
358,65.96,592.2393,-86598.1171875,358,281.515,66.38,1790000
359,66.2,589.4179,-91297.359375,359,456.7974,65.01,1795000
360,67.6,591.3761,-85502.0078125,360,286.459,67.82,1800000
361,65.68,646.4714,-92318.0625,361,372.047,65.99,1805000
362,64.86,570.1752,-87535.375,362,302.3404,65.08,1810000
363,64.6,602.5051,-86486.609375,363,330.7877,63.27,1815000
364,64.41,623.5636,-92623.6875,364,366.8086,63.6,1820000
365,63.27,584.41,-90322.859375,365,362.8806,63.59,1825000
366,61.89,587.3807,-89766.3359375,366,343.1809,63.28,1830000
367,64.23,610.9794,-92908.6171875,367,509.551,63.63,1835000
368,62.14,616.9484,-91143.8046875,368,370.008,62.74,1840000
369,62.71,579.6158,-90073.1484375,369,338.0708,61.26,1845000
370,63.34,571.0469,-88416.78125,370,317.9416,63.36,1850000
371,63.52,580.8112,-90681.2265625,371,319.4711,64.03,1855000
372,59.77,587.1913,-89230.7421875,372,318.9036,59.1,1860000
373,62.85,617.841,-91654.078125,373,333.3022,62.56,1865000
374,60.27,617.9373,-90087.1484375,374,603.6886,59.84,1870000
375,64.37,590.8319,-91320.0703125,375,389.8401,63.85,1875000
376,59.96,579.6495,-91489.9375,376,322.8149,61.7,1880000
377,60.87,589.8018,-91659.890625,377,636.7735,61.15,1885000
378,63.57,630.3173,-88745.9453125,378,656.1296,63.9,1890000
379,62.95,669.8766,-92169.2734375,379,856.9379,63.19,1895000
380,62.5,595.1115,-93552.53125,380,374.7525,62.8,1900000
381,60.34,603.068,-93385.15625,381,366.0626,59.52,1905000
382,60.29,642.6505,-95085.2734375,382,1237.5793,59.87,1910000
383,61.6,641.8843,-94504.5703125,383,950.5004,61.17,1915000
384,58.56,641.7298,-94827.8203125,384,1051.7692,59.16,1920000
385,58.62,617.3152,-94834.5703125,385,796.6487,58.45,1925000
386,59.21,633.7753,-94811.4765625,386,692.5153,58.8,1930000
387,59.08,634.3375,-94494.796875,387,1291.8426,57.68,1935000
388,59.95,633.3511,-94896.3671875,388,449.8363,60.39,1940000
389,59.58,599.7629,-93561.5546875,389,376.2713,60.3,1945000
390,57.88,613.9851,-93138.8046875,390,727.9473,57.85,1950000
391,65.51,593.1446,-92068.03125,391,343.86,64.78,1955000
392,59.45,641.4119,-95810.296875,392,689.1084,59.96,1960000
393,61.14,621.8008,-94579.359375,393,1022.113,60.29,1965000
394,61.38,645.4625,-96485.8125,394,1017.5369,62.49,1970000
395,61.9,598.656,-92717.234375,395,349.1083,60.25,1975000
396,60.89,599.7142,-92698.4375,396,367.5228,61.09,1980000
397,61.51,598.767,-90931.6875,397,343.5655,60.41,1985000
398,60.95,604.9881,-92755.8203125,398,345.7481,61.2,1990000
399,58.35,636.1207,-96078.4765625,399,1178.906,57.86,1995000
400,60.92,576.9928,-92670.890625,400,589.1716,61.15,2000000
401,60.76,592.5219,-92425.046875,401,350.2173,61.86,2005000
402,59.38,627.3529,-93005.1796875,402,783.3773,59.72,2010000
403,56.49,609.3727,-95098.7734375,403,606.5973,56.52,2015000
404,60.94,616.4142,-93505.15625,404,703.2097,60.83,2020000
405,59.4,654.3346,-95212.9765625,405,1518.4561,59.88,2025000
406,60.21,602.1684,-94547.5234375,406,443.949,60.31,2030000
407,58.48,601.735,-93760.015625,407,344.074,59.4,2035000
