Running Update Time,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss,Itration,Running Reverse KL,Running Forward KL
137,685000,1858.9,2217.32,-6602.73828125,137,15.9937,156.9785
138,690000,1818.21,2177.04,-6636.31787109375,138,15.5845,156.8575
139,695000,1810.39,2168.38,-6745.6513671875,139,15.624,157.0274
140,700000,1831.95,2184.3,-6754.3828125,140,15.4941,156.6912
141,705000,1820.17,2166.16,-6801.51171875,141,15.3571,156.8172
142,710000,1865.87,2206.12,-6917.81494140625,142,15.4049,156.7072
143,715000,1826.27,2132.84,-6960.734375,143,15.7012,156.886
144,720000,1841.58,2183.64,-7035.0888671875,144,15.8575,157.0186
145,725000,1848.92,2184.74,-7061.556640625,145,15.5487,156.7877
146,730000,1800.94,2182.63,-7119.76123046875,146,15.5531,156.7479
147,735000,1848.91,2140.54,-7137.00146484375,147,15.5689,156.7944
148,740000,1856.2,2188.51,-7226.1328125,148,15.4584,156.8552
149,745000,1804.09,2161.6,-7275.86962890625,149,15.5859,156.8028
150,750000,1840.36,2178.32,-7340.3994140625,150,15.569,156.8061
151,755000,1885.7,2230.43,-7380.90087890625,151,15.7079,156.8563
152,760000,1817.37,2152.79,-7413.5439453125,152,15.4712,156.8576
153,765000,1827.86,2149.4,-7482.04248046875,153,15.4421,156.6802
154,770000,1874.99,2246.18,-7579.6689453125,154,15.7876,156.8765
155,775000,1902.06,2243.68,-7680.369140625,155,16.2227,156.6933
156,780000,1897.04,2220.66,-7689.69921875,156,15.5846,156.836
157,785000,1860.18,2217.88,-7682.60693359375,157,15.682,156.7384
158,790000,1865.06,2218.92,-7772.298828125,158,15.7927,156.9081
159,795000,1877.61,2189.01,-7833.2119140625,159,15.9201,156.9454
160,800000,1864.67,2162.8,-7838.08837890625,160,15.3517,156.832
161,805000,1872.7,2251.01,-7960.189453125,161,15.6704,156.9051
162,810000,1881.83,2244.5,-8016.400390625,162,15.7328,156.7965
163,815000,1870.29,2217.91,-8022.03564453125,163,15.9463,156.7745
164,820000,1846.46,2124.27,-8045.96044921875,164,15.3176,156.9421
165,825000,1865.23,2223.73,-8096.5107421875,165,15.5531,156.7657
166,830000,1849.94,2155.44,-8176.69873046875,166,15.3756,156.6747
167,835000,1874.29,2207.55,-8232.3759765625,167,15.628,156.8065
168,840000,1873.0,2234.39,-8312.2412109375,168,15.6079,156.7739
169,845000,1877.87,2203.09,-8367.224609375,169,15.6092,156.8007
170,850000,1859.25,2188.42,-8443.95703125,170,15.7202,156.8583
171,855000,1901.09,2206.96,-8473.6240234375,171,15.7294,156.7654
172,860000,1865.62,2194.81,-8550.9541015625,172,15.637,156.7633
173,865000,1905.36,2241.19,-8592.224609375,173,15.5878,156.6738
174,870000,1884.38,2215.8,-8650.3212890625,174,15.4482,156.7229
175,875000,1901.39,2224.67,-8706.4326171875,175,15.454,156.7513
176,880000,1844.4,2169.02,-8751.078125,176,15.3043,156.8895
177,885000,1877.16,2226.77,-8825.4150390625,177,15.4132,156.7321
178,890000,1892.14,2193.98,-8874.9814453125,178,15.6128,156.7101
179,895000,1925.08,2240.97,-8911.5537109375,179,15.8015,156.8281
180,900000,1891.66,2200.71,-8975.8095703125,180,15.4639,156.8161
181,905000,1887.76,2271.71,-9019.4013671875,181,15.6534,156.7869
182,910000,1863.1,2241.65,-9080.6982421875,182,15.531,156.8026
183,915000,1855.99,2158.57,-9055.6748046875,183,15.4519,156.6556
184,920000,1885.0,2219.43,-9168.208984375,184,15.5179,156.6884
185,925000,1887.05,2221.07,-9208.560546875,185,15.5991,156.8232
186,930000,1881.38,2195.67,-9193.3837890625,186,15.5067,156.9945
187,935000,1871.13,2234.14,-9242.1328125,187,15.5811,156.6634
188,940000,1862.07,2164.03,-9255.9873046875,188,15.1232,156.6334
189,945000,1912.73,2266.4,-9300.0302734375,189,15.5355,156.6603
190,950000,1858.36,2200.49,-9349.9189453125,190,15.6936,156.7928
191,955000,1887.18,2201.27,-9401.0625,191,15.3859,156.7161
192,960000,1864.64,2195.98,-9384.83203125,192,15.4947,156.934
193,965000,1897.07,2257.73,-9413.3779296875,193,15.5031,156.8088
194,970000,1891.52,2254.7,-9489.337890625,194,15.4704,156.7803
195,975000,1911.13,2242.79,-9464.361328125,195,15.2245,156.6861
196,980000,1892.29,2210.89,-9535.451171875,196,15.6312,156.8656
197,985000,1897.83,2264.8,-9568.439453125,197,15.5614,156.7646
198,990000,1883.13,2236.94,-9566.33984375,198,15.3709,156.754
199,995000,1859.58,2207.76,-9618.4267578125,199,15.3818,156.8071
200,1000000,1846.79,2162.01,-9614.5458984375,200,15.2565,156.6613
201,1005000,1867.7,2191.35,-9630.5888671875,201,15.3432,156.7994
202,1010000,1885.01,2206.36,-9695.1806640625,202,15.3799,156.7311
203,1015000,1865.16,2193.56,-9734.3876953125,203,15.3516,156.8072
204,1020000,1872.29,2171.77,-9772.7734375,204,15.1562,156.4461
205,1025000,1860.61,2166.69,-9797.43359375,205,15.3355,156.7726
206,1030000,1874.8,2172.31,-9832.6982421875,206,15.3132,156.6876
207,1035000,1865.71,2188.59,-9856.111328125,207,15.258,156.6802
208,1040000,1854.72,2184.4,-9933.564453125,208,15.1604,156.676
209,1045000,1887.36,2199.43,-9904.4814453125,209,15.4253,156.686
210,1050000,1886.48,2217.75,-9987.7138671875,210,15.4507,156.6276
211,1055000,1867.6,2215.62,-9991.62109375,211,15.5088,156.6282
212,1060000,1844.68,2217.91,-10038.8525390625,212,15.4374,156.701
213,1065000,1902.94,2218.51,-10059.302734375,213,15.4314,156.6857
214,1070000,1870.78,2208.16,-10110.5556640625,214,15.4639,156.7659
215,1075000,1892.8,2196.44,-10109.3310546875,215,15.4992,156.7638
216,1080000,1880.34,2192.31,-10156.484375,216,15.4948,156.7825
217,1085000,1882.72,2210.04,-10179.1826171875,217,15.4251,156.772
218,1090000,1892.38,2221.77,-10206.248046875,218,15.6169,156.6744
219,1095000,1871.74,2206.76,-10212.3125,219,15.3634,156.6515
220,1100000,1905.62,2235.5,-10261.955078125,220,15.5863,156.734
221,1105000,1891.09,2210.14,-10311.486328125,221,15.3425,156.6445
222,1110000,1867.11,2210.09,-10296.7705078125,222,15.5007,156.7292
223,1115000,1871.14,2229.35,-10307.73046875,223,15.2667,156.5965
224,1120000,1882.82,2239.16,-10373.9208984375,224,15.5826,156.7223
225,1125000,1916.43,2233.92,-10376.458984375,225,15.5904,156.7157
226,1130000,1880.95,2230.35,-10408.87890625,226,15.4331,156.6058
227,1135000,1887.79,2240.69,-10425.1328125,227,15.4342,156.6903
228,1140000,1887.94,2232.01,-10466.9208984375,228,15.2926,156.6452
229,1145000,1889.55,2232.2,-10488.103515625,229,15.4153,156.4892
230,1150000,1898.73,2217.61,-10541.4833984375,230,15.5372,156.5762
231,1155000,1884.57,2257.48,-10518.5732421875,231,15.562,156.5864
232,1160000,1880.67,2229.44,-10513.75,232,15.6959,156.5849
233,1165000,1886.42,2204.14,-10548.1435546875,233,15.3137,156.5966
234,1170000,1903.18,2246.25,-10595.029296875,234,15.4623,156.5362
235,1175000,1866.44,2226.63,-10614.0927734375,235,15.2579,156.4303
236,1180000,1894.13,2239.32,-10632.6845703125,236,15.3663,156.5967
237,1185000,1890.17,2244.74,-10685.625,237,15.4359,156.5641
238,1190000,1896.53,2249.35,-10686.5263671875,238,15.4595,156.6646
239,1195000,1905.26,2253.81,-10705.623046875,239,15.3547,156.5387
240,1200000,1894.7,2245.23,-10750.4765625,240,15.4734,156.586
241,1205000,1891.85,2276.35,-10777.923828125,241,15.4457,156.5283
242,1210000,1901.84,2252.18,-10771.9931640625,242,15.3839,156.5666
