Reward Loss,Running Update Time,Itration,Running Forward KL,Real Det Return,Running Env Steps,Real Sto Return,Running Reverse KL
-1153.7154541015625,111,111,26.3061,3179.53,555000,3085.12,18.5903
-1124.1279296875,112,112,25.3045,3142.93,560000,3136.16,17.5083
-1757.491943359375,113,113,25.6067,3200.05,565000,2938.31,22.3795
-1251.64599609375,114,114,27.5422,3197.62,570000,3196.07,20.5302
-1202.0887451171875,115,115,25.7697,3195.65,575000,3176.26,17.9774
-1371.9964599609375,116,116,26.9694,3122.71,580000,3051.98,20.3495
-1215.5694580078125,117,117,26.9224,3185.44,585000,3175.67,18.9104
-1250.867919921875,118,118,25.7429,3144.1,590000,3146.87,18.6026
-1325.2413330078125,119,119,25.9371,3136.58,595000,3043.28,18.6065
-1302.25048828125,120,120,25.712,3147.3,600000,3140.32,17.8403
-1354.786865234375,121,121,25.5583,3105.55,605000,3094.96,18.0713
-1339.8446044921875,122,122,25.8434,3127.32,610000,3131.12,18.6618
-1375.6107177734375,123,123,25.9865,3128.96,615000,3081.39,18.0575
-1390.369873046875,124,124,26.6943,3180.61,620000,3178.61,19.0103
-1302.379150390625,125,125,25.5328,3176.3,625000,3147.35,17.6094
-1437.589599609375,126,126,26.3404,3131.54,630000,3130.99,18.9839
-1485.73095703125,127,127,26.8589,3221.14,635000,2776.71,19.4081
-1400.305908203125,128,128,26.2676,3177.46,640000,3157.21,18.2721
-1385.513427734375,129,129,26.5428,3127.95,645000,3111.51,18.1347
-1529.31494140625,130,130,26.1465,3113.82,650000,3108.0,18.3113
-1352.1607666015625,131,131,26.4169,3190.66,655000,3173.78,18.6308
-1527.566162109375,132,132,25.2039,3183.84,660000,2935.17,20.1028
-1449.5604248046875,133,133,26.3943,3176.47,665000,3079.01,18.4645
-1438.2379150390625,134,134,25.9279,3221.69,670000,3211.11,18.6386
-1630.2059326171875,135,135,25.8902,3201.56,675000,3174.66,17.7105
-1553.5638427734375,136,136,27.4189,3163.49,680000,3137.18,18.9112
-1637.3299560546875,137,137,25.1103,3210.32,685000,3066.89,18.4342
-1517.5225830078125,138,138,25.6048,3152.42,690000,3144.5,17.8829
-1776.5059814453125,139,139,25.1076,3210.92,695000,3184.05,23.0161
-1617.9490966796875,140,140,26.843,3160.74,700000,3156.77,18.5184
-1598.311767578125,141,141,25.8214,3185.85,705000,3170.54,17.6675
-1560.53125,142,142,25.589,3163.99,710000,3139.02,17.5045
-1632.3348388671875,143,143,25.8828,3153.58,715000,3149.0,18.5603
-1583.3582763671875,144,144,26.5993,3184.34,720000,3155.54,17.8937
-1725.2232666015625,145,145,26.7057,3186.9,725000,3180.11,19.0108
-1666.4361572265625,146,146,26.023,3221.47,730000,3208.23,18.2937
-1503.59619140625,147,147,25.7243,3153.57,735000,3141.34,17.7717
-1687.314697265625,148,148,26.3018,3207.02,740000,3180.69,17.6295
-1585.546630859375,149,149,25.9271,3196.91,745000,3170.87,17.5944
-1755.6661376953125,150,150,26.2133,3198.34,750000,3188.26,18.4696
-1728.4678955078125,151,151,25.3558,3209.5,755000,3199.91,18.0124
-1767.5819091796875,152,152,25.641,3209.23,760000,3184.76,17.8278
-1692.888671875,153,153,25.3298,3237.51,765000,3083.23,17.109
-1849.053466796875,154,154,26.0789,3225.14,770000,3211.21,18.1198
-1903.2003173828125,155,155,26.6953,3193.5,775000,3178.55,18.4342
-1843.325439453125,156,156,25.3594,3206.76,780000,3078.21,17.7804
-1827.6844482421875,157,157,25.3796,3201.84,785000,3188.38,18.0688
-1919.28515625,158,158,26.0102,3225.45,790000,3212.99,18.3275
-2032.14697265625,159,159,25.9154,3184.8,795000,3185.99,18.7945
-1853.031982421875,160,160,26.7261,3220.33,800000,3202.76,17.8491
-1904.38623046875,161,161,26.4399,3168.21,805000,3156.92,18.4708
-1838.56884765625,162,162,25.578,3218.79,810000,3178.51,17.1307
-1927.3558349609375,163,163,26.2155,3265.4,815000,3129.02,17.7545
-2049.23486328125,164,164,26.6892,3234.2,820000,3217.84,18.8948
-2001.6966552734375,165,165,25.7339,3221.02,825000,3219.23,18.1532
-2003.6708984375,166,166,25.8518,3228.97,830000,3208.85,17.8065
-2097.593017578125,167,167,26.4516,3215.26,835000,3195.62,18.6525
-1993.2083740234375,168,168,25.9357,3216.8,840000,3142.02,18.2412
-2029.3690185546875,169,169,25.7396,3214.57,845000,3199.59,21.0191
-2095.36669921875,170,170,25.9483,3199.45,850000,3190.26,18.3057
-2229.182861328125,171,171,24.8546,3260.06,855000,3049.17,17.0283
-2117.435546875,172,172,25.7461,3215.42,860000,3180.69,17.2237
-2319.854736328125,173,173,25.468,3159.45,865000,3162.45,17.4827
-2092.34423828125,174,174,25.5125,3212.82,870000,3216.44,17.8983
-2181.163818359375,175,175,25.7915,3233.77,875000,3007.56,18.2128
-2124.09716796875,176,176,25.7223,3241.88,880000,3215.58,22.4363
-2111.545654296875,177,177,25.8405,3234.04,885000,3225.77,18.0554
-2152.083251953125,178,178,26.685,3207.37,890000,3147.21,18.0261
-1957.1116943359375,179,179,26.5307,3240.67,895000,3141.24,26.8702
-2149.136962890625,180,180,24.2279,3255.65,900000,3233.9,16.5998
-2245.510986328125,181,181,25.3831,3242.12,905000,3254.25,17.7494
-2235.081787109375,182,182,25.4897,3229.93,910000,3198.9,20.1758
-2300.043212890625,183,183,25.3155,3202.88,915000,3109.35,17.1469
-2364.47265625,184,184,25.4666,3250.68,920000,3240.79,17.695
-2308.115966796875,185,185,26.28,3200.54,925000,3189.83,17.9234
-2302.720458984375,186,186,25.2844,3222.64,930000,3128.92,20.4346
-2307.46923828125,187,187,24.982,3246.84,935000,3229.93,17.0989
-2325.48291015625,188,188,25.2679,3211.48,940000,3202.65,17.7272
-2393.876220703125,189,189,25.3797,3212.98,945000,3205.6,17.6634
-2384.955810546875,190,190,26.1264,3255.83,950000,3216.84,18.6645
-2360.77490234375,191,191,25.6752,3237.38,955000,3096.58,21.4354
-2481.461181640625,192,192,24.6605,3221.48,960000,3166.21,17.0911
-2333.21923828125,193,193,25.7592,3248.09,965000,3201.41,18.1151
-2522.052490234375,194,194,24.9793,3202.96,970000,3181.26,17.2439
-2369.723388671875,195,195,24.7785,3212.23,975000,3189.16,17.1916
-2556.177734375,196,196,25.0573,3235.1,980000,3223.88,17.4776
-2456.037353515625,197,197,23.8913,3213.05,985000,3206.2,16.4536
-2514.064453125,198,198,25.2046,3198.09,990000,3202.39,18.7206
-2610.880615234375,199,199,25.5707,3254.76,995000,3235.19,18.0768
