Itration,Running Forward KL,Real Det Return,Real Sto Return,Running Reverse KL
75,156.8892,2084.9,1763.64,15.7975
76,156.9426,2073.61,1722.64,15.7662
77,156.7256,2103.6,1762.05,15.8531
78,156.8727,2139.42,1792.66,15.9306
79,156.7978,2076.34,1753.02,15.7085
80,157.0437,2017.1,1720.92,15.538
81,156.8579,2063.4,1770.16,15.6798
82,156.8766,2101.27,1760.32,15.6175
83,156.8682,2117.76,1745.8,15.4775
84,156.9145,2044.42,1724.87,15.6573
85,156.9112,2154.77,1785.6,16.1112
86,156.8089,2077.1,1765.81,15.6436
87,156.798,2130.08,1787.69,16.0662
88,156.7552,2158.05,1808.61,16.0799
89,156.9593,2074.94,1749.57,15.6522
90,156.9329,2047.22,1754.29,15.5575
91,156.8223,2095.97,1769.14,15.6398
92,156.7861,2111.77,1768.12,15.5783
93,156.7665,2170.07,1835.04,15.9197
94,156.6876,2091.19,1721.86,15.368
95,156.8821,2167.86,1841.85,15.8136
96,156.7832,2171.75,1811.32,15.8648
97,156.8339,2103.19,1751.38,15.476
98,156.6898,2137.52,1796.05,15.7118
99,156.7194,2159.2,1794.04,15.6276
100,156.8434,2130.74,1773.92,15.5958
101,156.8541,2141.18,1798.31,15.6321
102,156.7084,2150.77,1798.66,15.384
103,156.852,2151.26,1818.49,15.6665
104,156.8311,2062.32,1762.04,15.3827
105,156.8406,2141.45,1771.49,15.7499
106,156.7114,2109.35,1794.63,15.5858
107,156.8935,2167.76,1826.3,15.7627
108,156.7755,2192.63,1828.73,16.038
109,156.7154,2123.67,1785.09,15.2681
110,156.8651,2145.78,1803.14,15.5659
111,156.786,2178.06,1812.75,15.5841
112,156.7178,2149.79,1803.19,15.3997
113,156.8454,2137.23,1784.66,15.278
114,156.7047,2147.55,1813.74,15.5029
115,156.8515,2164.89,1786.97,15.9283
116,156.6466,2188.91,1840.14,15.6591
117,156.8627,2158.4,1825.65,15.6848
118,156.9044,2182.84,1821.73,15.2725
119,156.654,2145.14,1801.67,15.079
120,156.707,2175.76,1837.41,15.53
121,156.7583,2161.28,1858.48,15.5181
122,156.8172,2180.75,1825.94,15.6105
123,156.7801,2182.6,1814.82,15.3772
124,156.7197,2160.81,1816.62,15.3922
125,156.685,2177.57,1833.81,15.4408
126,156.6916,2146.54,1819.94,15.3909
127,156.7862,2167.52,1851.23,15.2486
128,156.6743,2221.5,1841.43,15.4495
129,156.6332,2159.06,1810.56,15.3782
130,156.9401,2152.44,1853.82,15.6045
131,156.7532,2169.13,1846.75,15.4927
132,156.5773,2165.72,1846.41,15.3535
133,156.7129,2161.09,1829.09,15.2417
134,156.9481,2158.44,1797.97,15.4395
135,156.6723,2160.03,1841.81,15.1505
136,156.6982,2175.88,1852.9,15.5235
137,156.8185,2201.9,1862.34,15.5725
138,156.5548,2156.45,1801.82,15.2398
139,156.6307,2148.38,1844.02,15.2149
140,156.5768,2207.79,1857.47,15.2486
141,156.6975,2198.76,1863.06,15.6034
142,156.5792,2221.31,1885.27,15.2815
143,156.714,2195.48,1847.74,15.2239
144,156.6188,2225.29,1887.32,15.4781
145,156.5852,2185.93,1878.29,15.2652
146,156.6483,2194.38,1853.04,15.2329
147,156.8877,2209.2,1863.43,15.5619
148,156.5605,2207.87,1875.1,15.4423
149,156.5312,2221.01,1844.39,15.1926
150,156.6277,2162.93,1833.81,15.5239
151,156.7189,2203.4,1878.05,15.417
152,156.6254,2194.11,1863.69,15.1831
153,156.637,2176.29,1863.55,15.2569
154,156.658,2207.33,1869.56,15.4335
155,156.7952,2145.36,1819.78,15.291
156,156.7478,2192.61,1876.34,15.3624
157,156.6758,2216.27,1908.32,15.3557
158,156.6643,2155.52,1849.01,15.1967
159,156.9351,2165.67,1879.86,15.5516
160,156.8516,2199.35,1858.84,15.2965
161,156.7827,2166.77,1852.1,15.2717
162,156.77,2235.16,1894.95,15.5889
163,156.8623,2200.92,1857.63,15.3083
164,156.5749,2224.65,1873.31,15.0866
165,156.6756,2240.13,1876.99,15.4331
166,156.4746,2238.8,1881.45,15.3093
167,156.4923,2255.53,1897.11,15.3532
168,156.7778,2187.52,1818.31,15.1742
169,156.6761,2148.98,1846.91,14.703
170,156.754,2253.55,1888.94,15.4687
171,156.8297,2199.06,1857.43,15.4456
172,156.8443,2205.54,1847.93,15.2656
173,156.8616,2246.66,1884.03,15.5485
174,156.6932,2164.53,1847.37,15.1108
175,156.628,2241.85,1901.84,15.4798
176,156.7822,2211.16,1869.37,15.3471
177,156.6616,2239.47,1881.01,15.3526
178,156.5651,2207.02,1889.36,15.604
179,156.8911,2212.94,1852.32,15.4984
180,156.8564,2225.06,1900.34,15.5342
181,156.8479,2072.11,1752.95,15.4049
182,157.9081,-426.67,-582.03,18.7066
183,159.5703,-63.6,43.77,16.9265
184,160.0203,-272.69,-175.71,20.4863
185,156.7432,2190.67,1801.6,15.145
186,159.6811,-256.25,25.16,17.3603
187,156.5763,2106.5,1765.15,14.839
188,159.5145,-241.96,-175.46,17.8848
189,156.7046,-123.21,937.4,15.312
190,156.7575,-79.96,1459.06,14.6551
191,156.6561,1672.58,1763.41,14.5731
192,156.6281,2137.9,1775.87,14.9757
193,156.8357,-151.59,555.23,13.9344
194,156.7242,1735.48,1700.6,14.7852
195,156.7575,185.28,1470.75,14.2627
196,156.7874,1733.69,1788.89,15.0932
197,156.8233,-143.22,1106.41,14.7408
198,156.8089,802.12,1766.54,14.968
199,157.3309,-177.22,188.95,15.3653
200,157.5703,-298.43,502.4,21.7659
201,156.7016,2177.72,1818.83,15.3818
202,156.7606,249.45,1703.07,15.3314
203,157.022,2154.8,1835.2,15.4992
204,156.7996,324.49,1302.37,14.8658
205,156.8062,941.65,1841.95,15.4036
206,156.8669,2204.21,1844.76,15.4498
207,156.9377,2231.56,1859.13,15.519
208,156.783,2211.3,1849.3,15.5096
209,156.8018,2187.66,1875.57,15.6379
210,156.7831,2208.95,1863.63,15.5042
211,156.9191,2190.16,1862.47,15.4847
212,156.7582,2140.88,1816.57,15.3175
213,156.8442,2196.16,1883.06,15.4337
214,156.8258,2241.44,1884.83,15.5977
215,156.8851,2228.02,1877.75,15.4833
216,156.7656,2198.81,1869.82,15.2579
217,156.6839,2200.05,1887.61,15.2154
218,156.8375,2223.76,1896.83,15.5657
219,156.6425,2256.38,1906.31,15.5426
220,156.634,2255.94,1880.9,15.3842
221,156.7758,2260.93,1917.55,15.475
222,156.6388,2259.93,1904.3,15.474
223,156.7217,2258.58,1910.64,15.2951
224,156.8172,2254.72,1901.36,15.476
225,156.8439,2245.99,1903.48,15.3906
226,156.8276,2216.69,1892.45,15.2516
227,156.8246,2268.0,1898.17,15.5654
228,156.6058,2235.13,1893.87,15.3876
229,156.7397,2220.71,1880.35,15.2914
230,156.8793,2270.79,1902.57,15.4528
231,156.7409,2259.19,1893.76,15.38
232,156.8758,2247.48,1879.71,15.3536
233,156.8387,2226.03,1876.16,15.3424
234,156.7643,2250.88,1885.03,15.1234
235,156.8656,2281.8,1930.86,15.3818
236,156.6761,2274.14,1930.06,15.4361
237,156.613,2219.91,1870.99,15.1125
238,156.8933,2302.56,1929.25,15.4781
239,156.7992,2248.49,1915.35,15.2739
240,156.719,2263.43,1902.39,15.4859
241,156.7808,2241.1,1891.57,15.3367
242,156.7107,2258.21,1922.93,15.3323
243,156.5997,2241.77,1906.62,15.4345
244,156.6807,2268.79,1919.38,15.4451
245,156.9038,2288.3,1926.26,15.4364
246,156.8199,2296.86,1922.14,15.4517
247,156.8036,2262.06,1903.08,15.3539
248,156.8911,2266.46,1911.21,15.2399
249,156.849,2275.38,1914.85,15.2152
250,156.7317,2273.25,1924.09,15.1994
251,156.8061,2241.5,1901.31,15.1903
252,156.7742,2254.18,1913.58,15.2578
253,156.8195,2295.31,1909.06,15.2229
254,156.7615,2259.06,1921.15,15.3187
255,156.7922,2293.72,1926.83,15.4021
256,156.619,2282.34,1935.9,15.3922
257,156.6092,2262.61,1909.1,15.1072
258,156.6171,2305.98,1928.07,15.4756
259,156.6813,2294.83,1913.79,15.3238
260,156.7623,2296.05,1931.57,15.3095
261,156.7463,2275.2,1917.46,15.2113
262,156.7458,2265.11,1929.73,15.2377
263,156.8004,2259.88,1933.73,15.2711
264,156.6082,2269.53,1934.75,15.4241
265,156.8403,2299.76,1922.42,15.5339
266,156.8373,2271.8,1902.9,15.3104
267,156.6192,2276.66,1920.03,15.3149
268,156.6664,2204.77,1883.88,15.2389
269,156.7579,2274.23,1933.92,15.4718
270,156.7763,2272.92,1930.64,15.4535
271,156.687,2273.96,1925.14,15.4574
272,156.6947,2286.9,1932.09,15.4985
273,156.8273,2261.55,1903.54,15.3256
274,156.742,2307.64,1924.22,15.3993
275,156.8139,2268.11,1909.06,15.4458
276,156.9663,2259.18,1867.91,15.3856
277,156.8009,2263.39,1930.54,15.6778
278,156.6687,2223.03,1875.69,15.4371
279,156.8854,2231.18,1861.59,15.5034
280,156.9434,2264.14,1885.33,15.4633
281,156.7395,2232.14,1878.06,15.4937
282,156.5946,2251.45,1907.8,15.2365
283,156.7879,2277.84,1899.35,15.3897
284,156.802,2222.2,1869.72,15.2325
285,156.6423,2263.51,1882.32,15.1528
286,156.876,2235.74,1870.67,15.248
287,156.5032,2228.35,1897.79,15.2223
288,156.728,2247.84,1886.94,15.1932
289,156.7942,2257.73,1894.94,15.1542
290,156.9057,2228.95,1861.4,15.1069
291,156.8626,2258.82,1895.95,15.3779
292,156.7637,2254.33,1877.52,15.2518
293,156.9199,2214.88,1876.87,15.2325
294,156.8371,2252.85,1885.88,15.2622
295,156.9054,2274.04,1889.94,15.1378
296,156.7474,2264.6,1874.8,15.1976
297,156.7525,2237.97,1879.05,15.2375
298,156.783,2221.97,1864.83,15.2568
299,156.8871,2239.21,1877.52,15.093
300,156.7113,2226.49,1886.95,15.0711
301,156.8126,2281.16,1869.64,15.0753
302,156.6112,2270.8,1883.66,15.1251
303,156.8362,2254.41,1865.06,15.0556
304,156.7068,2293.86,1904.62,15.1496
305,156.7332,2275.72,1888.61,14.9977
306,156.7384,2235.23,1885.13,15.0746
307,156.6664,2281.29,1904.23,15.0663
308,156.8418,2244.02,1874.14,15.0825
309,156.7241,2287.62,1875.74,15.1645
310,156.7332,2272.88,1893.85,15.0786
311,156.8112,2272.01,1896.58,15.3619
312,156.813,2266.6,1896.0,15.0369
313,156.747,2256.82,1891.85,15.1724
314,156.6754,2260.07,1886.42,15.1441
315,156.8668,2231.79,1869.34,15.3459
316,156.6766,2287.55,1898.89,15.1452
317,156.7578,2253.6,1886.3,15.0697
318,156.6249,2267.68,1877.08,15.1889
319,156.7867,2208.38,1861.33,15.1004
320,156.7151,2287.27,1907.7,15.0624
321,156.8261,2258.55,1886.28,15.1603
322,156.8801,2232.97,1845.73,15.142
323,156.7298,2266.04,1879.22,15.0282
324,156.7241,2268.76,1881.7,15.0631
325,156.7014,2267.29,1893.35,15.0076
326,156.8381,2269.62,1892.6,15.1328
327,156.6406,2251.78,1875.75,15.1835
328,156.7673,2262.93,1885.18,15.274
329,156.8186,2283.77,1908.4,15.2368
330,156.7222,2273.0,1911.75,15.1683
331,156.9625,2279.28,1895.59,15.2484
332,156.5579,2268.2,1895.9,15.1829
333,156.7457,2268.05,1897.08,15.2325
334,156.704,2264.86,1896.53,15.034
335,156.6203,2292.79,1921.74,15.2231
336,156.821,2264.17,1883.82,15.1367
337,156.7701,2245.23,1895.33,15.2239
338,156.7444,2277.3,1905.08,15.3121
339,156.7292,2309.72,1914.63,15.1942
340,156.8536,1862.08,1734.8,14.4452
341,156.7123,2259.8,1867.1,15.1193
342,156.9106,2164.04,1828.32,15.1314
343,156.7183,2244.84,1858.77,14.9246
344,156.6877,2213.13,1829.64,14.9899
345,156.7919,2213.44,1814.56,15.0303
346,156.7645,2243.84,1844.58,15.0801
347,156.8374,2215.95,1819.97,15.0933
348,156.7011,2234.76,1818.65,14.9072
349,156.674,2233.13,1728.35,14.7645
350,156.6884,2230.37,1826.44,15.0008
351,156.585,2258.49,1851.77,14.9394
352,156.7076,2233.06,1834.26,14.8279
353,156.5964,2232.71,1717.68,14.838
354,156.7321,2289.03,1888.49,15.2105
355,156.6844,2240.28,1841.41,14.9015
356,156.7385,2253.55,1843.91,15.0341
357,156.5759,2260.97,1865.61,15.0924
358,156.6209,2254.46,1879.2,15.0692
359,156.8531,2206.06,1815.34,14.841
360,156.5509,2219.78,1856.38,14.8525
361,156.705,2257.3,1857.99,15.0735
362,156.6026,2221.89,1822.61,14.8325
363,156.6766,2202.11,1842.21,14.9723
364,156.7022,2234.81,1853.82,14.9277
365,156.6147,2276.12,1873.4,14.9567
366,156.7457,2244.47,1857.4,15.1699
367,156.652,2252.56,1877.94,15.1627
368,156.5637,2270.48,1876.95,15.015
369,156.6694,2226.59,1844.55,14.9514
370,156.6555,2173.22,1802.5,14.9654
371,156.6361,2189.54,1844.55,15.0156
372,156.568,2214.96,1855.03,14.9058
373,156.7946,2206.73,1832.32,14.8599
374,156.4885,2246.4,1874.99,14.9364
375,156.7501,2172.88,1806.31,14.6538
376,156.6958,2218.18,1871.34,15.0865
377,156.7218,2210.6,1832.88,14.8608
378,156.5593,2247.2,1866.8,14.9245
379,156.7065,2268.64,1866.85,14.9861
380,156.7671,2243.41,1848.36,14.9158
381,156.6388,2245.06,1875.11,15.0327
382,156.675,2286.05,1896.77,15.1283
383,156.797,2271.94,1890.13,15.0613
384,156.6993,2213.0,1855.76,15.1444
385,156.753,2223.68,1877.12,15.1085
386,156.6193,2235.74,1852.35,14.9818
387,156.7099,2225.97,1756.47,14.9933
388,156.7223,2250.02,1870.59,15.0593
389,156.6697,2231.72,1855.52,14.9879
390,156.728,2196.7,1829.9,14.8796
391,156.6948,2220.24,1857.67,14.5363
392,156.806,2240.08,1868.88,15.1329
393,156.6207,2289.58,1889.4,15.1214
394,156.8168,2247.96,1863.08,14.9939
395,156.798,2270.84,1889.89,15.0913
396,156.6519,2224.12,1857.19,14.7485
397,156.7928,2223.56,1854.29,15.184
398,156.6777,2236.82,1856.27,14.9662
399,156.6943,2199.64,1831.89,14.763
400,156.6488,2250.4,1854.71,14.8407
401,156.8096,2248.93,1861.19,14.9144
402,156.7754,2242.15,1868.42,14.8783
403,156.7819,2258.33,1871.71,14.8603
404,156.5845,2253.37,1903.36,14.9621
405,156.7658,2259.09,1888.46,14.9873
406,156.7093,2265.83,1816.51,14.9733
407,156.6498,2245.11,1726.55,14.9357
408,156.7188,2253.04,1762.7,14.9172
409,156.7476,2293.27,1915.31,14.9634
410,156.6491,2106.49,1819.49,14.6905
411,156.6196,2257.77,1868.55,15.0599
412,156.7706,2279.76,1891.17,15.0441
413,156.579,2257.8,1910.69,15.1196
414,156.7148,2294.29,1898.7,15.1961
415,156.4627,2310.81,1948.89,15.1995
416,156.5852,2303.92,1939.54,15.0235
417,156.596,2306.35,1925.98,15.2527
418,156.5522,2263.05,1898.71,15.2757
419,156.64,2294.09,1925.94,15.3409
420,156.6108,2268.59,1900.06,15.1104
421,156.5569,2252.94,1795.33,14.995
422,156.6794,2308.73,1930.14,15.1054
