Running Env Steps,Reward Loss,Real Det Return,Itration,Running Forward KL,Running Reverse KL,Real Sto Return,Running Update Time
165000,-396.8849792480469,1464.95,33,61.4559,26.7411,620.58,33
170000,-428.7630920410156,906.81,34,64.9491,28.1953,391.36,34
175000,-426.037841796875,1224.47,35,62.1881,26.4847,468.28,35
180000,-458.1723327636719,1068.47,36,65.9036,28.6935,482.12,36
185000,-455.0047607421875,1707.54,37,63.0277,27.1918,574.04,37
190000,-475.45892333984375,1579.64,38,63.106,27.6569,817.0,38
195000,-449.80401611328125,1276.11,39,58.9513,24.6039,385.91,39
200000,-439.5768127441406,1343.41,40,57.4588,24.272,714.51,40
205000,-478.1524658203125,1487.04,41,59.6928,25.4323,487.07,41
210000,-474.3030700683594,1515.01,42,56.7882,24.7428,699.18,42
215000,-490.7442321777344,1936.77,43,57.1889,25.0976,759.57,43
220000,-507.1733093261719,1303.61,44,58.3457,24.6194,856.93,44
225000,-551.9744262695312,1400.35,45,60.2615,31.9307,608.71,45
230000,-576.5128784179688,984.95,46,60.3823,28.1285,269.75,46
235000,-585.5388793945312,1155.1,47,62.5503,26.8981,570.4,47
240000,-629.0240478515625,1104.73,48,65.679,28.5203,501.16,48
245000,-581.5065307617188,1257.18,49,57.8672,24.0818,633.82,49
250000,-628.79345703125,1038.57,50,62.5255,25.7947,422.95,50
255000,-626.0881958007812,1237.47,51,58.334,24.2559,485.9,51
260000,-595.7128295898438,1269.14,52,57.4217,23.9221,729.83,52
265000,-605.26611328125,1625.83,53,58.7872,25.3863,1122.72,53
270000,-550.6181640625,2286.68,54,52.8381,22.636,1336.35,54
275000,-653.1151123046875,1566.78,55,58.8628,23.9968,910.11,55
280000,-596.5482177734375,1742.34,56,52.07,21.9122,961.36,56
285000,-677.25390625,1782.03,57,56.9441,24.3939,774.75,57
290000,-767.9412841796875,1124.7,58,64.336,27.7277,476.53,58
295000,-738.23193359375,1519.5,59,59.8114,25.1451,814.85,59
300000,-696.9641723632812,994.63,60,58.0503,24.42,737.83,60
305000,-718.853515625,1754.53,61,56.7146,23.5604,1049.51,61
310000,-614.6473999023438,2038.24,62,53.9429,25.5161,1756.44,62
315000,-789.6888427734375,1495.46,63,59.6169,25.6388,963.03,63
320000,-711.8461303710938,1767.8,64,55.5086,24.5049,1269.55,64
325000,-679.326171875,2582.95,65,52.1793,23.5074,1685.92,65
330000,-769.7362060546875,2077.75,66,59.275,24.6253,967.61,66
335000,-809.7984008789062,1652.82,67,60.5921,26.4942,792.29,67
340000,-717.2797241210938,2454.14,68,56.6741,25.6887,1195.46,68
345000,-835.09814453125,1603.5,69,59.2749,24.9944,1051.16,69
350000,-703.3613891601562,2746.5,70,55.9673,27.5168,1697.5,70
355000,-698.2476806640625,2759.62,71,54.7817,27.9785,1735.24,71
360000,-845.1213989257812,1817.69,72,58.6156,25.7837,1405.76,72
365000,-787.2177124023438,2871.35,73,56.8632,27.5157,2001.84,73
370000,-805.6817626953125,2057.89,74,54.2705,26.0088,1774.36,74
375000,-757.6337280273438,2453.46,75,56.09,29.5894,1974.29,75
380000,-778.3324584960938,2308.32,76,56.5027,30.1818,2016.02,76
385000,-798.2266235351562,2062.74,77,54.4321,28.2303,1315.04,77
390000,-818.5921020507812,2571.54,78,56.4408,28.7673,1789.92,78
395000,-812.3869018554688,2360.9,79,55.6633,28.0548,1655.7,79
400000,-870.10693359375,2775.14,80,56.9785,27.1594,1411.49,80
405000,-858.7577514648438,3120.71,81,56.9112,31.4211,2378.32,81
410000,-806.8414916992188,3427.78,82,59.6372,40.3495,2452.44,82
415000,-759.304931640625,2957.7,83,59.2559,39.3287,2227.42,83
420000,-1047.7265625,2554.2,84,61.2036,27.5167,2241.3,84
425000,-871.2196044921875,3114.13,85,57.1754,34.5004,2378.43,85
430000,-964.2276000976562,2468.02,86,59.7203,31.8248,2110.51,86
435000,-847.2035522460938,3157.21,87,59.2789,40.1591,2301.08,87
440000,-1051.4888916015625,2112.35,88,59.2585,27.0181,1603.08,88
445000,-948.4339599609375,3182.2,89,59.8983,38.0805,2350.6,89
450000,-980.4232177734375,1810.2,90,59.2756,30.3547,2005.25,90
455000,-970.6922607421875,2977.42,91,58.9444,34.4448,2248.57,91
460000,-1012.0105590820312,3009.44,92,59.3209,32.2486,2343.03,92
465000,-1009.708984375,2597.37,93,59.8519,36.5882,2693.82,93
470000,-1074.82861328125,3041.9,94,59.796,30.7529,2689.76,94
475000,-994.248046875,3406.88,95,60.5253,39.1596,3015.24,95
480000,-998.5664672851562,3342.91,96,61.1634,37.7834,2806.04,96
485000,-1110.7144775390625,3216.49,97,59.1807,29.695,2088.64,97
490000,-1119.956787109375,3232.85,98,58.5915,29.4833,2255.28,98
495000,-1064.534912109375,3007.7,99,61.7531,33.6208,2062.34,99
500000,-958.825439453125,3297.73,100,61.0695,43.1663,2967.81,100
505000,-1026.816650390625,2234.26,101,57.4746,36.0921,2381.09,101
510000,-1120.984130859375,2383.34,102,61.0767,34.438,2367.7,102
515000,-1269.9757080078125,2019.21,103,60.482,27.0921,1629.09,103
520000,-1097.95458984375,3368.0,104,59.3358,34.6752,1500.99,104
525000,-1152.00732421875,1083.57,105,60.8873,32.3525,1190.39,105
530000,-1132.9967041015625,2452.86,106,60.7395,35.368,2152.2,106
535000,-1091.7398681640625,1478.75,107,62.6101,38.8061,1965.72,107
540000,-1186.034912109375,2556.66,108,61.0841,32.5704,2380.63,108
545000,-1140.11474609375,3537.36,109,60.5669,40.8904,2140.82,109
550000,-1199.37890625,2314.37,110,60.1086,36.1989,1961.51,110
555000,-1212.3145751953125,2726.3,111,59.9521,38.8315,2985.59,111
560000,-1164.09228515625,3931.99,112,62.803,48.2852,3414.05,112
565000,-1241.8963623046875,3988.53,113,59.9566,38.6443,3100.05,113
570000,-1337.1204833984375,2690.31,114,60.4516,30.5491,2139.65,114
575000,-1246.4112548828125,3340.01,115,60.1852,37.2506,2765.44,115
580000,-1196.5838623046875,3589.4,116,65.4235,48.6111,2738.62,116
585000,-1286.92529296875,3654.27,117,63.7091,46.0451,3028.09,117
590000,-1258.7149658203125,3459.89,118,61.3738,41.9393,2137.27,118
595000,-1341.887451171875,2512.89,119,64.4355,42.4656,2668.28,119
600000,-1371.789306640625,3052.59,120,60.4199,37.5319,2950.12,120
605000,-1333.943359375,3717.52,121,62.5537,44.4697,3290.87,121
610000,-1331.638916015625,3573.3,122,70.106,52.1446,2997.7,122
615000,-1401.3583984375,3328.42,123,64.776,53.6292,3212.02,123
620000,-1433.6895751953125,2909.35,124,59.4228,35.3939,2546.76,124
625000,-1363.489501953125,3640.33,125,62.7092,47.3498,2914.88,125
630000,-1429.077392578125,4195.75,126,65.8006,51.1679,3496.51,126
635000,-1455.0526123046875,4029.19,127,65.0108,48.2291,2666.66,127
640000,-1595.0164794921875,3955.06,128,63.1385,35.8994,3288.9,128
645000,-1496.14208984375,3007.17,129,63.4428,42.152,2019.85,129
650000,-1476.1507568359375,3627.83,130,67.5723,50.9929,2531.04,130
655000,-1574.999755859375,4197.05,131,66.4609,50.012,3524.65,131
660000,-1544.9874267578125,3061.97,132,65.1836,47.3599,2299.63,132
665000,-1603.2337646484375,3229.89,133,65.0056,49.4136,2342.95,133
670000,-1623.085693359375,3856.84,134,67.8221,47.5494,2058.24,134
675000,-1657.4644775390625,4526.86,135,69.1973,51.7514,3004.4,135
680000,-1690.634521484375,1486.09,136,61.6563,35.1064,1497.66,136
685000,-1696.5706787109375,4642.14,137,68.3911,51.902,3597.21,137
690000,-1689.651123046875,4097.56,138,70.1234,55.1364,3219.35,138
695000,-1732.736328125,4673.98,139,64.5921,45.6267,3102.3,139
700000,-1771.0675048828125,4731.61,140,73.5913,57.7356,4098.6,140
705000,-1799.5926513671875,4767.76,141,67.216,53.2496,3759.08,141
710000,-1758.6748046875,3259.31,142,68.09,49.9739,2202.24,142
715000,-1832.636962890625,3188.18,143,63.1026,42.7089,2651.17,143
720000,-1842.7232666015625,4712.05,144,70.7632,57.548,3074.37,144
725000,-1895.951904296875,4281.23,145,67.0546,52.0518,3994.31,145
730000,-1894.147216796875,4309.9,146,70.8033,53.161,3435.47,146
735000,-1933.4996337890625,2917.67,147,64.0759,41.8679,2322.33,147
740000,-1920.3663330078125,3645.79,148,69.2076,56.037,3158.08,148
745000,-2047.92529296875,4442.77,149,69.7822,51.9197,3774.73,149
750000,-2079.42333984375,4679.7,150,72.7343,56.6404,3871.79,150
755000,-2040.2071533203125,3159.11,151,65.7772,42.78,2021.61,151
760000,-2125.622314453125,4607.98,152,74.4617,59.34,4270.07,152
765000,-2101.24365234375,3258.24,153,66.5698,44.2523,2499.78,153
770000,-2117.83935546875,3640.7,154,66.6199,49.6555,2695.81,154
775000,-2220.547607421875,4916.69,155,72.9282,59.2638,4153.31,155
780000,-2207.09912109375,2973.52,156,73.5022,61.2203,2043.33,156
785000,-2287.660888671875,4969.8,157,66.1717,44.1233,4197.83,157
790000,-2256.53662109375,4318.43,158,72.8385,56.0693,3887.46,158
795000,-2333.68359375,4510.93,159,73.6932,60.7686,3760.25,159
800000,-2340.375,4210.16,160,67.7571,52.491,3786.07,160
805000,-2367.18994140625,4581.82,161,73.73,61.4728,3808.73,161
810000,-2448.582275390625,4780.85,162,67.0634,45.3566,4320.76,162
815000,-2535.477783203125,4636.81,163,73.4562,62.442,4260.23,163
820000,-2531.664306640625,5112.38,164,71.7578,57.9357,4392.52,164
825000,-2594.46728515625,4780.66,165,69.5766,57.084,4374.42,165
830000,-2544.369384765625,4855.55,166,70.9055,56.8943,4309.5,166
835000,-2577.108642578125,4184.49,167,67.0634,48.0121,3758.87,167
840000,-2698.495361328125,4746.2,168,72.3891,58.6347,4558.1,168
845000,-2709.218017578125,5088.12,169,67.1527,50.4377,4601.61,169
850000,-2639.57080078125,3024.55,170,72.4295,54.9992,2829.77,170
855000,-2693.13916015625,4761.78,171,72.3771,57.4469,3460.93,171
860000,-2785.44873046875,4813.9,172,70.0296,52.3742,3841.59,172
865000,-2825.7802734375,4707.59,173,66.4196,51.3364,3400.23,173
870000,-2883.031005859375,5147.66,174,73.6878,56.9019,4642.31,174
875000,-2974.462158203125,5033.11,175,69.8643,55.9414,4331.41,175
880000,-2841.37255859375,4383.41,176,67.6284,48.6149,2809.61,176
885000,-2965.621826171875,4932.1,177,69.9957,57.2791,4057.01,177
890000,-3023.47802734375,4943.06,178,69.8448,55.7288,4511.23,178
895000,-3014.571533203125,4177.51,179,69.471,51.1125,3995.02,179
900000,-3085.6943359375,4720.51,180,69.1409,54.1536,4009.95,180
905000,-3231.098876953125,4979.04,181,77.4501,66.0288,4595.54,181
910000,-3188.439697265625,4963.19,182,69.1447,51.3314,3935.92,182
915000,-3228.377685546875,4522.17,183,70.8926,57.1908,4379.27,183
920000,-3137.845703125,3645.52,184,69.8296,53.2268,3290.48,184
925000,-3324.737060546875,4798.25,185,72.8383,60.5683,4504.65,185
930000,-3497.75341796875,5007.3,186,77.5899,66.6174,4702.88,186
935000,-3411.881103515625,4835.74,187,70.7085,51.9214,4046.67,187
940000,-3487.553466796875,4958.85,188,73.1309,61.5431,4588.52,188
945000,-3420.77197265625,5075.43,189,74.2773,58.8518,4475.75,189
950000,-3492.760498046875,4663.41,190,73.2154,59.586,2447.78,190
955000,-3639.73876953125,5224.54,191,76.9789,64.0039,4603.68,191
960000,-3666.42041015625,4878.79,192,76.1294,65.1614,4441.47,192
965000,-3655.925537109375,4076.14,193,68.4025,53.7454,4475.72,193
970000,-3678.9892578125,4037.87,194,74.5813,60.2027,3673.03,194
975000,-3811.689697265625,4932.54,195,74.2124,64.5329,4318.91,195
980000,-3779.06396484375,4535.06,196,68.8651,54.0439,3939.39,196
985000,-3816.357666015625,4890.96,197,73.178,58.6195,4739.19,197
990000,-3943.448486328125,5184.2,198,72.6716,61.3531,4202.16,198
995000,-3962.520263671875,4704.16,199,76.7482,67.8082,3503.18,199
1000000,-4135.94140625,5004.81,200,71.8429,62.8474,4562.74,200
1005000,-4224.12109375,5081.93,201,75.9456,65.8436,4640.27,201
1010000,-4145.10693359375,5253.96,202,69.7573,53.9211,4862.55,202
1015000,-4238.96484375,5136.23,203,71.6082,62.87,4790.93,203
1020000,-4283.7421875,5244.17,204,74.481,65.4056,4930.27,204
1025000,-4387.544921875,4988.98,205,72.8811,61.4946,4694.4,205
1030000,-4379.8486328125,4998.45,206,73.8819,60.0397,4568.5,206
1035000,-4479.08154296875,5293.21,207,77.8638,72.667,4854.13,207
1040000,-4495.4658203125,5201.38,208,75.5337,66.6124,4871.54,208
1045000,-4528.35400390625,4938.82,209,72.9916,62.8668,4229.89,209
1050000,-4554.19091796875,4877.53,210,74.0654,68.7454,4967.37,210
1055000,-4677.98046875,4537.83,211,76.0617,69.7976,4528.17,211
1060000,-4702.9375,5176.71,212,74.1511,66.4517,4487.75,212
1065000,-4636.95654296875,4928.76,213,67.8847,53.7166,4635.49,213
1070000,-4741.9931640625,4813.0,214,73.2527,58.1098,4057.47,214
1075000,-4820.16064453125,4852.95,215,74.887,63.8973,4172.68,215
1080000,-4868.80517578125,5218.96,216,75.6781,63.8103,4641.07,216
1085000,-4847.0732421875,5082.18,217,73.202,61.7032,4728.9,217
1090000,-4955.34375,5201.11,218,73.9903,59.283,4582.02,218
1095000,-4801.6484375,4846.9,219,69.4432,59.4918,3875.55,219
1100000,-5082.7470703125,4408.93,220,74.5312,64.6522,4551.88,220
1105000,-4928.65869140625,3903.23,221,70.3829,58.6268,4294.36,221
1110000,-5033.6865234375,4568.47,222,73.6695,63.1229,4036.88,222
1115000,-5192.3369140625,4995.89,223,73.0385,60.1822,4647.08,223
1120000,-5126.01953125,5089.22,224,72.4384,57.712,4661.34,224
1125000,-5267.6875,5128.99,225,72.1228,60.2895,4907.71,225
1130000,-5278.5439453125,4779.46,226,70.6571,56.6228,4759.68,226
1135000,-5309.083984375,4754.61,227,73.7013,59.9006,4180.48,227
1140000,-5424.84814453125,4622.9,228,75.0043,61.7515,4180.52,228
1145000,-5562.47314453125,5244.7,229,77.4126,65.6283,4910.46,229
1150000,-5723.19775390625,5166.56,230,76.1473,68.3063,4922.75,230
1155000,-5651.62890625,5083.72,231,77.2557,66.7017,4291.61,231
1160000,-5626.20947265625,4720.16,232,74.7646,63.321,3626.36,232
1165000,-5767.9140625,4423.82,233,76.7065,65.1454,4565.72,233
1170000,-5817.43994140625,5206.96,234,77.9292,66.4571,4784.65,234
1175000,-5788.56201171875,4972.62,235,72.9559,62.1126,4543.58,235
1180000,-5953.5400390625,5281.71,236,74.9823,64.5373,4870.11,236
1185000,-5950.00830078125,5038.8,237,73.159,59.649,4490.83,237
1190000,-5620.36865234375,4985.12,238,68.6015,56.2869,4953.42,238
1195000,-5997.26416015625,5151.2,239,76.2979,65.0054,4318.01,239
1200000,-5919.70703125,5166.85,240,70.6056,58.2574,4356.5,240
1205000,-5921.701171875,4757.45,241,71.1894,57.5467,4272.45,241
1210000,-6347.8232421875,5196.56,242,75.1368,63.7942,4738.27,242
1215000,-6223.11474609375,5049.69,243,73.1767,63.7759,4412.55,243
1220000,-6167.00634765625,4963.85,244,73.298,60.269,4943.6,244
1225000,-6220.150390625,5075.38,245,70.9856,58.4624,4998.25,245
1230000,-6420.3310546875,5167.74,246,74.1905,61.9539,4729.93,246
1235000,-6396.2392578125,5270.11,247,73.4226,64.1557,4788.01,247
1240000,-6407.3095703125,4666.5,248,74.5028,64.5184,4335.87,248
1245000,-6573.853515625,5314.31,249,75.125,65.6849,4788.63,249
1250000,-6651.35009765625,5075.33,250,75.5524,65.7324,4822.55,250
1255000,-6750.00634765625,4572.91,251,77.6289,67.8367,4757.94,251
1260000,-6408.02197265625,5053.04,252,70.5473,58.0094,4797.34,252
1265000,-6313.8935546875,4918.66,253,69.862,57.642,4621.31,253
1270000,-6867.68017578125,4963.45,254,76.5496,69.097,5141.39,254
1275000,-6804.60986328125,5339.67,255,76.5306,66.7422,3693.48,255
1280000,-6910.04736328125,5085.93,256,75.4148,70.1536,4478.48,256
1285000,-6614.451171875,5245.43,257,69.927,56.4674,4460.98,257
1290000,-6930.38671875,5423.34,258,74.7486,65.2366,4774.48,258
1295000,-7034.5126953125,5059.54,259,75.0445,64.7366,4572.88,259
1300000,-7007.88916015625,4764.68,260,75.495,63.5808,4620.09,260
1305000,-7025.4619140625,4210.52,261,74.4758,61.7687,4611.21,261
1310000,-6972.48046875,5075.07,262,72.0256,58.6982,4601.77,262
1315000,-7160.0673828125,5372.03,263,74.4055,61.2135,4988.33,263
1320000,-7105.29345703125,5047.25,264,74.2007,65.8954,4863.71,264
1325000,-7387.0888671875,5063.82,265,76.2466,66.0327,4431.49,265
1330000,-7377.90576171875,5084.65,266,75.7562,61.9569,4714.07,266
1335000,-7179.37158203125,5229.78,267,73.2432,60.8414,4937.07,267
1340000,-7620.91455078125,5146.17,268,78.8315,73.5507,4867.35,268
1345000,-7607.5283203125,4864.07,269,77.4032,68.8477,5072.63,269
1350000,-7489.9033203125,5453.24,270,71.8183,60.5191,4675.46,270
1355000,-7410.12744140625,5033.71,271,71.6548,58.7116,4422.98,271
1360000,-7648.876953125,5173.52,272,78.2043,71.5258,4809.43,272
1365000,-7746.39111328125,5108.34,273,75.8264,67.7068,4788.75,273
1370000,-7973.47314453125,4986.12,274,80.4435,72.5995,4851.1,274
1375000,-7829.14794921875,4963.21,275,76.8866,64.7282,4773.63,275
1380000,-7911.77294921875,5087.35,276,80.0019,71.165,4839.25,276
1385000,-8141.65576171875,4742.97,277,83.1873,77.2542,4843.91,277
1390000,-7806.86279296875,4855.28,278,76.3008,69.8218,4510.81,278
1395000,-7828.26220703125,5086.8,279,74.1794,61.7951,5139.71,279
1400000,-8175.40625,5039.57,280,80.175,68.9122,4696.47,280
1405000,-8064.39111328125,4256.12,281,80.0215,73.8728,4817.11,281
1410000,-8329.6142578125,4631.35,282,79.3635,70.8912,4049.19,282
1415000,-8364.255859375,5283.4,283,80.4083,73.8888,4554.49,283
1420000,-8220.7470703125,5116.91,284,76.6441,65.6874,4335.21,284
1425000,-8291.13671875,4977.11,285,78.1712,68.9275,4735.18,285
1430000,-8524.994140625,5380.89,286,80.082,73.6508,4958.23,286
1435000,-8617.8330078125,5402.84,287,81.3746,70.2779,5115.73,287
1440000,-8157.9287109375,5370.87,288,72.7554,61.821,4797.25,288
1445000,-8735.130859375,5311.62,289,80.5551,73.0052,4481.48,289
1450000,-8805.5888671875,5386.54,290,79.7837,69.4586,4717.43,290
1455000,-8855.8232421875,5414.67,291,81.8729,72.4588,4905.6,291
1460000,-8750.7021484375,5516.63,292,78.6892,69.4077,5201.7,292
1465000,-8707.7392578125,5389.51,293,75.1647,66.7872,4461.28,293
1470000,-8750.5439453125,5344.99,294,75.3719,65.8427,5075.18,294
1475000,-8957.26171875,5431.51,295,80.2167,72.3336,4898.33,295
1480000,-8875.298828125,5507.2,296,78.9864,72.5662,4980.27,296
1485000,-8622.330078125,4903.64,297,73.7318,64.5809,4040.21,297
1490000,-8560.68359375,5444.46,298,72.0056,62.0765,4388.59,298
1495000,-8854.8603515625,5162.95,299,75.4474,67.77,5167.61,299
1500000,-9153.3740234375,5442.17,300,79.4361,74.1723,5156.1,300
1505000,-9168.9150390625,5231.61,301,76.7378,69.735,5000.06,301
1510000,-9189.0107421875,5265.27,302,78.5236,66.3653,5106.09,302
1515000,-9381.546875,5367.87,303,80.3533,74.8161,4847.12,303
1520000,-9051.91796875,4907.7,304,79.2387,75.4012,4655.88,304
1525000,-8913.1123046875,5465.14,305,72.5715,65.4126,4658.79,305
1530000,-9332.595703125,5500.7,306,80.2477,75.1019,5011.17,306
1535000,-9565.5908203125,5286.57,307,80.8637,76.6043,4933.4,307
1540000,-9343.2119140625,5454.83,308,79.0592,74.8362,5248.63,308
1545000,-9566.9404296875,5463.77,309,79.0448,73.9536,4820.98,309
1550000,-8894.0751953125,5303.17,310,71.3319,62.1719,4322.52,310
1555000,-9695.3076171875,5403.46,311,80.0864,75.4566,5154.81,311
1560000,-9663.6044921875,5383.4,312,77.6566,73.3676,5148.53,312
1565000,-9420.625,4888.05,313,77.7691,72.8869,4802.05,313
1570000,-9466.080078125,5176.3,314,78.9549,71.7788,4838.31,314
1575000,-9619.7802734375,4878.81,315,79.4185,73.0987,4468.74,315
1580000,-9345.8134765625,4989.8,316,74.6342,63.8639,4470.85,316
1585000,-9207.580078125,4824.91,317,73.2821,62.3509,4561.11,317
1590000,-9446.203125,5310.82,318,74.1285,69.7063,4858.53,318
1595000,-9898.80078125,5491.74,319,78.3854,72.7652,4736.2,319
1600000,-9756.0,5436.58,320,79.2452,74.3734,4750.71,320
1605000,-9847.720703125,5469.32,321,77.7128,71.6102,4949.83,321
1610000,-9624.6005859375,5034.57,322,74.4155,70.6529,4863.78,322
1615000,-10092.515625,5503.48,323,78.1575,70.8045,4908.98,323
1620000,-9836.458984375,5483.53,324,74.8292,70.1737,5011.38,324
1625000,-9990.5625,5540.73,325,77.3407,72.773,4671.74,325
1630000,-10047.8076171875,5594.07,326,76.5165,69.6898,4640.78,326
1635000,-10060.3583984375,5278.69,327,77.0079,73.7441,4956.16,327
1640000,-9981.05078125,5067.57,328,76.2427,71.5122,4814.75,328
1645000,-10214.8330078125,5418.51,329,78.3172,75.5483,5305.47,329
1650000,-9825.955078125,4542.34,330,73.2485,66.8696,3943.1,330
1655000,-9905.33203125,5344.08,331,73.2705,66.8346,4661.13,331
1660000,-10368.9150390625,5399.71,332,79.7701,72.2127,4901.03,332
1665000,-10345.7529296875,5571.99,333,76.8863,70.643,5274.91,333
1670000,-10112.69140625,5258.76,334,74.1267,70.0184,4659.79,334
1675000,-10535.896484375,5417.07,335,78.4471,74.3716,5243.4,335
1680000,-10417.5419921875,5477.46,336,76.878,69.3185,4860.83,336
1685000,-9500.962890625,4981.47,337,70.6049,58.818,4892.58,337
1690000,-9896.6865234375,5539.46,338,71.6467,65.2046,4500.07,338
1695000,-10327.3828125,5465.0,339,76.093,67.8128,4690.8,339
1700000,-10539.3427734375,5260.14,340,78.5087,70.3971,4180.1,340
1705000,-10503.287109375,4615.07,341,75.5839,68.7875,3882.49,341
1710000,-10149.98828125,5242.0,342,74.5363,71.5283,5261.87,342
1715000,-10495.99609375,4096.52,343,78.1308,68.5296,4321.95,343
1720000,-10631.109375,5548.15,344,77.2454,71.9858,5231.92,344
1725000,-10725.2109375,5265.25,345,78.7963,73.4648,4984.75,345
1730000,-10689.8486328125,5326.21,346,76.6978,70.2106,4837.81,346
1735000,-10630.951171875,5382.75,347,76.4119,71.5671,5070.96,347
1740000,-10487.5771484375,5083.14,348,73.4049,66.7279,4469.35,348
1745000,-10859.2666015625,5524.49,349,80.8803,72.2798,4733.79,349
1750000,-10487.236328125,5227.5,350,71.7849,63.0957,4595.77,350
1755000,-10718.0830078125,5135.98,351,73.566,66.8065,4990.66,351
1760000,-11082.2431640625,5604.33,352,78.4261,76.0748,5065.62,352
1765000,-11082.9375,4880.77,353,77.4638,71.2533,5043.15,353
1770000,-11028.7529296875,5358.46,354,77.2847,69.9175,4859.74,354
1775000,-11013.1181640625,5674.75,355,75.1767,66.3067,5013.14,355
1780000,-10578.685546875,5311.37,356,71.5225,57.946,4825.06,356
1785000,-10916.7021484375,5646.53,357,75.7893,66.3496,5181.03,357
1790000,-11109.0986328125,5327.71,358,77.4518,66.5054,4414.62,358
1795000,-11038.5537109375,5078.62,359,75.837,65.0467,5147.54,359
1800000,-9758.4892578125,5218.93,360,70.0407,50.1286,4903.24,360
1805000,-11240.8505859375,5246.69,361,74.9141,64.0773,4882.78,361
1810000,-11134.7412109375,5308.31,362,76.371,67.1156,5158.96,362
1815000,-11030.767578125,5686.45,363,75.709,64.2913,4767.14,363
1820000,-11188.3974609375,5684.36,364,74.9048,63.288,4056.79,364
1825000,-11281.34765625,4922.17,365,75.7042,65.8306,4509.25,365
1830000,-11347.8134765625,5425.16,366,77.8599,71.0296,4774.99,366
1835000,-10246.3837890625,4853.7,367,69.2719,54.729,4423.93,367
1840000,-11423.7529296875,5255.29,368,80.0192,71.2772,4997.99,368
1845000,-11317.541015625,5526.83,369,77.2138,68.4778,3723.81,369
1850000,-11119.7119140625,5245.38,370,73.07,62.6241,5234.37,370
1855000,-11665.0986328125,5250.37,371,79.7087,69.8976,5008.68,371
1860000,-11510.7705078125,5635.0,372,78.8335,69.1339,4800.85,372
1865000,-10933.0400390625,4889.88,373,71.6586,61.5408,4749.65,373
1870000,-11064.599609375,5354.97,374,73.8357,61.5159,4984.43,374
1875000,-11124.0732421875,5742.8,375,73.3885,61.4961,4033.56,375
1880000,-11669.515625,5352.56,376,78.6234,66.8178,4585.75,376
1885000,-10889.068359375,5320.17,377,70.9463,59.3066,4606.25,377
1890000,-11829.0458984375,4806.88,378,77.948,69.9499,4388.9,378
1895000,-11768.4951171875,4938.73,379,77.0666,69.5504,4934.34,379
1900000,-11772.728515625,5102.2,380,77.8905,69.1539,5234.8,380
1905000,-11656.31640625,5166.95,381,74.3997,68.5892,4728.43,381
1910000,-11602.615234375,5145.51,382,75.8329,64.6756,4932.13,382
1915000,-11646.0791015625,4527.09,383,76.0957,64.8951,4368.96,383
1920000,-11721.1748046875,5137.18,384,75.2108,66.4198,4710.45,384
1925000,-11820.90234375,5049.02,385,77.3512,69.9103,5211.35,385
1930000,-11904.20703125,5401.47,386,75.656,66.7671,4936.58,386
