Running Reverse KL,Real Sto Return,Itration,Real Det Return,Running Forward KL
117.8233,5012.9,117,5072.21,310.3648
108.609,4827.27,118,4357.28,304.9426
96.351,4911.68,119,3604.55,301.4138
122.152,4655.77,120,4030.98,321.0154
108.1634,5000.74,121,4916.24,314.6097
109.0832,4601.44,122,2832.16,312.0315
112.5647,5005.3,123,4577.04,308.4401
98.1349,4602.1,124,4188.53,299.8408
91.7545,4776.07,125,4652.88,293.7554
91.0746,4701.68,126,4858.86,292.7764
82.8907,4754.88,127,4985.78,287.6304
90.4536,4980.14,128,4530.44,285.528
99.6125,4589.13,129,4637.7,294.2243
99.1468,4502.71,130,4345.98,283.6223
87.5978,4534.98,131,5039.26,284.515
107.3895,4778.43,132,3252.22,298.407
100.9977,4808.79,133,5036.26,297.8032
101.5039,4782.17,134,3194.47,298.7722
147.9395,4322.51,135,4752.2,333.1741
130.3104,4822.43,136,2611.88,319.7317
92.9282,5033.02,137,3122.15,283.6093
113.5188,5032.73,138,4986.1,309.6895
131.4187,4805.54,139,4678.24,327.5439
127.876,4704.9,140,2051.1,329.6729
123.6658,4757.08,141,2534.97,315.6447
135.4405,4655.05,142,3114.53,327.9562
104.6608,4510.44,143,3858.27,306.1004
102.582,4501.61,144,4270.3,302.321
116.7499,4830.93,145,4447.64,313.464
138.2587,4568.47,146,3389.97,327.9059
111.398,4545.66,147,4931.86,310.3816
118.3282,4973.99,148,2472.57,322.289
114.6736,5013.52,149,3466.15,321.7489
88.7109,4950.53,150,2518.46,293.5856
94.542,5087.78,151,4519.76,292.5597
96.694,4985.5,152,4595.98,302.1773
104.5217,4365.27,153,3738.76,315.2091
114.9352,4773.89,154,5004.86,322.1596
115.6684,4192.21,155,4816.87,320.0881
118.0391,4574.93,156,3350.3,322.226
135.3979,5015.23,157,4964.06,324.6686
111.3104,4819.07,158,4987.81,313.9698
122.2766,4626.86,159,5003.72,320.4957
101.3805,3621.36,160,4999.48,294.8856
106.054,4917.78,161,4727.53,311.4477
89.902,4002.7,162,5054.04,291.9071
123.3204,4552.51,163,4858.2,316.6877
93.4381,4649.22,164,4968.81,291.6168
87.0378,4795.84,165,5008.95,285.1044
80.9722,4823.01,166,4404.78,280.3261
77.6267,5075.74,167,5098.25,273.5888
78.9514,4834.67,168,5049.16,283.3601
99.2302,4853.41,169,4970.81,301.6289
73.9844,4990.9,170,5057.66,275.5286
89.6887,4936.01,171,4375.44,288.0054
69.7599,4923.01,172,4409.97,267.7196
106.575,4607.7,173,4378.53,294.4014
81.9826,4945.68,174,4226.09,277.102
75.6008,4981.63,175,4863.16,275.7757
81.9492,4719.34,176,5027.38,284.6933
96.6423,5062.34,177,5048.76,296.5742
77.0676,4851.87,178,5024.87,282.3321
80.2147,5046.66,179,5038.18,287.3707
67.8656,4775.39,180,5079.15,272.5135
71.3318,4553.3,181,5066.86,273.1566
70.5725,4753.27,182,4728.05,262.5954
90.2134,4544.75,183,3736.52,288.2919
64.9719,4728.68,184,5110.01,266.0036
67.2621,5079.14,185,5078.88,266.3307
69.2853,4740.63,186,5027.61,279.7466
76.279,4526.11,187,4978.83,277.5537
82.3661,4842.13,188,4995.96,293.793
73.3361,4889.16,189,5017.6,271.7181
65.4575,4798.51,190,5079.48,263.2792
82.3628,4824.34,191,4616.42,280.4598
78.5493,4587.99,192,4974.61,275.2367
90.6454,5062.41,193,5029.01,289.9559
76.3578,4831.36,194,5080.91,282.4478
80.5244,5038.24,195,5013.41,276.2694
69.0779,4893.07,196,5077.76,272.1745
74.5986,4671.92,197,5047.61,279.1386
96.7326,4781.16,198,4785.13,292.0247
87.5777,5090.89,199,5086.0,282.9059
65.9704,4672.42,200,3174.47,265.3707
70.0312,4878.35,201,4583.1,273.5788
71.8228,5039.05,202,4995.37,275.3702
70.9257,4695.48,203,5014.45,273.2492
