Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Env Steps,Running Update Time,Real Sto Return,Real Det Return
29.6237,-307.8408203125,68.2618,31,155000,31,290.54,945.71
29.5932,-317.2899475097656,66.5539,32,160000,32,304.08,1022.13
28.9871,-335.56365966796875,67.5799,33,165000,33,256.81,766.67
29.4104,-342.70599365234375,66.7977,34,170000,34,319.08,1052.75
29.7435,-359.2523193359375,68.067,35,175000,35,270.33,1071.73
29.3247,-374.85662841796875,67.7531,36,180000,36,331.41,855.69
28.4371,-383.7346496582031,66.1921,37,185000,37,317.65,1023.21
28.008,-388.0342102050781,65.6952,38,190000,38,313.68,1008.51
29.3119,-416.4117431640625,70.0017,39,195000,39,254.9,950.52
28.8836,-424.0855407714844,67.8398,40,200000,40,284.08,987.04
29.6853,-438.6210632324219,67.3438,41,205000,41,379.21,1042.33
29.3921,-460.8499755859375,68.6479,42,210000,42,262.12,977.74
30.1459,-465.2349548339844,68.0125,43,215000,43,333.13,1021.45
29.1557,-475.5877990722656,68.0028,44,220000,44,327.24,967.11
29.2563,-495.4374694824219,67.487,45,225000,45,383.22,1145.07
27.5865,-499.140869140625,66.1579,46,230000,46,300.74,1143.84
28.0217,-508.2174072265625,66.3606,47,235000,47,445.92,1120.85
27.5626,-518.9716796875,65.3063,48,240000,48,383.76,1174.6
27.1406,-512.7857666015625,63.8,49,245000,49,364.0,1032.71
27.7332,-548.8684692382812,66.3701,50,250000,50,321.78,1040.47
28.12,-568.62255859375,66.0919,51,255000,51,322.08,906.93
29.1345,-602.0491333007812,68.1654,52,260000,52,309.72,983.26
28.5991,-599.6732788085938,67.7158,53,265000,53,409.85,1197.05
27.5657,-606.978271484375,65.7023,54,270000,54,405.72,1119.36
28.0825,-629.9963989257812,66.4786,55,275000,55,428.17,1060.16
26.3096,-601.0798950195312,61.3134,56,280000,56,367.08,1015.98
26.7345,-627.4170532226562,63.4798,57,285000,57,501.42,1052.71
26.1711,-631.3396606445312,61.9394,58,290000,58,433.27,1107.23
27.7974,-674.87109375,66.5487,59,295000,59,441.53,1266.38
25.9743,-635.0247802734375,60.8837,60,300000,60,631.11,1419.61
28.3695,-727.4227905273438,67.2555,61,305000,61,439.31,1061.95
28.0251,-719.6083984375,65.6175,62,310000,62,475.96,933.49
26.5554,-714.4411010742188,62.6109,63,315000,63,588.95,1287.81
26.7227,-732.8275756835938,63.8306,64,320000,64,432.51,1292.81
27.6555,-776.5211791992188,66.4653,65,325000,65,442.3,1292.57
28.4633,-801.2472534179688,66.5272,66,330000,66,380.81,948.62
26.0979,-769.8515625,63.3079,67,335000,67,603.97,1440.78
25.9283,-797.787109375,63.4914,68,340000,68,376.24,1363.76
26.5107,-802.9383544921875,63.7954,69,345000,69,600.53,1335.97
24.5755,-795.3128051757812,61.2719,70,350000,70,481.2,1191.74
26.2029,-835.0438842773438,62.0033,71,355000,71,679.4,1390.48
27.0335,-878.89892578125,64.802,72,360000,72,647.17,1347.04
26.5013,-884.77734375,63.8502,73,365000,73,730.03,1935.81
25.3741,-875.9956665039062,61.6354,74,370000,74,787.46,1672.72
27.7793,-940.2457885742188,65.5306,75,375000,75,544.01,1094.26
25.3541,-867.71875,60.4137,76,380000,76,662.92,1720.67
24.6104,-897.646728515625,60.9965,77,385000,77,686.03,1322.83
24.5564,-891.053955078125,59.87,78,390000,78,1033.88,1642.54
25.0702,-948.419189453125,61.0604,79,395000,79,700.65,1112.78
26.3034,-1009.7318725585938,63.5949,80,400000,80,1129.62,1656.13
24.7874,-927.4584350585938,59.1546,81,405000,81,1036.75,2123.06
23.9705,-940.1073608398438,59.424,82,410000,82,901.68,1891.56
24.4794,-931.1364135742188,58.6862,83,415000,83,1253.15,2420.93
24.3327,-1032.1495361328125,60.7034,84,420000,84,873.66,1484.94
24.3905,-991.1188354492188,58.8391,85,425000,85,678.56,1713.0
23.9954,-982.8677978515625,58.3532,86,430000,86,1150.5,2228.2
24.238,-979.190673828125,58.3454,87,435000,87,1189.59,2272.23
24.9518,-1009.1465454101562,58.8616,88,440000,88,1461.91,2127.75
23.2892,-1026.072265625,58.1832,89,445000,89,737.16,1583.22
24.3599,-1108.4901123046875,61.6596,90,450000,90,718.84,2060.44
26.4692,-942.8280029296875,57.6912,91,455000,91,1829.72,2002.49
24.63,-1179.598876953125,61.4637,92,460000,92,856.05,1979.81
25.1762,-1054.5150146484375,59.31,93,465000,93,975.39,2579.76
25.8534,-1086.2042236328125,59.3651,94,470000,94,1515.4,2490.81
25.4524,-1147.004638671875,61.3432,95,475000,95,1475.39,2407.19
27.1796,-1095.4903564453125,60.5611,96,480000,96,1348.92,1968.18
26.9217,-1059.498046875,59.6363,97,485000,97,1460.16,2707.23
32.6275,-1053.1217041015625,62.2237,98,490000,98,2042.27,3187.84
26.8008,-1140.2188720703125,60.4642,99,495000,99,1691.85,3061.56
26.2613,-1198.7374267578125,61.8783,100,500000,100,1335.03,2082.84
25.8813,-1216.2261962890625,62.0389,101,505000,101,1449.02,2164.81
26.071,-1241.8594970703125,62.7277,102,510000,102,1649.23,2919.49
27.7324,-1200.1798095703125,62.8931,103,515000,103,1771.58,3223.38
30.5467,-1146.26123046875,62.3759,104,520000,104,2117.63,3081.02
31.6651,-1123.0704345703125,64.1346,105,525000,105,2283.32,3522.12
36.4686,-1067.7620849609375,65.4619,106,530000,106,2170.11,3338.81
38.7087,-1019.4598388671875,66.3512,107,535000,107,2313.63,3509.19
29.6882,-1202.7685546875,64.0671,108,540000,108,1774.5,2894.67
26.3426,-1346.86474609375,64.0415,109,545000,109,1977.34,2600.1
30.4471,-1211.653564453125,63.5073,110,550000,110,1729.21,2055.35
27.2278,-1347.292724609375,64.4424,111,555000,111,1652.62,2019.65
36.1215,-1137.919921875,65.154,112,560000,112,2184.71,3330.25
29.2493,-1258.5283203125,62.8777,113,565000,113,1888.47,2705.45
31.6122,-1313.5372314453125,65.0129,114,570000,114,2569.88,2945.67
37.3203,-1137.624267578125,64.6322,115,575000,115,2719.36,3871.11
33.1813,-1241.3287353515625,64.9989,116,580000,116,1888.32,2452.7
39.978,-1162.982666015625,65.7373,117,585000,117,3075.54,3250.98
35.5222,-1305.3016357421875,65.7201,118,590000,118,2824.32,2745.15
35.4591,-1256.0235595703125,65.1384,119,595000,119,1566.7,2905.08
37.3056,-1262.7108154296875,65.0171,120,600000,120,2697.29,3409.07
42.0882,-1216.7618408203125,67.7006,121,605000,121,2987.74,3587.22
34.6915,-1359.5753173828125,64.7328,122,610000,122,2579.15,3737.17
37.5257,-1322.5794677734375,65.4288,123,615000,123,2037.25,2958.51
37.3738,-1315.1431884765625,65.6687,124,620000,124,2674.57,3405.35
32.8839,-1407.982177734375,64.2349,125,625000,125,2996.35,3602.73
39.8243,-1302.5531005859375,67.4374,126,630000,126,1734.87,2900.07
36.8567,-1324.076904296875,65.5341,127,635000,127,2416.79,3165.65
30.5442,-1465.8441162109375,63.8233,128,640000,128,1401.9,1492.26
42.1496,-1297.282958984375,67.5807,129,645000,129,3438.99,3789.94
34.2632,-1496.606689453125,65.7486,130,650000,130,2875.48,3823.93
41.8079,-1325.336669921875,68.3299,131,655000,131,2232.66,3218.07
40.9969,-1471.623291015625,67.4314,132,660000,132,3472.31,3540.79
37.0784,-1438.7388916015625,66.0229,133,665000,133,2366.58,3502.13
40.968,-1435.0614013671875,67.4767,134,670000,134,2795.67,3024.17
38.1129,-1474.688720703125,66.7178,135,675000,135,2700.88,3177.25
40.4826,-1517.220703125,67.9249,136,680000,136,3125.45,4264.92
34.1458,-1639.943603515625,65.6754,137,685000,137,3072.59,3280.23
42.9324,-1456.0203857421875,69.4725,138,690000,138,3069.17,3655.74
39.5221,-1546.0289306640625,67.616,139,695000,139,3135.83,3730.53
35.3287,-1722.204345703125,66.4851,140,700000,140,2750.31,3153.19
50.1874,-1485.392822265625,71.6435,141,705000,141,3770.1,4417.7
42.7965,-1630.0706787109375,66.9668,142,710000,142,3870.44,4634.14
36.6186,-1633.7640380859375,65.5141,143,715000,143,2470.62,3706.76
39.8157,-1664.4249267578125,67.1669,144,720000,144,3138.98,4420.44
47.3713,-1592.25537109375,70.176,145,725000,145,4064.52,4277.54
50.5308,-1530.33349609375,73.4414,146,730000,146,2362.42,4468.04
49.5032,-1571.908447265625,73.0555,147,735000,147,3850.84,4376.55
42.9238,-1672.869873046875,69.9454,148,740000,148,2157.71,2735.76
41.4271,-1846.8468017578125,69.2665,149,745000,149,2538.69,3008.1
40.884,-1856.418701171875,68.5779,150,750000,150,4091.94,3955.89
51.6209,-1717.337890625,73.1286,151,755000,151,4116.04,4881.05
35.0973,-2066.196044921875,67.7072,152,760000,152,3400.72,3727.56
46.0275,-1792.0093994140625,68.865,153,765000,153,3735.33,4407.11
37.2937,-2006.2818603515625,66.9757,154,770000,154,3297.74,4374.78
54.8563,-1843.41015625,75.5337,155,775000,155,4135.96,4370.77
51.1453,-1938.6805419921875,70.9481,156,780000,156,4246.88,5016.31
48.4928,-1875.26513671875,69.0951,157,785000,157,3957.78,5092.04
50.4643,-1958.1549072265625,70.5581,158,790000,158,3422.96,4756.98
51.2329,-2016.03125,70.0512,159,795000,159,4167.77,5009.82
47.8248,-2043.34326171875,70.062,160,800000,160,2344.26,3786.38
45.1665,-2172.8271484375,68.9121,161,805000,161,3466.08,5036.55
47.9411,-2089.808349609375,70.0259,162,810000,162,3476.84,3143.44
60.5078,-2036.578369140625,76.8512,163,815000,163,4144.97,4648.11
58.8602,-2096.400390625,74.576,164,820000,164,3657.06,4234.8
46.5999,-2182.885986328125,70.344,165,825000,165,2607.07,3500.6
53.2653,-2205.30615234375,71.2924,166,830000,166,4277.55,4239.2
44.8306,-2303.356201171875,69.4246,167,835000,167,3560.27,3668.95
59.3146,-2210.42236328125,75.8212,168,840000,168,3874.74,5301.54
53.5908,-2265.61181640625,72.4746,169,845000,169,4161.3,4378.36
63.4257,-2355.31494140625,74.6846,170,850000,170,4581.74,5062.09
60.4165,-2368.591064453125,78.4391,171,855000,171,3166.06,3704.51
61.4727,-2423.622314453125,77.3958,172,860000,172,4496.73,5182.5
56.521,-2390.438720703125,73.6275,173,865000,173,4283.87,4614.68
58.1499,-2593.149169921875,72.9397,174,870000,174,2923.5,4567.67
56.9005,-2472.541748046875,76.5471,175,875000,175,4059.31,4834.39
69.9205,-2597.44775390625,80.0376,176,880000,176,4706.11,5302.76
57.3094,-2507.7451171875,75.0138,177,885000,177,4391.62,5249.15
64.2575,-2658.10888671875,78.2872,178,890000,178,4631.38,5247.17
51.5938,-2716.6689453125,72.1478,179,895000,179,3717.55,5024.42
67.0267,-2695.45361328125,80.0283,180,900000,180,4697.11,5104.25
59.3858,-2730.4833984375,77.1848,181,905000,181,4925.17,5186.6
57.7457,-2869.49755859375,74.9821,182,910000,182,3824.3,5041.51
70.6488,-2937.23681640625,82.4158,183,915000,183,4607.7,5272.09
63.8255,-2885.81591796875,80.3294,184,920000,184,4849.26,5289.47
74.8125,-3022.571533203125,87.8548,185,925000,185,4648.76,4925.09
66.9121,-2990.942626953125,81.6857,186,930000,186,4851.78,5131.58
67.6965,-3094.00927734375,79.3121,187,935000,187,4545.19,4503.54
57.6526,-3111.39501953125,74.7856,188,940000,188,3501.85,4984.23
67.1162,-3073.13671875,81.5641,189,945000,189,4593.2,5130.14
70.954,-3171.37060546875,82.802,190,950000,190,4718.81,4986.98
58.386,-3196.865966796875,72.9054,191,955000,191,4312.17,4120.07
57.9066,-3219.523193359375,73.257,192,960000,192,4355.72,5153.7
71.0826,-3250.93212890625,83.2147,193,965000,193,4789.02,5068.88
72.0418,-3472.220947265625,83.6664,194,970000,194,4374.26,5198.01
60.8721,-3449.597412109375,73.1525,195,975000,195,4851.93,5172.3
63.2608,-3518.117919921875,75.5451,196,980000,196,4798.21,5259.77
62.4827,-3638.26318359375,73.8551,197,985000,197,4876.51,5053.32
66.5222,-3582.11669921875,81.0245,198,990000,198,4311.78,5268.86
62.854,-3503.10546875,78.6227,199,995000,199,4593.13,5191.47
70.0559,-3628.758056640625,81.0108,200,1000000,200,4601.02,5243.54
59.2849,-3621.83740234375,72.1169,201,1005000,201,4611.8,5321.76
65.9309,-3709.377685546875,78.0341,202,1010000,202,4957.0,4722.35
59.5241,-3690.04443359375,71.931,203,1015000,203,4004.99,4916.66
55.1225,-3728.739990234375,71.5805,204,1020000,204,4971.58,5229.98
70.6358,-3873.119873046875,80.3889,205,1025000,205,4483.71,4684.44
59.4515,-3929.2587890625,72.011,206,1030000,206,5138.33,5075.19
58.4834,-3856.8125,71.6449,207,1035000,207,4584.57,5586.63
61.6412,-3980.418212890625,73.2152,208,1040000,208,4844.8,5083.18
68.2692,-4058.446044921875,76.1025,209,1045000,209,4646.67,5398.86
68.3781,-4236.740234375,78.1087,210,1050000,210,4609.3,5133.55
72.6895,-4188.33251953125,81.2386,211,1055000,211,4094.9,5605.73
70.8674,-4288.85400390625,77.4677,212,1060000,212,5304.53,5482.52
73.5415,-4367.9306640625,82.2635,213,1065000,213,5044.43,5369.16
77.3253,-4584.06494140625,83.7082,214,1070000,214,5136.76,5412.92
71.4055,-4447.080078125,78.8399,215,1075000,215,4972.37,5624.81
80.5891,-4494.703125,82.4598,216,1080000,216,4976.36,5531.56
73.1118,-4590.65869140625,82.5521,217,1085000,217,5076.93,5182.45
77.4839,-4728.30126953125,83.0229,218,1090000,218,5103.45,5517.38
76.7135,-4771.83935546875,82.3779,219,1095000,219,5217.01,5207.2
76.8881,-4870.0302734375,83.1366,220,1100000,220,4762.78,5595.3
68.9075,-4809.5185546875,76.5376,221,1105000,221,5098.21,5151.06
76.0414,-4888.34326171875,84.0163,222,1110000,222,4893.33,4918.44
75.651,-4925.01611328125,77.8205,223,1115000,223,4439.53,5598.74
75.794,-4951.27294921875,78.5723,224,1120000,224,4922.77,5430.81
73.7564,-4995.05078125,79.9444,225,1125000,225,4855.22,4994.26
71.9824,-5055.47802734375,76.6451,226,1130000,226,5140.81,5652.72
81.3314,-5228.361328125,87.2172,227,1135000,227,5203.41,5636.72
86.727,-5213.90234375,86.2294,228,1140000,228,4599.51,4902.76
69.9651,-5242.3486328125,76.4074,229,1145000,229,5319.53,5254.44
81.3065,-5464.275390625,84.8744,230,1150000,230,4997.07,5355.11
77.6756,-5523.62353515625,84.2729,231,1155000,231,5073.77,5504.76
70.5319,-5308.5009765625,76.914,232,1160000,232,4454.03,5567.46
78.6066,-5475.384765625,80.6781,233,1165000,233,4956.3,5384.05
84.6448,-5649.365234375,87.3879,234,1170000,234,4846.68,5389.57
75.8016,-5659.09765625,83.0134,235,1175000,235,4782.89,5541.84
73.9324,-5754.2578125,77.4416,236,1180000,236,5293.17,5670.72
76.281,-5781.2412109375,76.874,237,1185000,237,5322.07,5629.47
83.4208,-5866.62744140625,87.1702,238,1190000,238,5310.7,5662.75
73.6329,-5753.509765625,76.854,239,1195000,239,5136.69,5504.64
85.877,-6148.71240234375,86.5996,240,1200000,240,5247.84,5534.79
86.7439,-6075.16748046875,88.0443,241,1205000,241,4746.87,5265.23
75.4035,-6024.0859375,78.1037,242,1210000,242,4795.79,5566.21
82.9198,-6158.84521484375,85.7491,243,1215000,243,4905.95,5460.11
75.7078,-6167.40478515625,77.6879,244,1220000,244,5133.42,5355.58
78.6293,-6342.37744140625,83.6633,245,1225000,245,4957.75,5500.94
80.0876,-6348.0732421875,83.4561,246,1230000,246,5307.08,5678.66
80.664,-6478.9716796875,84.6623,247,1235000,247,4866.38,5487.93
84.9022,-6532.21533203125,86.1137,248,1240000,248,4602.2,5538.2
84.1332,-6632.5146484375,85.2337,249,1245000,249,5295.61,5669.9
83.1729,-6698.79150390625,84.2416,250,1250000,250,5130.25,5529.19
89.2206,-6786.96044921875,88.9338,251,1255000,251,5093.3,5701.79
88.0034,-6965.8837890625,87.0061,252,1260000,252,5193.67,5714.66
69.9906,-6484.51708984375,73.7092,253,1265000,253,4649.13,5380.08
82.8693,-6926.8837890625,86.2487,254,1270000,254,5090.41,5689.61
85.747,-6923.650390625,86.82,255,1275000,255,4915.8,5086.13
85.9053,-7099.201171875,86.6259,256,1280000,256,4657.78,5647.88
86.9417,-7117.17724609375,88.2911,257,1285000,257,4843.53,5631.18
85.7482,-7300.5283203125,87.9548,258,1290000,258,5141.95,5718.61
81.66,-7193.33349609375,86.0343,259,1295000,259,5046.97,5486.55
86.2268,-7217.8076171875,83.2245,260,1300000,260,5049.07,5514.1
85.3847,-7224.59619140625,82.3638,261,1305000,261,4985.46,5366.65
86.6295,-7489.7568359375,88.1964,262,1310000,262,5071.61,5597.78
88.6418,-7639.42431640625,89.7797,263,1315000,263,5175.57,5523.26
79.2495,-7476.48046875,77.853,264,1320000,264,5458.67,5466.48
90.5053,-7891.07666015625,89.1872,265,1325000,265,5345.14,5536.16
80.1117,-7744.6669921875,77.8393,266,1330000,266,5484.54,5642.17
88.2925,-8008.72802734375,89.9667,267,1335000,267,5379.48,5581.12
88.6661,-8040.46337890625,90.514,268,1340000,268,5404.66,5711.48
84.4452,-8035.1103515625,85.8317,269,1345000,269,5017.89,5596.35
90.184,-8158.31201171875,88.4525,270,1350000,270,5398.79,5678.69
81.2963,-7930.1796875,80.1846,271,1355000,271,4959.38,5616.71
88.4072,-8354.521484375,88.1632,272,1360000,272,5359.0,5683.96
87.6074,-8411.1669921875,87.5828,273,1365000,273,5084.82,5556.49
87.1458,-8411.150390625,85.764,274,1370000,274,5069.51,5712.39
84.3497,-8467.93359375,87.4283,275,1375000,275,4891.96,5455.18
86.4067,-8418.029296875,87.5432,276,1380000,276,4903.02,5235.74
88.7007,-8615.2666015625,88.3454,277,1385000,277,5047.56,5692.62
87.3004,-8590.8408203125,88.8797,278,1390000,278,5404.25,5646.53
88.1219,-8653.8515625,89.6594,279,1395000,279,5104.8,5596.79
85.4574,-8523.443359375,85.6289,280,1400000,280,4935.58,4819.49
83.4976,-8637.125,81.9349,281,1405000,281,5187.36,5775.2
78.7337,-8630.7177734375,81.0073,282,1410000,282,5447.41,5204.4
86.4582,-8819.8681640625,86.5952,283,1415000,283,5179.53,5480.91
87.2366,-9156.2861328125,88.6713,284,1420000,284,5358.18,5715.81
80.5597,-8741.0556640625,79.9174,285,1425000,285,5103.19,5717.35
87.0195,-9007.52734375,87.849,286,1430000,286,5427.95,5464.92
83.619,-9028.064453125,86.8728,287,1435000,287,4352.38,5500.36
85.9691,-9197.0302734375,88.0467,288,1440000,288,4953.12,5717.56
87.5484,-9301.279296875,89.2041,289,1445000,289,5164.77,5630.57
85.2294,-9383.087890625,86.7517,290,1450000,290,5420.31,5721.02
87.8104,-9307.7783203125,87.9332,291,1455000,291,5038.8,5307.75
80.8475,-9058.96875,78.9824,292,1460000,292,5051.98,5719.4
90.6261,-9370.21875,88.9033,293,1465000,293,4709.13,5461.97
87.2763,-9633.7431640625,88.8425,294,1470000,294,5443.4,5550.92
86.0388,-9553.1728515625,86.6606,295,1475000,295,5401.68,5477.32
82.0456,-9565.2451171875,87.4654,296,1480000,296,5128.07,5642.0
88.3451,-9696.4169921875,89.4126,297,1485000,297,5467.95,5701.14
81.4241,-9543.861328125,80.4449,298,1490000,298,5207.96,5747.04
81.6132,-9489.44140625,80.0996,299,1495000,299,4554.32,5395.75
76.3791,-9431.2421875,76.3855,300,1500000,300,5160.22,4985.4
81.8587,-9805.8330078125,86.6202,301,1505000,301,5377.27,5600.34
87.8237,-9994.6533203125,88.172,302,1510000,302,5499.17,5829.12
85.5248,-10045.4921875,88.8561,303,1515000,303,4404.61,5591.84
84.6838,-9956.083984375,89.3128,304,1520000,304,5167.01,5138.07
85.5454,-10074.4658203125,88.1356,305,1525000,305,5421.77,5181.12
87.9745,-10117.251953125,89.7343,306,1530000,306,4948.22,5243.72
73.4015,-9285.2060546875,74.5718,307,1535000,307,5035.89,5219.0
84.1009,-10281.9345703125,88.0208,308,1540000,308,5311.0,5791.05
86.0106,-10297.1513671875,86.7408,309,1545000,309,5214.76,5648.29
82.0483,-10269.1416015625,84.5682,310,1550000,310,5281.45,5717.36
82.7477,-10291.8603515625,81.7104,311,1555000,311,5265.23,5891.44
76.7167,-9996.35546875,76.337,312,1560000,312,5463.57,5745.51
79.6219,-10153.1904296875,78.8466,313,1565000,313,5298.98,5865.28
80.4164,-10250.8046875,78.5498,314,1570000,314,5410.73,5607.43
78.68,-10317.5830078125,78.3695,315,1575000,315,5438.92,5399.03
72.979,-10093.5634765625,76.8182,316,1580000,316,5209.11,5460.68
84.9845,-10720.2099609375,87.6851,317,1585000,317,5358.72,5742.66
87.5444,-10770.7763671875,89.6969,318,1590000,318,5192.53,5526.34
89.7705,-10844.0732421875,89.9681,319,1595000,319,5268.66,5738.62
76.234,-10411.1611328125,78.9962,320,1600000,320,5210.59,5933.21
76.5728,-10232.2060546875,76.6973,321,1605000,321,5152.07,5198.39
83.5821,-10988.6103515625,87.1105,322,1610000,322,5104.55,5947.09
83.295,-11003.2373046875,88.9394,323,1615000,323,5102.59,5761.02
73.7557,-10129.69921875,75.6325,324,1620000,324,5348.48,5344.54
84.7716,-10979.546875,84.5828,325,1625000,325,5396.49,5880.36
76.3304,-10574.6083984375,77.6791,326,1630000,326,5279.0,5912.96
87.435,-11216.5703125,89.632,327,1635000,327,5390.72,5501.3
89.7219,-11279.390625,89.029,328,1640000,328,5516.98,5875.44
79.2499,-10756.185546875,77.5395,329,1645000,329,5348.34,5572.03
76.5972,-10669.87109375,77.6386,330,1650000,330,5272.19,5818.85
77.037,-10862.1806640625,77.8896,331,1655000,331,5677.46,5717.2
67.5344,-10316.3642578125,74.3604,332,1660000,332,5066.84,5927.5
88.8904,-11532.9365234375,89.7542,333,1665000,333,5535.03,5953.3
86.2321,-11561.44921875,86.512,334,1670000,334,5595.84,5917.29
79.1871,-11220.525390625,78.2687,335,1675000,335,5521.58,5679.57
78.6647,-11467.255859375,82.3293,336,1680000,336,5172.49,6005.38
84.4211,-11673.4541015625,86.3753,337,1685000,337,5121.2,5926.02
84.8254,-11696.138671875,87.031,338,1690000,338,5066.03,5737.13
84.8795,-11821.8359375,88.3595,339,1695000,339,5612.15,5942.88
82.3039,-11709.3359375,86.8939,340,1700000,340,5289.66,5765.5
85.4094,-11820.7568359375,87.8254,341,1705000,341,5344.94,5782.58
89.4315,-11972.75390625,89.8276,342,1710000,342,5680.51,5766.09
72.0675,-11242.1376953125,75.5647,343,1715000,343,5573.9,5936.28
79.4273,-11875.7890625,84.749,344,1720000,344,5224.5,5846.77
78.7282,-11933.1376953125,84.6821,345,1725000,345,5726.64,5768.86
77.5529,-11419.3154296875,76.8267,346,1730000,346,4469.8,5851.1
82.6327,-12010.4345703125,85.1365,347,1735000,347,5548.61,5936.4
82.392,-12113.9423828125,87.7344,348,1740000,348,5494.23,5797.82
80.7982,-12142.3056640625,86.0772,349,1745000,349,5124.72,6083.28
82.501,-11991.625,87.6176,350,1750000,350,5047.09,6073.0
84.3168,-12281.7666015625,88.5341,351,1755000,351,5461.31,5763.66
84.77,-12200.0234375,87.0945,352,1760000,352,5336.82,5779.39
82.0537,-12221.91796875,87.302,353,1765000,353,5144.08,6057.0
84.9658,-12415.2470703125,89.1361,354,1770000,354,5476.05,6061.43
82.9422,-12302.0859375,87.2074,355,1775000,355,5331.65,5392.04
84.6934,-12256.8720703125,87.6905,356,1780000,356,5372.7,5667.85
86.6241,-12343.4833984375,86.8498,357,1785000,357,5078.93,5733.41
84.9023,-12145.1494140625,88.1092,358,1790000,358,4997.8,5519.75
78.7696,-11916.81640625,78.4823,359,1795000,359,4858.07,5967.62
84.8351,-12502.6474609375,87.9088,360,1800000,360,5439.96,6055.69
84.6641,-12417.0341796875,88.6469,361,1805000,361,5681.53,5897.06
77.4725,-11887.109375,76.6805,362,1810000,362,5056.43,6048.49
83.0764,-12538.7744140625,86.701,363,1815000,363,5341.79,5801.95
85.0314,-12608.408203125,87.9245,364,1820000,364,5765.87,6091.91
85.144,-12562.322265625,88.6591,365,1825000,365,5423.93,5435.02
84.8064,-12650.00390625,89.1019,366,1830000,366,4504.5,5768.31
77.0956,-12040.939453125,77.2347,367,1835000,367,5481.01,5526.43
79.1334,-12526.85546875,82.0275,368,1840000,368,5512.2,5811.69
86.9776,-12638.91796875,86.8591,369,1845000,369,4993.24,5860.88
79.0233,-12394.70703125,82.9128,370,1850000,370,5170.53,5667.58
79.4821,-12269.9306640625,76.182,371,1855000,371,5607.32,6054.77
81.9327,-12810.80859375,86.0239,372,1860000,372,5424.89,5894.86
85.5328,-13047.2275390625,86.2809,373,1865000,373,5282.6,5918.16
81.2708,-12916.60546875,86.2247,374,1870000,374,5178.05,6076.56
81.0249,-12652.267578125,79.4482,375,1875000,375,5121.19,6103.66
80.4405,-12847.7060546875,85.3368,376,1880000,376,5384.35,5954.16
78.5429,-12499.6357421875,77.1621,377,1885000,377,5358.41,6123.33
77.549,-12723.1826171875,79.367,378,1890000,378,5090.05,5703.8
71.7018,-12393.248046875,76.6836,379,1895000,379,4617.81,5300.44
83.3535,-13175.2451171875,88.2875,380,1900000,380,5495.08,5826.98
81.5015,-13008.623046875,84.4314,381,1905000,381,5060.9,5714.49
84.24,-13307.8154296875,88.5356,382,1910000,382,5378.34,6140.21
78.4005,-13070.837890625,85.1469,383,1915000,383,5215.63,5866.45
84.5415,-13344.7734375,86.8113,384,1920000,384,5261.34,6084.58
79.0355,-13030.431640625,82.4265,385,1925000,385,5500.17,5688.46
66.6111,-11752.6376953125,73.2945,386,1930000,386,4432.48,5850.5
84.3045,-13452.4140625,87.0915,387,1935000,387,5506.12,5761.49
