Itration,Running Forward KL,Real Det Return,Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time,Running Env Steps
31,47.4354,944.78,39.1538,-355.0484924316406,869.49,31,155000
32,47.5702,883.67,57.5341,-387.61614990234375,896.4,32,160000
33,46.9396,1057.67,47.0069,-405.7842712402344,913.35,33,165000
34,46.4959,1044.33,59.7813,-438.7547302246094,889.33,34,170000
35,46.4806,1015.45,49.4672,-453.14276123046875,978.31,35,175000
36,46.5129,1049.93,57.1203,-475.3393859863281,947.46,36,180000
37,46.8125,1071.25,28.0701,-371.546875,1014.6,37,185000
38,47.0898,1056.31,50.6324,-491.92510986328125,1041.99,38,190000
39,46.4772,998.08,22.4241,-371.12554931640625,1037.03,39,195000
40,46.858,955.59,18.7114,-315.0413513183594,1028.55,40,200000
41,46.6362,1003.93,21.4765,-459.62286376953125,943.85,41,205000
42,46.8008,961.12,21.1596,-416.65447998046875,991.31,42,210000
43,46.9353,1099.67,26.5907,-455.49993896484375,1001.06,43,215000
44,46.8374,1137.24,23.9968,-405.5962219238281,1084.1,44,220000
45,46.3151,920.76,27.7129,-477.8372497558594,1010.34,45,225000
46,45.9465,1073.55,13.3204,-273.9056701660156,972.05,46,230000
47,46.7278,963.95,18.7107,-409.517578125,979.77,47,235000
48,46.2569,838.3,26.9084,-467.7892761230469,1066.54,48,240000
49,47.0634,895.29,27.7222,-515.9076538085938,972.05,49,245000
50,46.3037,992.83,28.6588,-401.548828125,990.52,50,250000
51,46.2799,895.96,16.4857,-354.7840881347656,864.61,51,255000
52,45.9203,1244.01,17.9686,-398.874267578125,1059.87,52,260000
53,46.449,1138.89,17.1611,-371.06378173828125,1080.73,53,265000
54,46.0549,1327.0,24.2001,-436.19378662109375,1489.49,54,270000
55,46.359,964.67,18.2542,-356.56768798828125,991.01,55,275000
56,46.6237,2113.5,21.3946,-499.8349914550781,1597.47,56,280000
57,46.1816,1573.8,16.1536,-421.85040283203125,1167.53,57,285000
58,45.4489,1246.94,26.1866,-407.6040954589844,1622.16,58,290000
59,45.5199,2047.18,15.2826,-429.7408752441406,1679.78,59,295000
60,45.9233,1073.85,14.5401,-403.2486267089844,1604.15,60,300000
61,45.3489,1913.22,31.1901,-399.2382507324219,1826.8,61,305000
62,46.0694,1658.93,15.1602,-377.45062255859375,1483.9,62,310000
63,45.5199,2083.6,12.5656,-406.486083984375,1555.41,63,315000
64,45.7023,1941.0,13.3705,-350.4412841796875,1714.1,64,320000
65,45.194,1287.87,24.9236,-454.7734680175781,1443.42,65,325000
66,45.2964,1598.21,13.7428,-434.78118896484375,1699.92,66,330000
67,45.966,1271.54,13.3432,-341.151123046875,1422.97,67,335000
68,45.9323,1596.51,14.2525,-413.15411376953125,1460.77,68,340000
69,46.1847,1604.83,23.8982,-436.90740966796875,1602.5,69,345000
70,44.7831,1780.29,14.4901,-411.275634765625,1559.35,70,350000
71,44.6818,1608.81,28.4561,-476.6759033203125,1877.64,71,355000
72,43.998,2470.86,13.3058,-421.681640625,1802.65,72,360000
73,45.8226,1464.34,20.4447,-534.2315673828125,1249.58,73,365000
74,44.343,1346.86,14.0191,-534.142822265625,1721.43,74,370000
75,44.6884,1553.08,13.4883,-575.9904174804688,1303.84,75,375000
76,44.4879,1229.12,12.8289,-509.9593505859375,1788.76,76,380000
77,44.7789,2484.73,12.8845,-533.050048828125,2338.49,77,385000
78,44.7671,2558.9,13.2121,-511.6410217285156,2853.56,78,390000
79,44.0032,1687.48,14.3274,-525.62353515625,1844.47,79,395000
80,43.632,2946.04,18.683,-538.4669189453125,2344.85,80,400000
81,44.6822,3373.68,15.4309,-494.14599609375,2821.49,81,405000
82,44.2076,3112.56,18.4955,-487.7337951660156,3111.52,82,410000
83,44.0568,3593.26,15.7531,-455.89398193359375,3337.14,83,415000
84,43.8241,3021.23,17.9605,-491.3623962402344,2938.9,84,420000
85,43.275,3700.57,16.0475,-448.8385314941406,3479.16,85,425000
86,44.5408,3486.14,16.3165,-478.2587890625,3488.66,86,430000
87,43.4388,3542.26,15.1493,-468.9727478027344,3288.67,87,435000
88,43.9011,3493.14,15.9944,-522.7899780273438,3183.32,88,440000
89,44.0236,3430.68,17.9907,-459.2453918457031,3465.37,89,445000
90,44.5548,3707.57,19.5104,-476.5131530761719,3664.92,90,450000
91,44.1327,3692.34,18.4252,-496.1816711425781,3404.46,91,455000
92,44.8177,3628.32,18.7017,-482.71380615234375,3576.61,92,460000
93,44.8703,3660.83,18.8663,-484.2125244140625,3621.66,93,465000
94,44.1636,3712.75,19.231,-468.1235656738281,3698.8,94,470000
95,44.1996,3607.47,18.4926,-502.2613525390625,3593.18,95,475000
96,45.0219,3655.65,18.9818,-525.9076538085938,3535.09,96,480000
97,44.4576,3581.54,19.6073,-507.70050048828125,3676.1,97,485000
98,44.7601,3684.66,18.6203,-478.8124084472656,3674.84,98,490000
99,44.0904,3700.66,18.8188,-511.5877990722656,3705.88,99,495000
100,43.9849,3699.89,17.9712,-527.8313598632812,3668.26,100,500000
101,43.9734,3682.99,19.1904,-525.9444580078125,3723.87,101,505000
102,44.1512,3675.63,18.7113,-525.1307983398438,3648.42,102,510000
103,43.3254,3673.13,17.9945,-510.8276062011719,3722.56,103,515000
104,44.277,3661.85,18.7235,-559.202392578125,3678.47,104,520000
105,44.5583,3707.94,19.159,-553.8595581054688,3697.57,105,525000
106,44.2339,3649.22,19.0921,-572.2893676757812,3699.35,106,530000
107,43.6972,3810.82,18.1441,-559.9337158203125,3846.02,107,535000
108,44.2147,3679.99,18.6081,-591.9623413085938,3738.25,108,540000
109,44.2928,3663.0,19.1556,-583.3726196289062,3728.85,109,545000
110,44.153,3650.67,18.6958,-620.6679077148438,3659.32,110,550000
111,43.8478,3662.3,18.1883,-599.5049438476562,3794.71,111,555000
112,44.1068,3673.07,18.3089,-600.0675659179688,3697.04,112,560000
113,44.3665,3641.36,19.2483,-626.9793090820312,3648.22,113,565000
114,43.6219,3659.59,17.26,-602.5834350585938,3722.5,114,570000
115,43.1363,3709.3,18.7919,-620.2883911132812,3742.58,115,575000
116,43.0342,3756.38,16.7269,-590.6199340820312,3802.83,116,580000
117,43.8979,3650.37,17.4421,-643.4082641601562,3719.77,117,585000
118,43.919,3715.47,19.0809,-640.6148681640625,3815.87,118,590000
119,43.636,3667.1,17.8866,-635.049072265625,3763.9,119,595000
120,43.2867,3697.32,18.2382,-663.02978515625,3753.19,120,600000
121,44.0284,3643.54,16.0747,-667.8385620117188,3663.78,121,605000
122,43.8277,3709.36,17.4453,-685.529296875,3687.19,122,610000
123,43.36,3701.06,18.5754,-666.0209350585938,3778.05,123,615000
124,44.2737,3678.55,18.3657,-704.8909301757812,3730.26,124,620000
125,42.6708,3836.82,17.5647,-640.25341796875,3857.47,125,625000
126,43.4988,3720.33,18.4181,-691.0331420898438,3816.81,126,630000
127,43.7384,3693.23,17.5038,-701.050048828125,3764.34,127,635000
128,43.0086,3784.39,18.1646,-701.2617797851562,3822.38,128,640000
129,42.6132,3683.34,16.6639,-694.25439453125,3733.05,129,645000
130,42.7185,3791.4,18.0715,-700.2872924804688,3822.93,130,650000
131,43.1957,3646.55,18.0545,-767.7303466796875,3721.36,131,655000
132,43.5781,3738.02,18.1672,-760.5578002929688,3762.74,132,660000
133,42.6132,3794.65,18.0475,-740.8643798828125,3856.39,133,665000
134,43.3152,3844.1,19.3281,-751.26806640625,3844.52,134,670000
135,43.186,3775.47,18.3471,-779.5533447265625,3836.91,135,675000
136,43.1544,3827.09,18.0012,-789.3460693359375,3861.31,136,680000
137,43.4059,3738.4,17.0804,-795.2142944335938,3784.78,137,685000
138,42.8477,3861.22,17.4,-781.7213745117188,3891.56,138,690000
139,42.7691,3813.56,17.0294,-779.4959106445312,3849.33,139,695000
140,42.5743,3809.33,17.5536,-782.2662353515625,3874.96,140,700000
141,43.3099,3896.77,17.1203,-823.64453125,3934.96,141,705000
142,42.9128,3828.61,17.3226,-811.4142456054688,3881.08,142,710000
143,42.67,3872.88,17.2704,-796.03955078125,3888.91,143,715000
144,42.6229,3524.54,17.6552,-803.1021728515625,3870.28,144,720000
145,43.0869,3765.78,18.2352,-847.7647705078125,3835.29,145,725000
146,42.4117,3860.03,15.9396,-786.4011840820312,3817.4,146,730000
147,42.9763,3870.98,18.251,-850.1245727539062,3877.53,147,735000
148,43.239,3803.3,17.2839,-846.5414428710938,3854.01,148,740000
149,43.1694,3793.07,18.3933,-844.361083984375,3885.15,149,745000
150,42.5291,3853.14,16.7189,-827.9703369140625,3870.47,150,750000
151,42.7924,3935.41,17.5873,-840.43359375,3956.76,151,755000
152,42.6372,3819.13,16.8041,-832.805419921875,3862.58,152,760000
153,43.1507,3891.1,16.3386,-890.7865600585938,3908.49,153,765000
154,42.6885,3912.31,17.2429,-866.1165771484375,3911.77,154,770000
155,42.2732,3909.49,17.2523,-871.2058715820312,3921.16,155,775000
156,42.0909,3900.05,16.0487,-844.3069458007812,3979.43,156,780000
157,42.8245,3969.23,17.7681,-891.5355834960938,3967.76,157,785000
158,42.4221,3913.79,17.484,-853.8984985351562,3967.31,158,790000
159,43.671,3836.0,17.7196,-898.9963989257812,3865.79,159,795000
160,42.5376,3935.82,17.4989,-873.3439331054688,3933.3,160,800000
161,41.9296,3819.4,15.3676,-873.806640625,3695.47,161,805000
162,42.918,3831.47,17.4778,-950.1913452148438,3896.64,162,810000
163,41.8924,3896.66,15.3205,-876.9444580078125,3946.04,163,815000
164,41.9917,3777.99,15.4052,-896.2488403320312,3900.24,164,820000
165,41.7985,3881.39,14.975,-878.8222045898438,3814.01,165,825000
166,42.1201,3871.09,15.9649,-871.7709350585938,3895.82,166,830000
167,41.8995,3908.15,16.5796,-882.3856201171875,3954.31,167,835000
168,42.2008,3930.35,17.0386,-902.5364990234375,3950.76,168,840000
169,43.2231,3775.22,17.1922,-1009.7392578125,3905.3,169,845000
170,42.3192,3907.75,17.2138,-933.9702758789062,3943.49,170,850000
171,42.5249,3887.39,17.0371,-951.2520751953125,3914.61,171,855000
172,42.3124,3911.1,16.3841,-941.04931640625,3918.2,172,860000
173,42.217,3904.43,16.4432,-942.35791015625,3950.23,173,865000
174,42.0767,3980.71,16.542,-920.8548583984375,3925.69,174,870000
175,42.3112,3931.6,16.1555,-951.6749877929688,3984.03,175,875000
176,41.4573,3837.82,15.5675,-965.6746826171875,3919.0,176,880000
177,41.9368,3852.25,16.3689,-1009.20556640625,3987.26,177,885000
178,41.3894,3948.65,15.5505,-939.9830932617188,3977.99,178,890000
179,41.9634,4031.66,17.2698,-992.9229736328125,4000.97,179,895000
180,42.0687,3991.34,15.7414,-996.3858642578125,3991.0,180,900000
181,42.1347,3993.76,17.0298,-973.170654296875,4004.91,181,905000
182,42.067,3956.47,15.8005,-986.550048828125,4000.14,182,910000
183,42.0392,3976.04,15.7845,-973.410400390625,3985.42,183,915000
184,42.1436,3885.33,15.8857,-1080.0213623046875,3926.71,184,920000
185,41.9633,4014.9,16.0756,-1008.7728271484375,4034.14,185,925000
186,41.7752,3967.51,16.2309,-1050.5198974609375,4044.02,186,930000
187,42.1471,3849.74,15.6705,-1011.7478637695312,3991.56,187,935000
188,41.5786,3798.02,16.5077,-1025.88818359375,3979.0,188,940000
189,42.4723,4116.22,16.4706,-1051.32177734375,4044.85,189,945000
190,41.6691,4059.22,15.8902,-1027.756103515625,4039.92,190,950000
191,41.6792,3696.5,14.9149,-1095.393798828125,3943.69,191,955000
192,41.5669,4067.87,16.4796,-1038.2598876953125,4056.28,192,960000
193,41.6891,3937.93,15.585,-1081.8126220703125,3988.73,193,965000
194,41.6501,3959.25,15.8271,-1055.3385009765625,3978.23,194,970000
195,41.3776,4061.6,15.9133,-1045.5433349609375,4059.97,195,975000
196,41.4647,4041.93,14.9668,-1012.675048828125,4006.24,196,980000
197,41.4444,4040.19,15.7429,-1060.1954345703125,4053.25,197,985000
198,41.5283,3849.76,15.1553,-1063.399169921875,4007.75,198,990000
199,41.7309,4010.18,16.0349,-1066.1278076171875,4018.35,199,995000
200,41.5069,3995.61,15.4672,-1082.4442138671875,3997.57,200,1000000
201,41.5844,3991.48,15.0812,-1093.1923828125,3987.7,201,1005000
202,41.4378,3943.93,14.677,-1088.4215087890625,3966.94,202,1010000
203,41.6179,3953.24,14.8098,-1087.4207763671875,3993.17,203,1015000
204,41.4575,4034.5,15.5299,-1112.10986328125,4026.09,204,1020000
205,41.7437,3972.12,15.6099,-1120.80029296875,3992.54,205,1025000
206,41.3222,4008.44,14.976,-1100.45556640625,4003.74,206,1030000
207,41.3668,3988.17,14.7376,-1116.9615478515625,4040.86,207,1035000
208,41.0862,3998.81,14.865,-1111.405517578125,4042.37,208,1040000
209,41.131,4001.82,14.9771,-1118.9962158203125,4054.79,209,1045000
210,41.497,3972.01,16.6205,-1254.1983642578125,4034.55,210,1050000
211,41.088,3948.32,15.3463,-1171.7215576171875,4010.72,211,1055000
212,41.4443,3975.46,14.9065,-1199.142822265625,4017.58,212,1060000
213,40.7507,4034.35,15.5552,-1125.2557373046875,4080.46,213,1065000
214,41.0153,3977.92,15.4365,-1183.857177734375,4031.93,214,1070000
215,41.1351,4008.62,15.6147,-1167.6153564453125,4065.69,215,1075000
216,41.3735,4007.0,15.7482,-1192.405517578125,4030.5,216,1080000
217,40.9164,4046.48,14.9643,-1196.013671875,4046.15,217,1085000
218,40.8978,4013.44,15.6969,-1184.042724609375,4046.36,218,1090000
219,41.0531,4041.0,15.8369,-1217.063232421875,4064.59,219,1095000
220,41.2898,4051.13,16.3036,-1227.593505859375,4091.69,220,1100000
221,41.1834,3965.22,14.9214,-1247.6180419921875,4039.99,221,1105000
222,40.9792,4057.69,15.7441,-1227.0845947265625,4119.19,222,1110000
223,41.2503,4057.29,16.0666,-1267.5703125,4074.4,223,1115000
224,41.4587,4011.04,15.8135,-1286.92529296875,4047.86,224,1120000
225,41.0566,4048.86,15.2428,-1268.280029296875,4069.94,225,1125000
226,41.292,4122.63,15.8283,-1251.635009765625,4132.61,226,1130000
227,41.3185,4051.63,15.6013,-1281.004150390625,4085.82,227,1135000
228,41.0995,4045.39,15.0517,-1288.0076904296875,4076.72,228,1140000
229,41.223,4030.67,15.1531,-1319.2186279296875,4066.77,229,1145000
230,41.1351,4033.58,15.3435,-1332.16650390625,4071.57,230,1150000
231,40.9692,4037.34,15.618,-1311.042724609375,4068.25,231,1155000
232,41.3835,4039.52,15.0379,-1320.9775390625,4084.37,232,1160000
233,41.1101,3954.6,15.1215,-1342.826416015625,4080.76,233,1165000
234,41.2712,4069.22,15.7628,-1341.66357421875,4074.58,234,1170000
235,41.5014,4081.91,15.8739,-1363.4091796875,4103.31,235,1175000
236,41.6813,4047.14,15.8497,-1414.785888671875,4092.29,236,1180000
237,40.9723,4083.99,15.7773,-1347.47900390625,4111.05,237,1185000
238,40.9257,4071.87,15.1176,-1317.34814453125,4110.09,238,1190000
239,40.8098,4122.91,15.7055,-1313.2506103515625,4152.86,239,1195000
240,40.8769,4142.15,15.8679,-1345.9705810546875,4126.62,240,1200000
241,40.7917,4100.29,15.3985,-1357.759033203125,4110.74,241,1205000
242,41.0413,4102.06,16.1138,-1340.7908935546875,4129.39,242,1210000
243,41.3424,4016.14,15.3555,-1417.227294921875,4079.98,243,1215000
244,41.2142,4023.71,15.0214,-1411.02978515625,4043.51,244,1220000
245,41.4604,4072.78,15.9067,-1427.132080078125,4093.62,245,1225000
246,41.1369,4119.3,16.1673,-1435.2559814453125,4114.46,246,1230000
247,40.9636,4096.42,15.2505,-1442.4134521484375,4083.51,247,1235000
248,41.2819,4030.46,15.5904,-1457.4862060546875,4027.54,248,1240000
249,40.785,4100.27,14.9084,-1419.974609375,4087.26,249,1245000
250,40.9386,4014.49,14.2253,-1459.753662109375,4060.53,250,1250000
251,41.1768,4109.97,15.7995,-1423.92236328125,4140.78,251,1255000
252,40.9196,3852.23,15.1138,-1473.6175537109375,3922.19,252,1260000
253,42.6151,3203.77,19.745,-1779.56396484375,3049.24,253,1265000
254,50.1402,591.37,82.7161,-2917.802734375,526.27,254,1270000
255,50.8395,406.62,45.9685,-2759.311279296875,418.19,255,1275000
256,48.5165,424.44,20.1432,-2276.529541015625,426.47,256,1280000
257,50.7501,291.09,24.65,-2455.1328125,285.21,257,1285000
258,49.589,394.28,57.9505,-2718.313232421875,391.8,258,1290000
259,47.2265,362.71,32.7752,-2589.529052734375,796.98,259,1295000
260,45.4804,1169.1,30.4401,-2616.034423828125,1104.58,260,1300000
261,43.4487,2551.09,15.9478,-1970.0758056640625,2584.41,261,1305000
262,44.1912,3285.19,18.7291,-1865.0855712890625,3529.3,262,1310000
263,43.2116,2717.66,18.1915,-2091.2470703125,2102.39,263,1315000
264,41.708,3891.12,17.8786,-1729.077392578125,3549.32,264,1320000
265,43.5605,4039.76,23.0837,-2065.375244140625,3387.91,265,1325000
266,41.9868,3972.89,18.1262,-1775.863037109375,3983.25,266,1330000
267,41.9043,3963.98,17.586,-1793.573486328125,4019.75,267,1335000
268,42.2304,4083.18,17.778,-1759.1317138671875,4125.22,268,1340000
269,42.0317,4179.55,19.839,-1790.3515625,4113.54,269,1345000
270,42.2284,3940.25,17.8533,-1815.76123046875,4073.18,270,1350000
271,41.7494,3956.06,17.3533,-1810.1719970703125,3997.63,271,1355000
272,41.8386,4022.57,16.9887,-1798.8519287109375,4033.22,272,1360000
273,41.7233,4000.34,16.8053,-1812.3187255859375,4011.54,273,1365000
274,41.8852,3955.11,16.9136,-1810.549560546875,4027.6,274,1370000
275,41.7121,4101.56,16.9205,-1808.403076171875,4080.68,275,1375000
276,41.868,4102.12,17.6177,-1842.657958984375,4094.28,276,1380000
277,42.0424,4088.39,18.0907,-1840.2799072265625,4087.97,277,1385000
278,42.2937,4121.36,18.3168,-1832.973388671875,4106.61,278,1390000
279,41.795,4104.88,17.364,-1836.493408203125,4107.89,279,1395000
280,41.6776,4050.99,17.6832,-1897.3084716796875,4067.44,280,1400000
281,41.3541,4110.72,17.2163,-1882.4227294921875,4093.29,281,1405000
282,41.7327,4094.0,17.5474,-1875.5950927734375,4079.59,282,1410000
283,41.4803,4084.34,17.1444,-1927.39794921875,4068.27,283,1415000
284,41.5709,4108.89,17.1339,-1899.7197265625,4094.37,284,1420000
285,41.579,4074.49,16.6095,-1906.089111328125,4034.81,285,1425000
286,41.459,4005.85,16.3006,-1948.9129638671875,4039.18,286,1430000
287,41.442,4042.09,16.5878,-1901.893798828125,4059.98,287,1435000
288,41.331,4071.11,16.7117,-1915.421142578125,4109.92,288,1440000
289,41.6962,4064.33,16.4509,-1912.7623291015625,4078.57,289,1445000
290,41.1617,4065.43,15.8059,-1921.705810546875,4101.12,290,1450000
291,41.3571,4061.77,16.2849,-1960.96044921875,4106.47,291,1455000
292,41.6175,4085.81,16.2885,-1978.9124755859375,4085.34,292,1460000
293,41.532,4117.83,16.0233,-1969.1651611328125,4126.15,293,1465000
294,41.0296,4118.97,15.9021,-1950.9727783203125,4113.08,294,1470000
295,41.5545,4080.31,16.1601,-1983.667724609375,4117.45,295,1475000
296,41.4132,4150.09,16.1574,-1991.9844970703125,4144.28,296,1480000
297,41.1322,4100.97,16.4275,-2033.8167724609375,4114.28,297,1485000
298,41.105,4172.44,15.677,-1972.8270263671875,4162.1,298,1490000
299,40.8135,4106.26,14.9935,-2004.178466796875,4104.81,299,1495000
300,41.0061,4124.88,15.1404,-1988.957275390625,4142.86,300,1500000
301,40.9274,4135.44,15.2154,-2015.6593017578125,4138.04,301,1505000
302,40.9726,4106.64,15.5257,-2038.00244140625,4102.56,302,1510000
303,40.7066,4097.92,14.8547,-2043.7984619140625,4109.23,303,1515000
304,41.1569,4128.01,15.3943,-2039.3516845703125,4139.07,304,1520000
305,41.1352,4123.65,15.2888,-2096.29296875,4128.93,305,1525000
306,41.138,4129.2,15.3576,-2092.245361328125,4126.62,306,1530000
307,40.8279,4123.05,15.1942,-2098.0400390625,4112.38,307,1535000
308,40.802,4134.74,15.2714,-2062.5224609375,4131.66,308,1540000
309,41.2139,4125.62,15.0794,-2084.233642578125,4124.81,309,1545000
310,40.9438,4139.94,15.0068,-2121.735595703125,4116.91,310,1550000
311,41.0991,4133.87,15.3565,-2133.572509765625,4123.31,311,1555000
312,40.7925,4115.46,14.6611,-2096.806884765625,4107.05,312,1560000
313,41.1923,4135.61,15.1495,-2142.30615234375,4133.26,313,1565000
314,41.0321,4119.98,15.078,-2170.328857421875,4098.45,314,1570000
315,41.038,4164.32,14.8864,-2116.080078125,4159.89,315,1575000
316,40.9221,4083.53,14.8711,-2133.519775390625,4113.64,316,1580000
317,40.9193,4148.37,15.2413,-2153.797119140625,4153.85,317,1585000
318,40.9181,4168.65,14.7843,-2168.85595703125,4150.78,318,1590000
319,40.7485,4127.52,14.5866,-2155.40185546875,4127.68,319,1595000
320,40.7241,4189.13,14.8021,-2200.60400390625,4163.43,320,1600000
321,40.7751,4100.19,14.2549,-2247.582275390625,4094.74,321,1605000
322,40.6701,4143.95,14.1935,-2228.612548828125,4154.05,322,1610000
323,41.0718,4147.82,14.2494,-2239.85009765625,4135.3,323,1615000
324,40.8122,4172.3,14.5219,-2231.760498046875,4135.91,324,1620000
325,40.6917,4212.9,14.6518,-2252.474853515625,4170.34,325,1625000
326,40.9006,4191.57,15.3889,-2241.874267578125,4185.59,326,1630000
327,41.0159,4200.16,14.945,-2220.301513671875,4176.75,327,1635000
328,40.4361,4234.5,15.3805,-2213.9638671875,4211.04,328,1640000
329,40.5418,4184.42,14.5492,-2240.468505859375,4182.47,329,1645000
330,40.5942,4176.05,14.9321,-2291.66650390625,4175.89,330,1650000
331,40.8189,4183.66,14.7168,-2276.45654296875,4185.72,331,1655000
332,40.7246,4199.65,14.7053,-2334.548583984375,4185.91,332,1660000
333,41.0276,4196.44,14.481,-2323.68017578125,4192.45,333,1665000
334,40.9305,4184.52,15.2079,-2313.901123046875,4160.23,334,1670000
335,40.853,4226.17,14.6848,-2312.03076171875,4210.36,335,1675000
336,40.9948,4207.82,15.038,-2327.0830078125,4208.88,336,1680000
337,40.5503,4192.39,15.2795,-2332.254150390625,4208.83,337,1685000
338,40.9484,4117.25,15.2471,-2368.308837890625,4210.08,338,1690000
339,40.735,4193.63,14.6715,-2386.30712890625,4181.01,339,1695000
340,40.9156,4230.04,15.432,-2366.7294921875,4218.61,340,1700000
341,40.7587,4188.51,14.7935,-2403.61962890625,4211.81,341,1705000
342,40.8704,4181.37,14.2822,-2380.57763671875,4213.76,342,1710000
343,40.4339,4208.3,15.0335,-2405.13037109375,4227.76,343,1715000
344,40.2838,4213.37,14.7743,-2395.140869140625,4175.52,344,1720000
345,40.3355,4236.65,15.1443,-2341.21484375,4270.51,345,1725000
346,40.7719,4213.68,15.3514,-2381.8974609375,4227.18,346,1730000
347,41.0769,4194.15,15.4853,-2440.087890625,4217.21,347,1735000
348,40.7627,4160.08,14.8217,-2456.927001953125,4177.64,348,1740000
349,41.0268,4154.59,16.2975,-2610.4189453125,4139.93,349,1745000
350,41.1434,4105.95,15.0942,-2492.3115234375,3949.77,350,1750000
351,44.3061,1123.14,21.5508,-4234.80126953125,1066.06,351,1755000
352,44.9116,2173.22,19.2182,-4051.601318359375,1540.83,352,1760000
353,46.282,807.28,47.0,-4284.19970703125,1123.25,353,1765000
354,43.8307,863.68,51.1152,-4474.40771484375,1478.7,354,1770000
355,43.6609,3660.61,19.8225,-3001.210693359375,3694.59,355,1775000
356,42.6247,3969.04,18.1458,-2904.193115234375,4040.66,356,1780000
357,42.0589,3912.7,16.6144,-2831.930419921875,3974.0,357,1785000
358,41.4142,3915.38,15.9748,-2773.833984375,3976.62,358,1790000
359,41.8739,4058.91,15.773,-2898.759765625,4025.46,359,1795000
360,41.7836,4066.46,16.2378,-2889.379150390625,4099.56,360,1800000
361,40.972,4005.11,15.2955,-2797.464599609375,4119.42,361,1805000
362,40.9089,4021.07,15.1572,-2742.830322265625,4124.93,362,1810000
363,40.6749,4108.88,15.0436,-2742.707275390625,4159.09,363,1815000
364,40.7171,4207.15,15.7211,-2746.57666015625,4206.88,364,1820000
365,40.9497,4124.93,15.4999,-2818.030517578125,4187.39,365,1825000
366,41.0565,4167.14,15.5856,-2787.61279296875,4200.9,366,1830000
367,40.8862,4196.39,15.3856,-2806.874267578125,4202.17,367,1835000
368,40.9387,4178.66,15.5973,-2806.057373046875,4222.54,368,1840000
369,40.8964,4205.0,15.3645,-2824.502685546875,4240.81,369,1845000
370,40.8886,4191.05,15.3957,-2808.405517578125,4236.29,370,1850000
371,40.595,4178.84,15.6466,-2787.232666015625,4266.23,371,1855000
372,40.5476,4230.46,15.9133,-2793.478759765625,4264.38,372,1860000
373,40.6477,4186.51,15.5264,-2817.3701171875,4249.97,373,1865000
374,40.3247,4196.28,15.0649,-2816.0478515625,4235.89,374,1870000
375,40.6172,4201.28,15.053,-2830.23583984375,4265.69,375,1875000
376,40.5367,4150.53,15.5489,-2878.7646484375,4250.9,376,1880000
377,40.4693,4185.39,15.1174,-2835.564697265625,4266.07,377,1885000
378,40.3892,4180.12,15.346,-2856.00048828125,4252.61,378,1890000
379,40.2699,4155.58,14.8984,-2868.444091796875,4244.5,379,1895000
380,40.6095,4181.7,15.8253,-2833.162353515625,4245.15,380,1900000
381,51.8377,-10.77,27.0229,-4387.19140625,-10.57,381,1905000
382,40.6598,4192.88,15.6517,-2901.345703125,4191.17,382,1910000
383,40.4238,4247.04,15.4261,-2846.017822265625,4292.44,383,1915000
384,40.3615,4207.88,15.1641,-2846.4990234375,4279.73,384,1920000
385,40.5335,4215.41,15.2838,-2901.30419921875,4286.87,385,1925000
