Itration,Running Update Time,Real Sto Return,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL,Real Det Return
79,79,274.77,395000,-624.9617309570312,39.5555,48.9316,274.77
80,80,282.51,400000,-640.899658203125,39.7026,50.8748,282.51
81,81,256.78,405000,-594.9324340820312,37.805,51.1849,256.1
82,82,315.05,410000,-576.6793823242188,36.6969,58.533,315.49
83,83,272.01,415000,-618.5548706054688,37.0024,40.1006,272.24
84,84,276.75,420000,-638.0563354492188,37.5053,58.212,273.13
85,85,361.92,425000,-657.313232421875,35.8729,90.4559,382.7
86,86,301.01,430000,-614.8656005859375,36.5722,119.2886,362.33
87,87,736.31,435000,-509.0614013671875,35.2343,39.0302,725.6
88,88,684.8,440000,-560.4076538085938,32.054,37.7308,665.02
89,89,786.06,445000,-454.0411071777344,39.2803,39.3421,779.77
90,90,904.69,450000,-506.6566467285156,40.5546,24.9555,906.72
91,91,744.63,455000,-622.1732177734375,34.3602,33.3136,744.93
92,92,869.29,460000,-528.453857421875,34.0356,30.3497,967.32
93,93,1033.66,465000,-617.2402954101562,39.0882,20.3579,1045.3
94,94,1027.73,470000,-569.4447021484375,39.578,18.7614,1031.04
95,95,1020.16,475000,-608.4783325195312,37.5419,20.3045,1012.05
96,96,1141.31,480000,-556.7847290039062,39.1302,20.2223,1134.96
97,97,1020.42,485000,-669.149169921875,39.2823,20.6758,1022.03
98,98,476.7,490000,-650.039794921875,36.6181,61.9142,478.31
99,99,456.51,495000,-584.1597290039062,35.3128,45.7048,472.06
100,100,332.63,500000,-618.6304931640625,36.3999,39.568,333.55
101,101,466.81,505000,-560.24755859375,34.8604,36.5499,428.12
102,102,243.77,510000,-654.9669799804688,36.8328,28.0696,241.84
103,103,313.87,515000,-653.35546875,36.1371,31.8129,312.8
104,104,338.84,520000,-593.88134765625,35.5005,28.9151,342.48
105,105,269.35,525000,-593.0457763671875,36.0527,51.2274,274.0
106,106,388.13,530000,-659.02783203125,34.8446,35.0121,494.75
107,107,717.28,535000,-708.853759765625,34.0209,42.6643,711.15
108,108,1037.9,540000,-910.933837890625,40.3548,46.8331,1037.47
109,109,1041.92,545000,-928.4899291992188,40.1047,126.4164,1040.27
110,110,1112.39,550000,-670.089111328125,37.5212,24.9865,1136.6
111,111,1237.49,555000,-639.918212890625,33.8523,25.1548,1071.84
112,112,579.06,560000,-494.4625549316406,33.3036,18.1206,605.58
113,113,727.99,565000,-500.62109375,33.4289,39.3278,685.84
114,114,452.66,570000,-854.979736328125,35.0135,104.6875,453.14
115,115,644.0,575000,-772.8589477539062,34.7569,70.6891,644.01
116,116,600.77,580000,-813.4288940429688,34.8047,76.3033,600.46
117,117,690.64,585000,-690.8292236328125,34.6371,59.9075,706.64
118,118,1214.14,590000,-638.0191040039062,33.409,60.2273,1165.87
119,119,1218.33,595000,-644.899169921875,32.9821,48.6432,1181.96
120,120,1180.35,600000,-662.8475341796875,33.1235,48.4673,1229.04
121,121,496.93,605000,-970.9105834960938,34.2138,66.2948,519.09
122,122,227.77,610000,-885.4207763671875,36.1456,144.5269,227.67
123,123,294.48,615000,-933.1834106445312,35.5982,166.0499,277.68
124,124,145.88,620000,-983.9142456054688,39.6985,197.448,145.87
125,125,397.7,625000,-1031.3935546875,36.5498,71.3908,398.04
126,126,344.98,630000,-1089.2464599609375,39.1406,56.4008,344.98
127,127,662.28,635000,-843.8519287109375,35.9134,92.3692,679.09
128,128,252.47,640000,-930.134521484375,36.2335,41.9445,252.41
129,129,64.52,645000,-1060.0626220703125,41.2815,180.6008,64.52
130,130,175.33,650000,-1060.0552978515625,39.2361,188.0115,176.63
131,131,221.97,655000,-999.7120971679688,37.174,164.4358,205.49
132,132,161.83,660000,-1010.87890625,35.7641,143.0232,143.96
133,133,419.71,665000,-1093.0914306640625,36.7977,157.5779,423.35
134,134,926.39,670000,-830.7463989257812,34.2513,61.7204,815.19
135,135,592.4,675000,-965.6949462890625,34.4763,127.3426,598.87
136,136,817.63,680000,-836.7401733398438,33.4732,52.9246,690.54
137,137,963.22,685000,-791.0109252929688,35.0332,36.0934,711.31
138,138,166.17,690000,-1136.9124755859375,39.126,201.8217,163.6
139,139,774.32,695000,-1107.463134765625,32.451,100.5683,795.08
140,140,813.72,700000,-977.5015869140625,32.7598,28.7342,833.17
141,141,1024.09,705000,-1031.2415771484375,32.7929,40.9419,1036.79
142,142,1130.77,710000,-933.5458984375,33.1288,21.4341,1121.77
143,143,936.67,715000,-1048.0819091796875,31.4116,38.8363,936.94
144,144,1495.85,720000,-940.99267578125,33.9455,25.2874,1361.59
145,145,1483.1,725000,-979.0619506835938,32.9486,31.4569,1420.89
146,146,1179.93,730000,-1006.1279296875,34.0394,25.5883,1174.62
147,147,953.66,735000,-1086.261962890625,34.1312,38.3559,896.5
148,148,1174.42,740000,-985.323974609375,33.5315,28.5143,1115.19
149,149,831.43,745000,-1045.1295166015625,33.9552,33.3113,839.58
150,150,1245.46,750000,-966.0768432617188,33.3479,30.6135,1236.72
151,151,148.16,755000,-1056.77392578125,36.4711,79.8756,186.2
152,152,784.97,760000,-1139.78564453125,39.3973,84.2171,747.9
153,153,1018.21,765000,-1369.9384765625,43.0844,90.2746,1045.47
154,154,1003.14,770000,-1373.09619140625,44.4359,79.7604,1003.0
155,155,985.96,775000,-1330.974365234375,44.0604,38.1347,986.52
156,156,972.15,780000,-1313.8759765625,43.316,31.5554,972.43
157,157,919.37,785000,-1176.8677978515625,42.34,41.348,922.66
158,158,965.82,790000,-1309.24267578125,42.6209,34.0188,965.34
159,159,966.26,795000,-1228.6353759765625,40.9092,25.2065,964.55
160,160,9.83,800000,-1307.3892822265625,41.6358,165.8669,9.83
161,161,690.04,805000,-1175.0498046875,38.3284,86.5831,541.71
162,162,1173.24,810000,-1348.3509521484375,39.0693,23.7671,1175.7
163,163,990.76,815000,-1438.093505859375,43.2884,31.1212,990.99
164,164,1162.01,820000,-1301.817626953125,38.4069,22.7638,1164.7
165,165,991.33,825000,-1481.0574951171875,43.7645,39.6325,991.32
166,166,6.72,830000,-1423.6412353515625,41.8491,30.2881,6.72
167,167,7.9,835000,-1391.033203125,41.7667,36.1253,7.9
168,168,719.27,840000,-1133.2059326171875,39.273,37.6195,571.1
169,169,991.27,845000,-1367.7884521484375,41.2202,53.5523,990.09
170,170,996.95,850000,-1368.805908203125,40.7132,21.4373,999.67
171,171,1040.62,855000,-1272.5091552734375,39.6264,18.3629,1042.24
172,172,1051.75,860000,-1316.598388671875,39.381,18.863,994.36
173,173,837.64,865000,-1184.2476806640625,38.3803,23.7384,836.79
174,174,1310.69,870000,-1004.86328125,36.168,15.314,1334.98
175,175,997.93,875000,-1642.1873779296875,43.4499,48.4893,997.99
176,176,310.51,880000,-1378.41650390625,36.4025,82.3444,310.51
177,177,1688.64,885000,-799.734375,37.4286,24.0574,1689.13
178,178,1227.74,890000,-1499.7978515625,37.6374,64.8589,1232.55
179,179,1223.93,895000,-1051.6756591796875,35.834,18.7781,967.88
180,180,1952.85,900000,-835.4248657226562,32.2769,18.407,1936.48
181,181,1145.87,905000,-812.0847778320312,34.0726,14.4936,1148.4
182,182,1114.03,910000,-964.2528076171875,33.143,18.5358,955.95
183,183,833.39,915000,-809.345703125,33.0154,19.3875,961.1
184,184,851.67,920000,-1061.4873046875,35.8327,27.5406,772.38
185,185,366.64,925000,-1268.8951416015625,35.1532,53.6343,366.02
186,186,1056.68,930000,-1689.572021484375,39.5593,31.8816,1056.41
187,187,1032.0,935000,-1783.733154296875,39.8589,104.4526,1031.99
188,188,1073.29,940000,-1502.439697265625,40.1013,23.9604,1066.32
189,189,1137.48,945000,-1409.966064453125,39.8192,26.3806,1138.8
190,190,1090.54,950000,-1140.599853515625,35.5003,16.87,1120.74
191,191,1033.09,955000,-1764.641845703125,40.6067,30.2452,1032.8
192,192,508.24,960000,-1457.349853515625,38.9143,29.3469,508.86
193,193,444.44,965000,-1045.8878173828125,37.5509,37.3764,444.45
194,194,-0.68,970000,-1979.880126953125,47.7405,238.8082,-0.7
195,195,-2.35,975000,-1877.927978515625,44.0499,168.7125,-2.35
196,196,64.34,980000,-1995.32763671875,42.5989,101.5959,63.88
197,197,27.06,985000,-1562.7060546875,42.5066,44.5842,24.7
198,198,1004.12,990000,-1834.8526611328125,41.5564,40.5068,1003.41
199,199,38.86,995000,-1974.6357421875,39.3494,55.2576,38.84
