Running Reverse KL,Running Forward KL,Itration,Real Sto Return,Reward Loss,Running Update Time,Running Env Steps,Real Det Return
171.2041,361.0333,140,4970.6,-14504.6650390625,140,700000,4412.81
212.1579,360.9075,141,4085.09,-15097.849609375,141,705000,2795.6
191.0887,366.9286,142,4657.63,-15126.9072265625,142,710000,2377.29
187.3622,373.2235,143,4654.13,-15280.5244140625,143,715000,4640.69
172.1947,360.7228,144,4429.17,-14639.7451171875,144,720000,3532.31
165.3144,357.6972,145,4801.46,-14419.748046875,145,725000,4017.04
170.2712,373.2283,146,4926.37,-14976.634765625,146,730000,4770.67
178.9332,375.8159,147,4871.63,-15294.515625,147,735000,4591.95
180.2421,356.768,148,5161.64,-13409.1376953125,148,740000,4954.58
163.1559,355.2997,149,4981.83,-14246.1435546875,149,745000,5164.37
162.8517,356.9236,150,4852.34,-14889.177734375,150,750000,5071.71
183.0122,361.6737,151,4009.49,-15247.427734375,151,755000,4021.69
164.6104,350.3124,152,4962.74,-14961.2197265625,152,760000,5320.04
209.3825,373.3431,153,3805.3,-15756.884765625,153,765000,4517.39
182.0403,367.9502,154,5012.34,-15424.3447265625,154,770000,5210.73
179.4981,355.4469,155,4499.55,-13886.958984375,155,775000,3310.74
205.872,359.7069,156,3961.91,-15400.560546875,156,780000,4515.46
185.5349,354.0819,157,4136.12,-14931.8857421875,157,785000,4715.15
215.2013,378.1073,158,3981.46,-15322.9453125,158,790000,3618.51
182.4837,365.31,159,4751.66,-14513.6923828125,159,795000,4882.09
208.6715,371.6362,160,4145.05,-15114.7470703125,160,800000,3531.85
179.7262,362.0017,161,4468.32,-15673.896484375,161,805000,4649.76
187.8586,361.3334,162,4856.97,-14759.8681640625,162,810000,4823.16
191.7815,363.7556,163,4231.68,-15015.44921875,163,815000,1717.24
226.7012,363.9944,164,4062.93,-15401.0634765625,164,820000,2989.36
236.2208,364.8092,165,4397.12,-15449.40234375,165,825000,3469.05
157.4324,349.5851,166,4829.61,-15377.3740234375,166,830000,2704.96
169.0887,354.0466,167,4667.72,-16217.7431640625,167,835000,4424.88
188.6583,354.2154,168,4102.16,-16555.373046875,168,840000,5170.97
252.0422,365.6818,169,3833.07,-16208.33203125,169,845000,1120.87
194.9575,349.8169,170,2633.14,-16283.0888671875,170,850000,3267.62
292.7688,372.2245,171,3155.89,-17097.099609375,171,855000,4480.42
165.2436,357.1111,172,5071.65,-16417.1875,172,860000,4381.74
180.9943,353.4206,173,4647.92,-16679.091796875,173,865000,4638.85
163.5903,347.5069,174,4921.0,-16803.39453125,174,870000,3854.52
162.1066,349.3244,175,4923.17,-16996.662109375,175,875000,4224.97
176.0413,356.4349,176,4742.69,-17134.91015625,176,880000,5122.4
160.3589,344.7398,177,5186.75,-16970.947265625,177,885000,5265.03
258.5811,388.3913,178,3861.71,-17354.21484375,178,890000,3044.03
204.0515,365.2163,179,4511.34,-17353.109375,179,895000,3332.99
331.0463,496.4988,180,342.6,-17234.34765625,180,900000,307.85
266.2881,385.6147,181,2738.71,-17704.40625,181,905000,3364.8
163.247,330.5922,182,4428.9,-15904.7890625,182,910000,4036.28
146.6931,331.7766,183,4411.36,-15897.880859375,183,915000,2199.76
156.8987,340.7863,184,4252.44,-15289.3857421875,184,920000,5165.39
140.8949,339.3202,185,4946.39,-16162.353515625,185,925000,5088.79
158.3057,346.4015,186,4643.15,-16472.55859375,186,930000,5035.27
147.231,344.2037,187,4938.45,-17000.552734375,187,935000,5074.22
160.5328,352.1445,188,4888.46,-17581.8828125,188,940000,4687.67
175.1759,361.2332,189,5018.68,-17661.755859375,189,945000,5197.05
181.8084,361.9666,190,5004.98,-17837.076171875,190,950000,5119.25
175.7375,362.3242,191,4435.85,-17632.087890625,191,955000,4878.33
166.6323,358.8816,192,5020.5,-17781.083984375,192,960000,5047.44
243.6572,366.3683,193,3884.06,-16949.333984375,193,965000,3712.67
190.3753,357.4613,194,4162.06,-16459.16015625,194,970000,4821.11
153.7991,349.0815,195,4671.67,-16941.158203125,195,975000,5088.56
219.1223,362.9832,196,3891.95,-16675.3359375,196,980000,2834.99
188.7686,357.5401,197,4212.61,-16775.7734375,197,985000,4899.49
162.6307,351.8298,198,4987.39,-16903.251953125,198,990000,4441.24
183.9426,355.5533,199,4443.82,-16952.123046875,199,995000,4167.29
156.4859,356.7029,200,4766.0,-17843.19921875,200,1000000,4207.23
161.0199,350.8881,201,5040.07,-18123.611328125,201,1005000,5131.55
179.3865,352.8679,202,4521.93,-18057.353515625,202,1010000,5240.55
