Itration,Running Update Time,Running Reverse KL,Real Sto Return,Reward Loss,Running Env Steps,Running Forward KL,Real Det Return
106,106,30.5782,-46.39,-1897.424560546875,530000,70.8658,149.25
107,107,31.6999,-42.31,-1942.366943359375,535000,70.4676,283.29
108,108,28.709,-26.07,-1908.9224853515625,540000,70.3468,150.3
109,109,32.3816,-14.79,-2081.417236328125,545000,71.1956,209.39
110,110,29.6381,15.21,-2038.4869384765625,550000,69.8174,257.63
111,111,26.8206,33.27,-1984.2530517578125,555000,68.4864,501.21
112,112,28.3761,17.72,-2126.747802734375,560000,70.9725,361.19
113,113,27.7423,35.25,-2139.433837890625,565000,70.8847,178.13
114,114,26.6229,9.14,-2129.389892578125,570000,72.3196,253.34
115,115,30.358,-16.38,-2136.927490234375,575000,69.9078,259.85
116,116,36.2659,44.95,-2232.5234375,580000,70.9184,156.8
117,117,33.7924,91.21,-2303.287841796875,585000,70.3509,557.7
118,118,30.8219,41.05,-2312.41455078125,590000,71.4118,314.65
119,119,30.0072,31.78,-2249.840087890625,595000,69.2242,168.0
120,120,31.4219,-9.89,-2286.18310546875,600000,72.005,232.04
121,121,26.6553,42.16,-2373.898193359375,605000,69.487,414.95
122,122,29.2319,63.75,-2463.927001953125,610000,70.62,344.78
123,123,27.9484,26.34,-2333.97216796875,615000,68.9504,404.57
124,124,29.0769,34.81,-2433.508544921875,620000,71.2515,418.56
125,125,27.305,34.88,-2531.043701171875,625000,71.1196,311.66
126,126,33.1591,51.32,-2628.75,630000,73.4833,371.8
127,127,27.9813,87.9,-2574.199951171875,635000,69.6255,376.33
128,128,26.5789,48.33,-2624.919189453125,640000,71.1219,314.33
129,129,28.7043,78.69,-2661.38671875,645000,70.2752,414.07
130,130,27.3641,155.1,-2547.93408203125,650000,65.9846,593.4
131,131,28.5651,65.61,-2756.01904296875,655000,70.9937,255.38
132,132,26.7517,103.17,-2752.2529296875,660000,66.2641,405.46
133,133,28.2393,141.84,-2805.168212890625,665000,70.2762,409.41
134,134,27.0228,99.7,-2809.10400390625,670000,70.1594,282.72
135,135,30.2453,68.01,-2806.01513671875,675000,71.4679,313.28
136,136,28.8385,54.67,-2927.246826171875,680000,69.5971,288.61
137,137,30.9586,41.73,-2944.402099609375,685000,70.8069,326.62
138,138,31.7627,-22.21,-3032.180908203125,690000,69.8613,302.53
139,139,30.0246,14.7,-3070.3447265625,695000,72.0772,216.74
140,140,30.3793,-18.14,-3142.138427734375,700000,70.4789,255.45
141,141,29.3097,-1.41,-3133.492919921875,705000,69.9027,284.34
142,142,28.9406,4.82,-3328.926513671875,710000,71.3072,265.95
143,143,27.1938,15.54,-3233.115966796875,715000,69.5849,144.96
144,144,28.5081,15.76,-3309.640380859375,720000,71.2513,303.6
145,145,29.9339,18.3,-3438.29638671875,725000,72.0591,228.0
146,146,29.1188,40.92,-3418.1337890625,730000,70.5783,341.89
147,147,28.2841,-0.56,-3401.072998046875,735000,70.3436,355.06
148,148,28.5758,46.54,-3564.1123046875,740000,70.5084,202.97
149,149,29.3835,52.48,-3488.193359375,745000,70.6978,237.27
150,150,28.9306,64.81,-3616.18896484375,750000,69.6595,381.25
151,151,31.6628,33.99,-3665.85400390625,755000,71.0972,337.58
152,152,29.2531,86.05,-3644.548583984375,760000,69.6238,289.99
153,153,31.1966,73.92,-3785.380126953125,765000,70.6553,474.74
154,154,30.7154,49.58,-3842.4697265625,770000,69.9889,435.4
155,155,29.1253,173.32,-3642.955078125,775000,68.8109,673.88
156,156,27.3327,166.66,-3759.0703125,780000,66.2362,678.48
157,157,27.1701,208.33,-3883.662841796875,785000,65.8395,654.35
158,158,28.7843,203.21,-3854.992431640625,790000,65.6291,646.42
159,159,27.7055,200.3,-3710.465576171875,795000,64.3729,713.62
160,160,29.0004,298.82,-3927.59912109375,800000,65.9395,727.32
161,161,29.0536,196.34,-4048.045654296875,805000,67.6158,620.88
162,162,30.2917,228.92,-4255.09765625,810000,68.8448,1121.57
163,163,29.9398,149.07,-4338.1123046875,815000,70.3581,461.59
164,164,30.2656,163.55,-4051.30810546875,820000,67.2626,-72.14
165,165,27.6114,221.35,-4177.63134765625,825000,64.9617,1073.14
166,166,27.7761,178.3,-4241.24951171875,830000,67.1496,683.83
167,167,26.889,159.05,-4421.501953125,835000,68.0401,437.91
168,168,30.0157,182.59,-4688.2939453125,840000,69.3291,699.62
169,169,27.7134,139.98,-4665.01806640625,845000,68.5341,578.32
170,170,28.0121,352.88,-4417.6650390625,850000,65.4337,924.15
171,171,29.6626,103.02,-4398.05517578125,855000,69.8178,490.3
172,172,25.1805,135.08,-4434.80126953125,860000,64.9776,546.73
173,173,27.33,73.72,-4763.4462890625,865000,68.4865,465.58
174,174,26.9454,70.6,-4690.12646484375,870000,68.7378,320.17
175,175,28.8299,112.46,-4745.4033203125,875000,67.6134,402.4
176,176,27.1279,87.94,-5007.9775390625,880000,69.3294,322.15
177,177,30.269,10.4,-5249.78564453125,885000,71.739,213.97
178,178,35.499,67.5,-5228.58984375,890000,69.9406,378.89
179,179,25.5171,156.37,-4690.732421875,895000,63.6041,553.56
180,180,31.4096,121.55,-5394.35302734375,900000,69.993,540.68
181,181,25.3736,82.13,-4572.76953125,905000,60.8632,292.47
182,182,28.736,75.23,-5473.162109375,910000,69.4807,336.39
183,183,26.7495,89.71,-5008.27197265625,915000,66.0546,28.4
184,184,27.5042,227.2,-5040.146484375,920000,65.1288,596.66
185,185,26.4587,121.51,-5447.43408203125,925000,68.481,714.29
186,186,25.345,216.64,-5271.783203125,930000,64.3903,846.72
187,187,26.1604,84.69,-5683.55615234375,935000,68.4036,240.72
188,188,25.8897,51.42,-5906.56103515625,940000,69.5472,360.78
189,189,26.461,158.56,-5626.20703125,945000,66.274,312.39
190,190,26.7869,176.95,-5676.9755859375,950000,65.3925,573.99
191,191,26.1913,68.61,-5947.6357421875,955000,68.9754,416.68
192,192,25.0539,176.51,-5977.90869140625,960000,66.7107,689.89
193,193,25.0093,128.09,-6021.392578125,965000,67.2694,389.35
194,194,26.3384,175.72,-5994.63623046875,970000,67.911,657.05
195,195,25.6323,105.54,-6351.6337890625,975000,68.3362,399.48
196,196,29.5331,76.35,-6043.99853515625,980000,68.2537,504.06
197,197,29.0335,74.15,-6355.56787109375,985000,68.8277,386.48
198,198,25.1891,44.66,-6291.01806640625,990000,65.7064,379.42
199,199,23.6994,96.9,-6295.46630859375,995000,64.9303,310.29
200,200,26.5468,118.61,-6546.2177734375,1000000,67.3152,469.84
201,201,25.1648,128.94,-6519.982421875,1005000,65.6983,353.73
202,202,26.0835,51.62,-6852.1669921875,1010000,66.6419,582.5
203,203,28.0152,75.2,-6974.02880859375,1015000,68.3509,299.55
204,204,27.848,59.61,-7058.0224609375,1020000,68.1016,271.26
205,205,28.1082,6.44,-7076.67626953125,1025000,67.6411,181.13
206,206,25.9902,0.11,-7002.39208984375,1030000,67.5945,293.12
207,207,29.7039,3.91,-7205.56298828125,1035000,70.0188,254.43
208,208,28.5573,-20.21,-7336.6318359375,1040000,72.7745,87.72
209,209,29.4677,16.86,-7209.78515625,1045000,73.0585,183.31
210,210,36.1485,-34.66,-7472.48095703125,1050000,71.0108,176.36
211,211,29.5728,-14.48,-7475.88525390625,1055000,69.2779,199.28
212,212,26.7343,-18.74,-7402.50244140625,1060000,70.6094,128.06
213,213,28.5294,-83.31,-7649.28466796875,1065000,70.6701,-190.65
214,214,29.9068,-130.28,-7684.39794921875,1070000,72.2699,46.15
215,215,30.7219,-52.8,-7985.49365234375,1075000,69.4041,81.36
216,216,26.7333,-49.16,-7963.40185546875,1080000,70.0469,80.12
217,217,26.5899,4.36,-7963.81298828125,1085000,69.3864,121.12
218,218,27.6739,-88.22,-7929.12109375,1090000,71.2376,-31.19
219,219,28.7084,-31.99,-8375.0087890625,1095000,70.8073,63.71
220,220,31.8023,-68.63,-8477.0517578125,1100000,70.1276,-137.84
221,221,27.4921,-82.68,-8462.87890625,1105000,70.9041,19.23
222,222,27.4175,-70.53,-8224.759765625,1110000,70.7567,68.28
223,223,28.4201,-118.16,-8717.7197265625,1115000,72.8583,29.97
224,224,29.2155,-85.64,-8723.9365234375,1120000,72.3165,46.51
225,225,29.9467,-57.53,-8740.7666015625,1125000,72.6248,47.82
226,226,29.0719,-37.39,-9037.736328125,1130000,71.9668,75.46
227,227,28.6673,-63.22,-9058.17578125,1135000,71.5081,44.19
228,228,30.3448,-71.32,-9413.400390625,1140000,72.2466,192.83
229,229,29.2153,-14.9,-9653.0478515625,1145000,71.4514,61.23
230,230,28.8757,-44.67,-9359.580078125,1150000,72.5199,47.69
231,231,28.5021,-55.24,-9347.58203125,1155000,72.3831,4.59
232,232,29.2394,-23.26,-9515.7119140625,1160000,69.2471,134.87
233,233,28.2071,-46.19,-9640.33203125,1165000,72.3187,93.21
234,234,30.6646,-29.68,-10016.28515625,1170000,72.8604,90.25
235,235,29.3146,-36.15,-9569.517578125,1175000,72.0097,77.91
236,236,27.0089,-22.38,-9884.5341796875,1180000,71.1196,90.19
237,237,28.4402,-22.84,-10057.8251953125,1185000,72.205,99.57
238,238,30.3265,-40.34,-10013.044921875,1190000,70.9464,87.62
239,239,28.5976,-75.65,-9695.943359375,1195000,70.6785,73.48
240,240,29.1612,-18.34,-10176.3232421875,1200000,70.6076,34.45
241,241,27.8924,-32.64,-10377.5791015625,1205000,71.0665,190.04
242,242,28.0781,-2.45,-10036.6572265625,1210000,71.2557,18.55
243,243,27.9184,-33.38,-10315.3525390625,1215000,70.2255,89.67
244,244,27.8858,-99.4,-10482.705078125,1220000,70.8506,90.21
245,245,28.5076,-88.63,-10533.904296875,1225000,70.3276,-105.83
246,246,31.2343,-24.65,-10319.8642578125,1230000,70.4621,-83.68
247,247,27.9823,-121.93,-10410.548828125,1235000,70.7203,-10.18
248,248,34.8675,-280.83,-10950.8251953125,1240000,71.3027,-235.12
249,249,31.4295,-185.14,-11069.4150390625,1245000,71.3848,-397.77
250,250,29.3127,-124.99,-11039.23046875,1250000,71.1186,-72.57
251,251,28.6551,-105.7,-10950.3095703125,1255000,70.5336,-16.89
252,252,30.4813,-34.38,-11397.8271484375,1260000,69.9962,-91.63
253,253,28.0553,-82.95,-11389.06640625,1265000,71.2166,41.12
254,254,26.979,-48.93,-11442.4296875,1270000,71.3707,0.68
255,255,26.9151,-59.62,-11293.3193359375,1275000,70.1043,-169.81
256,256,37.799,-140.79,-11958.9521484375,1280000,72.8231,-475.84
257,257,32.7872,-97.63,-11625.669921875,1285000,71.7391,-200.02
258,258,29.9181,-48.14,-11977.7578125,1290000,71.3673,-114.33
259,259,30.1882,-64.25,-12041.630859375,1295000,71.3716,-62.61
260,260,30.146,-87.93,-12420.025390625,1300000,71.1217,-140.04
261,261,28.1121,-84.99,-12074.4033203125,1305000,70.4471,47.23
262,262,30.5312,-35.13,-12012.0703125,1310000,70.6982,-28.14
263,263,28.834,-30.37,-12204.5283203125,1315000,70.2726,33.99
264,264,30.3544,-52.68,-12629.9052734375,1320000,72.0689,-26.06
265,265,27.3482,-61.74,-12613.255859375,1325000,71.1619,-8.62
266,266,28.2546,-65.49,-12563.14453125,1330000,69.8681,28.11
267,267,32.1069,-183.25,-12967.9072265625,1335000,71.8767,6.39
268,268,29.3569,-39.55,-13103.81640625,1340000,71.1256,69.43
269,269,28.1676,-109.84,-12782.8828125,1345000,70.9346,25.66
270,270,30.1638,-93.18,-13263.11328125,1350000,72.6204,38.41
271,271,29.3102,-91.62,-12976.638671875,1355000,70.6127,23.23
272,272,28.7722,-16.2,-13324.14453125,1360000,71.6965,108.89
273,273,27.9244,6.19,-12717.869140625,1365000,69.9438,29.05
274,274,31.7639,-103.11,-13469.7373046875,1370000,71.2948,-26.28
275,275,28.7136,-23.24,-13401.8916015625,1375000,71.3238,-112.05
276,276,32.2581,-64.82,-13731.0712890625,1380000,74.0542,46.69
277,277,32.296,-129.66,-13530.984375,1385000,72.2392,-34.01
278,278,30.3419,-34.19,-13693.1904296875,1390000,71.6046,41.48
279,279,30.1397,-34.22,-13424.91796875,1395000,72.1378,-49.7
280,280,31.3354,-85.63,-13839.701171875,1400000,71.7852,108.11
281,281,31.53,-55.21,-13953.7255859375,1405000,71.6178,-53.11
282,282,33.9069,-89.6,-14055.6240234375,1410000,71.3435,-75.6
283,283,32.0093,-13.38,-14204.443359375,1415000,72.4564,92.24
284,284,31.2872,-92.74,-14428.2763671875,1420000,72.7238,-105.39
285,285,31.803,-116.72,-14193.8486328125,1425000,71.9193,66.26
286,286,31.2055,-56.05,-13974.216796875,1430000,72.5686,78.13
287,287,29.3894,-93.83,-14206.8134765625,1435000,71.8585,89.1
288,288,29.1221,-34.13,-14163.3662109375,1440000,72.5054,80.25
289,289,31.981,-72.98,-14589.939453125,1445000,73.6047,76.48
290,290,32.2441,7.14,-14132.8935546875,1450000,73.1621,116.34
291,291,30.2856,-118.8,-13947.6552734375,1455000,72.2408,62.97
292,292,31.8897,-34.87,-14707.8701171875,1460000,72.3339,51.34
293,293,29.2995,-8.98,-14682.6767578125,1465000,72.1873,72.59
294,294,29.9795,-9.9,-14469.49609375,1470000,72.2857,94.21
295,295,29.2266,-65.94,-14446.294921875,1475000,70.6104,56.79
296,296,30.559,-82.35,-14692.48046875,1480000,72.6973,118.23
297,297,31.0541,-30.32,-14306.4697265625,1485000,70.2775,66.64
298,298,28.7044,-5.2,-14648.9755859375,1490000,72.5037,39.15
299,299,31.599,-35.51,-15148.27734375,1495000,72.2317,-23.98
300,300,30.6199,-21.13,-15235.7421875,1500000,70.5758,36.42
301,301,29.3029,-71.67,-15216.646484375,1505000,72.3022,51.21
302,302,28.0421,-76.61,-15144.2158203125,1510000,71.922,61.16
303,303,30.5786,-41.93,-15128.287109375,1515000,72.6101,52.18
304,304,29.1197,-5.2,-15244.5224609375,1520000,71.4094,43.61
305,305,28.1144,1.27,-15156.7724609375,1525000,70.858,117.37
306,306,29.2238,-34.95,-15050.2666015625,1530000,71.6714,112.03
307,307,29.0363,-62.28,-15756.259765625,1535000,71.8795,-50.62
308,308,30.0302,-65.65,-15664.3046875,1540000,71.3464,3.7
309,309,28.2238,-15.49,-15520.490234375,1545000,71.008,87.52
310,310,29.0355,-39.13,-16025.478515625,1550000,72.1214,56.94
311,311,28.7179,-19.03,-15546.2646484375,1555000,71.009,-152.62
312,312,28.6276,-59.15,-16143.71484375,1560000,71.5074,-6.9
313,313,28.3472,-13.38,-15888.2490234375,1565000,72.2693,118.03
