Real Sto Return,Running Env Steps,Running Forward KL,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return,Itration
2330.38,235000,24.0129,-1153.3023681640625,15.7096,47,2661.06,47
2031.58,240000,23.0692,-1583.743896484375,28.9388,48,2963.63,48
2813.12,245000,21.8446,-872.1787719726562,11.9176,49,3052.21,49
1759.92,250000,24.0872,-1867.814208984375,33.5804,50,3027.97,50
2811.95,255000,24.2851,-758.6253662109375,13.6982,51,2707.2,51
2669.57,260000,21.6662,-569.2567138671875,12.3614,52,2943.91,52
2994.26,265000,23.8439,-649.0538940429688,14.4757,53,2961.58,53
2908.96,270000,24.0599,-667.4561767578125,16.0734,54,2913.38,54
749.76,275000,26.0298,-3021.02783203125,73.8257,55,1001.33,55
3057.07,280000,21.4127,-582.2255249023438,12.37,56,2974.98,56
2677.83,285000,21.9665,-1101.5665283203125,40.9849,57,2990.2,57
2918.01,290000,21.8723,-796.1985473632812,11.4046,58,2936.65,58
1550.99,295000,22.8368,-2115.154541015625,88.9334,59,1990.58,59
3113.36,300000,21.4101,-628.3831176757812,16.9588,60,3163.32,60
3152.24,305000,20.9291,-486.96295166015625,12.4184,61,3183.41,61
1214.3,310000,22.2029,-2243.923828125,59.7934,62,2174.55,62
1345.86,315000,22.6592,-2209.99755859375,88.6211,63,1964.04,63
1265.6,320000,23.0133,-2521.115234375,75.6355,64,1770.14,64
3115.23,325000,19.6972,-548.1110229492188,11.3414,65,3085.39,65
3143.38,330000,21.1807,-617.0738525390625,13.2412,66,3124.42,66
3138.47,335000,19.1549,-450.76312255859375,12.1743,67,3153.43,67
3158.65,340000,21.5784,-652.5592651367188,13.8923,68,3185.15,68
3229.32,345000,18.7502,-431.61041259765625,10.9656,69,3279.06,69
1731.94,350000,22.6489,-2459.78759765625,101.0387,70,2813.11,70
2333.38,355000,23.3917,-1196.7420654296875,15.0131,71,3161.4,71
2313.8,360000,19.0411,-1333.1114501953125,41.4133,72,3264.69,72
376.63,365000,20.8574,-1426.420654296875,17.4498,73,499.09,73
2320.38,370000,20.999,-464.0819091796875,15.0586,74,3363.94,74
3194.12,375000,20.0809,-576.196044921875,12.7126,75,3169.23,75
3093.01,380000,19.7972,-426.8092041015625,12.8697,76,3118.93,76
3212.21,385000,19.5075,-365.6161193847656,12.7188,77,3263.18,77
1479.27,390000,23.583,-2669.669677734375,20.0994,78,2022.06,78
3050.59,395000,20.4904,-806.5723876953125,11.1954,79,3059.38,79
3120.93,400000,22.805,-742.6521606445312,14.7579,80,3181.17,80
873.89,405000,24.3207,-3144.8388671875,60.5305,81,958.17,81
3165.06,410000,19.8607,-698.852783203125,12.0286,82,3207.53,82
3024.09,415000,19.9447,-635.4854736328125,12.8442,83,3271.34,83
2508.2,420000,20.7138,-2197.313720703125,69.4059,84,3238.6,84
3146.09,425000,21.7494,-823.2710571289062,14.2014,85,3145.06,85
3241.21,430000,19.8902,-702.0281372070312,13.8553,86,3216.17,86
3105.17,435000,19.2769,-474.007568359375,11.6117,87,3284.91,87
3204.4,440000,17.0746,-572.8164672851562,11.1522,88,3245.07,88
3055.56,445000,20.5461,-775.1448974609375,11.5438,89,3056.44,89
3265.42,450000,19.3556,-615.1045532226562,11.6478,90,3267.81,90
3220.59,455000,18.8912,-631.6655883789062,11.6788,91,3219.71,91
3121.87,460000,21.988,-938.2147216796875,12.9013,92,3116.17,92
3142.19,465000,19.4306,-629.7286987304688,10.9359,93,3139.68,93
3240.13,470000,17.0589,-392.10443115234375,10.2472,94,3216.04,94
3254.2,475000,19.5149,-574.7378540039062,12.9063,95,3281.36,95
3275.95,480000,17.8338,-526.259521484375,11.563,96,3338.71,96
3221.55,485000,19.0945,-465.8125,11.4015,97,3249.91,97
3238.81,490000,19.2095,-493.0853576660156,12.234,98,3266.34,98
3165.36,495000,20.0043,-622.772705078125,11.7686,99,3156.37,99
3149.5,500000,20.9352,-471.40997314453125,13.7487,100,3285.55,100
3309.9,505000,19.8538,-449.970947265625,13.0212,101,3314.56,101
3105.47,510000,21.4242,-500.8767395019531,14.4389,102,3304.8,102
3244.64,515000,20.1783,-675.189453125,12.7086,103,3252.91,103
3199.28,520000,19.3926,-525.6171264648438,13.2754,104,3317.41,104
3249.42,525000,20.1456,-589.6073608398438,12.6175,105,3271.91,105
2665.28,530000,21.4728,-910.2113037109375,12.9577,106,3024.29,106
2968.78,535000,20.5525,-1037.2471923828125,10.7164,107,3044.31,107
3191.97,540000,22.0403,-757.830810546875,14.3752,108,3178.7,108
3115.87,545000,20.3311,-909.2501831054688,12.2945,109,3245.52,109
2990.82,550000,21.7536,-931.7762451171875,12.7995,110,3057.23,110
3270.47,555000,19.3007,-513.561767578125,11.5,111,3269.65,111
3097.0,560000,20.8367,-870.2992553710938,12.1552,112,3101.63,112
2459.27,565000,19.7296,-710.20458984375,13.0198,113,3197.53,113
3085.32,570000,19.9375,-790.9642333984375,11.023,114,3144.98,114
3262.55,575000,18.5392,-451.490966796875,12.4835,115,3307.86,115
3069.63,580000,18.59,-729.8941040039062,15.3512,116,3219.15,116
3274.88,585000,17.7662,-580.9711303710938,11.1071,117,3285.2,117
3105.2,590000,19.9169,-827.7373657226562,11.7712,118,3116.77,118
3164.09,595000,18.4145,-636.5596923828125,20.6528,119,3273.45,119
3316.21,600000,18.5564,-575.0467529296875,11.4666,120,3327.61,120
3237.7,605000,19.3101,-730.5396118164062,11.2563,121,3266.78,121
2729.25,610000,18.7178,-327.1089782714844,12.4937,122,267.65,122
3269.0,615000,16.0228,-273.324951171875,10.4475,123,3427.25,123
2842.98,620000,19.732,-1414.0682373046875,11.3125,124,1486.22,124
3239.38,625000,19.2462,-730.3983764648438,13.0037,125,3247.06,125
3353.1,630000,19.0426,-527.703857421875,11.9324,126,3365.85,126
3313.61,635000,18.3679,-475.4679260253906,11.5259,127,3321.24,127
2735.39,640000,17.2318,-501.0511169433594,13.5985,128,3395.08,128
1964.1,645000,17.9545,-2461.704833984375,55.7064,129,2712.97,129
3133.04,650000,18.4616,-690.0139770507812,10.7177,130,3242.68,130
2038.76,655000,18.2516,-704.6043701171875,14.6922,131,3413.83,131
3168.81,660000,17.5316,-525.5933837890625,10.3775,132,3261.77,132
3364.19,665000,19.4211,-484.2646179199219,12.9212,133,3363.78,133
3360.87,670000,15.5773,-201.98118591308594,9.2114,134,3388.79,134
3403.61,675000,18.1618,-312.2912902832031,12.0599,135,3429.83,135
3422.38,680000,16.8135,-391.72076416015625,9.9692,136,3408.36,136
3228.64,685000,18.6068,-788.1825561523438,15.0941,137,3400.67,137
3410.76,690000,20.2878,-308.92919921875,15.0356,138,3429.75,138
3381.74,695000,17.5943,-447.54034423828125,13.5075,139,3408.16,139
3358.03,700000,16.8599,-222.13743591308594,10.8253,140,3385.16,140
1888.05,705000,17.2092,-211.81790161132812,11.4863,141,786.35,141
3393.9,710000,19.1654,-374.32171630859375,11.1029,142,3433.16,142
3264.16,715000,20.3444,-734.0841064453125,12.8436,143,3303.27,143
3343.98,720000,18.8749,-775.8958129882812,21.0666,144,3399.96,144
2562.82,725000,20.2373,-2288.669677734375,51.1181,145,3430.97,145
1563.06,730000,19.258,-1801.3780517578125,35.9185,146,3444.19,146
3358.73,735000,17.5227,-410.8231201171875,12.2388,147,3374.12,147
3356.78,740000,17.2379,-483.88079833984375,11.127,148,3371.75,148
1570.39,745000,20.4925,-455.1492614746094,13.5987,149,3400.3,149
3281.56,750000,17.9663,-607.4114990234375,10.9709,150,3323.37,150
2631.27,755000,18.2997,-662.887451171875,11.3738,151,3303.96,151
3389.72,760000,18.3963,-401.8285217285156,11.2208,152,3425.1,152
3294.58,765000,17.6883,-523.896484375,11.1157,153,3313.49,153
2447.53,770000,17.3813,-566.8314208984375,10.2405,154,3303.33,154
3326.06,775000,17.565,-419.1426696777344,12.1224,155,3336.59,155
3372.08,780000,17.9918,-319.0353698730469,11.4795,156,3348.49,156
3148.33,785000,21.2552,-648.0328979492188,12.9576,157,3333.33,157
3312.17,790000,16.7451,-335.4207763671875,10.7345,158,3288.56,158
3306.0,795000,17.9627,-537.5084838867188,10.9319,159,3342.93,159
3213.72,800000,17.0872,-478.37725830078125,11.3624,160,3357.46,160
3340.52,805000,18.1645,-558.2859497070312,11.2845,161,3374.84,161
3329.49,810000,17.7847,-504.0268859863281,11.3662,162,3345.87,162
3205.25,815000,18.1029,-628.8511962890625,15.0144,163,3357.56,163
3281.05,820000,19.2314,-815.0413818359375,12.5438,164,3315.93,164
1953.24,825000,21.5497,-2076.29833984375,22.7126,165,3358.78,165
3359.72,830000,17.5781,-507.1279296875,10.8994,166,3347.69,166
2043.5,835000,17.9815,-458.89935302734375,10.6986,167,1825.66,167
3300.64,840000,18.0035,-523.2093505859375,11.8105,168,3380.52,168
3178.34,845000,17.7393,-921.5487670898438,19.9127,169,3383.78,169
3137.7,850000,19.241,-1155.92431640625,11.6352,170,3335.77,170
2585.49,855000,17.4635,-630.9381713867188,13.4236,171,3407.93,171
2931.77,860000,18.3843,-1248.8902587890625,13.9538,172,3425.03,172
2981.57,865000,19.4874,-947.4676513671875,13.6568,173,3392.2,173
3400.79,870000,17.4617,-338.3317565917969,11.4235,174,3430.06,174
2498.47,875000,19.1821,-1590.9847412109375,37.5706,175,2750.55,175
3138.25,880000,18.8801,-641.794189453125,11.8643,176,3366.64,176
2788.98,885000,17.8164,-1843.72607421875,41.1982,177,3350.57,177
3354.05,890000,18.5973,-608.9849243164062,12.2062,178,3379.7,178
3269.98,895000,18.2092,-605.3470458984375,10.9761,179,3322.24,179
3353.17,900000,17.898,-514.0956420898438,11.4792,180,3364.19,180
3343.31,905000,18.5265,-639.8650512695312,12.1784,181,3397.43,181
3339.05,910000,17.7739,-662.5859375,10.9177,182,3394.48,182
1995.65,915000,19.0467,-671.3942260742188,11.5117,183,3080.17,183
1565.56,920000,19.8933,-2973.121337890625,15.5748,184,2639.18,184
2578.25,925000,19.4986,-1876.5035400390625,12.2853,185,3356.71,185
3189.79,930000,17.4337,-632.4140625,10.6049,186,3333.78,186
3238.26,935000,18.1777,-524.738525390625,11.7934,187,3392.2,187
2428.95,940000,19.2866,-1665.5623779296875,27.1884,188,3338.02,188
3254.51,945000,18.9711,-1184.5469970703125,11.5576,189,3265.68,189
3374.62,950000,18.3436,-615.1304931640625,12.3115,190,3346.43,190
2100.44,955000,20.7755,-3148.54541015625,17.6163,191,3222.42,191
2980.67,960000,18.8601,-1486.5567626953125,30.6593,192,3412.47,192
3451.4,965000,18.959,-574.468994140625,12.8987,193,3465.66,193
2984.08,970000,20.2217,-1058.3310546875,12.8201,194,3268.93,194
2625.23,975000,20.2206,-1730.418701171875,12.2945,195,3330.36,195
1722.23,980000,18.9788,-1548.060546875,14.8792,196,3096.66,196
3105.78,985000,17.5757,-1230.7427978515625,19.8161,197,3380.38,197
1775.16,990000,19.1803,-2830.87255859375,17.9905,198,3184.05,198
1629.5,995000,17.8023,-1567.6162109375,24.1474,199,331.91,199
