Running Env Steps,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Running Reverse KL,Itration,Real Det Return
215000,43,391.0195,-8439.5048828125,782.03,223.4155,43,747.57
220000,44,373.592,-8447.7548828125,821.76,218.258,44,882.73
225000,45,372.5146,-8580.0458984375,825.46,223.47,45,895.68
230000,46,384.043,-8590.3876953125,911.25,229.857,46,820.7
235000,47,381.0301,-8868.4482421875,1145.0,230.1518,47,711.89
240000,48,379.253,-9133.2685546875,1023.45,217.6949,48,1005.24
245000,49,377.3225,-8761.384765625,1050.29,213.274,49,1031.29
250000,50,374.7867,-9887.58203125,1036.97,240.8098,50,732.89
255000,51,377.53,-9357.802734375,994.85,230.7073,51,861.13
260000,52,375.6197,-9712.80859375,1003.85,222.2267,52,853.96
265000,53,371.1735,-8993.3359375,1035.56,211.3176,53,934.68
270000,54,379.7521,-9262.6396484375,1198.57,217.9384,54,850.65
275000,55,385.428,-9468.650390625,1177.49,221.3641,55,765.81
280000,56,382.5254,-10064.873046875,1197.85,227.9423,56,826.95
285000,57,379.0429,-8991.3095703125,1141.78,217.2231,57,796.78
290000,58,366.1276,-9751.69140625,1048.82,215.8087,58,664.94
295000,59,381.7159,-9995.7939453125,1107.71,220.4802,59,849.9
300000,60,373.7027,-10158.76171875,1098.48,216.2547,60,650.86
305000,61,372.6529,-10001.78515625,1199.71,216.6379,61,738.17
310000,62,372.2149,-9951.966796875,1146.85,212.8883,62,750.43
315000,63,368.0103,-9959.849609375,1361.18,215.7782,63,723.88
320000,64,370.2079,-9504.166015625,1122.02,219.4221,64,668.25
325000,65,369.1241,-9462.642578125,1328.16,209.5134,65,990.07
330000,66,369.2884,-10110.306640625,1504.39,206.6229,66,798.94
335000,67,373.854,-10629.4208984375,1294.55,211.5304,67,1088.89
340000,68,359.9857,-9205.16796875,1289.0,203.6229,68,635.98
345000,69,357.7952,-10526.9033203125,1584.55,205.0181,69,674.32
350000,70,354.1559,-9287.38671875,1606.74,191.0864,70,895.39
355000,71,356.6523,-9546.634765625,1296.97,194.3989,71,682.61
360000,72,358.618,-9839.009765625,1100.18,198.7586,72,646.62
365000,73,358.7323,-9930.134765625,1353.3,199.7236,73,630.08
370000,74,368.7054,-10171.8544921875,1412.06,212.5933,74,934.45
375000,75,359.6357,-10496.8955078125,1576.04,207.5336,75,656.32
380000,76,374.7208,-11212.4736328125,1281.33,209.332,76,592.86
385000,77,365.8313,-10753.5244140625,1625.12,205.8393,77,853.02
390000,78,358.0488,-10744.9501953125,1656.45,219.0982,78,676.95
395000,79,355.3972,-10755.775390625,1641.55,204.4128,79,695.2
400000,80,356.9338,-10108.400390625,1902.52,204.5055,80,756.45
405000,81,376.6231,-10358.943359375,1288.4,199.1231,81,630.58
410000,82,369.4443,-11834.9638671875,1149.63,232.4161,82,587.66
415000,83,352.0764,-10028.998046875,1813.55,188.5323,83,601.91
420000,84,363.5135,-10788.0947265625,1477.19,209.4521,84,641.38
425000,85,366.5668,-11119.568359375,1432.46,218.6343,85,601.87
430000,86,358.498,-9567.4599609375,1807.43,182.497,86,788.61
435000,87,361.6302,-11366.3408203125,1473.92,212.8629,87,686.31
440000,88,373.0086,-10394.1533203125,1803.04,212.7373,88,705.83
445000,89,365.8647,-10210.455078125,2023.09,198.4475,89,566.47
450000,90,360.294,-9852.5537109375,2131.69,197.8169,90,1006.11
455000,91,371.8029,-10840.30859375,1941.12,219.2123,91,1029.46
460000,92,350.5385,-9578.22265625,2702.32,178.0174,92,610.88
465000,93,346.9777,-10132.1201171875,2170.02,177.0437,93,638.25
470000,94,346.7606,-7202.9833984375,2965.37,170.9792,94,666.7
475000,95,342.3478,-9948.744140625,2021.78,191.5824,95,617.75
480000,96,357.1773,-11037.6162109375,2055.24,195.5845,96,922.07
485000,97,341.3365,-8660.72265625,3247.9,163.5664,97,1103.16
490000,98,330.0169,-7005.86181640625,3932.47,154.4103,98,873.74
495000,99,347.0456,-10203.4951171875,2980.49,189.8131,99,1392.68
500000,100,347.0383,-10277.66796875,2399.47,172.9681,100,943.52
505000,101,341.2375,-7782.248046875,3531.5,162.8202,101,809.79
510000,102,334.6477,-7919.3447265625,3511.4,155.5387,102,701.28
515000,103,341.2634,-8745.4033203125,3191.82,167.8023,103,1032.99
520000,104,334.6403,-7826.2578125,4194.43,152.5876,104,879.82
525000,105,339.6198,-7992.16015625,3944.82,156.4796,105,1395.99
530000,106,345.0432,-9291.8056640625,3858.66,168.7227,106,1610.45
535000,107,360.1025,-11208.9482421875,2143.53,186.0951,107,1462.55
540000,108,348.9786,-9325.4765625,3520.76,171.7771,108,1204.04
545000,109,347.0901,-10246.6796875,3526.58,169.5703,109,1154.9
550000,110,348.8465,-10184.96875,3135.89,180.5267,110,780.71
555000,111,340.7764,-9641.1279296875,3698.62,167.6353,111,820.1
560000,112,341.0953,-9533.6748046875,3749.78,160.5999,112,3002.72
565000,113,350.7647,-11115.095703125,4210.37,181.4204,113,1759.25
570000,114,347.2056,-10262.4091796875,4079.72,174.5397,114,1788.51
575000,115,346.5998,-11148.70703125,3922.07,174.2868,115,2532.04
580000,116,371.8287,-12674.9931640625,3077.16,207.7451,116,1540.29
585000,117,370.7906,-12783.185546875,1900.16,210.4108,117,1165.92
590000,118,361.9477,-12149.3154296875,2763.91,204.7839,118,3727.14
595000,119,377.5894,-13521.0166015625,1814.01,229.7059,119,1960.31
600000,120,349.9511,-12032.3984375,3963.26,188.1694,120,1426.05
605000,121,348.4163,-11728.99609375,4436.1,171.5619,121,1495.83
610000,122,350.05,-12118.9228515625,4358.42,189.9541,122,2513.09
615000,123,355.0271,-12275.7490234375,3862.9,191.7301,123,2273.68
620000,124,364.5741,-13459.2041015625,2973.3,215.8844,124,2349.2
625000,125,357.3755,-13328.296875,1573.36,211.0197,125,1310.7
630000,126,353.5457,-12724.6982421875,4268.59,185.6497,126,1139.46
635000,127,378.5527,-14085.0302734375,1767.12,227.8349,127,1497.7
640000,128,359.6872,-13066.2744140625,4451.34,201.5225,128,3606.04
645000,129,348.4936,-12796.8349609375,3349.01,179.2905,129,2496.55
650000,130,365.0635,-14082.9462890625,2950.36,196.1239,130,1432.3
655000,131,343.7947,-12395.6787109375,4620.62,168.5756,131,1330.6
660000,132,358.9523,-13633.1103515625,3717.16,193.3291,132,1860.76
665000,133,350.0522,-13648.8798828125,4584.13,181.3022,133,1976.2
670000,134,341.0509,-12953.8515625,4489.52,166.4665,134,1498.22
675000,135,351.6909,-13729.7041015625,3718.32,179.3171,135,2022.05
680000,136,349.691,-13425.48046875,4440.58,168.8853,136,1081.93
685000,137,353.3115,-14120.35546875,4268.84,190.879,137,2169.61
690000,138,350.2303,-13804.263671875,3451.17,189.9466,138,1560.49
695000,139,364.9053,-15158.154296875,2790.88,209.2829,139,1408.12
700000,140,361.305,-14638.990234375,2707.84,201.4531,140,1379.84
705000,141,357.0823,-15119.962890625,2713.52,215.799,141,1486.88
710000,142,346.4061,-14012.7861328125,3239.19,167.0224,142,1413.58
715000,143,349.2727,-14805.4921875,3678.66,185.3437,143,1596.93
720000,144,355.6412,-14814.0068359375,3686.68,188.3099,144,1817.9
725000,145,357.0291,-14855.9912109375,3591.06,195.2673,145,2564.53
730000,146,354.5118,-14758.8408203125,4458.87,180.2851,146,1568.54
735000,147,348.3191,-14808.65625,3974.83,177.9414,147,947.15
740000,148,356.3747,-14843.021484375,4503.83,181.7282,148,1741.1
745000,149,355.3772,-14847.775390625,4063.06,178.3396,149,3999.33
750000,150,360.3641,-15199.5341796875,3559.7,197.1371,150,2192.69
755000,151,359.7798,-15281.2861328125,3767.84,191.4579,151,1419.12
760000,152,350.2339,-15592.16015625,4559.1,181.1468,152,1954.75
765000,153,352.8336,-15050.232421875,4187.87,180.1894,153,2765.12
770000,154,347.6815,-15255.0927734375,4714.74,179.1091,154,1388.17
775000,155,347.765,-15501.142578125,4163.75,180.4093,155,1371.03
780000,156,352.1187,-15648.125,4194.88,190.3514,156,1600.09
785000,157,347.9431,-15252.822265625,4554.03,176.3525,157,1251.16
790000,158,341.0973,-15433.0615234375,4522.13,162.1472,158,1670.75
795000,159,340.1664,-15089.0908203125,4557.3,165.8635,159,1450.73
800000,160,346.0705,-15511.4833984375,4270.46,172.8217,160,1472.73
805000,161,341.8623,-15338.392578125,4740.78,168.6526,161,2225.77
810000,162,340.7424,-15714.7080078125,4450.91,170.1433,162,1071.19
815000,163,339.7263,-15675.599609375,4575.16,166.4445,163,1365.01
820000,164,344.8874,-15884.857421875,4702.38,177.2289,164,3103.22
825000,165,341.8548,-16195.166015625,4679.97,169.769,165,1215.13
830000,166,347.9098,-15961.59375,4184.96,177.3557,166,1919.08
835000,167,342.0794,-15794.291015625,4712.77,170.5614,167,2585.94
840000,168,341.3568,-16081.5166015625,4767.04,169.4965,168,1567.99
845000,169,340.9136,-15740.2529296875,4696.28,166.3301,169,2476.22
850000,170,344.9604,-16156.259765625,4631.73,170.2751,170,3761.45
855000,171,345.6625,-15880.625,4240.78,178.026,171,2989.49
860000,172,340.9306,-16623.470703125,4808.59,168.5879,172,1673.72
865000,173,336.1544,-16684.501953125,4630.38,167.1422,173,1117.62
870000,174,345.3734,-16509.859375,4548.59,165.8773,174,3502.36
875000,175,345.5614,-16443.732421875,4504.85,171.3244,175,3240.05
880000,176,343.1609,-16396.65234375,4762.22,170.9731,176,2413.99
885000,177,343.337,-16677.845703125,4774.32,172.3872,177,1402.12
890000,178,349.471,-16722.31640625,4412.01,176.5069,178,3152.41
895000,179,343.0721,-16832.431640625,4795.67,167.8308,179,2571.33
900000,180,340.0705,-16857.037109375,4708.66,167.9765,180,2948.66
905000,181,340.7899,-16885.751953125,4770.2,171.6004,181,1827.11
910000,182,342.6844,-16796.279296875,4627.4,172.8204,182,2102.49
915000,183,341.0111,-16784.90625,4797.81,162.5538,183,4563.39
920000,184,347.4548,-16930.48828125,4486.95,176.8419,184,4529.02
925000,185,342.1371,-17224.90234375,4787.99,169.519,185,3282.67
930000,186,341.4828,-17071.345703125,4491.35,165.1626,186,2389.53
935000,187,337.3738,-17254.458984375,4720.04,170.4123,187,1859.8
940000,188,343.248,-17430.896484375,4825.51,175.3,188,1850.36
945000,189,336.5819,-17046.404296875,4413.52,163.5661,189,4580.24
950000,190,340.0914,-17402.5234375,4612.69,176.2167,190,3131.86
955000,191,337.6015,-17372.44140625,4790.4,166.3954,191,2517.23
960000,192,338.8584,-17435.119140625,4812.22,164.7906,192,3494.49
965000,193,340.72,-17331.447265625,4744.49,166.6929,193,2927.42
970000,194,340.7596,-17603.095703125,4695.9,171.9241,194,3249.31
975000,195,335.7599,-17396.822265625,4697.14,165.1257,195,1561.48
980000,196,331.8775,-17428.826171875,4802.14,166.0938,196,3390.06
985000,197,341.3934,-17989.2578125,4856.42,180.0979,197,2576.52
990000,198,339.0327,-17855.568359375,4662.11,171.0889,198,2609.36
995000,199,344.0608,-17934.453125,4799.11,176.2752,199,1553.04
1000000,200,340.5996,-17873.677734375,4762.4,176.5635,200,1774.35
1005000,201,342.3971,-17886.783203125,4802.69,170.2842,201,1535.27
1010000,202,343.1704,-18098.76171875,4757.36,180.2131,202,1609.31
1015000,203,343.7516,-17877.232421875,4663.21,171.4692,203,1819.78
1020000,204,339.3667,-17985.810546875,4802.75,172.0877,204,1672.17
1025000,205,338.3019,-18076.060546875,4624.1,169.8636,205,1996.83
1030000,206,340.0702,-18139.708984375,4440.32,174.8077,206,1138.72
1035000,207,340.085,-18146.3125,4451.32,175.4838,207,725.56
1040000,208,342.6565,-18314.7578125,4835.84,178.2209,208,1158.64
1045000,209,338.98,-18383.091796875,4317.1,176.4036,209,767.87
1050000,210,344.7104,-18082.142578125,3995.36,180.841,210,906.89
1055000,211,341.8449,-18359.837890625,4149.32,176.986,211,829.54
1060000,212,341.2546,-18327.880859375,4272.49,178.8431,212,886.02
1065000,213,343.6403,-18282.234375,3520.83,171.1489,213,798.63
1070000,214,338.3771,-18122.482421875,4842.33,174.1306,214,1551.12
1075000,215,345.2879,-18377.677734375,4493.89,176.913,215,1636.22
1080000,216,338.8045,-18323.603515625,3806.3,175.433,216,1144.61
1085000,217,337.6043,-18529.63671875,3703.27,169.9535,217,1621.78
1090000,218,337.6772,-18524.982421875,4428.8,170.5319,218,1126.81
1095000,219,339.4317,-18518.96875,4187.07,166.6299,219,1342.82
1100000,220,339.4618,-18482.7109375,4255.55,172.9754,220,1750.97
1105000,221,340.2862,-18701.806640625,4020.99,173.5441,221,934.8
1110000,222,346.9643,-18766.361328125,4898.49,182.8163,222,1442.76
1115000,223,346.0831,-18811.1171875,4648.1,185.8338,223,1732.3
1120000,224,340.0468,-18665.974609375,4407.93,169.7344,224,1621.58
1125000,225,339.4772,-18766.978515625,4639.11,180.9617,225,2293.5
1130000,226,342.2983,-18912.8046875,4661.93,186.1341,226,2866.49
1135000,227,340.7294,-18727.787109375,4323.62,170.4607,227,1104.43
1140000,228,341.553,-18794.734375,4855.21,176.5414,228,1104.84
1145000,229,340.525,-18662.5625,4637.51,170.0171,229,1276.52
1150000,230,342.602,-18878.265625,4731.59,179.9738,230,1811.2
1155000,231,341.0732,-18883.962890625,4460.32,176.4943,231,960.22
1160000,232,341.2397,-18819.783203125,4865.22,172.0718,232,1009.81
1165000,233,342.9665,-18964.3359375,4674.42,179.2023,233,1195.37
1170000,234,345.767,-18932.10546875,4780.39,179.586,234,1410.27
1175000,235,350.3832,-19011.326171875,4891.99,184.5496,235,1650.16
1180000,236,344.1898,-18882.140625,4869.63,178.5099,236,1177.2
1185000,237,343.0814,-18771.330078125,4655.79,178.283,237,3483.81
1190000,238,340.3308,-18875.92578125,4675.44,167.4937,238,942.89
1195000,239,343.6075,-18975.15234375,4858.8,178.2727,239,1228.9
1200000,240,343.8236,-19000.66015625,4458.1,176.8265,240,902.43
1205000,241,339.8957,-18843.556640625,4863.86,170.8272,241,1549.46
1210000,242,337.7745,-18742.30078125,4529.17,164.4672,242,2459.28
1215000,243,344.6662,-19014.779296875,4054.8,180.7282,243,1220.82
1220000,244,339.9985,-18801.873046875,4745.25,170.37,244,1566.29
1225000,245,343.1959,-18516.560546875,4209.52,170.1924,245,639.05
1230000,246,339.3948,-18980.869140625,4052.82,170.0959,246,855.12
1235000,247,340.6955,-18810.568359375,4212.72,171.6334,247,985.79
1240000,248,340.17,-18422.22265625,3625.27,176.7298,248,967.89
1245000,249,340.1566,-18684.822265625,4675.08,170.0276,249,1466.04
1250000,250,337.2564,-19064.091796875,3105.96,174.1233,250,670.46
1255000,251,341.0513,-19024.59375,4863.75,171.7084,251,3029.54
1260000,252,347.2726,-18799.375,4379.46,185.8231,252,2985.34
1265000,253,342.0343,-18970.03125,4551.97,183.5815,253,3101.81
1270000,254,350.6839,-18703.96484375,4125.89,186.9268,254,2920.33
1275000,255,344.4917,-18990.578125,4770.22,176.0345,255,2651.56
1280000,256,348.1994,-18604.720703125,3692.8,179.8768,256,4216.79
1285000,257,340.6596,-18617.51953125,3939.8,169.665,257,1124.05
1290000,258,347.3208,-18723.95703125,4888.07,177.2153,258,2149.36
1295000,259,349.2327,-18614.03125,3148.14,182.9314,259,666.2
1300000,260,346.6096,-18396.984375,3642.27,189.8345,260,1079.66
1305000,261,338.3336,-18705.06640625,4197.99,174.8762,261,2228.0
1310000,262,338.2138,-18564.548828125,4094.75,170.0489,262,902.66
1315000,263,334.9403,-18808.29296875,4381.04,160.8047,263,1793.72
1320000,264,345.3309,-18868.455078125,4214.76,174.5813,264,3680.35
1325000,265,343.0889,-19057.248046875,4453.76,175.1858,265,1903.71
1330000,266,338.8747,-18791.068359375,4640.66,165.4265,266,2672.86
1335000,267,343.5559,-19029.8125,4476.44,175.289,267,2329.73
1340000,268,345.1863,-18884.326171875,4435.91,183.2737,268,1390.02
1345000,269,341.2715,-19052.4765625,4749.99,173.5654,269,3072.7
1350000,270,344.4814,-19014.63671875,4584.85,184.6408,270,3211.85
1355000,271,351.9512,-18718.908203125,4440.76,183.3982,271,2656.33
1360000,272,351.1444,-18927.1171875,4553.79,193.5131,272,1839.54
1365000,273,339.2242,-19038.42578125,4582.53,173.3231,273,1943.38
1370000,274,347.898,-19034.986328125,4434.02,179.3287,274,3308.6
1375000,275,350.7219,-19161.244140625,4019.26,184.5216,275,3584.6
1380000,276,344.9515,-19088.232421875,4725.15,181.3078,276,3603.7
1385000,277,347.1077,-19252.033203125,4438.42,185.6379,277,4370.72
1390000,278,343.7078,-19049.083984375,4643.87,175.3105,278,3184.38
1395000,279,351.0569,-18217.048828125,4637.11,174.1721,279,3864.89
1400000,280,349.2256,-19199.18359375,4620.27,176.9963,280,4020.03
1405000,281,351.5558,-18604.220703125,4027.79,181.3748,281,3885.03
1410000,282,346.5856,-18709.50390625,4713.46,170.3562,282,4155.69
1415000,283,354.6655,-18956.642578125,3619.92,188.6543,283,3017.67
1420000,284,351.1673,-19261.958984375,4439.01,187.0469,284,3735.66
1425000,285,349.3525,-18868.041015625,4287.07,174.9033,285,2364.71
1430000,286,350.5814,-19369.322265625,4889.82,192.009,286,4147.85
1435000,287,362.5316,-19334.376953125,4345.44,204.5693,287,4043.79
1440000,288,358.7159,-19357.126953125,4220.27,195.0986,288,4366.82
1445000,289,365.4638,-18547.267578125,3348.54,202.6673,289,3354.36
1450000,290,391.8825,-18204.50390625,2319.47,227.1275,290,1395.61
1455000,291,362.0167,-18875.400390625,3744.38,189.2856,291,1542.66
1460000,292,365.5957,-19025.71484375,2970.4,211.9529,292,1094.9
1465000,293,354.0853,-19054.671875,4261.33,188.4564,293,1544.11
1470000,294,363.7482,-19115.826171875,4089.88,205.7005,294,2531.04
1475000,295,361.9474,-18887.263671875,3101.23,193.9236,295,1756.6
1480000,296,356.9776,-18306.66796875,2657.8,205.2391,296,2079.05
1485000,297,367.6112,-17773.0859375,2157.73,255.3963,297,819.04
1490000,298,343.1212,-18916.748046875,2096.39,165.6493,298,1997.04
1495000,299,345.2796,-18342.119140625,3006.23,167.7964,299,1671.07
1500000,300,348.0838,-17720.35546875,2380.84,175.1323,300,1568.72
1505000,301,344.2431,-18138.619140625,2373.16,160.6106,301,1697.34
1510000,302,367.0642,-17659.1171875,2010.66,216.6372,302,1209.09
1515000,303,356.006,-18241.634765625,2506.8,176.2858,303,2003.13
1520000,304,353.7658,-17978.279296875,3057.91,224.7948,304,2739.14
1525000,305,364.1032,-17928.18359375,3349.77,210.9953,305,3042.8
1530000,306,366.59,-17607.4296875,3412.02,217.4516,306,2983.57
1535000,307,352.2809,-18474.060546875,3283.57,169.3147,307,2001.03
1540000,308,366.7463,-18037.599609375,3240.85,206.4631,308,2881.01
1545000,309,371.1923,-18185.37109375,2088.15,205.982,309,1209.5
1550000,310,373.6202,-17960.365234375,1113.0,233.9295,310,1261.47
1555000,311,372.019,-17392.568359375,1068.29,255.9693,311,643.27
1560000,312,414.2732,-16891.58203125,605.56,261.6693,312,640.88
1565000,313,429.4979,-17080.26171875,441.84,266.7998,313,343.33
1570000,314,389.8624,-17605.4765625,2578.43,222.066,314,1592.72
1575000,315,386.7199,-18139.095703125,2414.48,256.3234,315,1398.19
1580000,316,398.861,-17008.1640625,1661.78,225.2484,316,1035.3
1585000,317,407.4924,-16554.08203125,1624.48,214.2976,317,1040.93
1590000,318,399.637,-17755.23046875,2868.96,253.1999,318,1801.16
1595000,319,394.5319,-17451.46875,2509.55,287.8417,319,1859.03
1600000,320,407.355,-14342.544921875,1838.66,335.597,320,1763.75
1605000,321,399.0199,-17861.0,3021.14,242.4616,321,2713.17
1610000,322,393.7246,-17029.572265625,3495.73,338.0375,322,2066.98
1615000,323,403.064,-15917.5537109375,3027.19,255.337,323,2688.3
1620000,324,401.3675,-18200.572265625,3621.98,262.5077,324,1816.19
1625000,325,422.943,-16275.5791015625,524.03,225.4614,325,144.18
1630000,326,428.6749,-15793.984375,1180.47,253.3803,326,129.43
1635000,327,401.5027,-17502.078125,3436.23,237.7198,327,2180.69
1640000,328,407.9643,-19394.564453125,4219.38,264.5263,328,3721.32
1645000,329,403.902,-18727.630859375,2971.76,237.7538,329,2999.64
1650000,330,399.6471,-18172.80859375,3546.33,235.6579,330,2541.09
1655000,331,403.0539,-18386.005859375,2689.66,280.6297,331,2494.25
1660000,332,397.5624,-17168.384765625,2031.52,240.8025,332,1246.35
1665000,333,419.0487,-17533.484375,2049.66,263.9108,333,2046.65
1670000,334,396.4207,-17097.208984375,3475.73,410.7118,334,2602.89
1675000,335,397.8519,-19572.966796875,3496.8,258.0672,335,3078.08
1680000,336,389.6384,-18488.125,2119.65,253.1525,336,1936.44
1685000,337,420.5983,-17623.310546875,2642.39,298.1298,337,2182.49
1690000,338,417.5791,-18300.298828125,3344.36,275.3044,338,2396.74
1695000,339,414.9218,-17881.7578125,1320.19,302.1515,339,1493.73
1700000,340,402.8219,-18577.580078125,3023.39,266.9093,340,2392.19
1705000,341,434.5732,-17826.0234375,1722.99,354.941,341,1495.19
1710000,342,428.5873,-17248.67578125,649.27,392.8696,342,820.56
1715000,343,431.5641,-16611.26171875,2155.26,437.0129,343,844.58
1720000,344,444.2113,-17905.29296875,399.51,375.9481,344,675.63
1725000,345,508.3506,-17877.646484375,211.66,383.7802,345,270.67
1730000,346,459.1673,-17342.775390625,560.57,400.0395,346,556.58
1735000,347,466.5789,-17705.130859375,598.53,370.4765,347,414.17
1740000,348,519.8688,-16203.6875,192.2,446.9871,348,232.06
1745000,349,438.1644,-15963.0791015625,335.03,413.2781,349,307.72
1750000,350,423.2671,-16571.63671875,466.39,420.3449,350,403.54
1755000,351,477.1108,-16094.15234375,392.67,484.216,351,450.12
1760000,352,449.884,-15655.431640625,529.46,480.3055,352,604.13
1765000,353,454.0116,-16029.0126953125,516.94,474.2769,353,637.05
1770000,354,478.0511,-15834.5224609375,670.99,560.3755,354,414.52
1775000,355,448.4712,-16177.173828125,629.46,480.7487,355,519.78
1780000,356,487.3728,-15890.544921875,255.74,459.7548,356,312.17
1785000,357,471.6672,-16585.767578125,296.45,417.8066,357,387.52
1790000,358,508.2547,-16044.7958984375,250.03,459.0851,358,253.83
1795000,359,517.8477,-16256.4873046875,180.63,462.9891,359,187.51
1800000,360,601.919,-15699.3349609375,151.06,493.7816,360,164.43
1805000,361,579.9848,-17296.87109375,161.85,572.5089,361,159.82
1810000,362,521.4834,-16832.546875,197.41,618.6107,362,203.04
1815000,363,460.4998,-17765.19140625,305.69,649.0952,363,290.64
1820000,364,497.3764,-16789.421875,175.78,529.2363,364,212.59
1825000,365,475.3719,-18992.8203125,514.82,984.1061,365,447.53
1830000,366,478.4717,-18341.193359375,235.38,602.0887,366,257.75
1835000,367,576.5342,-19014.9765625,116.66,1305.9308,367,111.87
1840000,368,581.4878,-16199.046875,125.92,540.101,368,169.76
1845000,369,567.8011,-18654.0,133.77,968.5551,369,129.97
1850000,370,569.5592,-17087.951171875,129.85,726.9514,370,135.27
1855000,371,583.4533,-17106.98828125,123.05,690.6341,371,129.86
1860000,372,630.8068,-17503.671875,100.97,1123.275,372,99.1
1865000,373,634.3673,-17403.703125,110.9,531.5252,373,110.82
1870000,374,631.9207,-17192.802734375,82.42,586.2852,374,83.67
1875000,375,618.4712,-17885.736328125,83.04,799.1224,375,83.78
1880000,376,640.0226,-17780.435546875,78.34,716.7021,376,79.15
1885000,377,643.9044,-17719.01953125,79.83,512.9769,377,78.67
1890000,378,633.4334,-17709.47265625,63.7,447.8233,378,63.69
1895000,379,646.6742,-17170.451171875,63.33,529.3331,379,62.84
1900000,380,629.9219,-18075.01953125,63.35,505.8848,380,62.79
1905000,381,628.5031,-17750.806640625,63.97,484.5106,381,63.77
1910000,382,635.0015,-17885.634765625,63.79,453.2116,382,63.66
1915000,383,633.7892,-17858.166015625,63.89,604.5911,383,63.86
1920000,384,617.9382,-17986.279296875,64.32,481.0848,384,64.31
1925000,385,602.5469,-18401.8359375,64.22,571.2719,385,64.38
1930000,386,632.0574,-18637.41015625,62.71,706.7167,386,63.14
1935000,387,628.8383,-18300.865234375,64.32,555.9903,387,64.3
1940000,388,620.6112,-18542.361328125,64.39,524.8857,388,64.41
1945000,389,620.387,-18656.24609375,63.66,477.9306,389,63.14
1950000,390,635.7657,-18769.291015625,63.17,535.1037,390,63.49
1955000,391,623.5388,-19128.505859375,63.66,559.0037,391,63.21
1960000,392,636.6205,-19073.66015625,63.58,633.0185,392,63.9
1965000,393,645.7962,-18992.97265625,63.86,538.088,393,63.63
1970000,394,597.6765,-19174.939453125,63.74,547.4663,394,64.1
1975000,395,623.8485,-19114.95703125,65.9,492.0951,395,65.59
1980000,396,631.3077,-19086.6328125,70.8,581.0704,396,70.77
1985000,397,614.6096,-19139.748046875,123.18,465.2683,397,123.79
1990000,398,595.8586,-19228.357421875,154.6,496.0876,398,158.09
