Real Det Return,Running Env Steps,Running Update Time,Running Forward KL,Itration,Real Sto Return,Reward Loss,Running Reverse KL
3267.62,675000,135,19.9427,135,3175.12,-378.4651184082031,12.1311
3191.03,680000,136,22.3983,136,3171.28,-510.8628234863281,13.5023
3241.75,685000,137,20.7332,137,3199.77,-516.9486694335938,11.7059
3201.41,690000,138,20.4397,138,2945.7,-894.1688232421875,11.3015
3268.8,695000,139,19.0294,139,3070.83,-561.872802734375,10.3813
3206.25,700000,140,19.9976,140,2420.14,-643.2518920898438,11.5252
3186.77,705000,141,20.7747,141,3190.6,-791.2979125976562,12.2335
3314.05,710000,142,18.6047,142,3158.44,-434.25537109375,11.53
3196.6,715000,143,20.3609,143,3179.52,-626.4664916992188,11.866
3266.69,720000,144,18.4576,144,2692.29,-517.7888793945312,10.0809
3233.0,725000,145,19.0105,145,2761.71,-857.392578125,11.0248
3238.66,730000,146,19.326,146,3229.96,-608.5919799804688,11.4172
3216.53,735000,147,21.3785,147,3207.37,-749.0777587890625,12.4551
3306.9,740000,148,19.5288,148,2623.57,-762.0018310546875,11.5922
3258.44,745000,149,19.0873,149,3238.62,-595.1770629882812,11.2494
3107.37,750000,150,20.3226,150,2076.87,-900.4086303710938,16.3963
3176.63,755000,151,19.999,151,2794.53,-939.945068359375,14.5651
3190.31,760000,152,20.3429,152,3178.68,-693.51220703125,11.0537
3172.32,765000,153,19.2943,153,2954.66,-617.4453735351562,10.1142
3239.3,770000,154,20.3249,154,2934.55,-686.9763793945312,13.3075
3218.51,775000,155,20.2566,155,2837.49,-760.768310546875,12.0901
3244.27,780000,156,19.9821,156,2730.01,-1410.7562255859375,11.248
3233.35,785000,157,20.2195,157,2888.82,-619.218994140625,12.1812
3278.78,790000,158,19.3,158,3115.79,-1210.185791015625,10.3815
3264.65,795000,159,19.8392,159,2994.89,-776.947998046875,11.2269
3236.12,800000,160,20.1941,160,2938.08,-533.2032470703125,12.896
3176.3,805000,161,20.9616,161,3165.22,-807.6353149414062,11.5652
3257.08,810000,162,20.5683,162,2819.54,-522.4805908203125,12.6723
3233.64,815000,163,19.109,163,2966.69,-622.4829711914062,10.8677
3240.98,820000,164,20.9672,164,3186.14,-714.8580322265625,11.4349
3264.89,825000,165,20.2188,165,3245.57,-486.0012512207031,12.3935
3272.21,830000,166,20.4152,166,1761.31,-639.5115966796875,11.8906
3371.86,835000,167,18.9721,167,3354.66,-487.2400207519531,11.1288
3248.15,840000,168,21.0172,168,2810.42,-810.7174072265625,11.9605
3317.6,845000,169,20.24,169,3187.55,-582.581787109375,11.3787
3254.19,850000,170,20.2146,170,2952.44,-745.6317749023438,12.8812
3317.26,855000,171,20.0652,171,3276.02,-459.2967224121094,11.5755
3265.51,860000,172,19.8358,172,2204.57,-1052.7974853515625,10.9664
3202.76,865000,173,20.1367,173,2584.36,-749.14208984375,11.3367
500.64,870000,174,25.8315,174,689.55,-2793.512939453125,12.7662
3312.47,875000,175,21.8638,175,2433.31,-2913.5205078125,12.474
776.34,880000,176,23.527,176,769.44,-3541.26806640625,15.1898
3310.5,885000,177,20.1757,177,2929.02,-900.2887573242188,11.462
3305.79,890000,178,18.3054,178,2617.68,-543.2051391601562,9.4583
3310.43,895000,179,19.5327,179,1918.44,-1498.7652587890625,9.8436
3309.31,900000,180,19.4906,180,2657.27,-963.9454956054688,11.0445
3384.24,905000,181,19.7477,181,2559.37,-1060.1962890625,11.226
3357.9,910000,182,19.9335,182,3181.64,-759.190185546875,11.4101
3324.37,915000,183,19.0649,183,3105.26,-861.04541015625,9.6486
3331.44,920000,184,18.8618,184,3033.26,-993.4548950195312,9.8868
2780.85,925000,185,20.7803,185,2164.45,-1478.6112060546875,11.6807
3372.49,930000,186,19.7132,186,2399.39,-1096.7276611328125,10.1173
3199.71,935000,187,19.8437,187,2937.82,-1240.8487548828125,10.8922
3421.58,940000,188,17.2063,188,3129.56,-891.841552734375,9.7209
3343.36,945000,189,18.4281,189,3260.62,-724.6083984375,10.7007
3285.26,950000,190,19.0108,190,3309.05,-426.8017272949219,11.0467
3226.72,955000,191,19.351,191,3132.01,-744.5218505859375,10.8876
3405.11,960000,192,18.8566,192,3194.55,-621.495849609375,10.8024
3245.91,965000,193,19.7098,193,3174.58,-849.9882202148438,10.2519
3185.52,970000,194,20.5814,194,3047.52,-1088.800048828125,10.1953
3229.33,975000,195,19.7965,195,3224.77,-771.6094970703125,11.2031
3212.69,980000,196,18.3379,196,3228.52,-616.880859375,10.5691
3172.68,985000,197,19.9279,197,2972.41,-1486.0189208984375,11.8331
3232.59,990000,198,18.9361,198,3142.92,-463.14373779296875,10.5066
3384.94,995000,199,18.0296,199,3026.24,-908.5350952148438,9.6851
