Real Det Return,Itration,Running Forward KL,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return,Running Update Time
1160.25,65,45.2385,325000,20.7604,-3843.14306640625,1365.87,65
1655.48,66,45.8169,330000,20.349,-3988.55322265625,1367.25,66
1348.14,67,44.9747,335000,16.8947,-3765.268310546875,1472.59,67
1574.4,68,45.7972,340000,15.2412,-4145.04541015625,1356.28,68
3077.87,69,45.0218,345000,16.3576,-3422.031494140625,2127.96,69
3154.27,70,44.9742,350000,19.233,-3850.19580078125,1848.91,70
1452.96,71,45.3521,355000,16.8532,-3987.062255859375,1397.43,71
959.82,72,45.7676,360000,19.6212,-3914.54736328125,1103.16,72
1919.3,73,44.6432,365000,15.2475,-4080.924560546875,1452.87,73
1643.02,74,45.4433,370000,14.2497,-4009.795166015625,1367.76,74
1164.82,75,45.4986,375000,13.8441,-4065.381591796875,1248.6,75
1796.41,76,44.8428,380000,14.9057,-3968.85498046875,1582.87,76
1817.36,77,45.0911,385000,13.7913,-3919.761962890625,1538.81,77
3342.76,78,44.7379,390000,14.1173,-3681.44384765625,2216.54,78
2617.89,79,45.3086,395000,15.5621,-4035.71630859375,2099.35,79
1427.45,80,45.2188,400000,14.2424,-4262.6376953125,1371.18,80
1453.81,81,44.9635,405000,13.7792,-4474.826171875,1356.86,81
2537.96,82,45.2854,410000,16.0385,-3988.180419921875,2055.64,82
1587.09,83,45.2619,415000,15.8844,-4348.74072265625,1423.8,83
1862.44,84,45.0819,420000,22.4192,-4445.2998046875,1489.34,84
2393.86,85,44.7657,425000,14.5445,-4113.53271484375,1699.97,85
2466.36,86,45.4355,430000,15.4493,-3745.962646484375,1602.39,86
1608.14,87,45.3848,435000,15.0009,-4821.31787109375,1375.65,87
2739.91,88,44.9741,440000,14.5389,-4822.244140625,1628.7,88
2143.59,89,44.9558,445000,14.3559,-5059.5146484375,1585.17,89
3324.51,90,44.5866,450000,14.96,-4182.10986328125,2419.34,90
2284.25,91,45.4023,455000,15.6284,-4794.41259765625,1608.67,91
1905.32,92,44.9797,460000,14.2725,-4990.369140625,1571.72,92
3442.18,93,44.5695,465000,15.9986,-3929.551025390625,2353.17,93
2417.96,94,44.4244,470000,14.8322,-4560.84912109375,1883.27,94
3442.44,95,45.1403,475000,15.8389,-4926.87548828125,1837.89,95
1586.93,96,45.1229,480000,15.1623,-5167.85546875,1775.18,96
1866.64,97,45.3753,485000,15.0897,-5240.5087890625,1606.93,97
3453.38,98,45.2547,490000,18.4271,-3407.930419921875,2594.22,98
2159.22,99,45.2113,495000,13.9074,-5260.87744140625,1681.88,99
2042.15,100,45.3859,500000,14.5573,-5063.49169921875,1735.72,100
3572.81,101,45.2498,505000,16.6772,-4730.15478515625,2140.28,101
1817.09,102,45.5007,510000,14.4779,-5520.634765625,1456.52,102
2720.4,103,45.2643,515000,14.1605,-5424.4677734375,2069.23,103
3548.1,104,45.2608,520000,17.1231,-4377.736328125,2423.88,104
3106.01,105,44.6386,525000,15.9721,-4939.52197265625,2203.0,105
2545.34,106,45.1352,530000,13.9742,-5702.94384765625,2066.91,106
3503.42,107,45.5278,535000,15.6825,-5891.03857421875,1707.88,107
3318.51,108,45.4903,540000,20.1842,-5104.708984375,2165.71,108
2843.85,109,45.3311,545000,16.8585,-5816.5283203125,1784.3,109
2436.58,110,44.5891,550000,15.8697,-5833.39794921875,2537.64,110
2434.27,111,44.9863,555000,15.4159,-5747.2890625,1909.45,111
3061.05,112,45.3549,560000,16.3662,-5659.90380859375,1762.1,112
2231.01,113,44.8867,565000,16.1012,-5189.01513671875,2085.8,113
1849.16,114,44.397,570000,14.7933,-5977.30419921875,1687.21,114
2467.99,115,45.3629,575000,16.4916,-6153.6279296875,1848.4,115
2807.66,116,45.2964,580000,17.1429,-4479.73388671875,2529.99,116
2904.91,117,45.4345,585000,16.268,-4616.1025390625,2275.54,117
3620.42,118,44.8667,590000,20.2969,-3641.5869140625,3289.54,118
3654.1,119,44.7595,595000,20.8541,-3434.24462890625,3589.18,119
3519.12,120,44.3728,600000,15.6751,-5159.93896484375,2863.33,120
3472.39,121,45.5883,605000,18.0103,-4030.53759765625,3118.76,121
3583.99,122,45.1594,610000,18.0577,-3806.544189453125,3318.27,122
3515.39,123,46.0804,615000,20.9762,-3850.992431640625,3413.2,123
3412.34,124,45.9666,620000,19.5734,-3781.709716796875,3353.67,124
3394.56,125,46.2033,625000,21.2478,-3695.643798828125,3395.83,125
3246.5,126,45.8518,630000,18.5724,-4299.91259765625,2845.21,126
3406.84,127,46.593,635000,23.6561,-3963.5234375,3376.6,127
1705.98,128,47.251,640000,33.3789,-6456.46484375,1322.47,128
2579.24,129,45.8974,645000,21.9763,-5862.10498046875,1842.63,129
1550.69,130,45.9309,650000,20.4114,-6550.3759765625,1568.69,130
1301.23,131,45.8314,655000,23.3365,-7190.91357421875,1359.86,131
1561.21,132,45.5251,660000,46.2176,-7251.859375,1431.33,132
1328.35,133,45.1969,665000,24.2367,-7313.115234375,1241.84,133
2966.85,134,44.6043,670000,19.7856,-4293.037109375,2680.37,134
2605.62,135,45.7696,675000,21.5731,-5482.61279296875,2404.02,135
1320.9,136,46.7411,680000,37.0014,-6436.43359375,1260.96,136
1218.33,137,46.6585,685000,19.6676,-6461.44970703125,1184.47,137
988.84,138,48.1435,690000,18.6033,-7919.75146484375,873.26,138
670.6,139,48.8354,695000,24.7022,-9657.8857421875,720.51,139
669.27,140,48.5255,700000,19.2672,-9650.28515625,667.71,140
643.5,141,46.9967,705000,20.8752,-8577.330078125,737.96,141
825.44,142,46.9193,710000,17.0576,-8284.0703125,901.81,142
771.93,143,47.5745,715000,17.332,-9165.66796875,1078.72,143
1262.33,144,46.1618,720000,17.0213,-8051.6865234375,1040.51,144
1872.89,145,47.4663,725000,19.5091,-7129.85595703125,1996.45,145
2993.32,146,47.7787,730000,22.9476,-5334.4912109375,2787.81,146
2904.43,147,47.5904,735000,25.1255,-5475.7880859375,2720.42,147
2806.28,148,46.494,740000,21.7377,-5948.0419921875,2275.22,148
2806.67,149,46.5143,745000,20.9306,-6366.2587890625,2876.87,149
2847.67,150,46.5496,750000,18.233,-6708.2666015625,2539.95,150
2487.23,151,47.3812,755000,21.7949,-6258.11865234375,2637.51,151
3108.73,152,47.538,760000,22.1373,-5750.3369140625,2979.95,152
1015.21,153,47.35,765000,24.7249,-8863.138671875,1219.52,153
1190.46,154,46.1777,770000,26.8799,-7143.77685546875,1583.88,154
1570.29,155,46.0935,775000,34.7301,-8723.6640625,1215.62,155
1835.28,156,46.2514,780000,19.1106,-7675.20166015625,1618.03,156
1047.08,157,47.4041,785000,27.9536,-8330.7236328125,1000.82,157
1268.97,158,45.9471,790000,15.1402,-8910.3076171875,1123.13,158
1415.74,159,46.516,795000,14.7517,-9447.193359375,1343.85,159
948.21,160,46.4926,800000,16.6942,-10007.3837890625,996.42,160
1069.78,161,46.3724,805000,19.7489,-7955.0322265625,1056.83,161
970.94,162,47.1168,810000,19.5344,-9748.5986328125,1083.72,162
844.86,163,48.4354,815000,22.059,-11095.7255859375,901.6,163
948.85,164,47.3586,820000,38.9264,-10258.3310546875,1098.95,164
2660.93,165,47.4053,825000,32.0299,-9610.8603515625,1544.69,165
1448.49,166,46.4078,830000,38.8734,-10744.1572265625,1158.36,166
1160.87,167,45.9608,835000,31.029,-9943.509765625,1256.62,167
3366.14,168,45.5507,840000,19.4228,-8660.873046875,1868.24,168
3225.42,169,46.2193,845000,22.7093,-5809.3779296875,3272.67,169
3212.44,170,46.4481,850000,21.0246,-6359.84130859375,3139.03,170
23.47,171,46.6701,855000,22.4699,-7698.63720703125,1810.72,171
3124.42,172,45.457,860000,18.3433,-7462.35595703125,2172.17,172
1416.47,173,46.3026,865000,22.1194,-7219.20068359375,2751.32,173
3307.55,174,46.5455,870000,22.2395,-6310.83447265625,2947.9,174
3337.27,175,46.118,875000,22.428,-6359.23388671875,3321.61,175
3200.97,176,47.459,880000,24.869,-6295.78271484375,3199.94,176
2963.17,177,46.6656,885000,25.0893,-7532.88671875,2680.99,177
3256.38,178,46.689,890000,22.9438,-6372.32666015625,3237.63,178
3276.25,179,46.3323,895000,20.0855,-6240.9765625,3154.96,179
3395.51,180,46.4235,900000,22.1167,-6615.544921875,3370.61,180
3266.75,181,46.751,905000,21.7983,-6245.435546875,3278.78,181
3431.24,182,46.9882,910000,25.5938,-6333.0283203125,3387.74,182
3408.88,183,46.2891,915000,20.7525,-6739.10595703125,3190.73,183
3408.77,184,46.3826,920000,20.6105,-6252.046875,3404.66,184
3495.26,185,47.385,925000,27.533,-6541.326171875,3486.57,185
1850.59,186,46.531,930000,22.2674,-9283.5048828125,2336.32,186
3507.08,187,45.3743,935000,21.2688,-8244.29296875,2923.43,187
2852.9,188,45.4125,940000,21.2622,-7167.48291015625,2857.43,188
3514.32,189,45.1153,945000,17.9814,-6926.28076171875,3371.13,189
3217.51,190,44.5757,950000,18.6109,-6613.9140625,3282.51,190
3494.3,191,47.5129,955000,25.4799,-6793.4580078125,3373.2,191
3567.03,192,46.5403,960000,23.9057,-6658.01806640625,3548.37,192
3623.96,193,45.3536,965000,20.6184,-6690.6826171875,3509.52,193
3425.98,194,46.8477,970000,24.4057,-7072.4248046875,3392.5,194
3488.27,195,46.2053,975000,22.2094,-6912.35009765625,3299.78,195
3101.92,196,45.6363,980000,27.283,-7986.212890625,2901.45,196
3487.66,197,46.3348,985000,23.5957,-7318.24609375,3361.8,197
3537.74,198,44.708,990000,19.624,-7237.2275390625,3406.99,198
3139.67,199,44.5062,995000,21.8314,-8029.27392578125,3122.73,199
3398.97,200,44.1228,1000000,18.2237,-7083.8056640625,3432.07,200
3564.08,201,45.1129,1005000,21.2774,-7520.2041015625,3482.34,201
3655.71,202,45.3441,1010000,21.4742,-6965.09033203125,3511.96,202
3542.95,203,45.8942,1015000,21.093,-7099.99658203125,3533.98,203
3448.84,204,45.6573,1020000,20.4001,-7611.0732421875,3392.13,204
3547.15,205,45.8937,1025000,22.3584,-7417.14501953125,3349.11,205
3735.28,206,45.6963,1030000,21.9923,-8138.66357421875,3304.1,206
3330.77,207,45.9198,1035000,23.3306,-9384.7392578125,3320.28,207
3592.61,208,44.6089,1040000,20.3537,-7945.14404296875,3317.0,208
3500.29,209,44.3046,1045000,19.0752,-8203.1337890625,3443.25,209
3601.93,210,44.5125,1050000,18.7046,-7622.3916015625,3543.87,210
3703.27,211,44.0633,1055000,17.5088,-7595.27197265625,3654.68,211
3678.83,212,44.2734,1060000,19.6933,-7379.6298828125,3661.07,212
3699.09,213,44.7789,1065000,22.3439,-7266.47900390625,3693.56,213
3304.47,214,44.6626,1070000,19.7975,-7811.3916015625,3443.26,214
3495.87,215,45.1197,1075000,19.3291,-7980.6611328125,3198.14,215
3518.92,216,44.045,1080000,18.3892,-8680.78125,2911.13,216
3437.67,217,46.0283,1085000,22.4056,-9048.1123046875,3223.66,217
2760.27,218,45.8334,1090000,31.5144,-10843.9677734375,1999.67,218
3590.71,219,45.426,1095000,51.6287,-9565.57421875,3119.56,219
2985.55,220,46.3266,1100000,20.7178,-9047.1005859375,2422.91,220
3505.96,221,45.1664,1105000,20.0913,-8916.8310546875,3494.3,221
3561.72,222,43.8726,1110000,17.5313,-9085.7646484375,3560.04,222
3330.28,223,44.314,1115000,30.4351,-10561.857421875,3434.49,223
3607.38,224,44.0729,1120000,18.3536,-8633.248046875,3309.64,224
12.13,225,55.9296,1125000,31.8081,-16916.376953125,52.88,225
94.41,226,46.8052,1130000,44.932,-12925.6669921875,445.87,226
183.62,227,55.0725,1135000,72.5867,-15970.5869140625,81.56,227
3336.77,228,46.4342,1140000,23.8314,-9521.5791015625,2874.01,228
-18.47,229,57.6356,1145000,154.5283,-16168.8974609375,-18.34,229
-17.42,230,57.19,1150000,67.5539,-15681.212890625,-14.44,230
83.72,231,54.6966,1155000,48.4666,-15619.591796875,101.17,231
360.79,232,54.1809,1160000,60.3301,-16434.078125,369.47,232
38.31,233,47.7217,1165000,33.5382,-15258.6494140625,233.25,233
3122.03,234,47.3717,1170000,20.9637,-11395.58984375,2374.87,234
3030.16,235,46.7355,1175000,23.18,-10329.9326171875,2471.96,235
795.16,236,47.3323,1180000,41.1771,-14607.2177734375,954.7,236
1455.59,237,46.9642,1185000,29.3383,-13887.0380859375,1262.07,237
1645.93,238,46.2463,1190000,35.1709,-13747.9111328125,1500.85,238
1341.36,239,47.0102,1195000,44.3475,-13733.57421875,1774.54,239
1820.28,240,46.9414,1200000,17.7896,-15083.154296875,1654.93,240
1524.05,241,46.7352,1205000,44.6783,-14501.041015625,1817.71,241
2279.05,242,44.6756,1210000,36.7712,-12682.591796875,1667.08,242
3526.66,243,44.5374,1215000,22.6296,-10113.060546875,2757.63,243
3647.42,244,46.4553,1220000,24.029,-9614.0498046875,3479.34,244
3552.71,245,45.4935,1225000,22.1987,-9674.4833984375,3484.23,245
111.23,246,55.9304,1230000,68.7195,-18413.44921875,103.99,246
202.16,247,55.1579,1235000,70.5354,-19016.951171875,184.86,247
633.31,248,49.8507,1240000,186.1592,-19029.779296875,868.03,248
193.21,249,49.2087,1245000,49.2698,-18356.7265625,178.42,249
3347.51,250,45.0737,1250000,20.7024,-9910.57421875,3244.95,250
3519.94,251,44.659,1255000,20.7491,-9880.4755859375,3544.11,251
3558.67,252,44.5788,1260000,19.612,-9999.8486328125,3530.12,252
3636.14,253,44.4787,1265000,20.1474,-10066.4716796875,3560.22,253
3603.09,254,44.9705,1270000,21.0683,-10084.830078125,3595.08,254
3594.13,255,45.0845,1275000,20.578,-10190.583984375,3557.28,255
3624.31,256,45.0696,1280000,21.3399,-10322.9970703125,3572.56,256
3663.18,257,45.0823,1285000,21.2303,-10132.0078125,3598.52,257
3658.09,258,44.7082,1290000,18.6858,-10402.0068359375,3526.06,258
3709.84,259,44.9803,1295000,18.8865,-10073.171875,3654.76,259
3644.34,260,45.0821,1300000,27.3457,-12186.4326171875,3456.74,260
3647.97,261,44.4217,1305000,17.7445,-10159.8798828125,3678.57,261
3780.33,262,44.1803,1310000,17.9912,-10252.583984375,3697.41,262
3684.57,263,43.9267,1315000,16.724,-10451.548828125,3653.08,263
3722.13,264,44.201,1320000,18.4148,-10346.921875,3687.96,264
3754.32,265,43.9035,1325000,17.3295,-10380.923828125,3693.06,265
3690.66,266,44.5206,1330000,18.3892,-10768.2080078125,3672.01,266
3715.16,267,45.0683,1335000,18.8415,-10654.0146484375,3690.77,267
3846.2,268,45.2191,1340000,20.0523,-10522.8486328125,3765.65,268
3826.26,269,45.0694,1345000,20.0667,-10761.119140625,3716.95,269
3814.27,270,44.8864,1350000,19.1401,-10863.61328125,3743.53,270
3656.4,271,44.933,1355000,18.7938,-11119.8837890625,3563.15,271
3719.73,272,44.4149,1360000,19.6311,-11191.3623046875,3694.82,272
3732.99,273,44.5157,1365000,19.7339,-11081.48046875,3738.17,273
3690.12,274,45.0059,1370000,19.6899,-10967.650390625,3668.48,274
3662.54,275,44.6429,1375000,19.6575,-11119.3662109375,3666.13,275
2900.05,276,45.1449,1380000,39.0353,-13379.9228515625,2534.14,276
-8.98,277,48.3588,1385000,129.8703,-21745.537109375,-13.93,277
3448.58,278,45.5677,1390000,22.7712,-11882.0185546875,3451.73,278
996.97,279,57.0332,1395000,52.8591,-19965.880859375,993.11,279
633.49,280,48.4403,1400000,39.5755,-20439.287109375,466.39,280
993.45,281,49.5644,1405000,49.5376,-20385.634765625,921.19,281
3441.15,282,45.1926,1410000,21.7543,-12651.0478515625,3343.51,282
2968.14,283,46.4585,1415000,29.0103,-15954.625,2299.58,283
3420.76,284,45.121,1420000,21.6911,-12393.1416015625,3403.22,284
3474.45,285,44.6812,1425000,19.5403,-12542.74609375,3463.6,285
3561.8,286,44.7499,1430000,19.2748,-12217.525390625,3483.62,286
3560.92,287,44.7804,1435000,20.0242,-12367.5380859375,3466.21,287
3804.79,288,44.8256,1440000,21.1238,-11793.193359375,3673.68,288
1139.53,289,45.9709,1445000,31.018,-18379.67578125,2005.42,289
3705.12,290,45.7139,1450000,21.8786,-12444.9716796875,3670.16,290
3828.8,291,45.073,1455000,21.5056,-12165.6826171875,3794.45,291
3814.38,292,45.1515,1460000,21.1174,-12186.1064453125,3799.48,292
3854.51,293,44.9529,1465000,20.666,-12275.595703125,3819.13,293
3864.99,294,44.7854,1470000,19.9997,-12591.380859375,3622.36,294
3826.72,295,44.8259,1475000,18.6753,-12715.4619140625,3782.81,295
3883.91,296,44.323,1480000,18.284,-12485.107421875,3800.32,296
3863.62,297,44.8317,1485000,19.2252,-12736.71875,3764.3,297
3852.12,298,44.4516,1490000,18.0121,-12634.6201171875,3724.06,298
3834.58,299,44.5869,1495000,18.8745,-12657.09765625,3772.63,299
3838.79,300,44.8549,1500000,18.4366,-13467.349609375,3740.85,300
3899.3,301,44.3541,1505000,18.3723,-12825.37890625,3736.98,301
3810.61,302,44.2196,1510000,18.7553,-13017.1279296875,3781.87,302
3894.52,303,44.6607,1515000,19.5809,-12896.3837890625,3836.52,303
3917.73,304,45.1915,1520000,21.3817,-13167.5595703125,3760.2,304
3981.72,305,44.4691,1525000,19.9445,-12835.5380859375,3916.86,305
3960.48,306,44.3825,1530000,21.1284,-12875.9306640625,3885.61,306
3996.06,307,44.4125,1535000,22.2424,-13112.7958984375,3941.67,307
4049.09,308,44.434,1540000,21.78,-12829.24609375,4000.9,308
4009.1,309,44.2567,1545000,20.9753,-12723.8564453125,3967.43,309
4074.37,310,44.4832,1550000,21.3057,-13052.0732421875,4032.0,310
3998.13,311,44.1911,1555000,21.1886,-13110.22265625,3865.85,311
4080.96,312,44.4058,1560000,21.7427,-13491.3916015625,3899.92,312
4138.43,313,44.0,1565000,21.2286,-12778.4453125,3939.21,313
3982.87,314,44.5339,1570000,20.6302,-13196.55078125,3955.01,314
4010.37,315,43.7166,1575000,19.9604,-13114.78515625,3881.01,315
4108.67,316,44.0936,1580000,20.4446,-13458.765625,4054.36,316
3982.97,317,43.2103,1585000,19.1028,-13378.0244140625,3904.27,317
4120.32,318,43.5796,1590000,19.0587,-13573.8330078125,3935.39,318
3948.74,319,43.4912,1595000,18.9823,-13458.6337890625,3732.09,319
4000.31,320,44.0399,1600000,19.8748,-13506.7666015625,3955.86,320
3971.03,321,43.7158,1605000,19.3255,-14223.025390625,3850.1,321
3941.16,322,43.7759,1610000,18.1596,-13834.2900390625,3945.41,322
3831.38,323,43.7893,1615000,18.8686,-13928.0546875,3909.68,323
4078.81,324,43.6573,1620000,19.1642,-13783.287109375,3997.42,324
4105.33,325,43.6408,1625000,18.4185,-13575.001953125,4055.27,325
4053.39,326,43.8398,1630000,19.0598,-13884.802734375,3999.45,326
4084.09,327,43.4204,1635000,20.1934,-14256.6669921875,4038.05,327
4019.92,328,43.5393,1640000,18.9716,-13994.5029296875,4017.65,328
4090.94,329,44.5226,1645000,21.0997,-14382.24609375,4054.1,329
4268.5,330,43.6213,1650000,21.5251,-13806.5498046875,4183.49,330
4200.22,331,43.9109,1655000,20.8579,-14030.6611328125,4129.17,331
4098.54,332,43.5863,1660000,19.0161,-14496.361328125,4061.31,332
4091.39,333,43.7603,1665000,20.5446,-14717.2421875,4078.56,333
4070.29,334,43.8837,1670000,18.4313,-15049.2021484375,3870.28,334
3994.04,335,43.343,1675000,19.3572,-14810.4775390625,3988.01,335
3921.37,336,43.1242,1680000,16.9967,-15230.4658203125,3873.69,336
3901.83,337,42.814,1685000,16.7945,-15174.8271484375,3799.13,337
3836.94,338,43.133,1690000,17.2584,-16156.796875,3844.26,338
3897.82,339,43.1942,1695000,18.3187,-17491.185546875,3401.33,339
3788.3,340,42.1832,1700000,15.6811,-15451.271484375,3645.54,340
3899.63,341,42.9006,1705000,15.8981,-15785.1259765625,3631.31,341
3891.27,342,43.5025,1710000,16.9367,-15771.4755859375,3675.62,342
3880.83,343,42.5451,1715000,17.099,-15813.2978515625,3753.18,343
3977.51,344,42.7632,1720000,17.2873,-15314.435546875,3916.57,344
3976.56,345,42.9999,1725000,17.9372,-15193.3896484375,3989.45,345
4050.53,346,42.7126,1730000,17.6722,-15194.9404296875,3925.29,346
3980.76,347,43.7478,1735000,35.4495,-21891.509765625,3182.33,347
3962.04,348,43.2719,1740000,18.073,-15872.154296875,3920.1,348
3963.01,349,43.0143,1745000,19.0545,-15999.6796875,3951.01,349
3945.15,350,42.2082,1750000,16.5859,-15635.4072265625,3617.93,350
2537.47,351,43.5369,1755000,18.2818,-17642.228515625,2975.63,351
3476.88,352,43.3354,1760000,17.8409,-18298.22265625,3210.26,352
1117.63,353,44.4246,1765000,19.5056,-22125.078125,3332.54,353
280.51,354,43.9881,1770000,25.075,-23165.12109375,772.73,354
3679.08,355,43.42,1775000,17.6901,-16484.26953125,3880.8,355
4078.01,356,43.0956,1780000,16.9356,-16259.0498046875,3875.28,356
4194.64,357,43.0296,1785000,19.53,-16463.544921875,4100.86,357
3994.5,358,43.4303,1790000,18.7437,-16775.462890625,4065.98,358
4120.57,359,42.8882,1795000,18.387,-16055.4248046875,4149.41,359
4212.2,360,43.0251,1800000,19.2747,-16810.060546875,4115.89,360
4078.41,361,43.358,1805000,18.3202,-16402.939453125,4045.9,361
4008.01,362,43.3411,1810000,17.8098,-16776.580078125,3855.0,362
4013.25,363,43.8069,1815000,19.3921,-17459.33984375,4003.9,363
3979.96,364,43.4176,1820000,19.135,-17214.818359375,4016.31,364
3982.02,365,43.7365,1825000,19.5408,-17724.673828125,4043.83,365
4105.54,366,43.6735,1830000,18.6362,-17922.056640625,3938.83,366
3864.5,367,44.1033,1835000,19.8487,-17819.41015625,3936.71,367
3948.34,368,44.0845,1840000,21.444,-18362.220703125,3936.98,368
3974.69,369,44.0051,1845000,20.4278,-18553.6953125,3879.57,369
3807.96,370,43.9834,1850000,19.6721,-18108.421875,3814.38,370
4015.84,371,44.5704,1855000,20.4819,-18605.248046875,3915.64,371
4052.46,372,44.0484,1860000,19.5734,-18013.96875,3998.29,372
4025.25,373,43.8787,1865000,19.5449,-18650.130859375,3948.07,373
4042.54,374,43.8958,1870000,19.5961,-17964.634765625,4027.6,374
3868.89,375,44.0811,1875000,18.656,-18465.6953125,3950.67,375
97.2,376,55.0352,1880000,176.0337,-30668.60546875,112.05,376
2378.72,377,44.6676,1885000,19.1341,-19567.337890625,2712.83,377
3563.1,378,44.1914,1890000,19.0408,-19125.1328125,3514.75,378
3600.68,379,44.4305,1895000,18.5476,-20111.53125,3163.13,379
2678.0,380,44.548,1900000,19.7869,-20635.67578125,2560.74,380
3726.78,381,43.5438,1905000,20.7149,-19161.4140625,3592.54,381
3315.55,382,43.2022,1910000,19.0917,-20014.205078125,2726.3,382
3797.57,383,44.1655,1915000,22.7149,-20470.72265625,3701.96,383
3628.62,384,43.3179,1920000,18.4067,-19542.0390625,3378.19,384
3726.19,385,43.9081,1925000,22.5794,-20189.76171875,3521.77,385
1005.55,386,46.0825,1930000,41.6085,-26940.330078125,1494.47,386
3845.58,387,43.9178,1935000,21.818,-19082.427734375,3848.23,387
3660.92,388,44.1443,1940000,25.6805,-21654.236328125,2732.8,388
