Real Sto Return,Running Update Time,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps
1015.55,154,154,131.2478,-8450.01171875,1015.86,37.9922,770000
411.67,155,155,43.7284,-7258.05615234375,410.93,33.3744,775000
67.7,156,156,70.7266,-8493.71875,67.19,37.2224,780000
207.44,157,157,92.7091,-8645.0673828125,205.23,34.5119,785000
163.4,158,158,31.9117,-7529.65673828125,166.97,32.238,790000
166.55,159,159,22.9189,-7716.4033203125,169.74,32.1719,795000
579.4,160,160,39.9177,-6854.7724609375,578.54,31.9528,800000
1024.07,161,161,72.8848,-8660.873046875,1024.22,37.7408,805000
1011.09,162,162,42.7465,-8859.09765625,1010.69,35.0528,810000
973.42,163,163,43.1113,-8723.8427734375,888.23,32.5754,815000
1018.3,164,164,33.7995,-8070.79150390625,1017.14,35.5295,820000
979.86,165,165,49.3775,-8580.21484375,980.05,38.2047,825000
982.17,166,166,53.9695,-8617.990234375,982.17,38.356,830000
1038.53,167,167,43.1369,-8251.4775390625,1038.97,37.2064,835000
1073.85,168,168,30.0135,-8420.861328125,1075.96,33.3016,840000
1034.65,169,169,34.2049,-8583.263671875,1034.26,36.5923,845000
1051.36,170,170,30.9565,-8582.7568359375,1051.0,35.8101,850000
980.74,171,171,30.6248,-8076.642578125,980.52,35.3671,855000
973.01,172,172,123.8643,-9388.8291015625,973.02,38.0764,860000
18.24,173,173,179.8135,-8492.29296875,18.27,33.6624,865000
215.45,174,174,104.64,-9660.111328125,215.22,38.3828,870000
999.28,175,175,146.9727,-10024.537109375,999.51,40.4626,875000
1011.63,176,176,125.5555,-10141.4560546875,1011.66,39.1359,880000
1031.06,177,177,115.5796,-10072.6494140625,1031.44,38.4337,885000
62.67,178,178,68.3256,-10124.9765625,63.87,37.2083,890000
204.43,179,179,21.7412,-4682.33349609375,202.66,29.338,895000
314.28,180,180,40.396,-8146.9130859375,311.13,30.708,900000
228.37,181,181,42.4389,-6877.2451171875,230.83,27.9332,905000
214.87,182,182,44.9294,-7232.3544921875,219.18,30.6001,910000
335.4,183,183,20.2016,-7500.599609375,309.07,30.5934,915000
392.65,184,184,28.9757,-7434.62255859375,360.4,29.5346,920000
965.47,185,185,51.5013,-9760.2939453125,965.73,37.8798,925000
981.23,186,186,45.9235,-10307.9189453125,981.03,38.2536,930000
987.93,187,187,44.5622,-10563.130859375,988.02,38.5121,935000
996.1,188,188,151.9998,-10818.7265625,996.36,39.0218,940000
1002.81,189,189,152.2005,-11119.6357421875,1003.0,39.6294,945000
341.92,190,190,53.6132,-7294.17529296875,339.99,28.6572,950000
88.09,191,191,84.8474,-11117.6640625,88.55,37.1401,955000
153.06,192,192,63.9217,-11225.595703125,148.51,35.5204,960000
286.4,193,193,110.5194,-8618.728515625,286.19,31.7336,965000
140.27,194,194,77.2253,-9389.423828125,143.86,31.4114,970000
288.2,195,195,88.9762,-9441.01953125,297.12,31.4099,975000
393.31,196,196,83.4952,-9443.1328125,395.03,33.2429,980000
212.37,197,197,60.6535,-8337.4345703125,242.2,32.0158,985000
460.96,198,198,67.4317,-8359.244140625,510.68,29.6707,990000
454.89,199,199,46.5563,-8076.07177734375,542.35,29.5471,995000
