Itration,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL
111,111,3431.28,555000,12.8078,-127.41680145263672,3397.09,18.4177
112,112,3409.78,560000,13.535,-119.52220153808594,3067.6,18.9466
113,113,3455.35,565000,13.058,-141.20213317871094,3247.93,19.1653
114,114,3484.12,570000,13.4184,-140.99130249023438,3274.1,19.0575
115,115,3453.24,575000,13.0001,-144.7288055419922,3427.65,19.2416
116,116,3497.39,580000,13.6899,-130.54042053222656,3475.85,18.9607
117,117,3459.96,585000,13.4569,-137.7996063232422,3131.97,19.0666
118,118,3323.91,590000,14.3704,-228.73675537109375,2897.28,19.9126
119,119,3449.84,595000,12.054,-156.48178100585938,3017.24,18.2215
120,120,3406.84,600000,13.1928,-144.39923095703125,3380.1,18.9142
121,121,3450.84,605000,12.0946,-143.7288360595703,3432.13,19.1488
122,122,3420.95,610000,13.3748,-142.792724609375,3049.47,19.075
123,123,3368.24,615000,12.6822,-128.63987731933594,3346.13,18.1262
124,124,3470.68,620000,14.4855,-173.15090942382812,3442.62,20.5718
125,125,3443.3,625000,11.7097,-158.55189514160156,3322.52,19.9012
126,126,1226.92,630000,70.619,-413.29217529296875,1509.68,24.0624
127,127,3071.03,635000,11.6358,-178.9647979736328,3046.1,20.8807
128,128,3475.08,640000,12.3586,-153.02735900878906,3470.74,18.5477
129,129,3402.12,645000,12.5461,-195.48570251464844,3432.7,19.0784
130,130,2987.92,650000,10.7863,-156.67701721191406,2893.81,19.5482
131,131,3421.5,655000,12.5251,-179.56515502929688,3398.29,18.7946
132,132,3403.09,660000,12.5147,-252.8706512451172,2458.22,20.1046
133,133,312.34,665000,32.6465,-580.43798828125,319.16,30.3829
134,134,51.6,670000,140.0383,-392.8948059082031,58.7,35.6885
135,135,32.38,675000,72.4082,-565.5319213867188,32.29,31.4462
136,136,971.74,680000,40.7793,-386.6204528808594,971.86,38.6227
137,137,284.93,685000,32.1461,-570.5376586914062,293.82,32.0942
138,138,1646.85,690000,19.3522,-275.360107421875,1694.12,24.8484
139,139,758.77,695000,25.8532,-431.413818359375,473.12,26.6285
140,140,70.65,700000,48.2662,-425.3087463378906,71.89,34.2973
141,141,353.35,705000,30.6602,-450.3822937011719,352.8,28.9156
142,142,1003.61,710000,28.6063,-461.94903564453125,940.1,29.0164
143,143,290.26,715000,22.9198,-611.420654296875,296.25,29.1454
144,144,362.57,720000,20.0487,-694.9295043945312,416.77,28.2232
145,145,1025.76,725000,30.5931,-538.28955078125,454.07,33.7742
146,146,611.72,730000,23.0583,-444.3052673339844,577.27,28.5673
147,147,2554.92,735000,20.6766,-353.87225341796875,1850.12,23.137
148,148,1376.2,740000,30.564,-522.2557373046875,906.16,24.7092
149,149,289.81,745000,28.1056,-618.668701171875,308.01,31.3577
150,150,220.48,750000,40.8886,-673.2276000976562,210.03,29.8569
151,151,204.93,755000,33.7132,-697.5415649414062,204.38,31.864
152,152,254.67,760000,45.6665,-721.9065551757812,260.94,31.9722
153,153,234.22,765000,19.9742,-732.5416259765625,221.25,29.4924
154,154,1003.35,770000,38.6757,-623.6329345703125,1002.33,37.5189
155,155,989.93,775000,42.2008,-640.8065185546875,989.98,38.3839
156,156,1077.56,780000,31.7948,-652.39794921875,1055.85,33.7008
157,157,278.02,785000,19.5244,-856.8551635742188,183.7,31.3011
158,158,26.91,790000,22.5452,-841.50537109375,30.53,29.0726
159,159,19.67,795000,98.6635,-915.7438354492188,19.7,37.1312
160,160,1006.99,800000,39.5916,-718.97509765625,1006.84,37.9754
161,161,565.03,805000,21.081,-457.6203308105469,563.28,28.6914
162,162,311.79,810000,19.143,-438.93109130859375,312.39,30.147
163,163,513.4,815000,19.5017,-807.5173950195312,513.26,27.4058
164,164,3365.07,820000,16.8497,-94.49589538574219,3376.52,20.426
165,165,3166.95,825000,15.6851,-201.57801818847656,2897.23,20.7814
166,166,2974.28,830000,17.5257,-304.760986328125,2988.04,23.0039
167,167,3007.46,835000,14.6323,-227.38934326171875,3021.9,21.6055
168,168,3286.38,840000,18.706,-261.4504089355469,3305.96,22.1999
169,169,1033.69,845000,18.2369,-424.8379821777344,2068.29,26.1672
170,170,3215.84,850000,17.1591,-228.1281280517578,3209.96,22.5426
171,171,565.61,855000,22.8239,-916.8422241210938,515.68,27.1558
172,172,1060.57,860000,31.6387,-829.2683715820312,1144.22,27.2512
173,173,1048.14,865000,41.8374,-873.04296875,1047.77,37.4689
174,174,498.75,870000,57.8315,-771.8580322265625,579.33,24.0799
175,175,834.45,875000,33.13,-899.6748046875,684.06,38.1427
176,176,159.49,880000,46.3483,-1054.3480224609375,159.67,33.862
177,177,344.4,885000,84.2925,-1031.5260009765625,343.94,28.212
178,178,168.75,890000,22.0016,-1177.4130859375,158.77,33.6153
179,179,338.89,895000,27.4435,-980.6925048828125,334.64,24.9374
180,180,3203.96,900000,19.4033,-188.17425537109375,3200.67,24.6326
181,181,164.48,905000,17.3935,-263.1266174316406,431.77,25.3644
182,182,983.76,910000,54.2717,-983.5825805664062,983.86,37.2927
183,183,118.83,915000,77.4732,-1210.3372802734375,119.36,31.3233
184,184,290.2,920000,45.2328,-1252.772705078125,262.24,31.2915
185,185,1000.47,925000,41.19,-1034.7373046875,1000.31,37.9053
186,186,51.75,930000,181.5136,-1132.957275390625,53.58,37.7926
187,187,55.55,935000,46.1653,-1281.6494140625,55.94,34.7354
188,188,1028.54,940000,29.7269,-1101.07568359375,1027.09,36.8626
189,189,238.48,945000,39.6668,-1290.323974609375,213.73,31.2211
190,190,159.11,950000,26.8392,-1241.580810546875,157.09,30.9489
191,191,1097.4,955000,26.5732,-952.9937133789062,1076.28,21.9631
192,192,1700.54,960000,18.7776,-588.853271484375,1697.76,20.3798
193,193,1683.36,965000,13.7864,-342.33355712890625,2584.5,18.5019
194,194,2865.72,970000,14.5173,-318.4142761230469,2888.08,21.344
195,195,3139.74,975000,16.6077,-359.6265869140625,3155.77,21.7465
196,196,3149.25,980000,19.8165,-328.4449462890625,3146.16,25.6796
197,197,2922.56,985000,35.145,-550.6411743164062,2922.31,23.8084
198,198,2612.92,990000,14.2502,-384.8810119628906,2327.97,21.6896
199,199,2914.41,995000,21.4329,-344.86102294921875,2933.47,25.5942
