Itration,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps,Real Det Return,Running Reverse KL,Running Update Time
43,2.239435911178589,3082.38,18.6187,215000,3197.51,12.1513,43
44,-40.850460052490234,2922.48,18.7462,220000,3297.29,12.0325,44
45,-54.16327667236328,2893.15,18.1344,225000,3232.08,11.2719,45
46,-54.70746612548828,2326.24,18.288,230000,3255.08,11.9207,46
47,-37.31343078613281,2728.44,18.27,235000,3327.21,11.6624,47
48,-31.85749053955078,2774.03,17.3281,240000,3268.19,10.9638,48
49,-98.8367919921875,2334.6,18.9333,245000,3417.09,14.6155,49
50,-95.03172302246094,3001.71,18.7976,250000,3371.13,18.4317,50
51,-10.134130477905273,3300.14,17.411,255000,3313.62,12.3563,51
52,-95.84474182128906,2291.46,18.9737,260000,3306.04,18.7604,52
53,-28.076589584350586,3189.45,16.3839,265000,3322.27,10.3999,53
54,-92.72271728515625,2451.59,18.3054,270000,3373.86,13.8145,54
55,-37.266761779785156,3202.28,18.7732,275000,3173.7,12.8827,55
56,-19.89072608947754,3282.21,16.6858,280000,3427.85,11.3747,56
57,-44.240684509277344,2365.64,18.5797,285000,3411.47,11.9149,57
58,-33.605812072753906,3351.98,17.9813,290000,3456.37,13.5098,58
59,-27.291505813598633,2850.09,18.0174,295000,3390.35,12.9167,59
60,-35.85666275024414,3361.76,18.8903,300000,3379.92,14.4508,60
61,-33.58444595336914,3334.98,17.5357,305000,3370.99,12.1147,61
62,-34.128963470458984,3379.17,18.26,310000,3425.25,13.8497,62
63,-48.4877815246582,3380.07,18.8644,315000,2929.15,13.1788,63
64,-42.504520416259766,3351.09,18.1418,320000,3389.46,12.7449,64
65,-56.674747467041016,3313.26,19.1186,325000,3327.19,14.1291,65
66,-42.297691345214844,3319.78,17.7551,330000,3397.7,12.2926,66
67,-42.223960876464844,3348.9,17.2438,335000,3385.19,11.9033,67
68,-34.66841506958008,3358.87,16.1356,340000,3426.64,10.1714,68
69,-39.18486785888672,3349.9,16.3117,345000,3401.49,11.2177,69
70,-42.25373077392578,3325.78,16.7251,350000,3351.5,11.8704,70
71,-45.24674987792969,3362.94,17.6905,355000,3413.75,12.73,71
72,-36.53639602661133,3339.52,16.1862,360000,3382.0,10.579,72
73,-44.712005615234375,3375.77,16.676,365000,3413.66,12.5132,73
74,-69.9581527709961,3239.65,19.0059,370000,3405.42,13.6464,74
75,-49.535987854003906,3356.01,17.4401,375000,3407.61,12.3555,75
76,-45.986236572265625,3321.54,16.4454,380000,3356.45,12.0017,76
77,-49.30138397216797,3349.24,17.3171,385000,3399.81,12.0039,77
78,-49.65507888793945,3379.19,17.8019,390000,3421.7,13.4436,78
79,-40.432273864746094,3350.01,16.4126,395000,3386.32,11.8357,79
80,-54.4530143737793,3381.57,17.8892,400000,3431.37,12.4052,80
81,-52.8162727355957,3395.56,16.9056,405000,3431.45,12.5561,81
82,-59.541194915771484,3374.36,17.1848,410000,3412.77,12.8661,82
83,-54.40243911743164,3379.14,16.6241,415000,3410.36,11.5545,83
84,-66.40726470947266,3389.76,17.4729,420000,3430.78,12.7739,84
85,-58.68610763549805,3317.7,16.4606,425000,3358.91,11.2593,85
86,-59.228389739990234,3383.02,16.4224,430000,3426.13,11.9912,86
87,-48.15331268310547,3441.29,15.3771,435000,3474.35,10.2865,87
88,-63.09750747680664,3386.73,16.3628,440000,3430.03,11.6345,88
89,-68.65921783447266,3371.11,16.5882,445000,3408.84,11.6904,89
90,-73.20377349853516,3354.79,16.8906,450000,3399.62,11.9415,90
91,-69.01636505126953,3383.18,17.0422,455000,3414.57,12.627,91
92,-65.71125793457031,3355.78,16.7391,460000,3393.27,12.3183,92
93,-73.46170806884766,3375.83,17.3287,465000,3408.63,12.6137,93
94,-72.64759826660156,3361.99,17.0027,470000,3411.31,11.6683,94
95,-78.68009948730469,3387.69,17.3295,475000,3416.07,12.7734,95
96,-72.58552551269531,3195.73,16.9721,480000,3441.19,12.2821,96
97,-74.36725616455078,3328.24,17.7684,485000,3344.62,12.7296,97
98,-81.12779235839844,3379.31,17.2795,490000,3407.28,12.6426,98
99,-88.17005157470703,3351.55,17.5692,495000,3399.51,12.9136,99
100,-82.63381958007812,3236.49,16.044,500000,3375.47,11.1981,100
101,-90.7529296875,3377.53,16.8584,505000,3412.24,11.8986,101
102,-95.82579040527344,3371.77,17.0713,510000,3385.26,12.2559,102
103,-90.50991821289062,3397.41,17.0282,515000,3436.68,12.4145,103
104,-97.2515640258789,3316.41,17.9452,520000,3331.85,12.2558,104
105,-87.17977905273438,3377.4,18.0005,525000,3431.87,11.9184,105
106,-95.08248901367188,3299.95,16.7884,530000,3317.31,11.9748,106
107,-94.59606170654297,3371.62,17.556,535000,3429.79,11.8349,107
108,-98.70281982421875,3410.28,16.7487,540000,3444.53,11.9262,108
109,-85.48086547851562,3353.38,17.0176,545000,3412.03,11.6447,109
110,-92.89080047607422,3172.76,17.2885,550000,3419.41,12.4121,110
111,-92.8536376953125,3396.11,17.5645,555000,3424.22,12.8035,111
112,-303.63427734375,767.28,23.7183,560000,204.61,20.9593,112
113,-395.9149475097656,454.5,29.0372,565000,375.41,20.6652,113
114,-76.66278076171875,2740.43,20.7329,570000,2767.12,10.8206,114
115,-135.4484100341797,1306.84,21.8978,575000,1566.83,14.0102,115
116,-110.84732055664062,3007.23,22.1877,580000,2971.47,15.299,116
117,-119.68968963623047,3076.73,20.1712,585000,3037.99,12.7589,117
118,-118.51942443847656,3274.58,19.2578,590000,3170.09,11.9017,118
119,-125.26432037353516,3375.37,18.3888,595000,3390.68,13.1367,119
120,-114.54122924804688,2767.6,18.1062,600000,3289.43,13.06,120
121,-123.12293243408203,3345.0,18.4633,605000,3354.44,13.1461,121
122,-114.43921661376953,3351.56,18.2872,610000,3368.44,13.0182,122
123,-105.1970443725586,3326.4,17.6919,615000,3346.94,12.5452,123
124,-111.37062072753906,3320.39,17.5965,620000,3337.52,13.154,124
125,-108.980712890625,3346.64,17.2618,625000,3346.27,12.5864,125
126,-118.26753234863281,3136.67,16.7934,630000,3301.5,12.0085,126
127,-117.04904174804688,3399.15,15.8387,635000,3415.79,11.4821,127
128,-109.12743377685547,3356.8,16.7445,640000,3365.63,11.3636,128
129,-105.83230590820312,3390.77,17.2867,645000,3405.5,11.8711,129
130,-110.58175659179688,3390.48,16.1802,650000,3411.19,11.4753,130
131,-112.2514877319336,3352.03,16.4524,655000,3373.09,11.2289,131
132,-118.89070129394531,3403.46,15.9052,660000,3412.53,11.491,132
133,-120.70804595947266,3370.84,16.7345,665000,3389.57,12.4926,133
134,-120.92828369140625,3387.55,16.572,670000,3420.67,11.7826,134
135,-133.1629180908203,3359.98,16.8635,675000,3390.7,11.5644,135
136,-132.51292419433594,3420.38,16.2849,680000,3443.21,11.293,136
137,-121.34131622314453,3355.09,16.8846,685000,3398.08,11.0112,137
138,-140.20257568359375,3376.99,17.1703,690000,3395.12,12.5452,138
139,-147.20895385742188,3341.4,18.3693,695000,3375.23,12.0775,139
140,-138.20172119140625,3407.5,17.4846,700000,3436.71,13.1779,140
141,-138.77755737304688,3448.64,17.9017,705000,3459.54,12.6698,141
142,-124.53290557861328,3335.07,16.8985,710000,3395.56,10.9245,142
143,-128.0577850341797,3210.45,16.6633,715000,3387.28,10.8582,143
144,-171.88685607910156,3350.29,18.209,720000,3406.76,13.0639,144
145,-129.79701232910156,2700.45,18.0054,725000,2937.81,10.2749,145
146,-152.95318603515625,3401.12,16.3203,730000,3454.76,10.4304,146
147,-153.4420166015625,3426.29,17.9257,735000,3465.83,12.7198,147
148,-196.3846435546875,3314.99,17.5591,740000,3429.61,11.1313,148
149,-189.04798889160156,3225.1,17.8543,745000,3416.4,11.4098,149
150,-177.31712341308594,3409.14,17.6279,750000,3454.09,11.9204,150
151,-146.84373474121094,3349.51,17.7688,755000,3411.38,10.8948,151
152,-180.7408905029297,3199.43,18.8343,760000,3425.02,12.9824,152
153,-127.37360382080078,3279.93,18.1416,765000,3352.67,10.9053,153
154,-120.90748596191406,3404.83,15.6111,770000,3443.87,9.4055,154
155,-171.8199462890625,3361.64,17.3328,775000,3390.27,11.8089,155
156,-164.39405822753906,3417.78,18.5506,780000,3453.19,12.1379,156
157,-175.43663024902344,3417.34,16.2542,785000,3442.49,11.4643,157
158,-196.32276916503906,3412.61,17.8992,790000,3439.46,12.592,158
159,-203.8426971435547,3400.74,17.5945,795000,3441.75,12.1367,159
160,-183.55247497558594,3369.5,17.696,800000,3449.85,11.1481,160
161,-197.07666015625,3398.07,17.2195,805000,3436.17,11.3735,161
162,-167.35260009765625,3434.91,16.093,810000,3465.15,11.5275,162
163,-200.58706665039062,3456.65,16.8195,815000,3476.77,12.4027,163
164,-191.2522430419922,3415.19,17.3685,820000,3436.25,12.1162,164
165,-205.67100524902344,3451.48,17.4417,825000,3473.98,13.0293,165
166,-202.0694122314453,3431.72,17.3947,830000,3472.07,11.5817,166
167,-209.7002716064453,3399.35,17.7785,835000,3428.24,12.0657,167
168,-196.28887939453125,3426.62,17.3941,840000,3463.49,11.8267,168
169,-212.02810668945312,3421.2,17.4074,845000,3445.69,12.4586,169
170,-196.65892028808594,3416.74,17.6972,850000,3434.54,12.3628,170
171,-227.12344360351562,3413.32,17.3859,855000,3447.48,12.1571,171
172,-186.90220642089844,3410.85,16.18,860000,3445.33,10.7372,172
173,-195.41481018066406,3429.1,17.7803,865000,3468.13,12.1047,173
174,-223.36131286621094,3420.64,16.9216,870000,3455.3,11.1876,174
175,-224.82424926757812,3366.88,17.0049,875000,3403.55,11.1573,175
176,-223.52191162109375,3410.27,17.2234,880000,3433.46,11.7988,176
177,-231.96678161621094,3407.46,17.4154,885000,3438.94,11.5255,177
178,-248.00851440429688,2593.73,17.8798,890000,3467.51,12.2148,178
179,-222.6034393310547,3355.02,17.0398,895000,3436.5,11.8499,179
180,-229.0477752685547,3404.59,16.5799,900000,3445.25,11.4068,180
181,-230.8430633544922,3366.13,16.9101,905000,3416.95,11.3724,181
182,-225.38894653320312,3409.77,17.6378,910000,3419.92,12.4692,182
183,-238.5082244873047,3406.14,17.3481,915000,3441.39,11.923,183
184,-218.42323303222656,3414.23,17.4678,920000,3438.77,11.8746,184
185,-206.3521270751953,3418.0,15.745,925000,3434.15,10.8946,185
186,-250.22100830078125,3036.43,16.9301,930000,3463.53,11.1069,186
187,-249.52120971679688,3396.22,17.9264,935000,3459.08,11.3847,187
188,-219.72219848632812,3428.74,16.3533,940000,3449.65,11.0649,188
189,-223.02584838867188,3430.59,16.4876,945000,3455.32,11.5136,189
190,-241.2572784423828,3237.06,16.2345,950000,3443.78,10.7991,190
191,-229.48536682128906,3397.21,16.6025,955000,3416.22,11.3971,191
192,-223.1154022216797,3409.78,17.1437,960000,3419.09,11.7505,192
193,-221.92251586914062,3369.27,16.1959,965000,3396.66,10.7085,193
194,-229.02052307128906,3462.8,16.1926,970000,3469.27,10.2181,194
195,-216.00128173828125,3386.85,16.224,975000,3414.98,10.4338,195
196,-198.66232299804688,3399.24,16.7052,980000,3452.81,10.2578,196
197,-202.97027587890625,3404.8,16.4483,985000,3430.83,10.4187,197
198,-228.2337646484375,3414.38,16.7149,990000,3419.63,10.8851,198
199,-265.0804443359375,3386.15,17.3578,995000,3415.0,10.935,199
