Itration,Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Running Update Time,Real Sto Return
33,-246.01,18.8359,159.1478,165000,-1293.808837890625,33,-356.29
34,222.66,14.2256,158.6843,170000,-1235.924560546875,34,2.28
35,-11.68,14.4489,158.9963,175000,-1278.434814453125,35,191.29
36,-171.3,12.8822,158.072,180000,-1248.39111328125,36,40.63
37,1236.55,13.7262,157.5106,185000,-1265.451171875,37,632.37
38,-121.82,15.0931,159.2303,190000,-1475.934814453125,38,-21.66
39,1792.43,15.5366,157.6422,195000,-1232.6729736328125,39,1313.26
40,1709.95,15.7714,157.6012,200000,-1298.806396484375,40,1369.25
41,1834.54,15.1703,157.2776,205000,-1304.0576171875,41,1384.15
42,1765.79,15.4947,157.4578,210000,-1347.45703125,42,1334.32
43,1656.86,14.8536,157.3529,215000,-1352.6353759765625,43,1265.24
44,1871.66,15.4457,157.4279,220000,-1407.234619140625,44,1513.57
45,1918.85,15.7444,157.5254,225000,-1440.6400146484375,45,1541.19
46,1937.66,15.5645,157.3044,230000,-1437.7816162109375,46,1591.21
47,1926.67,15.7716,157.2317,235000,-1491.13916015625,47,1587.28
48,1940.19,15.6936,157.2327,240000,-1535.859130859375,48,1599.65
49,1972.34,15.9434,157.4708,245000,-1581.401123046875,49,1586.25
50,1961.44,15.948,157.424,250000,-1608.9739990234375,50,1624.27
51,1964.74,16.0966,157.6558,255000,-1670.7589111328125,51,1610.38
52,1976.96,15.5284,157.0454,260000,-1670.1868896484375,52,1610.49
53,1989.21,15.6535,157.3089,265000,-1710.107421875,53,1619.11
54,1905.71,15.8496,157.3496,270000,-1767.947998046875,54,1612.35
55,1982.19,15.9234,157.2934,275000,-1791.4774169921875,55,1654.63
56,2065.37,15.647,157.0149,280000,-1822.3819580078125,56,1683.26
57,2055.69,15.5111,157.1835,285000,-1847.633544921875,57,1676.51
58,2052.74,15.7624,157.0044,290000,-1877.8623046875,58,1677.23
59,2024.11,15.3441,156.9978,295000,-1908.2562255859375,59,1670.84
60,2018.79,15.4958,157.0103,300000,-1954.9677734375,60,1688.66
61,2124.24,15.6525,157.0458,305000,-1961.3564453125,61,1724.69
62,2034.76,15.4428,156.9975,310000,-2019.2921142578125,62,1672.36
63,2071.13,15.7998,157.1783,315000,-2050.898193359375,63,1688.73
64,2054.93,15.537,157.0863,320000,-2093.031005859375,64,1693.55
65,2050.82,15.6094,157.1386,325000,-2125.35107421875,65,1684.5
66,2086.17,15.8255,157.0485,330000,-2160.595947265625,66,1730.84
67,2067.58,15.6974,156.9659,335000,-2204.513427734375,67,1720.13
68,2088.7,15.5452,156.8953,340000,-2209.103271484375,68,1724.25
69,2131.99,15.6396,156.8931,345000,-2230.693359375,69,1758.46
70,2129.75,15.7154,157.1699,350000,-2288.330322265625,70,1735.04
71,2127.61,15.8593,157.0969,355000,-2335.57080078125,71,1771.63
72,2073.07,15.6064,156.9695,360000,-2389.762939453125,72,1704.28
73,2092.76,15.7798,156.7406,365000,-2391.95849609375,73,1789.82
74,2087.77,15.8463,156.8948,370000,-2424.725341796875,74,1766.55
75,2100.29,15.4258,156.8454,375000,-2471.5,75,1755.99
76,2082.87,15.4195,156.9776,380000,-2504.71728515625,76,1748.89
77,2119.9,15.3748,156.935,385000,-2560.230712890625,77,1767.67
78,2098.79,15.4864,156.9329,390000,-2573.338134765625,78,1735.47
79,2119.32,15.9776,156.927,395000,-2590.2666015625,79,1780.3
80,2106.39,15.6305,156.859,400000,-2641.31787109375,80,1761.52
81,2118.01,15.4487,156.871,405000,-2692.76953125,81,1778.49
82,2174.22,15.4231,156.7905,410000,-2710.509521484375,82,1787.14
83,2149.53,15.9745,156.9563,415000,-2761.947021484375,83,1793.19
84,2121.49,15.4292,156.9283,420000,-2800.4462890625,84,1781.87
85,2155.7,15.6454,156.9641,425000,-2839.8125,85,1793.31
86,2102.22,15.7403,156.9389,430000,-2899.243896484375,86,1785.71
87,2180.53,15.6966,156.9285,435000,-2931.341796875,87,1822.02
88,2126.46,15.6061,156.9021,440000,-2980.12158203125,88,1790.85
89,2180.98,15.5929,156.8832,445000,-2992.42431640625,89,1798.38
90,2093.15,15.3964,156.8349,450000,-3057.11376953125,90,1781.4
91,2151.53,15.4598,156.7609,455000,-3055.736572265625,91,1807.87
92,2148.44,15.6042,157.0634,460000,-3148.931396484375,92,1796.34
93,2138.82,15.5087,156.7754,465000,-3138.594970703125,93,1807.68
94,2136.69,15.1205,156.941,470000,-3206.162841796875,94,1781.09
95,2192.03,15.4672,156.601,475000,-3263.31884765625,95,1838.52
96,2157.43,15.4174,156.9613,480000,-3268.909423828125,96,1807.02
97,2206.01,15.6085,156.9201,485000,-3322.611572265625,97,1854.67
98,2140.51,15.6142,156.7995,490000,-3357.09619140625,98,1839.69
99,2145.16,15.2548,156.803,495000,-3392.935302734375,99,1821.22
100,2135.18,15.365,156.7781,500000,-3428.25732421875,100,1828.87
101,2140.66,15.8912,157.046,505000,-3517.750244140625,101,1827.72
102,2137.93,15.5624,157.1878,510000,-3524.274658203125,102,1797.67
103,2157.67,15.7521,157.0144,515000,-3602.57568359375,103,1825.28
104,2168.0,15.462,156.9284,520000,-3654.696533203125,104,1814.57
105,2096.75,15.4344,157.0442,525000,-3643.529052734375,105,1794.21
106,2198.62,15.966,156.8721,530000,-3699.1611328125,106,1845.8
107,2101.22,15.3599,156.8654,535000,-3739.882568359375,107,1777.75
108,2178.42,15.7426,156.9557,540000,-3821.86328125,108,1825.1
109,2151.65,15.4561,156.8123,545000,-3842.2158203125,109,1828.53
110,2188.32,15.6051,156.8377,550000,-3874.320556640625,110,1819.25
111,2130.48,15.6352,156.9025,555000,-3943.3408203125,111,1817.53
112,2110.55,15.4381,156.9654,560000,-4004.1875,112,1811.05
113,2165.93,15.2332,156.7401,565000,-3992.941650390625,113,1804.81
114,2184.07,15.4176,156.8286,570000,-4031.447998046875,114,1831.91
115,2168.18,15.2205,156.6959,575000,-4085.10205078125,115,1805.46
116,2174.88,15.3081,157.0125,580000,-4196.38623046875,116,1834.26
117,2172.67,15.3375,156.879,585000,-4221.80078125,117,1816.28
118,2197.03,15.6033,156.9601,590000,-4242.2822265625,118,1850.96
119,2162.85,15.7159,156.9969,595000,-4289.50537109375,119,1830.05
120,2124.6,15.2631,156.9862,600000,-4348.462890625,120,1804.07
121,2159.21,15.4775,156.9562,605000,-4406.322265625,121,1829.8
122,2123.59,15.3915,156.8442,610000,-4438.7294921875,122,1830.09
123,2227.59,15.2444,156.9193,615000,-4486.78173828125,123,1829.5
124,2159.17,15.6002,156.9773,620000,-4563.818359375,124,1809.31
125,2138.7,15.3181,156.9279,625000,-4623.3916015625,125,1820.94
126,2178.44,15.8339,157.0072,630000,-4654.57861328125,126,1853.16
127,2169.27,15.3653,156.8429,635000,-4696.1708984375,127,1841.46
128,2174.58,15.4238,156.802,640000,-4709.81787109375,128,1832.82
129,2157.27,15.4487,156.7734,645000,-4746.55078125,129,1829.34
130,2196.65,15.3559,157.0025,650000,-4862.6728515625,130,1819.18
131,2191.93,15.4764,156.7952,655000,-4894.86962890625,131,1832.62
132,2205.13,15.8138,157.0964,660000,-4956.9404296875,132,1852.42
133,2245.58,15.7215,157.0392,665000,-4967.0927734375,133,1865.82
134,2190.08,15.5854,156.9385,670000,-5035.150390625,134,1861.43
135,2226.46,15.8112,156.8992,675000,-5052.5322265625,135,1861.88
136,2148.8,15.4553,156.7176,680000,-5077.05712890625,136,1834.06
137,2231.61,15.5092,156.8329,685000,-5151.80859375,137,1848.1
138,2208.3,15.3948,156.8813,690000,-5206.0751953125,138,1851.0
139,2266.9,15.5854,156.6822,695000,-5201.67919921875,139,1888.4
140,2167.94,15.5267,156.7672,700000,-5270.955078125,140,1848.45
141,2189.22,15.5944,156.7485,705000,-5331.47216796875,141,1867.2
142,2196.9,15.4542,156.9712,710000,-5321.01513671875,142,1865.3
143,2165.69,15.7096,157.0904,715000,-5413.658203125,143,1848.94
144,2149.46,15.0845,156.8654,720000,-5411.9326171875,144,1820.44
145,2230.38,15.5632,156.7999,725000,-5445.34130859375,145,1890.6
146,2220.31,15.3946,156.8391,730000,-5473.32666015625,146,1875.9
147,2172.64,15.5119,156.9684,735000,-5517.9736328125,147,1857.82
148,2159.83,15.3026,156.7184,740000,-5522.72265625,148,1865.45
149,2217.83,15.2783,156.8812,745000,-5543.03125,149,1872.54
150,2227.87,15.2982,156.7724,750000,-5600.3125,150,1887.22
151,2216.75,15.3226,156.6886,755000,-5592.62451171875,151,1855.2
152,2240.74,15.616,156.663,760000,-5592.16845703125,152,1885.5
153,2177.09,15.2234,156.9276,765000,-5722.69482421875,153,1847.63
154,2203.02,15.6318,156.8057,770000,-5742.30712890625,154,1851.6
155,2191.79,15.2432,156.7609,775000,-5763.7080078125,155,1873.74
156,2214.16,15.3668,156.7779,780000,-5817.7978515625,156,1878.4
157,2220.95,15.4845,156.7462,785000,-5860.2099609375,157,1870.95
158,2177.75,15.2781,156.7346,790000,-5864.66455078125,158,1838.5
159,2231.7,15.469,156.8336,795000,-5914.4521484375,159,1893.89
160,2215.62,15.3323,156.8493,800000,-5971.05126953125,160,1850.8
161,2240.01,15.3761,156.8552,805000,-5995.33447265625,161,1903.73
162,2249.87,15.4022,156.6265,810000,-5992.74267578125,162,1888.66
163,2249.83,15.5012,156.7363,815000,-6065.78857421875,163,1903.84
164,2244.62,15.5822,156.876,820000,-6112.87255859375,164,1895.94
165,2226.4,15.4615,156.9007,825000,-6137.93359375,165,1888.79
166,2258.58,15.3263,156.6437,830000,-6207.08837890625,166,1861.08
167,2209.9,15.0959,156.779,835000,-6252.97705078125,167,1854.78
168,2215.52,15.2551,156.699,840000,-6225.8837890625,168,1860.77
169,2235.28,15.5709,156.7057,845000,-6261.12451171875,169,1907.61
170,2227.55,15.5297,156.7565,850000,-6355.49755859375,170,1874.04
171,2222.98,15.3771,156.8491,855000,-6382.54150390625,171,1880.64
172,2246.2,15.6208,156.8087,860000,-6370.5546875,172,1914.7
173,2186.35,14.9736,156.5116,865000,-6408.4970703125,173,1833.93
174,2202.21,15.1284,156.8574,870000,-6512.81396484375,174,1859.66
175,2212.39,15.4265,156.9706,875000,-6557.712890625,175,1871.54
176,2258.51,15.2629,156.6518,880000,-6565.89794921875,176,1878.72
177,2208.45,15.1486,156.639,885000,-6595.57861328125,177,1869.65
178,2220.41,15.4078,156.713,890000,-6674.466796875,178,1891.93
179,2216.54,15.4259,156.7965,895000,-6715.86865234375,179,1882.51
180,2255.93,15.5782,156.7087,900000,-6714.69970703125,180,1881.47
181,2190.78,15.1963,156.8617,905000,-6789.9072265625,181,1862.8
182,2278.79,15.457,156.7148,910000,-6817.53125,182,1919.37
183,2262.5,15.2367,156.7329,915000,-6833.37744140625,183,1893.86
184,2245.64,14.9696,156.6306,920000,-6904.6396484375,184,1884.55
185,2260.81,15.1587,156.6547,925000,-6949.10107421875,185,1888.43
186,2249.42,15.4037,156.8478,930000,-7007.74072265625,186,1895.33
187,2222.26,15.3371,156.8497,935000,-7002.6171875,187,1888.45
188,2267.14,15.3353,156.8272,940000,-7071.37353515625,188,1892.07
189,2252.79,15.3282,156.7869,945000,-7121.0009765625,189,1905.98
190,2260.71,15.3897,156.7666,950000,-7192.45849609375,190,1871.76
191,2276.25,15.2158,156.6963,955000,-7151.02978515625,191,1878.86
192,2214.06,15.0177,156.6423,960000,-7230.7021484375,192,1868.32
193,2237.89,15.2293,156.7827,965000,-7284.17578125,193,1884.08
194,2273.7,15.5489,156.8118,970000,-7280.36767578125,194,1873.68
195,2229.64,15.2361,156.7764,975000,-7344.771484375,195,1878.76
196,2270.38,15.3438,156.6829,980000,-7408.27294921875,196,1886.16
197,2247.63,15.1361,156.8335,985000,-7426.7158203125,197,1867.53
198,2221.02,15.1591,156.6675,990000,-7457.7939453125,198,1872.67
199,2261.56,15.1861,156.6091,995000,-7428.6748046875,199,1895.73
200,2230.54,15.4918,156.7606,1000000,-7603.67333984375,200,1890.03
201,2229.68,15.4253,156.9236,1005000,-7647.78125,201,1903.52
202,2239.82,15.496,156.7448,1010000,-7675.62744140625,202,1889.05
203,2226.97,15.59,156.8481,1015000,-7712.77978515625,203,1892.0
204,2238.95,15.3559,156.7973,1020000,-7727.97216796875,204,1899.55
205,2238.6,15.1659,156.6989,1025000,-7739.85107421875,205,1909.31
206,2221.14,15.211,156.8551,1030000,-7788.51806640625,206,1890.71
207,2239.94,15.1584,156.6629,1035000,-7789.5498046875,207,1913.76
208,2234.45,15.3764,156.7707,1040000,-7835.28125,208,1907.76
209,2207.31,15.4065,156.9536,1045000,-7892.78466796875,209,1881.25
210,2209.29,15.34,156.8689,1050000,-7902.4052734375,210,1897.0
211,2206.13,15.323,156.911,1055000,-7926.7783203125,211,1884.79
212,2222.08,15.4114,156.8432,1060000,-7961.80029296875,212,1895.44
213,2217.2,15.2146,156.9118,1065000,-7979.2353515625,213,1887.67
214,2189.64,15.2673,156.7467,1070000,-7996.5224609375,214,1894.29
215,2223.84,15.1712,156.6967,1075000,-8025.0185546875,215,1895.07
216,2226.16,15.4622,156.7519,1080000,-8016.3271484375,216,1910.37
217,2211.74,15.3276,156.8594,1085000,-8106.25439453125,217,1889.91
218,2208.38,15.2535,157.0057,1090000,-8125.98046875,218,1891.8
219,2236.28,15.3911,156.918,1095000,-8136.708984375,219,1915.68
220,2209.48,15.251,156.6437,1100000,-8207.4970703125,220,1866.45
221,-6.48,12.0207,157.6395,1105000,-8463.18359375,221,69.24
222,1436.33,12.1634,157.0916,1110000,-8488.8818359375,222,729.1
223,1974.98,14.3093,156.5387,1115000,-8207.810546875,223,1641.55
224,2105.25,14.4513,156.5692,1120000,-8219.484375,224,1635.13
225,1225.53,13.5126,157.3824,1125000,-8609.1171875,225,792.19
226,628.89,14.1376,157.5996,1130000,-8683.7607421875,226,500.46
227,1997.82,14.7119,156.6348,1135000,-8278.072265625,227,1654.69
228,260.54,14.4646,157.5722,1140000,-8235.3837890625,228,501.07
229,478.54,14.8114,158.4718,1145000,-8100.306640625,229,500.32
230,826.22,12.8984,157.3684,1150000,-8054.35546875,230,728.19
231,2057.92,14.714,156.8781,1155000,-8538.8017578125,231,1776.57
232,451.18,14.1246,156.725,1160000,-8490.541015625,232,1551.08
233,341.14,12.5919,157.4482,1165000,-8269.044921875,233,529.65
234,-59.15,12.8382,157.5057,1170000,-8354.025390625,234,140.7
235,-203.45,14.0345,158.2594,1175000,-8131.37451171875,235,-70.49
236,-123.57,13.8244,156.8611,1180000,-8643.90625,236,637.02
237,1006.77,15.7969,156.6074,1185000,-8637.5703125,237,1372.21
238,-159.7,16.5708,159.8036,1190000,-8643.8212890625,238,-35.12
239,1409.09,14.426,156.7061,1195000,-8748.900390625,239,1397.71
240,2101.59,15.3625,156.8115,1200000,-8706.4521484375,240,1783.83
241,2077.52,14.9494,156.7878,1205000,-8799.5615234375,241,1699.58
242,-274.96,14.5448,156.893,1210000,-8811.025390625,242,274.41
243,-105.73,14.5938,158.9093,1215000,-8852.0966796875,243,17.15
244,745.56,14.4979,156.8563,1220000,-8829.5546875,244,1154.42
245,1301.99,14.9009,157.2087,1225000,-9083.7314453125,245,1083.14
246,1543.0,14.1482,156.8644,1230000,-8871.1279296875,246,1000.45
247,1141.09,14.7211,157.1345,1235000,-9316.9091796875,247,812.34
248,1937.26,14.5347,156.8756,1240000,-8962.0595703125,248,1546.06
249,2006.57,15.3488,156.8268,1245000,-9039.455078125,249,1497.23
250,2086.09,15.1238,156.745,1250000,-9018.4052734375,250,1683.64
251,2157.07,15.276,156.6876,1255000,-9012.3544921875,251,1794.63
252,2155.96,15.1859,156.7884,1260000,-9055.2802734375,252,1818.21
253,1486.07,14.1874,156.6215,1265000,-8907.2373046875,253,1178.89
254,2145.71,15.1939,156.7384,1270000,-9112.796875,254,1799.47
255,2149.7,15.0336,156.7883,1275000,-9128.900390625,255,1826.93
256,2131.93,15.1941,156.5807,1280000,-9210.3310546875,256,1808.06
257,2196.05,15.0354,156.818,1285000,-9184.1953125,257,1858.74
258,2119.93,15.1264,156.8329,1290000,-9278.2373046875,258,1725.31
259,2050.34,15.1165,156.9721,1295000,-9327.548828125,259,1710.96
260,2045.21,14.6847,156.489,1300000,-9276.07421875,260,1664.37
261,2189.44,15.5691,156.8209,1305000,-9394.23046875,261,1814.99
262,1931.87,14.9561,156.7846,1310000,-9349.7392578125,262,1637.37
263,1950.15,14.6911,156.7299,1315000,-9408.2392578125,263,1561.41
264,1728.49,14.4887,156.6066,1320000,-9424.5205078125,264,1321.05
265,-145.46,14.3522,158.3048,1325000,-9009.0517578125,265,-46.74
266,683.36,12.3309,157.722,1330000,-8872.3515625,266,452.87
267,292.03,16.6991,157.1007,1335000,-8705.2744140625,267,200.84
268,1241.28,14.4328,156.7422,1340000,-9568.2490234375,268,1009.98
269,-169.64,18.034,157.5142,1345000,-10068.5947265625,269,352.59
270,1231.92,13.1961,157.8099,1350000,-9051.0625,270,483.61
271,1217.14,14.3521,156.7722,1355000,-9517.6923828125,271,1002.3
272,1814.33,15.3027,156.698,1360000,-9590.603515625,272,1490.4
273,977.25,15.1574,156.9026,1365000,-9858.8515625,273,956.14
274,1013.5,13.5498,156.9059,1370000,-9564.7822265625,274,1442.71
275,1806.4,13.9238,156.9112,1375000,-9692.2470703125,275,1307.62
276,2042.31,15.3372,156.7444,1380000,-9718.1298828125,276,1657.18
277,1927.87,15.516,156.8825,1385000,-9888.771484375,277,1588.54
278,2043.74,15.8752,156.9831,1390000,-9810.7021484375,278,1701.95
279,1991.98,15.3008,156.8324,1395000,-9912.0419921875,279,1501.31
280,1765.74,14.8942,156.9585,1400000,-9986.357421875,280,1408.59
281,2038.15,14.9979,156.6945,1405000,-9965.986328125,281,1602.54
282,-168.46,15.1005,156.7747,1410000,-10026.0927734375,282,1561.86
283,74.43,12.5564,157.2813,1415000,-9737.515625,283,858.33
284,1807.07,14.3851,156.9284,1420000,-9855.0,284,1527.2
285,-182.55,25.1616,160.3994,1425000,-9774.0302734375,285,-242.83
286,-105.05,13.5644,156.5628,1430000,-9842.8466796875,286,1371.85
287,1555.18,14.6634,157.0,1435000,-10219.32421875,287,1436.47
288,1964.58,15.299,156.8741,1440000,-10236.5322265625,288,1575.12
289,2082.37,15.4917,156.8336,1445000,-10073.17578125,289,1768.54
290,2052.17,15.505,156.9762,1450000,-10205.029296875,290,1644.87
291,2074.82,15.23,156.8484,1455000,-10165.330078125,291,1689.89
292,1622.35,13.3344,156.7768,1460000,-10044.4560546875,292,1406.28
293,1992.66,15.553,156.8011,1465000,-10264.4267578125,293,1693.0
294,1937.34,15.6353,157.0977,1470000,-10663.478515625,294,1566.11
295,1082.84,15.8915,157.3356,1475000,-11112.8701171875,295,926.59
296,905.17,14.8191,157.4248,1480000,-10844.0166015625,296,683.44
297,-327.89,22.1655,160.0456,1485000,-9913.1396484375,297,-285.23
298,1733.52,14.8022,157.1379,1490000,-10392.7392578125,298,1338.58
299,1995.04,15.6583,157.0906,1495000,-10452.5283203125,299,1658.66
300,1823.77,14.7276,156.782,1500000,-10357.6181640625,300,1499.94
301,1795.1,15.0272,156.6719,1505000,-10211.546875,301,1506.66
302,-291.1,21.0925,160.4303,1510000,-10066.177734375,302,-79.69
303,2101.36,15.2225,156.7849,1515000,-10326.064453125,303,1761.65
304,2079.87,15.2641,156.9125,1520000,-10347.8359375,304,1746.12
305,2120.27,15.2857,156.6226,1525000,-10251.1142578125,305,1753.42
306,-289.62,14.3884,156.6896,1530000,-10356.5673828125,306,1699.53
307,572.28,14.0505,156.7895,1535000,-10158.2646484375,307,1266.49
308,238.38,16.7993,157.7719,1540000,-10477.052734375,308,71.42
309,2140.63,15.6221,156.8861,1545000,-10447.7099609375,309,1818.94
310,2124.62,15.8201,157.0794,1550000,-10430.8076171875,310,1813.31
311,2085.5,15.1402,156.8286,1555000,-10425.0390625,311,1772.88
312,2170.21,15.6413,156.7236,1560000,-10525.6552734375,312,1803.94
313,2128.19,15.6185,156.8203,1565000,-10484.4482421875,313,1833.88
314,2103.43,15.3704,156.7586,1570000,-10521.72265625,314,1784.06
315,929.18,15.4354,158.4593,1575000,-10050.779296875,315,824.41
316,2130.9,15.4171,156.9302,1580000,-10521.6689453125,316,1807.06
317,2185.87,15.4077,156.854,1585000,-10538.4404296875,317,1841.11
318,1607.44,12.8422,156.6299,1590000,-10085.7666015625,318,1259.85
319,1351.67,12.0654,156.8008,1595000,-9801.8212890625,319,1245.03
320,2134.68,15.2112,156.7315,1600000,-10680.51953125,320,1798.39
321,2203.79,15.5588,156.7911,1605000,-10639.171875,321,1854.07
322,2198.45,15.1852,156.9401,1610000,-10660.0029296875,322,1863.45
323,2203.69,15.3151,156.867,1615000,-10686.8203125,323,1848.11
324,2176.86,15.4223,156.9074,1620000,-10698.0029296875,324,1857.76
325,2183.31,15.3217,156.9212,1625000,-10691.0302734375,325,1850.43
326,2187.51,15.4687,156.7993,1630000,-10729.203125,326,1841.03
327,2173.31,15.1561,156.7754,1635000,-10733.1298828125,327,1824.83
328,2174.19,15.049,156.8859,1640000,-10756.21484375,328,1821.88
329,2174.72,15.1712,156.91,1645000,-10808.408203125,329,1819.04
330,2189.13,15.1867,157.0773,1650000,-10797.556640625,330,1840.84
331,2094.98,14.9763,157.0652,1655000,-10738.5087890625,331,1660.9
332,2078.38,15.3993,156.8878,1660000,-10839.35546875,332,1781.36
333,2210.9,15.4013,156.9174,1665000,-10883.724609375,333,1873.06
334,2182.43,15.3869,156.8425,1670000,-10856.7783203125,334,1858.82
335,2188.38,15.3442,156.8639,1675000,-10870.056640625,335,1858.92
336,2184.71,15.5562,156.9365,1680000,-10898.736328125,336,1860.9
337,2196.19,15.3968,156.7699,1685000,-10898.41015625,337,1867.61
338,2197.87,15.4207,156.9859,1690000,-10913.8359375,338,1864.27
339,2226.63,15.5386,157.018,1695000,-10942.8046875,339,1875.17
340,2217.74,15.5231,156.865,1700000,-10927.751953125,340,1902.61
341,2239.44,15.3351,156.6632,1705000,-10933.125,341,1894.85
342,2186.03,14.567,156.6764,1710000,-10833.490234375,342,1825.01
343,1528.72,11.1167,156.3692,1715000,-9470.080078125,343,1372.44
344,2105.49,14.3099,156.6486,1720000,-10826.482421875,344,1639.37
345,2150.67,14.9084,156.7237,1725000,-11008.80859375,345,1824.94
346,2115.17,14.8397,156.8673,1730000,-11009.87109375,346,1851.99
347,2230.64,15.5593,156.7068,1735000,-11058.625,347,1879.66
348,2247.76,15.4348,156.83,1740000,-11080.8046875,348,1900.52
349,2245.54,15.3843,156.8609,1745000,-11070.2216796875,349,1872.5
350,2218.45,15.4671,156.9261,1750000,-11099.95703125,350,1884.75
351,2174.05,15.3281,156.7324,1755000,-11060.658203125,351,1848.91
352,2197.66,15.1752,156.9897,1760000,-11111.0498046875,352,1858.27
353,771.4,13.5387,156.4236,1765000,-10681.58203125,353,1569.73
354,1456.92,12.5921,156.5254,1770000,-10509.59375,354,1445.94
355,1053.37,12.5097,156.6093,1775000,-10462.2294921875,355,1223.98
356,1428.09,13.6926,156.5736,1780000,-10799.779296875,356,1485.7
357,1287.82,12.1364,156.7586,1785000,-10211.7353515625,357,1298.98
358,2174.42,15.2191,156.9145,1790000,-11169.4541015625,358,1824.33
359,507.57,12.6177,157.0179,1795000,-10287.26171875,359,573.55
360,1656.68,12.606,156.8706,1800000,-10488.423828125,360,1404.69
361,2197.93,15.235,156.9751,1805000,-11306.642578125,361,1843.41
362,2159.92,14.9296,156.7627,1810000,-11306.2978515625,362,1789.28
363,1789.37,14.7997,156.8353,1815000,-11225.4970703125,363,1797.03
364,2000.23,14.1538,156.67,1820000,-11133.1376953125,364,1781.41
365,-167.5,14.8061,156.7737,1825000,-11189.9619140625,365,1684.39
366,2132.01,14.061,156.5902,1830000,-10741.68359375,366,1812.77
367,2209.16,15.4034,156.5962,1835000,-11349.6630859375,367,1864.1
368,2183.39,15.2403,156.6064,1840000,-11369.3720703125,368,1879.85
369,2239.85,15.429,156.813,1845000,-11387.9208984375,369,1871.38
370,2028.32,15.0863,156.8535,1850000,-11388.55859375,370,1842.44
371,2166.42,15.1191,156.6594,1855000,-11358.5869140625,371,1821.62
372,2222.98,15.1328,156.7287,1860000,-11380.755859375,372,1840.76
373,2243.0,15.2393,156.6177,1865000,-11453.7373046875,373,1869.3
374,2240.45,15.4192,156.7799,1870000,-11496.24609375,374,1878.17
375,2222.28,15.3158,156.5987,1875000,-11455.8603515625,375,1896.87
376,2237.0,15.1306,156.5811,1880000,-11454.314453125,376,1872.93
377,2222.56,15.2706,156.7371,1885000,-11502.205078125,377,1868.35
378,2236.16,15.1951,156.6333,1890000,-11531.4443359375,378,1871.26
379,2241.36,15.3754,156.6903,1895000,-11509.408203125,379,1887.8
380,2242.79,15.304,156.6305,1900000,-11547.671875,380,1873.32
381,2274.59,15.1977,156.6301,1905000,-11537.080078125,381,1896.68
382,2274.35,15.4111,156.7533,1910000,-11576.880859375,382,1895.26
383,2242.55,15.2479,156.7408,1915000,-11565.88671875,383,1886.2
384,2242.64,15.3148,156.6456,1920000,-11616.521484375,384,1876.42
385,2234.97,15.3823,156.8335,1925000,-11601.8798828125,385,1857.12
386,2232.03,15.422,156.6649,1930000,-11628.0185546875,386,1865.09
387,2248.74,15.3674,156.6852,1935000,-11673.326171875,387,1872.23
