Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL,Running Update Time,Running Env Steps,Itration,Running Forward KL
1317.91,-1612.0863037109375,1308.57,25.4454,61,305000,61,20.8336
3362.81,-802.0134887695312,1746.44,14.7062,62,310000,62,19.5975
2503.79,-1465.92529296875,1379.94,21.7994,63,315000,63,21.2207
3443.02,-1171.2969970703125,1842.03,15.2318,64,320000,64,20.3444
3428.79,-1201.007568359375,1850.15,15.6418,65,325000,65,21.4958
3454.33,-482.5315856933594,2978.32,12.6516,66,330000,66,18.6086
3430.76,-611.6112060546875,2768.87,15.9737,67,335000,67,20.3749
1492.53,-854.806396484375,2095.98,17.496,68,340000,68,19.5669
3444.5,-785.760498046875,2582.19,16.3979,69,345000,69,19.8769
3455.46,-421.2466125488281,3118.15,12.1141,70,350000,70,18.0823
3446.22,-153.20628356933594,3402.82,12.3289,71,355000,71,19.3993
3422.01,-202.11178588867188,3395.91,13.548,72,360000,72,19.9092
3489.14,-562.1781616210938,3438.08,13.8356,73,365000,73,19.1135
3475.38,-751.5745239257812,2197.36,11.9311,74,370000,74,19.9194
3470.51,-157.89480590820312,3427.08,11.3845,75,375000,75,18.2405
2483.22,-670.0267333984375,2783.47,12.5452,76,380000,76,19.4116
1474.75,-1463.2342529296875,2032.93,15.0605,77,385000,77,20.3689
3405.43,-891.1909790039062,2335.92,13.3118,78,390000,78,19.8918
3431.89,-248.88034057617188,3197.11,11.6178,79,395000,79,18.1301
3115.72,-678.126220703125,2743.09,12.9524,80,400000,80,20.0219
3387.55,-486.73968505859375,3099.92,11.7478,81,405000,81,19.1188
3474.69,-211.4079132080078,3378.74,10.3441,82,410000,82,17.0327
3472.62,-418.99078369140625,2670.91,10.1394,83,415000,83,17.0312
3436.8,-439.4730529785156,3418.37,12.1444,84,420000,84,18.6077
3464.94,-542.531005859375,3122.08,12.5349,85,425000,85,18.2164
3438.91,-553.296630859375,3255.21,12.5535,86,430000,86,19.7028
3478.42,-223.1504669189453,3337.42,11.0688,87,435000,87,17.6534
3467.36,-917.2861938476562,3020.64,10.9639,88,440000,88,18.3484
3291.34,-278.6943054199219,3148.47,11.6684,89,445000,89,18.0106
3456.1,-595.0816650390625,3300.65,11.7987,90,450000,90,17.6229
3449.5,-1359.3333740234375,2238.08,16.5517,91,455000,91,20.5647
1964.21,-1831.4190673828125,1980.86,19.4858,92,460000,92,20.553
3432.23,-539.535400390625,2873.0,12.7546,93,465000,93,18.1253
3474.05,-276.8449401855469,3422.79,11.1712,94,470000,94,17.8048
3448.15,-774.9244995117188,2628.09,12.7736,95,475000,95,18.5769
3449.89,-313.5766906738281,3437.1,10.8065,96,480000,96,17.5965
3411.86,-1056.2069091796875,2937.67,15.309,97,485000,97,20.0227
2344.58,-1164.7763671875,3086.37,15.6698,98,490000,98,20.1528
3488.72,-1243.656494140625,2802.38,15.1191,99,495000,99,19.2284
3439.11,-300.9827575683594,3409.24,12.1144,100,500000,100,18.1521
3425.5,-735.1332397460938,2838.41,11.1801,101,505000,101,18.1276
1448.64,-1273.8466796875,2737.13,17.3995,102,510000,102,20.0849
3466.12,-946.0538330078125,2273.17,14.1871,103,515000,103,18.961
3454.96,-366.1156921386719,3310.34,11.739,104,520000,104,18.1732
1355.5,-1699.929931640625,2354.67,17.589,105,525000,105,20.8486
3446.23,-747.6019287109375,2981.5,11.8172,106,530000,106,18.4723
2701.45,-928.78759765625,2537.41,14.4673,107,535000,107,19.0962
3538.92,-703.3707275390625,2755.15,12.5398,108,540000,108,20.261
3469.54,-1702.0418701171875,2056.71,18.1518,109,545000,109,20.0
1393.24,-1371.166259765625,1747.3,18.6782,110,550000,110,20.1194
3434.32,-716.6399536132812,3018.35,11.6067,111,555000,111,18.3084
3475.97,-1428.8292236328125,2462.68,15.3748,112,560000,112,19.1519
3433.92,-722.938232421875,3207.93,13.5586,113,565000,113,18.2807
1815.71,-1714.08544921875,2129.3,17.1443,114,570000,114,20.0329
3494.69,-1192.0714111328125,2864.29,14.5789,115,575000,115,19.8735
3483.67,-1139.392578125,2802.48,12.9852,116,580000,116,18.9322
1363.65,-1935.0623779296875,1528.16,17.8119,117,585000,117,20.9154
1257.46,-1114.709716796875,2301.41,13.6823,118,590000,118,21.1849
1298.33,-2579.388427734375,1723.12,19.5416,119,595000,119,22.0742
3506.06,-832.1011962890625,2456.05,12.7592,120,600000,120,18.4862
3441.46,-1158.1622314453125,3064.3,13.0213,121,605000,121,19.2517
3476.46,-875.89892578125,3005.35,11.8833,122,610000,122,19.1449
3469.01,-1029.4776611328125,2610.88,11.4162,123,615000,123,18.6636
2288.33,-2645.65673828125,1383.92,15.3918,124,620000,124,22.4596
3449.41,-1824.498291015625,2792.26,14.6267,125,625000,125,19.784
3475.76,-507.7359313964844,3491.4,11.6514,126,630000,126,17.8122
3458.37,-460.54425048828125,3436.35,12.7549,127,635000,127,18.6738
3484.13,-703.1666870117188,2882.26,13.1546,128,640000,128,18.4451
3460.48,-1287.2113037109375,2912.82,14.2895,129,645000,129,19.8387
3476.17,-2653.50048828125,1959.66,20.3038,130,650000,130,21.5695
1304.39,-2587.74755859375,1599.99,19.9097,131,655000,131,21.8305
3463.5,-1954.5555419921875,2950.06,17.5718,132,660000,132,19.5716
1640.97,-1664.085693359375,2055.46,15.4284,133,665000,133,18.9715
3371.75,-2181.2861328125,2329.26,18.9565,134,670000,134,20.223
3462.51,-987.7928466796875,3186.84,12.0109,135,675000,135,17.9508
3497.0,-770.0336303710938,3265.08,12.7286,136,680000,136,19.6982
3487.38,-1543.834716796875,2554.29,15.2444,137,685000,137,19.0685
1377.71,-3252.6435546875,1501.67,25.3941,138,690000,138,24.4738
3447.87,-1543.5137939453125,2520.62,15.8029,139,695000,139,19.0494
3286.95,-1478.3590087890625,2664.95,15.4951,140,700000,140,18.4008
3154.86,-2716.943603515625,1642.71,21.473,141,705000,141,21.1966
3008.55,-2588.42724609375,2080.55,19.179,142,710000,142,20.9594
2515.14,-3219.252197265625,1328.19,21.6911,143,715000,143,22.1878
3506.09,-1034.145751953125,2887.9,14.2062,144,720000,144,20.0342
3542.22,-2703.318603515625,2542.59,18.9863,145,725000,145,22.0909
1564.28,-3043.120849609375,1717.29,20.6866,146,730000,146,21.0983
3514.92,-1342.3526611328125,3419.88,11.7558,147,735000,147,18.7829
3509.51,-905.25,3367.39,11.7272,148,740000,148,18.0921
1294.09,-2339.3662109375,2047.03,14.2579,149,745000,149,20.147
3506.39,-762.4340209960938,3305.55,11.5172,150,750000,150,17.8697
3518.29,-1037.82861328125,3226.66,12.3896,151,755000,151,18.8543
3412.91,-2022.9588623046875,2459.13,13.3203,152,760000,152,20.0745
3593.43,-2413.60986328125,2591.56,13.8617,153,765000,153,20.6322
2868.7,-2891.7666015625,1791.89,16.7739,154,770000,154,21.003
2255.01,-2824.7763671875,1852.99,19.6998,155,775000,155,20.5293
3494.99,-1271.53955078125,3122.03,12.7191,156,780000,156,18.9273
3443.24,-1767.6181640625,2864.85,15.2796,157,785000,157,19.7121
3319.01,-2527.856201171875,2403.12,16.7511,158,790000,158,20.9083
1320.46,-3498.886474609375,1625.83,17.3107,159,795000,159,21.6648
3442.39,-1629.6129150390625,3132.19,13.1423,160,800000,160,18.0622
3544.06,-2323.968505859375,2715.88,14.5778,161,805000,161,18.29
3527.87,-2466.881591796875,2285.53,15.1303,162,810000,162,21.0204
3221.67,-3024.2392578125,2444.22,18.1584,163,815000,163,21.5578
3581.05,-1208.037353515625,2542.55,12.6601,164,820000,164,18.8482
1892.1,-3653.205810546875,1765.12,20.6201,165,825000,165,22.8467
2266.0,-3065.220458984375,1941.12,16.9488,166,830000,166,21.8912
3490.23,-1043.7178955078125,3183.58,10.3026,167,835000,167,17.5091
1805.11,-2688.531494140625,2038.04,16.0503,168,840000,168,19.4339
3471.58,-2053.250244140625,2766.79,13.8357,169,845000,169,20.1092
1773.27,-3388.813720703125,1696.62,16.6855,170,850000,170,20.1441
1528.33,-3489.431640625,1592.33,17.9848,171,855000,171,21.0423
3539.5,-1528.3494873046875,3136.96,12.434,172,860000,172,19.2812
3491.19,-2733.757080078125,2302.46,14.1409,173,865000,173,20.5356
2697.34,-3437.781005859375,1756.12,16.265,174,870000,174,21.1763
1635.28,-3660.872314453125,1619.11,25.2006,175,875000,175,21.5242
3421.69,-2012.5452880859375,2907.51,14.2444,176,880000,176,20.6381
2803.55,-3160.87353515625,1920.21,16.1873,177,885000,177,20.8759
1582.93,-4133.478515625,1612.71,19.0465,178,890000,178,23.0324
3486.45,-2919.353759765625,2312.12,15.7458,179,895000,179,20.8654
3233.1,-2788.876220703125,2251.34,16.084,180,900000,180,21.0939
2922.68,-3190.16748046875,2397.83,17.517,181,905000,181,21.752
3387.63,-4209.3486328125,1615.73,20.2204,182,910000,182,21.8272
1814.9,-3893.990478515625,1889.31,21.9892,183,915000,183,22.3799
1535.02,-4097.2265625,2397.54,23.2038,184,920000,184,21.5209
1642.06,-4933.72314453125,1382.83,23.605,185,925000,185,23.3011
3043.25,-2962.158447265625,2346.07,15.4838,186,930000,186,19.9971
3470.55,-1468.7919921875,3307.37,13.414,187,935000,187,18.8227
3573.34,-2107.56884765625,2866.92,13.0409,188,940000,188,18.7402
3594.18,-2227.01611328125,3299.81,13.3662,189,945000,189,19.3116
3550.59,-2684.7294921875,2464.53,14.2813,190,950000,190,19.9386
2261.45,-3426.802978515625,2271.34,15.8189,191,955000,191,20.1768
1940.25,-4656.55615234375,1927.16,15.9331,192,960000,192,23.0081
2554.96,-4556.83447265625,1715.29,16.1171,193,965000,193,22.5436
1747.67,-3734.46435546875,1968.02,14.2276,194,970000,194,20.9114
2810.36,-2985.981689453125,2527.96,12.4343,195,975000,195,19.5984
2328.02,-3950.13232421875,1955.46,14.7794,196,980000,196,21.5248
1823.51,-4295.87109375,1974.53,13.3032,197,985000,197,21.9475
2119.19,-3191.434326171875,2194.61,12.0274,198,990000,198,20.5144
2032.72,-3741.582763671875,2557.81,13.5753,199,995000,199,20.4906
