Itration,Running Update Time,Running Env Steps,Running Forward KL,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL
72,72,360000,157.0616,2111.01,-2156.9306640625,1775.61,15.967
73,73,365000,157.2279,2150.74,-2171.8466796875,1801.56,16.065
74,74,370000,156.9654,2088.16,-2188.550537109375,1753.67,15.8167
75,75,375000,156.7192,2138.08,-2236.408447265625,1795.55,15.7814
76,76,380000,157.1316,2115.99,-2252.30419921875,1776.8,16.0927
77,77,385000,156.8269,2158.28,-2299.6962890625,1798.08,16.0062
78,78,390000,157.0991,2127.49,-2333.169921875,1808.68,16.0552
79,79,395000,157.0381,2145.42,-2363.974609375,1822.06,16.1463
80,80,400000,156.8416,2128.8,-2384.100830078125,1791.53,15.903
81,81,405000,157.0326,2141.49,-2427.144775390625,1806.68,16.0151
82,82,410000,156.9226,2166.85,-2446.6669921875,1803.38,15.588
83,83,415000,157.0666,2143.31,-2489.639892578125,1833.65,16.0588
84,84,420000,156.7994,2180.96,-2540.847412109375,1818.79,15.8566
85,85,425000,156.9437,2126.03,-2549.861083984375,1806.27,15.6202
86,86,430000,157.1993,2162.3,-2584.380859375,1810.24,15.9774
87,87,435000,157.0421,2117.64,-2607.0458984375,1790.57,15.6673
88,88,440000,156.8111,2190.48,-2638.782958984375,1855.53,15.7936
89,89,445000,157.1826,2125.27,-2676.802734375,1771.34,15.885
90,90,450000,156.9014,2179.0,-2719.205810546875,1837.19,15.9517
91,91,455000,156.8971,2130.04,-2754.0986328125,1820.66,16.0328
92,92,460000,156.9308,2192.56,-2794.189453125,1825.57,15.998
93,93,465000,156.7335,2153.36,-2795.157470703125,1826.8,15.675
94,94,470000,156.8701,2216.56,-2882.26806640625,1854.34,16.0032
95,95,475000,156.8362,2232.75,-2894.14111328125,1867.6,15.7606
96,96,480000,157.0333,2180.8,-2918.716552734375,1820.23,15.6256
97,97,485000,157.1336,2171.48,-2967.379150390625,1855.62,15.6753
98,98,490000,156.8167,2201.06,-2989.887939453125,1830.21,15.6259
99,99,495000,156.9907,2177.84,-3026.39013671875,1843.32,16.031
100,100,500000,156.8899,2151.22,-3054.474365234375,1801.58,15.4704
101,101,505000,157.0585,2212.46,-3100.2763671875,1848.89,15.9763
102,102,510000,156.9301,2205.14,-3138.89111328125,1890.88,16.2358
103,103,515000,156.8123,2193.91,-3163.81201171875,1861.03,15.868
104,104,520000,156.8633,2205.4,-3187.8037109375,1844.33,15.6837
105,105,525000,157.0041,2194.63,-3218.4931640625,1865.13,15.8204
106,106,530000,156.915,2207.81,-3275.236328125,1842.51,15.7713
107,107,535000,156.8305,2169.58,-3298.671875,1843.07,15.5843
108,108,540000,156.8296,2171.57,-3338.126708984375,1824.44,15.7698
109,109,545000,156.9034,2207.72,-3388.00146484375,1877.26,15.9557
110,110,550000,156.8346,2203.41,-3420.705078125,1862.28,15.7436
111,111,555000,156.8718,2221.78,-3470.44189453125,1877.51,16.046
112,112,560000,156.8874,2240.02,-3515.977294921875,1877.45,15.9192
113,113,565000,156.9805,2232.24,-3537.0322265625,1869.37,15.9258
114,114,570000,156.9897,2212.47,-3557.2373046875,1849.72,15.7385
115,115,575000,156.8129,2217.88,-3605.325439453125,1861.54,15.9143
116,116,580000,156.8695,2139.55,-3637.500244140625,1840.51,15.7355
117,117,585000,156.8921,2236.45,-3683.942138671875,1868.93,15.9
118,118,590000,156.7582,2229.31,-3705.82568359375,1858.61,15.7792
119,119,595000,156.7382,2225.16,-3736.12353515625,1867.2,16.0157
120,120,600000,157.0099,2193.73,-3779.80029296875,1866.92,15.6305
121,121,605000,156.98,2179.02,-3815.271728515625,1851.03,15.4361
122,122,610000,156.8312,2183.78,-3864.13427734375,1857.48,15.6547
123,123,615000,156.7799,2181.42,-3893.924560546875,1829.69,15.6655
124,124,620000,156.9287,2170.22,-3917.23974609375,1824.12,15.4457
125,125,625000,156.8803,2187.46,-3955.99072265625,1843.8,15.6624
126,126,630000,156.8633,2181.42,-4000.237060546875,1859.64,15.5283
127,127,635000,156.946,2214.84,-4050.237060546875,1871.32,15.6218
128,128,640000,156.8219,2166.24,-4063.8251953125,1875.61,15.6104
129,129,645000,156.8536,2229.21,-4136.63916015625,1902.59,15.6494
130,130,650000,156.7402,2176.76,-4162.982421875,1852.39,15.6052
131,131,655000,156.8833,2232.86,-4200.16650390625,1902.02,15.8063
132,132,660000,157.025,2185.78,-4257.67431640625,1870.9,15.9685
133,133,665000,156.8038,2266.07,-4309.8427734375,1870.49,15.4957
134,134,670000,156.7783,2248.71,-4354.34765625,1889.28,15.7622
135,135,675000,156.8511,2227.22,-4377.77734375,1880.02,15.6334
136,136,680000,156.688,2183.12,-4381.10546875,1863.51,15.5196
137,137,685000,156.9089,2260.46,-4494.5361328125,1888.22,15.9438
138,138,690000,156.9815,2154.14,-4450.849609375,1831.47,15.3288
139,139,695000,156.9752,2198.46,-4544.78271484375,1879.07,15.4473
140,140,700000,156.8948,2195.0,-4560.22412109375,1864.34,15.3381
141,141,705000,156.8971,2228.44,-4609.982421875,1874.67,15.5557
142,142,710000,156.7776,2245.73,-4673.77734375,1909.47,15.9227
143,143,715000,156.7977,2236.65,-4690.0048828125,1872.99,15.6023
144,144,720000,156.6877,2276.77,-4748.3876953125,1894.86,15.6022
145,145,725000,156.7637,2211.3,-4790.88623046875,1863.54,15.6302
146,146,730000,156.7593,2230.41,-4816.68994140625,1889.8,15.8757
147,147,735000,156.9376,2255.87,-4879.91845703125,1883.2,15.6852
148,148,740000,156.6907,2242.95,-4919.32421875,1912.15,15.6669
149,149,745000,156.6672,2230.76,-4935.67333984375,1892.49,15.5856
150,150,750000,156.6369,2246.86,-5029.28662109375,1899.61,15.78
151,151,755000,156.9226,2239.27,-5077.150390625,1881.73,15.6797
152,152,760000,156.7238,2238.84,-5095.9423828125,1922.07,15.5848
153,153,765000,156.6769,2210.02,-5142.107421875,1877.41,15.6317
154,154,770000,157.0587,2228.83,-5167.4990234375,1862.76,15.6434
155,155,775000,156.7262,2187.09,-5211.40869140625,1860.87,15.4513
156,156,780000,156.9228,2205.09,-5250.7666015625,1883.4,15.3204
157,157,785000,156.733,2174.95,-5275.9775390625,1887.56,15.6013
158,158,790000,156.7064,2222.03,-5341.74658203125,1899.81,15.5745
159,159,795000,156.6031,2204.2,-5423.748046875,1880.19,15.5162
160,160,800000,156.7484,2262.01,-5505.9609375,1899.3,15.7757
161,161,805000,156.6989,2192.35,-5468.025390625,1897.52,15.4048
162,162,810000,156.6536,2270.65,-5569.61962890625,1939.91,15.6718
163,163,815000,156.6815,2217.21,-5566.57568359375,1890.2,15.4369
164,164,820000,156.8523,2279.55,-5653.6396484375,1922.42,15.6965
165,165,825000,156.845,2259.95,-5682.873046875,1933.04,15.8219
166,166,830000,156.701,2271.15,-5747.91357421875,1921.09,15.8592
167,167,835000,156.851,2217.4,-5746.52392578125,1891.83,15.5557
168,168,840000,156.6539,2224.83,-5825.99365234375,1894.58,15.4409
169,169,845000,156.8846,2256.32,-5890.8720703125,1908.1,15.8198
170,170,850000,156.6076,2203.93,-5891.9814453125,1882.57,15.2003
171,171,855000,156.8931,2204.84,-5955.0986328125,1902.39,15.5779
172,172,860000,156.6966,2231.81,-6012.55517578125,1891.76,15.7677
173,173,865000,156.5508,2260.03,-6019.544921875,1915.06,15.4136
174,174,870000,156.7192,2232.89,-6087.9208984375,1895.06,15.5542
175,175,875000,156.7494,2252.39,-6152.67041015625,1922.64,15.7045
176,176,880000,156.7725,2260.81,-6198.25537109375,1900.8,15.6497
177,177,885000,156.6418,2262.13,-6239.47412109375,1925.23,15.5444
178,178,890000,156.705,2203.55,-6259.25439453125,1897.76,15.265
179,179,895000,156.6359,2252.44,-6334.55078125,1901.57,15.5971
180,180,900000,156.6713,2243.7,-6393.52099609375,1903.83,15.4016
181,181,905000,156.6847,2241.09,-6456.0107421875,1896.46,15.3892
182,182,910000,156.9756,2258.42,-6468.7568359375,1885.85,15.3006
183,183,915000,156.804,2231.7,-6535.46875,1906.96,15.4424
184,184,920000,156.5797,2248.73,-6590.4267578125,1924.56,15.4767
185,185,925000,156.8506,2241.48,-6646.0419921875,1887.37,15.5254
186,186,930000,156.5975,2236.92,-6698.12646484375,1891.5,15.3236
187,187,935000,156.7512,2260.81,-6736.9794921875,1889.12,15.3392
188,188,940000,156.6263,2188.92,-6776.41845703125,1888.37,15.2918
189,189,945000,156.6068,2252.74,-6817.5712890625,1899.06,15.5689
190,190,950000,156.6522,2235.3,-6897.4853515625,1917.02,15.5675
191,191,955000,156.7255,2237.32,-6939.27001953125,1922.9,15.4883
192,192,960000,156.6528,2278.1,-7041.70849609375,1934.56,15.3118
193,193,965000,156.661,2249.95,-7079.65283203125,1898.57,15.5073
194,194,970000,156.6517,2233.48,-7111.4140625,1917.97,15.4232
195,195,975000,156.8284,2258.74,-7215.56591796875,1914.55,15.7553
196,196,980000,156.4981,2225.62,-7181.55615234375,1913.6,15.5145
197,197,985000,156.7424,2221.86,-7274.36376953125,1902.74,15.5934
198,198,990000,156.8965,2202.7,-7303.68310546875,1885.58,15.3026
199,199,995000,156.7875,2232.81,-7361.09716796875,1873.87,15.172
200,200,1000000,156.7847,2279.53,-7435.16943359375,1933.82,15.4295
201,201,1005000,156.554,2287.31,-7512.62841796875,1945.02,15.5364
202,202,1010000,156.6239,2261.61,-7541.05224609375,1926.58,15.2998
203,203,1015000,156.5682,2244.98,-7570.2744140625,1922.62,15.1972
204,204,1020000,156.7197,2267.62,-7670.744140625,1923.91,15.4262
205,205,1025000,156.6369,2273.86,-7722.212890625,1939.68,15.3943
206,206,1030000,156.4896,2264.09,-7772.65576171875,1913.22,15.1368
207,207,1035000,156.7244,2253.07,-7786.314453125,1927.59,15.2114
208,208,1040000,156.6398,2250.25,-7838.1796875,1913.69,15.3433
209,209,1045000,156.6535,2263.83,-7934.38818359375,1934.84,15.2736
210,210,1050000,156.7058,2252.24,-7989.50634765625,1921.59,15.3609
211,211,1055000,156.5756,2262.03,-8074.2666015625,1904.73,15.4163
212,212,1060000,156.7292,2266.21,-8119.04052734375,1932.26,15.3561
213,213,1065000,156.6914,2291.7,-8146.6943359375,1943.49,15.3531
214,214,1070000,156.7328,2283.24,-8248.958984375,1913.75,15.3323
215,215,1075000,156.4661,2274.21,-8271.5380859375,1893.91,15.3536
216,216,1080000,156.6256,2248.24,-8316.4267578125,1930.86,15.3444
217,217,1085000,156.6332,2284.26,-8377.615234375,1956.13,15.2765
218,218,1090000,156.643,2267.17,-8459.8759765625,1940.36,15.3828
219,219,1095000,156.6864,2260.68,-8541.8720703125,1921.65,15.4004
220,220,1100000,156.5439,2265.51,-8564.23828125,1927.66,15.2966
221,221,1105000,156.7049,2298.85,-8620.732421875,1948.09,15.4087
222,222,1110000,156.7049,2302.51,-8695.2802734375,1957.04,15.5291
223,223,1115000,156.5481,2284.34,-8745.548828125,1922.13,15.4878
224,224,1120000,156.6255,2279.52,-8787.607421875,1946.52,15.3311
225,225,1125000,156.6049,2296.54,-8803.591796875,1911.12,15.1635
226,226,1130000,156.5588,2288.41,-8859.73046875,1931.48,15.3674
227,227,1135000,156.7648,2284.52,-8939.9853515625,1946.0,15.3793
228,228,1140000,156.6203,2267.37,-8956.8916015625,1916.26,15.2942
229,229,1145000,156.6144,2306.13,-9047.3603515625,1936.35,15.4399
230,230,1150000,156.6683,2276.29,-9099.79296875,1907.96,15.3774
231,231,1155000,156.6183,2283.38,-9149.4912109375,1927.75,15.278
232,232,1160000,156.824,2276.76,-9186.0107421875,1906.16,15.2716
233,233,1165000,156.6033,2294.87,-9172.61328125,1915.3,15.2957
234,234,1170000,156.5922,2298.08,-9248.7939453125,1910.54,15.1773
235,235,1175000,156.5483,2282.37,-9279.4501953125,1917.33,15.363
236,236,1180000,156.5942,2308.13,-9339.037109375,1929.43,15.3265
237,237,1185000,156.5168,2310.07,-9402.2080078125,1930.72,15.3668
238,238,1190000,156.7501,2303.52,-9445.0654296875,1917.46,15.2384
239,239,1195000,156.5817,2293.87,-9490.134765625,1921.63,15.3225
240,240,1200000,156.5746,2312.63,-9538.5458984375,1918.1,15.3527
241,241,1205000,156.6146,2287.62,-9573.091796875,1906.76,15.2911
242,242,1210000,156.71,2299.67,-9598.4052734375,1916.96,15.4083
243,243,1215000,156.4621,2325.64,-9635.1728515625,1936.34,15.3528
244,244,1220000,156.7508,2320.51,-9682.4755859375,1924.15,15.3739
245,245,1225000,156.6848,2320.73,-9746.4794921875,1918.19,15.4454
246,246,1230000,156.699,2303.5,-9746.3583984375,1936.38,15.4535
247,247,1235000,156.6758,2295.29,-9792.7880859375,1927.88,15.2811
248,248,1240000,156.6545,2276.06,-9856.787109375,1907.68,15.2722
249,249,1245000,156.8029,2273.71,-9852.720703125,1914.4,15.3133
250,250,1250000,156.7275,2293.55,-9925.3046875,1917.62,15.2997
251,251,1255000,156.6437,2288.5,-9904.86328125,1907.86,15.1592
252,252,1260000,156.6259,2279.12,-9951.4287109375,1918.39,15.1938
253,253,1265000,156.6621,2289.19,-10038.73046875,1908.2,15.1604
254,254,1270000,156.5208,2286.93,-10076.3896484375,1902.38,15.2002
255,255,1275000,156.5313,2286.69,-10089.15234375,1921.17,15.1304
256,256,1280000,156.6513,2299.02,-10141.564453125,1905.65,15.1467
257,257,1285000,156.5662,2293.42,-10156.0078125,1909.68,15.0904
258,258,1290000,156.7663,2277.41,-10169.29296875,1911.67,15.1165
259,259,1295000,156.5971,2275.95,-10246.7353515625,1891.67,15.0644
260,260,1300000,156.6875,2286.55,-10265.5546875,1890.43,15.1439
261,261,1305000,156.7272,2309.66,-10310.1171875,1914.86,15.0887
262,262,1310000,156.6566,2293.95,-10362.728515625,1898.93,15.1228
263,263,1315000,156.7435,2283.17,-10367.1396484375,1915.97,15.0053
264,264,1320000,156.6197,2276.17,-10433.2080078125,1885.95,14.9771
265,265,1325000,156.6835,2282.51,-10419.734375,1895.99,15.1707
266,266,1330000,156.619,2303.57,-10504.87890625,1923.97,15.1966
267,267,1335000,156.5316,2307.66,-10536.7099609375,1915.63,15.1504
268,268,1340000,156.5659,2321.85,-10576.9306640625,1936.99,15.2141
269,269,1345000,156.698,2314.9,-10580.98046875,1922.26,15.0947
270,270,1350000,156.6822,2296.15,-10639.138671875,1944.83,15.1608
271,271,1355000,156.7147,2301.61,-10687.9716796875,1926.36,15.2744
272,272,1360000,156.6558,2303.42,-10669.1318359375,1905.87,14.9881
273,273,1365000,156.5933,2296.46,-10714.3955078125,1920.41,15.094
274,274,1370000,156.5869,2288.37,-10715.65234375,1929.31,15.2657
275,275,1375000,156.6123,2294.49,-10813.513671875,1941.48,15.2307
276,276,1380000,156.5544,2308.88,-10813.0009765625,1926.42,15.1767
277,277,1385000,156.6148,2312.23,-10867.4853515625,1937.34,15.1334
278,278,1390000,156.4993,2290.47,-10891.1875,1925.88,15.2219
279,279,1395000,156.7433,2289.24,-10901.6025390625,1914.84,15.2145
280,280,1400000,156.5871,2318.3,-10954.560546875,1938.35,15.3351
281,281,1405000,156.6524,2288.78,-10981.162109375,1926.18,15.0482
282,282,1410000,156.8342,2305.2,-11011.658203125,1927.79,15.1807
283,283,1415000,156.5399,2292.23,-11015.4560546875,1918.22,15.106
284,284,1420000,156.5919,2296.02,-11042.9248046875,1929.89,14.9721
285,285,1425000,156.5971,2312.14,-11087.228515625,1933.37,15.1306
286,286,1430000,156.5801,2283.59,-11035.0966796875,1920.89,15.0814
287,287,1435000,156.6501,2315.27,-11136.9892578125,1950.25,15.1906
288,288,1440000,156.6284,2301.94,-11151.396484375,1924.47,15.2171
289,289,1445000,156.6138,2321.94,-11187.6484375,1942.13,15.2039
290,290,1450000,156.6195,2307.49,-11172.6337890625,1911.44,15.0297
291,291,1455000,156.6461,2323.6,-11254.7470703125,1923.53,15.1441
292,292,1460000,156.5245,2323.5,-11283.8271484375,1932.32,15.2057
293,293,1465000,156.5258,2306.76,-11296.1728515625,1926.31,14.9022
294,294,1470000,156.4589,2334.37,-11309.9013671875,1948.92,15.1133
295,295,1475000,156.6248,2303.06,-11330.4345703125,1915.8,14.955
296,296,1480000,156.5993,2290.33,-11398.4404296875,1934.36,15.0418
297,297,1485000,156.507,2295.01,-11384.6474609375,1938.36,15.0068
298,298,1490000,156.4467,2297.81,-11395.2734375,1917.16,14.9462
299,299,1495000,156.4869,2299.96,-11436.537109375,1931.04,15.111
300,300,1500000,156.5326,2301.31,-11453.1611328125,1929.92,14.8695
301,301,1505000,156.6337,2297.14,-11505.119140625,1929.58,15.1303
302,302,1510000,156.7239,2292.37,-11545.173828125,1918.53,15.1156
303,303,1515000,156.7869,2300.42,-11607.142578125,1947.96,15.0832
304,304,1520000,156.7778,2305.45,-11587.0615234375,1942.09,14.9891
305,305,1525000,156.5401,2321.19,-11677.4384765625,1966.07,15.1885
306,306,1530000,156.54,2297.72,-11674.2734375,1916.72,15.1056
307,307,1535000,156.4737,2294.52,-11677.271484375,1933.19,15.0528
308,308,1540000,156.5891,2323.19,-11758.4814453125,1950.82,15.3072
309,309,1545000,156.6146,2344.59,-11795.6171875,1956.0,15.2323
310,310,1550000,156.6623,2344.16,-11814.1796875,1937.45,15.2422
311,311,1555000,156.6994,2332.45,-11874.322265625,1935.5,15.2037
312,312,1560000,156.6829,2319.19,-11889.32421875,1935.16,15.0143
313,313,1565000,156.5838,2331.25,-11939.1181640625,1944.09,15.1194
314,314,1570000,156.528,2333.73,-11940.5322265625,1941.43,15.0859
315,315,1575000,156.5991,2324.55,-11931.310546875,1930.53,15.0688
316,316,1580000,156.6607,2331.36,-11988.2763671875,1949.3,15.2311
317,317,1585000,156.5891,2338.09,-12025.357421875,1948.0,14.9923
318,318,1590000,156.4616,2335.7,-12035.361328125,1947.7,15.1673
319,319,1595000,156.6167,2340.4,-12107.517578125,1939.4,15.2125
320,320,1600000,156.6008,2337.56,-12072.6953125,1940.35,15.1847
321,321,1605000,156.5759,2354.24,-12206.689453125,1961.56,15.3192
322,322,1610000,156.5956,2333.17,-12168.162109375,1952.32,15.1978
323,323,1615000,156.6878,2332.97,-12232.1162109375,1950.84,15.4231
324,324,1620000,156.5256,2345.13,-12254.1650390625,1935.21,15.3866
325,325,1625000,156.5677,2312.23,-12246.1552734375,1944.76,15.2117
326,326,1630000,156.8069,2341.69,-12280.220703125,1938.37,15.2001
327,327,1635000,156.5356,2332.73,-12298.736328125,1958.58,15.2864
328,328,1640000,156.8139,2333.14,-12379.6494140625,1968.24,15.3258
329,329,1645000,156.6714,2331.99,-12357.34765625,1946.45,15.2554
330,330,1650000,156.6083,2319.03,-12357.3935546875,1941.02,15.3102
331,331,1655000,156.5858,2320.34,-12437.76171875,1968.56,15.319
332,332,1660000,156.6851,2316.76,-12439.3017578125,1956.81,15.1727
333,333,1665000,156.6606,2322.73,-12495.8173828125,1954.94,15.4501
334,334,1670000,156.6915,2303.15,-12515.7421875,1933.61,15.3986
335,335,1675000,156.6952,2325.21,-12540.8134765625,1934.45,15.3103
336,336,1680000,156.6336,2311.16,-12527.474609375,1945.36,15.1235
337,337,1685000,156.6345,2324.45,-12604.5556640625,1948.41,15.4382
338,338,1690000,156.4846,2301.51,-12591.5087890625,1903.37,15.149
339,339,1695000,156.6278,2324.0,-12672.037109375,1946.35,15.4507
340,340,1700000,156.7466,2315.81,-12703.369140625,1957.82,15.1823
341,341,1705000,156.8896,2329.79,-12786.103515625,1961.56,15.6302
342,342,1710000,156.6101,2322.11,-12761.740234375,1974.35,15.2157
343,343,1715000,156.6813,2352.49,-12833.0166015625,1986.45,15.4013
344,344,1720000,156.6201,2320.73,-12825.640625,1967.44,15.4676
345,345,1725000,156.6357,2341.45,-12933.255859375,1973.06,15.5737
346,346,1730000,156.6925,2310.48,-12884.7587890625,1973.12,15.3274
347,347,1735000,156.7603,2320.94,-12943.5888671875,1954.94,15.3842
348,348,1740000,156.5998,2339.8,-12973.462890625,1952.43,15.1674
349,349,1745000,156.5065,2325.75,-13000.7666015625,1961.63,15.4784
350,350,1750000,156.7218,2319.56,-13051.001953125,1955.92,15.472
351,351,1755000,156.8049,2350.2,-13053.4326171875,1977.23,15.4993
352,352,1760000,156.4564,2313.18,-13041.3974609375,1954.68,15.2506
353,353,1765000,156.6804,2303.17,-13136.484375,1940.77,15.2484
354,354,1770000,156.7193,2301.68,-13168.0751953125,1950.91,15.1911
355,355,1775000,156.8484,2322.31,-13213.1865234375,1975.76,15.4637
356,356,1780000,156.7851,2327.84,-13258.5927734375,1970.96,15.5923
357,357,1785000,156.6366,2321.8,-13230.2109375,1979.25,15.3964
358,358,1790000,156.6672,2297.45,-13251.474609375,1930.4,15.4696
359,359,1795000,156.672,2310.81,-13304.30078125,1961.41,15.5273
360,360,1800000,156.606,2324.43,-13296.5146484375,1969.11,15.3813
361,361,1805000,156.7741,2302.68,-13253.26953125,1943.82,15.2427
362,362,1810000,156.7268,2323.7,-13328.4384765625,1951.91,15.414
363,363,1815000,156.8147,2312.93,-13359.845703125,1956.35,15.4039
364,364,1820000,156.6358,2314.35,-13428.814453125,1970.41,15.4266
365,365,1825000,156.6329,2318.5,-13392.669921875,1946.35,15.304
366,366,1830000,156.7203,2324.56,-13431.51171875,1964.48,15.4906
367,367,1835000,156.577,2282.27,-13429.44140625,1939.41,15.3077
368,368,1840000,156.6312,2304.62,-13511.1748046875,1944.81,15.3054
369,369,1845000,156.6167,2290.82,-13416.35546875,1952.37,15.204
370,370,1850000,156.575,2334.38,-13547.7490234375,1962.84,15.2763
371,371,1855000,156.4976,2313.39,-13506.322265625,1964.36,15.2415
372,372,1860000,156.6019,2304.11,-13526.7587890625,1940.83,15.1635
373,373,1865000,156.6036,2302.3,-13545.666015625,1814.23,15.0555
374,374,1870000,156.6166,2322.89,-13586.69921875,1943.89,15.3116
375,375,1875000,156.5958,2269.15,-13579.76953125,1932.79,15.2267
376,376,1880000,156.7352,2313.45,-13602.857421875,1956.57,15.1357
377,377,1885000,156.7457,2269.69,-13601.5283203125,1907.08,15.2048
378,378,1890000,156.5996,2311.03,-13666.7666015625,1949.74,15.008
379,379,1895000,156.5781,2302.75,-13677.7841796875,1958.84,15.0984
380,380,1900000,156.6776,2291.2,-13625.2958984375,1937.41,14.9461
381,381,1905000,156.6048,2291.86,-13649.158203125,1952.56,14.974
382,382,1910000,156.6552,2288.86,-13772.4189453125,1971.1,15.1659
383,383,1915000,156.6942,2300.53,-13729.3017578125,1937.49,15.1472
384,384,1920000,156.7295,2291.83,-13793.92578125,1978.86,15.1284
