Real Sto Return,Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL,Reward Loss,Running Env Steps,Itration
2580.09,3234.45,79,21.5205,11.9542,-689.7246704101562,395000,79
2849.82,3047.66,80,19.9662,11.8171,-605.2681884765625,400000,80
2668.06,2990.53,81,20.5579,11.8865,-669.7421264648438,405000,81
3219.4,3241.74,82,20.8126,12.1644,-603.4861450195312,410000,82
3043.64,3044.28,83,21.7712,12.9258,-851.1138916015625,415000,83
3224.19,3257.6,84,21.1844,12.4598,-655.334716796875,420000,84
2753.92,3155.62,85,20.5644,12.2506,-765.90966796875,425000,85
2986.95,3224.63,86,21.0639,12.1034,-681.727783203125,430000,86
2776.61,3263.73,87,21.1592,13.0534,-837.6822509765625,435000,87
3263.06,3275.73,88,21.1865,12.7541,-709.6096801757812,440000,88
3039.38,3247.18,89,21.3423,12.2647,-746.425537109375,445000,89
3223.12,3276.21,90,20.3596,11.1974,-733.833740234375,450000,90
2958.47,3293.46,91,20.8912,12.6659,-810.5806884765625,455000,91
3130.55,3293.26,92,19.4089,10.7272,-703.7001342773438,460000,92
3235.47,3257.29,93,20.2879,11.6489,-703.8236083984375,465000,93
2816.67,3289.73,94,20.126,11.514,-827.85791015625,470000,94
3314.6,3343.12,95,20.4229,12.1628,-678.9918823242188,475000,95
3213.14,3339.93,96,20.2976,11.426,-668.84619140625,480000,96
3277.08,3305.0,97,19.9155,11.7802,-844.6842651367188,485000,97
3325.26,3313.42,98,20.3449,13.0764,-666.72509765625,490000,98
3196.34,3364.22,99,20.4521,11.9275,-705.1566162109375,495000,99
3312.59,3300.81,100,20.359,12.3673,-699.5601196289062,500000,100
2974.33,3450.67,101,19.7609,11.5511,-566.0218505859375,505000,101
3065.15,3349.85,102,19.9989,11.8228,-739.8701171875,510000,102
2835.9,3384.14,103,19.8866,11.0357,-720.5322265625,515000,103
3325.85,3353.38,104,21.0848,12.487,-817.9037475585938,520000,104
3382.57,3411.24,105,19.5602,11.9754,-610.150390625,525000,105
3384.98,3410.37,106,20.5541,12.6079,-646.2430419921875,530000,106
3379.82,3386.92,107,20.0639,12.7532,-639.1861572265625,535000,107
3262.88,3379.6,108,19.9673,11.5295,-865.236328125,540000,108
3385.96,3419.62,109,19.3168,11.1066,-662.6350708007812,545000,109
3324.74,3340.04,110,20.8244,13.3304,-775.7876586914062,550000,110
3280.58,3379.82,111,19.8911,12.5676,-690.0927734375,555000,111
3342.58,3347.7,112,20.4596,12.7977,-727.501220703125,560000,112
3394.14,3402.1,113,20.5775,13.2367,-701.9663696289062,565000,113
3368.48,3423.3,114,19.6412,11.5319,-673.5628662109375,570000,114
3191.85,3335.44,115,20.7914,11.7076,-1038.554931640625,575000,115
3359.12,3373.25,116,20.4118,12.3962,-899.4494018554688,580000,116
3359.51,3371.54,117,19.8985,12.3435,-760.017822265625,585000,117
3397.7,3428.6,118,20.3666,12.707,-723.4036865234375,590000,118
3281.42,3370.65,119,20.2601,11.9857,-778.0599975585938,595000,119
3364.62,3399.41,120,20.4886,12.6838,-791.5722045898438,600000,120
3338.04,3399.14,121,20.2317,11.8347,-833.341552734375,605000,121
2902.49,3383.2,122,19.8764,13.4005,-945.459716796875,610000,122
3391.87,3422.22,123,20.1242,11.6886,-789.702880859375,615000,123
3288.63,3397.18,124,20.3437,11.7809,-891.4683227539062,620000,124
3339.84,3359.57,125,19.9642,11.9639,-948.3995361328125,625000,125
3384.95,3395.5,126,20.3644,13.1228,-795.50732421875,630000,126
3031.83,3362.59,127,20.0065,11.4714,-958.0176391601562,635000,127
3358.04,3393.75,128,20.3118,12.0791,-835.2564086914062,640000,128
3357.48,3390.47,129,20.0417,11.239,-886.1951904296875,645000,129
3360.15,3389.31,130,20.2568,12.1978,-921.6969604492188,650000,130
3351.5,3425.55,131,20.1306,12.3938,-867.6607055664062,655000,131
3346.52,3362.29,132,20.7472,11.8138,-972.0433349609375,660000,132
3370.82,3380.7,133,19.7888,11.9518,-852.5982666015625,665000,133
3368.47,3386.88,134,19.5537,11.5893,-853.5082397460938,670000,134
3266.28,3425.07,135,18.748,11.6339,-812.2841186523438,675000,135
3351.97,3437.78,136,19.6877,11.5985,-946.0859985351562,680000,136
3175.56,3423.98,137,20.2236,11.3889,-1054.6541748046875,685000,137
3370.67,3379.58,138,19.2727,11.8397,-869.1610107421875,690000,138
3408.89,3417.24,139,19.3845,12.127,-809.5955200195312,695000,139
3301.4,3450.44,140,18.8919,10.3462,-873.017333984375,700000,140
3396.25,3413.37,141,19.2339,11.2489,-822.0010986328125,705000,141
3381.04,3414.35,142,19.0078,10.9053,-901.8828735351562,710000,142
3381.99,3408.77,143,19.1508,11.7598,-854.1279296875,715000,143
2879.38,3451.18,144,19.62,11.1972,-979.8596801757812,720000,144
3363.71,3435.65,145,18.6548,10.784,-871.8991088867188,725000,145
2911.29,3464.36,146,18.9262,10.2995,-899.860107421875,730000,146
3441.13,3456.29,147,18.9978,11.6557,-792.7242431640625,735000,147
3449.03,3466.62,148,18.5747,11.7284,-736.7642822265625,740000,148
3446.27,3460.36,149,19.1293,11.5525,-796.231689453125,745000,149
3417.26,3429.57,150,17.4958,10.0958,-807.96240234375,750000,150
3427.7,3432.98,151,19.5416,11.5204,-879.1878662109375,755000,151
3412.0,3436.96,152,18.3421,11.3641,-807.873291015625,760000,152
3282.51,3433.82,153,18.0913,10.4268,-777.4552001953125,765000,153
3318.2,3405.24,154,17.8833,9.9253,-984.4911499023438,770000,154
3473.63,3506.89,155,18.5531,11.7421,-629.371337890625,775000,155
3308.73,3455.25,156,19.1228,12.1665,-910.4458618164062,780000,156
3406.14,3442.13,157,18.8462,10.7361,-930.2931518554688,785000,157
3328.23,3469.2,158,18.5906,10.5745,-913.08447265625,790000,158
3253.98,3479.76,159,18.8109,10.6078,-800.6251220703125,795000,159
3433.42,3448.26,160,18.2864,10.3321,-935.3709716796875,800000,160
3431.55,3440.71,161,19.0458,11.2439,-998.7057495117188,805000,161
3185.74,3474.16,162,18.8621,10.6513,-1041.4466552734375,810000,162
3423.62,3439.63,163,19.5241,12.1596,-995.9927978515625,815000,163
3365.0,3442.15,164,18.4737,10.4989,-920.013916015625,820000,164
3410.79,3423.99,165,18.5557,11.0659,-970.5741577148438,825000,165
3294.88,3474.9,166,18.4045,10.279,-952.6114501953125,830000,166
3011.65,3468.53,167,19.4779,13.5687,-1159.875732421875,835000,167
3398.54,3437.62,168,18.2671,10.9489,-988.6788940429688,840000,168
3415.41,3426.66,169,18.4228,10.6443,-989.669189453125,845000,169
3384.49,3430.19,170,18.4246,10.842,-954.046875,850000,170
3258.82,3443.89,171,18.6592,10.4035,-1145.0341796875,855000,171
3355.58,3439.37,172,18.4531,10.5782,-1000.1316528320312,860000,172
3052.68,3459.78,173,18.9157,11.1589,-1022.7625122070312,865000,173
2775.23,3470.46,174,18.6304,13.2,-1144.7801513671875,870000,174
3254.39,3456.93,175,17.3809,9.6605,-956.1952514648438,875000,175
2153.21,3422.89,176,18.2723,11.2272,-1185.934814453125,880000,176
3397.14,3435.02,177,19.2527,11.4421,-1198.3211669921875,885000,177
3153.98,3442.58,178,18.2929,10.9393,-1145.6297607421875,890000,178
3273.1,3457.45,179,17.7296,10.1046,-1010.1443481445312,895000,179
3093.52,3475.64,180,18.6909,11.524,-1109.7490234375,900000,180
3420.84,3437.04,181,18.938,11.9619,-1005.1796264648438,905000,181
2343.92,3445.98,182,19.3134,10.9886,-1397.64501953125,910000,182
2644.22,3459.15,183,18.6405,11.0457,-1192.353759765625,915000,183
3397.07,3478.46,184,17.9985,10.8431,-882.0392456054688,920000,184
3422.39,3442.22,185,18.4487,10.8029,-1026.7056884765625,925000,185
2776.43,3445.58,186,19.1514,10.8564,-1373.17431640625,930000,186
3336.9,3480.01,187,18.0795,10.5901,-1095.156005859375,935000,187
3407.36,3446.14,188,18.3211,10.8495,-986.44775390625,940000,188
3358.67,3431.11,189,17.9905,10.3719,-864.0742797851562,945000,189
3234.93,3441.17,190,18.7214,10.6608,-1092.679443359375,950000,190
3364.63,3474.91,191,18.3319,10.3591,-997.7531127929688,955000,191
3469.65,3491.83,192,17.3248,11.0999,-986.4063110351562,960000,192
3182.26,3460.73,193,18.2042,10.8246,-1212.0745849609375,965000,193
3451.38,3462.71,194,18.7406,10.8547,-1250.7735595703125,970000,194
3263.84,3470.28,195,17.9865,10.0003,-1025.974853515625,975000,195
3414.16,3435.41,196,18.5699,10.9694,-1188.5426025390625,980000,196
3349.65,3428.37,197,18.2539,10.4804,-1220.28173828125,985000,197
3357.85,3440.58,198,18.3938,10.7741,-1144.4686279296875,990000,198
3370.89,3455.16,199,18.147,9.9315,-1033.175048828125,995000,199
