Running Reverse KL,Running Env Steps,Real Sto Return,Running Update Time,Itration,Real Det Return,Running Forward KL,Reward Loss
29.4228,515000,943.56,103,103,943.41,35.6108,-3758.589599609375
28.6769,520000,971.05,104,104,970.76,35.901,-4208.544921875
31.4222,525000,976.08,105,105,976.05,36.0699,-4026.11376953125
38.205,530000,963.56,106,106,963.92,36.425,-3889.199951171875
40.7442,535000,973.45,107,107,973.39,36.3852,-3923.78564453125
39.7937,540000,972.28,108,108,973.08,36.3602,-4108.904296875
39.878,545000,967.35,109,109,967.23,36.4394,-4079.681884765625
41.2067,550000,966.33,110,110,966.4,36.6395,-4236.716796875
31.4837,555000,547.19,111,111,466.67,36.1951,-4082.47705078125
33.536,560000,932.8,112,112,932.33,36.355,-4174.43798828125
32.2947,565000,912.84,113,113,910.36,36.3009,-4351.41015625
32.5449,570000,790.32,114,114,806.58,35.8435,-4485.41455078125
36.1292,575000,963.46,115,115,963.48,36.3061,-4522.14453125
30.4242,580000,944.95,116,116,943.8,36.0661,-4379.60498046875
31.3613,585000,910.02,117,117,909.31,35.7779,-4014.596923828125
29.9389,590000,693.78,118,118,670.67,35.762,-4518.18408203125
29.715,595000,941.44,119,119,947.45,35.9878,-4690.73583984375
34.1102,600000,974.62,120,120,974.62,36.3344,-5193.26513671875
28.4146,605000,931.8,121,121,932.01,35.6634,-4541.73486328125
27.2986,610000,447.44,122,122,512.47,35.5935,-4282.80322265625
27.0415,615000,565.11,123,123,595.17,35.7176,-4090.568115234375
37.8708,620000,81.87,124,124,82.79,34.4719,-4265.46728515625
26.9995,625000,759.65,125,125,737.36,35.2705,-4737.5
28.0205,630000,931.79,126,126,933.22,35.4791,-4685.22607421875
35.0331,635000,467.59,127,127,577.41,35.4847,-4994.03759765625
27.1495,640000,855.75,128,128,857.08,35.524,-4955.9423828125
34.8078,645000,961.69,129,129,950.54,36.1132,-5429.966796875
30.0827,650000,670.81,130,130,665.7,35.6513,-4760.97265625
52.6358,655000,192.94,131,131,214.87,34.9584,-5249.2236328125
37.5448,660000,986.3,132,132,986.54,36.1467,-5849.7236328125
27.7818,665000,885.53,133,133,883.57,35.3557,-5253.81298828125
37.6967,670000,895.92,134,134,896.9,35.4081,-5757.7236328125
32.1909,675000,880.61,135,135,880.7,35.367,-5638.91796875
27.3086,680000,824.07,136,136,802.3,35.544,-5406.1494140625
31.0295,685000,401.92,137,137,435.65,35.5595,-5225.65087890625
32.2453,690000,416.95,138,138,421.29,35.5171,-5510.203125
33.8363,695000,370.57,139,139,362.43,35.6882,-5425.146484375
32.1512,700000,587.88,140,140,597.49,35.5278,-5468.84228515625
33.6116,705000,841.99,141,141,799.5,35.582,-5781.52490234375
26.4213,710000,608.45,142,142,662.34,35.5003,-5680.56640625
28.9679,715000,510.73,143,143,498.19,35.6567,-5551.017578125
30.7924,720000,837.08,144,144,809.5,35.6472,-5873.96728515625
27.8125,725000,278.09,145,145,303.22,35.5386,-5949.36669921875
25.5881,730000,590.84,146,146,558.37,35.4562,-5871.78515625
31.6688,735000,975.91,147,147,975.87,35.7043,-5860.68798828125
28.8705,740000,404.06,148,148,481.47,35.7949,-5742.15673828125
30.113,745000,878.29,149,149,893.88,35.633,-6163.20703125
30.4566,750000,562.14,150,150,571.22,35.7544,-5888.646484375
28.9531,755000,348.73,151,151,339.64,35.801,-5777.94287109375
29.7908,760000,190.72,152,152,188.71,35.9105,-5461.2568359375
36.9153,765000,617.36,153,153,620.29,35.8254,-6385.38720703125
30.5701,770000,773.61,154,154,734.89,35.7528,-5836.287109375
42.6091,775000,383.63,155,155,401.27,35.7504,-6503.90576171875
79.9449,780000,275.23,156,156,271.33,35.9416,-6573.56396484375
35.9964,785000,981.55,157,157,980.06,36.006,-6697.52001953125
56.3762,790000,334.98,158,158,339.85,35.7182,-6490.32421875
30.7137,795000,526.69,159,159,565.24,35.6314,-6078.216796875
30.9578,800000,311.87,160,160,424.71,35.5723,-6268.02197265625
103.0301,805000,173.05,161,161,189.26,35.7482,-6716.20361328125
128.8153,810000,243.71,162,162,237.38,35.7654,-7275.31494140625
71.4423,815000,222.89,163,163,240.86,35.5057,-6785.80712890625
27.9373,820000,222.19,164,164,217.83,35.5544,-6602.712890625
69.0962,825000,496.63,165,165,494.7,35.6391,-7422.93212890625
89.1298,830000,274.94,166,166,274.94,35.9307,-7133.03564453125
86.2451,835000,285.68,167,167,279.81,35.5708,-7212.06640625
111.3752,840000,334.06,168,168,332.56,35.806,-7672.77099609375
30.8049,845000,903.89,169,169,910.28,35.7244,-7181.79345703125
103.5133,850000,309.88,170,170,297.41,35.5834,-7810.994140625
142.3348,855000,112.83,171,171,107.11,35.8663,-7922.8408203125
34.0253,860000,967.84,172,172,951.92,35.8753,-7394.6162109375
60.1716,865000,156.28,173,173,153.25,35.9967,-6895.88037109375
51.1403,870000,594.88,174,174,605.92,35.9261,-7645.3232421875
33.2207,875000,990.25,175,175,983.16,36.2072,-8495.9921875
31.9897,880000,962.04,176,176,958.41,35.8508,-7870.2314453125
30.9709,885000,141.95,177,177,154.18,35.8525,-6320.19384765625
62.2782,890000,150.86,178,178,138.46,35.7032,-7254.66162109375
126.1967,895000,210.2,179,179,209.72,35.8954,-8818.732421875
140.4051,900000,268.07,180,180,263.66,35.719,-9036.9912109375
120.6874,905000,274.78,181,181,277.06,35.7119,-9080.236328125
154.9801,910000,162.31,182,182,134.92,35.9691,-9499.0869140625
103.2328,915000,311.37,183,183,308.0,35.859,-9200.4853515625
107.0256,920000,190.05,184,184,149.72,35.8246,-9074.9873046875
33.5674,925000,501.14,185,185,407.67,35.8706,-7737.2255859375
95.6555,930000,127.46,186,186,138.14,36.0089,-8981.7412109375
87.0714,935000,337.15,187,187,331.42,35.631,-9332.3916015625
71.7756,940000,403.18,188,188,428.31,35.6387,-9029.5849609375
106.4483,945000,121.65,189,189,144.62,35.5346,-10103.5927734375
113.6885,950000,270.88,190,190,264.18,35.7189,-9852.6298828125
118.952,955000,167.32,191,191,162.37,35.9342,-10711.2431640625
56.7783,960000,185.76,192,192,199.39,35.7234,-10299.060546875
44.4089,965000,1022.03,193,193,1023.17,35.8707,-10319.677734375
68.7071,970000,233.56,194,194,230.96,35.7834,-9484.31640625
133.1025,975000,172.51,195,195,160.76,35.866,-10626.181640625
30.9659,980000,526.63,196,196,537.95,35.5665,-9636.515625
88.9392,985000,233.44,197,197,277.9,35.9858,-10449.9892578125
32.3167,990000,935.65,198,198,927.31,35.7414,-9385.96484375
29.0806,995000,895.54,199,199,951.04,35.6817,-9221.1220703125
