Running Env Steps,Running Reverse KL,Running Forward KL,Real Det Return,Reward Loss,Itration,Running Update Time,Real Sto Return
310000,11.3867,18.5573,3257.92,-355.9788513183594,62,62,3086.98
315000,11.8604,19.3967,3222.94,-387.4463195800781,63,63,2771.74
320000,10.3301,17.3656,3324.43,-241.10719299316406,64,64,3045.98
325000,11.8274,20.479,3139.19,-356.0772399902344,65,65,3057.13
330000,15.4218,18.7058,3324.66,-302.9730224609375,66,66,2081.59
335000,18.1472,18.858,3322.73,-488.6526184082031,67,67,2769.74
340000,10.3857,17.2792,3319.9,-293.30792236328125,68,68,3329.28
345000,11.9865,19.9572,3232.51,-379.4749450683594,69,69,3241.43
350000,9.5957,17.8669,3273.79,-331.6875,70,70,3199.16
355000,10.9191,19.461,3211.49,-421.52923583984375,71,71,3223.58
360000,8.5107,16.5181,3303.18,-319.617919921875,72,72,3306.26
365000,22.7889,21.0217,2020.75,-800.1107788085938,73,73,1417.05
370000,10.4621,18.0008,3254.83,-379.00872802734375,74,74,3262.38
375000,10.3282,16.8124,3250.64,-297.76666259765625,75,75,3116.58
380000,9.7995,16.9614,3333.03,-273.4869384765625,76,76,3342.62
385000,12.1049,17.7227,3361.18,-397.86517333984375,77,77,2673.29
390000,9.6236,16.1365,3286.33,-160.60789489746094,78,78,3105.89
395000,12.7318,17.1094,3346.55,-316.1556396484375,79,79,2906.59
400000,9.2647,17.0735,3306.41,-361.714599609375,80,80,3018.19
405000,9.5943,16.6125,3303.41,-291.83404541015625,81,81,3317.9
410000,11.3006,17.4687,3342.49,-363.38702392578125,82,82,3127.75
415000,10.176,17.8992,3291.4,-397.17694091796875,83,83,3291.93
420000,9.4179,16.9036,3322.4,-300.7488708496094,84,84,3337.84
425000,10.1896,17.7677,3340.67,-389.39105224609375,85,85,3318.81
430000,10.3003,17.5463,3298.86,-360.9744873046875,86,86,3327.43
435000,11.2932,17.9754,3304.71,-386.3855895996094,87,87,3326.58
440000,10.9063,17.9304,3333.06,-365.6105651855469,88,88,3331.71
445000,10.501,16.5894,3345.18,-337.7896423339844,89,89,3360.53
450000,11.6868,19.3822,3285.66,-435.83465576171875,90,90,3296.7
455000,10.1018,16.9241,3367.94,-321.0469055175781,91,91,3377.39
460000,10.6129,18.5016,3241.32,-436.5992126464844,92,92,3249.19
465000,11.7154,18.666,3287.73,-433.57562255859375,93,93,3303.85
470000,10.445,17.8681,3280.01,-455.0998840332031,94,94,3284.57
475000,10.2516,17.4696,3385.12,-382.7467956542969,95,95,3366.94
480000,11.618,18.0186,3342.04,-389.8607177734375,96,96,3329.4
485000,11.2537,17.5933,3374.98,-385.872314453125,97,97,3332.18
490000,11.111,17.9986,3321.43,-446.1852722167969,98,98,3319.94
495000,10.8797,18.1008,3260.63,-501.14154052734375,99,99,3269.24
500000,12.0408,19.3187,3278.24,-483.5713806152344,100,100,3287.61
505000,10.1495,18.1756,3348.31,-482.9201965332031,101,101,3311.92
510000,11.2867,17.5471,3281.84,-447.5439453125,102,102,3281.79
515000,9.8257,17.3962,3361.33,-417.4181823730469,103,103,3352.75
520000,10.6195,18.9309,3280.52,-512.638427734375,104,104,3248.85
525000,10.7121,18.3554,3385.2,-379.82476806640625,105,105,3314.88
530000,9.5768,17.2357,3351.93,-500.7207336425781,106,106,3306.72
535000,10.4711,17.2818,3341.21,-509.046630859375,107,107,3253.4
540000,11.1995,17.911,3342.43,-510.6341857910156,108,108,3340.17
545000,10.1006,17.6996,3328.32,-482.3161315917969,109,109,3317.89
550000,9.6261,17.817,3399.68,-492.2027587890625,110,110,3178.27
555000,10.2922,17.449,3324.16,-492.71014404296875,111,111,3218.23
560000,10.9258,17.3589,3362.67,-500.8110046386719,112,112,3326.09
565000,11.1842,17.376,3382.01,-456.0572509765625,113,113,3365.25
570000,10.2262,17.3369,3364.22,-529.0524291992188,114,114,3336.02
575000,10.7382,17.2282,3385.74,-512.2948608398438,115,115,3361.01
580000,11.0079,18.3068,3384.59,-529.1963500976562,116,116,3369.9
585000,11.3117,17.8958,3330.96,-579.479248046875,117,117,3326.68
590000,10.413,17.5372,3378.92,-561.63818359375,118,118,3358.2
595000,10.0858,17.3103,3366.65,-567.52880859375,119,119,3336.53
600000,10.8051,17.2397,3409.59,-493.4938659667969,120,120,3369.26
605000,9.7091,18.3506,3292.85,-667.845947265625,121,121,3231.16
610000,10.3478,17.4099,3378.77,-544.6621704101562,122,122,3300.89
615000,10.4234,15.9413,3419.79,-465.2313232421875,123,123,3402.87
620000,10.8028,16.5145,3423.73,-400.55975341796875,124,124,3398.92
625000,10.8246,17.8597,3381.56,-551.522216796875,125,125,3290.3
630000,10.0466,16.9332,3386.62,-503.8204040527344,126,126,3206.15
635000,11.9449,19.2958,2743.43,-984.3247680664062,127,127,1756.63
640000,9.5593,16.5118,3390.4,-475.5762023925781,128,128,3373.63
645000,10.1202,16.9488,3385.66,-506.3900451660156,129,129,3361.43
650000,9.9315,16.3434,3400.93,-530.7806396484375,130,130,3372.23
655000,10.3637,16.7236,3415.93,-456.6983337402344,131,131,3388.84
660000,9.4863,16.6497,3363.58,-601.8435668945312,132,132,3303.57
665000,10.1457,16.5528,3415.71,-554.0587768554688,133,133,3387.35
670000,9.9116,17.2306,3406.2,-611.9940185546875,134,134,3343.81
675000,9.1865,16.5861,3423.56,-577.29150390625,135,135,3390.02
680000,9.5069,16.3674,3377.53,-556.1000366210938,136,136,3349.16
685000,9.9228,15.929,3431.13,-424.65826416015625,137,137,3405.09
690000,9.1273,15.9593,3399.66,-495.67218017578125,138,138,3373.31
695000,9.516,16.2909,3412.39,-545.4175415039062,139,139,3380.5
700000,9.5245,15.9485,3347.55,-552.307373046875,140,140,3246.52
705000,10.7309,16.5385,3415.77,-520.088134765625,141,141,3227.27
710000,9.6689,16.3001,3401.88,-505.1042175292969,142,142,3214.41
715000,9.9629,16.5058,3393.61,-488.7318420410156,143,143,3369.67
720000,9.3601,16.7612,3416.22,-523.3648071289062,144,144,3387.04
725000,10.0122,17.2472,3402.79,-526.535400390625,145,145,3373.19
730000,9.4314,16.8469,3432.0,-547.279052734375,146,146,3406.01
735000,9.7429,16.7684,3410.29,-648.9890747070312,147,147,3379.17
740000,9.194,15.5682,3399.65,-513.6179809570312,148,148,3378.36
745000,9.7328,16.4259,3419.19,-567.4484252929688,149,149,3399.81
750000,9.9936,17.2406,3360.62,-590.7352905273438,150,150,3314.89
755000,9.8668,16.3169,3378.36,-619.2176513671875,151,151,3339.27
760000,9.5945,16.6173,3419.11,-617.3931274414062,152,152,3214.92
765000,9.9412,16.3845,3418.46,-582.328369140625,153,153,3388.12
770000,9.4936,16.5286,3408.43,-576.0355224609375,154,154,3316.89
775000,10.1735,16.4575,3401.4,-667.6696166992188,155,155,3381.74
780000,9.8396,16.3581,3394.04,-609.8875122070312,156,156,3369.37
785000,10.003,16.3979,3424.89,-496.802001953125,157,157,3134.45
790000,9.4548,15.8472,3412.69,-544.9019165039062,158,158,3391.57
795000,9.9706,16.834,3479.86,-538.67919921875,159,159,3298.2
800000,9.9084,16.9324,3414.95,-576.469970703125,160,160,3290.71
805000,9.8866,16.1184,3426.53,-596.7518920898438,161,161,3405.48
810000,9.7017,16.4682,3411.75,-680.6480712890625,162,162,3389.2
815000,10.845,17.5455,3417.98,-758.3895263671875,163,163,3397.2
820000,10.1514,16.4905,3413.57,-564.4473876953125,164,164,3132.81
825000,10.7314,16.9817,3412.75,-727.7490234375,165,165,3125.65
830000,9.3974,15.5608,3431.96,-539.379638671875,166,166,3336.62
835000,9.8479,16.31,3394.18,-664.6715087890625,167,167,3373.94
840000,9.6867,16.5543,3402.15,-685.981201171875,168,168,3370.99
845000,10.4886,16.3504,3398.34,-653.3242797851562,169,169,3384.11
850000,9.7077,15.6748,3431.32,-683.5547485351562,170,170,3399.57
855000,9.3487,15.6187,3415.11,-577.369140625,171,171,3145.82
860000,9.7988,15.8642,3411.69,-674.7191162109375,172,172,3382.37
865000,9.6495,16.3307,3422.95,-654.8628540039062,173,173,3388.39
870000,9.362,16.3456,3412.11,-606.5824584960938,174,174,3393.27
875000,10.073,16.9543,3436.12,-758.9174194335938,175,175,3286.9
880000,10.6025,15.9334,3410.36,-643.9338989257812,176,176,3365.14
885000,9.3117,16.5833,3385.16,-789.4764404296875,177,177,3368.44
890000,9.0833,15.8998,3403.63,-622.5679931640625,178,178,3382.48
895000,10.0591,16.2383,3430.61,-688.0895385742188,179,179,3404.8
900000,9.8457,16.7598,3434.82,-765.3161010742188,180,180,3386.87
905000,10.4761,17.3463,3420.38,-727.198486328125,181,181,3410.07
910000,11.6154,16.177,3428.53,-655.4998779296875,182,182,3160.74
915000,9.6121,16.2508,3449.38,-645.229736328125,183,183,3430.61
920000,10.2672,16.4299,3398.17,-585.59814453125,184,184,3383.03
925000,9.5924,16.8722,3396.27,-856.587890625,185,185,3367.13
930000,10.451,18.0819,3295.98,-821.913818359375,186,186,3255.88
935000,10.7938,18.088,3441.54,-1438.6947021484375,187,187,2805.92
940000,9.5206,15.5906,3442.01,-706.6048583984375,188,188,3421.45
945000,10.2416,16.8321,3424.3,-749.144287109375,189,189,3346.83
950000,10.4101,19.1134,3338.04,-1077.484619140625,190,190,3316.2
955000,10.1425,15.7381,3454.86,-664.8656005859375,191,191,3407.05
960000,9.8184,15.8081,3429.33,-697.2085571289062,192,192,3321.54
965000,9.1279,15.5415,3411.89,-632.5653686523438,193,193,3396.19
970000,9.0553,15.3088,3430.66,-631.4994506835938,194,194,3386.53
975000,8.8106,15.5846,3394.65,-751.7307739257812,195,195,3398.08
980000,9.2751,16.8036,3419.8,-866.6642456054688,196,196,3412.94
985000,9.1991,16.2663,3446.5,-714.7451171875,197,197,3423.82
990000,9.3452,16.1374,3418.5,-794.0265502929688,198,198,3408.18
995000,9.4279,15.9617,3455.28,-649.7958374023438,199,199,3433.99
