Running Update Time,Itration,Running Reverse KL,Running Forward KL,Real Sto Return,Real Det Return,Reward Loss,Running Env Steps
31,31,27.2694,22.6818,1821.22,1909.47,-1380.4827880859375,155000
32,32,13.7607,21.6653,3009.27,3109.18,-539.9296264648438,160000
33,33,14.1868,21.08,3113.21,3143.97,-713.5797119140625,165000
34,34,14.1658,21.5649,3148.86,3183.66,-664.652587890625,170000
35,35,15.3084,21.3784,2001.57,3153.77,-1293.3275146484375,175000
36,36,24.5128,22.9401,1843.08,2842.85,-1670.8623046875,180000
37,37,14.1381,21.9342,3106.21,3120.06,-621.1049194335938,185000
38,38,13.9507,22.1184,2982.59,3088.96,-656.9513549804688,190000
39,39,13.8314,21.7979,3096.23,3150.79,-617.624267578125,195000
40,40,14.7939,21.5502,3095.38,3195.16,-755.1994018554688,200000
41,41,13.4818,21.5999,3066.64,3179.85,-680.0721435546875,205000
42,42,16.7671,22.2073,1993.62,3165.56,-1556.9146728515625,210000
43,43,13.0976,21.3344,3095.21,3196.65,-628.8555908203125,215000
44,44,13.0593,21.9956,3054.65,3169.68,-799.8038940429688,220000
45,45,12.8754,21.2637,2944.43,3102.9,-764.9059448242188,225000
46,46,18.0322,22.9853,1497.52,1873.01,-1809.068603515625,230000
47,47,12.4337,21.4916,2661.14,3195.03,-911.326416015625,235000
48,48,17.7575,21.2849,2773.14,3218.65,-1255.5540771484375,240000
49,49,20.5019,22.5386,2195.58,3143.39,-1558.2257080078125,245000
50,50,13.1215,20.5129,3093.82,3167.22,-808.236083984375,250000
51,51,13.1334,21.7459,3103.31,3110.2,-826.6687622070312,255000
52,52,14.6047,20.9914,2651.31,3203.7,-975.2657470703125,260000
53,53,14.7039,21.8549,2618.77,3164.13,-1436.720703125,265000
54,54,16.8636,22.0038,1949.17,2246.3,-1755.0068359375,270000
55,55,14.0627,21.7286,2351.86,2887.77,-1407.2244873046875,275000
56,56,16.0645,21.7526,2296.37,3180.94,-1795.6727294921875,280000
57,57,14.4953,22.243,1845.96,2512.71,-1650.857177734375,285000
58,58,13.7373,21.7799,2569.01,2683.24,-1444.8564453125,290000
59,59,12.379,21.4011,2818.43,3227.2,-1027.1688232421875,295000
60,60,12.3572,20.5264,2955.48,3187.75,-1128.033203125,300000
61,61,11.769,20.6944,3042.52,3204.47,-1025.2890625,305000
62,62,12.0742,20.4366,2942.4,3213.94,-891.39501953125,310000
63,63,11.4645,20.1487,3072.42,3259.24,-981.9908447265625,315000
64,64,12.2068,21.1563,3110.41,3247.34,-984.4329223632812,320000
65,65,12.0654,20.339,3129.89,3125.67,-952.9439086914062,325000
66,66,12.4709,20.5264,3186.28,3205.93,-948.7142944335938,330000
67,67,11.8242,20.5449,3114.07,3204.86,-931.2246704101562,335000
68,68,11.8273,21.0561,3018.74,3211.77,-1024.0557861328125,340000
69,69,11.2145,20.3474,3116.29,3238.69,-1271.8916015625,345000
70,70,11.7684,20.0181,3196.28,3184.35,-1037.714599609375,350000
71,71,12.3428,20.2589,3198.11,3174.57,-1027.221923828125,355000
72,72,12.3852,20.4789,3171.41,3142.42,-1069.29052734375,360000
73,73,11.7856,20.1257,3108.51,3229.03,-1102.7705078125,365000
74,74,11.5893,18.9737,3280.04,3299.98,-876.4131469726562,370000
75,75,11.994,19.8884,3174.84,3179.46,-1086.2406005859375,375000
76,76,11.568,19.0664,3199.65,3223.31,-1081.0867919921875,380000
77,77,12.0038,19.6232,3051.78,3271.82,-963.2071533203125,385000
78,78,12.4036,19.6573,3162.4,3220.55,-1058.2657470703125,390000
79,79,11.9402,19.3694,3229.88,3247.32,-974.8363647460938,395000
80,80,12.0167,19.2288,3297.89,3305.44,-854.0866088867188,400000
81,81,12.1236,19.5982,3262.2,3276.34,-949.65869140625,405000
82,82,11.447,18.868,3228.1,3223.82,-933.4594116210938,410000
83,83,12.9305,19.9378,3254.09,3280.95,-997.2874755859375,415000
84,84,12.5876,19.2231,3281.34,3286.06,-962.4310302734375,420000
85,85,12.0143,19.2723,3252.05,3263.45,-965.251953125,425000
86,86,12.1473,19.4033,3219.89,3240.06,-1064.9012451171875,430000
87,87,12.2007,19.7888,3281.46,3276.14,-978.7847290039062,435000
88,88,12.2275,19.1926,3287.5,3292.45,-993.5331420898438,440000
89,89,11.0151,18.6579,3033.55,3365.65,-944.5293579101562,445000
90,90,11.7604,18.4797,3348.17,3366.47,-972.2208862304688,450000
91,91,12.3566,19.3053,3219.46,3304.53,-1005.2783813476562,455000
92,92,11.5633,19.0097,3164.32,3303.39,-1073.5758056640625,460000
93,93,12.0234,18.5461,3296.34,3330.51,-941.281982421875,465000
94,94,11.8507,18.4382,3316.4,3311.78,-942.8677368164062,470000
95,95,11.7482,19.071,3255.88,3369.14,-1121.3519287109375,475000
96,96,12.029,18.9065,3290.92,3288.47,-1054.0400390625,480000
97,97,11.9006,18.9749,2986.69,3369.93,-966.3522338867188,485000
98,98,11.5672,18.5666,3305.6,3316.45,-1042.679931640625,490000
99,99,12.4957,19.4212,3292.03,3316.82,-1103.532470703125,495000
100,100,12.268,18.4707,3191.67,3360.14,-957.1532592773438,500000
101,101,12.1416,18.1928,3361.99,3391.11,-960.8809814453125,505000
102,102,12.3636,18.2495,3399.34,3417.65,-875.8125,510000
103,103,11.6543,18.4586,3357.97,3334.82,-962.5023803710938,515000
104,104,12.3093,19.0682,3328.46,3320.55,-1112.4801025390625,520000
105,105,11.5873,17.913,3380.57,3385.23,-927.7393798828125,525000
106,106,12.5094,19.258,3343.68,3342.37,-1038.7200927734375,530000
107,107,12.3928,18.9085,3347.89,3353.37,-1053.1756591796875,535000
108,108,10.7894,18.8936,2784.78,3418.27,-1013.6437377929688,540000
109,109,11.9985,18.6391,3339.63,3367.26,-1008.0693969726562,545000
110,110,11.9927,18.111,3361.4,3351.71,-948.0881958007812,550000
111,111,11.2626,18.0232,3373.03,3367.3,-920.7086181640625,555000
112,112,11.7014,18.1351,3403.76,3391.94,-842.75830078125,560000
113,113,11.9109,18.5038,3341.29,3331.49,-1060.08544921875,565000
114,114,10.9709,17.8259,3344.31,3372.28,-967.3548583984375,570000
115,115,11.1032,18.4032,3272.48,3319.0,-940.1611328125,575000
116,116,11.1923,18.2794,3117.56,3368.93,-1051.167236328125,580000
117,117,11.2898,17.7664,3368.78,3400.46,-879.900390625,585000
118,118,10.6072,18.0696,3341.2,3356.02,-988.50537109375,590000
119,119,11.0946,18.0802,3409.48,3396.03,-887.4771118164062,595000
120,120,10.4651,17.653,3325.25,3324.66,-1230.0269775390625,600000
121,121,11.4154,18.4556,3255.26,3300.2,-1220.364990234375,605000
122,122,10.3026,16.8646,3352.28,3346.12,-1051.635498046875,610000
123,123,10.9236,17.8669,3258.21,3354.36,-984.4552612304688,615000
124,124,10.8547,17.4934,3377.68,3377.71,-789.66748046875,620000
125,125,11.0891,17.8893,3280.08,3395.86,-1045.3828125,625000
126,126,10.8268,17.5036,3359.76,3366.3,-993.7423706054688,630000
127,127,11.9032,17.9801,3392.77,3379.04,-998.4560546875,635000
128,128,11.3922,17.954,3282.95,3348.28,-997.9879760742188,640000
129,129,11.0122,18.0795,3317.84,3340.65,-1182.0455322265625,645000
130,130,11.1499,17.683,3277.73,3431.02,-931.291748046875,650000
131,131,10.3738,17.7047,3315.69,3416.45,-1009.2608642578125,655000
132,132,10.0222,17.378,3278.74,3350.95,-1043.0635986328125,660000
133,133,11.1309,17.7906,3366.64,3380.93,-1038.585205078125,665000
134,134,11.0262,18.2328,3354.13,3412.74,-1152.2452392578125,670000
135,135,11.5699,18.8329,3346.52,3349.1,-1210.72509765625,675000
136,136,10.5799,17.8361,2927.45,3392.48,-1119.6103515625,680000
137,137,11.595,17.9132,3342.91,3385.78,-979.5518188476562,685000
138,138,10.42,17.3077,3400.93,3420.11,-890.8548583984375,690000
139,139,11.3074,17.7773,3325.06,3381.89,-977.6317749023438,695000
140,140,10.3961,17.828,3140.34,3386.76,-1077.3167724609375,700000
141,141,10.8408,17.9335,3306.08,3409.78,-879.4552612304688,705000
142,142,10.8351,17.9746,3381.26,3409.23,-1011.745361328125,710000
143,143,11.0889,17.502,3400.58,3411.17,-978.1566162109375,715000
144,144,11.4757,17.8968,3356.39,3388.96,-1065.127197265625,720000
145,145,10.9138,17.6673,3205.9,3427.34,-1072.290283203125,725000
146,146,10.7858,17.5895,3162.9,3392.65,-981.8795166015625,730000
147,147,10.9209,17.6081,3351.12,3369.28,-1176.5477294921875,735000
148,148,10.5766,18.1326,3044.29,3451.12,-1191.6741943359375,740000
149,149,10.7615,17.3145,3316.69,3441.28,-1018.6173706054688,745000
150,150,11.0017,17.2388,3369.6,3398.31,-1243.7481689453125,750000
151,151,10.4425,17.9098,3200.76,3442.99,-1216.2425537109375,755000
152,152,10.5694,17.2791,3362.56,3403.85,-1097.0543212890625,760000
153,153,11.1729,17.1998,3390.07,3381.61,-1020.525634765625,765000
154,154,10.8318,18.2957,3396.62,3415.27,-1296.7984619140625,770000
155,155,10.585,17.4884,3258.55,3359.84,-1155.9495849609375,775000
156,156,10.4992,16.9502,3385.35,3389.08,-1140.6666259765625,780000
157,157,10.754,17.1671,3389.28,3371.92,-1013.5958862304688,785000
158,158,11.0254,17.3379,3316.66,3412.32,-873.3235473632812,790000
159,159,10.4849,17.3898,3369.96,3372.17,-1152.720458984375,795000
160,160,10.4471,16.6149,3408.88,3429.65,-894.86865234375,800000
161,161,11.1409,17.264,3317.53,3448.59,-1107.853515625,805000
162,162,10.3945,18.0322,3276.11,3437.59,-990.1845092773438,810000
163,163,10.7876,18.2421,3146.81,3425.68,-1369.2677001953125,815000
164,164,11.6571,17.9074,3423.81,3449.28,-770.1157836914062,820000
165,165,10.8679,17.5205,3391.59,3378.44,-1195.251220703125,825000
166,166,11.0342,16.8629,3430.63,3451.28,-1129.75048828125,830000
167,167,10.445,17.4648,3433.68,3455.23,-997.7504272460938,835000
168,168,11.8881,17.9927,3437.15,3441.88,-1068.27587890625,840000
169,169,11.3515,16.8376,3418.34,3422.53,-959.146728515625,845000
170,170,10.7527,16.8005,3321.01,3440.85,-1231.4654541015625,850000
171,171,11.0222,17.6339,3393.1,3397.44,-1266.906982421875,855000
172,172,10.3807,17.6444,3261.05,3490.32,-919.052001953125,860000
173,173,10.286,18.1764,3292.47,3438.08,-1311.813720703125,865000
174,174,11.3945,17.739,3392.63,3528.83,-700.4642333984375,870000
175,175,12.243,18.3245,3409.89,3495.79,-855.8226318359375,875000
176,176,10.8645,17.2412,3400.26,3442.55,-1358.4517822265625,880000
177,177,11.4235,17.0913,3434.22,3452.14,-1063.8604736328125,885000
178,178,10.9037,17.8317,3300.58,3458.51,-911.6021728515625,890000
179,179,11.3625,17.1737,3422.24,3446.8,-1104.885986328125,895000
180,180,11.4435,17.1455,3405.97,3470.34,-1109.96826171875,900000
181,181,11.3364,17.1094,3388.89,3456.56,-1117.0572509765625,905000
182,182,10.8171,16.7802,3416.99,3461.77,-1192.9180908203125,910000
183,183,11.3479,17.3402,3338.39,3470.25,-1126.064208984375,915000
184,184,11.0527,17.6612,3450.41,3475.92,-892.5084228515625,920000
185,185,10.7544,17.6381,3404.36,3455.55,-1146.5238037109375,925000
186,186,11.1492,17.1757,3457.39,3465.76,-1051.5345458984375,930000
187,187,11.0823,17.6948,3393.22,3395.47,-1323.7320556640625,935000
188,188,10.8444,17.8539,3380.36,3430.66,-1338.94775390625,940000
189,189,11.6545,17.9593,3420.43,3424.66,-1401.3282470703125,945000
190,190,10.9834,17.359,3414.61,3430.81,-1144.269775390625,950000
191,191,10.6909,16.822,3437.71,3473.86,-1115.4962158203125,955000
192,192,10.7545,16.5278,3395.38,3429.92,-1163.3302001953125,960000
193,193,11.017,16.9969,3133.06,3501.77,-1017.6646118164062,965000
194,194,11.3532,17.6227,3416.48,3446.81,-1310.9169921875,970000
195,195,10.963,17.4195,3435.76,3502.81,-1234.554443359375,975000
196,196,10.5596,17.5046,3324.46,3461.78,-1314.740234375,980000
197,197,10.7237,17.4041,3437.21,3481.45,-1060.332275390625,985000
198,198,11.3849,17.2592,3470.27,3511.95,-1116.696044921875,990000
199,199,11.5906,17.4811,3371.1,3484.1,-1215.009765625,995000
