Running Env Steps,Running Forward KL,Real Det Return,Running Update Time,Reward Loss,Running Reverse KL,Itration,Real Sto Return
560000,22.5405,1296.28,112,-2995.13134765625,27.583,112,1783.15
565000,23.0525,1258.75,113,-3653.280029296875,26.8851,113,1371.19
570000,21.3809,1950.94,114,-1114.7000732421875,16.8938,114,2208.69
575000,21.6244,1882.52,115,-1939.4788818359375,18.7336,115,2103.37
580000,22.5367,1533.49,116,-3204.77294921875,26.1502,116,1757.29
585000,23.1069,1270.64,117,-2957.586669921875,25.5664,117,1630.44
590000,22.0615,1360.02,118,-3066.886962890625,22.5304,118,1571.46
595000,22.3158,1447.4,119,-2830.661865234375,27.3436,119,1924.68
600000,23.1087,1394.69,120,-3991.79345703125,31.7204,120,1524.64
605000,22.2883,1364.45,121,-3065.686767578125,27.3215,121,1464.08
610000,22.6174,1459.11,122,-3120.22900390625,32.0246,122,1880.19
615000,21.7124,1617.45,123,-2172.87109375,27.933,123,2326.83
620000,22.9368,1297.69,124,-3415.65869140625,23.4269,124,1401.83
625000,21.3511,1677.8,125,-1879.6727294921875,17.9845,125,2292.29
630000,21.952,1521.56,126,-2745.093994140625,17.4142,126,1935.16
635000,22.8596,2340.65,127,-3287.2197265625,38.5141,127,1752.73
640000,22.3531,1773.85,128,-2806.23291015625,22.8986,128,1611.93
645000,21.9092,2460.27,129,-2686.1494140625,25.4474,129,2148.8
650000,21.6309,1539.02,130,-2197.28759765625,24.2263,130,2397.56
655000,22.7806,1306.99,131,-4044.0419921875,33.2499,131,1337.95
660000,22.1729,1703.02,132,-2881.192138671875,19.8479,132,1954.77
665000,21.8147,1425.15,133,-3220.660400390625,20.2536,133,1918.07
670000,22.9155,1272.99,134,-4161.2197265625,20.9801,134,1343.93
675000,22.6015,1332.72,135,-3876.56591796875,23.9858,135,1743.22
680000,22.8987,1269.03,136,-4393.81884765625,30.9674,136,1364.54
685000,22.7802,1433.02,137,-4191.447265625,26.6555,137,1615.94
690000,21.5674,1467.5,138,-2217.2880859375,18.2405,138,1972.9
695000,21.513,1408.53,139,-2798.734619140625,18.4424,139,1833.96
700000,22.4592,1459.66,140,-3704.28662109375,32.7864,140,1750.31
705000,22.8558,1451.69,141,-3971.766845703125,18.63,141,1679.6
710000,22.244,1453.2,142,-3698.8662109375,25.7113,142,1762.04
715000,22.4002,1331.25,143,-4157.21337890625,25.9307,143,1478.16
720000,22.8944,1524.09,144,-4213.26611328125,25.5773,144,1637.7
725000,21.8469,1499.71,145,-3670.786865234375,23.8164,145,1605.63
730000,22.6798,1267.19,146,-4689.75,35.7382,146,1288.11
735000,21.9182,1895.53,147,-3205.366943359375,21.6513,147,1959.89
740000,22.1329,1433.35,148,-3193.62060546875,20.494,148,1809.2
745000,21.7796,1493.23,149,-3093.430419921875,22.8132,149,2411.63
750000,22.3106,1406.0,150,-4705.583984375,33.5897,150,1515.54
755000,22.1988,1308.3,151,-3885.836669921875,22.3755,151,1540.27
760000,22.3256,1504.26,152,-3955.85107421875,19.8723,152,2196.94
765000,22.1786,1474.39,153,-4126.4775390625,19.7992,153,2148.67
770000,22.0582,1449.5,154,-4108.2392578125,23.0529,154,1738.86
775000,21.7188,1470.27,155,-3313.904052734375,29.4764,155,1681.32
780000,21.9493,2220.44,156,-3581.47119140625,18.6411,156,2182.12
785000,23.1672,1428.11,157,-5337.22265625,35.8485,157,1672.92
790000,21.227,3273.02,158,-2403.425537109375,18.2458,158,2530.28
795000,22.7122,1303.48,159,-5012.47021484375,25.7109,159,1367.19
800000,21.9317,1716.72,160,-3543.119384765625,21.0532,160,2144.0
805000,22.4963,1480.36,161,-3963.718505859375,20.6598,161,1607.74
810000,21.891,1713.21,162,-3656.5869140625,25.5626,162,1730.84
815000,20.3294,1623.34,163,-1296.740234375,16.4652,163,2453.4
820000,21.3553,1630.01,164,-3564.895263671875,20.2093,164,2077.78
825000,21.5087,3305.14,165,-3815.114990234375,34.6561,165,2415.75
830000,21.548,2213.37,166,-2791.46435546875,19.3374,166,2132.2
835000,20.8696,1820.88,167,-2563.006591796875,19.5084,167,2218.01
840000,20.6836,3367.2,168,-1522.952392578125,14.8059,168,2586.38
845000,21.218,3196.19,169,-2870.712158203125,17.093,169,2624.43
850000,21.9494,1904.65,170,-4734.6201171875,27.8466,170,1823.02
855000,21.87,3194.22,171,-3762.406005859375,19.657,171,2434.44
860000,22.0665,3279.31,172,-4682.08740234375,31.2345,172,1695.13
865000,21.0437,3420.21,173,-1669.2764892578125,17.2172,173,2703.99
870000,21.29,2144.23,174,-3555.63720703125,20.4422,174,1977.26
875000,21.0155,3269.9,175,-2971.2265625,20.1866,175,2395.23
880000,21.9437,1514.59,176,-4780.203125,21.2236,176,1751.76
885000,21.4275,1672.73,177,-3829.905517578125,21.6896,177,1841.49
890000,22.7228,2102.47,178,-5241.29296875,34.2078,178,1884.26
895000,22.9401,1552.78,179,-5151.26708984375,35.2235,179,1725.38
900000,22.5013,2732.03,180,-5252.66064453125,24.1499,180,1787.87
905000,21.1637,1673.55,181,-5010.455078125,39.0148,181,1996.82
910000,21.238,2792.86,182,-3587.212890625,22.5652,182,2012.57
915000,22.1724,1724.84,183,-4827.3330078125,26.3942,183,1682.15
920000,20.9658,3350.27,184,-2840.154052734375,20.3652,184,2639.62
925000,21.5897,2120.83,185,-5430.98779296875,28.2912,185,1662.17
930000,20.3095,2787.17,186,-4406.46728515625,21.8185,186,1940.3
935000,22.3835,1980.96,187,-5754.27197265625,22.6228,187,1799.07
940000,21.334,1625.19,188,-4457.3291015625,19.4955,188,2065.76
945000,21.2168,3033.01,189,-4498.08056640625,31.9788,189,2396.0
950000,20.4256,2954.6,190,-2725.763427734375,17.5504,190,2321.91
955000,22.9019,2371.18,191,-6086.30078125,24.7314,191,1597.19
960000,21.7418,1636.06,192,-4539.13134765625,18.4976,192,1775.9
965000,21.2996,3141.67,193,-3969.1943359375,20.3484,193,1956.34
970000,21.5082,2476.24,194,-4392.55908203125,21.5406,194,2080.39
975000,22.448,2457.31,195,-5127.25830078125,21.019,195,1987.27
980000,21.5395,2769.79,196,-4585.14111328125,19.2502,196,1710.5
985000,22.8948,2749.17,197,-4788.11669921875,17.9932,197,2269.51
990000,21.6816,1796.67,198,-4917.65576171875,19.4323,198,1853.8
995000,21.8437,1629.58,199,-5920.98291015625,22.5039,199,1581.22
