Running Forward KL,Real Sto Return,Running Update Time,Running Env Steps,Reward Loss,Running Reverse KL,Itration,Real Det Return
31.3253,1513.48,104,520000,-563.54345703125,29.1797,104,2805.73
30.394,3258.75,105,525000,-164.62863159179688,17.3454,105,3239.2
29.1331,2941.8,106,530000,-204.43666076660156,15.0768,106,3290.86
29.999,1922.58,107,535000,-327.9634094238281,14.9942,107,3294.9
28.1615,3280.67,108,540000,-127.25144958496094,15.5219,108,3287.71
28.2087,3226.95,109,545000,-139.61135864257812,14.9582,109,3227.26
31.22,1480.24,110,550000,-654.6720581054688,36.2336,110,2406.81
30.5513,1912.53,111,555000,-496.5052490234375,25.4232,111,3272.38
28.2781,3240.7,112,560000,-162.19676208496094,15.8959,112,3237.75
31.3882,1738.63,113,565000,-474.77496337890625,22.5383,113,3270.04
28.4605,2664.31,114,570000,-247.30288696289062,17.9629,114,3289.08
30.8762,1775.48,115,575000,-597.3543090820312,26.911,115,3268.74
30.1688,2027.52,116,580000,-583.9937744140625,37.7639,116,3271.29
32.4227,1057.47,117,585000,-847.1575317382812,44.7104,117,1112.22
30.1196,2146.47,118,590000,-446.3251953125,23.6595,118,3290.16
29.8516,2498.48,119,595000,-378.59918212890625,24.2069,119,3277.73
30.0538,1570.09,120,600000,-854.5892944335938,47.5415,120,2946.81
31.7438,1220.2,121,605000,-869.2081298828125,45.6665,121,2443.13
28.797,3123.57,122,610000,-179.79466247558594,14.6671,122,3226.56
29.9718,1534.5,123,615000,-739.3099365234375,30.4671,123,3225.17
29.1279,2922.01,124,620000,-206.05438232421875,15.7573,124,3275.72
28.25,2158.78,125,625000,-347.8738708496094,18.3238,125,3238.5
29.2878,2145.67,126,630000,-543.9146728515625,25.6358,126,3256.75
28.4735,3049.6,127,635000,-323.82891845703125,17.584,127,3258.92
27.901,3012.22,128,640000,-146.8304443359375,15.0843,128,3280.39
30.5286,2067.76,129,645000,-528.3802490234375,25.8602,129,3221.59
28.5355,2988.16,130,650000,-285.0762634277344,17.2572,130,3305.19
29.8393,2081.41,131,655000,-614.3479614257812,25.6496,131,3238.15
30.2483,1737.71,132,660000,-712.541748046875,31.1912,132,3263.99
29.2257,2235.62,133,665000,-459.2586975097656,19.0608,133,3280.07
28.8524,3002.97,134,670000,-277.18853759765625,16.5815,134,3262.76
28.4599,2152.87,135,675000,-396.9466857910156,21.5469,135,3263.39
28.4412,2177.95,136,680000,-571.3389282226562,27.1808,136,3248.9
28.8635,2680.07,137,685000,-455.91766357421875,21.768,137,3279.62
29.7526,3243.95,138,690000,-226.3444061279297,16.9556,138,3232.83
28.4233,3008.03,139,695000,-284.1050720214844,15.516,139,3257.96
28.8798,3152.53,140,700000,-224.3557586669922,15.9073,140,3266.45
30.8931,1803.68,141,705000,-876.8052978515625,28.7213,141,3153.23
29.4671,1911.0,142,710000,-628.6278076171875,27.1255,142,2241.03
30.4475,1549.17,143,715000,-773.914306640625,26.8714,143,3281.37
31.0394,1435.61,144,720000,-842.9735107421875,29.7764,144,1768.88
29.2399,2684.79,145,725000,-512.8739624023438,19.5895,145,3290.41
28.7998,2261.96,146,730000,-584.4326171875,23.1733,146,3321.24
28.4021,2089.62,147,735000,-619.70068359375,25.4749,147,2732.64
29.3202,3166.7,148,740000,-330.9637451171875,16.2545,148,3284.67
29.2337,1900.59,149,745000,-636.0535888671875,21.2741,149,3308.93
30.2993,1808.26,150,750000,-741.921875,33.3715,150,2776.42
30.1658,1648.08,151,755000,-822.216064453125,27.1448,151,1834.98
28.9336,2256.61,152,760000,-484.8639831542969,20.193,152,3315.41
30.0486,2742.45,153,765000,-579.210693359375,21.6832,153,3285.11
30.3612,1861.22,154,770000,-827.2019653320312,26.7896,154,2883.01
29.3999,2546.16,155,775000,-647.455322265625,22.4181,155,3270.54
29.7363,2529.05,156,780000,-488.0375671386719,20.7474,156,3277.92
30.1961,1858.94,157,785000,-741.6455078125,31.027,157,2037.84
27.68,3260.92,158,790000,-347.67340087890625,16.8793,158,3301.4
27.7534,3211.18,159,795000,-252.60765075683594,15.1779,159,3209.45
29.8471,2538.0,160,800000,-515.9056396484375,20.7464,160,3305.15
28.4697,3060.97,161,805000,-358.1454162597656,17.1211,161,3266.39
27.8099,3074.68,162,810000,-277.3760070800781,15.7759,162,3303.34
27.3492,3221.34,163,815000,-310.7722473144531,14.7663,163,3298.06
29.9861,1887.12,164,820000,-716.510986328125,23.5594,164,3291.21
28.3031,2965.21,165,825000,-338.60723876953125,15.5848,165,3290.65
28.8635,2343.06,166,830000,-494.62945556640625,17.4821,166,3270.37
28.105,2537.1,167,835000,-618.8434448242188,23.447,167,3336.15
28.0152,2914.29,168,840000,-473.0775451660156,18.0461,168,3326.37
29.1316,2703.64,169,845000,-535.2661743164062,19.5709,169,3255.95
28.1623,2762.82,170,850000,-379.91290283203125,16.5946,170,3323.38
28.4311,2561.96,171,855000,-465.28839111328125,17.2592,171,3289.4
27.0264,2255.78,172,860000,-500.8426818847656,18.345,172,3320.26
28.324,2018.75,173,865000,-775.17138671875,22.882,173,3302.78
28.3027,2222.65,174,870000,-332.120361328125,16.3629,174,3315.52
28.5746,2929.31,175,875000,-475.79400634765625,18.2591,175,3358.28
28.5715,2338.2,176,880000,-686.3306274414062,20.5205,176,3317.58
30.0289,3092.03,177,885000,-430.9130859375,17.9637,177,3328.98
28.9758,3252.96,178,890000,-365.7308349609375,16.1662,178,3229.62
28.7748,2507.02,179,895000,-516.7401733398438,19.4087,179,3288.76
29.28,1986.09,180,900000,-782.0239868164062,24.9024,180,3329.06
27.5908,3133.52,181,905000,-489.8141174316406,16.4568,181,3279.26
28.9465,1911.37,182,910000,-998.96728515625,28.0671,182,3132.33
30.3477,1737.48,183,915000,-1014.1475219726562,29.7383,183,2750.1
28.8177,1915.4,184,920000,-1097.099853515625,28.9512,184,2527.28
28.4382,3256.76,185,925000,-443.043701171875,20.3749,185,3278.5
29.1384,2390.96,186,930000,-688.3934936523438,18.3967,186,3273.38
29.4001,2843.63,187,935000,-618.815185546875,20.1755,187,3258.65
27.6774,3184.68,188,940000,-370.0977478027344,14.7473,188,3324.12
28.0908,2352.27,189,945000,-638.317138671875,16.9242,189,3333.36
28.4046,1856.38,190,950000,-955.4268798828125,22.9823,190,3290.76
27.5429,3111.99,191,955000,-407.7561950683594,15.1058,191,3238.36
29.3554,1957.44,192,960000,-785.6022338867188,22.5323,192,3319.08
28.2082,2728.23,193,965000,-683.9217529296875,24.9163,193,3313.22
27.011,3316.91,194,970000,-313.2209167480469,14.7717,194,3364.19
27.9273,2702.36,195,975000,-644.923583984375,18.3833,195,3349.39
27.6116,3273.6,196,980000,-356.58319091796875,15.4205,196,3265.43
28.2549,3152.03,197,985000,-421.30279541015625,15.9596,197,3314.86
28.4134,2796.7,198,990000,-602.2802734375,17.061,198,3314.83
27.4544,3296.18,199,995000,-361.691162109375,15.2405,199,3316.71
