Running Forward KL,Real Det Return,Running Env Steps,Itration,Real Sto Return,Running Update Time,Running Reverse KL,Reward Loss
19.583,3358.92,505000,101,3256.37,101,13.0269,-499.2121276855469
19.2001,3343.03,510000,102,3339.01,102,13.251,-522.293701171875
20.2835,3335.71,515000,103,2767.86,103,31.8045,-978.6373291015625
19.1543,3371.04,520000,104,3360.55,104,12.9867,-527.90625
19.456,3358.64,525000,105,2495.75,105,12.2039,-835.390380859375
19.8818,3394.11,530000,106,3081.4,106,12.825,-540.8597412109375
18.4172,3358.13,535000,107,3177.69,107,11.5853,-604.696533203125
18.728,3368.96,540000,108,3363.39,108,12.6363,-577.3545532226562
18.7537,3396.8,545000,109,3402.04,109,12.2254,-626.3868408203125
18.9824,3376.28,550000,110,3373.63,110,12.7877,-601.6055297851562
18.5538,3358.54,555000,111,3236.79,111,12.4983,-639.7610473632812
19.92,3420.21,560000,112,3378.7,112,13.6593,-550.6026000976562
18.5184,3387.24,565000,113,3337.51,113,12.4829,-560.1699829101562
18.8105,3381.02,570000,114,3377.22,114,22.0866,-731.8361206054688
19.4269,3367.48,575000,115,3208.35,115,12.3807,-684.6188354492188
19.2788,3374.3,580000,116,3079.6,116,11.0206,-886.359130859375
18.7833,3415.55,585000,117,3369.34,117,12.7504,-589.1795043945312
18.2376,3399.32,590000,118,3379.67,118,11.8471,-611.7739868164062
18.8258,3339.28,595000,119,3206.08,119,18.8821,-772.6412353515625
18.3279,3379.05,600000,120,3295.96,120,11.7704,-705.1950073242188
18.791,3376.59,605000,121,2953.75,121,10.9427,-806.5751342773438
18.3485,3391.73,610000,122,3132.51,122,12.543,-664.4151000976562
19.3056,3358.21,615000,123,3153.27,123,11.5924,-848.6913452148438
18.3886,3404.0,620000,124,3391.68,124,11.9835,-669.2196655273438
18.8057,3402.01,625000,125,2861.61,125,34.8261,-865.904296875
18.0876,3401.5,630000,126,3286.69,126,11.7924,-636.2762451171875
18.711,3375.76,635000,127,3351.39,127,12.4367,-706.1799926757812
17.5213,3346.39,640000,128,3240.7,128,10.3052,-703.6077270507812
18.9575,3380.28,645000,129,3318.84,129,11.8902,-701.982421875
17.8654,3414.64,650000,130,3279.34,130,11.674,-658.303466796875
18.8518,3408.37,655000,131,3102.47,131,14.1622,-805.5139770507812
17.9824,3402.64,660000,132,3141.72,132,11.2865,-716.4757690429688
18.0018,3410.26,665000,133,3389.47,133,12.2459,-674.1973876953125
17.8042,3408.56,670000,134,3296.76,134,11.6431,-755.1553344726562
18.1097,3389.27,675000,135,3288.51,135,12.005,-713.596435546875
17.8999,3417.74,680000,136,3391.42,136,12.4448,-685.797119140625
18.2928,3414.68,685000,137,3370.97,137,12.1915,-718.3861694335938
18.2873,3363.64,690000,138,3167.37,138,11.5915,-799.464599609375
18.3514,3426.15,695000,139,3378.83,139,11.9466,-745.0408935546875
18.9011,3362.54,700000,140,3065.17,140,16.9775,-913.7607421875
18.3428,3408.23,705000,141,3248.13,141,13.6972,-821.7398681640625
17.9334,3397.94,710000,142,3361.69,142,11.878,-777.3853759765625
19.019,3425.6,715000,143,3395.83,143,12.7811,-782.97509765625
18.9024,3406.59,720000,144,3347.3,144,12.4192,-825.3735961914062
18.1666,3406.65,725000,145,3386.58,145,12.4503,-829.2273559570312
17.9462,3438.45,730000,146,3366.29,146,12.1158,-674.365234375
19.3872,3409.51,735000,147,3044.04,147,18.0312,-1053.96875
18.8616,3451.19,740000,148,3167.27,148,14.876,-912.5327758789062
18.4364,3447.97,745000,149,3112.26,149,17.9109,-924.4818115234375
19.4712,3469.33,750000,150,3291.88,150,16.773,-966.43994140625
17.9756,3460.34,755000,151,3410.26,151,12.8484,-729.1469116210938
18.26,3414.86,760000,152,2635.96,152,24.7407,-1042.05712890625
19.1588,3431.43,765000,153,2171.45,153,56.8062,-1296.1103515625
18.1532,3410.4,770000,154,3248.73,154,13.4187,-964.8443603515625
18.3212,3413.78,775000,155,3020.89,155,15.4751,-1012.5543823242188
18.1129,3434.89,780000,156,3423.03,156,11.8536,-805.56884765625
18.4304,3471.82,785000,157,3397.79,157,12.0963,-880.3583984375
17.7453,3438.84,790000,158,3381.42,158,11.9621,-799.5678100585938
18.5096,3447.01,795000,159,3300.11,159,12.2648,-834.1160888671875
18.3514,3435.84,800000,160,3244.26,160,15.5974,-998.8314208984375
18.3171,3456.57,805000,161,3428.06,161,11.9751,-920.548095703125
17.7932,3428.81,810000,162,3398.93,162,11.7244,-798.4388427734375
18.9385,3443.97,815000,163,3032.7,163,13.2642,-1128.379638671875
19.1091,3446.99,820000,164,2853.62,164,28.4943,-1483.3319091796875
19.1605,3444.01,825000,165,2638.9,165,20.6875,-1219.151611328125
19.5324,3416.27,830000,166,2564.57,166,34.5429,-1519.8704833984375
18.2619,3471.21,835000,167,3351.82,167,13.9801,-985.6906127929688
16.4603,3418.14,840000,168,3364.81,168,10.5569,-774.3219604492188
18.4704,3420.36,845000,169,3127.48,169,11.2855,-1013.8209228515625
18.5154,3439.43,850000,170,3168.3,170,11.2924,-932.4981079101562
18.2067,3437.76,855000,171,3367.92,171,11.1554,-1054.6845703125
17.9614,3452.45,860000,172,3352.39,172,11.074,-1040.7830810546875
20.5774,3478.96,865000,173,2780.39,173,24.5517,-1698.2481689453125
18.3574,3433.54,870000,174,3403.7,174,12.1647,-948.942626953125
17.9986,3450.08,875000,175,3373.1,175,13.6197,-991.74462890625
18.584,3440.23,880000,176,2857.33,176,11.9293,-1134.1829833984375
18.5875,3431.63,885000,177,3179.02,177,12.4924,-1121.9853515625
18.3344,3446.98,890000,178,3063.17,178,11.335,-1103.636474609375
18.2664,3452.16,895000,179,3016.09,179,11.0229,-1158.272705078125
18.2742,3407.11,900000,180,3228.61,180,12.6118,-1084.4903564453125
18.3665,3426.26,905000,181,3388.79,181,14.7639,-1083.041015625
19.3361,3445.88,910000,182,2939.97,182,17.2885,-1347.1114501953125
18.6002,3413.74,915000,183,3216.55,183,11.9621,-1154.2586669921875
18.9678,3426.45,920000,184,2655.88,184,11.7644,-1356.8895263671875
18.8073,3460.43,925000,185,3013.92,185,14.4636,-1358.2862548828125
18.0764,3424.8,930000,186,3270.17,186,12.023,-1073.9246826171875
18.0867,3457.06,935000,187,3032.48,187,12.4429,-1112.7205810546875
18.5038,3452.06,940000,188,3437.67,188,12.0089,-1046.9090576171875
19.6621,3494.62,945000,189,2698.63,189,21.0297,-1804.31201171875
17.5416,3422.79,950000,190,3343.21,190,11.9444,-1074.0321044921875
17.8287,3424.61,955000,191,3397.64,191,13.2604,-1133.7991943359375
19.2914,3451.62,960000,192,2870.88,192,36.081,-1600.87646484375
18.2725,3424.68,965000,193,3392.62,193,12.2631,-1053.9295654296875
18.1633,3435.96,970000,194,2804.34,194,18.0004,-1271.6697998046875
19.1989,3489.21,975000,195,3080.74,195,19.7857,-1421.719482421875
18.0347,3428.73,980000,196,3383.9,196,11.7188,-1061.1412353515625
18.7154,3456.9,985000,197,2918.99,197,14.5505,-1491.70751953125
17.8075,3456.5,990000,198,2923.58,198,11.1833,-1189.372802734375
18.1121,3461.74,995000,199,3102.37,199,11.5692,-1347.7218017578125
